molecula|n9FaHRing|n9FaRing|SaaNH|SssssC|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|BIC2|MATS8s|SIC2|GATS1pe|RASA|FNSA3|PBF|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WPSA3|FNSA1|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
11b_a50|1|1|0.0|0.0|1.3979498330000002|4.071188272|-0.154649459|-0.002908227|5.82008293|1|0.038040936|0.011959339|-0.218953127|10.94500697|2|0.012037198|-0.013155246|-0.162848233|-0.266743077|0.800774662|-0.146696566|0.862408925|0.667956827|0.931316325|-0.0445367309999999|0.229754094|-36.43643854|10.1501574|0.068683675|35.832562100000004|-0.02494328|5.295379767|0.642051995|47.72173991|-13.01301376|0.42907551|2286.724895|485.8716402|1650.235214|-6.788943965|0.357948005|5.697537591000001|9.979494111|0.751545111|-285.1356465|20.26785036|-148.2182458|439.9973344|11.28530137|0.0|1.0|3.44|2.84|20.0|3.73|48.53|0.0|99.65|0.0|2.0|2.0|-3.58|3.0|-6.24|1.0|-4.16|0.000263|0.0862|0.0228|2.9|0.0|1.35e-06|0.000441|-0.02817|4.6471|3.9863|-1045.98235|560.06|266.8|-1045.798634|0.0711|-0.19501|0.02113855|-1045.849774|3.7922|5.7696|5.7696
12c_a31|0|0|3.387641566|0.0|0.6101358029999999|0.0|0.046986783|-0.013026643|5.733341277|0|0.040982906|-0.003618466|-0.094991098|10.311698300000002|2|-0.000813398|-0.048694677|-0.138799714|-0.54466023|0.842823186|0.066071056|0.8856644770000001|0.770283733|0.665463503|-0.104643824|0.343619017|-82.33748068|19.38414321|0.334536497|212.313715|-0.036326291|12.30215386|0.6817087|97.28775086|-23.05449459|0.448512808|2592.4503010000003|422.3366652|1894.297124|-14.63154376|0.3182913|8.091269314|14.67172662|0.813278739|-731.5771879|33.81868912|-230.6429907|583.9691392000001|14.95027019|1.0|1.0|3.69|3.1|16.0|3.7|117.37|2.0|108.16|0.0|1.0|8.0|-5.23|5.0|-6.53|1.0|-4.16|5.85e-06|0.00233|0.0277|3.1|0.0|5.79e-08|2.31e-05|-0.0338399999999999|3.8328|3.8328|-1618.1530810000002|679.71|323.48|-1617.888981|0.2625|-0.19288|0.04023903|-1617.951882|2.2908|6.4202|6.4202
12u_a30|0|0|0.0|0.0|0.604983445|0.0|0.028039604|-0.006935447|5.351858133|2|0.043383838|0.002431329|0.028815747|10.31162873|1|0.001805829|-0.15896471|-0.0493878409999999|-0.467189145|0.83236194|-0.055829439|0.889479916|0.711738503|0.84944095|-0.0773921259999999|0.477056017|-65.55148142|10.42404292|0.15055905|100.8445957|-0.03794847|6.982033926000001|0.810462868|75.26051582|-25.41792137|0.443167712|3001.03926|568.9563615000001|2608.6452440000003|-17.02494806|0.189537132|7.804487592999999|14.01586754|0.7958728709999999|-834.2224549|31.36222814|-415.8966522|685.6665849999999|9.709034401|1.0|0.0|4.63|0.0|17.0|3.92|81.65|2.0|137.3|0.0|1.0|5.0|-6.58|4.0|-5.52|1.0|-6.04|2.64e-07|0.000123|0.0004269999999999|5.12|0.0|1.58e-08|7.39e-06|-0.0528299999999999|3.5003|3.5003|-2494.962309|705.15|354.21|-2494.736802|0.1502|-0.20146|0.03472994|-2494.7995530000003|7.0553|7.4647|7.4647
13n_a6|0|0|3.425442623|0.0|1.4290206230000002|0.0|0.030890422|-0.010884884|4.727387819|2|0.04393617|-0.0093684169999999|-0.06507689|10.95053349|1|-0.00687003|0.100294804|-0.068956229|-0.57091314|0.7767360059999999|-0.064779873|0.832753533|0.82642394|0.70890216|-0.100363599|0.307384948|-75.07706271|12.18768927|0.29109784|199.7822434|-0.038490115|8.36448634|0.748967057|88.73738138|-26.41600355|0.47066442|2952.259627|486.5239262|2535.307313|-18.12946621|0.251032943|8.872063579|16.76075427|0.889160748|-978.9911754|35.2699138|-341.7352549|724.3873672999999|13.66031867|1.0|1.0|3.55|1.9|27.0|3.76|122.47|1.0|127.2|0.0|1.0|6.0|-4.64|5.0|-7.23|1.0|-4.28|2.27e-05|0.00987|0.0228|2.43|0.0|2.1499999999999998e-10|9.35e-08|-0.07131|4.8185|3.3510000000000004|-1423.765005|727.69|257.31|-1423.451366|0.1945|-0.20994|0.05026727|-1423.514154|10.1967|7.1249|7.1249
12ax_a36|0|0|3.429529478|0.0|1.280791885|0.0|-0.0943348109999999|-0.007681676|5.351858133|2|0.043383838|-0.001012333|-0.057017299|10.958822|1|-0.00097037|0.128253871|-0.101451485|-0.440372791|0.836170906|-0.0394369539999999|0.892249657|0.771220556|0.846837721|-0.073739612|0.375647684|-72.11700812|12.79462904|0.153162279|102.4490387|-0.038813619|8.558226304|0.7648530440000001|84.58859134|-25.96212292|0.488501696|2926.929456|566.4430628|2471.295987|-17.36585896|0.235146956|7.563197245|14.78635841|0.955040697|-868.2929481000001|33.94393618|-354.3162187|661.6709012|12.47158322|1.0|0.0|4.74|0.0|17.0|3.19|69.2|2.0|133.77|0.0|1.0|5.0|-5.08|4.0|-6.26|1.0|-5.18|8.27e-06|0.00372|0.00295|3.93|0.0|1.74e-08|7.83e-06|-0.05596|5.2372|3.8889|-2152.130959|699.67|236.74|-2151.910753|0.4167|-0.21324|0.03044421|-2151.971761|6.0402|7.9208|7.9208
12f_a31|0|0|3.4780522210000004|0.0|0.6101347579999999|0.0|0.034876922|-0.011835152|5.733341277|0|0.03703252|-0.00150321|-0.0944165219999999|10.31169747|2|0.000889251|0.068054139|-0.130400541|-0.551471017|0.8167107029999999|-0.021938988|0.8530975000000001|0.7730604259999999|0.700992225|-0.097676974|0.262896936|-82.48950216|19.26761061|0.299007775|208.6022728|-0.0337826789999999|13.44201623|0.686882955|97.53070764|-23.56842919|0.482666192|2710.311963|489.0460499|1805.921786|-16.44247509|0.313117045|9.859605078|19.05849748|0.932987917|-920.7786053|34.31214739|-260.7571603|713.5657448|15.04120547|1.0|1.0|3.86|3.78|16.0|4.48|117.37|3.0|117.78|0.0|1.0|10.0|-5.98|5.0|-6.19|1.0|-4.63|1.05e-06|0.0004469999999999|0.0101|3.82|0.0|9.53e-09|4.06e-06|-0.03317|3.8305|3.8305|-1696.785527|755.33|323.68|-1696.466804|0.2664|-0.19211|0.04363832|-1696.53373|3.3538|6.8861|6.8861
7_a1|0|0|0.0|0.0|1.348826331|2.307091837|-0.055291895|-0.010040172|5.777652323|1|0.035718954|0.0021597079999999|-0.07233584|10.9513015|1|0.004950534|-0.077833285|-0.245732751|-0.441054548|0.801577133|-0.048198584|0.862051935|0.729621031|0.710959153|-0.083362936|0.289201649|-47.35863598|17.31482297|0.289040847|139.2595474|-0.031040669|8.342261787|0.603382856|61.72628137|-14.95535873|0.452829665|2150.215999|342.53930230000003|1466.924404|-7.205474633|0.396617144|5.07667644|9.278054953|0.827584457|-273.8080361|24.78585294|-99.61948195|351.4191817|14.36764539|0.0|1.0|3.09|2.83|17.0|3.29|49.17|0.0|85.88|0.0|2.0|2.0|-3.16|4.0|-6.4|1.0|-3.71|0.000696|213.0|0.0595|2.48|0.0|2.29e-06|0.000698|-0.02433|4.0504|4.0504|-1009.509475|515.2|306.1|-1009.350293|0.2961|-0.19167|0.02860499|-1009.398029|6.5936|6.3372|6.3372
12_a1|0|0|3.3894574360000003|0.0|1.430936075|0.0|-0.0455890429999999|-0.011221829|5.351858133|1|0.036382114|-0.0038943009999999|-0.0811332759999999|10.94945122|1|-0.001416381|0.127560614|-0.104622651|-0.487073772|0.749817035|-0.045776997|0.817998205|0.7534284040000001|0.765121385|-0.0964711209999999|0.210514881|-60.78517756|19.60151089|0.234878615|136.3310784|-0.039894864|11.37734536|0.724666653|74.99749378|-23.15625812|0.46449367|2592.245875|444.1009824|1825.150911|-13.44063462|0.275333347|7.679719277999999|14.34104294|0.867391557|-564.5066541|31.95435864|-260.8074567|473.040639|14.21231622|1.0|1.0|3.29|2.72|23.0|4.41|83.82|2.0|103.47|0.0|1.0|3.0|-4.98|5.0|-6.02|1.0|-4.75|1.04e-05|0.00379|0.00649|3.54|0.0|6.28e-09|2.3e-06|-0.07042|3734.0|3.1744|-1216.12881|607.42|332.04|-1215.922313|0.2821|-0.19916|0.0296752|-1215.975876|10.1801|5.5302|5.5302
16_a31|0|0|3.096824452|0.0|0.61013894|0.0|0.152128735|-0.020181753|5.733341277|0|0.042528736|-0.017017891|-0.00795845|10.31170095|2|-0.0125582419999999|-0.0897217219999999|-0.053194463|-0.60894688|0.8318419909999999|-0.038841601|0.8948140790000001|0.8944757390000001|0.546450126|-0.142079397|0.29485045|-70.82239128|17.63615984|0.4535498739999999|213.694252|-0.050105055|8.309441139|0.73080436|83.86629191|-23.60746376|0.427771627|2071.962924|257.4650715|1212.615438|-11.12287666|0.26919564|5.521618837|9.649327262|0.747554032|-367.0549296|32.30339751|-217.4912527|280.39844320000003|13.04390063|0.0|1.0|3.2|1.93|16.0|2.83|114.29|0.0|80.57|0.0|2.0|2.0|-4.36|4.0|-6.48|1.0|-3.6|4.38e-05|0.0131|0.0762|2.32|0.0|1.16e-05|0.00347|-0.0318899999999999|3.6596|3.6596|-1308.242314|503.18|338.79|-1308.113026|0.2534|-0.1842|0.03948619|-1308.161433|5.5943|7.0458|7.0458
4b_a46|0|0|0.0|0.206072846|1.1346370890000002|2.189591837|-0.155670183|-0.00113356|5.587248657999999|2|0.047736111|0.012332859|-0.135121207|10.96200942|1|0.011806162|-0.128843936|-0.079238184|-0.16915334|0.7306307590000001|-0.263387881|0.768651645|0.69830739|0.935245062|-0.0524080009999999|0.27128814|-38.30877966|4.127907383|0.064754938|35.31914031|-0.0229342729999999|2.251475261|0.8104680259999999|42.65239101|-12.50898928|0.428987199|2105.172229|510.1086157|1750.333702|-6.822749952000001|0.189531974|5.76401157|10.09436488|0.751274223|-334.31474760000003|15.43427855|-338.6757579|538.4165208|4.343611349|1.0|1.0|3.9|3.03|17.0|4.77|43.6|1.0|101.7|0.0|1.0|2.0|-4.35|3.0|-5.67|1.0|-4.63|4.49e-05|0.0149|0.00782|3.74|0.0|6.38e-08|2.12e-05|-0.02729|4.5515|4.5515|-1033.556797|588.79|272.4|-1033.3243619999998|0.1784|-0.21811|0.02176759|-1033.378455|3.7571|6.2612|6.2612
