molecula|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|MATS7i|SaaaC|ATSC1c|AATSC1are|n5aRing|n5aHRing|AATSC1pe|AATSC1i|n6aHRing|BIC2|MATS8d|RASA|FNSA5|PBF|PNSA3|PPSA3|RNCS|TPSA_x|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
1e_a5|0|0|2.953259375|0.0|0|6.605297921|0|0|-0.260066152|-0.001975193|-0.080321049|0.0|-0.084933308|0.008031558|1|1|0.007357977|0.0578378779999999|2|0.771487328|-0.075239398|0.8805795|-0.069725333|0.373935381|-35.30075748|4.461204261000001|159.537038|62.03846573|-18.81719677|2.317577542|0.7473936259999999|-1.115605324|-18.33860051|-14.48881117|39.76196174|2107.092939|827.4861275000001|-7.526878708|6.41473183|12.39753333|0.932665879|131.2279879|-301.0751483|-257.0399733|409.0289917|8.161620868|1.0|0.0|1.0|1.0|2.17|0.05|23.0|-8.41|4.51|95.45|1.0|3.0|-4.25|24.0|0.0|1.0|3.44|-4.45|5.5700000000000005e-05|3.5600000000000005e-05|3.43|0.0|0.0|1.21e-06|-0.04186|4746.0|279.92|0.5156|261.24|0.56258|0.51802|-990.471803|0.1355|1916.0|-0.22291|0.0313740589999999|-990.522307|3.0386|191.0|6719.0|6719.0
4a_a46|0|0|0.0|0.210988875|1|7.825245291|1|1|-0.214093513|-0.001042349|-0.137420119|0.0|-0.051075084|0.012632881|1|1|0.0120924389999999|-0.129430244|2|0.764741337|-0.06611606|0.923958017|-0.067863141|0.264863483|-28.50561609|4.858713991|6.579492736000001|39.49069232|-18.30276019|2.523263761|0.742626378|-1.017947119|-14.80375017|-11.49234623|33.36433008|2042.529911|1427.844961|-5.968291366|5.613813876|9.831485239|0.751302315|133.66119809999998|-274.5414028|-252.0050978|480.9500663|5.910149982|1.0|0.0|1.0|1.0|2.8|0.35|17.0|-6.82|4.46|96.74|1.0|2.0|-3.93|24.0|0.0|1.0|3.43|-4.31|0.000117|4.89e-05|3.34|0.0|0.0|4.86e-05|-0.02921|4.5454|272.77|0.1694|272.77|0.6893600000000001|0.6893600000000001|-994.028172|0.1694|3.1825|-0.21988|0.022810825|-994.079365|3.7138|181.0|6.7423|6.7423
11b_a31|0|0|3.248213341|0.0|0|7.765993078999999|1|1|0.078614731|-0.01950528|-0.078907688|0.0|-0.838727032|-0.014385937|2|2|-0.010716217|-0.16780872|0|0.834596039|-0.074254978|0.545458754|-0.148709304|0.26165445|-80.0942166|21.02499452|286.7721447|253.1028809|-46.10900197|11.70737909|0.669723835|-1.784511651|-44.59898223|-24.84180719|101.1192111|2410.572158|1756.711832|-13.83270059|6.83089364|12.96936635|0.8986339170000001|183.9081702|-553.3080237|-189.0151528|397.3137532|17.50115151|0.0|1.0|1.0|1.0|2.29|0.24|16.0|-5.45|3.25|92.51|2.0|5.0|-4.74|25.0|0.0|1.0|2.69|-3.75|1.82e-05|0.000178|2.46|0.0|0.0|0.00128|-0.03574|3.8437|322.57|0.2634|322.57|0.70073|0.70073|-1519.909742|0.2634|3.2104|-0.1951|0.04215313|-1519.967224|4.7518|0.53|6.2757|6.2757
19f_a38|0|0|3.3320764830000003|0.0|0|7.412764017000001|2|2|-0.036714749|-0.007831113|-0.008118156|0.0|-0.4228801179999999|-0.002526241|1|1|-0.000673716|-0.217394466|1|0.819222745|-0.094149094|0.750875987|-0.111307609|0.488059925|-54.50401599|13.4639011|125.7493111|159.14822980000002|-45.42524686|8.601162122|0.734437553|-1.892229356|-34.81887413|-24.1763087|67.96791709|2776.145209|2846.860803|-15.44458393|6.164440995|11.28936331|0.8313685409999999|169.6496169|-772.2291966|-299.5321167|595.8790650000001|13.24517938|1.0|1.0|1.0|1.0|2.48|0.14|17.0|-6.86|2.55|125.69|1.0|5.0|-4.14|30.0|0.0|1.0|2.67|-4.17|7.209999999999999e-05|6.77e-05|2.78|0.0|0.0|5.610000000000001e-05|-0.05735|5.3197|360.19|0.3205|233.07|0.38086|0.7056100000000001|-1331.945195|0.0019|5.3152|-0.20104|0.02936908|-1332.004601|7.1655|73.0|7.1397|7.1397
IN1233_a59|0|0|3.463603867|0.0|0|6.842683282|0|0|0.1160337319999999|-0.008841844|0.163548857|1.983673343|-0.5039851160000001|-0.005614194|1|1|-0.004071701|0.003282792|2|0.74801464|-0.090732503|0.7613246490000001|-0.095213818|0.356444983|-61.73167061|7.208329477|318.5587088|158.8351574|-42.16752524|4.79704394|0.810795898|-1.904276352|-41.08157616|-23.91074854|68.94000009|2809.840422|1822.396842|-15.91227368|8.011984402000001|15.51626497|0.936631949|125.91272279999998|-843.3505049|-413.6607749|712.1606951|8.961363774|1.0|1.0|1.0|1.0|2.76|0.08|27.0|-10.0|4.69|125.07|0.0|5.0|-5.59|32.0|0.0|1.0|3.78|-5.16|2.54e-06|6.91e-06|3.85|0.0|0.0|4.17e-08|-0.05605|5.2194|350.69|0.2623|237.54|0.51285|0.6953699999999999|-1352.073755|0.2011|5.4004|-0.20289|0.02473496|-1352.135303|7.6059|34.0|7.4685|7.4685
19_a31|0|0|3.2411335510000003|0.0|0|7.401841579|0|0|0.062492295|-0.01001901|-0.044625452|0.0|-0.46087445|-0.005956522|2|2|-0.0038998559999999|-0.1751017789999999|0|0.8558149140000001|-0.138769819|0.7312647940000001|-0.113333675|0.279690511|-53.25742146|8.596058678|75.32978176|157.414423|-38.88650245|5.035230173|0.776211804|-1.586671445|-31.1960848|-21.12293613|61.85348014|2265.6917350000003|1992.2502|-12.37297805|7.0760696020000005|12.77501178|0.805382437|131.0862475|-544.4110343|-323.5878356|460.3754405|8.931875058|1.0|1.0|1.0|1.0|2.62|0.28|16.0|-7.39|4.33|97.25|1.0|7.0|-4.67|25.0|0.0|1.0|3.47|-3.92|2.14e-05|0.0001199999999999|2.93|0.0|0.0|1.46e-05|-0.04308|5.0344|314.06|0.3205|246.28|0.5385300000000001|0.7005600000000001|-1489.323855|0.2271|1.7076|-0.20675|0.03702801|-1489.382077|2.4209|1.8|5.7447|5.7447
8b_a32|1|1|3.419952523|0.0|0|7.765993078999999|0|0|0.113639567|-0.009362305|-0.008128765|2.123714284|-0.458752924|-0.003484915|3|3|-0.001662219|-0.1534110109999999|0|0.845443342|-0.1152380009999999|0.788218098|-0.108971309|0.253018806|-53.36442734|10.49093175|102.4297669|132.9495116|-42.94454179|6.585851946|0.669149204|-1.4166270230000002|-33.50038167|-19.33283713|63.85535908|2573.703546|2275.886421|-12.13650094|8.10555784|14.95918599|0.845546757|207.6969342|-558.2790432999999|-212.3722924|557.1050635|13.32443194|1.0|1.0|1.0|1.0|3.04|0.26|19.0|-7.65|4.19|110.47|1.0|7.0|-5.83|27.0|1.0|1.0|3.61|-4.39|1.47e-06|4.06e-05|3.22|0.0|0.0|8.86e-06|-0.05404|3.5442|349.82|0.2943|349.82|0.70285|0.70285|-1880.539698|0.2943|846.0|-0.20121|0.03602276|-1880.602014|1.2797|12.0|7.9208|7.9208
13a_a6|0|0|3.417162147|0.0|0|7.412764017000001|1|1|-0.042110772|-0.01115741|0.031837397|0.0|-0.602500119|-0.00460563|1|1|-0.00194781|-0.180339002|1|0.7722228729999999|-0.091892803|0.77450544|-0.113446379|0.22670695|-61.52313164|20.83876732|154.9639272|147.4582473|-48.51283287|13.62714959|0.759912392|-2.042034827|-40.23198232|-26.70706346|82.36189896|2820.31296|2626.396685|-17.46461983|8.038453162|15.08351934|0.8764206290000001|157.0011174|-873.2309916000002|-339.9303794|627.4287311|13.18415753|1.0|1.0|1.0|1.0|3.2|0.12|23.0|-9.01|4.32|116.79|1.0|5.0|-5.51|31.0|0.0|1.0|3.52|-4.99|3.11e-06|1.02e-05|3.8|0.0|0.0|4e-07|-0.05018|5.9934|339.59|0.5352|206.87|0.4816|0.70072|-1349.834826|0.2697|7.7145|-0.19987|0.02818646|-1349.895534|9.2157|46.0|7.3372|7.3372
11d_a5|0|0|2.9590700880000003|0.0|0|6.605297921|0|0|-0.245058546|-0.003373937|-0.125546291|0.0|-0.185566552|0.008307337|1|1|0.008809179|-0.200646773|2|0.783891527|0.036918829|0.87090286|-0.0847408619999999|0.359644732|-40.04753555|8.151092424|61.45330587|82.02685783|-34.21147402|5.179111638|0.712305422|-1.525335513|-25.44574968|-18.63809379|48.19862797|2540.78984|900.3825317|-11.84243331|8.920296087|17.62784804|0.976150552|182.7978704|-615.8065323|-269.7929124|631.9206508|11.51307533|1.0|1.0|1.0|1.0|3.37|0.17|23.0|-8.64|4.14|114.29|1.0|7.0|-4.14|29.0|0.0|1.0|3.28|-4.29|7.2e-05|5.14e-05|3.07|0.0|0.0|8.909999999999999e-07|-0.03767|4.4175|301.89|507.0|280.66|0.66686|0.6533399999999999|-1238.855022|0.2068|2.8731|-0.20529|0.03371838|-1238.914819|3.7008|15.0|7.8239|7.8239
12p_a36|0|0|3.392386149|0.0|0|7.412764017000001|2|2|-0.0494658159999999|-0.008017607|0.114716581|0.0|-0.432950771|-0.002526241|1|1|-0.000673716|-0.217394466|1|0.828371596|-0.074349074|0.748438833|-0.108380023|0.315548061|-51.98017377|12.71795723|83.24921731|158.3666517|-42.95260501|8.006403882999999|0.759126153|-1.950840419|-32.72335782|-24.56246081|64.698131|2774.926334|2308.958924|-15.4629378|7.546742977|14.3885803|0.906594718|151.63860559999998|-773.1468902|-326.2581567|595.8790650000001|12.17776516|0.0|0.0|1.0|0.0|0.0|0.14|17.0|-6.86|2.44|123.71|1.0|5.0|-3.89|30.0|0.0|0.0|2.15|-4.16|0.000129|6.96e-05|2.78|0.0|0.0|5.58e-05|-0.0552299999999999|5.3413|323.11|0.3015|232.12|0.30159|0.66559|-1331.947748|0.1841|4.8805|-0.21131|0.03396697|-1332.006106|6.7199|9.0|8.0458|8.0458
