molecula|NaaNH|n9FaRing|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|GeomRadius|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
12m_a36|1|0|2|2|0.013543656|-0.011502861|5.351858133|-0.133854569|2|0.03912037|0.14264424|-0.006653538|-0.025127218|1|-0.004569485|0.245908938|-0.052743904|-0.090926893|-0.52644768|1|0.892815402|-0.075712087|-0.064035403|0.8792981679999999|0.849217847|0|0.711961428|-0.121074678|-67.27772044|-81.19927925|15.24099981|193.174369|-0.04260035|10.22144534|107.233999|0.7471181240000001|-2.300418875|-45.120107|96.11918789|0.465323422|2925.315028|-1542.786306|2637.948424|7.312794835|38.24042793|0.0222467879999999|-331.4617713|2064.983108|689.2886595|14.91990864|0.0|0.0|0.0|1.0|0.0|3.0|1.92|0.98|112.29|1.0|0.0|131.85|0.0|-4.1|32.0|424.46|0.0|0.0|-3.8|7.96e-05|0.000159|0.0676|2.11|7.19e-07|-0.05114|3.8658|-1401.654499|-1401.6158890000002|692.4|1177.15|320.72|0.4718|505.51|0.69382|-1401.385923|-0.15879|-1401.446557|0.03|7.5229|7.5229
34_a20|0|0|0|0|0.0305860929999999|-0.0057643419999999|4.727387819|-0.104520106|2|0.0396875|0.199191385|0.003085806|-0.046356705|1|0.003149352|0.327535029|0.0346782989999999|0.057022334|-0.4478820739999999|2|0.7071284179999999|-0.101401966|-0.090732503|0.80310139|0.690530489|1|0.7966571459999999|-0.085459595|-57.31821177|-57.49912174|8.766605631000001|136.81360859999998|-0.032248904|5.898367836|80.66541842|0.776414086|-1.709191893|-38.56497154|67.53437417|0.462785432|2825.042137|-1149.982435|2319.742032|7.940146766|27.94614651|0.01491516|-371.9551262|1481.145765|712.1606951|10.03525243|1.0|1.0|1.0|1.0|1.0|1.0|4.5|4.62|86.69|2.0|0.0|125.0|0.0|-5.14|32.0|419.48|0.0|0.0|-5.02|7.27e-06|9.51e-06|0.00399|3.63|6.64e-10|-0.05181|5.4132|-1352.31921|-1352.2836220000002|711.19|1205.64|320.38|0.4388|544.93|0.38519|-1352.041015|-0.16103|-1352.102407|61.0|7.2147|7.2147
7_a1|0|0|2|2|-0.055291895|-0.010040172|5.777652323|0.001018628|1|0.035718954|-0.048878707|0.0021597079999999|-0.07233584|1|0.004950534|-0.077833285|-0.245732751|-0.391298966|-0.441054548|1|0.7795049279999999|-0.048198584|-0.042175602|0.862051935|0.729621031|0|0.710959153|-0.098295453|-40.16416679|-47.35863598|17.31482297|139.2595474|-0.031040669|8.342261787|404.7836105|0.603382856|-1.179545431|-19.35104936|61.72628137|0.452829665|2150.215999|-568.3036318|1466.924404|5.07667644|24.78585294|0.029820838|-99.61948195|941.8624118|351.4191817|14.36764539|0.0|1.0|0.0|1.0|1.0|0.0|3.43|3.29|49.17|0.0|0.0|85.88|0.0|-3.16|23.0|305.33|0.0|1.0|-3.71|0.000696|0.000195|0.0595|2.48|2.29e-06|-0.02433|4.0504|-1009.509475|-1009.48087|515.2|864.85|306.1|0.2961|365.53|0.69902|-1009.350293|-0.16734|-1009.398029|0.46|6.3372|6.3372
17_a47|1|1|0|0|-0.181485377|-0.003764469|4.59511985|-0.019259259|3|0.031802469|-0.105849578|0.0042378929999999|0.075303828|1|0.004477366|-0.180898239|-0.0184347939999999|-0.031505291|-0.3004189439999999|3|0.8007970640000001|-0.034891905|-0.010871607|0.814790949|0.7666613659999999|1|0.852282407|-0.082994667|-43.82821253|-50.62550618|7.87914003|90.10552332|-0.02987808|4.806157636|0.0|0.7457517659999999|-1.493904005|-26.73455447|60.33408274|0.46147021|2672.497352|-911.2591113|1573.836082|7.055517075|24.43867122|0.0159160889999999|-299.80980739999995|1221.9335609999998|630.8611986000001|9.708576558|1.0|1.0|0.0|1.0|1.0|2.0|5.12|5.44|79.38|2.0|0.0|119.83|0.0|-5.4|30.0|392.46|0.0|0.0|-5.21|3.98e-06|6.11e-06|0.0024|4.03|7.96e-11|-0.04873|4.2784|-1254.985125|-1254.943823|656.78|1127.7|289.79|0.4308|477.67|0.6844100000000001|-1254.737546|-0.17606|-1254.795084|5.0|8.3|8.3
4g_a46|0|0|1|1|-0.153373738|-0.001702489|5.587248657999999|-0.010706405|2|0.046415344|-0.093447672|0.011488768|-0.055084605|1|0.010608122|-0.144064904|-0.078780402|-0.121452903|-0.2455749539999999|2|0.662386484|-0.200628401|-0.193115055|0.7796270059999999|0.635494818|0|0.946829733|-0.070153728|-32.64186634|-40.24987057|4.598866947|30.50581108|-0.024339048|2.638545451|72.82863401|0.826861093|-1.192613373|-18.72788427|44.72726697|0.448462961|2242.010126|-684.2477996|2285.43285|5.8466355000000005|16.88825479|0.007803902|-375.0653627|827.5244845|568.1534007|4.477396402|1.0|0.0|1.0|1.0|1.0|0.0|5.19|5.37|43.6|2.0|1.0|106.55|0.0|-5.38|26.0|366.89|0.0|1.0|-5.38|4.22e-06|4.16e-06|0.00153|4.73|1.57e-08|-0.03985|4.4163|-1493.154666|-1493.132001|615.33|1064.92|280.74|0.1294|530.39|0.6983199999999999|-1492.923098|-0.18602|-1492.979142|2745.0|5.5615|5.5615
27a_a34|0|0|1|1|0.0257175079999999|-0.012620846|5.351858133|-0.456594848|1|0.0408037829999999|-0.082271189|-0.012495918|-0.026428049|1|-0.005234221|-0.13716603|-0.158932197|-0.264978526|-0.53047808|1|0.8186389829999999|-0.07177581|-0.012251785|0.832753533|0.749941528|0|0.600964267|-0.123191967|-74.78290605|-86.36649751|18.62986903|279.75296960000003|-0.043345322|13.06088842|22.69787432|0.764921711|-2.340647376|-52.42823715|100.7752505|0.436895447|3394.470264|-1640.9634529999998|2252.433058|8.960143164|39.72721867|0.020552444|-371.4586403|2145.269808|718.5861133999999|14.40875302|1.0|1.0|1.0|1.0|1.0|2.0|2.01|3.97|129.74|1.0|0.0|122.61|0.0|-4.96|33.0|463.51|0.0|0.0|-4.47|1.09e-05|3.43e-05|0.0159|2.59|2.44e-08|-0.03924|5.0012|-1861.741982|-1861.695683|737.7|1247.85|300.73|0.2896|598.18|0.40378|-1861.468024|-0.16691|-1861.534743|0.24|6.6198|6.6198
13g_a6|1|0|0|0|-0.0961994219999999|-0.006574579|4.727387819|0.004767264|2|0.043020833|0.03536788|-0.002407131|0.073394284|1|-0.000644109|0.061423911|-0.12414699|-0.215607882|-0.46487852|2|0.836982172|0.095969451|-0.144664763|0.832753533|0.789769968|1|0.871972049|-0.091949419|-51.67543048|-64.02222283|12.28038897|89.14285747|-0.0323525729999999|8.550546653|0.0|0.7357333540000001|-1.747038966|-35.98038956|76.50577593|0.444443571|2929.039254|-1216.422234|3916.754765|7.968172425|30.61752948|0.017929016|-328.2712049|1653.346592|744.1359788|12.48355309|1.0|1.0|1.0|1.0|1.0|2.0|5.41|4.79|103.17|2.0|0.0|128.63|0.0|-5.56|33.0|431.49|0.0|0.0|-5.06|2.77e-06|8.8e-06|0.0038|3.7|2.67e-11|-0.07536|5.9869|-1386.611265|-1386.573241|739.55|1253.71|381.82|0.8442|592.49|0.38325|-1386.3020800000002|-0.1327|-1386.364067|119.0|6.9245|6.9245
12ab_a36|1|0|2|2|-0.064515677|-0.007034881|5.351858133|0.000258844|2|0.039951691|0.035377607|0.000939229|-0.032623802|1|0.002112069|0.0618552579999999|-0.096853381|-0.169341326|-0.4186639029999999|1|0.86559137|-0.0852411419999999|-0.051707317|0.888163057|0.8196353679999999|0|0.8410557559999999|-0.095025338|-54.63243106|-65.54680623|16.62527454|109.6369437|-0.033434841|11.46782191|15.55386871|0.679025324|-1.805481415|-37.68448987|82.3666474|0.484987413|2902.39241|-1245.389318|2390.849902|7.821826146|33.96451406|0.024384271|-246.9770378|1834.083759|708.5476357999999|16.81984117|1.0|0.0|0.0|1.0|0.0|2.0|3.14|1.95|92.99|1.0|0.0|133.27|0.0|-3.92|32.0|420.47|0.0|0.0|-3.91|0.0001199999999999|0.000122|0.0515|2.33|8.95e-08|-0.0523799999999999|3.8845|-1364.509957|-1364.468283|712.73|1201.64|319.17|0.4451|564.58|0.69294|-1364.236757|-0.15699|-1364.300531|11.0|7.9586|7.9586
16c_a32|1|1|0|0|0.191088217|-0.01639019|5.733341277|-0.087497559|0|0.03995614|-0.03152033|-0.0064007569999999|-0.031087095|3|-0.00369116|-0.057356214|-0.1260956869999999|-0.229450999|-0.697601261|0|0.809370315|0.0482801729999999|-0.061904762|0.915639476|0.764217655|1|0.773043206|-0.119988297|-53.00702241|-71.59058881|15.38819548|135.41296|-0.038178095|9.181311842|37.0285246|0.6846367059999999|-1.679836163|-31.62645048|86.97970500000001|0.463897164|2649.168528|-1002.268243|3143.196853|6.313526111|33.27140293|0.02579269|-220.3256617|1463.941729|513.9156315|15.38911619|1.0|0.0|1.0|1.0|1.0|2.0|5.64|4.21|149.27|1.0|0.0|107.14|1.0|-6.04|27.0|399.49|1.0|0.0|-4.41|9.17e-07|3.89e-05|0.0155|3.23|1.0300000000000001e-07|-0.0505|3.6264|-1916.6792|-1916.651132|639.66|1069.28|341.89|0.2955|508.43|0.70198|-1916.478107|-0.14997|-1916.536967|5.0|8.3468|8.3468
3k_a32|1|1|0|1|-0.001009768|-0.005745086|5.973809612|-0.001250803|0|0.0381981979999999|-0.047167919|0.001221534|-0.0902541999999999|3|0.002509816|-0.084055305|-0.050938823|-0.090775221|-0.5265375529999999|0|0.816196288|-0.127713677|-0.129124455|0.8306695270000001|0.7681279190000001|1|0.8777482409999999|-0.090839907|-40.10830541|-51.21653025|6.970844822|68.92687468|-0.029575784|3.930238317|0.0|0.78057227|-1.271758703|-22.61349991|58.16707081|0.472646737|2392.3436100000004|-717.0314235000001|1970.06814|6.153598893|21.36272325|0.012327787|-316.3794102|918.5970998|506.658189|6.9505405620000005|1.0|1.0|1.0|1.0|1.0|1.0|7.12|5.78|110.94|2.0|0.0|105.36|0.0|-7.04|25.0|366.5|0.0|0.0|-5.61|9.16e-08|2.47e-06|0.000904|4.97|5.86e-08|-0.05321|3.5363|-1750.164914|-1750.1383649999998|611.65|1022.89|350.6|0.3082|452.36|0.70268|-1749.957584|-0.14667|-1750.0122420000002|9.0|8.0605|8.0605
