molecula|NaaNH|n9FaHRing|n9FaRing|NaasN|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|RASA|FNSA5|PBF|FPSA3|RNCS|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Brenk|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
21_a47|0|1|1|1|1.408713027|0.072733799|-0.010650348|4.727387819|-0.13650463|0.037801932|-0.034419528|1.028199909|-0.511216716|-0.006808306|-0.004063946|0.057225853|1|-0.004332497|-0.277479519|-0.5406500129999999|0.612295986|0.826796636|0.0927058819999999|0.8856299320000001|0.591185263|0.70582155|-0.095249919|0.3188717339999999|0.022739546|34.75044485|-30.34731959|7.244985517000001|0.6448452960000001|-1.5239986980000002|-26.32173133|70.10126935|59.46768095|0.463113582|2691.697803|-860.2257893999999|1402.202743|-10.79015808|0.355154704|0.862591353|200.4681737|29.64451905|0.028943339|-163.5167523|1334.003357|482.9384172|16.33715751|1.0|2.0|3.29|3.32|21.0|-7.7|84.73|0.0|6.0|-4.44|6.0|-6.58|394.38|1.0|3.43|-4.32|3.6e-05|0.0142|0.0191|0.0|1.98e-08|-0.06339|3917.0|4.43|3917.0|-1375.061089|-1375.028093|583.37|1014.33|316.53|316.53|441.93|0.68296|0.2249|-0.16158|-0.2249699999999999|0.03299607|4.9172|5.0|8.3|8.3
15_a10|0|0|0|1|1.277647202|-0.166303336|-0.0027892409999999|5.4161004020000005|0.035396617|0.0353864729999999|-0.0729795729999999|1.981569297|-0.142251304|0.009882584|-0.055918786|-0.05940848|1|0.009514122|-0.136323668|-0.208590561|0.682616223|0.808676284|-0.105662909|0.863438637|0.635064845|0.915526801|-0.074144604|0.710970489|0.018614889|33.67392858|-26.33385303|6.61142847|0.646412648|-1.186313662|-21.03820054|56.66229609|46.39507481|0.434181679|2549.580207|-706.9960069|2288.954984|-8.964715924|0.353587352|0.767351752|210.7240726|23.27068984|0.020932674|-174.5122907|1093.722422|563.875765|12.47504566|1.0|0.0|3.29|3.31|21.0|-8.3|52.83|1.0|5.0|-4.48|4.0|-6.07|390.87|1.0|3.83|-4.81|3.32e-05|13.0|0.0061|0.0|5.01e-09|-0.05243|5.7922|3.12|3.7997|-1604.08794|-1604.057542|641.98|1086.19|326.3|214.05|484.05|0.41458|0.1647|-0.1574|-0.20983|0.03039798|6.1563|33.0|7.4815|7.4815
12ax_a36|1|0|0|0|1.280791885|-0.0943348109999999|-0.007681676|5.351858133|-0.040458296|0.043383838|0.075802407|0.0|-0.414810497|-0.001012333|-0.057017299|-0.034663063|1|-0.00097037|-0.1716508239999999|-0.440372791|0.884841888|0.836170906|-0.056676035|0.892249657|0.771220556|0.846837721|-0.107815607|0.375647684|0.019128091|36.17982162|-48.23849712|8.558226304|0.7648530440000001|-1.940680931|-32.99232962|84.58859134|62.11847297|0.488501696|2926.929456|-1298.106146|2471.295987|-17.36585896|0.235146956|0.955040697|157.28794140000002|33.94393618|0.018645135|-354.3162187|1697.196809|661.6709012|12.47158322|1.0|2.0|4.74|0.0|17.0|-7.76|69.2|0.0|5.0|-5.08|4.0|-6.26|450.32|1.0|2.82|-5.18|8.27e-06|0.00372|0.00295|0.0|1.74e-08|-0.05596|5.2372|4.42|3.8889|-2152.130959|-2152.100515|699.67|1182.31|318.82|236.74|552.0|0.39564|0.4167|-0.15728|-0.21324|0.03044421|6.0402|12.0|7.9208|7.9208
24_a47|0|1|1|1|1.304328602|0.0453435129999999|-0.010774404|4.727387819|-0.1160443999999999|0.039520202|0.0251322929999999|1.081401467|-0.484848181|-0.0060410169999999|-0.063708635|0.071506228|1|-0.004514441|-0.2494728939999999|-0.540463145|0.662080166|0.812650394|0.113432542|0.875198713|0.627160379|0.7839491009999999|-0.090995097|0.214985826|0.021522987|41.72753688|-28.82156035|6.81713713|0.611603578|-1.364926459|-24.03877652|69.27912772|54.82626523|0.479188295|2642.775318|-768.1729327|1239.381181|-10.29341441|0.388396422|0.920079732|218.5873217|29.90471672|0.032103375|-125.6197312|1255.998102|457.1122177|18.06759887|1.0|2.0|3.14|3.12|21.0|-7.63|84.73|0.0|5.0|-4.61|5.0|-6.48|396.81|1.0|3.31|-4.52|2.46e-05|0.00975|0.0121|0.0|2.32e-08|-0.06517|3.9675|4.46|3.9675|-1696.105723|-1696.071577|578.94|1002.04|312.5|312.5|450.98|0.6835|0.2618|-0.16333|-0.2285|0.03414611|3.6008|3.0|8.5|8.5
13n_a6|1|0|0|0|1.4290206230000002|0.030890422|-0.010884884|4.727387819|-0.135152403|0.04393617|0.058267173|1.628408574|-0.631323273|-0.0093684169999999|-0.06507689|-0.033224059|1|-0.00687003|-0.118693789|-0.57091314|0.870730542|0.7767360059999999|-0.056293641|0.832753533|0.82642394|0.70890216|-0.109392959|0.307384948|0.017758385|90.97854097|-51.52585133|8.36448634|0.748967057|-2.078466222|-47.27287681|88.73738138|81.06784641|0.47066442|2952.259627|-1426.464192|2535.307313|-18.12946621|0.251032943|0.889160748|172.28545730000002|35.2699138|0.019904118|-341.7352549|1904.575345|724.3873672999999|13.66031867|1.0|3.0|3.55|1.9|27.0|-9.67|122.47|0.0|6.0|-4.64|5.0|-7.23|435.48|1.0|2.62|-4.28|2.27e-05|0.00987|0.0228|0.0|2.1499999999999998e-10|-0.07131|4.8185|4.27|3.3510000000000004|-1423.765005|-1423.714738|727.69|1232.6|369.99|257.31|548.09|0.55028|0.1945|-0.13863|-0.20994|0.05026727|10.1967|75.0|7.1249|7.1249
12z_a36|1|0|0|0|1.297044126|-0.065211069|-0.007671785|5.351858133|-0.010732275|0.041767677|0.037307819|0.0|-0.421948174|-0.000143196|-0.010881947|-0.030529442|1|0.001194592|-0.175397741|-0.433580807|0.8707354620000001|0.826316772|-0.0533649729999999|0.886776351|0.8212311840000001|0.834790405|-0.102674964|0.492335362|0.023371488|114.3931487|-45.16471514|10.28066212|0.712682362|-1.848149347|-35.89088901|83.07227002|69.61568586|0.4577848329999999|2841.692299|-1225.757112|2451.657399|-15.940487699999998|0.287317638|0.844286292|190.5590792|33.72393432|0.0225782039999999|-282.1167226|1719.920651|642.3830552000001|14.97465267|0.0|2.0|4.76|0.0|17.0|-6.66|92.99|0.0|5.0|-3.99|5.0|-7.08|406.44|0.0|1.66|-3.95|0.000101|0.0412|0.0458|0.0|2.21e-07|-0.05642|3.8969|2.98|3.8969|-1325.195958|-1325.157504|686.33|1153.7|318.16|318.16|539.36|0.69397|0.4423|-0.1575|-0.2139199999999999|0.03845474|6.5892|5.0|8301.0|8301.0
3p_a32|1|1|1|0|0.609420752|0.007752757|-0.008735261|6.008813185|-0.028895521|0.036666667|-0.050639647|2.1365141480000003|-0.419292538|-0.000971341|-0.111150118|-0.074544773|3|0.000920756|-0.26891009|-0.53666614|0.737842269|0.8599558070000001|-0.120768771|0.918782026|0.6956696440000001|0.8195708759999999|-0.098773656|0.366898545|0.021264377|40.28175307|-34.21384146|7.365688817|0.6199678829999999|-1.28405753|-24.56127372|73.07639870000001|54.24719019|0.416240891|2650.4178850000003|-755.7268222|3037.061498|-10.10863498|0.380032117|0.713035367|223.6663527|27.70403125|0.025390655|-141.21321609999998|1218.977375|530.5658569|14.94356622|1.0|1.0|3.38|2.6|19.0|-6.79|131.25|0.0|4.0|-5.11|4.0|-6.8|395.5|1.0|3.23|-4.25|7.78e-06|0.00308|0.0222|0.0|1.62e-07|-0.04963|3.6436|4.26|3.6436|-1879.554272|-1879.527843|626.32|1057.58|340.28|340.28|471.04|0.7017100000000001|0.3083|-0.15055|-0.20018|0.02642856|5.4496|26.0|7585.0|7585.0
4h_a46|0|0|0|1|0.3002050539999999|0.128214845|-0.005778576|5.587248657999999|-0.346835467|0.040890805|-0.057256598|0.0|-0.404500343|-0.0008161889999999|-0.021951549|-0.09922757|1|0.003087227|-0.0488847059999999|-0.516344924|0.739180305|0.7543177040000001|-0.134568896|0.7955809979999999|0.6947264059999999|0.767244275|-0.083997524|0.659584488|0.010068754|105.2773797|-51.70985599|6.198442205|0.805506105|-2.015940586|-51.19164773|74.99848132|73.14480467|0.4866209529999999|3472.1185880000003|-1581.72562|3180.526173|-18.803584|0.194493895|0.947878486|152.6017078|29.75215152|0.011589523|-479.405829|1963642.0|1021.999374|9.093247153|0.0|2.0|4.63|2.99|23.0|-9.2|124.17|0.0|6.0|-6.53|6.0|-6.38|502.63|0.0|3.82|-5.69|2.97e-07|0.000149|0.00104|1.0|6.38e-10|-0.0389199999999999|4.2444|8.5|4.18|-1923.926093|-1923.878801|792.61|1397.46|296.62|292.11|682.14|0.55428|291.0|-0.1711599999999999|-0.21008|0.04729184|2.9086|229.0|6.6402|6.6402
47d_a18|0|0|0|0|1.251175994|-0.017398129|-0.006087337|4.844187086|-0.041876322|0.032916667|0.069914568|0.0|-0.480899596|0.003376831|-0.07722825|0.016324953|0|0.005144085|-0.406388629|-0.417659275|0.7640994990000001|0.7430748709999999|0.027971797|0.773981237|0.741366815|0.836999127|-0.087315963|0.445704576|0.015270278|64.92967228|-58.06490563|10.15469843|0.69814381|-2.182899066|-42.52098397|86.29525584|64.59518279|0.481311892|3304.705347|-1780.097106|1947.023498|-19.1002979|0.30185619|0.927940864|246.1558296|33.54943497|0.018506261|-323.1621908|2549.757058|1255.618298|15.0913716|0.0|2.0|4.73|0.0|18.0|-8.83|88.97|2.0|12.0|-5.74|4.0|-6.57|527.66|0.0|2.56|-5.28|1.83e-06|0.000968|0.00276|1.0|1.4800000000000003e-09|-0.04561|3.1079|8.08|3.1079|-1704.061013|-1704.0327519999998|875.6|1544.09|398.94|398.94|817.06|0.69905|0.5820000000000001|-0.12844|-0.17405|0.02826074|4.2225|8.0|8.0969|8.0969
4o_a46|0|0|0|1|1.13463699|-0.24479566|-0.000627744|5.587248657999999|0.042766097|0.043320988|-0.2363624889999999|0.0|-0.032014955|0.010870588|-0.203025042|-0.06855792|1|0.010144781|-0.028735607|-0.096073163|0.626333846|0.7699448320000001|-0.09492635|0.8176134690000001|0.6418406720000001|0.950732618|-0.06570509|0.372146122|0.00972341|5.821925821000001|-19.76117845|2.9243708|0.7510206490000001|-1.051281434|-19.49276784|42.00638612|40.87645867|0.460981009|2195.436986|-576.535307|1705.3950960000002|-6.587059484|0.248979351|0.855222204|136.5432529|15.99310518|0.0108913189999999|-275.3254498|767.6690487000001|544.7877262000001|5.972929428|1.0|0.0|3.73|3.12|17.0|-7.26|54.5|0.0|2.0|-4.91|3.0|-5.51|342.44|1.0|3.92|-4.87|1.23e-05|0.00422|0.0045899999999999|0.0|5.5e-08|-0.04627|4.3255|3.76|4.3255|-1070.456878|-1070.428722|581.59|1022.29|286.64|286.64|501.08|0.6843|0.1598|-0.18282|-0.22909|0.02815574|4.8244|162.0|6.7905|6.7905
