molecula|SddssS|NaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1i|MATS1c|GATS1are|BIC2|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GRAV|PPSA1|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Molecular Mass|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
18a_a30|0.0|0|0.0|0|7.412764017000001|2|0.604987543|0.045071414|5.351858133|-0.02919335|2|0.040166667|-0.041327798|0.005050384|-0.01286191|10.31163887|-0.094932667|1|0.005458948|-0.053309522|-0.452377064|0.8421237309999999|0.7885597609999999|0.842671963|0.7961424690000001|0.85918121|-0.072474599|-0.095397479|0.294303776|0.017060045|-59.38972262|79.18861306|0.14081879|-0.036990859|-36.97308547|0.0|0.7904991659999999|-28.08889239|-23.02866795|55.73981304|0.445995681|534.88346|-1128.40473|0.209500834|7.050626413|5942.293347|130.4247923|-361.7006453|1427.458469|620.9195447000001|1.0|1.0|1.0|1.0|17.0|-6.64|2.62|81.65|2.82|2.0|127.28|0.0|1.0|5.0|29.0|398.48|0.0|-4.85|5.23e-06|0.00208|1.4e-05|0.0056|0.0|2.3100000000000002e-07|9.21e-05|-0.05605|3.4712|3.82|3.4712|-1575.786909|-1575.755101|665.12|1120.46|357.18|0.3781|357.18|508.08|0.69033|0.69033|-1575.54671|0.3781|-0.1418|4.2514|-0.19785|-1575.604922|25.0|7.6108|7.6108
12k_a36|0.0|1|0.0|0|7.412764017000001|2|1.297043952|-0.076124222|5.351858133|-0.063399056|2|0.039061728|0.096315593|0.002782748|0.003690005|10.94908765|-0.058284869|1|0.003724542|-0.095253274|-0.4373676689999999|0.90500247|0.811903388|0.8647233590000001|0.856135378|0.8427704640000001|-0.075717305|-0.101946803|0.367754573|0.018067063|-67.14870046|46.79001927|0.157229536|-0.037758075|-44.22843899|0.0|0.7806817009999999|-32.84907515|-24.86988906|61.7723974|0.478908312|555.1026569|-1342.974009|0.219318299|7.241602627000001|6027.033337|144.457092|-369.7499256|1720.258086|698.847203|1.0|0.0|1.0|2.0|17.0|-7.01|2.42|69.2|2.38|1.0|133.84|0.0|1.0|6.0|31.0|407.47|1.0|-4.55|2.6e-05|0.0106|2.82e-05|0.0115|0.0|9.66e-08|3.94e-05|-0.0497|5053.0|3.83|3.6631|-1310.3453949999998|-1310.312649|697.92|1186.08|338.46|0.3116|245.37|530.51|0.5249199999999999|0.70031|-1310.072976|0.0908|-0.15053|5.7818|-0.20023|-1310.134752|14.0|7.8539|7.8539
17a_a50|0.0|0|0.0|2|7.934155233999999|1|1.349854788|-0.186084687|5.82008293|0.009691515|1|0.034142512|-0.109740063|0.012510153|-0.0979202769999999|10.94500663|-0.131632653|2|0.012893333|-0.239713023|-0.220088198|0.762224122|0.784570118|0.828062407|0.732114362|0.92300665|-0.045404408|-0.078525868|0.4062532579999999|0.013784807|-51.14229199|10.03717565|0.07699335|-0.0280449529999999|-33.3079288|84.34722313|0.7899109000000001|-19.25896309|-18.26510428|38.54872522|0.486855438|601.1353533|-1022.84584|0.2100891|8.087984548|5718.782531|136.82673369999998|-377.6260803|1294.887612|719.3470265|1.0|1.0|1.0|0.0|20.0|-6.76|4.14|51.77|2.3|1.0|121.78|0.0|1.0|6.0|30.0|398.5|1.0|-4.44|0.000102|0.0408|3.61e-05|0.0144|0.0|1.75e-07|6.97e-05|-0.03196|4.2478|3.08|4.0477|-1258.566007|-1258.540058|705.96|1204.79|306.31|0.1817|291.88|616.93|0.6244|0.66046|-1258.260865|0.1754|-0.16724|6.2113|-0.1992|-1258.322582|85.0|7.0706|7.0706
3n_a32|0.0|1|0.0|0|7.773594467000001|1|0.609420754|-0.0376583329999999|5.733341277|-0.01504795|1|0.035643275|-0.056907012|0.000609539|-0.1006122119999999|10.3110027|-0.0711168609999999|3|0.002379137|-0.086764744|-0.435658951|0.810658423|0.816774665|0.868826775|0.762657782|0.840041782|-0.074507943|-0.092745182|0.287402381|0.01889769|-53.32184118|121.6040686|0.159958218|-0.027401986|-30.65624207|0.0|0.648933114|-24.62805609|-15.75418035|53.70155314|0.456693072|482.963897|-693.1839353999999|0.351066886|6.369579712999999|5553.014016|201.8383309|-171.25176130000003|1068.190111|522.1674161999999|1.0|1.0|1.0|1.0|19.0|-6.96|5.01|120.17|1.58|2.0|106.44|0.0|1.0|3.0|26.0|382.5|0.0|-4.91|1.11e-06|0.000424|1.23e-05|0.0047|0.0|1.1e-07|4.19e-05|-0.05535|3.5459|2.57|3.5459|-1825.378576|-1825.349557|614.67|1036.75|349.65|0.2839|349.65|464.67|0.7028399999999999|0.7028399999999999|-1825.163542|0.2839|-0.1472099999999999|3.5849|-0.20256|-1825.218291|21.0|7.6778|7.6778
14ac_a23|0.0|0|-9.994971573|2|7.423568444|0|1.1979507740000002|0.0763230759999999|5.351858133|-0.4422550999999999|2|0.048351548|0.016532702|-0.0066006519999999|0.0518788009999999|10.3132169|0.043387326|2|-0.004445662|-0.069765112|-0.562985112|0.5562570379999999|0.7797862459999999|0.834426845|0.537271445|0.931143634|-0.0883661019999999|-0.097100967|0.300389872|0.016832361|-73.32014595|57.45545019|0.068856366|-0.043970249|-55.36344264|0.327656318|0.8077820920000001|-50.3831402|-33.20157553|79.43449928|0.489147172|703.0989434999999|-1759.6835030000002|0.192217908|8.122941134|9203.543798|145.1421706|-464.8074813999999|2178.41361|718.3324686000001|1.0|1.0|1.0|1.0|26.0|-9.03|8.36|105.02|4.6|2.0|130.29|0.0|1.0|7.0|38.0|547.48|0.0|-6.65|4.92e-08|2.69e-05|2.24e-07|0.000123|2.0|9.25e-10|5.06e-07|-0.08813|4.0014|4.93|3.6325|-2304.001319|-2303.9786940000004|751.54|1285.58|341.32|0.3209|309.85|627.76|0.6408|0.69962|-2303.749331|0.2391|-0.15055|6.3004|-0.23868|-2303.819891|4.0|8.3851|8.3851
8_a27|0.0|1|0.0|1|6.605297921|0|1.406757715|0.188762686|4.59511985|-0.077396262|2|0.039673203|-0.14212377|0.0040883959999999|0.093450172|10.93783465|0.067074515|1|0.004801929|-0.106814855|-0.535352745|0.6812785379999999|0.8000360390000001|0.8688656459999999|0.64927069|0.776384028|-0.078709803|-0.092265073|0.3608031339999999|0.021852066|-43.96130162|122.0597403|0.223615972|-0.035880862|-20.94612822|61.18801154|0.751701834|-17.86879446|-17.09606174|47.91445451|0.479730655|369.9216992|-615.4582227000001|0.248298166|5.016799703|4522.989286999999|118.305988|-239.8554499|818.753121|326.3351007|0.0|0.0|0.0|1.0|21.0|-6.28|2.48|76.46|2.19|0.0|87.68|0.0|1.0|2.0|23.0|303.32|1.0|-3.52|0.000586|178.0|0.000299|0.0907|0.0|5.2e-07|0.000158|-0.05015|4.1276|3.96|4.1276|-1004.515654|-1004.489001|507.76|848.58|300.38|0.2336|300.38|374.88|0.64893|0.64893|-1004.385302|0.2336|-0.16958|3.0415|-0.21973|-1004.432889|6.0|8.2218|8.2218
8_a15|0.0|0|0.0|0|0.0|0|1.419941362|-0.208657545|0.0|-0.044406425|1|0.039181287|0.155304204|1.7800000000000002e-05|-0.010146469|10.95880707|-0.014489333|0|0.003160815|-0.203104439|-0.342749125|0.85357243|0.7059441040000001|0.742680335|0.8105478740000001|0.853896482|-0.071552706|-0.118293578|0.381651497|0.0336657729999999|-69.07571287|104.8781037|0.146103518|-0.028969856|-40.33569847|55.99586988|0.519427411|-24.39801408|-16.91650111|61.44071008|0.389723411|498.6196971|-828.9085544|0.480572589|6.093505548|5306.2234530000005|280.62296039999995|-22.68867482|1595.8121130000002|532.0914339999999|1.0|1.0|0.0|1.0|18.0|-7.57|4.95|61.84|1.96|2.0|104.74|0.0|1.0|7.0|27.0|366.41|1.0|-4.81|5.63e-06|0.00206|1.53e-05|0.00562|0.0|2.69e-08|9.86e-06|-0.02723|4.4346|3.36|3.7426|-1223.704913|-1223.687714|598.84|1050.15|331.28|251.0|279.58|538.51|0.5128|0.70524|-1223.463981|0.0155|-0.1558|1.1415|-0.18303|-1223.523393|108.0|6.9666|6.9666
6e_a40|0.0|0|0.0|1|8.421342866|2|0.604892975|0.128035402|6.401917197|-0.074872854|0|0.039160494|-0.15110197|-0.0026177839999999|0.103594243|10.30179954|-0.205140551|2|-0.002992481|-0.020200684|-0.6319354389999999|0.685858263|0.8361555479999999|0.8988141140000001|0.648802794|0.74620476|-0.107312598|-0.1164147119999999|0.376602018|0.015875595|-76.50178121|185.1473293|0.25379524|-0.04873174|-50.27304895|35.33106374|0.866991176|-46.34235117|-32.02400144|80.95296505|0.441911406|490.3675161000001|-1377.032062|0.133008824|6.972949117000001|7585.605268000001|87.40658058|-482.3355765|1588.2884390000002|587.7345677999999|1.0|1.0|0.0|1.0|14.0|-4.63|3.72|173.43|2.12|2.0|125.15|1.0|2.0|5.0|30.0|476.98|0.0|-5.58|1.74e-08|8.31e-06|2.6e-06|0.00124|0.0|2.35e-05|0.0112|-0.09682|2.9549|8.35|2.9549|-2831.191706|-2831.156883|671.95|1149.77|419.59|0.3625|419.59|537.07|0.67187|0.67187|-2830.986514|0.3625|-0.1195799999999999|8.3311|-0.2164|-2831.048968|18.0|7.7447|7.7447
12_a47|0.0|1|0.0|0|6.605297921|0|1.304330736|-0.155854903|4.59511985|-0.078935336|2|0.036632997|0.001435849|-0.0047488359999999|-0.018573056|10.95005729|0.0295267039999999|1|-0.004332024|-0.006318684|-0.326846977|0.6505449670000001|0.8288334490000001|0.90246604|0.618808977|0.7840710409999999|-0.084846808|-0.091853238|0.266995634|0.018014416|-47.83891561|63.89392714|0.2159289589999999|-0.034116917|-24.91541818|0.0|0.680723821|-23.01490672|-17.76874008|53.5720844|0.4792593739999999|408.3591283|-621.9059029|0.319276179|7.042279354|4816.005822|166.28511369999998|-188.2488142|913.5950352|335.1175012|1.0|0.0|1.0|2.0|21.0|-8.11|4.98|66.49|2.6|0.0|91.63|0.0|1.0|3.0|24.0|339.75|1.0|-4.56|3.11e-05|0.0106|2.77e-05|0.00943|0.0|7.69e-09|2.61e-06|-0.0623|4.2907|3.01|3.9538|-1488.101254|-1488.064043|537.79|886.46|313.58|0.2306|288.96|400.09|0.66387|0.68557|-1487.974738|0.2241|-0.1633|2.1019|-0.2256|-1488.024564|6.0|8.2|8.2
1e_a5|0.0|1|0.0|0|6.605297921|0|1.427503886|-0.260066152|4.59511985|-0.009075016|2|0.027873016|-0.080321049|0.008031558|-0.1197834419999999|10.94440038|-0.040441176|1|0.007357977|0.034752304|-0.201027861|0.71274658|0.771487328|0.834250802|0.6977404359999999|0.8805795|-0.06795194|-0.069725333|0.373935381|0.008587563|-36.22202792|159.537038|0.1194205|-0.0278901329999999|-18.81719677|0.0|0.7473936259999999|-18.33860051|-14.48881117|39.76196174|0.482579989|457.4574833|-579.5524467|0.2526063739999999|6.41473183|4342.827698|131.2279879|-257.0399733|775.4313476|409.0289917|1.0|0.0|1.0|1.0|23.0|-8.41|4.51|54.46|2.13|0.0|95.45|0.0|1.0|3.0|24.0|312.37|1.0|-4.45|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0111|0.0|3.87e-09|1.21e-06|-0.04186|4746.0|3.17|4.4292|-990.6320386|-990.6006645|560.58|935.47|279.92|0.5156|261.24|427.87|0.56258|0.51802|-990.471803|0.1355|-0.18105|1916.0|-0.22291|-990.522307|191.0|6719.0|6719.0
