molecula|SddssS|NaaNH|SaaNH|SssssC|NaasN|SRW09|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC7i|MATS1i|AATSC1i|n6aHRing|BIC2|MATS8s|SIC2|RASA|FNSA5|PBF|FPSA3|PNSA3|TPSA_x|FNSA4|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomShapeIndex|GRAV|PPSA1|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Gibbs Free Energy|pIC50
12f_a40|0.0|0|0.0|0.0|1|7.515889085|1.768354671|-0.03356339|-0.006206277|-0.015621373|0|0.040501792|0.070099257|0.807254372|-0.235838511|0.008525796|0.108909202|10.31197207|0.115814835|-0.033224348|-0.054891771|0|0.777316288|-0.160218113|0.841769186|0.909993912|-0.082198664|3.43e-05|0.021549915|-37.02024147|49.72883796|-0.032879466|61.55859085|0.7314440520000001|-20.45387851|56.53158029|-18.16607804|0.490421149|2383.68369|502.7764322|-635.8127312999999|0.268555948|0.962404834|5326.217734000001|148.3785764|-255.7481174|869.2568204|11.1163852|1.0|0.0|1.0|0.0|0.0|0.0|0.06|20.0|-7.32|5.35|67.66|2.0|98.25|0.0|3.0|-6.58|-4.76|0.0|0.0|4.76|2.66e-07|1.02e-06|0.0003819999999999|5.4|0.0|0.0|4.81e-08|4.3313|4.77|2.8374|-2212.359379|-2212.348599|572.63|951.55|436.97|0.4348|0.7029|-2212.222254|0.3858|-0.11765|-2212.275094|6.4202
IN1233_a59|0.0|1|3.463603867|0.0|0|6.842683282|0.0|0.1160337319999999|-0.008841844|-0.12050413|2|0.0396875|0.163548857|1.983673343|-0.5039851160000001|-0.005614194|-0.011236836|10.93301779|0.268927191|0.001996439|0.003282792|2|0.74801464|-0.107446431|0.80310139|0.7613246490000001|-0.095213818|0.356444983|0.010831674|-61.73167061|158.8351574|-0.035929742|83.1557517|0.810795898|-41.08157616|72.32484741|-23.91074854|0.483639625|2809.840422|506.6510632|-1267.269673|0.1892041019999999|0.936631949|6206.818668|125.91272279999998|-413.6607749|1562.994677|8.961363774|1.0|1.0|1.0|1.0|1.0|2.0|0.08|27.0|-10.0|5.54|97.55|2.0|125.07|0.0|5.0|-5.59|-6.13|0.0|0.0|3.78|2.54e-06|6.91e-06|0.0029|3.85|0.0|0.0|9.93e-11|5.2194|5.35|3.5355|-1352.351584|-1352.326849|703.47|1204.16|350.69|0.2623|0.6953699999999999|-1352.073755|0.2011|-0.14684|-1352.135303|7.4685
6e_a31|0.0|1|3.402951625|0.0|0|7.773594467000001|0.0|0.06650322|-0.016012184|-0.178758575|0|0.037803618|0.132664341|0.0|-0.784597028|-0.011483229|-0.008757878|10.31165994|0.225356759|-0.002840672|-0.004825446|0|0.78240875|-0.071378445|0.841537966|0.623340994|-0.130898441|0.177030306|0.032627586|-74.99224589|229.6732654|-0.046541668|99.0823033|0.7604979040000001|-45.72760428|93.68572477|-28.37945369|0.4782688439999999|2776.836977|380.0911673|-1277.075416|0.239502096|0.916695963|6053.812282|146.03985980000002|-317.6847132|1679.262243|13.86851128|1.0|1.0|1.0|1.0|1.0|2.0|0.1|22.0|-7.33|5.19|131.36|1.0|109.69|0.0|4.0|-5.63|-6.5|0.0|0.0|3.27|2.34e-06|2.18e-05|0.00883|3.2|0.0|0.0|4.67e-08|3.3083|4.31|3.3083|-1652.669408|-1652.63264|634.34|1077.48|374.76|0.5103|0.70391|-1652.445002|0.5103|-0.13418|-1652.503557|6.4318
1n_a5|0.0|1|2.91912867|0.0|0|6.605297921|0.0|-0.1387762669999999|-0.007315978|-0.0533837329999999|2|0.024388889|0.002508727|0.0|-0.3365350029999999|0.004367323|-0.150600424|10.94528897|0.004115733|-0.00966135|-0.015850084|2|0.77828693|-0.013686011|0.8402078140000001|0.785210014|-0.081950989|0.428980979|0.023129277|-47.1725036|123.2912732|-0.030493391|55.29041202|0.627751746|-27.07741706|63.57058627|-17.50346525|0.483868192|2437.279452|450.71720610000006|-752.6490056|0.372248254|0.937489579|5101.31614|213.67365440000003|-146.6611704|1198.959638|16.53002342|1.0|1.0|1.0|1.0|1.0|1.0|0.05|23.0|-8.07|4.41|80.76|1.0|101.77|0.0|5.0|-4.27|-6.41|0.0|0.0|3.14|5.41e-05|6.56e-05|0.0234|2.91|0.0|0.0|8.43e-09|4.3838|4.19|4.3838|-1179.209088|-1179.169527|607.15|1017.23|282.82|0.3789|0.44786|-1179.018429|0.3789|-0.17092|-1179.073189|7.5686
14z_a23|0.0|0|0.0|0.0|2|7.423568444|3.305974434|0.08752343|-0.005892861|-0.024897956|2|0.04314059|0.038811869|0.729326158|-0.30053593|0.009174505|-0.0438568409999999|10.31321795|0.0708381429999999|-0.069023218|-0.125978901|2|0.802520527|0.10796308|0.8668730109999999|0.925301102|-0.079754981|0.228957475|0.018337664|-40.56245532|52.02674091|-0.03393829|79.960755|0.785604449|-28.25118461|66.77741935|-23.63754572|0.474697407|3094.698027|644.4593172|-1110.964649|0.214395551|0.903664694|7285.13008|149.3235124|-397.8390333|1414.152695|11.22918692|0.0|0.0|1.0|0.0|1.0|1.0|0.05|26.0|-8.57|4.64|105.02|2.0|130.3|0.0|5.0|-6.77|-5.8|0.0|0.0|4.49|1.7e-07|7.37e-07|0.000354|4.83|0.0|0.0|2.6899999999999996e-09|4032.0|4.73|3.6632|-2549.107748|-2549.0953670000004|715.41|1221.92|338.46|0.3201|0.69913|-2548.895003|0.2917|-0.15195|-2548.957384|8.2941
19a_a22|0.0|0|0.0|0.0|1|6.842683282|1.572240489|-0.000989685|-0.009145283|-0.144269652|2|0.0389622639999999|-0.020553065|1.545757986|-0.548716971|-0.002607064|-0.011513343|10.9464374|-0.03516233|-0.035723406|-0.0611158559999999|2|0.777600172|-0.155892259|0.834033833|0.744354735|-0.09370213|0.51561501|0.024839714|-67.26339083|190.7541925|-0.035138299|106.645364|0.684706189|-50.18975739|89.23486638|-26.21905704|0.4347718229999999|3167.140147|555.4133255|-1468.267194|0.315293811|0.76919701|7095.27723|235.2620007|-275.6435167|2144.375527|19.31738094|1.0|1.0|1.0|1.0|1.0|2.0|0.08|27.0|-8.76|3.08|128.68|1.0|132.15|0.0|7.0|-4.38|-7.67|0.0|0.0|2.36|4.16e-05|7.69e-05|0.0356|2.05|0.0|0.0|1.73e-09|5.0397|5.69|3.5809|-1537.071348|-1537.0241640000002|740.07|1277.14|346.24|0.2218|0.66605|-1536.756515|0.0623|-0.1508|-1536.823574|7.3188
12k_a36|0.0|1|3.483171769|0.0|0|7.412764017000001|0.0|-0.076124222|-0.0071232019999999|-0.063399056|2|0.039061728|0.096315593|0.0|-0.413145744|0.002782748|0.003690005|10.94908765|0.163804836|-0.095253274|-0.1619981409999999|1|0.811903388|-0.09344781|0.8647233590000001|0.8427704640000001|-0.101946803|0.367754573|0.018067063|-49.87227128|103.5614526|-0.037758075|0.0|0.7806817009999999|-32.84907515|78.24529096|-24.86988906|0.478908312|2792.202559|555.1026569|-1342.974009|0.219318299|0.919048073|6027.033337|144.457092|-369.7499256|1720.258086|11.0965905|1.0|0.0|0.0|1.0|0.0|2.0|0.12|17.0|-7.01|3.62|69.2|1.0|133.84|0.0|6.0|-4.58|-6.34|0.0|1.0|2.37|2.6e-05|2.82e-05|0.0115|3.45|0.0|0.0|9.66e-08|5053.0|3.83|3.6631|-1310.3453949999998|-1310.312649|697.92|1186.08|338.46|0.3116|0.70031|-1310.072976|0.0908|-0.15053|-1310.134752|7.8539
3b_a49|0.0|0|0.0|0.0|1|7.535296702|2.104186262|-0.003115526|-0.0057605869999999|-0.055724324|2|0.034155556|-0.090939066|1.844602991|-0.322592863|0.000607064|-0.010613212|10.92976559|-0.151131362|0.000511959|0.000850823|2|0.794997634|0.021506499|0.845992028|0.749104358|-0.0846496|0.482434361|0.013576151|-54.04959517|153.4719941|-0.0276739079999999|81.60358988|0.656865946|-33.06194987|64.91785551|-16.92803342|0.477583842|2660.339607|458.224537|-880.2577376|0.3431340539999999|0.914182753|5934.158315|209.89391040000004|-191.9087104|1340.087338|13.13798859|1.0|1.0|1.0|1.0|1.0|2.0|0.22|21.0|-7.58|3.16|98.72|1.0|116.94|0.0|6.0|-3.53|-7.42|0.0|0.0|2.38|0.000293|0.000256|102.0|1.84|0.0|0.0|2.64e-08|4.6669|3.4|3.8418|-1293.3286859999998|-1293.291817|664.15|1132.92|322.72|0.1978|0.6632|-1293.048179|0.0759|-0.1587|-1293.106236|7.6021
11g_a5|0.0|1|2.9590700880000003|0.0|1|7.139660336|1.984996534|-0.204002571|-0.004593347|0.009272269|2|0.020943152|-0.083337229|0.0|-0.252634073|0.00599982|-0.137618073|10.94877951|-0.14133011|-0.137739838|-0.233590516|2|0.814159231|-0.075382189|0.8737292720000001|0.837943738|-0.076326887|0.396049407|0.023215707|-44.19305139|106.4990972|-0.025442296|0.0|0.543581314|-29.04250676|71.21847290000001|-16.72000506|0.485790997|2823.738452|550.6745046|-852.7202582999998|0.456418686|0.944734523|5817.569415|299.94631180000005|-57.28097817|1568.70782|21.05845771|1.0|1.0|1.0|1.0|1.0|1.0|0.08|28.0|-9.04|4.17|81.51|1.0|118.35|0.0|7.0|-4.12|-6.84|0.0|0.0|2.96|7.65e-05|4.88e-05|0.0199|2.75|0.0|0.0|9.229999999999999e-10|4.5106|2.3|4.2083|-1330.189793|-1330.144218|693.48|1180.25|294.62|0.4609|0.63081|-1329.927772|0.2403|-0.1714|-1329.988893|7.5229
12_a47|0.0|1|2.903215905|0.0|0|6.605297921|0.0|-0.155854903|-0.005522244|-0.078935336|2|0.036632997|0.001435849|1.555521837|-0.209845277|-0.0047488359999999|-0.018573056|10.95005729|0.003417588|-0.006318684|-0.015039637|2|0.8288334490000001|0.055943216|0.90246604|0.7840710409999999|-0.091853238|0.266995634|0.018014416|-44.18983348|112.4599133|-0.034116917|0.0|0.680723821|-23.01490672|61.09751253|-17.76874008|0.4792593739999999|2266.78114|408.3591283|-621.9059029|0.319276179|0.920341815|4816.005822|166.28511369999998|-188.2488142|913.5950352|13.25859692|1.0|1.0|0.0|1.0|1.0|2.0|0.0|21.0|-8.11|4.19|66.49|0.0|91.63|0.0|3.0|-4.51|-5.94|0.0|1.0|3.37|3.11e-05|2.77e-05|0.00943|3.43|0.0|0.0|7.69e-09|4.2907|3.01|3.9538|-1488.101254|-1488.064043|537.79|886.46|313.58|0.2306|0.68557|-1487.974738|0.2241|-0.1633|-1488.024564|8.2
