molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|nARing|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC7i|AATSC1i|GATS1are|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RNCS|RPSA|TPSA_x|WPSA3|FNSA1|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|PPSA1|WNSA2|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50
12o_a36|1|0|0|3.444418304|0.0|7.412764017000001|2|2|0.01340619|5.351858133|-0.079716275|2|0.040770975|0.03842353|0.0|-0.613501857|-0.00233752|-0.059733192|-0.010904454|0.065221584|-0.213993335|0.859938421|-0.01854899|0.848816593|0|0.7592112809999999|-0.082048664|-0.10624773|0.514457955|0.023402195|-76.51720886|55.47133795|0.2407887189999999|173.4105814|12.13767506|0.666462845|95.66406176|75.94332024|0.469699889|3009.981519|546.7667677000001|-1453.826968|2778.220342|7.322888607|240.2059039|-1047.013252|-239.7655413|2181.407379|19.1468529|0.0|0.0|1.0|0.0|3.0|4.97|0.17|17.0|-6.93|2.38|1.65|98.3|1.49|0.0|138.06|0.0|1.0|7.0|-3.54|33.0|5.0|438.48|0.0|1.47|-3.64|128.0|0.000227|0.0997|1.85|1.1800000000000001e-07|-0.05456|5.1927|3.8726|-1440.926241|1240.51|0.4075|238.77|560.88|0.36719|0.67273|-1440.671057|0.2888|-0.21151|0.04371335|7.3979
14l_a23|0|1|1|0.0|0.0|7.423568444|0|0|0.060717916|5.351858133|-0.026530366|2|0.046283951|0.042748013|0.758109562|-0.288615723|0.01269616|-0.060692376|-0.061788679|0.07815878|-0.136106024|0.725800261|-0.1010279259999999|0.836852328|1|0.921267667|-0.053549434|-0.078204688|0.215920645|0.018669073|-51.59307331|40.34135162|0.078732333|51.94117061|8.125310915|0.7896261940000001|61.54673359|47.64388017|0.492922575|2879.181064|607.777253|-1083.45454|2176.038061|8.006380163|138.7874759|-714.7749208|-382.1434717|1372.110688|9.953660282|0.0|0.0|1.0|1.0|1.0|3.51|0.09|26.0|-7.78|3.88|4.33|105.02|3.24|1.0|125.25|0.0|1.0|5.0|-5.85|31.0|4.0|425.51|0.0|3.78|-5.25|0.000608|5.61e-06|0.0023899999999999|3.94|1.65e-08|-0.07191|3.6274|3.6274|-1669.224647|1185.79|0.4239|341.8|560.51|0.67242|0.67242|-1668.983787|0.4239|-0.2183|0.01168219|8.1798
21_a10|0|0|0|0.0|0.0|7.535296702|1|1|0.036507898|5.4161004020000005|-0.085463279|2|0.035818182|-0.032405474|1.817620533|-0.549176498|0.001533145|-0.023060773|-0.003554514|-0.051564917|-0.03765494|0.7135035209999999|-0.005970601|0.81962595|1|0.7747854129999999|-0.091053776|-0.084654798|0.8663152820000001|0.018892889|-59.80834512|240.7558768|0.225214587|159.11338909999998|9.430154402|0.704106635|75.80259699|77.676969|0.391384102|3104.255496|547.3834282|-1255.975247|2701.142106|8.388036625|209.0477207|-887.342515|-288.401376|1783.785559|15.99425187|1.0|1.0|1.0|0.0|1.0|3.5|0.11|27.0|-8.71|4.47|5.6|90.13|2.81|0.0|128.59|0.0|1.0|5.0|-5.77|34.0|6.0|448.47|0.0|4.04|-5.51|0.0007599999999999|3.12e-06|0.0014|4.17|1.94e-09|-0.06082|5.9596|3.8599|-1485.461532|1225.01|0.2574|208.04|517.44|0.4226399999999999|0.68165|-1485.216871|0.1489|-0.2226|0.03802869|5.3188
12ah_a36|1|0|0|3.456839001|0.0|7.412764017000001|2|2|-0.050415481|5.351858133|-0.043678703|2|0.043848238|0.078459408|0.0|-0.41302559|0.0005016269999999|-0.083956827|-0.050147748|0.133939811|-0.177407665|0.8941919290000001|-0.0861053359999999|0.8910146309999999|0|0.828405275|-0.0758457179999999|-0.1059368909999999|0.271553945|0.0184777819999999|-68.45222166|82.70705743|0.171594725|110.8777131|7.714903458999999|0.768906425|80.02464883|60.9481085|0.468162246|2786.56479|535.2826672|-1232.13999|2334.380591|8.26712637|149.3235124|-796.1600443|-347.5133554|1602.457659|11.57242717|1.0|0.0|1.0|0.0|2.0|4.73|0.14|17.0|-7.18|3.35|2.54|69.2|2.51|0.0|128.76|0.0|1.0|5.0|-4.44|30.0|4.0|415.88|1.0|2.34|-4.59|0.0151|2.55e-05|0.0106|3.31|6.65e-08|-0.05637|5.2259|3.7792|-1692.512868|1148.39|0.6729|237.25|532.36|0.40051|0.6970000000000001|-1692.3109559999998|0.0485|-0.2107099999999999|0.03300341|7.9586
18_a3|1|0|0|2.897754472|0.0|6.605297921|0|0|-0.256375952|4.59511985|-0.021283637|3|0.034712644|0.08269134|1.742872103|-0.122072724|0.0057881999999999|0.042606196|-0.025890816|0.150826737|-0.064953613|0.7226687409999999|-0.051083228|0.784960175|1|0.8419576209999999|-0.069839069|-0.0846755|0.217881538|0.013796397|-37.67445366|160.9514039|0.158042379|70.31739201|2.73114076|0.682492203|48.19055867|37.21171433|0.483376636|1938.093995|374.610053|-452.0934439|703.8534116000001|5.293627315|141.2679329|-201.1487809|-162.3915791|662.4155441|10.51610501|0.0|1.0|1.0|1.0|1.0|2.62|0.0|21.0|-6.83|3.42|3.08|67.35|0.93|0.0|80.35|0.0|1.0|2.0|-2.82|21.0|4.0|273.29|1.0|2.21|-3.27|411.0|0.000537|147.0|1.79|1.49e-07|-0.05769|3.9765|3.9765|-889.9402005000001|784.04|0.3326|311.79|330.54|0.6671699999999999|0.6671699999999999|-889.850598|0.3326|-0.2218|0.02173162|7.5229
1i_a5|1|0|0|2.843224727|-4.358943904|6.605297921|0|0|-0.145964178|4.59511985|-0.31059482|2|0.0253888889999999|0.018196138|0.0|-0.279280326|-0.0012491689999999|-0.174016111|-0.003198529|0.059972925|0.004923698|0.525406088|-0.00496377|0.8436458929999999|0|0.8876055620000001|-0.091178745|-0.084018635|0.4729402929999999|0.008291428|-46.82694838|201.1526326|0.112394438|62.64191946|2.575548983|0.759459597|57.78921354|55.43870932|0.4697279689999999|2482.831286|494.6981114|-796.0581225|942.1618767|7.314842247|134.0627959|-443.6750585|-289.21443910000005|1048.190221|10.96226516|1.0|1.0|1.0|1.0|1.0|2.83|0.05|23.0|-8.88|5.48|6.37|54.46|2.73|0.0|95.49|0.0|1.0|4.0|-4.79|27.0|6.0|366.34|1.0|4.12|-4.97|0.00589|1.0800000000000002e-05|0.00396|3.95|1.3300000000000002e-09|-0.05729|4.7243|4.3799|-1288.322373|957.58|0.7585|262.44|443.05|0.4571199999999999|0.50107|-1288.210207|0.0207|-0.23674|0.03383899|7.6198
12w_a36|1|0|0|3.3131307480000003|-4.750262163|7.412764017000001|2|2|0.081390556|5.351858133|-0.297354748|2|0.041555556|0.041058884|0.0|-0.917874106|-0.011700732|-0.041402825|-0.010726574|0.115646674|-0.3344729369999999|0.647732719|-0.016393443|0.8792981679999999|0|0.828363244|-0.086826396|-0.111267166|0.532980165|0.021104445|-79.88912835|112.947763|0.171636756|123.23411609999998|10.87965823|0.70536279|99.51883498|77.49366829|0.4672300679999999|3230.870697|594.7596206000001|-1597.782567|2602.5207|8.365472166|211.5476713|-1147.197876|-294.8983941|2265.1925920000003|19.62970663|1.0|0.0|1.0|0.0|2.0|4.82|0.17|17.0|-7.14|3.31|4.04|78.43|2.04|0.0|130.43|0.0|1.0|7.0|-5.2|34.0|8.0|465.43|0.0|2.65|-5.07|0.00291|8.6e-06|4.0|3.86|7.24e-08|-0.05326|3.8881|3.8881|-1645.169951|1198.72|0.4508|318.88|552.55|0.69466|0.69466|-1644.953222|0.4508|-0.21034|0.0328886|7.6383
13e_a6|1|0|0|3.433539068|0.0|6.842683282|0|0|-0.089778965|4.727387819|-0.008507023|2|0.044021739|0.018376555|1.643912856|-0.378539035|-0.003356527|0.0266218529999999|-0.037793156|0.032420935|-0.223618825|0.841211811|-0.067328767|0.827254552|1|0.861676601|-0.074242826|-0.093298845|0.175643236|0.0183790889999999|-62.36320497|66.59852278|0.138323399|92.4587065|8.211609879|0.722530518|75.42629799|61.91072885|0.4442079679999999|2868.489025|575.965487|-1122.537689|3457.565879|7.973429837999999|185.4673146|-750.3313497|-297.4895642|1553.619759|13.06309302|1.0|1.0|1.0|1.0|2.0|3.51|0.08|27.0|-10.18|5.01|4.53|103.17|0.92|0.0|123.82|0.0|0.0|5.0|-5.11|32.0|5.0|417.47|1.0|3.31|-4.78|0.00323|1.65e-05|0.00688|3.27|6.59e-11|-0.07534|5.9885|3.2475|-1347.25954|1202.5|0.8312|207.04|567.24|0.38609|0.7034199999999999|-1347.014564|0.0104|-0.20804|0.03809808|7.9208
16e_a32|1|1|1|3.343660084|0.0|7.765993078999999|0|0|0.180914799|5.733341277|-0.06951854|0|0.040982906|-0.04474426|2.080236877|-0.772021601|-0.0048042729999999|-0.070351839|-0.01320745|-0.079817994|-0.219947482|0.804503712|-0.022651598|0.91471624|1|0.7903051590000001|-0.087117996|-0.117338144|0.504569498|0.024145309|-75.36830928|105.4021155|0.209694841|134.6906051|9.961663868|0.702226562|90.34923861|71.46633549|0.458956284|2710.157931|507.6266039|-1130.524639|3376.1299740000004|6.573687662|191.2650034|-726.1554308999999|-259.78720209999994|1609.914378|14.98092934|1.0|0.0|1.0|1.0|2.0|3.64|0.26|19.0|-7.38|6.03|4.6|149.27|1.12|0.0|111.95|1.0|1.0|8.0|-6.59|28.0|5.0|413.52|1.0|3.77|-4.75|0.000107|1.7899999999999998e-05|0.0074099999999999|3.76|4.18e-08|-0.0505899999999999|3.6214|3.6214|-1955.965644|1130.95|0.2858|342.37|552.79|0.7022|0.7022|-1955.766505|0.2858|-0.2005|0.02792775|8.1367
12an_a36|1|0|0|3.489959714|0.0|7.412764017000001|2|2|-0.05423417|5.351858133|-0.046532211|2|0.042739018|0.0966393909999999|0.0|-0.407702102|0.00285431|-0.131674913|-0.031635802|0.170355752|-0.133106642|0.906423012|-0.055405405|0.885733922|0|0.836440154|-0.073519599|-0.105145528|0.270501913|0.0173118669999999|-71.0446809|82.43567331|0.163559846|110.5140393|7.903608682000001|0.783512615|81.70091433|61.37296195|0.44576647|2881.978785|565.1654879|-1349.848937|2399.367452|8.773001855|146.2760938|-912.0652916|-383.1273396|1722.817107|10.65623343|1.0|0.0|1.0|1.0|2.0|4.85|0.17|17.0|-7.05|3.33|2.61|94.5|2.51|0.0|135.47|0.0|1.0|6.0|-4.85|31.0|4.0|427.52|0.0|2.33|-4.51|0.0061|3.09e-05|0.0132|3.19|8.95e-08|-0.05561|5.1771|3.7872|-1670.417726|1215.98|0.6702|239.49|571.76|0.44822|0.69094|-1670.182102|0.0644|-0.21035|0.0345115999999999|7.3979
