molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nARing|SaasN|AATSC1c|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA5|PPSA3|RNCS|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|BBB|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
47j_a18|0|0|0|0.0|7.03438793|1|0.0|-0.007807275|0|0.033563218|-0.048528478|0.0|-0.569931053|0.00031105|-0.006923502|10.94702285|0.0033281|0|0|0.002317206|-0.218974385|0.7444236670000001|-0.002262399|0.77844379|0.757001264|0|0.80651845|-0.094744194|12.42035127|95.57657747|9.661420661|99.50526447|-2.368604851|86.31641604|-26.32095773|69.23713027|0.481373558|3172.831382|627.366638|-1842.467041|0.235574938|18.50538303|0.928170101|7316.123159000001|183.246715|-1433.2001369999998|0.016220875|-411.3767328|2410.265089|12.6177344|1.0|1.0|0.0|1.0|1.0|3.0|0.28|18.0|-8.79|2.82|97.76|2.63|2.0|149.96|1.0|11.0|-5.83|37.0|0.0|2.39|7.32e-06|0.00366|4.07|1.0|0.0|1.63e-09|3.1054|3.1054|-1625.445572|1459.55|399.25|0.5439|776.31|0.6983600000000001|0.5439|-0.1285|4.1619|0.03246539|1625.053346|35.0|7.4559
4h_a46|0|0|0|0.090767245|7.825245291|1|2.134072222|-0.005778576|2|0.040890805|-0.057256598|0.0|-0.404500343|-0.0008161889999999|-0.021951549|10.31928028|-0.09922757|1|1|0.003087227|-0.030014575|0.7543177040000001|0.075704004|0.7955809979999999|0.6947264059999999|0|0.767244275|-0.083997524|7.900037181|105.2773797|6.198442205|19.09455432|-2.015940586|74.99848132|-23.9655397|73.14480467|0.4866209529999999|3472.1185880000003|601.9869510999999|-1581.72562|0.194493895|15.85230406|0.947878486|7808.347937|152.6017078|-1241.036544|0.011589523|-479.405829|1963642.0|9.093247153|1.0|0.0|0.0|1.0|1.0|2.0|0.3|23.0|-9.2|6.18|124.17|2.27|0.0|142.08|0.0|6.0|-6.53|36.0|0.0|3.82|2.06e-06|0.00104|4.21|0.0|1.0|6.38e-10|4.2444|4.18|-1923.926093|1397.46|296.62|0.5451|682.14|0.54445|291.0|-0.1711599999999999|1.7601|0.04729184|-1923.611784|229.0|6.6402
18_a3|1|0|0|0.0|6.605297921|0|0.0|-0.003487792|3|0.034712644|0.08269134|1.742872103|-0.122072724|0.0057881999999999|0.042606196|10.96965878|-0.025890816|1|1|0.005799063|-0.035611069|0.714658751|0.0355413979999999|0.784960175|0.6858831809999999|1|0.8419576209999999|-0.0846755|6.1383958|160.9514039|2.73114076|0.0|-1.016105994|48.19055867|-14.12792012|37.21171433|0.483376636|1938.093995|374.610053|-452.0934439|0.317507797|10.24658906|0.935646099|3928.183499|141.2679329|-201.1487809|0.02363555|-162.3915791|662.4155441|10.51610501|0.0|1.0|0.0|1.0|1.0|1.0|0.0|21.0|-6.83|3.08|67.35|0.93|0.0|80.35|0.0|2.0|-2.82|21.0|1.0|2.21|0.000537|147.0|1.79|0.0|0.0|1.49e-07|3.9765|3.9765|-889.9619321|784.04|311.79|0.3326|330.54|0.6671699999999999|0.3326|-0.1641099999999999|2.6366|0.02173162|-889.894728|0.03|7.5229
4o_a46|0|0|0|0.160026534|7.825245291|1|2.138144369|-0.000627744|1|0.043320988|-0.2363624889999999|0.0|-0.032014955|0.010870588|-0.203025042|10.93828256|-0.06855792|1|1|0.010144781|-0.018058762|0.7699448320000001|-0.121466731|0.8176134690000001|0.6418406720000001|0|0.950732618|-0.06570509|5.332434441|5.821925821000001|2.9243708|31.19780621|-1.051281434|42.00638612|-12.01115223|40.87645867|0.460981009|2195.436986|521.3931342|-576.535307|0.248979351|10.25486577|0.855222204|4966.476822|136.5432529|-316.1788552|0.0108913189999999|-275.3254498|767.6690487000001|5.972929428|1.0|0.0|1.0|1.0|1.0|0.0|0.32|17.0|-7.26|4.94|54.5|2.72|0.0|103.66|0.0|2.0|-4.91|26.0|1.0|3.92|1.34e-05|0.0045899999999999|4.06|0.0|0.0|5.5e-08|4.3255|4.3255|-1070.456878|1022.29|286.64|0.1598|501.08|0.6843|0.1598|-0.18282|3.4494|0.02815574|-1070.276387|162.0|6.7905
13d_a5 (GW788388)|1|0|0|0.0|6.605297921|1|0.0|-0.005668173|3|0.027375887|-0.092509033|0.0|-0.33442223|0.002956745|-0.086484275|10.94530363|0.024793388|1|1|0.003668464|-0.010147323|0.78479342|0.024905619|0.834800344|0.71006207|0|0.774103723|-0.0844793|9.637686167|151.3669372|6.374277851|44.69922692|-1.605106706|70.45205183|-19.30187193|67.0626077|0.488398052|2834.036315|511.985152|-1061.602956|0.330817879|15.788837|0.954644629|6122.792779|218.7999323|-702.1345259999999|0.022041749|-223.7910275|1586.418589|14.57821204|0.0|1.0|1.0|1.0|1.0|2.0|0.2|23.0|-8.84|4.11|92.79|1.37|0.0|121.68|0.0|6.0|-4.35|32.0|0.0|3.11|4.5e-05|0.0192|2.75|0.0|0.0|1.45e-09|4.6091|4.1706|-1390.589662|1206.73|297.28|0.5251|532.01|0.48848|0.1549|-0.17299|2.4867|0.04130059|-1390.355751|18.0|7.7447
21_a34|0|0|0|0.0|8.002694162000001|2|1.88614418|-0.012535886|1|0.036880342|-0.125881566|0.0|-0.7020096440000001|-0.001643445|-0.004734657|10.94874873|-0.009996155|1|1|0.00130996|-0.254686357|0.740092842|0.116926272|0.796991578|0.660871869|0|0.676390843|-0.117789944|22.9240533|168.9671187|15.38241267|77.34839362|-2.120218984|95.12565978|-27.89610644|86.89263143|0.4688149339999999|3115.110331|453.8692584|-1422.701428|0.271739906|13.65523159|0.882583047|7048.305909000001|182.341897|-954.6558014|0.023973624|-306.332473|1953.562249|16.08669155|0.0|0.0|1.0|1.0|1.0|0.0|0.12|23.0|-7.68|3.23|86.55|1.72|1.0|122.59|0.0|4.0|-4.5|33.0|0.0|3.03|1.94e-05|0.0085|3.02|0.0|0.0|2.07e-08|4.3011|3091.0|-1483.3359380000002|1182.6|401.11|0.2174|530.93|0.69292|0.0002|-0.13338|5.3432|0.03023936|-1483.12009|3.36|5.4737
7c_a10|0|0|0|0.0|7.535296702|1|2.1219657030000003|-0.00375251|2|0.039433962|-0.1122332619999999|1.798334646|-0.206388032|0.01006918|-0.033792245|10.92926158|-0.066271289|1|1|0.0107756969999999|-0.12177839|0.7928588059999999|-0.087063341|0.84177174|0.6952665379999999|1|0.906276489|-0.0876410609999999|16.04055193|87.99694927|9.377842892|58.07647902|-1.139333798|67.01436709|-13.06063972|45.70671102|0.4675549639999999|2616.8970870000003|529.8395322|-666.0926258|0.47369361|12.58937144|0.8781281320000001|6034.895823|276.93712|-389.4200163|0.0269852389999999|-30.75918962|1265.598592|15.7764728|1.0|1.0|1.0|1.0|1.0|0.0|0.26|21.0|-7.78|4.43|62.06|1.99|0.0|113.07|0.0|4.0|-4.44|29.0|1.0|3.59|2.05e-05|0.00793|3.46|0.0|0.0|1.66e-08|5.4267|3.8357|-1259.011598|1102.43|323.24|0.4049|488.89|0.68708|0.0921|-0.16055|3.9465|0.02659395|-1258.801509|3.81|5.4191
12bh_a36|1|0|0|0.0|7.412764017000001|2|0.0|-0.006687484|2|0.044197531|0.001012669|0.0|-0.401249012|0.003676818|0.075747971|10.94728093|-0.035747988|1|1|0.0045625|-0.101854847|0.78699829|-0.211972014|0.833398429|0.857993338|0|0.833491953|-0.09959401|11.73109101|83.08294358|7.807212275|0.0|-1.991880197|76.46867897|-23.6718811|58.77476595|0.482052584|2773.193279|554.7010591|-1325.625342|0.216705778|14.56834609|0.930697921|5957.443236|144.22085800000002|-882.2230117|0.015307571|-377.0728785|1692.3721690000002|10.18741188|1.0|0.0|0.0|1.0|0.0|2.0|0.21|17.0|-7.34|2.5|69.2|2.45|0.0|133.68|0.0|5.0|-4.54|31.0|1.0|2.42|2.5e-05|0.0102|3.41|0.0|0.0|4.55e-08|3.8811|3.6255|-1311.589612|1208.61|341.97|0.4386|575.23|0.7039|11.0|-0.14915|5.8338|0.03071385|-1311.356102|14.0|7.8539
14o_a23|0|1|1|-4.758526534|7.423568444|0|3.133942289|-0.014680137|2|0.046090147|0.135737344|0.6669152279999999|-0.807407518|-0.002390707|-0.029012777|10.3132174|-0.049105045|2|2|-0.0004039459999999|-0.0962526|0.802854174|0.000891427|0.861597051|0.575188253|1|0.904077943|-0.094138958|12.835973699999998|110.3941788|9.125801389|0.8929505459999999|-2.165196042|80.64694246|-30.18347529|64.33441296|0.48945652|3399.6213840000005|642.7588542000001|-1539.35724|0.199698446|17.66041891|0.958697036|7967.617129|141.97663490000002|-1094.413931|0.019295686|-427.001863|1923.471511|13.71836682|0.0|0.0|1.0|0.0|1.0|1.0|0.09|26.0|-7.95|6.18|114.25|3.04|1.0|126.97|0.0|7.0|-6.89|35.0|0.0|4.31|1e-06|0.0004969999999999|4.76|0.0|0.0|1.12e-08|3.6989|3.6989|-2042.184285|1236.72|335.19|385.0|582.89|0.58581|385.0|-0.1517|5.9294|0.02299729|-2042.000938|3.0|8.4815
12b_a36 (EW-7197)|1|0|0|0.0|7.412764017000001|2|0.0|-0.008137593|2|0.040899471|0.027495626|0.0|-0.439429998|-0.002526241|-0.098032695|10.96052467|-0.056994595|1|1|-0.000673716|-0.101303149|0.819222745|-0.001567914|0.8741648479999999|0.698414933|0|0.7635183720000001|-0.10866747|13.41367899|81.63796416|8.392238798|5.958751634|-1.956014468|80.95733534|-24.47552312|64.31504105|0.45988432|2772.832013|477.6935927|-1223.776156|0.253252648|12.52485821|0.851455231|6096.459089|158.4469629|-765.6528642999999|0.020730147|-308.7538779|1638.808832|12.96977113|||||||||||||||||||||||||||3.8475|3.7725|-1332.180029|1104.61|328.66|0.4491|486.64|0.69991|0.0197|-0.15571|5432.0|0.03202977|-1332.005651|7.0|8.1549
