molecula|SddssS|NaaNH|SRW09|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|BCUTi-1|n5aRing|AATSC1pe|AATSC1i|MATS1c|GATS1are|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|WNSA5|RPCS|DPSA5|PNSA2|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
14a_a5|0.0|1|6.605297921|0.0|-0.056730193|-0.0053665219999999|4.59511985|-0.005002101|3|0.027375887|-0.132625457|0.0|-0.316624785|10.9488747|1|0.003668464|-0.016337128|-0.36152442|0.7333482170000001|0.847379958|0.71006207|0|0.7909255559999999|-0.080875277|-0.078681402|-54.69145586|-53.20786056|134.62273080000003|0.209074444|141.38542919999998|-35.98151967|55.04914434|69.71575554|-1010.949351|-12.42997952|15.89694877|0.88709518|6177.303329|-683.6488737000001|29.18606491|0.024411136|-175.53051609999997|723.0631751|16.50789498|0.0|1.0|1.0|1.0|2.0|3.24|2.41|0.2|23.0|-8.84|4.56|4.38|92.79|1.37|1.0|0.0|123.0|0.0|1.0|6.0|-4.15|-7.08|1.0|-4.22|6.02e-05|0.0256|0.0|0.0|-0.0507699999999999|4.1501|4.3|4.1501|-1390.592722|692.8|1195.01|298.75|508.64|0.65789|0.5853|-0.1676|-0.2183699999999999|0.04629687|-1390.352729|2.8163|112.0|6.9508|6.9508
14w_a23|0.0|0|7.423568444|3.132012648|0.013971812|-0.006481882|5.351858133|-0.109136569|2|0.046678487|0.045196333|0.6813799420000001|-0.330575965|10.31321817|2|0.003906274|-0.206574435|-0.427696371|0.5788469970000001|0.8668730109999999|0.558482531|1|0.7880718659999999|-0.070714528|-0.088508061|-46.76570273|-58.53311596|43.30287556|0.211928134|140.15462380000002|-38.70975831|90.15900589|72.23920014|-1112.129203|-15.648625699999998|15.58053709|0.988900044|6998.078982999999|-735.4854078|31.82765022|0.020725002|-322.004381|597.2903597999999|13.70608418|0.0|0.0|1.0|0.0|1.0|3.42|3.35|0.05|26.0|-7.93|4.2|5.14|105.02|3.78|2.0|1.0|120.2|0.0|1.0|5.0|-5.68|-6.35|0.0|-5.27|5.41e-06|0.00242|0.0|0.0|-0.0798|3.6632|3.97|3.6632|-1828.385903|676.92|1150.31|338.46|535.54|0.6219399999999999|0.3855|-0.14844|-0.22824|0.02204118|-1828.222578|9.8981|2.0|8.6737|8.6737
9h_a24|0.0|1|7.153833802|1.726213624|-0.203768024|-0.002864393|5.209486153|2.01e-05|2|0.023854167|0.078066659|0.0|-0.105982525|10.96661419|2|0.012380829|-0.047269812|-0.207206943|0.687815726|0.859720539|0.656172477|0|0.883775278|-0.060337884|-0.0687348109999999|-28.52000725|-32.48899638|167.2085719|0.1162247219999999|54.93613103|-15.35662744|1.773520599|47.51520531|-422.3569529|-5.871651668999999|11.11300329|0.914204295|4170.098082|-199.6361567|21.70315707|0.031789952|-68.41568372|295.8603625|15.02620893|1.0|0.0|0.0|1.0|1.0|2.84|1.96|0.0|22.0|-6.05|2.42|2.72|72.28|1.07|0.0|0.0|82.17|0.0|1.0|3.0|-2.83|-6.85|1.0|-3.24|0.000575|166.0|0.0|0.0|-0.0435399999999999|5.1739|1.16|4.3437|-945.2642633|506.68|831.92|239.63|363.48|0.61928|0.0073|-0.18239|-0.22593|0.0305020989999999|-945.200628|7.7741|77.0|7.1135|7.1135
4b_a49|0.0|0|7.535296702|2.075628989|-0.109946885|-0.0074627159999999|5.4161004020000005|-0.077626337|2|0.036555556|-0.064060521|1.645329244|-0.402986655|10.92776533|1|0.002557204|-0.089371493|-0.390006034|0.720824193|0.852400617|0.6967593559999999|1|0.7581492670000001|-0.091725536|-0.090284437|-56.45224362|-55.5653235|41.97072627|0.241850733|148.84640819999998|-34.19753462|64.87087098|71.2971749|-944.6104994|-11.62716177|14.53457293|0.915225186|6025.790417|-581.3580885|29.27523192|0.02556165|-178.8869784|600.3287567000001|15.73185141|1.0|1.0|1.0|1.0|1.0|3.37|3.1|0.22|21.0|-7.05|3.71|3.26|90.13|1.66|1.0|0.0|112.36|0.0|1.0|6.0|-3.81|-7.12|1.0|-3.88|0.000132|0.0527|0.0|0.0|-0.06731|4.6422|3.56|3.7413|-1333.063439|664.86|1121.45|267.08|509.78|0.68242|0.0615|-0.15635|-0.22366|0.03702033|-1332.8586269999998|2.2306|79.0|7.1024|7.1024
19_a3|0.0|1|6.605297921|0.0|-0.206312209|-0.003417504|4.59511985|-0.030657|3|0.0386379929999999|-0.008897473|1.744747103|-0.129865138|10.96959256|1|0.006731579|-0.066245471|-0.270506095|0.718266758|0.8264237520000001|0.687139108|1|0.853017902|-0.067674689|-0.087730634|-31.50932639|-40.8473715|161.5312186|0.146982098|68.43484547|-19.01853079|0.0|48.55416845|-531.0158295|-7.064025721|10.21110415|0.911365749|4138.413977|-247.2409002|20.01615321|0.016552404|-240.2326308|314.0966684|7.706796952|1.0|1.0|0.0|1.0|1.0|2.81|1.6|0.06|21.0|-7.21|3.9|3.39|67.35|1.18|0.0|0.0|85.32|0.0|1.0|2.0|-3.24|-6.5|1.0|-3.58|0.000266|0.0764|0.0|0.0|-0.05757|3945.0|2.43|3945.0|-929.2818523|499.93|832.23|314.28|362.92|0.67351|0.3006|-0.16303|-0.2206|0.020989746|-929.193831|2.8758|23.0|7.6383|7.6383
EW7203_a60|0.0|0|7.412764017000001|0.0|0.025672274|-0.00698487|5.351858133|0.0075638519999999|2|0.041767677|-0.092774356|0.0|-0.377182982|10.31162855|1|0.0036417359999999|-0.090115975|-0.458129101|0.80330079|0.8839272779999999|0.760234689|0|0.8860751579999999|-0.076068195|-0.096226348|-49.19385637|-62.23028092|80.48638339|0.113924842|73.67602619|-40.24477665|0.0|73.82739839|-1182.375337|-15.29301513|16.53092404|0.989250745|6403.777228|-764.6507562999999|30.83771958|0.01793256|-345.1309687|666.0036144999999|11.59711747|1.0|0.0|1.0|1.0|2.0|4.75|3.21|0.13|17.0|-6.7|3.87|2.6|117.47|2.17|2.0|0.0|133.97|0.0|1.0|5.0|-5.74|-6.35|0.0|-4.82|1.53e-05|0.0065|0.0|0.0|-0.06188|5.0166|3.64|3.5192|-1668.025575|678.83|1166.44|247.15|546.85|0.69857|0.0448|-0.1446599999999999|-0.20654|0.03203878|-1667.848192|2.5159|9.0|8.0334|8.0334
12g_a36|0.0|1|7.412764017000001|0.0|-0.063344124|-0.006495469|5.351858133|-0.039008054|2|0.03912037|0.078990142|0.0|-0.409214521|10.95259306|1|0.005035022|-0.163978382|-0.44093902|0.901715152|0.847239339|0.860667615|0|0.854238488|-0.069292341|-0.097067302|-47.63457647|-66.72829531|24.29006276|0.1457615119999999|100.2028184|-45.87193951|5.097410387|77.14470618|-1401.294202|-16.3273005|13.83075477|0.898522257|6223.658545|-963.3107298|30.45962398|0.015152386|-384.6182564|799.5563855|10.41641087|1.0|0.0|1.0|1.0|2.0|5.06|0.0|0.24|17.0|-7.38|3.85|3.01|69.2|2.66|2.0|0.0|138.33|0.0|1.0|6.0|-4.95|-6.19|1.0|-4.86|1.39e-05|0.00589|0.0|0.0|-0.0505199999999999|5.2092|4.21|3714.0|-1350.887005|724.32|1241.66|238.01|657.02|0.70097|45.0|-0.15236|-0.20288|0.0255597|-1350.633209|7.8537|14.0|7.8539|7.8539
47d_a18|0.0|0|7.03438793|0.0|-0.017398129|-0.006087337|4.844187086|-0.041876322|0|0.032916667|0.069914568|0.0|-0.480899596|10.94702255|0|0.005144085|-0.406388629|-0.417659275|0.7640994990000001|0.773981237|0.741366815|0|0.836999127|-0.06394156|-0.087315963|-52.14267013|-71.20388424|64.92967228|0.163000873|132.9229494|-58.06490563|58.93717545|86.29525584|-1780.097106|-19.1002979|19.16475647|0.927940864|7780.945962999999|-1451.622641|33.54943497|0.018506261|-323.1621908|1255.618298|15.0913716|1.0|1.0|0.0|1.0|2.0|4.73|0.0|0.32|18.0|-8.83|2.81|3.21|88.97|2.6|3.0|2.0|159.67|1.0|1.0|12.0|-5.74|-6.57|0.0|-5.28|5.23e-06|0.00276|1.0|1.0|-0.04561|3.1079|8.08|3.1079|-1704.061013|875.6|1544.09|398.94|817.06|0.69905|0.5820000000000001|-0.12844|-0.17405|0.02826074|-1703.622959|4.2225|8.0|8.0969|8.0969
4q_a46|0.0|0|7.832410927000001|2.151582577|-0.2520920439999999|-0.001250008|5.587248657999999|0.004704245|2|0.0462962959999999|-0.012611536|0.0|-0.066250447|10.96363644|1|0.012222698|-0.187559576|-0.125840557|0.716317772|0.848935944|0.703627625|0|0.913550004|-0.052170875|-0.070035423|-29.12008262|-39.09149156|38.31894407|0.086449996|48.25357162|-21.81959712|72.14599138|49.37907349|-586.3723734|-6.545879136|11.78798551|0.952269544|4992.497361|-327.2939568|18.92875482|0.018430997|-133.46593529999998|554.3688216|10.28758193|1.0|1.0|1.0|1.0|0.0|3.95|3.16|0.38|17.0|-6.94|4.09|4.09|52.83|1.75|0.0|0.0|102.63|0.0|1.0|4.0|-3.41|-6.54|0.0|-3.89|0.000129|0.0449|0.0|0.0|-0.03042|4.5296|2.57|4.5296|-1108.751283|606.7333|1043.05|273.72|510.13|0.69002|0.1432|-0.1903|-0.2207199999999999|0.02185677|-1108.566571|3.2968|743.0|6129.0|6129.0
16_a20|0.0|1|6.842683282|0.0|-0.014660441|-0.004705049|4.727387819|0.00695144|2|0.0388043479999999|0.126359252|2.013871268|-0.254072625|10.93301779|1|0.001157852|-0.117308016|-0.458484451|0.7582110409999999|0.809440795|0.724665638|1|0.915005572|-0.066137353|-0.077793092|-43.51359744|-51.18223058|69.28224942|0.084994428|55.92018945|-33.67420774|3.46788153|60.02453683|-972.4623811|-12.79619894|15.24926152|0.8673208|5896.394536|-639.8099471|24.9314775|0.013439632|-368.5817657|664.4562602999999|8.84230625|0.0|1.0|1.0|1.0|1.0|3.5|3.13|0.08|27.0|-10.52|6.38|5.46|78.25|2.2|2.0|0.0|121.69|0.0|0.0|4.0|-6.06|-5.42|1.0|-5.66|2.17e-06|0.0008699999999999|0.0|0.0|-0.05909|5.9837|4.45|3.5704|-1275.900951|686.59|1174.61|207.2|554.41|0.69524|0.1958|-0.1481299999999999|-0.20722|0.03385502|-1275.6960869999998|6.5609|26.0|7585.0|7585.0
