molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|AATSC1pe|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|nFaHRing|RASA|PBF|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|PNSA4|DPSA3|GRAVp|TASA|FPSA1|WNSA2|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Heavy atom count|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
15a_a22|0.0|0|0|0.0|0.0|1|6.842683282|0|0|1.646649187|-0.136588366|-0.0050042229999999|4.727387819|2|0.038167849|0.021482585|1.614660505|0.005288335|-0.057308195|10.9464374|-0.015194063|0.005757758|-0.165471815|-0.360663314|2|0.6819423609999999|0.7392451729999999|-0.09744639|1|0.86664032|0.410151945|-41.92018177|-55.4621036|96.58317516|0.13335968|-0.031425179|-37.6479704|9.799599501|65.53409434|0.702735071|-1.634109304|-21.33157831|56.35672103|2884.815511|588.2800507999999|0.297264929|-752.9594081|0.0216014629999999|1578.4640869999998|1.0|1.0|1.0|1.0|1.0|2.86|27.0|85.59|0.0|0.0|1.0|32.0|0.0|3.19|0.00945|3.18|2.56e-07|5.0577|-1368.35331|696.57|1189.31|339.72|312.0|245.14|0.41078|0.69076|-1368.0755869999998|0.0955|-0.15281|5.2588|-0.21285|0.03153544|-1368.1368730000002|143.0|6.8447|6.8447
12p_a36|0.0|1|0|3.392386149|0.0|0|7.412764017000001|2|2|0.0|-0.0494658159999999|-0.008017607|5.351858133|2|0.042804233|0.114716581|0.0|-0.002526241|-0.084846674|10.96052769|-0.0433009009999999|-0.000673716|-0.217394466|-0.440709431|1|0.724208473|0.828371596|-0.035871448|0|0.748438833|0.315548061|-51.98017377|-68.22905781|83.24921731|0.251561167|-0.039016808|-42.95260501|8.006403882999999|0.0|0.759126153|-1.950840419|-24.56246081|64.698131|2774.926334|471.1687161|0.240873847|-773.1468902|0.019344052|1617.811526|1.0|0.0|0.0|0.0|2.0|0.0|17.0|69.2|0.0|0.0|1.0|30.0|0.0|2.15|0.0515|2.78|5.58e-05|5.3413|-1332.182868|660.71|1113.05|323.11|0.3015|232.12|0.30159|0.66559|-1331.947748|0.1841|-0.15608|4.8805|-0.21131|0.03396697|-1332.006106|9.0|8.0458|8.0458
25_a12|0.0|0|0|0.0|0.0|0|0.0|0|0|0.0|0.00700113|-0.004103693|0.0|2|0.038787879|-0.089297664|2.050456822|0.000864238|-0.025245046|10.93676625|-0.11195017|0.001783739|-0.0861945369999999|-0.4288076329999999|2|0.8472746290000001|0.638255008|-0.2430098439999999|1|0.947937175|0.120087607|-28.517955|-41.75851719|37.96125329|0.052062825|-0.03323193|-21.75703145|1.3444869730000002|0.0|0.917298637|-1.362509125|-17.31450713|31.09844409|2067.69985|493.8944271000001|0.082701363|-369.8695347|0.005118351|773.8971409|1.0|1.0|0.0|1.0|1.0|3.43|22.0|37.81|0.0|0.0|1.0|24.0|0.0|4.29|0.00162|4.76|5.12e-07|4.2653|-974.6569575|560.14|945.73|359.04|0.4483|290.68|0.63284|0.69029|-974.458128|0.1897|-0.14303|1.2494|-0.19655|0.024123749|-974.508059|22.0|7.6576|7.6576
1h_a5|0.0|1|0|2.9516097130000003|0.0|0|6.605297921|0|0|0.0|-0.259241577|-0.001978474|4.59511985|2|0.026339869|-0.02598568|0.0|0.008031558|-0.1197834419999999|10.94466758|-0.044117647|0.007357977|0.0578378779999999|-0.20140246|2|0.71274658|0.780175595|0.070628165|0|0.8806402259999999|0.39793593|-35.25675213|-36.2462047|160.0744187|0.119359774|-0.027798699|-18.90429957|2.393400474|0.484419999|0.7450549759999999|-1.111947978|-14.49848188|39.84574434|2107.271793|459.3001331|0.2549450239999999|-302.4687931|0.01585373|778.3845404|1.0|1.0|0.0|1.0|1.0|2.07|23.0|54.46|0.0|0.0|1.0|24.0|0.0|3.43|0.0174|3.43|1.21e-06|4652.0|-990.6346565|556.57|934.7|284.03|0.3333|266.52|0.4112699999999999|0.57155|-990.472129|0.1754|-0.17797|2.2396|-0.21921|0.031392033|-990.523098|28.0|7.5528|7.5528
12ak_a36|0.0|1|0|3.501132553|0.0|0|7.412764017000001|2|2|0.0|-0.052930979|-0.006465433|5.351858133|2|0.041728395|0.12041792|0.0|0.0042553209999999|-0.116440196|10.95268014|-0.015708652|0.005035022|-0.163978382|-0.439326642|1|0.901715152|0.815627016|0.051506104|0|0.848705143|0.537460657|-49.87483724|-66.15829243|113.186508|0.151294857|-0.032660864|-47.69888026|10.36054668|25.9007405|0.737439195|-1.926990997|-23.5478668|64.24490364|2830.816014|611.9003905000001|0.262560805|-1001.676485|0.018055095|1883.984673|1.0|0.0|1.0|1.0|2.0|0.0|17.0|69.2|0.0|0.0|1.0|32.0|0.0|2.66|0.0047799999999999|3.8|1.7800000000000002e-05|3.8734|-1350.900117|730.3|1247.89|336.05|0.4514|320.09|0.69463|0.7034699999999999|-1350.57563|0.0001|-0.15275|6.3682|-0.20204|0.03471045|-1350.637958|46.0|7.3372|7.3372
14_a4|0.0|0|0|0.0|0.0|1|7.535296702|1|1|1.947126795|-0.2248919089999999|-0.001935612|5.4161004020000005|1|0.0409444439999999|-0.0135414919999999|0.0|0.009588001|-0.08389836|10.94612798|0.117232935|0.008943549|-0.039321879|-0.199315317|1|0.507307223|0.77505994|0.158051825|0|0.8510382459999999|0.218112446|-29.91067393|-32.31961528|12.12963775|0.148961754|-0.03015272|-14.69670456|2.697931638|85.72299913|0.768457211|-0.995039765|-13.71135194|35.84371234|1911.448021|386.9927769|0.231542789|-205.7538638|0.015779688|588.8091192|1.0|0.0|0.0|0.0|0.0|2.39|17.0|30.71|0.0|0.0|2.0|21.0|0.0|3.2|0.11|3.09|0.000539|4.5233|-918.9507745|475.32|794.51|293.02|0.1864|274.1|0.53298|0.55975|-918.851356|0.1067|-0.17381|2.3797|-0.2102|0.020300099|-918.896242|1.32|5.8794|5.8794
14a_a23|0.0|0|1|0.0|0.0|2|7.423568444|0|0|3.39397765|0.050806184|-0.0056795759999999|5.351858133|2|0.042992424|0.0446402609999999|0.757767133|0.012219066|-0.0518554529999999|10.31321831|-0.071842463|0.011363191|-0.137733142|-0.446724057|2|0.72792508|0.7556436440000001|0.114693804|1|0.918677038|0.225448915|-35.20994211|-50.79675604|38.57988954|0.081322962|-0.0341809229999999|-32.12331106|7.800158102999999|80.54176247|0.7807587890000001|-1.606503401|-21.61564087|47.54437201|2816.527785|580.9612768999999|0.219241211|-642.4662212000001|0.016707951|1301.215093|1.0|0.0|1.0|1.0|1.0|2.86|26.0|105.02|1.0|0.0|1.0|30.0|0.0|3.37|0.00139|3.58|1.6100000000000002e-05|3.7119|-1629.928331|665.5|1134.02|334.02|0.3764|334.02|0.6289100000000001|0.6289100000000001|-1629.690316|0.3764|-0.15002|5.8775|-0.2238099999999999|0.0216412|-1629.748476|3.0|8.5498|8.5498
14a_a3|0.0|0|0|0.0|0.0|0|6.823286122000001|0|0|0.0|0.111575338|-0.009312773|4.727387819|3|0.043464052|-0.143740653|1.772745969|-0.00603969|-0.039177314|10.3116301|-0.172643335|-0.004161699|-0.094863591|-0.582572884|3|0.882394075|0.7574238740000001|0.164994144|1|0.790894937|0.21389849|-45.12132248|-46.53709886|256.5548327|0.209105063|-0.036792719|-22.89086827|3.396421044|83.70773843|0.7608768779999999|-1.324537874|-18.09776067|52.02624107|2160.698862|389.0288018|0.239123122|-320.4721558|0.0189212089999999|856.2743893999999|0.0|1.0|1.0|1.0|1.0|2.2|21.0|105.82|0.0|0.0|1.0|23.0|0.0|2.76|0.0113|2.58|4.08e-05|3.2363|-1327.513792|528.91|822.33|383.1|0.4524|383.1|0.69708|0.69708|-1327.354384|0.4524|-0.1321|3.5358|-0.19946|0.02860456|-1327.403067|0.03|7.5229|7.5229
3c_a32|0.0|1|1|3.452148526|0.0|0|7.765993078999999|0|0|0.0|0.025890116|-0.006923974|5.733341277|0|0.043817204|-0.0522536959999999|2.224112182|-0.00017094|-0.113334836|10.31100278|-0.01180891|0.00124359|-0.145525719|-0.5427297289999999|0|0.831186295|0.839409251|-0.003205869|1|0.888766719|0.216289509|-34.91603827|-48.52416391|59.72163595|0.1112332809999999|-0.0288417079999999|-24.94510426|3.995552912|0.0|0.693952122|-1.038301506|-14.82682786|42.68833949|2152.627425|456.8935699|0.306047878|-274.3961469|0.018316536|769.1680542|1.0|1.0|1.0|1.0|1.0|2.95|19.0|110.94|0.0|0.0|1.0|22.0|0.0|4.02|0.000217|4.14|4.18e-05|3.5169|-1633.443791|544.22|903.81|352.54|0.5017|352.54|0.7034600000000001|0.7034600000000001|-1633.297494|0.5017|-0.14219|3123.0|-0.1970599999999999|0.02415856|-1633.348356|9.0|8.0458|8.0458
9a_a40|0.0|0|0|0.0|0.0|1|7.515889085|0|0|1.865740741|-0.028285975|-0.003680068|5.4161004020000005|0|0.0397333329999999|0.168990628|0.921628874|0.01310675|0.157704751|10.31197235|-0.1720337089999999|0.011966382|0.016958188|-0.449508498|0|0.624889926|0.690568477|-0.394662853|1|0.937600185|0.002467659|-29.02567082|-35.24260989|109.9916614|0.062399815|-0.032156295|-17.0405052|2.579562688|51.49564873|0.868476591|-1.093314022|-15.54821024|34.36063715|1971.148912|453.3484005|0.131523409|-255.607578|0.008714375|608.6970611|1.0|0.0|1.0|1.0|0.0|3.28|20.0|58.43|0.0|0.0|1.0|21.0|0.0|4.08|0.000944|4.54|0.000117|4.7066|-1217.955997|515.96|847.69|373.53|0.4746|263.42|0.47831|0.69958|-1217.825264|0.3483|-0.13808|3.8656|-0.20303|0.01109672|-1217.873686|214.0|6.6696|6.6696
