molecula|NaaNH|n9FaRing|SssssC|NaasN|SRW09|nAHRing|AATSC1s|JGI4|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
14ae_a23|0|1|0.0|2|7.423568444|0|-0.029948314|0.042903564|0.7338690390000001|0.008996289|-0.0174992419999999|0.0289586779999999|2|0.009675528|0.047563299|-0.253318853|-0.363230717|0.7763406840000001|0.107765697|0.0469453379999999|0.8356326820000001|0.7317531540000001|1|-0.065169397|-0.087074783|0.202342743|-46.69131269|-62.38566188|24.84237243|0.127637949|91.4475768|-0.0269140239999999|-44.69687612|17.79858399|110.5716332|-1.480271319|87.09501229|-19.28284095|71.53368511|3212.850883|-1060.556252|-13.81539807|8.123993885|15.59484379|0.919603093|336.444465|36.35475577|0.034488074|-43.57178809|1999.511567|770.8206617000001|0.0|0.0|1.0|1.0|1.0|3.76|0.12|26.0|-7.6|3.48|123.48|2.0|0.0|1.0|-5.8|34.0|-6.68|0.0|0.0|0.0|3.44|-5.08|8.22e-06|0.0038799999999999|0.0|0.0|2.49e-08|1.17e-05|3.6036|3.6036|-1858.952529|751.57|344.06|-1858.675325|-0.14537|-0.21659|0.01449323|9.5944|2.0|8.6038|8.6038
14a_a22|0|0|0.0|1|6.842683282|0|-0.052476637|0.038167849|1.614660505|0.005288335|-0.057308195|-0.015194063|1|0.005757758|0.036467904|-0.165471815|-0.360663314|0.6819423609999999|-0.09744639|-0.027029438|0.794858486|0.655865336|1|-0.062215607|-0.081479363|0.490491034|-42.39063895|-55.51601021|14.49148204|0.135922381|92.61079081|-0.031338217|-37.82586486|9.873779458|60.38977977|-1.629587269|70.33046351|-21.35231162|56.88212098|2885.858295|-1110.320204|-14.54840956|8.052850876|14.55117701|0.8069597009999999|203.8666248|30.46889826|0.021742777|-273.61731430000003|1584.38271|684.5377542|1.0|1.0|1.0|1.0|1.0|2.86|0.08|27.0|-9.21|3.87|85.59|1.0|0.0|1.0|-4.65|32.0|-6.61|0.0|0.0|1.0|3.19|-4.68|2.1e-05|0.00881|0.0|0.0|6.1e-10|2.56e-07|5.0653|3.5707|-1368.321586|695.62|347.23|-1368.075682|-0.15029|-0.21174|0.03539365|6603.0|38.0|7.4202|7.4202
14t_a23|0|1|0.0|2|7.423568444|0|-0.024472753|0.045277778|0.758345646|0.01269616|-0.041339801|-0.093434862|2|0.01180744|0.134446672|-0.136106024|-0.4515027279999999|0.725800261|0.113493155|-0.152771194|0.820002545|0.6906097959999999|1|-0.0553915009999999|-0.079253435|0.361071229|-36.09926385|-51.65035498|11.36130649|0.079043164|51.51331913|-0.033286443|-33.66111722|7.404291213|42.20767549|-1.6643221380000002|61.0040156|-21.69314909|47.46057034|2878.4071670000003|-1084.657455|-14.13766923|7.55064865|14.13931199|0.872595673|130.3775455|27.11827225|0.014352462|-390.9561553|1355.9136119999998|666.0036144999999|0.0|0.0|1.0|1.0|1.0|3.49|0.09|26.0|-7.78|3.88|105.02|2.0|0.0|1.0|-5.85|31.0|-6.1|0.0|0.0|0.0|3.78|-5.25|5.61e-06|0.0023899999999999|0.0|0.0|1.65e-08|7.03e-06|3.9855|3.2060000000000004|-1669.21916|692.08|386.72|-1668.980578|-0.15625|-0.22291|0.02135191|8.3062|4.0|8.3979|8.3979
14b_a3|0|0|0.0|0|6.823286122000001|0|-0.1160619169999999|0.039799383|1.7086790859999998|-0.00603969|-0.008040839|-0.102362298|1|-0.004161699|-0.288944272|-0.094863591|-0.575695827|0.882394075|-0.133815639|-0.170297225|0.848135222|0.8255789570000001|1|-0.090994113|-0.100993354|0.379746504|-44.49789848|-49.38772279|6.273415527999999|0.2135234869999999|104.4171556|-0.036469822|-24.15156108|3.067822725|82.79166784|-1.312913604|57.87172082|-17.83445545|50.77131401|2160.565755|-642.0403962|-8.721397057|4.989782639|9.738358819|0.951659927|113.9829058|23.25478753|0.017348996|-261.0537205|837.1723509999999|358.3503513|0.0|1.0|1.0|1.0|1.0|2.5|0.06|21.0|-6.89|4.28|105.82|0.0|0.0|1.0|-4.45|23.0|-6.42|0.0|0.0|1.0|2.82|-3.99|0.000103|0.0327|0.0|0.0|1.28e-07|4.08e-05|3.0724|3.0724|-1327.4859310000002|524.27|403.54|-1327.349444|-0.12942|-0.19618|0.02844675|3.8724|0.38|6.4202|6.4202
9a_a40|0|0|0.0|1|7.515889085|0|-0.020455825|0.0397333329999999|0.921628874|0.01310675|0.157704751|-0.1720337089999999|2|0.011966382|0.291102625|0.016958188|-0.449508498|0.624889926|-0.394662853|-0.2990540869999999|0.749764251|0.61091688|1|-0.060029933|-0.072887601|0.002467659|-29.02567082|-35.24260989|5.334966331|0.062399815|30.17155594|-0.032156295|-17.0405052|2.579562688|51.49564873|-1.093314022|39.45618424|-15.54821024|34.36063715|1971.148912|-528.6391483|-7.51786994|6.749223592000001|13.33684703|0.976056482|63.59419322|17.90285474|0.008714375|-356.33157|608.6970611|323.79254|1.0|0.0|1.0|0.0|1.0|3.28|0.06|20.0|-6.4|4.58|58.43|1.0|0.0|1.0|-5.49|21.0|-4.85|0.0|1.0|1.0|4.08|-5.08|8.33e-06|0.00243|0.0|0.0|4.02e-07|0.000117|4.7066|3.3192|-1217.9449|515.96|373.53|-1217.825264|-0.13808|-0.20303|0.01109672|5.09|214.0|6.6696|6.6696
3a_a12|0|0|0.0|0|0.0|1|-0.042445446|0.032544803|0.0|-0.0025830939999999|-0.062973953|-0.0161799839999999|0|-0.001011111|-0.205054123|-0.1213636769999999|-0.5274624179999999|0.943290857|-0.021522321|-0.032466697|0.759068438|0.8847197109999999|0|-0.07121814|-0.090803706|0.241900756|-34.84701355|-44.430225|4.615711776|0.128014506|62.63745781|-0.034924502|-21.73969523|2.258466332|0.0|-1.362055589|52.21461165|-17.08854808|39.46272532|2045.857684|-666.453375|-8.361421244|5.924949067000001|11.01449587|0.859002624|107.1321197|21.87893986|0.015909241|-275.0354486|853.2786545|381.0058252|1.0|1.0|1.0|0.0|1.0|2.74|0.05|18.0|-7.5|3.43|37.28|0.0|0.0|1.0|-3.6|23.0|-5.88|0.0|1.0|1.0|2.98|-4.06|8.8e-05|0.0263|0.0|0.0|3.13e-08|9.33e-06|4.2336|3.7304|-951.3480023|528.84|332.36|-951.217594|-0.15328|-0.22157|0.023184956|1.9332|194.0|6.7122|6.7122
14ab_a23|0|1|0.0|2|7.423568444|0|-0.028841865|0.04314059|0.7586471459999999|0.013012022|0.010803172|-0.03821899|2|0.012103325|0.038241896|-0.13397874|-0.449699921|0.725358161|-0.085303124|-0.05990912|0.8072028240000001|0.693959193|1|-0.051974369|-0.076243539|0.20155691|-35.59605095|-52.21744789|12.31039874|0.07577767|51.89838547|-0.031648261|-35.76253038|8.431109267|82.79560776|-1.677357849|61.60741239|-21.67516705|47.90644969|2941.47118|-1148.783854|-14.84482393|7.83369055|14.76864227|0.885272615|138.4567483|27.16741043|0.013710439|-407.9635285|1439.872753|733.3886349999999|0.0|0.0|1.0|1.0|1.0|3.82|0.12|26.0|-8.16|4.4|105.02|2.0|0.0|1.0|-6.23|32.0|-5.92|0.0|0.0|0.0|4.12|-5.55|2.81e-06|0.00123|0.0|0.0|6.9799999999999995e-09|3.07e-06|3.6587|3.6587|-1708.543268|719.66|338.88|-1708.277193|-0.14778|-0.21924|0.02013145|8.4721|4.0|8.4012|8.4012
4d_a49|0|0|0.0|1|7.535296702|1|-0.058204482|0.036555556|1.76904838|0.000607064|-0.053327669|0.013451218|1|0.001356445|-0.151004418|0.000850823|-0.417231241|0.7745859279999999|-0.008564167|0.023137464|0.834151595|0.749565191|1|-0.089942837|-0.085966608|0.410804214|-55.40321178|-52.95392476|8.392883773|0.2473653539999999|152.3727245|-0.0281044679999999|-32.61868996|5.16986937|57.16412513|-1.461432343|66.51766234|-17.31186002|63.79609555|2658.242991|-900.2167208999999|-10.66380249|7.998287218|15.09148245|0.8868392740000001|212.6814716|26.44129877|0.022019681|-190.6195379|1374.947536|641.1445234|0.0|1.0|1.0|1.0|1.0|2.68|0.22|21.0|-7.58|3.16|98.72|1.0|0.0|1.0|-3.13|30.0|-7.7|0.0|0.0|1.0|2.27|-3.35|0.0004509999999999|0.18|0.0|0.0|2.64e-08|1.05e-05|5.7447|3.8047|-1293.29417|668.09|325.87|-1293.049085|-0.15888|-0.2219699999999999|0.0395418|5.5765|18.0|7.7447|7.7447
12_a4|0|0|0.0|1|7.535296702|1|-0.271149771|0.0381179139999999|1.587386096|0.005795666|-0.093414896|0.028152112|1|0.009024784|-0.055590089|-0.085553511|-0.220286906|0.5687812560000001|-0.036425699|0.04172421|0.8749408470000001|0.531333552|1|-0.070256284|-0.074699711|0.636722126|-41.69390404|-44.33087544|6.936764267999999|0.194761903|115.5823166|-0.025916226|-26.30835499|4.116653575|7.519189887|-1.269895089|53.59101661|-15.38009964|48.6306683|2927.48584|-753.6248824|-9.127388465|6.223583758999999|11.7599245|0.889574393|167.4891205|21.42753878|0.015603795|-258.476202|1049.9494|608.4548423|1.0|0.0|1.0|1.0|1.0|2.94|0.23|21.0|-7.84|3.69|86.12|1.0|0.0|1.0|-4.18|29.0|-6.84|0.0|0.0|1.0|3.3|-4.33|4.64e-05|0.0188|0.0|0.0|1.45e-08|5.85e-06|4.8592|3.8083|-1617.826064|640.67|325.57|-1617.57796|-0.16224|-0.2312199999999999|0.03555871|10.1971|9.29|5032.0|5032.0
16a_a10|0|0|0.0|1|7.535296702|1|0.023926176|0.0334858389999999|2.009832665|0.011207938|0.014886502|-0.0048530629999999|1|0.011558506|-0.133979603|-0.254024476|-0.1948324069999999|0.748039584|-0.068377262|-0.008879187|0.813036304|0.72613292|1|-0.052574986|-0.076950669|0.3637074329999999|-36.408063|-53.28817038|9.606840334|0.083851314|58.06685151|-0.026063936|-36.90194151|6.652715932|99.81657855|-1.615964058|63.53441386|-18.049219|46.01490333|2862.681038|-1119.0515779999998|-12.4990447|8.531706024|15.88633689|0.862035195|189.0108247|24.82496066|0.014796066|-314.4761648|1539.147561|879.8636987|1.0|1.0|1.0|1.0|1.0|4.46|0.3|21.0|-8.5|4.73|56.07|3.0|0.0|1.0|-5.22|33.0|-5.91|0.0|1.0|1.0|4.24|-5.17|6.76e-06|0.00297|0.0|0.0|3.18e-09|1.4e-06|5.6019|3.8718|-1395.13019|760.0|320.22|-1394.797092|-0.1605|-0.20697|0.02819643|4.6574|47.0|7.3279|7.3279
