molecula|NaaNH|n9FaHRing|n9FaRing|NaasN|SRW09|BCUTs-1|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|GRAV|WNSA2|DPSA4|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
19g_a38|1|0|0|0|7.412764017000001|1.297044182|-0.008497058|5.351858133|-0.117921811|0.042419753|-0.037579797|-0.006877664|-0.009881824|10.96052467|-0.046735135|1|1|-0.004358975|-0.096139701|0.836170906|-0.063110203|0.892249657|0.632625562|0|-0.086314802|-0.114243258|0.022953686|-54.62049927|-72.29378538|14.52522351|137.56612280000002|0.279993731|177.181631|9.191644336|18.41027014|0.719941993|-1.942135378|86.78105144|-24.57988703|0.455443492|2897.384301|455.6240763999999|-1228.994351|-15.5542928|0.280058007|11.62016299|6631.17356|-777.7146399000001|34.14148263|-278.3610963|1707.074131|14.48726605|1.0|1.0|1.0|3.0|4.82|0.14|17.0|3.55|3.11|81.23|1.0|0.0|125.65|0.0|1.0|5.0|31.0|0.0|1.0|2.97|-4.33|5.68e-05|0.0238|4.67e-05|2.88|0.0|3.19e-05|5.2766|3.66|3.6887|-1431.419426|638.82|1104.29|336.12|234.97|0.3937|0.69982|-0.20748|0.03244515|-1431.244906|6.1765|7.3778|7.3778
15a_a10|0|0|0|1|7.535296702|1.34383719|-0.00244937|5.4161004020000005|0.022297552|0.033912037|-0.125297206|0.011418154|-0.060539141|10.92966696|-0.062038567|1|1|0.01192767|-0.19937094|0.77630271|-0.0232534929999999|0.820233357|0.713078124|1|-0.0458501609999999|-0.076864276|0.0156991769999999|-29.50952422|-49.47045259|10.10411407|42.41151044|0.084862776|54.61835033|6.503087289|122.7715002|0.676473201|-1.3835569680000002|60.98047923|-16.19032994|0.407638879|2656.305166|588.9895149|-890.4681466|-10.42022369|0.323526799|11.33516398|5929.563906|-573.1123029|23.93343877|-227.1590805|1316.339132|11.51002664|0.0|1.0|1.0|0.0|3.5|0.29|21.0|3.95|4.05|56.07|1.0|0.0|118.92|0.0|1.0|6.0|30.0|0.0|1.0|3.33|-4.4|0.000108|0.0432|3.94e-05|3.12|0.0|6.51e-06|5.7646|2.4|3.7639|-1278.452284|687.57|1179.28|329.41|215.08|0.47484|0.68863|-0.20335|0.02976259|-1278.200428|6.1108|7.6198|7.6198
5d_a40|0|0|0|1|8.149890544|0.6049133329999999|-0.005662681|6.167516491000001|0.0418378229999999|0.044526749|-0.1031436519999999|0.007200253|0.2078052269999999|10.31198333|0.029272031|2|2|0.006642869|-0.259985037|0.8092726020000001|0.145024458|0.877722972|0.483934049|1|-0.086193996|-0.094277694|0.022027556|-39.55506228|-43.26473143|10.10860823|181.4728912|0.245989948|112.88660690000002|4.638915105|53.85026982|0.8111805740000001|-1.131332331|49.97858532|-17.30589257|0.479931934|1974.583878|346.0207917|-519.1767771000001|-7.94180214|0.188819426|12.09256826|4051.712713|-238.2540642|21.3342049|-285.606135|640.0261471|6.713853887999999|1.0|0.0|1.0|0.0|3.02|0.21|14.0|4.08|3.64|75.5|0.0|1.0|74.11|0.0|2.0|3.0|20.0|0.0|1.0|3.1|-3.82|5.9e-05|17.0|0.000152|2.98|0.0|0.0137|3.7374|4.61|3.7374|-1276.833831|473.48|765.69|331.74|331.74|0.69613|0.69613|-0.2164699999999999|0.01667985|-1276.797751|9.2439|7.7212|7.7212
12a_a32|1|1|1|0|7.765993078999999|0.609420757|-0.009460484|5.733341277|-0.057200812|0.036711712|-0.0134169989999999|-0.003484915|-0.031249617|10.31100269|-0.074344282|3|3|-0.001662219|-0.024155151|0.845443342|-0.018578911|0.8966299409999999|0.7507116140000001|1|-0.085324121|-0.109151429|0.016535497|-53.20970382|-68.06885478|10.31184223|111.9735444|0.211297677|131.7691491|6.430656017|62.28768050000001|0.667706375|-1.4189685719999998|81.41372467|-19.23685026|0.456641145|2572.916338|491.8493928|-884.8951120999999|-11.99645651|0.332293625|13.03685125|5656.0082|-551.8369996|28.81034388|-209.1696096|1325.275819|13.34486989|1.0|1.0|1.0|2.0|3.45|0.26|19.0|6.49|4.19|140.04|1.0|0.0|110.47|1.0|1.0|7.0|27.0|1.0|1.0|3.6|-4.5|9.78e-07|0.000389|3.17e-05|3.39|0.0|8.86e-06|3576.0|4.63|3576.0|-1880.771042|667.68|1114.3|346.71|346.71|0.7025600000000001|0.7025600000000001|-0.20049|0.03682626|-1880.600043|4.2371|7.6021|7.6021
47t_a18|0|0|0|0|7.03438793|1.25117758|-0.0128248239999999|4.844187086|-0.161517185|0.03672956|0.018018036|-0.006573438|-0.011641394|10.94702032|-0.04785474|0|0|-0.004985656|0.027313444|0.750103977|0.005590928|0.796935152|0.688453085|0|-0.119202068|-0.103295568|0.014067024|-79.78154029|-69.13537385|9.415011332|280.622476|0.32796681|219.5070758|6.301435212|78.43695402|0.804531523|-2.272502492|80.00407742|-27.16032544|0.49779009|2872.533415|449.789539|-1520.978225|-18.17831387|0.195468477|17.48280476|6603.597038|-1017.985577|33.75918118|-407.6438346000001|1890.514146|10.86870356|0.0|0.0|0.0|3.0|3.86|0.15|18.0|2.6|2.93|110.56|2.0|1.0|129.21|0.0|1.0|7.0|33.0|0.0|0.0|2.15|-4.77|2.65e-06|0.00117|1.7100000000000002e-05|3.57|0.0|1.36e-05|3.1164|9.4|3.1164|-1470.873743|703.76|1218.95|397.84|397.84|0.6895100000000001|0.6895100000000001|-0.19514|0.03767603|-1470.593659|9.6938|6.1068|6.1068
7_a4|0|0|0|1|7.535296702|1.343865525|-0.001729561|5.4161004020000005|-0.003297033|0.037694444|-0.07290303|0.008409909|-0.125778587|10.92992954|0.04206117|1|1|0.008242591|-0.162314698|0.8046449179999999|0.022270259|0.87010589|0.518356619|1|-0.0650223009999999|-0.071288428|0.01470626|-32.72992462|-35.88407105|7.402610584|14.01468959|0.174169393|87.67070691|3.726212114|79.08210981|0.7179916670000001|-1.06932642|44.34066533|-13.45652664|0.437317462|2286.169166|415.6938929|-538.2610657|-6.773539148999999|0.282008333|9.797542165|5022.496714|-270.9415659|18.74189807|-219.4585767|749.6759227000001|8.456594282000001|1.0|1.0|0.0|0.0|3.05|0.15|21.0|4.42|4.67|43.6|0.0|0.0|95.07|0.0|1.0|2.0|25.0|0.0|1.0|3.56|-4.41|0.000156|0.0514|3.92e-05|3.22|0.0|1.15e-05|4.0379|2.91|4.0379|-1089.870249|538.92|915.46|307.05|307.05|0.59702|0.59702|-0.2219199999999999|0.02317758|-1089.753885|4926.0|6821.0|6821.0
24_a20|0|0|0|1|6.842683282|1.40648755|-0.001547029|4.727387819|0.029711934|0.03625|0.087887688|0.009265667|-0.060940703|10.93106245|-0.04104|1|1|0.008780074|0.1468474119999999|0.74131936|0.070857143|0.802353442|0.607038752|1|-0.061437722|-0.067869875|0.012814211|-38.76683848|-42.82548904|8.085691548|12.83518119|0.047972705|30.27049276|5.102023479|406.1522673|0.771032243|-1.357397496|51.30386873|-17.13019562|0.457794721|2736.601949|600.7235847000001|-856.5097809|-10.80905198|0.228967757|12.63879297|6109.1040920000005|-540.4525990000001|22.21722343|-342.0394805|1110.861171|8.478379683|1.0|1.0|1.0|0.0|3.4|0.08|27.0|4.76|4.78|80.28|2.0|0.0|119.42|0.0|1.0|4.0|31.0|0.0|1.0|3.63|-4.93|1.29e-05|0.00519|1.17e-05|3.52|0.0|1.94e-07|5.3396|3.74|3.5876|-1291.896802|685.66|1169.35|345.59|232.2|0.46668|0.44916|-0.22435|0.02922392|-1291.706729|4.3906|6.4976|6.4976
12_a15|0|0|0|0|0.0|1.435689014|-0.006620824|0.0|-0.0455566929999999|0.034285714|-0.035728911|0.001740635|-0.106061273|10.95973444|-0.01062828|0|0|0.0034254209999999|-0.054575504|0.723852961|0.049877871|0.769289315|0.7933685340000001|0|-0.061084417|-0.094209248|0.015018226|-39.00359933|-60.15445365|9.58943236|72.18361893|0.10362709|66.16793071|6.123040777999999|4.192089814|0.746489397|-1.695766456|70.6606311|-20.42981445|0.476419838|2613.57759|572.3516967|-1082.780166|-13.04483751|0.253510603|10.40571107|5897.820841|-691.376388|27.36785616|-314.7766363|1450.496376|10.50617745|1.0|1.0|0.0|1.0|3.56|0.12|24.0|5.32|6.3|56.27|2.0|0.0|119.95|0.0|1.0|6.0|30.0|1.0|1.0|4.7|-5.83|5.99e-07|0.0002379999999999|1.47e-06|5.29|0.0|5.99e-08|4.4819|5.16|3.8538|-1281.087109|688.91|1177.81|321.72|276.63|0.50595|0.70444|-0.19054|0.02694613|-1280.871722|6.0547|8.3979|8.3979
14x_a23|0|1|1|2|7.423568444|1.197963189|-0.0065692219999999|5.351858133|-0.111315218|0.04314059|0.05740118|0.003379755|-0.075184011|10.31321817|-0.0229244|2|2|0.003906274|0.160327487|0.802520527|-0.035031888|0.8668730109999999|0.558482531|1|-0.0708831479999999|-0.084244058|0.022095943|-46.97594633|-55.83053941|14.64350681|42.44114495|0.223171139|147.90081730000003|9.704599953|87.28077098|0.722211323|-1.6006371069999998|70.40248829|-22.56979253|0.468120981|3071.48868|514.8229467|-1060.780249|-14.95753786|0.277788677|14.62325432|6989.569075|-703.0042792|31.25095356|-294.5294492|1468.794817|14.57194888|0.0|0.0|1.0|1.0|3.42|0.05|26.0|4.2|5.14|105.02|2.0|1.0|120.2|0.0|1.0|5.0|32.0|0.0|0.0|4.06|-5.27|2.09e-06|0.0009369999999999|5.41e-06|3.78|0.0|5.23e-06|4.0641|3.97|3.6941|-1828.393372|675.21|1149.42|335.63|305.07|0.6757|0.62836|-0.23475|0.02165405|-1828.228912|8.1916|8.4949|8.4949
22_a47|0|1|1|1|6.86171134|1.408617385|-0.010579222|4.727387819|-0.150248628|0.043695652|-0.029311184|-0.006808306|-0.075111395|10.95023117|0.002716049|1|1|-0.004332497|-0.077468004|0.831122912|-0.077787113|0.890264057|0.591185263|1|-0.080744803|-0.089280419|0.022154032|-47.64347429|-52.67991531|13.07198749|12.19999546|0.301350868|177.81209280000002|7.713126784|54.21581266|0.6096864479999999|-1.42848671|71.28682035|-18.73063655|0.4614909829999999|2692.510471|412.2379505|-842.8786448999999|-11.05201291|0.390313552|12.91589555|6107.923371|-497.3405809|30.72175314|-129.440987|1382.478891|18.60690504|0.0|1.0|1.0|2.0|3.31|0.1|21.0|3.07|4.85|84.73|1.0|0.0|104.64|0.0|1.0|5.0|29.0|0.0|1.0|3.41|-4.38|3.6e-05|0.0142|4.16e-05|3.0|0.0|8.11e-06|4.7954|4.4|4017.0|-1375.05033|605.12|1027.32|308.65|258.55|0.50316|0.68312|-0.22828|0.02840507|-1374.914437|5.7009|9.0|9.0
