molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|MATS2c|AATSC1c|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|PPSA3|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|BBB|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|pIC50
21_a4|0.0|0|0|0|0.0|1|1|1|-0.164057585|-0.003068098|1|0.042924837|0.0|-0.131928225|0.012362563|-0.2897937889999999|10.94593332|1|0.012094249|-0.063064908|-0.099702401|-0.228430899|1|0.6952936|0.777866961|0.090847781|-0.174578783|0.833191212|0.674434042|0|-0.076470465|10.23237244|34.4171635|-0.028676424|-19.67444009|5.190159022|66.03320922|0.7231676229999999|-1.147056976|-14.70482428|47.69702403|-14.54552243|39.22285963|0.401240904|1584.866567|0.276832377|5.961506745|9.956436217|4277.396118|140.4174905|-295.1166014|20.11362507|0.017563978|-226.3943104|804.5450027|387.240586|8.908964226|1.0|1.0|1.0|1.0|0.0|3.37|2.92|17.0|-5.94|3.7|39.94|2.32|0.0|0.0|91.59|0.0|2.0|-3.88|23.0|303.36|0.0|1.0|0.0403|0.0197|3.36|0.0|0.000352|-0.02956|5.1623|3.31|4.0245|-973.5481197|549.71|916.76|308.08|0.2016|446.0|0.5260600000000001|0.66476|0.1457|2.0282|-973.449892|6.9172
1_a15|0.0|0|0|0|0.0|0|0|0|-0.22215316|-0.0084598019999999|2|0.0381893|0.0|-0.541427319|0.001244652|-0.068297833|10.95880609|0|0.003816011|-0.1816819589999999|-0.270248221|-0.34192045|2|0.836466114|0.705825714|0.101406325|-0.001544849|0.74357498|0.795437721|0|-0.1117462069999999|16.94887506|80.34898605|-0.031142386|-46.71058649|10.95802135|63.14412039|0.605927517|-1.899685524|-28.45664402|90.40184737|-20.13460632|60.96303497|0.437969049|2855.495631|0.394072483|6.580146251|11.7078005|7284.337537|254.7811976|-794.0799704|33.22939752|0.0280791829999999|-136.9714493|2026.993248|851.7423982|18.15414234|1.0|1.0|1.0|1.0|1.0|3.91|4.18|24.0|-10.02|5.46|74.73|2.2|3.0|0.0|132.94|0.0|0.0|-6.55|34.0|457.52|1.0|0.0|0.00013|0.000495|5.23|0.0|4.36e-08|-0.04142|4.3834|4.68|3.2188|-1510.117336|697.35|1271.06|385.18|0.2464|598.34|0.64662|0.70553|0.0061|1.2218|-1509.851127|7.3565
12u_a36|0.0|1|0|0|0.0|0|2|2|-0.054501792|-0.006461999|2|0.042560386|0.0|-0.407105926|0.0042553209999999|-0.063855309|10.95266014|1|0.005035022|-0.099596099|-0.163978382|-0.438988314|1|0.901715152|0.8101678720000001|0.080270195|-0.018047007|0.855176759|0.860667615|0|-0.0969881059999999|12.27663887|109.8080843|-0.03452119|-46.98143813|8.544435884|5.944854912|0.77938748|-2.036750221|-35.17050511|78.06218646|-24.02645378|62.80959338|0.486156325|2455.7556010000003|0.22061252|7.65672775|14.90088936|6127.402572|153.5444314|-986.6102007|30.82735404|0.015171583|-388.9026034|1818.813889|799.5563855|10.55929252|0.0|1.0|1.0|1.0|2.0|5.05|0.0|17.0|-7.38|3.85|69.2|2.66|2.0|0.0|138.33|0.0|1.0|-4.95|32.0|423.51|0.0|1.0|0.0047799999999999|0.00589|3.8|0.0|1.7800000000000002e-05|-53.0|3.8847|4.21|3675.0|-1350.865506|739.12|1254.5|337.37|0.4267|590.18|0.69258|0.70272|0.0176|5.8702|-1350.638138|7.7959
8_a1 (SB-202620)|0.0|1|0|0|0.0|0|0|0|0.106916453|-0.013785521|1|0.037578348|0.0|-0.606562911|-0.012672753|-0.1402198369999999|10.94957568|1|-0.0106277489999999|-0.019835038|-0.042643966|-0.612004804|1|0.674381582|0.743088715|-0.042789124|0.063001656|0.805476065|0.658433571|0|-0.105271458|8.809217494|199.1596945|-0.041081545|-33.88588996|4.997944864|64.70432539|0.7742395870000001|-1.684343335|-37.88089785|70.8721358|-23.30777912|75.57687443|0.4564697679999999|1736.664204|0.225760413|7.432247389|13.67402758|5170.286136|128.0860757|-542.1742393|30.104091200000003|0.019645498|-311.18185800000003|1234.267739|433.2550452|11.1459518|1.0|0.0|1.0|0.0|2.0|2.74|2.21|23.0|-8.02|4.86|78.87|2.78|2.0|0.0|99.61|0.0|1.0|-4.94|27.0|359.35|0.0|0.0|0.0041|0.00713|3.6|0.0|3.42e-06|-0.0736899999999999|3.4052|5.32|3.4052|-1223.117248|586.27|977.87|364.11|0.5339|460.4|0.7026600000000001|0.7026600000000001|0.5339|3.4563|-1223.014114|6.3979
16_a47|0.0|1|1|1|0.0|0|0|0|-0.134455235|-0.0056780519999999|2|0.042285714|1.491023983|-0.23280014|-0.005688938|0.001426202|10.95023129|1|-0.004153659|-0.02006804|-0.0574194159999999|-0.3379683979999999|2|0.591929006|0.812131575|-0.113476605|0.081171071|0.87782381|0.57616624|1|-0.092995116|9.676588112|159.6978638|-0.034261359|-24.97833451|5.0150344780000005|0.0|0.697929921|-1.301931629|-25.03540372|60.36423869|-17.75645434|57.9827944|0.473257697|833.8646097|0.302070079|6.855429069|13.01476838|4952.972679|156.55227280000005|-349.69668310000003|25.44160067|0.0234786339999999|-205.1602001|966.7808252999998|357.35851410000004|12.16814835|1.0|0.0|1.0|1.0|2.0|2.93|1.95|21.0|-8.17|4.47|66.49|2.72|0.0|0.0|91.55|0.0|1.0|-4.34|25.0|337.33|0.0|0.0|0.0154|13.0|3.27|0.0|2.3e-06|-0.05717|4.4393|2.95|4.0806|-1167.0124560000002|534.69|894.43|303.84|0.3182|395.28|0.59209|0.6743899999999999|0.0909|2.3795|-1166.951551|9.0
12c_a30|0.0|0|0|0|0.0|0|2|2|0.045997203|-0.006900253|2|0.042804233|0.0|-0.3657134279999999|0.00372838|0.019094532|10.31162888|1|0.003603419|-0.051371057|-0.090173435|-0.468696709|1|0.8264832879999999|0.824373792|-0.031986012|-0.1240820219999999|0.880943609|0.7463962120000001|0|-0.096482247|10.36785909|101.8928318|-0.037411484|-41.12547305|6.768942632999999|0.0|0.8061287690000001|-1.833162702|-32.72642202|72.5855533|-24.42511853|60.4942895|0.452966315|2456.062146|0.193871231|7.652098812999999|13.9883503|6403.739746|126.574178|-781.3839879|30.29927658|0.014695647|-399.7292126|1484.664552|652.8825454|9.594458155|0.0|1.0|1.0|0.0|1.0|4.62|0.0|17.0|-7.22|4.47|81.65|3.31|2.0|0.0|132.29|0.0|1.0|-5.93|30.0|432.93|0.0|0.0|0.0005139999999999|0.00156|4.49|0.0|2.61e-05|-0.0542299999999999|5.0582|4.45|3.5286|-2035.339256|695.96|1168.62|351.37|0.2155|541.39|0.32037|0.68457|0.1568|3.7377|-2035.202565|7.9914
9h_a40|0.0|0|0|0|0.0|1|0|0|0.014753178|-0.009041931|0|0.039444444|0.814591837|-0.343593366|0.003782277|0.133376308|10.31197223|2|0.003099029|0.048470175|0.08305063|-0.503000695|0|0.778613709|0.740778143|-0.160855189|-0.299768519|0.8022014000000001|0.7528137909999999|1|-0.095803029|6.199629554|67.89350333|-0.041058441|-23.98506758|3.102034287|0.0|0.863884935|-1.437045429|-23.03722449|53.60044379|-20.54391962|52.2411122|0.482124665|418.2915223|0.136115065|6.922257828999999|13.366649|4322.734135|68.10626265|-359.7760137|23.78085181|0.011321157|-364.1454816|832.3298135|336.23227030000004|5.664631335|1.0|1.0|0.0|1.0|0.0|3.3|3.55|20.0|-6.51|4.59|67.66|3.22|1.0|0.0|93.19|0.0|1.0|-5.65|23.0|321.4|0.0|1.0|0.000716|0.00244|4.51|0.0|9.93e-05|-0.05991|4.2372|3.9|3.3675|-1293.151333|526.38|868.84|368.18|0.3851|410.18|0.64952|0.69809|0.2721|2.1413|-1293.083512|5.4001
5a_a40|0.0|0|0|0|0.0|1|0|1|-0.116583806|-0.004609716|0|0.0388888889999999|0.808197279|-0.152120625|0.011345707|0.180125135|10.31198338|2|0.010425818|0.004130836|0.007301856|-0.363338726|0|0.538671739|0.756882266|-0.442215721|-0.0395444479999999|0.820901326|0.5263598389999999|1|-0.090991462|9.135164355|64.97877226|-0.036396585|-17.82228195|4.042943749|52.43850484|0.8224652720000001|-1.091897544|-15.30358975|46.06507254|-16.10801287|43.71412865|0.4889874279999999|508.8362301|0.177534728|5.507689573|10.7779923|3736.248815|78.57142892|-213.8673835|19.58503709|0.0130940839999999|-285.426492|587.5511127|244.8873477|5.795040371|0.0|1.0|0.0|1.0|0.0|3.04|2.49|14.0|-4.05|3.68|75.5|1.85|0.0|1.0|74.15|0.0|2.0|-4.13|19.0|269.32|0.0|1.0|0.0202|0.0574|2.88|0.0|0.0241|-0.0657799999999999|3.7921|4.36|3.7921|-1177.5835470000002|466.79|757.45|326.96|0.4461|353.51|0.69499|0.69499|0.4461|5.7163|-1177.555706|7.0915
18_a34|0.0|0|0|0|0.0|1|1|1|-0.063113846|-0.014733513|1|0.040527066|0.0|-0.677741618|-0.001615187|-0.141332289|10.9595763|1|0.002183342|-0.3102088839999999|-0.478810922|-0.493450778|1|0.759292258|0.805756513|0.0468829359999999|-0.224951558|0.8584852479999999|0.713979177|0|-0.129784908|22.55015528|171.24705480000003|-0.0422555509999999|-39.55742812|12.44948722|54.26737825|0.695849945|-1.816988713|-27.53138148|86.77082535|-23.32844015|72.41862911|0.441058733|1774.550004|0.304150055|6.282442545|11.23989749|5296.289007|167.9151283|-553.8039936|33.52510165|0.027385869|-216.2496321|1441.579371|428.6241319|15.11918774|1.0|1.0|0.0|1.0|0.0|3.28|3.61|17.0|-5.65|3.13|75.47|1.49|1.0|0.0|93.91|0.0|2.0|-4.32|26.0|351.36|0.0|1.0|0.0167|0.0275|3.07|0.0|0.000781|-0.03925|4.4335|5.07|4.1234|-1199.259634|592.04|991.93|300.68|0.3525|483.87|0.56101|0.60488|0.0303|5.0935|-1199.158044|5.6144
4e_a49|0.0|0|0|0|0.0|1|1|1|-0.076526919|-0.006602016|2|0.036555556|1.713107022|-0.3631108529999999|-1.8100000000000003e-05|-0.053787795|10.92777282|1|0.000660956|-0.037142108|-0.060391347|-0.403194204|2|0.7541604690000001|0.803344301|0.0063958109999999|0.032396301|0.856023531|0.731643066|1|-0.087866673|10.51443916|149.0098632|-0.029288891|-33.05708028|6.449206277999999|60.11195021|0.650328475|-1.493733437|-35.44835874|68.38360061|-17.96482878|68.30753733|0.471635821|1647.641653|0.349671525|7.934910277|15.01788083|5950.361470000001|214.47685|-561.9703647000001|27.6242383|0.023622273|-184.4129453|1408.836153|620.5697596|14.48911428|1.0|1.0|1.0|1.0|2.0|3.35|2.89|21.0|-7.36|3.4|92.93|1.25|1.0|0.0|114.08|0.0|1.0|-3.28|30.0|399.45|0.0|0.0|211.0|122.0|1.71|0.0|1.74e-05|-0.06461|5.7301|3.34|3.7876|-1313.158118|660.22|1128.64|327.34|0.2273|504.63|0.4078199999999999|0.68043|0.0789|3.9718|-1312.98289|7.4685
