molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|DPSA5|DPSA3|TASA|PNSA2|MOMI-Z|PPSA1|DPSA4|DPSA1|Mor01p|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
4_a38 (LY-2157299)|0.0|0|0|0|0.0|0.0|1|1|1|1.343847059|2.0959524330000003|0.050460026|-0.00638266|5.4161004020000005|-0.080432741|-0.325515636|0.002865697|-0.159241692|-0.020954339|1|1|0.003107816|0.0481706809999999|2|0.702976795|0.8099394329999999|-0.041794304|0.868207983|0.6848692759999999|1|0.754313773|-0.092570349|-0.089446059|0.459041332|-52.90108631|-51.11565158|7.104736984|260.7739337|0.2456862269999999|140.40206619999998|-0.03235283|4.060137052|71.22674185|58.99645489|60.00582329|431.0669496|-868.9660769|1686.693134|122.2274724|23.51893991|-327.0140711|542.7276591|1.0|1.0|1.0|3.27|2.6|0.18|-7.13|3.69|3.51|86.69|1.84|0.0|108.18|1.0|-3.85|28.0|-6.86|0.0|0.0|1.0|52.0|0.0375|2.39|0.0|7.45e-08|2.75e-05|-0.06|3.95|3.78|-1198.683473|-1198.64695|327.69|0.2|266.68|0.4|0.68|-1198.442536|0.06|-0.16|0.03652312|-1198.49738|7.6529|7.1586|7.1586
1h_a5|0.0|1|0|0|2.9516097130000003|0.0|0|0|0|1.427564094|0.0|-0.259241577|-0.001978474|4.59511985|-0.009075016|-0.085074391|0.008031558|-0.1197834419999999|-0.044117647|1|1|0.007357977|0.0578378779999999|2|0.71274658|0.780175595|0.070628165|0.8436458929999999|0.6977404359999999|0|0.8806402259999999|-0.067599619|-0.069496749|0.39793593|-35.25675213|-36.2462047|4.588992214|160.0744187|0.119359774|62.25239147|-0.027798699|2.393400474|0.484419999|44.51475742|39.84574434|459.3001331|-579.9392753|819.6979313999999|132.96722079999998|19.45961351|-255.618083|409.0289917|1.0|1.0|1.0|2.8|2.07|0.05|-8.41|4.99|4.51|54.46|2.13|0.0|95.45|1.0|-4.25|24.0|-5.77|0.0|1.0|1.0|0.0174|0.0111|3.43|0.0|3.87e-09|1.21e-06|-0.04124|3.17|4.3651|-990.6346565|-990.6032645|284.03|0.3333|266.52|0.4112699999999999|0.57155|-990.472129|0.1754|-0.17797|0.031392033|-990.523098|3.3752|7.5528|7.5528
12o_a36|0.0|1|0|0|3.444418304|0.0|0|2|2|1.297042837|0.0|0.01340619|-0.0100574069999999|5.351858133|-0.079716275|-0.613501857|-0.00233752|-0.059733192|-0.010904454|1|1|-0.000472698|-0.213993335|1|0.859938421|0.799869816|0.141570244|0.848816593|0.817582774|0|0.7592112809999999|-0.082048664|-0.10624773|0.514457955|-59.0895896|-76.51720886|16.85373064|55.47133795|0.2407887189999999|173.4105814|-0.03541591|12.13767506|112.1259723|95.66406176|75.94332024|546.7667677000001|-1453.826968|2778.220342|240.2059039|38.27030489|-239.7655413|757.7532208|0.0|0.0|3.0|4.97|0.0|0.17|-6.93|2.38|1.65|98.3|1.49|0.0|138.06|1.0|-3.54|33.0|-7.66|0.0|0.0|0.0|128.0|0.0997|1.85|0.0|1.1800000000000001e-07|5.18e-05|-0.05456|4.5|3.8726|-1440.969954|-1440.926241|320.16|0.4075|238.77|0.36719|0.67273|-1440.671057|0.2888|-0.15695|0.04371335|-1440.734965|6.6471|7.3979|7.3979
12bg_a36|0.0|1|0|0|3.434779148|0.0|0|2|2|1.29692796|0.0|-0.040957653|-0.0076819|5.351858133|-0.044573523|-0.414822602|-0.001012333|-0.060117593|-0.0206090089999999|1|1|-0.00097037|-0.1716508239999999|1|0.884841888|0.836170906|-0.023460562|0.892249657|0.771220556|0|0.840610352|-0.075439837|-0.102664465|0.543472602|-51.74990566|-70.42534258|13.44952052|107.3347739|0.159389648|109.3374477|-0.036959207|9.22604612|14.85588272|83.78068847|65.19942617|576.6383913|-1267.656166|2915.548359|172.9566471|33.900544700000005|-340.0625449|661.6709012|0.0|0.0|2.0|4.75|0.0|0.14|-7.76|3.99|3.19|69.2|2.99|0.0|133.77|1.0|-5.08|31.0|-6.26|0.0|1.0|1.0|0.00372|0.00295|3.93|0.0|1.74e-08|7.83e-06|-0.0542299999999999|4.42|3.8944|-2152.13793|-2152.104584|318.36|0.4409|318.36|0.69395|0.69395|-2151.914954|0.4409|-0.15743|0.03334656|-2151.975577|9.3601|7.8239|7.8239
13f_a6|0.0|1|0|0|3.440154557|0.0|0|0|0|1.429020649|0.0|-0.088329567|-0.006930367|4.727387819|-0.008507023|-0.381170169|-0.003356527|-0.071478789|-0.049928822|1|1|-0.001446486|-0.223618825|2|0.841211811|0.77199166|-0.028317736|0.834167942|0.790249345|1|0.863222493|-0.073352505|-0.092939631|0.176745407|-49.2635105|-62.41821579999999|12.46087045|62.42897239999999|0.136777507|91.85971442|-0.032802223|8.368715213|0.0|75.61173794|61.72438096|579.7398537|-1123.527884|3253.287533|187.5697972|30.56694343|-296.4599736|676.2770877|1.0|1.0|2.0|3.56|2.21|0.08|-10.18|5.01|4.53|103.17|0.92|0.0|123.82|0.0|-5.11|32.0|-6.52|0.0|0.0|1.0|0.00323|0.00688|3.27|0.0|6.59e-11|2.75e-08|-0.07786|3.36|3139.0|-1347.301285|-1347.266914|394.98|901.0|256.1|0.49643|0.70541|-1347.018087|0.0048|-0.12805|0.03437105|-1347.0794119999998|13.9612|7.3768|7.3768
12d_a40|0.0|0|0|0|0.0|0.0|1|0|0|0.60499064|1.753432382|0.1028826769999999|-0.008004393|5.4161004020000005|-0.107711573|-0.288158151|-0.000134504|0.087954209|-0.166080871|2|2|-0.002126898|0.224167029|0|0.809398262|0.7769829840000001|-0.0065648919999999|0.845904643|0.6948809659999999|1|0.840431415|-0.095675903|-0.091630294|0.0913543|-50.68561427|-48.54239742|6.204226377|207.39648|0.159568585|84.53363343|-0.038873458|3.286773518|60.80168183|55.13932669|56.88984065|445.2300015|-679.5935638999999|643.5166227999999|82.49291335|24.39197636|-364.7778083|350.9435025|0.0|1.0|1.0|3.23|2.94|0.0|-6.84|4.59|5.02|84.45|3.76|1.0|96.16|1.0|-6.25|23.0|-5.13|0.0|0.0|1.0|0.0002009999999999|0.000942|4.75|0.0|1.44e-07|5.2e-05|-0.07765|4.14|2.7962|-2153.197255|-2153.180821|443.4|0.2584|282.05|0.55983|0.70435|-2153.071733|115.0|-0.11604|0.0164339|-2153.123107|1.9961|7.7212|7.7212
3c_a32|0.0|1|1|1|3.452148526|0.0|0|0|0|0.6094207970000001|0.0|0.025890116|-0.006923974|5.733341277|-0.048337951|-0.270034997|-0.00017094|-0.113334836|-0.01180891|3|3|0.00124359|-0.145525719|0|0.831186295|0.839409251|-0.003205869|0.901864778|0.774363061|1|0.888766719|-0.0679200029999999|-0.0943910459999999|0.216289509|-34.91603827|-48.52416391|7.772301225|59.72163595|0.1112332809999999|57.18235134|-0.0288417079999999|3.995552912|0.0|57.94025396|42.68833949|456.8935699|-533.7658031000001|1393.156794|157.331845|21.36577928|-199.4122311|370.5811396|1.0|1.0|1.0|3.22|2.95|0.19|-6.89|6.61|4.68|110.94|1.7|0.0|93.05|1.0|-6.18|22.0|-5.35|0.0|0.0|1.0|0.000217|0.00399|4.14|0.0|1.28e-07|4.18e-05|-0.05487|3.02|3.5169|-1633.443791|-1633.419633|352.54|0.5017|352.54|0.7034600000000001|0.7034600000000001|-1633.297494|0.5017|-0.14219|0.02415856|-1633.348356|5.0659|8.0458|8.0458
14a_a10|0.0|0|0|0|0.0|0.0|1|2|2|1.3438495730000002|2.156210368|-0.2090476269999999|-0.002047597|5.4161004020000005|0.0437538159999999|-0.147427016|0.011509975|-0.045759336|-0.00421565|1|1|0.012272222|-0.344811314|2|0.76857495|0.7348225290000001|-0.011977878|0.770129205|0.740051323|1|0.911549451|-0.044416218|-0.070610745|0.43555903|-32.23041637|-51.23835032|9.840503082|67.52851799|0.088450549|64.18371923|-0.018970051|7.140714112|134.15514270000003|67.14248252|42.07091945|661.4615097|-922.2903058|1774.8853399999998|332.3339934|25.39690722|-60.97724212|1003.968547|1.0|1.0|0.0|3.98|4.4|0.39|-8.18|4.16|3.36|59.31|1.94|0.0|146.76|1.0|-4.21|35.0|-6.82|0.0|1.0|0.0|0.0288|0.00743|3.29|0.0|6.55e-09|3.07e-06|-46.0|2.25|3802.0|-1489.655581|-1489.803158|326.1|0.2835|222.16|0.34245|0.7047100000000001|-1489.42155|0.0005|0.2422099999999999|-0.14757681|-1489.487381|4.8004|7.1308|7.1308
1c_a5|0.0|1|0|0|2.955525321|0.0|0|0|0|1.424607938|0.0|-0.268536978|-0.001983746|4.59511985|-0.006491037|-0.085301064|0.008031558|-0.228971551|-0.058823529|1|1|0.007357977|0.0578378779999999|2|0.71274658|0.7595197290000001|0.128385959|0.821309592|0.6977404359999999|0|0.88631419|-0.068062282|-0.070346332|0.436308619|-34.82350689|-35.99212225|4.27195187|160.5407184|0.11368581|58.16640976|-0.0281385329999999|2.185709046|0.0|43.86175561|39.09545876|453.4753671|-575.8739559999999|873.709445|126.3615674|19.11862892|-258.918642|409.0289917|1.0|1.0|1.0|2.78|2.09|0.05|-8.41|4.99|4.51|54.46|2.13|0.0|95.45|1.0|-4.25|24.0|-5.77|0.0|1.0|1.0|0.0174|0.0111|3.43|0.0|3.87e-09|1.21e-06|-0.03965|3.17|4.5088|-990.6223073|-990.5931502|274.99|271.0|254.15|0.4444899999999999|0.53838|-990.467026|0.1076|-0.18719|0.029157178|-990.516371|2.6801|5.4|5.4
18_a3|0.0|1|0|0|2.897754472|0.0|0|0|0|1.43179288|0.0|-0.256375952|-0.003487792|4.59511985|-0.021283637|-0.122072724|0.0057881999999999|0.042606196|-0.025890816|1|1|0.005799063|-0.064953613|3|0.7226687409999999|0.714658751|0.0355413979999999|0.784960175|0.6858831809999999|1|0.8419576209999999|-0.069839069|-0.0846755|0.217881538|-31.07331853|-37.67445366|6.1383958|160.9514039|0.158042379|70.31739201|-0.031753312|2.73114076|0.0|48.19055867|37.21171433|374.610053|-452.0934439|703.8534116000001|141.2679329|20.70048575|-162.3915791|270.539096|1.0|1.0|1.0|2.62|1.81|0.0|-6.83|3.42|3.08|67.35|0.93|0.0|80.35|1.0|-2.82|21.0|-6.7|0.0|1.0|1.0|411.0|147.0|1.79|0.0|1.49e-07|4.07e-05|-0.05769|1.85|3.9765|-889.9619321|-889.9402005000001|311.79|0.3326|311.79|0.6671699999999999|0.6671699999999999|-889.850598|0.3326|-0.1641099999999999|0.02173162|-889.894728|3.3664|7.5229|7.5229
