molecula|n9FaRing|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|n6HRing|SaaaC|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|FNSA1|PNSA4|TASA|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
12aq_a36|0|7.412764017000001|2|2|1.297043497|0.0332421529999999|-0.0116333169999999|5.351858133|2|0.0|10.95447882|-0.028591187|1|1|-0.004569485|0.131910912|-0.052743904|-0.090926893|-0.5356623070000001|0.839953955|-0.0606936879999999|0.89459881|0.849217847|0|-0.122078233|0.162384515|-73.0277723|14.29132551|86.6958382|0.318529388|-0.042953452|-54.49698711|9.548598682|0.7619767479999999|-28.69889692|455.31741460000006|0.238023252|8.596645087999999|14.98931431|0.743623723|6296.75201|159.03272990000002|-1035.442755|37.66374367|0.020701483|2033.842158|689.2886595|13.83147784|0.0|1.0|3.0|4.83|0.0|0.13|17.0|1.92|0.98|112.29|1.0|131.85|0.0|1.0|6.0|-3.52|5.0|424.46|0.0|0.0|-3.45|129.0|0.000359|152.0|1.55|0.000305|-0.06059|3.9049|3.3759|-1401.637414|703.04|1190.22|367.26|534.96|0.6933199999999999|-1401.391057|0.0059|0.03228003|-1401.452487|7.2596
12e_a31|0|7.765993078999999|1|1|0.610134116|0.052663358|-0.011519192|5.733341277|0|0.0|10.3116965|-0.015755876|2|2|-0.000231353|0.01824365|-0.08867626|-0.142921555|-0.543945776|0.7761616020000001|-0.039273975|0.82100963|0.76012894|0|-0.1099563869999999|0.2642991189999999|-68.32948993|19.38343763|166.1479229|0.2784732339999999|-0.036652129|-58.15044546|14.09603901|0.725120432|-26.65419063|524.7092721|0.274879568|10.24381236|19.50674899|0.904247004|6557.418968999999|199.8981394|-1104.858464|36.75829484|0.020841203|2095.222806|798.7285626|15.15615632|1.0|1.0|2.0|3.87|3.72|0.24|22.0|6.69|5.4|117.37|3.0|129.38|0.0|1.0|9.0|-6.66|5.0|460.55|0.0|1.0|-5.42|9.96e-05|3.83e-06|0.00176|4.48|2.27e-07|-0.03445|5.3264|3.8391|-1809.85374|781.61|1308.13|322.95|640.03|0.55114|-1809.581226|0.2627|0.04614662|-1809.650069|6.7696
18_a20|0|6.842683282|0|0|1.400923654|0.1160337319999999|-0.008841844|4.727387819|2|1.983673343|10.93301779|-0.054458882|1|1|-0.004071701|0.268927191|0.001996439|0.003282792|-0.597167441|0.7602869659999999|-0.107446431|0.8162774979999999|0.778639593|1|-0.095227339|0.356461863|-61.73239771|7.195302872999999|318.5587088|0.23863824|-0.035934845|-42.1615378|4.787695004|0.8109110409999999|-23.91074854|506.6038164|0.1890889589999999|8.011174137000001|15.51556677|0.936740671|6206.896662|125.81822920000002|-843.230756|29.4862782|0.013457694|1562.772745|712.1606951|8.954638548|1.0|1.0|2.0|3.48|2.76|0.08|27.0|5.54|4.69|97.55|2.0|125.07|0.0|0.0|5.0|-5.59|4.0|419.48|0.0|1.0|-5.16|0.00107|6.91e-06|0.0029|3.85|4.17e-08|-0.05604|5.9778|3.5355|-1352.32685|703.24|1204.88|350.69|531.11|0.31154|-1352.073755|0.2011|0.03787435|-1352.135304|7.4685
11c_a31|0|7.765993078999999|1|1|0.6101368770000001|0.069254998|-0.0184155389999999|5.733341277|0|0.0|10.31169916|-0.085216451|2|2|-0.008375297|-0.0512371409999999|-0.0992097109999999|-0.16065803|-0.572548808|0.839810365|0.013528742|0.8906705429999999|0.787929678|0|-0.14043574|0.3608415239999999|-80.82023592|20.06220362|264.7428792|0.435856737|-0.042457317|-48.16624372|11.74927853|0.676089232|-24.864808|330.3862551|0.323910768|7.259183801|13.95917988|0.922968238|5329.481371|189.6959033|-626.1611682999999|36.77740577|0.029155542|1581.428448|449.7512005|17.07472346|1.0|1.0|2.0|3.51|2.66|0.28|16.0|5.04|3.64|125.57|1.0|97.32|0.0|2.0|6.0|-5.11|6.0|371.41|0.0|1.0|-3.98|0.00285|0.000105|39.0|2.82|0.000537|-0.03532|3.8551|3.8551|-1559.353434|622.22|1022.77|321.61|512.9|0.7005899999999999|-1559.194237|0.2627|0.04465349|-1559.253116|6.8861
4j_a46|0|7.825245291|1|1|1.134637093|-0.175292207|-0.002284836|5.587248657999999|1|0.0|10.94638774|-0.176133068|1|1|0.011684396|-0.078783783|-0.0589746909999999|-0.087688953|-0.226712003|0.7298040140000001|-0.061823242|0.763724435|0.728293097|0|-0.074417476|0.295221643|-34.99059698|8.812983129|70.56141095|0.0501066629999999|-0.024805825|-25.95898597|5.205103062|0.776932317|-14.65075732|561.0237355|0.223067683|6.274010655|10.49957018|0.673502127|5077.124695|131.7477027|-467.2617475|18.85718615|0.0106831269999999|1018.288052|642.1335502000001|6.30964324|0.0|1.0|0.0|4.0|3.9|0.39|17.0|5.18|5.33|39.94|2.0|110.24|0.0|1.0|4.0|-5.38|3.0|361.48|1.0|1.0|-5.31|0.0015|4.86e-06|0.00176|4.81|7.33e-06|-0.01684|5.3949|4.4093|-1132.018764|646.67|1112.13|281.19|572.31|0.37853|-1131.761156|0.1418|0.02491327|-1131.817578|6.0942
47d_a18|0|7.03438793|1|1|1.251175994|-0.017398129|-0.006087337|4.844187086|0|0.0|10.94702255|0.016324953|0|0|0.005144085|0.104380139|-0.272202025|-0.406388629|-0.417659275|0.7430748709999999|-0.002494715|0.773981237|0.741366815|0|-0.087315963|0.445704576|-52.14267013|12.45251265|64.92967228|0.163000873|-0.028722356|-58.06490563|10.15469843|0.69814381|-23.42233034|682.5509007|0.30185619|9.940531282|19.16475647|0.927940864|7780.945962999999|246.1558296|-1451.622641|33.54943497|0.018506261|2549.757058|1255.618298|15.0913716|1.0|1.0|2.0|4.73|0.0|0.32|18.0|2.81|3.21|88.97|3.0|159.67|1.0|1.0|12.0|-5.74|4.0|527.66|0.0|0.0|-5.28|0.000968|5.23e-06|0.00276|4.16|7.790000000000001e-07|-0.04561|3.1079|3.1079|-1704.0327519999998|875.6|1544.09|398.94|817.06|0.69905|-1703.545539|0.5820000000000001|0.02826074|-1703.622959|8.0969
7_a27|0|6.842683282|0|0|1.40247849|0.112935885|-0.00601016|4.727387819|2|1.280380317|10.93773474|-0.056500475|1|1|0.010596392|-0.220626658|-0.19575909|-0.323631281|-0.500327496|0.801251575|0.147753647|0.8546689820000001|0.62067794|1|-0.084531496|0.358145768|-34.09779211|8.475438874|10.66993367|0.14888586|-0.0300556429999999|-26.6343589|4.757447929|0.763564713|-16.87088515|477.7488532|0.236435287|6.446345598|12.087978|0.875167537|5082.120742|132.7162621|-426.1497425|22.09489892|0.014441323|994.2704516|479.0078184|8.106228264|1.0|0.0|0.0|3.24|3.41|0.2|21.0|3.32|3.05|65.6|0.0|102.36|0.0|1.0|3.0|-4.06|4.0|345.4|1.0|1.0|-4.28|0.0299|5.2e-05|18.0|3.02|8.4e-05|-0.04887|4.1205|4.1205|-1122.433757|606.74|1016.96|300.9|505.5|0.61278|-1122.249324|0.4179|0.02179141|-1122.304359|9.0
12e_a36|0|7.412764017000001|2|2|1.29704412|-0.064019914|-0.007100632|5.351858133|2|0.0|10.95346131|-0.084051264|1|1|0.003962098|0.244642918|-0.104118159|-0.1763783589999999|-0.43688276|0.7975411790000001|-0.010494913|0.847602953|0.856274847|0|-0.100988761|0.4347714629999999|-44.83739063|12.12502373|65.27404529|0.161913613|-0.036203518|-40.85494129999999|7.71202397|0.7610764190000001|-23.02695694|533.058116|0.238923581|6.767371321000001|12.69013737|0.875194483|5929.071389|151.9654247|-776.2438847|30.25577504|0.017716522|1603.556077|662.0530478999999|11.26845175|1.0|1.0|2.0|4.85|0.0|0.17|17.0|3.24|2.19|69.2|1.0|128.72|0.0|1.0|5.0|-4.16|4.0|395.46|1.0|0.0|-4.3|0.0274|5.05e-05|0.02|3.04|4.270000000000001e-05|-0.04962|3.8364|3.6699|-1272.23645|673.57|1142.19|337.84|507.03|0.6814600000000001|-1271.999945|0.0006|0.03037051|-1272.0579810000002|7.8539
14_a47|1|6.605297921|0|0|1.417758105|-0.126490693|-0.006070958|4.59511985|2|1.484493371|10.95058279|0.0295267039999999|1|1|-0.006335783|0.05124606|-0.020596219|-0.061837113|-0.33240126|0.777675668|-0.085385518|0.8467634620000001|0.579833096|1|-0.094132436|0.2662137639999999|-47.18187618|10.1400648|64.60629385|0.318401536|-0.034963476|-23.9422834|5.113919242|0.664709719|-17.63306222|343.7492333|0.335290281|6.909385453|13.15643085|0.904139078|4695.98899|169.0962983|-311.2496842|26.52746264|0.028057496|928.4611922|310.8026328|14.15018248|1.0|1.0|2.0|2.78|1.53|0.0|21.0|3.97|4.88|66.49|0.0|86.58|0.0|1.0|3.0|-3.97|5.0|323.3|1.0|1.0|-4.13|0.0349|7.46e-05|0.0241|2.91|5.27e-06|-0.06057|3.9671|3.9671|-1127.700693|519.55|849.76|312.53|375.43|0.68345|-1127.610422|0.2452|0.03679054|-1127.6593779999998|8.1
3p_a32|1|8.02059915|1|1|0.609420752|0.007752757|-0.008735261|6.008813185|0|2.1365141480000003|10.31100269|-0.074544773|3|3|0.000920756|-0.092884784|-0.146606489|-0.26891009|-0.53666614|0.8599558070000001|0.058054833|0.918782026|0.6956696440000001|1|-0.098773656|0.366898545|-41.73212799|12.5150622|40.28175307|0.180429124|-0.029183126|-34.21384146|7.365688817|0.6199678829999999|-17.1756096|482.3550967|0.380032117|6.243062200000001|10.69458635|0.713035367|5960.446219|223.6663527|-444.779939|27.70403125|0.025390655|1218.977375|530.5658569|14.94356622|1.0|1.0|1.0|3.38|2.6|0.26|19.0|6.06|3.71|131.25|1.0|112.37|0.0|1.0|4.0|-5.11|4.0|395.5|0.0|1.0|-4.25|0.00308|5.629999999999999e-05|0.0222|2.7|6.4e-05|-0.04963|3.6436|3.6436|-1879.527843|626.32|1057.58|340.28|471.04|0.7017100000000001|-1879.350471|0.3083|0.02642856|-1879.406962|7585.0
