molecula|n9FaHRing|n9FaRing|SaaNH|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|ATSC1c|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|FNSA1|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|DPSA4|FPSA5|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
12bf_a36|0|0|3.31325137|2|2|1.297043948|0.0|-0.024689509|-0.00832865|5.351858133|-0.119979424|0.044197531|0.140577067|-0.4497470879999999|10.96022305|-0.0206090089999999|1|1|-0.004358975|-0.098027247|-0.250781298|-0.433281391|1|-0.0480253509999999|0.632625562|0|-0.090461753|-0.110255801|0.0217611939999999|-58.26326838|14.01562806|87.14111344|206.6543367|-0.037486972|-45.73631152|0.7054709690000001|-24.14405495|72.27889645|0.474826911|437.4108773|-1207.2027480000002|2522.341812|7.546900716000001|14.37031118|34.22402339|0.02371294|1711.2011699999998|593.6088758|1.0|0.0|0.0|2.0|4.72|17.0|-7.12|3.0|69.2|2.78|1.0|5.0|-3.99|31.0|6.0|-6.8|417.41|0.0|0.0|2.44|0.0424|4.81e-05|0.0201|0.0|7.599999999999999e-08|3.17e-05|3.66|3874.0|670.85|236.98|0.40663|0.69292|-1431.187555|5.4787|-0.2139|0.03299488|-1431.246893|6.0|8.2218|8.2218
12bd_a36|0|0|3.497517322|2|2|1.297043358|0.0|-0.051990612|-0.006695407|5.351858133|-0.045630197|0.04625323|0.025649557|-0.4017244129999999|10.94639828|-0.0288761339999999|1|1|0.0045625|-0.101854847|-0.169994208|-0.436345273|1|-0.011529973|0.857993338|0|-0.071083327|-0.099460046|0.0177487689999999|-46.92083391|11.7156452|83.92365468|110.578217|-0.035521445|-43.33557909|0.78244124|-23.44707102|58.63647911|0.475272043|549.5039111000001|-1313.035977|2403.371086|8.050812711|15.34283166|29.96655829|0.015363883|1678.127264|729.1873176|1.0|0.0|0.0|2.0|4.95|17.0|-7.34|2.5|69.2|2.45|1.0|5.0|-4.54|31.0|4.0|-6.38|409.49|0.0|1.0|2.42|0.0117|2.5e-05|0.0102|0.0|4.55e-08|1.86e-05|3.79|3544.0|706.26|319.66|0.69411|0.7044100000000001|-1311.291779|5.7533|-0.19826|0.03110617|-1311.352257|17.0|7.7696|7.7696
19_a47|1|1|0.0|0|0|1.402889494|1.445775615|-0.038804671|-0.00973456|4.727387819|-0.227538423|0.032764858|0.027033021|-0.4380552029999999|10.95058274|0.0604168609999999|1|1|-0.010153352|-0.046265509|-0.126992366|-0.439165562|2|-0.024256505|0.614975047|1|-0.105205489|-0.104459947|0.026805875|-58.28861174|14.85167037|335.10989930000005|199.6541807|-0.037307124|-32.06567824|0.637832605|-20.66983856|73.14028211|0.463378097|354.3911695|-868.1332196000001|1238.799875|7.06969105|13.17443625|32.40636867|0.03295186|1361.067484|428.5826478|0.0|1.0|1.0|2.0|3.13|21.0|-6.92|3.84|98.72|1.67|1.0|5.0|-3.67|28.0|6.0|-7.22|380.35|0.0|1.0|2.34|0.0816|0.000217|0.0824|0.0|1.2099999999999998e-07|4.59e-05|3.51|3.8423|571.23|322.68|0.68924|0.68924|-1335.580357|5.1151|-0.2117099999999999|0.03178118|-1335.634976|0.05|7.3|7.3
12aq_a36|0|0|3.427017327|2|2|1.297043497|0.0|0.0332421529999999|-0.0116333169999999|5.351858133|-0.135770278|0.041728395|0.076517478|-0.674732412|10.95447882|-0.028591187|1|1|-0.004569485|-0.052743904|-0.090926893|-0.5356623070000001|1|-0.0606936879999999|0.849217847|0|-0.1093001919999999|-0.122078233|0.021389734|-73.0277723|14.29132551|86.6958382|212.8220574|-0.042953452|-54.49698711|0.7619767479999999|-28.69889692|87.31909781|0.426481765|455.31741460000006|-1549.740434|2906.024504|8.596645087999999|14.98931431|37.66374367|0.020701483|2033.842158|689.2886595|0.0|0.0|0.0|3.0|4.83|17.0|-6.14|0.98|112.29|1.28|1.0|6.0|-3.52|32.0|5.0|-7.79|424.46|0.0|0.0|1.15|129.0|0.000359|152.0|0.0|7.19e-07|0.000305|3.88|3.3759|703.04|317.51|0.6933199999999999|0.7058300000000001|-1401.391057|6.7649|-0.19967|0.03228003|-1401.452487|55.0|7.2596|7.2596
12a_a40|0|0|0.0|0|0|0.604990853|1.784989449|0.021610099|-0.00431394|5.4161004020000005|-0.012791297|0.036587302|0.17758258|-0.14667395|10.31197265|-0.226763788|2|2|0.007890601|0.018655637|0.031326603|-0.4764003679999999|0|0.023863832|0.525051106|1|-0.064340227|-0.074840643|0.011766311|-32.81611621|6.001293955|107.5277007|30.15370934|-0.033799|-19.46913691|0.85136964|-17.23885621|38.81741016|0.476055146|479.8867095|-534.4045424999999|600.1247016|7.563170499|14.43505064|20.24838026|0.010759845|627.699788|323.26151960000004|1.0|0.0|1.0|0.0|3.2|20.0|-7.21|5.43|58.43|4.34|1.0|2.0|-6.41|22.0|2.0|-4.56|346.23|0.0|1.0|4.78|0.000134|1.13e-06|0.00039|1.0|6.15e-08|2.13e-05|5.01|3.0966|530.55|400.39|0.6998800000000001|0.6998800000000001|-2097.7296100000003|2491.0|-0.2091|0.0104658999999999|-2097.779499|1778.0|5.7501|5.7501
14_a15|0|0|0.0|0|0|1.43568901|0.0|-0.058775738|-0.006678826|0.0|-0.0455566929999999|0.037073171|-0.033982971|-0.374014235|10.9597359|-0.015736888|0|0|0.0034254209999999|-0.120626133|-0.184255041|-0.3848940629999999|2|-0.021648026|0.7933685340000001|0|-0.063809873|-0.0917424269999999|0.014672137|-40.89540491|9.403293601|92.51564418|72.36402409|-0.032888795|-37.68282812|0.770309725|-21.0782518|50.29869851|0.406717767|568.5306056|-1117.1473460000002|2731.841165|6.040010666000001|10.18067005|27.36334635|0.015286995|1450.257357|673.7288405|1.0|1.0|0.0|1.0|3.56|24.0|-9.82|6.3|56.27|2.87|1.0|6.0|-6.22|30.0|4.0|-4.97|397.47|1.0|1.0|4.7|0.0002379999999999|1.47e-06|0.000584|0.0|1.51e-10|5.99e-08|5.16|3.6209|689.8|278.5|0.65079|0.7055899999999999|-1280.809256|3.3596|-0.18379|0.03885834|-1280.87015|0.03|7.5229|7.5229
6c_a31|0|0|3.423005244|1|1|0.6101347220000001|0.0|0.047405064|-0.015192833|5.733341277|-0.151732713|0.038901235|0.137523742|-0.790027307|10.31169965|-0.107687565|2|2|-0.00668344|-0.0055763209999999|-0.009333123|-0.582545668|0|-0.078059285|0.7905201209999999|0|-0.120905075|-0.126324613|0.03173578|-76.54198229|20.09112958|163.6316745|227.1490414|-0.044739967|-50.62888027|0.7653239190000001|-28.32375523|96.63311186|0.4463376229999999|405.9259734|-1359.540251|2357.829685|8.102804662|14.63492011|37.00884624|0.0212421629999999|1776.424619|597.3075924999999|1.0|1.0|1.0|2.0|3.67|22.0|-7.72|4.26|131.36|1.58|1.0|5.0|-6.09|30.0|5.0|-6.27|418.47|0.0|1.0|3.64|0.000343|1.15e-05|0.0048|0.0|1.89e-08|7.9e-06|5.08|3.2974|667.01|376.01|0.7014699999999999|0.7014699999999999|-1691.734564|5.9253|-0.19169|0.03620884|-1691.794585|0.34|6.4685|6.4685
9b_a31|0|0|3.338934004|1|1|0.610136326|0.0|0.010411229|-0.0141390689999999|5.733341277|-0.070525429|0.03995614|-0.045938305|-0.706953442|10.31169871|-0.091236608|2|2|-0.001981487|-0.143280211|-0.2345186269999999|-0.554573699|0|0.01752821|0.77051712|0|-0.103937658|-0.131125311|0.034595809|-63.73317225|21.21368453|152.8702381|202.8908225|-0.039058603|-49.30281875|0.689175183|-23.95020956|84.94685678|0.469546953|410.2957125|-1125.659849|1711.969694|8.097516252|15.2652837|34.75199071|0.025089192|1633.343563|524.0230338|1.0|1.0|1.0|2.0|3.58|16.0|-6.84|3.5|117.37|0.86|1.0|7.0|-4.76|27.0|5.0|-6.77|384.45|0.0|1.0|3.0|0.00675|0.000137|0.0527|0.0|1.44e-07|5.520000000000001e-05|4.69|3.8435|663.06|224.94|0.41622|0.70102|-1578.604164|5.2851|-0.2013599999999999|0.03769117|-1578.665571|63.0|7.2007|7.2007
8b_a50|1|1|3.1324050960000003|1|1|1.398299046|2.021915391|-0.115740384|-0.0045301379999999|5.777652323|-0.009597908|0.035718954|-0.096039086|-0.1812055289999999|10.945024|-0.0180233089999999|2|2|0.007057361|-0.065440141|-0.116174481|-0.332085641|1|-0.027207307|0.71043578|1|-0.072629787|-0.078068703|0.021513107|-34.79187329|10.30543157|131.417573|74.08248511|-0.030360051|-17.91443197|0.6717097959999999|-14.54338619|45.09730487|0.428882006|404.9478761|-523.561903|1401.458274|5.292277178|9.26652151|21.65129387|0.024280552|779.4465792000001|339.5806858|1.0|1.0|0.0|1.0|3.21|20.0|-5.94|3.41|59.39|1.79|2.0|2.0|-3.44|23.0|3.0|-6.32|299.33|0.0|1.0|2.51|108.0|0.000154|46.0|0.0|1.16e-06|0.000347|2.11|4.1804|515.81|273.96|0.5533|0.59283|-967.212701|3.8213|-0.20144|0.036701907|-967.258772|68.0|7.1675|7.1675
12g_a30|0|0|0.0|2|2|0.6049842529999999|0.0|0.096186205|-0.010447128|5.351858133|0.024086432|0.039951691|-0.037395048|-0.574592016|10.31162838|-0.049719762|1|1|0.0026474159999999|-0.084317059|-0.152855196|-0.539112991|1|-0.0430471959999999|0.770326886|0|-0.086195758|-0.10344931|0.027436565|-58.41940906|18.59520651|133.2169768|146.623137|-0.040568357|-47.51931027|0.7743107290000001|-27.49531395|77.01461557|0.459011202|531.1295763|-1402.261011|2482.668258|8.694447089|16.07139949|35.50940589|0.019453222|1810.9797|683.7405759|1.0|0.0|1.0|1.0|4.67|17.0|-6.42|2.48|114.67|2.06|1.0|6.0|-6.0|32.0|6.0|-6.22|439.49|0.0|0.0|2.36|0.000444|9.71e-06|0.00427|0.0|3.7600000000000003e-07|0.000165|3.88|3.5592|717.55|244.53|0.26238|0.68366|-1742.965961|3875.0|-0.2083699999999999|0.04012224|-1743.029147|9.0|8.0334|8.0334
