molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|nAHRing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|BCUTi-1|AATSC1pe|AATSC7i|MATS1i|BIC2|MATS8d|nFaHRing|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RNCS|RPSA|WNSA5|FNSA1|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Oscillator Force (max. Transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
14c_a23|0.0|1|1|0.0|0.0|0|3.349976042|0.06596946|-0.005822256|5.351858133|-0.024758731|0.043538647|0.743546646|10.31321813|0.009263715|0.077009731|-0.071484865|0.793551289|-0.077808321|1|-0.0567889659999999|0.2273163289999999|0.018842596|-37.73933093|-53.17009158|38.43627129|0.077064961|-35.33439343|0.7834075309999999|-1.600173862|64.05912299|50.26125234|0.459622824|2955.304496|-1063.401832|-15.0359121|0.2165924689999999|14.49533577|0.8505592829999999|6755.962581999999|143.9373772|-706.6878684999999|28.88097191|0.016385474|633.3278634|10.88903141|0.0|0.0|1.0|1.0|3.6|0.05|-7.99|4.0|105.02|3.51|2.0|1.0|125.29|0.0|5.0|-6.13|4.0|445.93|0.0|4.0|-5.55|7.49e-07|0.000334|4.21|0.0|0.0|1.02e-08|-0.0795299999999999|3.7031|3.7031|693.64|356.0|0.56781|-2089.293299|-2089.354057|10.369000000000002|8.6253|8.6253
12c_a5|0.0|0|0|2.977832018|0.0|1|0.0|-0.212798523|-0.002685954|4.59511985|0.020594766|0.0252713179999999|0.0|10.9455378|0.00586291|-0.1386392109999999|-0.01261147|0.797601178|0.014673577|0|-0.070873852|0.450827114|0.016374249|-46.62294305|-43.47195613|143.44655559999998|0.158907079|-28.59715492|0.583585895|-1.25559373|59.40070647|57.39441476|0.4609383929999999|2697.345008|-825.9671665|-9.702606135|0.416414105|13.53008071|0.855075538|5877.765289|273.9296719|-543.3459436|25.27376659|0.024214085|735.3048881|15.92875034|0.0|1.0|1.0|2.0|2.78|0.24|-9.31|5.03|75.72|1.57|1.0|0.0|121.26|0.0|6.0|-4.09|5.0|411.5|0.0|3.31|-4.33|8.159999999999999e-05|0.0336|2.84|0.0|0.0|4.93e-10|-0.04565|4.6671|4.0116|694.24|0.1513|0.6893600000000001|-1316.244961|-1316.305277|3.5993|7.3279|7.3279
12_a4|-3.2834578760000004|0|0|0.0|0.0|1|2.070952433|-0.1494133309999999|-0.0021497879999999|5.4161004020000005|-0.271149771|0.0381179139999999|1.587386096|10.31168324|0.009024784|-0.055590089|-0.051501982|0.8157155359999999|0.04172421|1|-0.070256284|0.636722126|0.01168879|-41.69390404|-44.33087544|15.80191019|0.194761903|-26.30835499|0.717772573|-1.269895089|53.59101661|48.6306683|0.470780296|2927.48584|-753.6248824|-9.127388465|0.282227427|11.7599245|0.889574393|6390.233612|167.4891205|-447.2420348|21.42753878|0.015603795|608.4548423|9.260141177|1.0|1.0|1.0|0.0|2.94|0.23|-7.84|3.69|86.12|2.17|1.0|0.0|113.02|0.0|4.0|-4.18|5.0|404.48|0.0|3.3|-4.33|6.57e-05|0.0266|2.72|0.0|0.0|1.45e-08|-0.06898|4.8592|3.8083|640.67|0.1194|0.68825|-1617.57796|-1617.634733|10.1971|5032.0|5032.0
47n_a18|0.0|0|0|0.0|0.0|1|0.0|0.0487694459999999|-0.007614955|4.844187086|-0.057061805|0.032169312|0.0|10.94702025|0.001705837|0.026244774|-0.172015161|0.696612213|-0.083719099|0|-0.079299822|0.288989992|0.0106152389999999|-65.43887366|-75.24728669|61.29571241|0.207570604|-62.09468789|0.783921929|-2.4620167580000003|86.44740177|74.19865731|0.482565384|3349.802294|-2031.676741|-21.77346199|0.216078071|20.17045476|0.932611327|7909.580851999999|178.30942439999998|-1676.556573|33.65821422|0.01357247|1306.125688|11.20011508|1.0|1.0|1.0|3.0|0.0|0.31|-9.76|3.67|105.6|2.72|3.0|1.0|162.18|1.0|13.0|-6.02|4.0|539.67|0.0|2.76|-5.24|9.48e-07|0.000511|4.1|0.0|1.0|1.7500000000000002e-10|-0.0525299999999999|3.2028|3.2028|879.92|0.5056|0.6914600000000001|-1740.5852670000002|-1740.663577|3.3568|7.1938|7.1938
7e_a8|0.0|0|0|3.038052327|0.0|0|1.3496955309999998|-0.150447714|-0.006027596|4.844187086|-0.052939815|0.043758865|0.0|10.94332434|0.002669179|-0.075638618|0.034227147|0.732001738|-0.072307692|0|-0.08608941|0.286669793|0.0215993429999999|-51.4880895|-53.04282692|86.03149870000001|0.170843962|-31.72369068|0.776001552|-1.6850904519999998|64.23177694|64.40615805|0.4742828629999999|2605.914474|-1007.813711|-13.39444718|0.223998448|14.654025199999998|0.902163597|5808.479788000001|133.9683023|-602.7501229|28.86058693|0.018708212|519.5762494|11.18895001|1.0|0.0|0.0|1.0|3.38|0.04|-8.29|5.16|70.81|3.54|2.0|0.0|108.43|0.0|4.0|-5.75|4.0|385.39|0.0|4.31|-5.41|1.78e-06|0.000686|4.54|0.0|0.0|5.07e-09|-0.0697|3.8142|3.2363|622.23|0.3461|0.70177|-1300.271093|-1300.327213|11.4436|4.4547|4.4547
4_a18 (SD-208)|0.0|0|0|0.0|0.0|2|0.0|0.055002235|-0.012457606|0.0|-0.113324634|0.040864198|0.0|10.95382003|-0.015153358|-0.047745689|-0.15379315|0.83508768|-0.098971722|0|-0.077885485|0.115284206|0.0211761979999999|-40.10670787|-51.27494074|103.6318511|0.22090326|-26.40375252|0.602029021|-1.2944582059999998|69.63488061|51.01127638|0.454067432|2395.526727|-666.5742296|-9.276994128|0.397970979|11.42979655|0.831728055|5348.394288|204.9329964|-343.2487827|29.9246699|0.035654206|363.2306414|18.35993987|0.0|1.0|1.0|1.0|2.54|0.0|-8.15|3.54|76.48|2.02|1.0|0.0|92.87|0.0|3.0|-4.29|6.0|352.75|0.0|3.11|-4.38|5.12e-05|18.0|3.02|0.0|0.0|7.06e-09|-0.09992|5.1755|3.2777|537.47|0.2761|0.69028|-1542.15786|-1542.207472|5.2085|7.0969|7.0969
3d_a32|0.0|1|1|3.503398526|0.0|0|0.0|0.0181036519999999|-0.006420365|5.733341277|-0.034290847|0.041161616|2.230648962|10.31100276|0.002004382|-0.1131110759999999|-0.076494363|0.8444218509999999|-0.100251236|1|-0.06869526|0.2214902789999999|0.014419776|-37.19367587|-50.45435743|62.43434632|0.107154498|-27.31750365|0.720540286|-1.118246623|59.15151032|45.000975700000005|0.427813496|2213.978384|-605.4522892000001|-8.405385739|0.2794597139999999|10.75032687|0.747681906|4752.534658|151.30787800000002|-327.8100438|21.54552351|0.0160633|421.3548777|8.697152881000001|1.0|1.0|1.0|1.0|3.11|0.24|-7.29|6.97|110.94|1.94|1.0|0.0|97.86|0.0|4.0|-6.55|3.0|340.47|0.0|4.32|-5.13|2.81e-07|9.58e-05|4.5|0.0|0.0|5.13e-08|-0.05482|3.5105|3.5105|569.29|0.5031|0.7035100000000001|-1672.585902|-1672.638515|5.1728|8.0915|8.0915
9o_a24|0.0|0|0|2.9340792330000003|0.0|1|0.0|-0.064667223|-0.007052095|4.59511985|-0.044044637|0.028472222|0.0|10.94506726|0.002019902|-0.145366976|0.00177843|0.785672769|-0.000453155|0|-0.088586421|0.6253256110000001|0.018492771|-51.29122728|-51.14964436|32.50178358|0.229726192|-29.61546471|0.668046377|-1.678495905|66.24061038|61.99847688|0.4861134689999999|2892.333138|-971.8432428|-11.03321234|0.331953623|11.83284872|0.945954873|6697.297449000001|192.1999837|-562.6938294|28.52459128|0.026064002|663.2688909|15.09096602|1.0|1.0|1.0|2.0|2.84|0.04|-7.91|3.75|92.79|1.23|1.0|0.0|120.73|0.0|6.0|-4.49|5.0|421.45|0.0|3.01|-4.4|3.2500000000000004e-05|0.0137|2.88|0.0|0.0|1.24e-08|-0.04527|5.8802|4.2643|611.03|0.1409|0.65292|-1387.887227|-1387.945865|5.9089|6.3507|6.3507
9d_a40|0.0|0|0|0.0|0.0|0|1.839557351|0.007834411|-0.003961493|5.4161004020000005|-0.022152094|0.045555556|0.89023715|10.3119722|0.010101686|0.259969752|0.0116099239999999|0.7572844040000001|-0.223631751|1|-0.060319196|0.002088915|0.010749826|-31.08478865|-36.92750973|108.1468558|0.058372388|-19.03015798|0.8664205709999999|-1.074852592|41.42218692|36.6245851|0.467275972|2109.570685|-553.912646|-8.395657932|0.133579429|15.06105494|0.87714454|4401.742338|68.83858806|-285.4523697|18.80327978|0.0087217999999999|346.9019309|4.49467719|1.0|0.0|0.0|0.0|3.63|0.06|-7.0|5.2|58.43|4.07|1.0|0.0|91.71|0.0|2.0|-6.13|2.0|325.82|0.0|4.63|-5.65|7.37e-07|0.0002399999999999|5.16|0.0|0.0|1.01e-07|-0.06906|4.6073|3.3464|542.19|0.4888|0.69986|-1677.429981|-1677.48058|7.9502|6.9706|6.9706
7b_a8|0.0|0|0|3.213855584|0.0|1|1.4628217119999998|-0.119760914|-0.009659873|5.4161004020000005|-0.038810124|0.040873016|0.0|10.9465091|0.003191529|-0.039357491|-0.021509048|0.7812177770000001|-0.040994467|0|-0.101439013|0.282366236|0.033167971|-60.75943432|-59.93853201|145.0783004|0.277652387|-35.90168309|0.753935657|-1.901301524|73.70461365|80.62622045|0.4787988|2776.185773|-1138.832108|-14.82895606|0.246064343|14.76972982|0.918644854|6185.0105140000005|147.3863936|-682.1319788|32.83731114|0.022982731|545.9267515|13.76608164|0.0|1.0|1.0|1.0|3.37|0.09|-7.65|4.48|92.93|2.23|2.0|0.0|110.8|0.0|3.0|-5.25|5.0|396.4|0.0|3.5|-4.94|5.64e-06|0.00224|3.61|0.0|0.0|2.25e-08|-0.06833|4.5945|3.26|621.4|0.2517|0.7025100000000001|-1330.392289|-1330.448193|12.7344|4.8687|4.8687
