molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nARing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|RNCS|FNSA4|WPSA3|FNSA1|DPSA5|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
3f_a32|0.0|1|1|3.553167045|0.0|7.773594467000001|0|0.6094207770000001|0.0|5.733341277|-0.0434359079999999|0|-0.062954205|-0.275173181|0.001276735|10.31100273|3|3|-0.112493266|-0.133675401|0|0.833981748|0.820782305|-0.1743238839999999|0.871865543|0.786074011|1|-0.073433055|-0.097374443|0.3217719189999999|-41.40131823|47.97543149|-0.030139709|3.78194259|0.78919828|61.47296003|2273.466801|492.7734095|-713.6921402|2130.756016|-9.580412233|6.153728636|4993.667711|118.8493262|-402.3773138|21.53155987|0.011659458|-326.0981041|904.3255145|475.3634141|6.573564628|1.0|1.0|1.0|1.0|1.0|3.31|0.28|7.18|5.63|2.18|2.0|0.0|102.66|1.0|4.0|-6.89|24.0|3.0|0.0|0.0|1.0|1.28e-07|4.53e-05|3.96e-06|0.0014|0.0|4.89e-08|1.73e-05|3.5569|-1712.0610190000002|-1712.034952|604.9|1006.92|293.0|348.58|488.74|0.70255|0.70255|-0.1474599999999999|3.4678|0.02606687|5.7161|9.0|8.0458|8.0458
6e_a40|0.0|0|0|0.0|0.0|8.421342866|2|0.604892975|1.75595616|6.401917197|-0.074872854|0|-0.15110197|-0.69771706|-0.0026177839999999|10.30179954|2|2|-0.276969278|-0.037027769|0|0.685858263|0.8361555479999999|-0.289988439|0.8988141140000001|0.648802794|1|-0.107312598|-0.1164147119999999|0.376602018|-70.52033811|185.1473293|-0.04873174|6.85578763|0.866991176|84.95203628|3075.060648|490.3675161000001|-1377.032062|3854.417113|-21.04453212|6.972949117000001|7585.605268000001|87.40658058|-904.9148811|36.93694043|0.012858969|-482.3355765|1588.2884390000002|587.7345677999999|8.450255075|1.0|1.0|0.0|1.0|1.0|3.16|0.21|5.02|3.72|2.12|2.0|2.0|125.15|2.0|5.0|-7.76|30.0|5.0|1.0|0.0|1.0|1.74e-08|8.31e-06|2.6e-06|0.00124|0.0|2.35e-05|0.0112|2.9549|-2831.191706|-2831.156883|671.95|1149.77|0.3625|419.59|537.07|0.67187|0.67187|-0.1195799999999999|8.3311|0.03482243|11.5248|18.0|7.7447|7.7447
14aa_a23|0.0|1|1|0.0|0.0|7.423568444|0|1.19796312|3.4143268310000003|5.351858133|-0.026892547|2|0.031136154|-0.287870566|0.013012022|10.313217300000002|2|2|0.055934795|-0.13397874|2|0.725358161|0.75434493|-0.070471939|0.8072028240000001|0.693959193|1|-0.052155763|-0.076107469|0.204831806|-35.51947393|40.49537336|-0.03159178|8.355923226|0.796659447|61.21989213|2941.302235|629.3423691|-1140.287028|2263.821505|-14.65218978|8.000512184|6651.23042|138.4803717|-776.5660584|27.00633206|0.013786041|-404.0660854|1431.335599|733.3886349999999|9.388663605|0.0|1.0|1.0|1.0|1.0|3.68|0.12|4.4|4.63|3.45|2.0|1.0|130.22|1.0|5.0|-6.23|32.0|4.0|0.0|0.0|0.0|5.9e-07|0.000259|2.81e-06|0.00123|0.0|6.9799999999999995e-09|3.07e-06|3.5934|-1708.5626|-1708.5422620000002|715.57|1231.11|0.4157|345.03|588.45|0.6805899999999999|0.6805899999999999|-0.1449|5.8286|0.02033777|8.3532|4.0|8451.0|8451.0
3g_a32|0.0|1|1|3.542426304|-0.047725143|7.78113851|0|0.60942078|0.0|5.733341277|-0.072619634|0|-0.058985916|-0.2816222539999999|0.001276735|10.31100273|3|3|-0.105402305|-0.133675401|0|0.833981748|0.755211939|-0.1719626169999999|0.802214256|0.786074011|1|-0.070213101|-0.098311343|0.273439311|-38.9071564|42.56199385|-0.030429702|3.683575459|0.8007401590000001|60.55421302|2271.746759|491.89858160000006|-708.2039051|1886.244271|-9.343731735|5.917878616|5058.622432|110.4157723|-392.4367329|21.05801434|0.01096673|-333.29803589999995|884.4366022|475.3634141|6.076989555|1.0|1.0|1.0|1.0|1.0|3.44|0.28|7.02|5.42|2.18|2.0|0.0|102.55|1.0|3.0|-7.09|24.0|3.0|0.0|0.0|1.0|8.12e-08|2.88e-05|2.58e-06|0.000915|0.0|5.08e-08|1.8e-05|3.5456|-1712.060085|-1712.036238|593.24|998.86|0.2859|349.68|495.4|0.70275|0.70275|-0.14715|3.3082|0.02384763|5.5816|14.0|7.8539|7.8539
15_a3|0.0|0|0|0.0|0.0|6.823286122000001|1|0.619596467|0.0|4.727387819|-0.092127078|3|-0.182934001|-0.289938297|-0.006419472|10.33806279|0|0|-0.325227172|-0.039798975|3|0.968837995|0.813015336|0.036380489|0.866559772|0.911346861|1|-0.092342351|-0.107619999|0.451058529|-47.26593592|315.5421792|-0.037667|2.070175472|0.850327497|60.30684851|2116.88728|398.6887321|-771.2023653|1433.713715|-9.868603355|5.371119692000001|4617.470007|76.61068671|-394.7441342|22.67368656|0.010200078|-358.6340772|906.9474625|402.781061|5.220965278|1.0|0.0|1.0|1.0|1.0|0.0|0.24|2.21|1.56|0.96|0.0|0.0|94.29|2.0|2.0|-2.77|23.0|5.0|0.0|0.0|0.0|0.0017|547.0|0.000951|306.0|0.0|1.66e-06|0.000535|3.7072|-1328.688126|-1328.665275|553.81|916.07|0.4107|206.37|398.12|0.2843199999999999|0.67902|-0.1576|1.9539|0.0228507|2.3271|25.0|7.6021|7.6021
26_a20|0.0|0|0|0.0|0.0|6.842683282|0|1.4165417530000002|1.877209467|4.727387819|-0.104520106|2|0.1516835819999999|-0.3297182369999999|0.003085806|10.93106273|1|1|0.249416844|0.057022334|2|0.7071284179999999|0.7541508029999999|-0.055150498|0.8096894440000001|0.690530489|1|-0.0862808009999999|-0.082729415|0.423153994|-58.21621279|299.8332395|-0.0327795789999999|5.806030949|0.7848887259999999|65.85953426|2825.254798|535.3119506|-1172.219727|2534.075607|-14.92323356|7.598632688999999|6221.067002000001|145.1419493|-790.9313788|28.17896678|0.014879363|-384.4457279|1493.485239|712.1606951|10.03954725|1.0|1.0|1.0|1.0|1.0|3.07|0.08|4.5|4.62|2.47|2.0|0.0|125.0|1.0|5.0|-5.14|32.0|4.0|0.0|0.0|1.0|7.27e-06|0.00305|9.51e-06|0.00399|0.0|6.64e-10|2.780000000000001e-07|3.8894|-1352.315376|-1352.277633|715.27|1211.34|0.2081|256.05|543.96|0.50878|0.68167|-0.16129|3.8173|0.03774288|4.8742|131.0|6.8827|6.8827
17e_a50|0.0|1|1|0.0|0.0|7.934155233999999|2|1.320916122|4.3906140030000005|5.82008293|0.038322942|2|-0.011278897|-0.141076059|0.012036705|10.94500663|2|2|-0.017965698|-0.310566368|1|0.7596299459999999|0.7409645029999999|-0.202197068|0.7791604190000001|0.736221185|1|-0.046347299|-0.073011385|0.4239465089999999|-32.24487658|10.68364489|-0.02665495|6.227183052000001|0.803671114|57.93079973|2883.936138|647.0975667|-1168.300905|1981.934841|-12.90180444|8.52101688|6301.28046|136.5904997|-812.8136797000001|23.07468625|0.010255676|-422.5418889|1453.705234|904.3172644|7.135108233|0.0|1.0|1.0|1.0|0.0|4.23|0.37|4.23|4.68|2.91|2.0|0.0|138.0|1.0|6.0|-4.87|33.0|4.0|0.0|1.0|0.0|1.34e-05|0.00589|6.58e-06|0.00288|0.0|4.63e-08|2.03e-05|4.0298|-1375.295877|-1375.268259|757.34|1312.91|0.1809|292.6|602.89|0.6322800000000001|0.66478|-0.16649|6.7175|0.02761851|8.8326|155.0|6.8097|6.8097
19f_a38|0.0|0|0|3.3320764830000003|0.0|7.412764017000001|2|1.297044434|0.0|5.351858133|-0.084341564|2|-0.008118156|-0.4228801179999999|-0.002526241|10.96083376|1|1|-0.017421394|-0.217394466|1|0.724208473|0.819222745|-0.094149094|0.8741648479999999|0.698414933|0|-0.085318318|-0.111307609|0.488059925|-54.50401599|125.7493111|-0.037844587|8.601162122|0.734437553|84.35196967|2776.145209|479.6831205|-1208.815435|2846.860803|-15.44458393|6.164440995|6115.273372|169.6496169|-772.2291966|32.91812709|0.020733452|-299.5321167|1645.906354|595.8790650000001|13.24517938|1.0|1.0|1.0|1.0|3.0|2.48|0.14|3.13|2.55|2.4|1.0|0.0|125.69|1.0|5.0|-4.14|30.0|4.0|0.0|0.0|1.0|7.209999999999999e-05|29.0|6.77e-05|0.0272|0.0|1.4e-07|5.610000000000001e-05|3.4422|-1332.190216|-1332.160846|653.22|1105.62|0.3205|233.07|495.68|0.38086|0.7056100000000001|-0.14369|5.3152|0.02936908|7.1655|73.0|7.1397|7.1397
34_a47|0.0|1|1|0.0|0.0|6.842683282|0|1.40499556|1.883479676|4.727387819|-0.064842466|3|-0.094313757|-0.191253079|0.003530307|10.98214103|1|1|-0.208989427|-0.317014709|3|0.62974551|0.833786184|0.128336294|0.89234354|0.609110565|1|-0.061957581|-0.090141168|0.437215023|-34.3104683|31.17423189|-0.029348287|6.048527453999999|0.653993216|62.66739933|2371.236125|457.4477611|-698.8490993|918.6458674|-9.000096143|7.066583143|5105.274301|191.6093987|-387.0041342|24.85087647|0.023023142|-170.55473480000003|1068.587688|439.9906467|12.74960652|1.0|1.0|1.0|1.0|1.0|3.0|0.16|3.34|4.52|1.75|0.0|0.0|99.09|1.0|4.0|-3.57|26.0|5.0|0.0|1.0|1.0|0.000267|0.0929|0.000125|0.0436|0.0|3.36e-08|1.17e-05|3.8892|-1162.4815230000002|-1162.450678|585.79|980.02|0.2309|294.66|436.88|0.6602399999999999|0.69314|-0.16086|4.4605|0.03084502|6.2235|2.0|8.7|8.7
12b_a32|0.0|1|1|3.477905329|0.0|7.765993078999999|0|0.609420757|0.0|5.733341277|-0.055500132|0|-0.044307211|-0.462201267|-0.003484915|10.31100269|3|3|-0.079768013|-0.1534110109999999|0|0.788133615|0.838021287|-0.090027803|0.8887585240000001|0.7507116140000001|1|-0.081450418|-0.097525366|0.2996018789999999|-50.88975159|90.57560878|-0.027561517|6.356098747000001|0.60420609|76.65746734|2573.006963|488.9595947|-792.1327267000001|3148.185476|-10.75912958|7.076348793999999|5653.268811|247.2897528|-494.9199607|28.50066715|0.025166975|-130.2147289|1311.0306890000002|557.1050635|15.72418067|1.0|1.0|1.0|1.0|2.0|2.9|0.26|6.49|4.19|1.1|1.0|0.0|110.47|1.0|7.0|-5.9|27.0|4.0|1.0|0.0|1.0|1.27e-06|0.000505|3.72e-05|0.0148|0.0|2.23e-08|8.86e-06|3.5703|-1880.770588|-1880.732075|663.89|1109.93|0.2865|347.27|541.49|0.70258|0.70258|-0.14803|3208.0|0.0385132|4.1080000000000005|26.0|7585.0|7585.0
