molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|RPCS|WNSA3|DPSA5|PNSA4|DPSA3|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
17e_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|2|1.320916122|4.3906140030000005|-0.0020746479999999|-0.011278897|-0.141076059|0.012036705|-0.086639125|10.94500663|2|2|0.012372059|-0.017965698|-0.1949741189999999|0.7409645029999999|-0.1710526319999999|-0.202197068|0.7791604190000001|0.736221185|-0.046347299|-0.073011385|0.012865274|-32.24487658|-50.7956915|10.68364489|86.98647608|-22.43349867|57.93079973|-18.5444588|41.19554236|1981.934841|0.196328886|8.52101688|16.70124474|0.960006062|6301.28046|-812.8136797000001|23.07468625|0.010255676|1453.705234|904.3172644|7.135108233|0.0|1.0|4.18|4.23|20.0|4.23|51.77|0.0|0.0|1.0|6.0|33.0|4.0|-6.08|0.0|0.0|6.58e-06|0.00288|4.08|0.0|-0.03156|4.2373|4.0298|757.34|1312.91|307.67|602.89|0.6322800000000001|0.66478|0.1785|-0.16649|6.7175|0.02761851|-1374.992422|8.8326|6.8097
11a_a5|0.0|1|0|0|2.9781886010000003|0.0|0|6.605297921|0|1.212363224|0.0|-0.002894726|-0.052944925|-0.185262487|0.007993132|-0.1301505359999999|10.94877942|1|1|0.007955512|-0.081506|0.003975818|0.73344478|-0.037220974|-0.0489811909999999|0.773417838|0.7410766209999999|-0.064565402|-0.071517578|0.011860803|-46.13206353|-51.09940261|61.32301293|14.47576249|-32.96141947|61.4470419|-18.73644762|54.60662289|1170.247903|0.259134725|9.740948724|18.25640338|0.874191508|5756.783268|-803.2329738|25.28995251|0.014482324|1517.39715|835.912531|10.34763929|0.0|1.0|3.53|3.68|23.0|6.38|63.69|0.0|0.0|1.0|7.0|32.0|4.0|-4.54|1.0|1.0|3.95e-07|0.000167|6.13|0.0|-0.03694|4.4033|4.0938|739.79|1272.7|302.86|578.8|0.6735|0.65363|0.1838|-0.16735|2.8611|0.03340977|-1339.555805|3.6525|7.0915
AKLKII_a46|0.0|1|0|0|2.917217813|0.0|0|6.605297921|0|1.4316666480000002|0.0|-0.003417504|-0.008897473|-0.129865138|0.006821053|0.156485495|10.96959256|1|1|0.006731579|-0.015805561|-0.037291767|0.758995484|-0.0150769919999999|0.064690027|0.8264237520000001|0.687139108|-0.071827497|-0.089369278|0.010384859|-34.061229|-42.37969553|160.85204040000002|0.0|-16.15213359|49.76981906|-15.74102977|38.98582025|792.7439217|0.2278604669999999|5.83938898|11.22955511|0.92307023|4110.764451|-261.2587041|20.38625028|0.015584114|713.5187596|314.0966684|7.390123534|1.0|1.0|2.81|1.6|21.0|3.9|67.35|0.0|0.0|1.0|2.0|22.0|4.0|-6.5|0.0|1.0|0.000266|0.0764|2.19|0.0||||||||||||||||6.7423
2_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0|0.605017347|0.0|-0.008422099|-0.103423993|-0.311617665|-0.006049098|0.09933632|10.31162302|1|1|-0.0045709459999999|-0.18746945|0.017902469|0.769486995|-0.192034735|0.065162907|0.8401405609999999|0.841871246|-0.104577702|-0.09392632|0.011938463|-49.07072207|-44.07280196|228.178656|74.89956423|-23.02532673|53.05538527|-15.55510657|54.67257594|1314.679398|0.272015731|4.88513521|9.016533738|0.845708123|4446.904467|-248.1619888|21.36736636|0.019143348|726.4904564|330.4083896|8.982583312000001|1.0|1.0|2.97|2.22|21.0|4.34|92.93|0.0|0.0|1.0|2.0|22.0|3.0|-5.93|0.0|1.0|5.33e-05|0.0162|3.13|0.0|-0.06423|5.4397|3.3354|503.34|841.85|371.73|340.69|0.37284|0.69543|0.0962|-0.14605|4.0121|0.02925101|-1272.04778|5.4999|5.4
12e_a36|0.0|1|0|0|3.490984269|0.0|0|7.412764017000001|2|1.29704412|0.0|-0.007100632|0.144415507|-0.404736007|0.002951176|-0.0586405829999999|10.95346131|1|1|0.003962098|0.244642918|-0.104118159|0.7975411790000001|-0.010494913|-0.144846626|0.847602953|0.856274847|-0.07049439|-0.100988761|0.019063245|-44.83739063|-64.2330904|65.27404529|5.735288795|-28.51846223|75.50154216|-23.02695694|56.96241436|2309.239105|0.238923581|6.767371321000001|12.69013737|0.875194483|5929.071389|-776.2438847|30.25577504|0.017716522|1603.556077|662.0530478999999|11.26845175|1.0|0.0|4.85|0.0|17.0|3.24|69.2|0.0|0.0|1.0|5.0|30.0|4.0|-6.55|0.0|0.0|5.05e-05|0.02|3.04|0.0|-0.04962|3.8364|3.6699|673.57|1142.19|337.84|507.03|0.6814600000000001|0.70007|0.0006|-0.15189|6.5974|0.03037051|-1272.0579810000002|8735.0|7.8539
8e_a8|0.0|1|0|0|3.01599663|0.0|1|7.05012252|0|1.394799502|1.311619189|-0.010579355|-0.000766016|-0.539547088|-0.005310149|-0.102167262|10.94332438|1|1|-0.004224671|-0.0015448089999999|0.090898585|0.7233950809999999|0.02023118|-0.079493088|0.7742101929999999|0.636205913|-0.115572516|-0.105450888|0.0211004739999999|-70.49962428|-64.32539698|106.0087621|76.40535608|-43.00500847|75.57562034|-26.80224874|83.37098475|2080.07805|0.196692764|7.50719734|14.52755918|0.935150832|6095.6213210000005|-784.77418|33.36487904|0.0184428869999999|1601.514194|561.882658|11.25022336|0.0|0.0|3.2|2.98|23.0|4.33|90.11|0.0|0.0|1.0|5.0|30.0|4.0|-6.14|0.0|0.0|1.25e-05|0.00504|3.69|0.0|-0.06253|4.6303|3.2737|639.38|1090.07|378.73|526.86|0.50055|0.7013|0.1671|-0.13719|6.1505|0.03298991|-1376.766245|7.7951|4.7014
14c_a22|0.0|0|0|0|0.0|0.0|1|6.842683282|0|1.42291727|1.596256692|-0.005236206|-0.026986769|-0.298463715|0.003784292|-0.023927419|10.9464374|1|1|0.004362505|-0.047249795|-0.0917078119999999|0.773044788|-0.096749121|0.010828071|0.8353837409999999|0.639264982|-0.067475189|-0.080077573|0.024569649|-48.57709197|-57.64986681|36.22825261|78.22334636|-34.9718749|75.5139152|-21.75466672|66.26540251|2092.7515510000003|0.33831271|8.626337592|16.03849168|0.8592469290000001|6882.45|-830.0718911|32.87756477|0.024813755|1742.5109329999998|731.8178649|17.86404838|0.0|1.0|3.49|2.85|27.0|3.9|109.38|0.0|0.0|1.0|6.0|34.0|6.0|-6.96|0.0|0.0|2.4e-05|0.0107|2.9|0.0|-0.07399|5.7361|3.6741|715.52|1241.55|337.45|575.8|0.3078|0.69113|0.0694|-0.15408|7.3824|0.03150011|-1460.38772|9.04|6.8153
18c_a22|0.0|0|0|0|0.0|0.0|1|6.842683282|0|1.194229067|1.804590026|-0.003749104|-0.044828537|-0.213698903|0.005449965|0.009519672|10.31286086|1|1|0.005597023|-0.081550274|-0.078828791|0.7669483559999999|-0.032031791|0.010828071|0.8287956870000001|0.6922232890000001|-0.057956428|-0.076388478|0.019843706|-40.094865000000006|-52.84635017|30.63947336|15.22791009|-27.73804808|67.73280290000001|-19.94201893|53.82294919|2574.178324|0.317309976|7.332936064|14.04085897|0.914766316|7101.057047|-731.1931848999999|29.21094233|0.0215181079999999|1548.179944|779.8043336000001|14.88645273|1.0|1.0|3.56|3.3|27.0|5.36|124.4|1.0|0.0|1.0|6.0|34.0|5.0|-6.63|0.0|1.0|7.98e-06|0.0036799999999999|3.5|0.0|-0.07207|5655.0|3.7222|707.08|1249.84|333.1|583.88|0.4609|0.60449|0.0817|-0.15158|1.2938|0.02279458|-1783.340519|1.0733|7585.0
3_a4|0.0|0|0|0|0.0|0.0|1|7.535296702|1|1.343866299|2.147369615|-0.001141383|-0.07806942|-0.0502208409999999|0.011825591|-0.010537082|10.92992985|1|1|0.011276682|-0.129930078|-0.048796855|0.773786787|-0.0862461019999999|0.0904255319999999|0.8367373309999999|0.623172012|-0.052578183|-0.06572153|0.010568144|-25.5405205|-31.92506825|12.23442244|40.30885999|-12.40663231|39.38579676|-11.97190059|30.67413075|1602.411021|0.280312336|4.832514477|8.486341272999999|0.7560922609999999|4677.30755|-232.6201124|16.63485592|0.015358792|665.3942366|409.0289917|7.460728516|1.0|1.0|2.99|2.86|21.0|4.02|43.6|0.0|0.0|1.0|2.0|24.0|3.0|-5.99|0.0|1.0|5.520000000000001e-05|0.0173|3.12|0.0|-0.04964|4.9088|4.0639|535.44|905.23|305.09|350.36|0.58445|0.58615|0.0871|-0.17005|2681.0|0.024645265|-990.514888|3205.0|6983.0
13b_a6|0.0|1|0|0|3.423777636|0.0|0|7.412764017000001|1|1.430640379|0.0|-0.011206134|0.060593678|-0.6051312529999999|-0.00460563|-0.104663349|10.95129557|1|1|-0.00194781|0.100281317|-0.10896749|0.7788169070000001|-0.029988734|-0.11338525|0.8370824240000001|0.8013954109999999|-0.093125205|-0.112915801|0.032036214|-61.06841733|-74.04643339|154.7847961|554.4007331|-40.04664055|87.39962829999999|-26.65671602|82.07670290000002|2587.000662|0.2427663219999999|9.087172635|15.37022155|0.69141956|6000.952027|-874.0294667999999|35.20276076|0.0203627189999999|1760.1380379999998|627.4287311|13.35319491|1.0|1.0|3.56|2.85|23.0|4.98|95.85|0.0|0.0|1.0|5.0|31.0|5.0|-6.1|0.0|1.0|1.02e-05|0.00417|3.8|0.0|-0.0525799999999999|4.8494|3.6322|694.33|1167.21|341.35|574.07|0.58026|0.7006600000000001|0.2461|-0.14898|10.8032|0.02920955|-1349.898848|13.5746|6.7595
