molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|SRW07|AATSC1s|MATS7i|SaaaC|MATS8i|AATSC8d|AATSC1pe|MATS1c|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|FNSA3|FNSA5|PBF|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|WNSA3|DPSA3|GRAVp|TASA|WNSA4|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
12ab_a30|0|0|0|0.0|0|7.412764017000001|2|0.604983638|0.0|5.351858133|-0.030346359|0.018023992|0.0|0.038312857|0.01563558|0.005111479|-0.384942092|0.8397577820000001|0.809127478|0.026596859|0.855880335|0.794193541|-0.082740301|-0.1008879709999999|0.4605456229999999|-71.0035788|119.79740259999998|0.200246511|140.93076580000002|-0.031859359|-49.97135112|0.0|-1.815983471|-40.9825333|80.46280277|3118.431712|562.8556061|-15.78042667|6918.884105|37.1257096|0.030534507|-146.321375|792.3440337000001|0.0|1.0|1.0|1.0|1.0|4.87|0.0|17.0|-6.83|3.94|2.63|100.11|0.0|140.26|0.0|1.0|7.0|33.0|6.0|-6.39|458.54|0.0|0.0|2.52|2.47e-06|0.00113|9.94e-06|0.0|1.47e-07|-49.0|4.8018|-1804.79081|753.75|355.06|0.1957|258.2|613.7|0.68324|-1804.523449|-0.14772|0.03368522|7.4968|17.0|7.7825
25c_a34|0|0|0|0.0|1|7.412764017000001|2|1.377881974|1.958290974|5.351858133|-0.047513652|-0.16034464|0.0|-0.056443595|-0.041629027|0.001433865|-0.5404076879999999|0.809687672|0.80135608|-0.072907053|0.844690266|0.760055383|-0.088513496|-0.113392997|0.478421157|-75.6298008|183.6812574|0.316768377|211.2752099|-0.031498055|-50.44285726|93.28638171|-1.7008949569999998|-39.37521522|88.25954175|2884.104654|455.6954382|-14.01190479|6306.980593|39.09037289|0.037538004|-49.9273377|648.0187526000001|1.0|1.0|1.0|1.0|1.0|3.64|3.17|17.0|-5.71|2.18|1.98|90.74|0.0|116.0|0.0|2.0|6.0|31.0|6.0|-7.95|421.45|0.0|0.0|1.93|0.00156|659.0|0.000523|0.0|1.97e-06|-0.03272|4.2095|-1426.666471|704.43|294.54|0.2239999999999999|294.54|561.29|0.69247|-1426.421463|-0.17424|0.03817361|9.8087|1.78|5.7496
3_a4|0|0|0|0.0|1|7.535296702|1|1.343866299|2.147369615|5.4161004020000005|0.03287721|-0.07806942|2.180369373|-0.010537082|0.050638298|0.011276682|-0.133874898|0.637819558|0.773786787|0.0904255319999999|0.8367373309999999|0.623172012|-0.052578183|-0.06572153|0.462670692|-31.92506825|12.23442244|0.080195284|38.95587796|-0.024645574|-15.5080075|40.30885999|-0.985822953|-12.40663231|30.67413075|2159.04913|446.8068266|-5.815502811|4677.30755|16.63485592|0.015358792|-213.4321476|409.0289917|1.0|0.0|1.0|1.0|0.0|2.99|2.86|21.0|-7.19|4.02|4.11|43.6|0.0|95.12|0.0|1.0|2.0|24.0|3.0|-5.99|312.37|0.0|1.0|3.31|0.000198|0.0617|5.520000000000001e-05|0.0|6.49e-08|-0.04964|4.9088|-990.6149055|535.44|305.09|0.1415|252.57|350.36|0.58615|-990.467184|-0.17005|0.024645265|3205.0|104.0|6983.0
11a_a50|0|1|1|0.0|2|7.927685046000001|1|1.397733996|4.088412042|5.82008293|-0.014702942|-0.04339705|2.114272566|-0.108592708|-0.129547471|0.012037198|-0.267331063|0.701976536|0.792574879|-0.200986578|0.8535780190000001|0.667956827|-0.048213112|-0.071180382|0.2931724189999999|-37.63057389|7.53108119|0.0828728879999999|43.81199235|-0.025421565|-19.89396594|67.28055926|-1.067705728|-13.47492066|35.26290548|2286.226222|484.8529701000001|-7.104987834|4858.670497|20.53832944|0.020887781|-163.21096210000002|439.9973344|0.0|1.0|1.0|1.0|0.0|3.44|2.8|20.0|-5.87|3.09|3.73|48.53|0.0|99.65|0.0|2.0|2.0|25.0|3.0|-6.24|327.38|0.0|1.0|2.95|0.000263|0.0862|6.97e-05|0.0|1.35e-06|-0.03284|4.0636|-1045.954278|574.01|305.11|0.1761|305.11|437.9|0.65485|-1045.794689|-0.16769|0.02431947|7.5619|59.0|7.2291
14w_a23|0|1|1|0.0|2|7.423568444|0|1.197963556|3.132012648|5.351858133|-0.109136569|0.045196333|0.6813799420000001|-0.042151195|-0.031435038|0.003906274|-0.427696371|0.5788469970000001|0.802520527|-0.049318182|0.8668730109999999|0.558482531|-0.070714528|-0.088508061|0.228641034|-58.53311596|43.30287556|0.211928134|140.15462380000002|-0.035779855|-38.70975831|90.15900589|-1.681653166|-30.92760432|61.60607046|3071.908367|521.1762769999999|-15.648625699999998|6998.078982999999|31.82765022|0.020725002|-322.004381|597.2903597999999|0.0|1.0|1.0|0.0|1.0|3.42|3.35|26.0|-7.93|4.2|5.14|105.02|1.0|120.2|0.0|1.0|5.0|32.0|6.0|-6.35|447.46|0.0|0.0|4.05|2.09e-06|0.0009369999999999|5.41e-06|0.0|1.17e-08|-0.0798|3.6632|-1828.363862|676.92|338.46|0.3855|338.46|535.54|0.6219399999999999|-1828.161957|-0.14844|0.02204118|9.8981|2.0|8.6737
6a_a40|0|0|0|0.0|1|8.421342866|1|0.604893625|1.78213955|6.401917197|-0.077397672|-0.146542353|0.775942224|0.104332675|-0.230955427|-0.001171195|-0.620787469|0.682273668|0.801647855|-0.340539542|0.861720535|0.657059571|-0.109047987|-0.117413572|0.360858579|-73.33687786|185.06174|0.266249007|166.2999483|-0.049149867|-45.80643937|36.84483305|-2.113444291|-42.542782200000005|78.35465194|2936.1501780000003|458.303126|-19.17478857|7059.617542|35.37373259|0.012872604|-459.522754|557.4018948|0.0|1.0|0.0|1.0|1.0|3.99|3.01|14.0|-4.05|4.38|3.07|173.43|2.0|120.14|1.0|2.0|5.0|29.0|5.0|-6.32|442.53|1.0|1.0|3.17|7.85e-08|3.47e-05|1.03e-05|0.0|8.950000000000001e-05|-0.0926|2.9836|-2371.560378|649.48|415.55|0.4015|415.55|497.78|0.6782699999999999|-2371.3827|-0.11995|0.01952089|9.3893|0.04|7.3979
7s_a46|0|0|0|0.218897825|1|7.727094485|1|1.160371307|2.117265684|5.533389489|-0.076841616|-0.210750635|0.0|-0.005405515|-0.020953253|0.005577925|-0.3638523629999999|0.778692012|0.770312275|-0.030371026|0.8182543959999999|0.768056188|-0.096723151|-0.083011849|0.249893305|-41.72189594|166.3052939|0.141211538|70.97315818|-0.031623562|-20.9694955|0.0|-1.3281895890000002|-24.43308641|53.07188519|1982.695462|431.6285339|-7.988379237|4245.390306|19.38565529|0.01122216|-321.55195330000004|409.9543818|1.0|0.0|1.0|1.0|1.0|3.08|2.33|17.0|-6.08|3.65|3.9|50.94|0.0|91.19|0.0|1.0|2.0|23.0|3.0|-5.81|305.37|0.0|1.0|3.12|8.590000000000001e-05|0.0262|5.76e-05|0.0|8.39e-07|-0.02024|5.2972|-974.7707066|539.99|288.81|0.4164|234.06|446.63|0.69976|-974.615216|-0.17923|0.036050328|3.6655|1985.0|5.7022
4g_a49|0|0|0|0.0|2|8.228176896|2|1.343847279|4.107873566|6.107022888|-0.008414823|-0.085731041|3.4246879480000003|0.003456679|0.08591712|0.007845545|-0.311927917|0.651833607|0.7559263270000001|0.144740607|0.81242269|0.626581708|-0.061465364|-0.0666753309999999|0.736530693|-66.44036383|151.0705543|0.139812173|139.3194688|-0.0250032489999999|-66.20622488|74.95505057|-2.000259924|-61.03291321|80.12633309|4706.348867000001|857.1564845|-24.82733433|11516.07629|39.71443299|0.023762615|-253.8168226|1714.878736|0.0|0.0|1.0|0.0|1.0|4.83|4.36|42.0|-13.67|6.09|7.56|116.3|0.0|198.32|0.0|0.0|7.0|51.0|7.0|-6.6|663.73|1.0|0.0|5.23|3.3700000000000004e-08|2.24e-05|3.72e-08|1.0|2.13e-14|-0.06458|4.3116|-2147.66293|985.89|341.84|0.1389|287.56|662.84|0.69238|-2147.217543|-0.15087|0.05838924|4.5147|106.0|6.9747
3b_a12|0|0|0|0.0|0|0.0|1|1.283824445|0.0|0.0|-0.043495794|-0.1215705419999999|0.0|-0.065558712|-0.003968827|-0.003019113|-0.547002361|0.914614654|0.768772928|-0.007397776|0.82914101|0.802482465|-0.064393592|-0.088443201|0.073824142|-46.11064215|41.13468455|0.096795301|50.46508298|-0.034016616|-24.04018959|0.0|-1.326648015|-17.50314491|38.97406803|2186.64676|470.8937285|-9.246226764|4665.346939|23.06757345|0.0166212889999999|-280.3056362|406.0361621|1.0|1.0|0.0|1.0|1.0|3.82|2.98|18.0|-8.1|4.05|3.14|37.28|0.0|102.53|0.0|1.0|3.0|24.0|3.0|-5.65|332.79|0.0|1.0|3.59|5.539999999999999e-05|0.0184|2.28e-05|0.0|7.91e-09|-0.07091|4.2092|-1410.947421|548.05|328.51|0.5013|294.55|426.66|0.6654800000000001|-1410.826913|-0.15229|0.02444371|8.5678|49.0|7.3098
47o_a18|0|0|0|0.0|0|7.03438793|1|1.251177005|0.0|4.844187086|-0.055408687|-0.006238734|0.0|0.011121222|-0.038296569|0.000787517|-0.490807196|0.7452092359999999|0.7435044540000001|-0.066242713|0.781148177|0.733228144|-0.077288013|-0.088436375|0.261785105|-64.2280736|77.37089184|0.193127002|140.2610102|-0.034545459|-46.6464782|82.54478365|-2.210909375|-40.76618466|62.44459815|2857.120021|586.0020642999999|-18.22128055|6462.6049570000005|28.74706708|0.008265369|-541.4335917000001|931.8364349|1.0|0.0|1.0|1.0|3.0|4.17|0.0|18.0|-9.37|3.69|3.0|85.29|1.0|139.63|0.0|1.0|9.0|34.0|3.0|-6.12|454.56|0.0|1.0|2.76|2.19e-06|0.000996|8.38e-06|0.0|4.26e-10|-0.0502|3.22|-1455.547304|783.22|385.04|0.5065|385.04|706.49|0.69248|-1455.162559|-0.13203|0.02736851|2.8284|47.0|7.3279
