molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|AATSC1c|SRW07|AATSC1s|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|FNSA5|PBF|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA2|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (water)|pIC50|pIC50
19_a34|0.0|0|0|0|0.0|7.412764017000001|1|1|1.438829424|-0.013066507|5.351858133|-0.169170251|-0.5357267960000001|-0.00802652|-0.143343425|10.95957634|-0.014196676|1|1|-0.0042364759999999|-0.29861864|-0.401414514|1|0.866604574|0.8022000659999999|0.08178394|0.8582665429999999|-0.1255804019999999|0.308793959|-62.64265252|131.5318459|0.360097548|179.6256831|-0.039656969|-31.24772528|470.4453529|0.662289492|-19.78189027|0.467358389|2127.363207|319.1993829|-751.7118302|1537.244187|-9.86770272|0.3377105079999999|5.495780422|0.877434994|4496.516479|29.86894781|0.029554695|1135.020017|1.0|0.0|1.0|1.0|3.07|0.18|-5.03|2.31|69.4|1.08|0.0|0.0|83.95|0.0|2.0|3.0|23.0|5.0|-7.01|309.32|0.0|2.1|0.00186|574.0|218.0|1.66|0.0|0.0|9.42e-06|0.00291|-0.02901|2.7|297.18|297.18|421.62|0.6897300000000001|0.6897300000000001|-1046.458335|0.2189|-0.1735|5.0441|6.0044|6.0044
20b_a10|0.0|0|0|0|0.0|7.535296702|1|1|1.343837209|-0.007463406|5.4161004020000005|-0.073703704|-0.447804373|0.001965496|-0.042013549|10.92966143|-0.013623188|1|1|0.002637529|-0.049452599|0.031942481|2|0.725009545|0.761071345|0.052265135|0.817426568|-0.088479815|0.6741049840000001|-56.53849503|81.39248686|0.24740823|158.09355980000004|-0.033783202|-36.12803002|91.02309592|0.7616213270000001|-21.58742537|0.454087415|3085.433676|480.905232|-1187.308396|2257.777328|-13.79433873|0.238378673|7.554743755|0.8317951020000001|7173.225184999999|28.34404003|0.0171045989999999|1558.922202|1.0|1.0|1.0|1.0|3.54|0.11|-8.93|5.0|95.92|2.41|2.0|0.0|129.73|0.0|1.0|5.0|34.0|5.0|-6.53|447.49|0.0|3.66|6.05e-06|0.00271|0.00364|3.52|0.0|0.0|1.1699999999999999e-09|5.26e-07|-0.0578399999999999|4.88|317.8|208.89|482.93|0.3246|669.0|-1465.333983|0.1382|-0.16388|7.7954|5.9586|5.9586
1e_a5|0.0|1|0|0|2.953259375|6.605297921|0|0|1.427503886|-0.001975193|4.59511985|-0.009075016|-0.084933308|0.008031558|-0.1197834419999999|10.94440038|-0.040441176|1|1|0.007357977|-0.133677441|0.0578378779999999|2|0.71274658|0.771487328|0.045376705|0.834250802|-0.069725333|0.373935381|-36.22202792|159.537038|0.1194205|62.03846573|-0.0278901329999999|-18.81719677|0.0|0.7473936259999999|-14.48881117|0.482579989|2107.092939|457.4574833|-579.5524467|827.4861275000001|-7.526878708|0.2526063739999999|6.41473183|0.932665879|4342.827698|19.38578369|0.0157106539999999|775.4313476|1.0|0.0|1.0|1.0|2.83|0.05|-8.41|4.51|54.46|2.13|0.0|0.0|95.45|0.0|1.0|3.0|24.0|3.0|-5.77|312.37|0.0|3.44|5.5700000000000005e-05|0.0174|0.0111|3.43|0.0|0.0|3.87e-09|1.21e-06|-0.04186|3.17|279.92|261.24|427.87|0.56258|0.51802|-990.471803|0.1355|-0.18105|3.0386|6719.0|6719.0
19_a3|0.0|1|0|0|2.917217813|6.605297921|0|0|1.4316666480000002|-0.003417504|4.59511985|-0.030657|-0.129865138|0.006821053|0.156485495|10.96959256|0.036226415|1|1|0.006731579|-0.015805561|-0.066245471|3|0.718266758|0.758995484|-0.0150769919999999|0.8264237520000001|-0.087730634|0.225451546|-40.8473715|161.5312186|0.146982098|68.43484547|-0.032585664|-19.01853079|0.0|0.75798185|-15.17188084|0.476813896|2000.66399|397.1650228|-531.0158295|869.7868956|-7.064025721|0.24201815|5.342307798999999|0.911365749|4138.413977|20.01615321|0.016552404|700.5653624|1.0|0.0|1.0|1.0|2.81|0.06|-7.21|3.39|67.35|1.18|0.0|0.0|85.32|0.0|1.0|2.0|22.0|4.0|-6.5|287.32|0.0|2.45|0.000578|166.0|0.0764|2.19|0.0|0.0|6.18e-08|1.7800000000000002e-05|-0.05757|2.43|314.28|314.28|362.92|0.67351|0.67351|-929.14689|0.3006|-0.16303|2.8758|7.6383|7.6383
2_a4|0.0|0|0|0|0.0|6.605297921|1|1|1.189716144|-0.00708265|4.59511985|-0.103346554|-0.269140683|-0.001386521|0.090707854|10.95268469|0.076479666|0|0|-0.0016168089999999|0.127695325|0.228655117|1|0.930871261|0.802438682|0.11821091|0.847373823|-0.105102755|0.442778552|-44.27948986|166.102249|0.257481153|108.4760726|-0.0379537729999999|-18.65482233|0.0|0.843107708|-15.98981578|0.3961813179999999|1623.668791|312.82106489999995|-575.6333682|910.3327882|-6.736463618999999|0.156892292|4.710383035|0.656126301|3396.86527|18.96532986|0.011054731|682.7518749|1.0|0.0|1.0|0.0|3.33|0.27|-4.83|0.83|45.15|1.63|0.0|0.0|79.59|0.0|2.0|2.0|19.0|4.0|-6.69|253.3|0.0|1.24|0.0066|1.67|434.0|1.62|0.0|0.0|1.4800000000000002e-05|0.00374|-0.01612|2.46|384.69|210.28|333.36|0.4682|0.6885600000000001|-819.771754|0.0008|-0.14614|3.0946|7.5086|7.5086
4_a38 (LY-2157299)|0.0|0|0|0|0.0|7.535296702|1|1|1.343847059|-0.00638266|5.4161004020000005|-0.080432741|-0.325515636|0.002865697|-0.159241692|10.9277672|-0.020954339|1|1|0.003107816|-0.083399128|0.0481706809999999|2|0.702976795|0.8099394329999999|-0.041794304|0.868207983|-0.089446059|0.459041332|-51.11565158|260.7739337|0.2456862269999999|140.40206619999998|-0.03235283|-29.21101111|71.22674185|0.7861170609999999|-18.48863993|0.487041509|2501.945802|431.0669496|-868.9660769|1686.693134|-10.56568487|0.213882939|6.54753874|0.949475478|5566.495502000001|23.51893991|0.01379043|1105.390176|1.0|1.0|1.0|1.0|3.27|0.18|-7.13|3.51|86.69|1.84|1.0|0.0|108.18|0.0|1.0|3.0|28.0|4.0|-6.86|369.42|0.0|2.81|0.0001409999999999|52.0|0.0375|2.39|0.0|0.0|7.45e-08|2.75e-05|-0.06|3.95|327.69|266.68|449.44|0.4|0.68|-1198.442536|0.06|-0.16|7.6529|7.1586|7.1586
12q_a30|0.0|0|0|0|0.0|7.412764017000001|2|2|0.60498366|-0.015322396|5.351858133|-0.27228842|-0.873376576|-0.00695299|0.004165554|10.31162828|-0.021542639|1|1|-0.004395528|-0.0483777279999999|-0.226973911|1|0.613786308|0.816138015|0.01661722|0.867367115|-0.115589613|0.596557166|-78.7683329|82.72757145|0.154254173|105.1162273|-0.045799658|-53.67653794|0.732186841|0.820640722|-31.21009417|0.473741611|3305.289025|576.3319634|-1654.134991|2844.418547|-21.2680622|0.179359278|7.346842839|0.900207238|7990.060758|38.03137394|0.016579022|2015.662819|0.0|1.0|1.0|0.0|4.73|0.17|-7.18|4.78|90.88|2.82|2.0|0.0|133.96|0.0|1.0|7.0|34.0|8.0|-5.66|482.48|0.0|3.42|1.99e-07|9.63e-05|0.000579|5.05|0.0|0.0|6.61e-08|3.19e-05|-0.05105|5.52|355.93|245.16|537.96|0.34138|0.68516|-1987.781386|0.1515|-0.14792|6.821000000000001|7.4449|7.4449
15a_a50|0.0|0|1|1|0.0|7.934155233999999|1|1|1.3530592819999998|-0.004429392|5.82008293|-0.06317118|-0.234757789|0.005366038|-0.15010386|10.94500663|-0.125205943|2|2|0.005828749|-0.072976638|-0.209259615|1|0.797917311|0.821868651|-0.051676609|0.8749408470000001|-0.084501726|0.4349386739999999|-50.56454577|275.287923|0.162210104|97.06405493|-0.029316925|-30.25705388|0.0|0.705410595|-17.54280159|0.4476230879999999|2503.770258|501.3207109|-859.5972780999999|1754.903963|-10.49734522|0.294589405|8.095541483|0.8103580690000001|5401.219537|24.86892274|0.018747341|1218.577214|1.0|1.0|1.0|1.0|3.7|0.23|-6.09|3.57|68.76|1.87|1.0|0.0|110.43|0.0|1.0|5.0|28.0|4.0|-6.78|371.44|0.0|2.76|0.000251|0.0933|0.0444|2.51|0.0|0.0|8.070000000000001e-07|0.0003|-0.03255|2.66|306.83|306.83|519.38|0.66132|0.66132|-1199.572081|0.1767|-0.16693|9.0948|7.3872|7.3872
7_a3|0.0|0|0|0|0.0|6.823286122000001|0|0|0.60501656|-0.008855374|4.727387819|-0.106234254|-0.327648836|-0.007540435|0.054347129|10.3116226|0.030246987|1|1|-0.006696449|-0.084462575|0.036673175|2|0.881253042|0.790667152|-0.224253635|0.8632654590000001|-0.096448591|0.5999725029999999|-47.72824381|230.9407974|0.217705402|107.7330046|-0.036877402|-23.61864737|76.07607751|0.7992146109999999|-18.2490344|0.3987206729999999|2196.07224|387.1238241|-620.4671695000001|1952.029549|-9.030659289|0.2007853889999999|5.198046584|0.663120542|5055.700186|22.83370969|0.0149999089999999|776.3461295|1.0|1.0|1.0|1.0|3.02|0.0|-7.48|4.66|92.93|2.11|1.0|0.0|95.5|0.0|1.0|2.0|23.0|3.0|-5.68|338.81|0.0|3.63|3.67e-06|0.00124|0.00455|3.79|0.0|0.0|3.28e-08|1.11e-05|-0.0640299999999999|3.09|360.06|210.68|362.61|0.3456|0.69224|-1731.602893|0.1262|-0.14816|3.9813|5.9901|5.9901
16e_a32|0.0|1|1|1|3.343660084|7.765993078999999|0|0|0.609420752|-0.0154404319999999|5.733341277|-0.06951854|-0.772021601|-0.0048042729999999|-0.070351839|10.31100268|-0.01320745|3|3|-0.002310082|-0.079817994|-0.219947482|0|0.804503712|0.86370575|0.096017785|0.91471624|-0.117338144|0.504569498|-75.36830928|105.4021155|0.209694841|134.6906051|-0.037448344|-48.41036206|39.27920316|0.702226562|-24.05371573|0.458956284|2710.157931|507.6266039|-1130.524639|3376.1299740000004|-15.45011555|0.297773438|6.573687662|0.848279482|6142.277629|34.2534974|0.023323257|1609.914378|0.0|1.0|1.0|1.0|3.64|0.26|-7.38|4.6|149.27|1.12|3.0|0.0|111.95|1.0|1.0|8.0|28.0|5.0|-6.15|413.52|1.0|3.77|2.58e-07|0.000107|0.0074099999999999|3.76|0.0|0.0|4.18e-08|1.73e-05|-0.0505899999999999|4.59|342.37|342.37|552.79|0.7022|0.7022|-1955.766505|0.2858|-0.14991|3.9389|8.1367|8.1367
