molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|FNSA5|PNSA3|RNCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GRAV|WNSA2|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|pIC50|pIC50
13_a10|0.0|0|0|0|0.0|1|1|1|1.343837907|2.091672336|-0.059862024|-0.0057715859999999|5.4161004020000005|-0.055497169|2|0.038726287|1.794073077|-0.259721373|-0.002128014|10.9296146|-0.001592366|1|0.003791547|-0.017015286|-0.02811323|2|0.761923976|0.78472614|0.00746881|0.84680169|1|-0.082327045|-47.88975806|174.7319717|-1.234905671|51.21590298|54.05778885|0.449563457|2261.82488|-624.3134531000001|1630.880014|-7.698174391|0.285505651|9.209972585|4941.066161|-315.62515|21.31179541|0.018979132|873.7836118999999|1.0|1.0|1.0|1.0|0.15|21.0|3.52|3.81|1.88|0.0|0.0|97.14|0.0|1.0|-3.76|25.0|4.0|328.37|0.0|1.0|-4.1|7.87e-05|0.0258|2.76|0.0|2.49e-07|8.170000000000001e-05|-0.05022|2.48|3.8419|-1065.839441|926.41|212.63|0.68386|0.1514|-0.15937|3.6904|6.7959|6.7959
11_a4|0.0|0|0|0|0.0|1|1|1|0.626711769|2.159635561|-0.20567828|-0.001098364|5.4161004020000005|0.032861655|2|0.03617284|2.216390726|-0.056016567|-0.073554945|10.33765061|-0.0043410079999999|1|0.010782511|-0.0278843589999999|-0.046906237|2|0.6575743310000001|0.820318166|-0.163623353|0.875868891|1|-0.06530408|-31.35942689|12.88007087|-1.110169356|44.63993001|36.75497433|0.480360734|2452.527871|-641.5941818|1640.559148|-7.889214068999999|0.243908684|13.18281017|5425.1341090000005|-370.7930613|18.0546182|0.011937709|848.5670554999999|1.0|1.0|1.0|0.0|0.23|21.0|4.97|5.22|3.15|2.0|0.0|111.64|0.0|1.0|-5.14|27.0|3.0|372.49|0.0|1.0|-4.97|1.06e-05|0.00395|3.99|0.0|8.89e-09|3.31e-06|-0.05582|3.2|3.78|-1467.440475|1071.03|252.67|0.65942|0.0403|-0.15885|4187.0|6.9586|6.9586
14w_a23|0.0|0|1|1|0.0|2|0|0|1.197963556|3.132012648|0.013971812|-0.006481882|5.351858133|-0.109136569|2|0.046678487|0.6813799420000001|-0.330575965|-0.042151195|10.31321817|-0.031435038|2|0.003906274|-0.073958723|-0.206574435|2|0.5788469970000001|0.802520527|0.059273664|0.8668730109999999|1|-0.088508061|-46.76570273|43.30287556|-1.681653166|72.23920014|61.60607046|0.4972095239999999|3071.908367|-1112.129203|2283.383402|-15.648625699999998|0.256548212|15.58053709|6998.078982999999|-735.4854078|31.82765022|0.020725002|1495.89956|0.0|0.0|0.0|1.0|0.05|26.0|4.2|5.14|3.78|2.0|1.0|120.2|0.0|1.0|-5.68|32.0|6.0|447.46|0.0|0.0|-5.27|5.41e-06|0.00242|3.78|0.0|1.17e-08|5.23e-06|-0.0798|3.97|3.6632|-1828.363862|1150.31|338.46|0.6219399999999999|0.3855|-0.14844|7.0157|8.6737|8.6737
47s_a18|0.0|0|0|0|0.0|0|1|1|1.251176205|0.0|0.026229332|-0.0054038509999999|4.844187086|-0.045792331|0|0.035632184|0.0|-0.394481152|0.0134295589999999|10.94702059|-0.031515152|0|0.003686393|-0.168728915|-0.252119673|0|0.724028067|0.712629555|0.0109557919999999|0.745196689|0|-0.08106112|-53.18668656|10.92659868|-2.107589125|69.29837549|59.58080589|0.4740142|2992.734821|-1595.466781|1529.863965|-17.25406952|0.179529145|18.65422248|6968.705069|-1207.784866|27.77963709|0.010481057|1944.574596|1.0|1.0|1.0|2.0|0.3|18.0|4.06|3.93|3.33|3.0|1.0|149.34|0.0|1.0|-5.95|36.0|3.0|482.62|0.0|0.0|-5.45|3.53e-06|0.0017|4.62|0.0|3.8199999999999997e-10|1.84e-07|-0.0491399999999999|8.41|3218.0|-1534.174077|1435.42|385.29|0.6926800000000001|0.5203|-0.13195|2.3134|6.2104|6.2104
12y_a36|0.0|1|0|0|0.0|0|2|2|1.29704385|0.0|-0.061103469|-0.00707164|5.351858133|-0.065314765|2|0.041767677|0.0|-0.410155116|-0.049845887|10.94917392|-0.028440975|1|0.003724542|-0.095253274|-0.1619981409999999|1|0.90500247|0.820226782|0.046673879|0.873588247|0|-0.098532865|-51.48548385|114.430624|-1.970657299|78.8341402|64.53055627|0.487285656|2793.629988|-1324.80348|2304.463084|-16.49293906|0.244264266|14.80236899|6082.16777|-890.6187094000001|32.46293206|0.01873364|1752.9983309999998|1.0|0.0|0.0|2.0|0.12|17.0|3.62|2.42|2.38|1.0|0.0|133.84|0.0|1.0|-4.58|31.0|4.0|407.47|0.0|0.0|-4.55|2.82e-05|0.0115|3.45|0.0|9.66e-08|3.94e-05|-0.05002|3.83|3.8794|-1310.315063|1183.75|319.6|0.66796|0.4358|-0.15671|6.1376|7.9208|7.9208
21_a47|0.0|0|1|1|0.0|1|0|0|1.408713027|1.2247108|0.072733799|-0.010650348|4.727387819|-0.13650463|2|0.037801932|1.028199909|-0.511216716|-0.004063946|10.95058272|0.057225853|1|-0.004332497|-0.1049885469999999|-0.277479519|2|0.612295986|0.826796636|-0.080213904|0.8856299320000001|1|-0.095249919|-46.63227351|34.75044485|-1.5239986980000002|70.10126935|59.46768095|0.463113582|2691.697803|-860.2257893999999|1402.202743|-10.79015808|0.355154704|13.17102891|6103.311635|-485.55711339999993|29.64451905|0.028943339|1334.003357|0.0|1.0|1.0|2.0|0.1|21.0|2.94|4.93|2.97|1.0|0.0|104.49|0.0|1.0|-4.44|29.0|6.0|394.38|0.0|1.0|-4.32|4.84e-05|0.0191|3.0|0.0|1.98e-08|7.8e-06|-0.06339|4.43|3917.0|-1375.028093|1014.33|316.53|0.68296|0.2249|-0.16158|3.6767|8.3|8.3
17g_a50|0.0|0|1|1|0.0|2|2|2|1.320916184|4.377239517|-0.185924266|-0.002050512|5.82008293|0.052557574|2|0.029160757|2.236579664|-0.13328325|-0.022378911|10.94501702|-0.1155555559999999|2|0.01245647|-0.200725906|-0.323333765|1|0.754575205|0.738521694|-0.10642733|0.7787714459999999|1|-0.0706879109999999|-32.14758511|10.60268439|-1.555134042|56.28102287|41.85775712|0.467997084|2821.3922|-1037.842058|1975.996014|-11.54365807|0.250051612|15.28352231|6102.424958|-692.6194843|23.06474408|0.013645282|1383.884645|0.0|1.0|1.0|0.0|0.35|20.0|3.71|4.37|2.71|2.0|0.0|133.03|0.0|1.0|-4.46|32.0|4.0|424.54|0.0|0.0|-4.86|1.39e-05|0.0059|3.68|0.0|1.1e-07|4.6500000000000005e-05|-0.0323|3.22|4.0458|-1335.946919|1259.05|306.45|0.6623600000000001|0.1795|-0.16699|7.0584|6.6091|6.6091
6_a47|0.0|0|0|0|0.0|0|0|0|1.304328257|0.0|0.011739916|-0.008723045|0.0|-0.1738997619999999|2|0.042276423|1.291219116|-0.392537045|0.051455447|10.93671042|0.0402365489999999|0|-0.0094242819999999|-0.020576777|-0.04324355|2|0.701994505|0.786041178|-0.149904224|0.84654143|1|-0.096689626|-43.43026699|101.7290544|-1.547034008|60.76103606|48.75381069|0.4059072379999999|2431.668154|-838.6054381|1577.98246|-10.82346202|0.205609194|10.90843226|5766.962611999999|-454.5854048000001|25.13472712|0.0154005|1055.658539|1.0|1.0|1.0|2.0|0.05|22.0|5.24|6.27|3.48|2.0|0.0|106.47|0.0|1.0|-6.02|27.0|4.0|379.81|1.0|1.0|-5.79|1.63e-06|0.000619|5.06|0.0|8.71e-10|3.310000000000001e-07|-0.05354|4.69|3.7196|-1608.652005|990.85|224.66|0.69305|0.2119|-0.1544|3.2606|7.9|7.9
12l_a30|0.0|0|0|0|-4.712037416|0|2|2|0.60498366|0.0|0.157020295|-0.015371073|5.351858133|-0.274237737|2|0.044036281|0.0|-0.876151158|0.154540315|10.31162828|-0.02588969|1|-0.004395528|-0.077457998|-0.226973911|1|0.613786308|0.830875659|-0.045411075|0.883029843|0|-0.109810463|-63.31694493|103.5499036|-2.415830189|88.64610824|74.10578426|0.462727396|3306.001879|-1690.148855|2394.793539|-22.31041443|0.178184921|17.23248653|7576.362669|-1182.451965|38.8038646|0.016896687|2056.604824|1.0|0.0|0.0|1.0|0.17|17.0|4.43|4.78|2.82|2.0|0.0|133.96|0.0|1.0|-6.7|34.0|8.0|482.48|0.0|0.0|-5.92|1.2e-06|0.000579|5.05|0.0|6.61e-08|3.19e-05|-0.0545299999999999|5.52|3.5245|-1987.998976|1223.54|245.74|0.68488|0.1574|-0.14944|2.5031|7.2154|7.2154
4e_a49|0.0|0|0|0|0.0|1|1|1|1.343847746|2.085628989|-0.076526919|-0.006602016|5.4161004020000005|-0.074495823|2|0.036555556|1.713107022|-0.3631108529999999|-0.053787795|10.92777282|0.018857363|1|0.000660956|-0.037142108|-0.060391347|2|0.7541604690000001|0.803344301|0.0063958109999999|0.856023531|1|-0.087866673|-57.79309816|313.22432680000003|-1.493733437|68.38360061|68.30753733|0.471635821|2675.626006|-916.2062675|1647.641653|-11.01902676|0.349671525|15.01788083|5950.361470000001|-561.9703647000001|27.6242383|0.023622273|1408.836153|0.0|1.0|1.0|2.0|0.22|21.0|3.4|2.83|1.25|1.0|0.0|114.08|0.0|1.0|-3.28|30.0|5.0|399.45|0.0|1.0|-3.52|0.000305|122.0|1.71|0.0|4.35e-08|1.74e-05|-0.06461|3.34|3.7876|-1313.158118|1128.64|216.37|0.68043|0.0789|-0.1585099999999999|3.9718|7.4685|7.4685
