molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nARing|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|GATS1pe|nFaHRing|PNSA3|PNSA5|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|DPSA5|PNSA4|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
12ao_a36|0.0|1|0|0|3.477902101|0.0|0|2|0.0|-0.058597382|-0.007081548|-0.065314765|2|0.042739018|0.0895536619999999|0.0|-0.410729809|0.002782748|1|0.003724542|0.1523047569999999|-0.095253274|-0.1619981409999999|-0.435820128|0.90500247|0.82626942|0.040831815|0.8800240009999999|0.856135378|0|-51.52001456|-67.45579866|0.167417241|110.7707502|-0.03775988|-44.63177966|7.785557064|0.0|-2.039033535|78.51108393|-24.98362913|2794.663089|550.8740683|-1349.115973|2298.760179|0.217901822|8.769931502999999|16.33039817|5943.227395|144.1736112|31.9443643|-373.2975961|1724.9956719999998|1.0|0.0|0.0|2.0|17.0|3.62|2.42|2.38|1.0|0.0|0.0|1.0|6.0|-4.58|31.0|4.0|-6.34|0.0|1.0|0.0|2.6e-05|0.0106|2.82e-05|0.0115|3.45|0.0|3.94e-05|-0.05455|4.6597|3.4743|1190.17|356.86|266.08|548.59|0.7045|-1310.077853|0.0033|-0.14207|5.4691|-0.19662|0.03244719|-1310.138396|0.03|7.5229|7.5229
1a_a5|0.0|0|0|0|0.0|0.0|0|1|0.0|-0.271170445|-0.001785522|0.009305578|2|0.021346801|-0.075791863|0.0|-0.078562954|0.005921049|0|0.00549829|-0.123867037|0.069867374|0.114184614|-0.179831877|0.8309401009999999|0.7427901179999999|0.11504495|0.794139321|0.808272639|0|-36.19957997|-38.07869556|0.166361767|83.77332129999999|-0.027665419|-19.17495143|2.037971304|0.0|-1.134282187|46.38422909|-13.93123008|1940.139869|419.7878208000001|-571.1804334|902.6910106|0.274345323|6.199179484|11.38004491|4005.068642|138.1496441|19.19815378|-227.2618539|787.1243051|0.0|0.0|1.0|1.0|18.0|3.08|1.42|2.09|0.0|0.0|0.0|1.0|3.0|-2.6|23.0|4.0|-6.58|0.0|1.0|0.0|0.00253|755.0|0.000365|109.0|2.17|0.0|2.13e-05|-0.1040099999999999|4.6707|2.8332|882.1|437.61|265.45|386.8|0.54123|-951.178584|0.0126|-0.12226|4.4956|-0.2262699999999999|0.028664612|-951.226623|107.0|6.9706|6.9706
5_a27|0.0|0|0|0|0.0|0.0|2|0|3.2927747860000003|0.126882432|-0.0063562359999999|-0.068518519|2|0.048947368|-0.149034787|1.271687295|-0.286030638|0.00991794|1|0.010329671|-0.250776983|-0.2030237389999999|-0.341622797|-0.4982037479999999|0.639413469|0.760083119|0.180356685|0.8149212259999999|0.614205449|1|-29.50048722|-44.83538435|0.146821224|77.37301579999999|-0.030385206|-23.6277072|4.709432444|56.35994804|-1.276178645|53.51978325|-16.01263727|2273.906133|449.6149323|-672.5307653|1254.531539|0.258518528|6.160679036|10.98289851|4943.51602|136.2361487|21.59546513|-254.5156507|907.0095354|0.0|1.0|1.0|0.0|21.0|2.94|2.8|2.66|0.0|0.0|0.0|1.0|2.0|-3.61|25.0|4.0|-6.49|0.0|1.0|1.0|0.000248|0.0821|9.78e-05|0.0324|2.58|0.0|0.0002|-0.04554|4.0989|4.0989|955.22|302.48|302.48|463.87|0.64548|-1082.967639|0.2448|-0.16952|2.3781|-0.21506|0.01903872|-1083.019748|3.0|8.5229|8.5229
4_a38 (LY-2157299)|0.0|0|0|0|0.0|0.0|1|1|2.0959524330000003|0.050460026|-0.00638266|-0.080432741|2|0.041252955|-0.0501467259999999|1.721297609|-0.325515636|0.002865697|1|0.003107816|-0.083399128|0.028964355|0.0481706809999999|-0.463575124|0.702976795|0.8099394329999999|-0.041794304|0.868207983|0.6848692759999999|1|-52.90108631|-51.11565158|0.2456862269999999|140.40206619999998|-0.03235283|-29.21101111|4.060137052|71.22674185|-1.520583011|58.99645489|-18.48863993|2501.945802|431.0669496|-868.9660769|1686.693134|0.213882939|6.54753874|12.76426621|5566.495502000001|122.2274724|23.51893991|-327.0140711|1105.390176|0.0|1.0|1.0|1.0|21.0|3.69|3.51|1.84|1.0|0.0|0.0|1.0|3.0|-3.85|28.0|4.0|-6.86|0.0|0.0|1.0|0.0001409999999999|52.0|0.000102|0.0375|2.39|0.0|2.75e-05|-0.06|4.65|3.78|1048.31|327.69|266.68|449.44|0.68|-1198.442536|0.06|-0.16|5.9043|-0.22|0.03652312|-1198.49738|69.0|7.1586|7.1586
9g_a24|0.0|1|0|0|2.931798469|0.0|1|0|1.7647373919999998|-0.318471716|-0.00106361|0.001126633|2|0.0279797979999999|-0.162313932|0.0|-0.0425444|0.0144065739999999|2|0.013119312|-0.292600863|-0.0273623029999999|-0.049325609|-0.079421802|0.683676657|0.7931626959999999|0.13372961|0.859302479|0.657503038|0|-32.080056199999994|-32.49188065|0.132863247|65.73938109|-0.021297745|-16.07665151|4.593165278|0.0|-0.788016565|49.25777584|-10.53790724|2123.257348|429.0504306|-389.9025677|1196.910121|0.518073552|6.124370267000001|10.69818114|4355.725609|256.3375151|21.8662148|17.88521849|809.0499476|0.0|0.0|1.0|1.0|22.0|2.91|2.93|0.64|0.0|0.0|0.0|1.0|3.0|-2.49|23.0|4.0|-7.17|0.0|1.0|0.0|0.00323|977.0|0.0008179999999999|247.0|1.37|0.0|0.000113|-0.03585|5.2521|4.2802|879.99|289.67|236.07|400.47|0.64993|-984.447764|0.1023|-0.17806|2.9691|-0.21391|0.032630457|-984.497752|68.0|7.1675|7.1675
4b_a46|0.0|0|0|0|0.0|0.206072846|1|1|2.189591837|-0.155670183|-0.00113356|-0.022119857|2|0.047736111|-0.082722572|0.0|-0.058945144|0.012332859|1|0.011806162|-0.128843936|-0.079238184|-0.123416853|-0.16915334|0.6901151990000001|0.7306307590000001|-0.263387881|0.768651645|0.69830739|0|-28.58477842|-38.30877966|0.064754938|35.31914031|-0.0229342729999999|-20.89467173|2.251475261|56.7922535|-1.123779397|42.65239101|-12.50898928|2105.172229|510.1086157|-612.9404746|1750.333702|0.189531974|5.76401157|10.09436488|4681.895329999999|103.3759991|15.43427855|-338.6757579|756.2796491|1.0|0.0|1.0|0.0|17.0|4.69|4.77|2.58|1.0|0.0|0.0|1.0|2.0|-4.35|25.0|3.0|-5.67|0.0|1.0|1.0|4.49e-05|0.0149|2.35e-05|0.00782|3.74|0.0|2.12e-05|-0.02729|4.5515|4.5515|1020.9|272.4|272.4|508.79|0.68682|-1033.3243619999998|0.1784|-0.19082|3127.0|-0.21811|0.02176759|-1033.378455|548.0|6.2612|6.2612
17d_a50|0.0|0|1|1|0.0|0.0|2|2|4.380250483|-0.152030219|-0.002166617|0.03538699|1|0.031990741|0.006071856|2.234730384|-0.140830095|0.012079|2|0.01245647|0.009780681|-0.200725906|-0.323333765|-0.2294807539999999|0.754575205|0.748516466|-0.1921395789999999|0.789310938|0.7276268779999999|1|-30.63468215|-48.40178147|0.070113177|48.62532158|-0.025589979|-33.56790124|7.31681784|86.38197811|-1.535398758|57.5414543|-17.74731987|2824.70142|644.9008302|-1064.839192|2950.99157|0.24594297|6.996105516|12.62170017|6281.764548|170.5678813|23.53577933|-352.3903892|1412.14676|0.0|1.0|1.0|0.0|20.0|4.0|4.29|2.71|2.0|0.0|0.0|1.0|6.0|-4.5|32.0|4.0|-6.25|0.0|1.0|0.0|3.17e-05|0.0135|1.31e-05|0.00557|3.72|0.0|3.63e-05|-0.03251|4.0506|4.0506|1263.22|306.09|306.09|579.45|0.66103|-1335.649722|0.1819|-0.16716|5.6557|-0.19967|0.02625058|-1335.713194|74.0|7.1308|7.1308
4_a47|0.0|0|0|0|0.0|0.0|0|0|0.0|0.004633887|-0.008204735|-0.121159855|2|0.038479532|-0.158636969|1.42341819|-0.3692130839999999|-0.007295208|0|-0.006506051|-0.247195952|-0.017555555|-0.027355932|-0.462831711|0.893350891|0.783871003|-0.095209424|0.84420422|0.8124901999999999|1|-42.46254967|-50.35610033|0.1257991219999999|68.44214684|-0.03525955|-27.39669054|2.300808176|0.0|-1.48090111|57.78603076|-19.18327632|2306.463316|475.6168721|-805.6976052|1528.797085|0.193395607|6.468023748999999|10.818777699999998|5254.939281|105.2186243|23.78275706|-333.62177030000004|998.8757964|1.0|0.0|1.0|2.0|22.0|4.83|5.71|3.1|2.0|0.0|0.0|1.0|3.0|-5.92|26.0|3.0|-4.99|0.0|0.0|1.0|1.21e-06|0.0004379999999999|2.31e-06|0.0008359999999999|4.96|0.0|5.81e-07|-0.05606|5.7708|3.73|988.42|332.4|214.85|432.89|0.69157|-1509.262887|0.2221|-0.1547|4.2607|-0.21076|0.03342033|-1509.3147789999998|32.0|7.5|7.5
4r_a46|0.0|0|0|0|0.0|-0.03033057|1|1|2.051582577|-0.173617329|-0.002826188|-0.074041799|2|0.044728682|-0.15196733|0.0|-0.141309389|0.006236535|1|0.0061041|-0.237647432|-0.055572881|-0.086905208|-0.246070691|0.7794598220000001|0.810646641|-0.077483502|0.8549242340000001|0.76719475|0|-42.06465252|-43.14814202|0.152180218|80.72661483|-0.0259595379999999|-22.88867429|3.220912917|0.0|-1.220098292|51.22472631|-13.77068362|2137.47734|449.7405899|-647.2221302999999|1451.6122289999998|0.285368722|5.81085807|10.69131411|4775.760774|151.3787482|19.26963463|-227.7097083|905.6728276|0.0|0.0|1.0|1.0|17.0|3.56|3.43|1.52|0.0|0.0|0.0|1.0|3.0|-3.09|25.0|4.0|-6.83|0.0|1.0|0.0|0.00081|271.0|0.000279|0.0933|2.12|0.0|0.000188|-0.03073|4.5209|4.5209|986.04|274.25|274.25|467.85|0.69085|-1069.231407|0.1404|-0.18999|2.6630000000000003|-0.2207199999999999|0.02826942|-1069.284137|1413.0|5.8499|5.8499
3a_a49|0.0|0|0|0|0.0|0.0|1|1|2.09865947|-0.05210989|-0.006374689|-0.072328354|2|0.0355787039999999|-0.044367345|1.819785|-0.337858497|-0.000349523|1|0.000521532|-0.074886415|0.002357097|0.003978478|-0.421478185|0.775818577|0.8145214209999999|0.012813604|0.8704151529999999|0.7476073409999999|1|-55.30832478|-51.82200998|0.27109473|158.77029040000002|-0.030698626|-30.35026007|5.558553447|59.40691577|-1.504232653|64.2037853|-17.97906469|2599.121578|426.893216|-880.9741697000001|1793.526571|0.310225187|6.566343333|12.49907878|5792.106924000001|181.6875706|26.06512204|-222.2883651|1277.19098|0.0|0.0|1.0|2.0|21.0|2.77|2.81|1.04|1.0|0.0|0.0|1.0|5.0|-3.06|29.0|5.0|-7.67|0.0|0.0|1.0|0.000878|0.3379999999999999|0.000503|193.0|1.38|0.0|2.51e-05|-0.05732|5.1647|3874.0|1082.21|320.04|240.06|449.68|0.66614|-1253.756918|0.0793|-0.15978|3801.0|-0.2171|0.03833529|-1253.8126619999998|64.0|7.1938|7.1938
