molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|nFaHRing|RASA|PBF|PNSA3|PPSA3|RPSA|WPSA3|FNSA2|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|CYP2C19 inhibitor|P-gp substrate|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
17c_a50|0.0|0|1|1|0.0|0.0|2|7.934155233999999|2|1.347835869|4.349159921|-0.002676029|5.82008293|0.024219848|2|0.031870748|2.193763306|-0.1766179239999999|0.01130519|-0.144763835|-0.120904775|0.012222674|0.034485992|-0.233451925|-0.2256811219999999|1|0.762883243|0.774994313|-0.212611846|0.816442883|1|0.89719894|0.446454378|-35.70979598|14.91199042|0.10280106|10.25908547|-1.32648017|-14.96042594|50.6217864|0.49503436|617.2509739|2014.72331|-10.29240792|8.310163601000001|16.45688922|0.98033276|296.00120400000003|-627.8368834|0.0232952879999999|-95.97318605|0.0|1.0|3.61|0.35|-6.79|3.59|3.53|1.0|0.0|134.28|1.0|-3.8|5.0|-6.96|440.54|0.0|1.0|0.0|0.0698|3.75e-05|0.0165|2.86|0.0|0.0|1.6100000000000005e-07|-0.03121|4.2397|2.74|-1411.157813|746.5|1289.05|0.1814|292.44|596.23|0.66213|-1410.838844|-0.16697|6.3989|-0.19818|0.02957871|8.5146|7.1612|7.1612
41_a47|0.0|0|1|1|0.0|0.0|1|6.842683282|0|1.420292383|1.840145925|-0.004083905|4.727387819|-0.072088843|3|0.042537538|1.601942802|-0.187859623|0.003530307|0.024881402|0.075316535|0.0047106|-0.178132441|-0.1430639269999999|-0.276217719|3|0.62974551|0.8417952740000001|0.123676975|0.900915114|1|0.823168463|0.245948366|-34.50740631|10.36256127|0.1768315369999999|5.852270304|-1.259711209|-16.54473457|44.86996758|0.447046066|464.8854878|1073.170368|-9.34366093|7.168742909|12.96444871|0.8084689140000001|195.8852341|-401.77742|0.023067788|-172.98086630000003|1.0|1.0|3.18|0.16|-7.47|3.34|4.52|0.0|0.0|99.09|1.0|-3.57|5.0|-6.66|348.38|0.0|1.0|1.0|0.0929|0.000125|0.0436|2.49|0.0|0.0|3.36e-08|-0.05053|4.0167|2.41|-1162.462261|603.1|995.43|0.2849|308.67|471.9|0.68638|-1162.288187|-0.15208|4.9162|-0.2026099999999999|0.02982752|6.8546|8.0|8.0
12aa_a30|0.0|0|0|0|0.0|0.0|0|7.412764017000001|2|0.604983643|0.0|-0.008848121|5.351858133|-0.028524865|2|0.043854875|0.0|-0.539735362|0.003529389|0.059360681|-0.007369513|0.005111479|-0.023695642|-0.12254489|-0.394520145|1|0.8397577820000001|0.809127478|-0.012535889|0.855880335|0|0.8126513129999999|0.418522684|-54.50378741|21.58471858|0.1873486869999999|15.0745057|-1.925999268|-23.59814969|76.08850600000001|0.4659424379999999|567.5458219999999|2455.130164|-16.48066156|8.65813938|16.21199661|0.872457337|257.8730361|-939.3977091|0.029670025|-182.6418006|1.0|1.0|0.0|0.21|-6.83|3.94|2.63|2.0|0.0|140.26|1.0|-5.61|6.0|-6.39|458.54|0.0|0.0|0.0|0.00113|9.94e-06|0.00456|3.81|0.0|0.0|1.47e-07|-0.04966|5.1925|3.34|-1804.784381|748.78|1275.73|0.1667|238.78|605.07|0.68642|-1804.516348|-0.1472099999999999|5.8962|-0.19687|0.03443621|6.4878|8.1135|8.1135
8_a15|0.0|0|0|0|0.0|0.0|0|0.0|0|1.419941362|0.0|-0.009853404|0.0|-0.044406425|1|0.039181287|0.0|-0.5025236129999999|1.7800000000000002e-05|-0.010146469|-0.014489333|0.003160815|0.225620047|-0.203104439|-0.342749125|1|0.85357243|0.7059441040000001|-0.025923166|0.742680335|0|0.853896482|0.381651497|-41.7821007|19.65860939|0.146103518|11.47934212|-1.419522941|-16.91650111|61.44071008|0.389723411|498.6196971|1919.535904|-9.878130237|6.093505548|9.984825987|0.638601279|280.62296039999995|-484.0283816000001|0.035495625|-22.68867482|1.0|0.0|3.76|0.19|-7.57|3.9|4.95|2.0|0.0|104.74|1.0|-5.25|5.0|-5.52|366.41|0.0|1.0|1.0|0.00206|1.53e-05|0.00562|4.24|0.0|0.0|2.69e-08|-0.02723|4.4346|3.36|-1223.687714|598.84|1050.15|251.0|279.58|538.51|0.70524|-1223.463981|-0.1558|1.1415|-0.18303|0.01719864|1.4589|6.9666|6.9666
12q_a30|0.0|0|0|0|0.0|-4.76444841|0|7.412764017000001|2|0.60498366|0.0|-0.015322396|5.351858133|-0.27228842|2|0.0438779959999999|0.0|-0.873376576|-0.00695299|0.004165554|-0.021542639|-0.004395528|-0.0483777279999999|-0.077457998|-0.636798458|1|0.613786308|0.816138015|-0.032887649|0.867367115|0|0.845745827|0.596557166|-59.52322773|10.07866809|0.154254173|6.868090132000001|-2.427381881|-31.21009417|69.60189582|0.473741611|576.3319634|2844.418547|-21.2680622|7.346842839|13.96052394|0.900207238|122.2240555|-1127.2072970000002|0.016579022|-437.0000797|1.0|1.0|0.0|0.17|-7.18|4.43|4.78|2.0|0.0|133.96|1.0|-6.7|8.0|-5.66|482.48|0.0|0.0|0.0|9.63e-05|1.2e-06|0.000579|5.05|0.0|0.0|6.61e-08|-0.05105|5.0573|5.52|-1987.999444|713.16|1214.92|0.1817|245.16|537.96|0.68516|-1987.781386|-0.14792|5.5755|-0.19897|0.03408298|6.821000000000001|7.4449|7.4449
6_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0|0.605016564|0.0|-0.008934536|4.727387819|-0.106234254|2|0.038650794|2.000787282|-0.330577816|-0.007540435|0.05584062|0.032782484|-0.006696449|-0.0445675709999999|0.020589494|-0.594308852|2|0.881253042|0.790667152|0.055002252|0.8632654590000001|1|0.783322023|0.556539611|-52.01903278|5.449560482000001|0.216677977|2.7192240510000003|-1.282699916|-18.8247694|57.46859326|0.387883362|390.8623623|1899.385061|-9.393191593|5.498222293|8.982311462|0.633675574|98.39146166|-319.3685142|0.0150025189999999|-302.19751|1.0|1.0|2.65|0.0|-7.48|4.96|4.66|1.0|0.0|95.5|1.0|-5.44|3.0|-5.68|338.81|0.0|0.0|1.0|0.00124|1.34e-05|0.00455|3.79|0.0|0.0|3.28e-08|-0.06529|5.8279|3.09|-1731.7043199999998|524.88|884.88|0.1997|212.74|366.93|0.69323|-1731.602363|-0.1465|2.8131|-0.21179|0.03079258|3.7185|5.7501|5.7501
IN1233_a59|0.0|1|0|0|3.463603867|0.0|0|6.842683282|0|1.400923654|0.0|-0.008841844|4.727387819|-0.12050413|2|0.0396875|1.983673343|-0.5039851160000001|-0.005614194|-0.011236836|-0.054458882|-0.004071701|0.268927191|0.001996439|-0.597167441|2|0.809917509|0.74801464|-0.090732503|0.80310139|1|0.7613246490000001|0.356444983|-61.73167061|7.208329477|0.238675351|4.79704394|-1.904276352|-23.91074854|68.94000009|0.483639625|506.6510632|1822.396842|-15.91227368|8.011984402000001|15.51626497|0.936631949|125.91272279999998|-843.3505049|0.0134658889999999|-413.6607749|1.0|1.0|2.76|0.08|-10.0|5.54|4.69|2.0|0.0|125.07|0.0|-5.59|4.0|-6.13|419.48|0.0|0.0|1.0|0.00107|6.91e-06|0.0029|3.85|0.0|0.0|9.93e-11|-0.05605|5.2194|5.35|-1352.326849|703.47|1204.16|0.2623|237.54|531.14|0.6953699999999999|-1352.073755|-0.14684|5.4004|-0.20289|0.02473496|7.6059|7.4685|7.4685
12a_a40|0.0|0|0|0|0.0|0.0|1|7.515889085|0|0.604990853|1.784989449|-0.00431394|5.4161004020000005|-0.012791297|0|0.036587302|0.8332127109999999|-0.14667395|0.01039129|0.100414476|-0.226763788|0.007890601|0.298197213|0.018655637|-0.4764003679999999|0|0.58630452|0.718281767|-0.375724138|0.7867243829999999|1|0.940879765|0.000279043|-32.81611621|6.001293955|0.059120235|3.060902482|-1.047769006|-17.23885621|38.81741016|0.476055146|479.8867095|600.1247016|-8.792513441|7.563170499|14.43505064|0.908597808|75.8074911|-272.5679167|0.010759845|-358.4254366|1.0|0.0|3.39|0.0|-7.21|5.33|5.43|1.0|0.0|91.76|1.0|-6.41|2.0|-4.56|346.23|0.0|1.0|1.0|0.000134|1.13e-06|0.00039|5.43|0.0|1.0|6.15e-08|-0.08015|3.0966|5.01|-2097.8163050000003|530.55|875.15|0.3701|400.39|429.21|0.6998800000000001|-2097.7296100000003|-0.12895|2491.0|-0.2091|0.0104658999999999|3.8054|5.7501|5.7501
13_a1|0.0|1|0|0|3.409865599|0.0|0|7.423568444|1|1.430073963|0.0|-0.012199718|5.351858133|-0.144782061|1|0.036382114|0.0|-0.597786194|-0.008672236|-0.0594321759999999|-0.084271845|-0.005924486|0.1769162319999999|-0.07665159|-0.485427571|1|0.87703849|0.76714213|-0.150485437|0.825117597|0|0.6794604670000001|0.207843387|-64.94184903|19.62059449|0.320539533|11.41059871|-1.813613202|-23.43842502|84.56244352|0.477212829|395.1486144|1786.445642|-13.63090514|7.493979856|14.33466671|0.912824292|169.6632599|-613.3907313999999|0.026679865|-242.2358135|1.0|1.0|2.83|0.09|-7.94|4.75|3.87|1.0|0.0|104.88|1.0|-4.29|5.0|-6.48|371.39|0.0|0.0|1.0|0.0192|4.58e-05|17.0|2.94|0.0|0.0|1.14e-08|-0.04962|4.0783|3.17|-1238.367298|613.52|1035.04|0.5339|304.01|472.52|0.69782|-1238.174491|-0.13921|2.7595|-0.18883|0.0284695999999999|3.9446|6585.0|6585.0
17b_a6|0.0|1|0|0|3.375166525|0.0|0|7.412764017000001|1|1.425925343|0.0|-0.01272079|5.351858133|-0.0265090529999999|1|0.042739018|0.0|-0.6869226490000001|-0.00460563|-0.0385646|-0.0791229359999999|-0.00194781|0.231025646|-0.10896749|-0.563310199|1|0.850080948|0.7788169070000001|-0.138423611|0.8370824240000001|0|0.753949098|0.318652397|-62.63196368|20.48861696|0.246050902|13.44399246|-2.074717455|-27.2272998|83.12058064|0.4548818979999999|494.7179214|2207.972178|-17.86570631|8.974770742|16.46390151|0.834464855|150.48105900000002|-893.2853154999999|0.019915748|-355.2067434|1.0|1.0|2.89|0.12|-9.01|4.98|4.32|2.0|0.0|116.79|1.0|-5.81|5.0|-5.89|409.44|0.0|0.0|1.0|0.000637|6.69e-06|0.00274|4.09|0.0|0.0|9.77e-10|-0.05736|3.5444|4.04|-1350.078181|690.98|1168.62|0.3949|349.8|575.2|0.7016100000000001|-1349.830814|-0.12545|5.3385|-0.18281|0.02458322|7.3188|6.8153|6.8153
