molecula|SddssS|n9FaRing|SRW09|nAHRing|nARing|BCUTs-1|SRW07|n6HRing|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aHRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA3|PNSA5|PPSA3|TPSA_x|FNSA4|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|pIC50|pIC50
8d_a12|0.0|1|6.580639137|1|1|1.283835213|4.59511985|2|0.0276482139999999|2.075171777|0.000925796|10.94458983|1|0.00930483|0.016135176|-0.484923957|1|0.8857286320000001|0.751098108|-0.091036025|-0.080872311|0.8405406040000001|1|0.858710112|-0.103548595|0.266886187|-43.27410838|-57.57034769|6.309558958999999|78.55353315|-0.039118358|0.0|0.8338637040000001|-24.05928792|64.53435462|49.58366734|0.465113852|2466.513191|477.4206699|-12.09177064|0.166136296|6.93584319|12.96695233|0.8695567329999999|92.36749461|26.08195789|-371.2392138|1173.6881050000002|503.2240425|6.964006932|1.0|1.0|2.0|4.06|-8.37|2.67|65.96|2.83|2.0|0.0|112.14|1.0|3.0|-4.58|27.0|4.0|1.0|3.02|-4.61|2.64e-05|2.43e-05|3.51|0.0|3.7397|-1138.296407|-1138.256361|600.2|1007.85|433.32|0.6661|0.0853|-0.15306|2.1281|0.04004678|7.6021|7.6021
9b_a31|0.0|0|7.765993078999999|1|1|0.610136326|5.733341277|0|-0.045938305|0.0|-0.0050444109999999|10.31169871|2|-0.143280211|-0.2345186269999999|-0.554573699|0|0.811212624|0.852813666|0.01752821|-0.154083843|0.77051712|0|0.669120552|-0.131125311|0.241728566|-63.73317225|-80.40427495|21.21368453|202.8908225|-0.039058603|552.0968813|0.689175183|-39.08032306|95.78862992|84.94685678|0.469546953|2534.356888|410.2957125|-14.68594601|0.310824817|8.097516252|15.2652837|0.88518099|190.5935925|34.75199071|-231.99935|1633.343563|524.0230338|15.38435497|1.0|1.0|2.0|3.58|-6.84|3.5|117.37|0.86|1.0|0.0|103.36|1.0|7.0|-4.76|27.0|5.0|0.0|3.0|-3.86|1.76e-05|0.000137|2.64|0.0|3.8435|-1578.839267|-1578.801576|663.06|1091.21|562.68|0.41622|0.2627|-0.15907|5.2851|0.03769117|7.2007|7.2007
19b_a38|0.0|0|7.412764017000001|2|2|1.297044256|5.351858133|2|0.013765516|0.0|-0.006877664|10.96052467|1|-0.098027247|-0.250781298|-0.443325632|1|0.653741315|0.8295290000000001|0.019437461|-0.114123934|0.632625562|0|0.7293105670000001|-0.11557289|0.336505882|-53.38447032|-71.73053105|13.92699891|168.00390359999997|-0.041606241|0.0|0.7596369590000001|-33.13317155|84.49751102|67.31146923|0.478948837|2897.652112|452.6479704|-16.02708787|0.240363041|7.159317935|13.74014387|0.91919733|149.181772|33.99385836|-322.28833010000005|1699.692918|593.6088758|12.76697997|1.0|0.0|3.0|4.82|-7.12|3.11|81.23|2.78|1.0|0.0|125.65|1.0|5.0|-4.25|31.0|5.0|0.0|2.94|-4.33|5.68e-05|4.67e-05|2.88|0.0|3.7509|-1431.414099|-1431.38073|646.81|1111.29|485.64|0.38952|0.1945|-0.15414|5.5253|0.03336932|7.9172|7.9172
8c_a32|0.0|1|7.765993078999999|0|0|0.609420757|5.733341277|0|-0.026467635|2.143746338|-0.003484915|10.31100269|3|-0.0852122769999999|-0.1534110109999999|-0.578242111|0|0.788133615|0.845443342|-0.024032462|-0.11492754|0.7507116140000001|1|0.801747512|-0.097480366|0.263222951|-46.47597924|-58.93213925|9.818219446|119.85432240000002|-0.027548799|78.19443734|0.600684883|-28.09723623|74.36515033|56.29419869|0.447542891|2571.62241|484.6996147|-10.06868562|0.399315117|7.079719717000001|12.81496717|0.8100952690000001|241.4075262|27.72624296|-121.7388847|1275.407176|557.1050635|15.43301109|1.0|1.0|2.0|3.46|-7.65|4.19|140.04|1.1|1.0|0.0|110.47|1.0|7.0|-5.82|27.0|4.0|0.0|3.56|-4.39|1.5e-06|4.11e-05|3.21|0.0|3.5673|-1880.764533|-1880.733377|646.97|1090.0|516.78|0.70135|0.3272|-0.14712|8.4922|0.03115673|7.4318|7.4318
17d_a50|0.0|1|8.105609402|2|2|1.338814635|6.042632834|1|0.006071856|2.234730384|0.012079|10.94500663|2|-0.200725906|-0.323333765|-0.2294807539999999|1|0.754575205|0.748516466|-0.1921395789999999|-0.2177003589999999|0.7276268779999999|1|0.929886823|-0.069790853|0.8020670809999999|-30.63468215|-48.40178147|10.55016861|48.62532158|-0.025589979|86.38197811|0.75405703|-21.24595322|57.5414543|41.18485076|0.445708152|2824.70142|644.9008302|-12.30823045|0.24594297|6.996105516|12.62170017|0.8041037459999999|170.5678813|23.53577933|-352.3903892|1412.14676|829.3813984|9.139672835|0.0|1.0|0.0|4.07|-7.07|4.29|51.77|2.71|2.0|0.0|133.19|1.0|6.0|-4.5|32.0|4.0|1.0|3.68|-4.88|3.17e-05|1.31e-05|3.72|0.0|4.0506|-1335.989008|-1335.962757|727.15|1263.22|579.45|0.66103|0.1819|-0.16716|5.6557|0.02625058|7.1308|7.1308
14a_a23|0.0|1|7.423568444|0|0|1.197964042|5.351858133|2|0.0446402609999999|0.757767133|0.012219066|10.31321831|2|-0.073893976|-0.137733142|-0.446724057|2|0.72792508|0.7556436440000001|0.114693804|-0.123790952|0.6888154959999999|1|0.918677038|-0.08032517|0.225448915|-35.20994211|-50.79675604|12.33442989|51.42774883|-0.0341809229999999|80.54176247|0.7807587890000001|-22.26638099|61.36268093|47.54437201|0.462434482|2816.527785|580.9612768999999|-13.66949407|0.219241211|7.668841725|14.2658736|0.8602383659999999|138.6457355|27.68542751|-355.0975547|1301.215093|601.8533922|10.56592489|1.0|0.0|1.0|3.41|-7.41|4.02|105.02|3.03|2.0|1.0|120.28|1.0|5.0|-5.47|30.0|4.0|0.0|3.37|-4.96|3.38e-06|1.1e-05|3.58|0.0|3.7119|-1629.928331|-1629.90669|665.5|1134.02|516.58|0.6289100000000001|0.3764|-0.15002|5.8775|0.0216412|8.5498|8.5498
6e_a31|0.0|0|7.773594467000001|1|1|0.61015618|5.733341277|0|0.132664341|0.0|-0.011483229|10.31165994|2|-0.002840672|-0.004825446|-0.579941248|0|0.838789705|0.78240875|-0.071378445|-0.072882794|0.795570315|0|0.623340994|-0.130898441|0.177030306|-74.99224589|-79.81721349|19.89514173|229.6732654|-0.046541668|99.0823033|0.7604979040000001|-45.72760428|93.68572477|94.88738762|0.4782688439999999|2776.836977|380.0911673|-17.30478148|0.239502096|7.513687859|14.40145519|0.916695963|146.03985980000002|37.31693873|-317.6847132|1679.262243|536.6368656000001|13.86851128|1.0|1.0|2.0|3.55|-7.33|4.0|131.36|1.36|1.0|0.0|109.69|1.0|4.0|-5.63|29.0|5.0|0.0|3.27|-4.66|2.34e-06|2.18e-05|3.2|0.0|3.3083|-1652.669408|-1652.63264|634.34|1077.48|490.75|0.70391|0.5103|-0.13418|5.8193|0.03676794|6.4318|6.4318
1n_a5|0.0|0|6.605297921|0|0|1.427557749|4.59511985|2|0.002508727|0.0|0.004367323|10.94528897|1|-0.00966135|-0.015850084|-0.393928416|2|0.6805709409999999|0.77828693|-0.013686011|-0.087019366|0.656280207|0|0.785210014|-0.081950989|0.428980979|-47.1725036|-47.04056285|13.27640087|123.2912732|-0.030493391|55.29041202|0.627751746|-27.07741706|63.57058627|60.44890447|0.483868192|2437.279452|450.71720610000006|-10.04713747|0.372248254|7.881746117|15.27080096|0.937489579|213.67365440000003|27.88278228|-146.6611704|1198.959638|467.1194103|16.53002342|1.0|1.0|1.0|2.88|-8.07|3.99|80.76|1.72|1.0|0.0|101.77|1.0|5.0|-4.27|27.0|5.0|0.0|3.14|-4.18|5.41e-05|6.56e-05|2.91|0.0|4.3838|-1179.209088|-1179.169527|607.15|1017.23|481.06|0.44786|0.3789|-0.17092|0.6234|0.03956123|7.5686|7.5686
4_a3|0.0|0|6.823286122000001|0|0|0.60501714|4.727387819|1|-0.08769805|1.882124381|-0.008407895|10.31162267|1|0.053425134|0.127253753|-0.607238634|1|0.640351067|0.721302096|-0.028924747|0.041477445|0.628171026|1|0.74053397|-0.098695428|0.5842630360000001|-52.4583525|-46.9200748|3.806447632|123.350856|-0.039478171|77.51574252|0.866976271|-24.93884341|51.71950126|56.26480013|0.415852758|2142.972568|352.05186289999995|-8.922372453|0.133023729|5.05182773|8.648209506|0.711897153|63.23984222|21.6476858|-348.9230345|757.6690029|347.9532383|4.799426464|1.0|1.0|1.0|2.94|-7.53|5.17|80.04|3.07|1.0|0.0|92.65|1.0|2.0|-5.69|23.0|3.0|0.0|4.09|-5.09|2.02e-06|8.22e-06|4.3|0.0|3.4771|-1355.332318|-1355.303098|504.29|858.45|338.33|0.3809|119.0|-0.14983|2.3542|0.02921941|5.9|5.9
12b_a50|0.0|1|7.927685046000001|1|1|1.397986833|5.82008293|1|-0.08032584|2.112397566|0.01164808|10.94501743|2|-0.168032508|-0.291865836|-0.246831987|1|0.699597776|0.804535572|0.009081884|-0.189976035|0.660148928|1|0.925916085|-0.066155918|0.24516882|-22.92589265|-33.25880166|10.80329197|37.24447201|-0.0237482779999999|86.49656508|0.5731907470000001|-11.52561607|47.12729492|33.72918462|0.430791247|2224.116359|465.4891075000001|-6.002164865|0.4268092529999999|5.7232816060000005|10.05480253|0.756824707|214.5713436|20.82911679|-73.59089223|812.3355548|388.171611|13.86849326|1.0|1.0|0.0|3.31|-5.49|3.42|48.53|2.02|0.0|0.0|94.69|2.0|2.0|-3.16|24.0|3.0|1.0|2.59|-3.84|0.000685|0.000144|2.5|0.0|3.9305|-1006.664619|-1006.641541|539.15|909.8|401.64|0.6016199999999999|0.0777|-0.16451|4.0567|0.02307802|5.3242|5.3242
