molecula|SddssS|n9FaRing|SaaNH|NaasN|nARing|BCUTs-1|SaasN|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|PBF|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|GeomShapeIndex|WNSA2|DPSA4|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
14j_a23|0.0|1|0.0|2|0|1.197963927|3.278390512|0.037350515|0.722606603|0.007671236|-0.026319216|10.31321824|-0.055708465|2|0.0075222369999999|0.087218599|-0.17267308|-0.463194548|2|0.616699629|0.800643488|0.143567854|-0.091426449|0.864845456|0.5935522360000001|1|0.226990358|0.020485263|-53.34139172|13.28905737|40.38957571|100.2571987|-0.034989992|-34.60325668|8.620784882999999|-1.644529644|-26.17681598|64.88069411|0.497137467|2943.385528|-1066.827834|2175.598042|0.988615047|-692.0651337|29.32742551|1378.388999|599.5697147999999|11.53930239|0.0|0.0|1.0|1.0|3.39|0.05|26.0|-7.67|4.58|105.02|3.4|1.0|120.24|0.0|-5.58|5.0|-6.31|429.47|0.0|0.0|3.77|2.66e-06|0.00114|7.73e-06|0.0|2.14e-08|9.18e-06|-0.07581|3.6671|3.72|3.6671|-1729.15999|-1729.1379190000002|1142.37|338.1|0.3886|528.18|0.65128|0.65128|-0.14816|-0.2239699999999999|0.02207124|8.3233|8.3883|8.3883
6c_a31|0.0|0|3.423005244|0|1|0.6101347220000001|0.0|0.137523742|0.0|-0.009477764|-0.00219333|10.31169965|-0.107687565|2|-0.00668344|0.2301743489999999|-0.009333123|-0.582545668|0|0.831901219|0.790900932|-0.078059285|-0.172780048|0.846458013|0.7905201209999999|0|0.138124296|0.03173578|-79.97295595|20.09112958|163.6316745|227.1490414|-0.044739967|-50.62888027|12.71919216|-2.147518413|-48.45681657|93.4208388|0.4463376229999999|2837.949799|-1359.540251|2357.829685|0.8061548709999999|-860.6909647|37.00884624|1776.424619|597.3075924999999|13.44788285|1.0|1.0|1.0|1.0|3.67|0.14|22.0|-7.72|4.26|131.36|1.58|0.0|114.5|0.0|-6.09|5.0|-6.27|418.47|0.0|1.0|3.64|8.179999999999999e-07|0.000343|1.15e-05|0.0|1.89e-08|7.9e-06|-0.0581799999999999|3.2974|5.08|3.2974|-1691.984862|-1691.948653|1125.85|376.01|0.5028|524.56|0.7014699999999999|0.7014699999999999|-0.13351|-0.19169|0.03620884|8.8847|6.4685|6.4685
12aa_a36|0.0|0|3.4172704080000003|0|2|1.297043479|0.0|0.03597264|0.0|-0.006653538|0.010538281|10.95446449|-0.013898809|1|-0.004569485|0.0620143779999999|-0.090926893|-0.53315493|1|0.892815402|0.833911317|0.156337925|-0.023185884|0.888163057|0.849217847|0|0.4679233379999999|0.023617545|-80.19356964|16.1504726|132.3194611|212.7097172|-0.04126187|-54.83906299|11.04423694|-2.228140982|-49.88002793|96.18613736|0.44829258|2928.7759760000004|-1523.677823|2418.848273|0.812554922|-1041.942197|38.58180913|2083.417693|689.2886595|15.99256772|0.0|0.0|1.0|0.0|4.83|0.13|17.0|-6.14|0.98|112.29|1.28|0.0|131.85|0.0|-3.52|5.0|-7.79|424.46|0.0|0.0|1.15|0.000304|129.0|0.000359|0.0|7.19e-07|0.000305|-0.05111|3.8899|3.88|3.8899|-1401.662677|-1401.617177|1183.76|318.73|0.4446|520.19|0.6931|0.6931|-0.15718|-0.20829|0.04550032|4.7433|8.0458|8.0458
1e_a5|0.0|0|2.953259375|0|0|1.427503886|0.0|-0.080321049|0.0|0.008031558|-0.1197834419999999|10.94440038|-0.040441176|1|0.007357977|-0.133677441|0.0578378779999999|-0.201027861|2|0.71274658|0.771487328|0.045376705|-0.075239398|0.834250802|0.6977404359999999|0|0.373935381|0.008587563|-36.22202792|4.461204261000001|159.537038|62.03846573|-0.0278901329999999|-18.81719677|2.317577542|-1.115605324|-18.33860051|44.38364879|0.482579989|2107.092939|-579.5524467|827.4861275000001|0.932665879|-301.0751483|19.38578369|775.4313476|409.0289917|8.161620868|1.0|1.0|1.0|1.0|2.83|0.05|23.0|-8.41|4.51|54.46|2.13|0.0|95.45|0.0|-4.25|3.0|-5.77|312.37|0.0|1.0|3.44|5.5700000000000005e-05|0.0174|3.5600000000000005e-05|0.0|3.87e-09|1.21e-06|-0.04186|4746.0|3.17|4.4292|-990.6320386|-990.6006645|935.47|279.92|0.5156|427.87|0.56258|0.51802|-0.18105|-0.22291|0.0313740589999999|3.0386|6719.0|6719.0
12f_a31|0.0|0|3.4780522210000004|0|1|0.6101347579999999|0.0|0.043286807|0.0|-0.00150321|-0.0944165219999999|10.31169747|-0.0164221939999999|2|0.000889251|0.068054139|-0.205011573|-0.551471017|0|0.805862937|0.8167107029999999|-0.021938988|-0.029803241|0.8530975000000001|0.7730604259999999|0|0.262896936|0.027617942|-82.48950216|19.26761061|159.84734269999998|208.6022728|-0.0337826789999999|-57.54866283|13.44201623|-1.891830012|-47.54067074|97.53070764|0.482666192|2710.311963|-1319.832035|1805.921786|0.932987917|-920.7786053|34.31214739|1921.480254|713.5657448|15.04120547|1.0|1.0|1.0|1.0|3.86|0.41|16.0|-8.02|4.48|117.37|1.53|0.0|117.78|0.0|-5.98|5.0|-6.19|426.53|0.0|1.0|4.01|1.05e-06|0.0004469999999999|2.37e-05|0.0|9.53e-09|4.06e-06|-0.03317|3.8305|5.39|3.8305|-1696.785527|-1696.741889|1258.6|323.68|0.2664|665.22|0.7006600000000001|0.7006600000000001|-0.15894|-0.19211|0.04363832|3.3538|6.8861|6.8861
19j_a38|0.0|0|3.235947106|0|2|1.29704352|0.0|0.105682345|0.0|-0.004442319|0.003554228|10.95429182|-0.036248822|1|-0.002443797|0.23209815|-0.20848518|-0.42133715|1|0.7163622890000001|0.846765471|-0.001131945|-0.060360554|0.908721232|0.6885713729999999|0|0.625966089|0.0250587|-73.92901683|17.15233756|131.29876370000002|131.9851314|-0.038119963|-50.60340201|11.74054073|-1.944118135|-39.565701700000005|90.05233553|0.408533267|2969.234865|-1330.722303|3109.238056|0.6907121629999999|-910.8612362|36.5253298|1862.79182|640.025745|16.123318700000002|1.0|0.0|1.0|1.0|4.81|0.13|17.0|-6.92|2.42|105.02|1.76|0.0|130.41|0.0|-4.35|5.0|-7.13|426.45|0.0|0.0|2.44|4.46e-05|19.0|7.55e-05|0.0|1.2099999999999998e-07|5.14e-05|-0.06447|6.0361|3.23|3.6886|-1424.426858|-1424.390074|1163.3|336.13|354.0|533.97|0.30419|0.69435|-0.15182|-0.21629|0.03678378|14.4895|8.1146|8.1146
14_a1|0.0|0|3.3674017380000003|0|1|1.430935835|0.0|0.1008839219999999|0.0|-0.011639964|-0.029658865|10.94959842|-0.0492229479999999|1|-0.008385698|0.164429684|-0.033765606|-0.567791164|1|0.838928085|0.7462411859999999|-0.08530265|-0.083341531|0.805877431|0.795744863|0|0.206941175|0.033047776|-72.59355177|19.5711254|161.1772893|240.9270705|-0.046308519|-42.99041175|11.59015807|-2.083883365|-44.39360096|87.02320758|0.47517581|2678.985809|-1234.09038|1876.042189|0.905399978|-730.8369997000001|36.40268318|1638.120743|513.4628663999999|14.42965582|1.0|1.0|1.0|1.0|3.25|0.05|23.0|-7.69|3.63|103.12|1.54|0.0|106.85|0.0|-4.52|5.0|-6.73|384.39|0.0|1.0|2.85|3.03e-05|0.0116|5.660000000000001e-05|0.0|2.03e-08|7.81e-06|-0.05962|3.8344|4.57|3.3061|-1292.588129|-1292.55322|1049.56|375.01|0.4442|464.08|0.6572600000000001|0.69894|-0.1336|-0.19322|0.03490867|5.3099|7.0269|7.0269
12d_a30|0.0|0|0.0|0|2|0.604984421|0.0|-0.092984185|0.0|0.005613018|0.036688757|10.31162861|-0.075816941|1|0.005965451|-0.162129948|-0.09353607|-0.4562256979999999|1|0.8414737059999999|0.8017873000000001|-0.0430927579999999|-0.130412856|0.8532172109999999|0.7991060659999999|0|0.366319099|0.015567102|-60.88281322|10.05700314|85.1932288|101.4221952|-0.036246039|-39.33285959|6.497247279|-1.884794029|-30.81433963|69.55534551|0.4572733479999999|2784.836855|-1217.656264|2323.480646|0.84254817|-786.6571918999999|28.75340957|1495.177298|686.039456|8.672532296|1.0|0.0|1.0|0.0|4.75|0.17|17.0|-7.01|2.93|81.65|3.04|0.0|132.24|0.0|-5.66|4.0|-5.81|412.51|0.0|1.0|2.91|2.21e-06|0.0009119999999999|7.05e-06|0.0|9.75e-08|4.02e-05|-0.05119|3.4821|4.14|3.4821|-1615.095823|-1615.063947|1176.22|356.06|149.0|545.94|0.68608|0.68608|-0.1479099999999999|-0.1991|0.03187624|4.8843|7.9508|7.9508
19_a15|-3.694652026|0|0.0|0|0|0.300209223|0.0|0.037722611|0.0|-0.012350591|-0.04003124|10.31928434|-0.032407407|0|-0.00534669|0.060683674|-0.045543362|-0.571686169|1|0.7981860159999999|0.722297906|0.042424078|-0.048611111|0.770451673|0.7358168620000001|0|0.355677322|0.00527267|-64.78818183|3.04716388|61.63983265|178.5363184|-0.042351319|-37.44217335|1.761006946|-1.905809364|-31.61527447|68.10965742|0.405429114|2625.952212|-1101.399091|1857.369806|0.681885245|-636.516947|26.54223128|1194.400408|490.1808545|3.321475588|1.0|1.0|0.0|1.0|2.99|0.11|18.0|-7.14|4.96|102.69|1.64|0.0|101.22|0.0|-5.12|5.0|-6.22|369.44|0.0|1.0|2.88|7.56e-06|0.00279|4.1200000000000005e-05|0.0|7.28e-08|2.69e-05|-0.0372399999999999|4.1742|7.53|4.1742|-1523.404372|-1523.361214|1030.77|297.03|0.4895|519.04|0.68945|0.68945|-0.17018|-0.20742|0.04315771|9326.0|7.1427|7.1427
12s_a30|0.0|0|0.0|0|2|0.604984545|0.0|-0.0601024909999999|0.0|-0.002544958|-0.035768573|10.31162892|-0.04950715|1|-0.001131023|-0.1597740919999999|-0.145315868|-0.446807335|1|0.609043558|0.83236194|0.006789196|-0.080971844|0.889479916|0.591758164|0|0.404041243|0.019324097|-67.11451776|12.51292194|89.91581294|189.9114627|-0.040189672|-43.45862792|8.102485674|-1.969293912|-38.04400919|78.38074776|0.467381416|2977.11642|-1275.175837|2368.4646620000003|0.877516163|-825.7139305|32.92168852|1613.162737|616.2856203|11.26623|1.0|0.0|1.0|0.0|4.63|0.14|17.0|-7.16|3.74|81.65|3.58|0.0|127.19|0.0|-5.49|6.0|-6.06|434.46|0.0|0.0|3.21|3.24e-06|0.00141|6.71e-06|0.0|6.900000000000002e-08|3e-05|-0.0551|5.0438|4.32|3.5348|-1774.236634|-1774.202623|1140.1|350.75|0.2148|526.07|0.43338|0.68458|-0.14985|-0.20495|0.03401064|3.9579|8129.0|8129.0
