molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|GATS1pe|nFaHRing|RASA|FNSA5|PBF|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
16a_a23|0|1|1|0.0|0.0|7.423568444|1|1|1.197962324|3.411338761|-0.0054940769999999|5.351858133|-0.013055633|3|0.759926978|-0.302174246|0.012426121|-0.088255625|-0.071458049|2|2|0.01226642|-0.181609054|-0.335065967|0.7199622309999999|1|0.934837094|-0.07288672|0.181301571|-47.06687604|13.80568132|9.922436905|42.07919382|-30.39361398|91.92609822|0.585920722|-1.311960953|-17.13669862|65.21027197|-16.6118386|0.49525751|-847.2037686000001|1801.957216|8.024409307|15.89802615|6552.801739|267.3932664|-547.0850515999999|28.35168303|-110.9672657|1445.935835|668.3493171|18.14339594|1.0|0.0|0.0|1.0|0.14|20.0|-5.27|2.52|108.26|1.0|1.0|5.0|4.0|-7.02|0.0|1.85|-4.31|2.6e-05|0.0111|4.86e-05|2.66|5.38e-06|0.0023|2.49|1.6239|-1685.913359|-1685.8794469999998|763.49|0.2066|0.96307|0.96307|-1685.580443|-0.07625|11.6254|0.03391189|18.4446|7.4037|7.4037
19_a3|1|0|0|2.917217813|0.0|6.605297921|0|0|1.4316666480000002|0.0|-0.003417504|4.59511985|-0.030657|3|1.744747103|-0.129865138|0.006821053|0.156485495|0.036226415|1|1|0.006731579|-0.037291767|-0.066245471|0.687139108|1|0.853017902|-0.087730634|0.225451546|-40.8473715|5.419662458|161.5312186|68.43484547|-19.01853079|0.0|0.75798185|-1.140498238|-14.67073822|48.55416845|-15.17188084|0.476813896|-531.0158295|869.7868956|5.342307798999999|10.21110415|4138.413977|112.6836188|-247.2409002|20.01615321|-240.2326308|700.5653624|314.0966684|7.706796952|1.0|1.0|0.0|1.0|0.06|21.0|-7.21|3.39|67.35|0.0|0.0|2.0|4.0|-6.5|1.0|2.45|-3.58|0.000578|166.0|0.000266|2.19|6.18e-08|1.7800000000000002e-05|2.43|3945.0|-929.2818523|-929.2608626|314.28|0.3006|0.67351|0.67351|-929.14689|-0.16303|2191.0|0.020989746|2.8758|7.6383|7.6383
3p_a32|1|1|1|3.456037415|0.0|8.02059915|1|1|0.609420752|0.0|-0.008735261|6.008813185|-0.028895521|0|2.1365141480000003|-0.419292538|-0.000971341|-0.111150118|-0.074544773|3|3|0.000920756|-0.146606489|-0.26891009|0.6956696440000001|1|0.8195708759999999|-0.098773656|0.366898545|-58.13283248|12.5150622|40.28175307|106.1908248|-34.21384146|57.82331968|0.6199678829999999|-1.28405753|-24.56127372|73.07639870000001|-17.1756096|0.416240891|-755.7268222|3037.061498|6.243062200000001|10.69458635|5960.446219|223.6663527|-444.779939|27.70403125|-141.21321609999998|1218.977375|530.5658569|14.94356622|1.0|0.0|1.0|1.0|0.26|19.0|-6.79|3.71|131.25|1.0|0.0|4.0|4.0|-6.8|0.0|3.23|-4.25|7.78e-06|0.00308|5.629999999999999e-05|2.7|1.62e-07|6.4e-05|4.26|3.6436|-1879.554272|-1879.527843|340.28|0.3083|0.7017100000000001|0.7017100000000001|-1879.350471|-0.15055|4.3094|0.02642856|5.4496|7585.0|7585.0
4b_a46|0|0|0|0.0|0.206072846|7.825245291|1|1|1.1346370890000002|2.189591837|-0.00113356|5.587248657999999|-0.022119857|2|0.0|-0.058945144|0.012332859|-0.135121207|-0.111103941|1|1|0.011806162|-0.079238184|-0.123416853|0.69830739|0|0.935245062|-0.070236212|0.27128814|-38.30877966|4.127907383|7.986637869|35.31914031|-20.89467173|56.7922535|0.8104680259999999|-1.123779397|-15.59093155|42.65239101|-12.50898928|0.428987199|-612.9404746|1750.333702|5.76401157|10.09436488|4681.895329999999|103.3759991|-334.31474760000003|15.43427855|-338.6757579|756.2796491|538.4165208|4.343611349|1.0|0.0|0.0|1.0|0.38|17.0|-7.2|4.77|43.6|1.0|0.0|2.0|3.0|-5.67|1.0|3.76|-4.63|4.49e-05|0.0149|2.35e-05|3.74|6.38e-08|2.12e-05|3.98|4.5515|-1033.556797|-1033.535029|272.4|0.1784|0.68682|0.68682|-1033.3243619999998|-0.19082|3127.0|0.02176759|3.7571|6.2612|6.2612
13l_a6|1|0|0|3.433158672|0.0|7.412764017000001|1|1|1.4242139390000002|0.0|-0.0143011819999999|5.351858133|-0.132667824|1|0.0|-0.858070925|-0.009326562|-0.037558466|-0.086595185|1|1|-0.006280295|-0.045794891|-0.073210645|0.827754203|0|0.643098986|-0.126521431|0.210844002|-88.13242567|20.90615311|182.8275745|248.6104661|-61.3913735|118.3485042|0.793671137|-2.53042863|-57.29112645|100.8610837|-31.47586631|0.4257335779999999|-1762.648513|3127.831037|8.810095892|15.34147837|6462.086665999999|143.7247666|-1227.82747|39.65857501|-409.1314702|2220.880201|741.5222707|12.72865798|1.0|1.0|1.0|1.0|0.16|23.0|-8.89|3.8|115.15|1.0|0.0|7.0|5.0|-6.59|0.0|3.07|-4.77|3.26e-06|0.00144|1.7100000000000002e-05|3.39|1.29e-09|5.7e-07|5.41|3.5499|-1465.865882|-1465.834958|349.26|0.3115|0.7002|0.70515|-1465.560303|-0.14562|7.2582|0.03092407|8.9893|6.4145|6.4145
12ba_a36|1|0|0|3.389685532|0.0|7.412764017000001|2|2|1.297043659|0.0|-0.0075620109999999|5.351858133|0.026411489|2|0.0|-0.423472625|-0.002123045|0.003750685|-0.011949092|1|1|-0.000621302|-0.091676619|-0.168084618|0.796093405|0|0.849738126|-0.108410153|0.330220757|-73.03464847|16.57882744|100.798163|101.229662|-49.20258616|16.1479891|0.7068957840000001|-1.951382748|-37.76553687|89.06670390000001|-25.28122447|0.49229954|-1314.6236720000002|2492.5731100000003|7.409667253999999|14.59456478|6722.60947|197.4608731|-885.6465508|35.76372225|-278.7665262|1859.713557|688.1986357999999|16.03205543|1.0|0.0|1.0|1.0|0.12|17.0|-6.72|1.63|116.78|1.0|0.0|5.0|6.0|-7.04|0.0|1.57|-4.25|1.6800000000000002e-05|0.0072599999999999|5.65e-05|2.67|1.91e-07|8.240000000000001e-05|2.79|3.0114|-1417.454721|-1417.426327|411.71|0.7436|0.3989999999999999|0.70432|-1417.187763|-0.12587|3.1996|0.02839417|4.5448|7.6778|7.6778
12b_a40|0|0|0|0.0|0.0|7.515889085|0|0|0.604989475|1.713497417|-0.004650218|5.4161004020000005|-0.011794908|0|0.747253086|-0.158107422|0.00779293|0.107454819|-0.1537981269999999|2|2|0.004452418|0.023952313|0.038336814|0.522580798|1|0.955647156|-0.074921647|0.2160572999999999|-42.67442006|6.17734692|80.72126798|25.26281742|-24.3068084|48.17000329|0.856829717|-1.048903063|-21.10373336|48.54667776|-19.27231874|0.494842289|-597.4418808999999|860.5059425000001|8.132984007000001|16.09989085|5933.385347|81.54797734|-340.29531769999994|22.49258909|-406.4913617|697.2702616|370.3261123|5.872257692000001|0.0|0.0|1.0|1.0|0.0|20.0|-8.39|6.74|58.43|2.0|0.0|2.0|2.0|-4.09|0.0|5.79|-7.11|1.95e-08|8.09e-06|7.82e-08|6.68|4.08e-09|1.7e-06|6.27|3407.0|-3016.999329|-3016.9868100000003|363.91|306.0|0.69476|0.69476|-3016.927883|-0.14267|4.5528|0.01251873|6.3131|7.3979|7.3979
6e_a40|0|0|0|0.0|0.0|8.421342866|1|2|0.604892975|1.75595616|-0.0148450439999999|6.401917197|-0.074872854|0|0.744550501|-0.69771706|-0.0026177839999999|0.103594243|-0.205140551|2|2|-0.002992481|-0.020200684|-0.037027769|0.648802794|1|0.74620476|-0.1164147119999999|0.376602018|-76.50178121|10.43262695|185.1473293|166.7812216|-50.27304895|35.33106374|0.866991176|-2.095464821|-46.34235117|84.95203628|-32.02400144|0.441911406|-1377.032062|3854.417113|6.972949117000001|12.49434084|7585.605268000001|87.40658058|-904.9148811|36.93694043|-482.3355765|1588.2884390000002|587.7345677999999|8.450255075|1.0|0.0|1.0|0.0|0.21|14.0|-4.63|3.72|173.43|2.0|2.0|5.0|5.0|-6.09|0.0|3.68|-5.58|1.74e-08|8.31e-06|2.6e-06|4.4|2.35e-05|0.0112|8.35|2.9549|-2831.191706|-2831.156883|419.59|0.3625|0.67187|0.67187|-2830.986514|-0.1195799999999999|8.3311|0.03482243|11.5248|7.7447|7.7447
12be_a36|1|0|0|3.466734143|0.0|7.412764017000001|2|2|1.297042758|0.0|-0.009368126|5.351858133|-0.0419484829999999|2|0.0|-0.580823835|0.000482522|-0.08981965|0.00430921|1|1|0.002872872|-0.176729938|-0.289604649|0.8350231859999999|0|0.798015877|-0.108962668|0.330453338|-75.59805505|23.42501577|63.31681179|140.1361326|-52.44976141|0.0|0.5660743979999999|-1.852365352|-37.57129686|99.62604537|-22.15805062|0.4564615729999999|-1285.166936|2552.721046|8.773114043|16.14074295|6592.168374|301.05661160000005|-891.645944|39.14335412|-91.68453892|2270.314539|766.4854363|24.02799032|1.0|0.0|0.0|1.0|0.21|17.0|-6.79|1.9|87.66|1.0|0.0|7.0|6.0|-7.13|0.0|1.75|-4.15|7.75e-05|0.0342|7.13e-05|2.62|1.6100000000000005e-07|7.11e-05|2.68|3.3487|-1462.0007349999998|-1461.968283|370.25|0.7034|0.40844|0.70465|-1461.68274|-0.13781|7.7861|0.03245204|10.3044|7.3565|7.3565
12q_a36|1|0|0|3.453150038|0.0|7.412764017000001|2|2|1.29701394|0.0|-0.00761082|5.351858133|-0.043678703|2|0.0|-0.410984299|0.0005016269999999|-0.0651906459999999|-0.0433009009999999|1|1|0.0010871589999999|-0.103922055|-0.177407665|0.8065052890000001|0|0.82911927|-0.1060430969999999|0.324924033|-68.5549152|12.00048565|82.68142965|110.4712541|-44.31949385|0.0|0.768692389|-1.908775752|-31.79544084|80.15866795|-24.67976947|0.486620426|-1233.988474|2380.245597|7.546533709|14.69971555|6040.52496|149.536123|-797.7508892000001|32.10617123|-347.4093916|1605.308562|629.5017194000001|11.60375275|1.0|0.0|0.0|1.0|0.14|17.0|-7.18|2.54|69.2|1.0|0.0|5.0|4.0|-6.49|1.0|2.34|-4.59|3.64e-05|0.0151|2.55e-05|3.31|6.65e-08|2.77e-05|3.79|3.8653|-1692.544456|-1692.5102989999998|320.77|0.4239|0.39919|0.6863199999999999|-1692.3116350000005|-0.1566|4.6718|0.03415678|6.4226|8.2218|8.2218
