molecula|n9FaHRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|MATS8i|BCUTi-1|AATSC1pe|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|SIC2|FNSA3|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Dipole (water)|pIC50
8a_a12|0|0.0|0.0|0|1|1|1.283813597|0.0|-0.00771093|0.0|-0.052287869|3|-0.205012437|-0.050603335|10.95472846|0.000249868|-0.226106307|-0.5385001079999999|0.913877696|0.763500863|-0.146966854|0.8157289759999999|-0.05926895|0.010336879|-48.195997|5.354053791|46.32568673|55.59930083|0.0|0.791430726|-15.90061008|55.45388635|-17.52581709|0.46777503|2212.38965|2093.2274030000003|-9.077610683|0.208569274|9.607296424|0.878904705|108.02980890000002|22.14447395|-301.89687089999995|974.3568539|464.1781753|1.0|1.0|1.0|1.0|4.06|-7.89|3.87|2.5|50.17|2.89|0.0|1.0|4.0|-6.04|327.38|0.0|1.0|1.0|3.1|-4.21|0.0408|6.19e-05|0.0203|3.18|0.0|4.2e-06|-0.06246|3.9091|3.9091|-1046.0428949999998|556.3|952.71|0.2486|317.17|424.14|0.6309100000000001|0.2486|-0.15696|-0.2194199999999999|5.4032|6.7011
18_a20|0|3.463603867|0.0|0|0|0|1.400923654|0.0|-0.008841844|4.727387819|-0.12050413|2|0.163548857|-0.011236836|10.93301779|-0.004071701|0.003282792|-0.597167441|0.809917509|0.7602869659999999|-0.090732503|0.8162774979999999|-0.0927760219999999|0.0108136339999999|-63.36348363|7.195302872999999|318.5587088|158.7879106|82.70867776|0.8109110409999999|-41.07622672|72.31812218|-23.91074854|0.483668611|2809.844943|1822.210286|-15.91001426|0.1890889589999999|15.51556677|0.936740671|125.81822920000002|29.4862782|-413.7552685|1562.772745|712.1606951|1.0|1.0|1.0|2.0|3.48|-10.0|5.54|4.69|97.55|2.06|2.0|0.0|4.0|-6.13|419.48|0.0|0.0|1.0|3.78|-5.16|0.00107|6.91e-06|0.0029|3.85|0.0|4.17e-08|-0.05604|5.9778|3.5355|-1352.364724|703.24|1204.88|0.2991|207.41|531.11|0.31154|0.2011|-0.14685|-0.20289|8.0505|7.4685
9n_a24|0|2.961528903|0.0|0|0|0|1.388847168|0.0|-0.003323852|4.59511985|0.001099755|2|-0.141205159|-0.036651001|10.94875265|0.008809179|-0.200646773|-0.225226606|0.786587307|0.7584388259999999|-0.058520736|0.804201677|-0.052106597|0.017608478|-52.53031811|11.90027964|48.691073|64.50319929|24.72120326|0.652126509|-23.79925701|67.36550766|-18.18357165|0.4331595789999999|2542.730334|1361.307012|-12.28894317|0.347873491|14.52410167|0.764164944|235.1021924|27.88350328|-205.6223122|1449.942171|631.9206508|1.0|1.0|1.0|1.0|3.17|-8.64|4.41|4.14|66.93|1.42|1.0|1.0|5.0|-6.47|385.46|0.0|1.0|0.0|3.13|-4.29|0.0278|5.14e-05|0.0198|3.07|0.0|8.909999999999999e-07|-0.03818|4.9139|4.1028|-1239.1274939999998|686.19|1155.03|0.2522|252.31|587.05|0.44042|0.0334|-0.1658099999999999|-0.20399|4.8123|7.7212
14t_a23|1|0.0|0.0|2|0|0|1.197962538|3.410065804|-0.005383494|5.351858133|-0.024472753|2|0.073534004|-0.041339801|10.31321779|0.01180744|-0.136106024|-0.4515027279999999|0.725800261|0.7629258809999999|-0.152771194|0.820002545|-0.0553915009999999|0.017433037|-51.65035498|11.36130649|36.6149406|51.51331913|42.20767549|0.799945841|-23.52629623|61.0040156|-21.69314909|0.465981891|2878.4071670000003|2286.063655|-14.13766923|0.2000541589999999|14.13931199|0.872595673|130.3775455|27.11827225|-390.9561553|1355.9136119999998|666.0036144999999|0.0|0.0|1.0|1.0|3.52|-7.78|3.88|4.33|105.02|3.24|2.0|1.0|4.0|-6.1|425.51|0.0|0.0|0.0|3.78|-5.25|0.000608|5.61e-06|0.0023899999999999|3.94|0.0|7.03e-06|-0.06666|3.9855|3.2060000000000004|-1669.240512|692.08|1184.43|0.2061|311.09|534.86|0.5824199999999999|0.0003|-0.15625|-0.22291|8.3062|8.3979
10_a47|0|0.0|0.0|0|0|0|1.381868067|0.0|-0.008013899|0.0|-0.166367455|2|-0.169242585|0.0814897|10.93671036|-0.0065562469999999|-0.045289209|-0.45272733|0.7027461220000001|0.754096463|0.011239977|0.8077565520000001|-0.076311525|0.00951788|-50.08559665|5.088920549|103.41137940000002|84.97451737|0.0|0.801882632|-21.81529334|57.59863288|-18.9212254|0.411647394|2355.515804|1567.859561|-10.11660331|0.198117368|10.66897998|0.699661037|105.9273263|23.5960035|-322.8149102|1061.820157|498.0016816|1.0|1.0|1.0|2.0|3.02|-8.85|5.12|5.92|58.04|3.21|2.0|1.0|4.0|-5.08|359.4|1.0|0.0|1.0|4.41|-5.5|0.000638|3.18e-06|0.00114|4.8|0.0|5.110000000000001e-07|-0.0486399999999999|5.7693|3.7236|-1188.405988|579.86|997.16|231.0|214.9|426.55|0.53909|0.2175|-0.15445|-0.20309|2.8795|7.9
47f_a18|0|0.0|0.0|0|1|1|1.251175676|0.0|-0.005817448|4.844187086|-0.034211867|0|-0.048472184|0.033759227|10.94702253|0.00531392|-0.3927204379999999|-0.4138670829999999|0.765824398|0.750610215|-0.014370598|0.780474694|-0.063824969|0.0138461289999999|-72.03501774|11.75478965|111.1889928|137.3980967|58.84834254|0.726550657|-46.00060733|86.11217859|-24.61956302|0.483843526|3367.7324700000004|2343.062749|-20.90098811|0.273449343|20.44855806|0.937396993|232.14715330000004|33.88554232|-384.6642262|2676.957843|1347.416568|1.0|1.0|1.0|2.0|4.87|-9.22|3.22|3.6|88.97|2.79|3.0|1.0|4.0|-6.4|541.68|0.0|0.0|0.0|2.83|-5.52|0.000421|3.01e-06|0.00163|4.52|1.0|3.27e-07|-0.04439|3.0964|3.0964|-1743.375413|908.66|1602.99|0.5741|400.42|874.24|0.6984600000000001|0.5741|-0.12802|-0.1724099999999999|4.4861|8.0458
13_a4|0|0.0|0.0|1|1|1|1.399843898|2.050136054|-0.000990136|5.4161004020000005|-0.019846488|1|-0.059300584|-0.14818661|10.94205723|0.012019888|-0.025714912|-0.143303992|0.645708528|0.744134785|-0.157188841|0.7986239909999999|-0.050017793|0.008746805|-33.41617993|4.282589756|11.85953992|14.67530603|54.71349575|0.862539527|-11.99053523|37.12083496|-13.70920202|0.4289448289999999|1910.137758|1439.176684|-6.7122666220000005|0.137460473|9.917593683|0.751144285|67.30306705|15.89399858|-355.01146810000006|619.8659446|373.9073307|1.0|0.0|0.0|0.0|3.39|-6.2|4.18|4.15|30.71|2.9|1.0|1.0|2.0|-5.39|287.36|0.0|1.0|1.0|3.57|-4.42|0.0235|3.77e-05|0.0108|3.75|0.0|0.00018|-0.03168|4.4811|4.1733|-898.3562912999998|536.09|893.0|0.2133|276.68|429.36|0.53815|0.1282|-0.17204|-0.20372|3.7228|5.3979
47t_a18|0|0.0|0.0|0|1|1|1.25117758|0.0|-0.0128248239999999|4.844187086|-0.161517185|0|0.018018036|-0.011641394|10.94702032|-0.004985656|-0.104274108|-0.600890268|0.704602886|0.750103977|-0.074774521|0.796935152|-0.119202068|0.014067024|-69.13537385|9.415011332|280.622476|219.5070758|78.43695402|0.804531523|-53.39751484|80.00407742|-27.16032544|0.49779009|2872.533415|1326.524873|-18.17831387|0.195468477|17.48280476|0.991199259|130.8263901|33.75918118|-407.6438346000001|1890.514146|747.6927426|0.0|0.0|0.0|3.0|3.86|-7.51|2.6|2.93|110.56|1.64|2.0|1.0|4.0|-6.46|441.48|0.0|0.0|0.0|2.15|-4.77|0.00117|1.7100000000000002e-05|0.0075299999999999|3.57|0.0|1.36e-05|-0.06822|3.1164|3.1164|-1470.873743|703.76|1218.95|0.5502|397.84|601.36|0.6895100000000001|0.5502|-0.12692|-0.19514|9.6938|6.1068
12_a47|1|2.903215905|0.0|0|0|0|1.304330736|0.0|-0.005522244|4.59511985|-0.078935336|2|0.001435849|-0.018573056|10.95005729|-0.004332024|-0.015039637|-0.326846977|0.6505449670000001|0.8288334490000001|0.050943962|0.90246604|-0.084846808|0.018014416|-47.83891561|9.382250925|63.89392714|112.4599133|0.0|0.680723821|-23.01490672|61.09751253|-17.76874008|0.4792593739999999|2266.78114|702.3796319|-9.25429818|0.319276179|13.52358352|0.920341815|166.28511369999998|26.10271529|-188.2488142|913.5950352|335.1175012|1.0|1.0|1.0|2.0|2.73|-8.11|4.19|4.98|66.49|2.6|0.0|1.0|4.0|-5.94|339.75|0.0|1.0|1.0|3.37|-4.56|0.0106|2.77e-05|0.00943|3.43|0.0|2.61e-06|-0.0623|4.2907|3.9538|-1488.101254|537.79|886.46|0.2306|288.96|400.09|0.66387|0.2241|-0.1633|-0.2256|3.5884|8.2
2_a47|0|0.0|0.0|0|0|0|1.381899691|0.0|-0.008527649|0.0|-0.13117284|2|-0.004557357|0.107297513|10.93671092|-0.006079384|-0.0274111779999999|-0.444853768|0.916092248|0.671819147|-0.0253134039999999|0.728066943|-0.083455669|0.008511123|-47.65477123|4.240150185|99.5619537|76.06154148|0.958043241|0.784978115|-20.71307621|55.81329383|-18.32875817|0.433425706|2105.761386|1242.745585|-9.131190896|0.215021885|9.369924133|0.764993595|107.1215986|23.34938746|-283.9460863|910.626111|392.6099255|1.0|1.0|1.0|2.0|2.58|-7.82|3.7|4.75|58.04|2.39|1.0|1.0|3.0|-5.0|313.35|0.0|1.0|1.0|3.58|-5.11|0.00109|7.75e-06|0.00243|4.52|0.0|4.73e-06|-0.05285|3.7181|3.7181|-1010.540464|536.13|902.07|0.2143|333.46|371.19|0.69102|0.2143|-0.15446|-0.20731|3.1004|6.2
