molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|AATSC1i|n6aHRing|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|PNSA5|FNSA4|WNSA5|RPCS|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Approximated area|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
19a_a22|0.0|0|0|0|0.0|0.0|1|6.842683282|0|0|1.572240489|-0.000989685|4.727387819|-0.144269652|2|0.0389622639999999|-0.020553065|-0.548716971|-0.002607064|-0.011513343|10.9464374|0.016501913|-0.0611158559999999|2|0.777600172|0.0271939039999999|0.834033833|0.699744887|1|-0.090145161|-0.09370213|0.51561501|-67.26339083|-69.91748544|-0.035138299|-52.17015658|106.645364|-50.18975739|89.23486638|-26.21905704|0.4347718229999999|555.4133255|-1468.267194|2607.322873|0.315293811|8.648671382|15.30120355|0.76919701|235.2620007|-1095.573288|38.29242013|0.025888799|2144.375527|781.8210659|19.31738094|1.0|1.0|1.0|1.0|2.0|3.61|27.0|-8.76|3.08|3.41|128.68|0.98|132.15|0.0|7.0|-4.38|6.0|-7.67|-4.11|4.16e-05|0.0193|7.69e-05|2.05|0.0|1.73e-09|8e-07|5.0397|5.69|3.5809|-1537.0241640000002|740.07|246.01|567.03|-0.1508|0.04718381|-1536.823574|48.0|7.3188|7.3188
13f_a6|0.0|1|0|0|3.440154557|0.0|0|6.842683282|0|0|0.0|-0.088329567|4.727387819|-0.008507023|2|45.0|0.04505613|-0.381170169|-0.003356527|-0.071478789|10.95053349|-0.049928822|-0.223618825|2|0.77199166|-0.088948538|0.834167942|0.790249345|1|-0.073352505|-0.092939631|0.176745407|-49.2635105|-62.41821579999999|-0.032802223|-41.92004677|0.0|-33.08535238|75.61173794|-22.02995852|0.401838426|579.7398537|-1123.527884|3253.287533|0.279288145|9.050440345|15.13042752|0.6717890999999999|187.5697972|-754.5608419|30.56694343|0.0196449239999999|1558.914115|676.2770877|13.19352214|1.0|1.0|1.0|1.0|2.0|3.56|27.0|-10.18|5.01|4.53|103.17|0.92|123.82|0.0|5.0|-5.11|5.0|-6.52|-4.78|7.74e-06|0.00323|1.65e-05|3.27|0.0|6.59e-11|2.75e-08|4.8413|3.36|3139.0|-1347.266914|711.29|256.1|568.41|-0.12805|0.03437105|-1347.0794119999998|42.0|7.3768|7.3768
17b_a25|0.0|0|0|0|0.0|0.0|1|6.842683282|0|0|1.785120622|0.001256821|4.727387819|-0.002108117|2|0.042843137|-0.026412432|-0.266456625|0.005120507|-0.100018134|10.93106294|0.016982601|-0.073994564|2|0.780221059|0.029728702|0.838260077|0.636746066|1|-0.068207754|-0.079392561|0.410780725|-51.71860811|-60.19950116|-0.029249891|-45.64634114|87.61586206|-39.21569422|73.52844745|-22.17876359|0.476276266|668.9067217|-1264.189524|2514.295488|0.275133816|9.700133933|18.52147096|0.909403632|208.6205329|-958.573164|30.59704545|0.0175785369999999|1744.031591|832.226697|13.32894629|1.0|1.0|1.0|1.0|1.0|3.56|27.0|-10.04|4.88|5.18|96.49|2.0|135.78|0.0|7.0|-5.32|5.0|-6.53|-5.07|4.75e-06|0.00218|8.59e-06|3.61|0.0|9.08e-11|4.16e-08|5.4236|5.89|3961.0|-1483.830524|781.08|228.6|654.18|-0.16408|0.04272963|-1483.630939|101.0|6.9957|6.9957
12ac_a36|0.0|1|0|0|3.4419617660000004|0.0|0|7.412764017000001|2|2|0.0|-0.050997272|5.351858133|-0.073735973|2|0.042560386|0.03586247|-0.450737917|0.000584134|-0.046730704|10.95345846|-0.0121300989999999|-0.166354116|1|0.811459853|-0.020272679|0.863165958|0.770400825|0|-0.080202334|-0.104391657|0.4712820929999999|-55.68500110000001|-72.4798052|-0.036062573|-50.32319912|20.70356046|-38.66245764|86.51036063|-25.03847816|0.44477577|541.3322795|-1377.116299|2455.459827|0.268353853|8.126831024|14.63702516|0.801074136|186.3198219|-956.1407834|34.22211444|0.020208014|1882.216294|716.9974499|14.03055543|1.0|0.0|0.0|0.0|2.0|4.86|17.0|-6.89|3.16|2.09|86.27|1.59|133.95|0.0|6.0|-3.81|5.0|-7.21|-3.95|0.000154|0.0653|0.000112|2.36|0.0|1.29e-07|5.4600000000000006e-05|3.8843|4.84|3.8594|-1385.566143|711.77|319.2|554.84|-0.15675|0.03998989|-1385.382927|13.0|7.8861|7.8861
8e_a46|0.0|0|0|0|0.0|0.252655541|1|7.727094485|1|1|2.161814059|-0.205882192|5.533389489|0.000950213|2|0.043238095|-0.126773923|-0.046696417|0.012911107|-0.184317354|10.96411233|-0.016857659|-0.135984209|2|0.789844634|-0.024620704|0.837678812|0.668786636|0|-0.053352779|-0.065982313|0.281227001|-27.16690715|-33.59778824|-0.023017086|-17.10778729|53.05984592|-13.83322216|39.62167507|-11.72015869|0.444693313|469.146955|-503.9668235|1415.320228|0.2507580889999999|5.504080656|9.911785304|0.8008066970000001|127.6844779|-256.61680930000006|15.64268965|0.011830243|672.6356549999999|426.71841|6.023886838999999|0.0|1.0|0.0|1.0|0.0|3.21|17.0|-6.67|4.09|3.9|43.6|2.13|91.93|0.0|2.0|-3.59|3.0|-6.02|-4.04|0.0002569999999999|0.0782|9.15e-05|3.01|0.0|2.16e-07|6.57e-05|4.5092|3.0|4.5092|-954.9056294|552.99|274.96|457.96|-0.18835|0.024010215|-954.793305|406.0|6.3915|6.3915
12t_a36|0.0|1|0|0|3.500121488|0.0|0|7.412764017000001|2|2|0.0|-0.058770337|5.351858133|-0.034194893|2|0.041767677|0.035510516|-0.404180985|0.003676818|-0.030990165|10.95395385|-0.0288761339999999|-0.169994208|1|0.829598864|-0.050788309|0.878510663|0.857993338|0|-0.0735262|-0.100615514|0.318666358|-48.97252784|-67.01551397|-0.035934112|-44.63604995|0.417511887|-32.61842026|77.32343502|-23.93411213|0.48189543|555.3275093999999|-1340.3102789999998|2320.375227|0.21683192|7.960344391|15.36435856|0.930112292|144.422087|-892.7209991000001|30.56063281|0.01547607|1711.395437|729.1873176|10.30792105|1.0|0.0|0.0|0.0|2.0|4.94|17.0|-7.36|3.62|2.45|69.2|2.45|133.52|0.0|6.0|-4.61|4.0|-6.33|-4.57|2.48e-05|0.0102|2.6600000000000003e-05|3.47|0.0|4.38e-08|1.7899999999999998e-05|3.8844|3.87|3.6694|-1311.552739|713.6|319.18|562.72|-0.15088|0.03230976|-1311.349439|8.0|8.0969|8.0969
19_a31|0.0|1|0|0|3.2411335510000003|0.0|0|7.401841579|0|0|0.0|0.062492295|5.351858133|-0.086654127|0|0.0427124179999999|-0.044625452|-0.46087445|-0.005956522|-0.040386271|10.31169935|-0.081641954|-0.1751017789999999|0|0.8558149140000001|-0.138769819|0.902130276|0.6427749970000001|0|-0.0909201569999999|-0.113333675|0.279690511|-53.25742146|-66.3863707|-0.036060715|-38.88650245|67.42915967|-31.1960848|75.31824576|-21.12293613|0.446100738|428.3459076|-929.4091898|1992.2502|0.223788196|7.0760696020000005|12.77501178|0.805382437|131.0862475|-544.4110343|27.21285095|0.0152483439999999|1197.365442|460.3754405|8.931875058|1.0|1.0|1.0|1.0|2.0|3.44|16.0|-7.39|5.8|4.33|98.91|1.68|97.25|0.0|7.0|-4.67|4.0|-6.41|-3.92|2.14e-05|0.0076799999999999|0.0001199999999999|2.93|0.0|4.08e-08|1.46e-05|5.0344|5.24|3.9477|-1489.4951640000002|625.93|246.28|537.66|-0.16367|0.03702801|-1489.382077|1.8|5.7447|5.7447
17a_a22|0.0|0|0|0|0.0|0.0|1|6.842683282|0|0|1.866510299|-0.0422459529999999|4.727387819|-0.092107225|2|0.043274232|-0.054347074|-0.314134834|0.00220634|-0.094996254|10.94643739|-0.005724389|-0.126659773|2|0.7562495659999999|-0.010355535|0.805071997|0.7994946709999999|1|-0.072161482|-0.08790445|0.345497724|-49.30541729|-60.0620365|-0.030843667|-41.03828927|0.0|-33.68866751|73.26110471|-21.07439877|0.485943988|587.2505892999999|-1201.24073|1934.881271|0.289041025|8.549622191000001|16.63169381|0.945313306|197.4916253|-820.7657853999999|29.64221498|0.01931764|1689.6062539999998|784.2697099|13.19906822|1.0|1.0|0.0|1.0|1.0|4.02|27.0|-9.13|3.93|4.93|68.52|2.01|128.29|0.0|7.0|-4.75|5.0|-6.39|-4.96|1.7899999999999998e-05|0.0078099999999999|1.09e-05|3.62|0.0|7.41e-10|3.23e-07|4.8502|5.13|1.3971|-1408.279257|731.19|255.63|577.52|-0.06214|0.02170866|-1407.935792|82.0|7.0862|7.0862
2_a27|0.0|0|0|0|0.0|0.0|2|6.605297921|0|0|3.250529415|0.09890645|4.59511985|-0.0609613559999999|2|0.0427777779999999|-0.196529806|-0.276758209|0.009338889|0.11675125|10.93783218|0.017751479|-0.361571905|2|0.796022385|0.027777778|0.8585302370000001|0.60904903|1|-0.058444848|-0.081513931|0.408120957|-29.42169804|-41.03489597|-0.029261411|-20.65736087|53.58106492|-14.81116546|52.43208086|-14.73047548|0.4424192289999999|426.3224749|-574.4885436000001|1270.627585|0.331537817|5.312170441|9.527176544|0.7934621359999999|166.89932209999998|-289.2030522|22.03636323|0.022639983|859.4181658|373.9912084|11.39718489|0.0|0.0|1.0|1.0|0.0|2.9|21.0|-5.84|2.43|2.49|65.6|2.42|92.58|0.0|2.0|-3.19|4.0|-6.69|-3.7|0.000644|204.0|0.0002009999999999|2.18|0.0|1.45e-06|0.0004599999999999|4.1624|4.32|4.1624|-1043.7984|538.57|297.87|420.7|-0.16769|0.02268519|-1043.715364|13.0|7.8861|7.8861
47a_a18|0.0|0|0|0|0.0|0.0|0|7.03438793|1|1|0.0|0.018016478|4.844187086|-0.18843247|0|0.033641026|0.043161338|-0.464122017|-0.005483379|-0.025401815|10.35082811|0.052572636|-0.358939392|0|0.766261502|0.089156939|0.7991211029999999|0.792293789|0|-0.082855697|-0.099310031|0.371382587|-67.93456546|-81.42570819|-0.036234741|-66.76209701|110.0917322|-55.70051708|93.5899242|-29.70938001|0.483193636|638.5417107999999|-2198.494121|2250.179086|0.2063806289999999|10.20255289|19.74153879|0.934960691|169.2144153|-1802.576619|37.435301|0.014835962|2770.212274|1225.939287|12.16421601|1.0|1.0|1.0|1.0|3.0|4.97|18.0|-8.27|0.48|3.35|123.06|1.85|158.24|1.0|12.0|-6.74|5.0|-6.49|-5.58|1.8100000000000002e-07|9.9e-05|2.62e-06|4.44|0.0|5.4e-09|2.95e-06|3.1947|8.82|3.1947|-2098.773074|874.47|388.09|813.01|-131.0|0.0339441|-2098.359766|1.0|9.0|9.0
