molecula|SddssS|n9FaRing|SaaNH|NaasN|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC1i|MATS1c|n6aHRing|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RNCS|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|DPSA1|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Brenk|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12al_a36|0.0|0|3.469383582|0|1.297043737|0.0|-0.06777947|5.351858133|-0.04314418|2|0.0|-0.4908576189999999|0.00127667|-0.074215038|10.96020817|1|-0.239932418|-0.404703593|1|0.8344566859999999|-0.055405405|0.885733922|0.84179881|0|0.801179217|-0.077842923|-0.105915949|0.2689491989999999|0.026927826|-51.22331485|17.71943397|114.2305891|-0.035305316|-45.86257662|0.0|0.671084645|-33.70669917|-23.23210974|68.94274882|0.456856406|-1254.533926|-15.28752554|8.774664332|16.15533063|0.841133748|216.4375922|-825.5263792000001|34.61874732|-225.1591357|17.07995636|1.0|1.0|0.0|2.0|4.81|0.17|17.0|-6.69|0.0|6.0|-3.95|31.0|5.0|-6.93|411.46|0.0|1.81|0.000113|8.499999999999999e-05|35.0|2.65|0.0|8.340000000000001e-05|3.5511|-1347.479819|-1347.445127|349.14|319.71|0.6945399999999999|0.70417|0.0095|-0.14558|6.4473|-1347.257936|8.1781|48.0|7.3188|7.3188
22_a10|0.0|0|0.0|1|1.343837143|2.113627059|-0.067641834|5.4161004020000005|-0.017163935|2|1.880539113|-0.332316729|0.008350227|0.01204992|10.92966136|1|-0.208132084|-0.356699217|2|0.747363443|-0.033474297|0.79665945|0.646474494|1|0.8698299140000001|-0.053881447|-0.0649866779999999|0.775071808|0.016720696|-41.96631248|13.023146|75.58376652|-0.022372463|-39.42279832|60.10354816|0.564323334|-32.68604442|-17.4251029|54.98945848|0.422182297|-1062.931277|-13.57178303|8.84228648|15.30289992|0.730649641|339.3328129|-827.8787647|30.87787063|-100.1982412|20.51547079|1.0|1.0|1.0|0.0|3.74|0.17|27.0|-9.37|0.0|6.0|-5.34|36.0|5.0|-6.29|475.54|0.0|4.26|4.55e-06|2.95e-06|0.0014|4.1|0.0|2.03e-07|3.8517|-1544.237634|-1544.203968|321.89|256.95|0.4483899999999999|0.6834100000000001|0.1922|-0.16095|4.8409|-1543.959333|6.5841|1.1|5.9586|5.9586
12b_a5|0.0|0|0.0|0|1.189701783|0.0|-0.297319874|4.59511985|0.023224044|3|0.0|-0.1214831359999999|0.0068803119999999|-0.119503073|10.94620104|0|-0.110182753|-0.1708042239999999|2|0.779793078|-0.033036296|0.819417554|0.8121510009999999|0|0.827613693|-0.066227158|-0.068586754|0.350286421|0.016556707|-41.76622313|10.44150403|138.67264319999998|-0.020455699|-27.27837078|0.0|0.530379611|-26.33991037|-12.90040679|52.20772716|0.480419002|-735.3231872|-8.135654442|8.398709622|16.16438947|0.924627734|296.16656780000005|-463.7323032|24.32296891|-38.31786425|16.27715102|0.0|1.0|1.0|1.0|4.05|0.33|18.0|-7.67|0.0|5.0|-2.3|30.0|6.0|-7.57|397.47|0.0|1.44|0.00503|0.000359|143.0|1.63|0.0|8.5e-06|1.4454|-1276.928859|-1276.8943800000002|857.76|268.62|0.42949|0.70615|0.0001|-0.06212|5.7174|-1276.9984029999998|8.2868|42.0|7.3768|7.3768
18c_a25|0.0|0|0.0|1|1.193723817|1.959418462|-0.087958541|4.727387819|-0.008080236|2|2.069766482|-0.162271435|0.007804726|-0.038865826|10.31285373|1|-0.064145547|-0.282103688|2|0.748718056|0.0114970419999999|0.8005589320000001|0.7357918440000001|1|0.94801724|-0.048636087|-0.0719340379999999|0.385593349|0.009585904|-31.96445203|6.300016824|26.54367263|-0.026975264|-31.07074762|0.0|0.7479204509999999|-21.00757374|-17.72859578|38.26446885|0.484730247|-992.8013635|-11.65153036|7.553051762000001|14.65844196|0.940731034|165.67090530000002|-652.4856999|23.70385212|-325.8749539|9.560410146|1.0|1.0|1.0|1.0|3.58|0.11|27.0|-10.17|1.0|7.0|-6.05|33.0|3.0|-5.85|449.57|1.0|4.77|8.86e-07|2.51e-06|0.00113|4.49|0.0|3.0499999999999995e-08|3.3396|-1714.597797|-1714.5777670000002|371.26|226.01|0.31993|0.70516|0.0041|-0.13312|6.1775|-1714.342386|7.9283|88.0|7.0555|7.0555
12i _a30|0.0|0|0.0|0|0.604984133|0.0|0.04580336|5.351858133|-0.030422458|2|0.0|-0.366470081|0.00372838|0.0109710489999999|10.31162888|1|-0.090173435|-0.469854551|1|0.831176513|-0.1240820219999999|0.888213143|0.7463962120000001|0|0.8434291340000001|-0.076575246|-0.096489393|0.356921662|0.015808432|-50.00086637|10.32233418|84.78576301|-0.037414255|-41.13938837|0.0|0.806299097|-32.64875738|-24.43015511|60.32320054|0.479900127|-1197.077601|-15.95200773|8.097008872|15.56818082|0.92270764|126.4796844|-781.648379|30.29912252|-400.0044646|9.585980094|1.0|1.0|0.0|1.0|4.62|0.14|17.0|-7.22|0.0|5.0|-5.93|30.0|4.0|-5.75|432.93|0.0|3.11|1.19e-06|3.61e-06|0.00156|4.49|0.0|2.61e-05|3.5242|-2035.373964|-2035.339603|351.81|246.2|0.43157|0.68497|0.1577|-0.14945|2.5397|-2035.203042|3.0033|16.0|7.8013|7.8013
19g_a38|0.0|0|3.229090845|0|1.297044182|0.0|-0.077355838|5.351858133|-0.117921811|2|0.0|-0.458841138|-0.006877664|-0.009881824|10.96052467|1|-0.250781298|-0.438254637|1|0.836170906|-0.076414544|0.892249657|0.632625562|0|0.7200062690000001|-0.086314802|-0.114243258|0.5322242429999999|0.022953686|-54.62049927|14.52522351|137.56612280000002|-0.038842708|-45.74791999|18.41027014|0.719941993|-34.56416368|-24.57988703|69.14572278|0.455443492|-1228.994351|-15.5542928|6.327835378|11.62016299|0.836356715|177.2223055|-777.7146399000001|34.14148263|-278.3610963|14.48726605|1.0|1.0|1.0|3.0|4.82|0.14|17.0|-7.12|0.0|5.0|-4.25|31.0|5.0|-6.81|419.43|0.0|2.97|5.68e-05|4.67e-05|0.0196|2.88|0.0|3.19e-05|3.6887|-1431.419426|-1431.386981|336.12|234.97|0.3937|0.69982|0.0962|-0.15269|5.0677|-1431.244906|6.1765|42.0|7.3778|7.3778
30_a47|0.0|1|0.0|1|1.304327883|1.435022468|-0.069449687|4.727387819|-0.184735553|2|1.192095911|-0.415191425|-0.0098410169999999|-0.008774855|10.95005723|1|-0.079370393|-0.4370608039999999|2|0.8485444809999999|0.074217097|0.913855507|0.651797437|1|0.67896733|-0.108232368|-0.107296835|0.384732322|0.022747897|-64.94243028|13.64937081|350.5257774|-0.0383202979999999|-38.63044093|76.90733636|0.679447569|-38.96726396|-22.9932445|78.59180109|0.4680850139999999|-965.7162688|-13.79658605|6.886726437999999|12.94704346|0.879999675|192.3403721|-579.456614|33.84108731|-215.3470619|16.87442216|1.0|1.0|1.0|2.0|3.03|0.05|21.0|-7.24|0.0|5.0|-4.22|28.0|5.0|-6.95|396.81|0.0|2.61|6.05e-05|7.94e-05|0.0315|2.5|0.0|2.28e-05|3.7159|-1696.12008|-1696.078047|333.66|333.66|0.6944899999999999|0.6944899999999999|0.3566|-0.1517|2.7493|-1695.9887|3.6487|13.0|7.9|7.9
9_a10|0.0|0|0.0|1|1.377786667|1.998759814|-0.096384071|5.4161004020000005|-0.032199235|2|1.754798254|-0.285441469|0.007316125|-0.1189611519999999|10.92721632|1|-0.239634564|-0.362724972|2|0.791322552|-0.169389445|0.837889476|0.692424727|1|0.8694452140000001|-0.057690053|-0.084348428|0.6816795959999999|0.013842683|-40.90513782|9.815155744|86.66800495|-0.028592687|-42.40634438|59.95939417|0.73129178|-29.00379197|-20.27364785|50.72029356|0.45291714|-1196.145223|-14.37503199|8.765421221|16.02210901|0.827876677|190.5275895|-848.1268877|27.72306267|-327.9949188|11.26962754|1.0|1.0|1.0|1.0|4.0|0.23|21.0|-7.93|0.0|7.0|-4.23|33.0|5.0|-6.87|438.52|0.0|3.07|5.920000000000001e-05|3.64e-05|16.0|2.97|0.0|5.14e-06|3.7309|-1410.041793|-1410.005954|332.32|222.72|0.2242|0.68962|0.0041|-0.15045|2.9927|-1409.764013|4942.0|193.0|6.7144|6.7144
8_a15|0.0|0|0.0|0|1.419941362|0.0|-0.208657545|0.0|-0.044406425|1|0.0|-0.5025236129999999|1.7800000000000002e-05|-0.010146469|10.95880707|0|-0.295062413|-0.342749125|1|0.7059441040000001|-0.025923166|0.742680335|0.8105478740000001|0|0.853896482|-0.071552706|-0.118293578|0.381651497|0.0336657729999999|-41.7821007|19.65860939|104.8781037|-0.028969856|-40.33569847|55.99586988|0.519427411|-24.39801408|-16.91650111|61.44071008|0.389723411|-828.9085544|-9.878130237|6.093505548|9.984825987|0.638601279|280.62296039999995|-484.0283816000001|32.56759415|-22.68867482|20.72712321|1.0|0.0|1.0|1.0|3.14|0.19|18.0|-7.57|0.0|7.0|-5.25|27.0|5.0|-5.52|366.41|0.0|3.76|5.63e-06|1.53e-05|0.00562|4.24|0.0|9.86e-06|3.7426|-1223.704913|-1223.687714|331.28|279.58|0.5128|0.70524|0.0155|-0.1558|1.1415|-1223.523393|1.4589|108.0|6.9666|6.9666
1g_a5|0.0|0|2.942391606|0|1.4275159730000002|0.0|-0.203595168|4.59511985|-0.010620031|2|0.0|-0.172437603|0.00683534|-0.132678208|10.94875199|1|-0.0178558139999999|-0.242737126|2|0.7778380309999999|-0.067172264|0.8393686990000001|0.717355058|0|0.8659209659999999|-0.070108797|-0.074361785|0.39389953|0.020418692|-37.59983870000001|10.9506874|74.51397212|-0.027205531|-21.388323|0.589719781|0.61393343|-20.16505667|-14.59051668|48.55052611|0.4713154089999999|-598.211184|-7.824996219|7.312498266|13.83149499|0.891486942|207.0502037|-320.82484500000004|23.76563316|-122.2065919|14.46845291|1.0|1.0|1.0|1.0|2.79|0.05|23.0|-8.14|0.0|4.0|-4.03|25.0|4.0|-6.15|328.37|0.0|3.09|9.27e-05|6.29e-05|0.0206|3.03|0.0|2.36e-06|4.1733|-1065.846194|-1065.818889|297.09|259.26|0.4386899999999999|0.66164|0.0504|-0.17042|3.4883|-1065.727193|5.2707|115.0|6.9393|6.9393
