molecula|SddssS|NaaNH|n9FaRing|SaaNH|SRW09|nAHRing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|MATS1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|GATS1pe|nFaHRing|FPSA3|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|FNSA2|WNSA3|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
18_a34|0.0|0|0|0.0|7.423568444|1|1.801574074|-0.063113846|-0.014733513|5.351858133|-0.101546926|1|-0.100548575|0.0|-0.001615187|-0.141332289|10.9595763|-0.136990511|1|0.002183342|-0.3102088839999999|-0.493450778|1|0.759292258|0.0468829359999999|-0.224951558|0.713979177|0|0.040845819|-49.86847383|-71.65163761|66.6880793|0.31018528|-0.0422555509999999|-39.55742812|-1.816988713|-27.53138148|-23.32844015|0.441058733|380.8328339|-1003.122927|0.304150055|6.282442545|0.789096743|5296.289007|167.9151283|-553.8039936|33.52510165|0.027385869|-216.2496321|1441.579371|428.6241319|15.11918774|1.0|0.0|1.0|0.21|-5.65|3.13|3.15|75.47|1.49|1.0|0.0|2.0|5.0|-4.32|6.0|-6.26|0.0|1.0|2.89|0.0167|3.07|0.0|2.22e-06|0.000781|-0.03925|4.4335|5.07|592.04|300.68|0.3525|279.66|483.87|0.60488|-1199.101028|-0.17549|5.0935|-1199.158044|6.7806|2.43|5.6144|5.6144
2_a49|0.0|0|0|0.0|7.535296702|1|2.12788659|-0.084499704|-0.004112807|5.4161004020000005|-0.03981057|2|-0.100166139|1.999073077|0.004524556|-0.041202373|10.92973199|0.005918367|1|0.004580676|0.032521855|-0.320124905|2|0.802447754|0.084099874|0.00991453|0.7701578720000001|1|0.01105681|-44.066695|-40.34672657|226.4450566|0.18651986|-0.028277173|-20.55997527|-1.187641272|-22.45560511|-14.409545199999998|0.454163307|414.5350312|-605.2008985|0.284594011|5.667936413|0.8320497920000001|4874.364109|145.02405359999997|-308.399629|20.14177325|0.017498253|-219.534132|845.9544764000001|439.9973344|8.91679918|0.0|1.0|1.0|0.15|-6.82|3.28|3.7|69.62|1.88|0.0|0.0|1.0|2.0|-3.53|3.0|-6.57|0.0|1.0|2.76|0.0955|2.43|0.0|1.51e-07|4.94e-05|-0.04372|5.4614|1.79|553.52|331.24|0.2988|227.02|371.96|0.68172|-1045.810794|-0.1555099999999999|4.8986|-1045.8595810000002|6.7117|59.0|7.2291|7.2291
17c_a50|0.0|0|1|0.0|7.934155233999999|2|4.349159921|-0.212075666|-0.002676029|5.82008293|0.024219848|2|0.021572081|2.193763306|0.01130519|-0.144763835|10.94500663|-0.120904775|2|0.012222674|-0.233451925|-0.2256811219999999|1|0.762883243|-0.139943634|-0.212611846|0.728169863|1|0.021675174|-35.70979598|-50.69922125|133.46240020000002|0.10280106|-0.021745577|-34.87982686|-1.32648017|-24.567468100000003|-14.96042594|0.49503436|617.2509739|-912.5859825|0.430249571|8.310163601000001|0.98033276|6438.380804|296.00120400000003|-627.8368834|26.25785813|0.0232952879999999|-95.97318605|1601.729346|849.1345426000001|16.02658985|0.0|1.0|1.0|0.35|-6.79|3.59|3.53|61.0|1.91|1.0|0.0|1.0|6.0|-3.8|5.0|-6.96|0.0|0.0|3.1|0.0698|2.86|0.0|1.6100000000000005e-07|7.08e-05|-0.03121|4.2397|2.74|746.5|306.65|0.1814|292.44|596.23|0.66213|-1410.838844|-0.16697|6.3989|-1410.902767|8.5146|69.0|7.1612|7.1612
12ar_a36|0.0|1|0|3.46014932|7.412764017000001|2|0.0|-0.064363806|-0.007046017|5.351858133|0.000258844|2|0.083451772|0.0|0.000939229|-0.1073795209999999|10.95407427|-0.036002609|1|0.002112069|-0.096853381|-0.4194638229999999|1|0.86559137|-0.017348015|-0.064014394|0.8196353679999999|0|0.022389124|-54.80317647|-66.9989409|86.85924228|0.163457134|-0.0347392029999999|-45.46486105|-1.875916952|-37.18892821|-23.57370143|0.4743067589999999|567.6702443|-1272.979877|0.294408813|8.770514183|0.902250063|6155.432771|199.7830951|-863.83236|33.4098581|0.0223636779999999|-279.0245523|1804.132337|708.5476357999999|15.17578458|1.0|1.0|0.0|0.17|-7.05|3.14|1.95|92.99|1.59|1.0|0.0|1.0|6.0|-3.92|5.0|-7.21|0.0|0.0|1.8|0.0503|2.33|0.0|8.95e-08|3.76e-05|-0.0566|5225.0|3.23|717.19|322.13|0.5586|237.29|580.53|0.67174|-1364.235126|-0.15631|6.4688|-1364.2977050000002|8.7322|25.0|7.6021|7.6021
8_a10|0.0|0|0|0.0|7.535296702|1|2.071128354|-0.075368755|-0.00560152|5.4161004020000005|-0.012055162|2|-0.000315856|1.546251312|0.0087730469999999|-0.15615298|10.92578782|-0.106100115|1|0.009056935|-0.082893697|-0.368590322|2|0.6357042860000001|-0.015871527|-0.167376069|0.616731847|1|0.015758182|-32.63117642|-47.16908772|32.98071169999999|0.125156018|-0.029917593|-25.80127401|-1.465962037|-17.849103399999997|-16.36478554|0.431797417|478.5356341|-801.8744912000001|0.277350551|6.112185271|0.7599356820000001|6289.86818|151.7094758|-438.6216583|22.64553798|0.017582236|-243.5764486|1109.631361|583.7217118|9.617402178|0.0|1.0|1.0|0.22|-7.6|4.46|4.2|69.9|2.46|1.0|0.0|1.0|4.0|-4.52|5.0|-6.25|0.0|1.0|3.55|0.0117|3.37|0.0|2.49e-08|9.59e-06|-0.0623299999999999|4.6964|4.58|594.63|336.55|0.1596|264.0|416.69|0.68815|-1257.59269|-0.15556|1.2052|-1257.648047|1.5482|526.0|6279.0|6279.0
16_a20|0.0|1|0|3.485659565|6.842683282|0|0.0|-0.014660441|-0.004705049|4.727387819|0.00695144|2|0.126359252|2.013871268|8.23e-05|-0.061975089|10.93301779|-0.062750442|1|0.001157852|-0.070208458|-0.458484451|2|0.7582110409999999|-0.085041518|-0.10978034|0.724665638|1|0.011604018|-43.51359744|-51.18223058|69.28224942|0.084994428|-0.029561375|-33.67420774|-1.47806874|-28.6288015|-19.44924762|0.464473378|602.0075202|-972.4623811|0.219891897|8.166385503999999|0.8673208|5896.394536|144.672972|-639.8099471|24.9314775|0.013439632|-368.5817657|1246.573875|664.4562602999999|8.84230625|0.0|1.0|1.0|0.08|-10.52|6.38|5.46|78.25|2.2|2.0|0.0|0.0|4.0|-6.06|4.0|-5.42|0.0|1.0|4.37|0.000349|4.69|0.0|3.0500000000000005e-11|1.22e-08|-0.05909|5.9837|4.45|686.59|347.26|0.3431|207.2|554.41|0.69524|-1275.636924|-0.1481299999999999|4.7315|-1275.6960869999998|6.5609|26.0|7585.0|7585.0
18b_a30|0.0|0|0|0.0|7.412764017000001|2|0.0|0.036563014|-0.006947027|5.351858133|0.0075638519999999|2|-0.039831247|0.0|0.003099827|0.016709918|10.31163838|-0.051413084|1|0.0036417359999999|-0.049287858|-0.45633339|1|0.80330079|0.022695194|-0.089945913|0.760234689|0|0.019880184|-52.09100293|-63.07862164|77.65678625|0.130659636|-0.036237883|-41.72392601|-1.811894154|-34.45606603|-23.96987622|0.424912258|575.0330633|-1198.493811|0.240284312|7.513189589|0.7388650920000001|6387.715069|158.9382363|-792.7545943|31.55111394|0.0184861069999999|-343.5825913|1577.555697|666.0036144999999|12.22780277|1.0|1.0|0.0|0.13|-6.7|3.87|2.49|105.44|2.17|2.0|0.0|1.0|5.0|-5.49|5.0|-6.33|0.0|0.0|2.42|0.00137|3.59|0.0|2e-07|8.47e-05|-0.06142|3.5256|3.64|697.37|351.66|0.3576|351.66|563.55|0.67715|-1667.788575|-0.14385|4.8198|-1667.849173|6.5037|25.0|7.6003|7.6003
20a_a10|0.0|0|0|0.0|7.535296702|1|2.113798134|-0.0774974029999999|-0.0034618129999999|5.4161004020000005|0.049376168|2|-0.035536682|1.896409603|0.008214031|-0.010695558|10.9296614|0.011011878|1|0.008297595|-0.049146504|-0.281099208|2|0.661219642|0.036092601|0.019448804|0.63495222|1|0.013618456|-43.19189039|-47.37850712|66.52185003|0.086318664|-0.028008251|-30.82502228|-1.456429076|-28.10115947|-18.22250274|0.452402751|594.4519837|-947.5701424|0.266548108|8.419180593|0.826159649|6729.996773999999|173.41938059999998|-616.5004457|24.84485067|0.016540298|-303.7731758|1291.932235|719.5272609|10.76131538|1.0|1.0|1.0|0.11|-9.44|5.06|5.77|76.62|2.53|2.0|0.0|1.0|4.0|-5.68|5.0|-5.82|0.0|1.0|4.27|0.000888|4.36|0.0|3.61e-10|1.55e-07|-0.06611|4.7841|3.98|696.63|323.62|0.2738|259.16|524.02|0.6864600000000001|-1388.897416|-0.1613099999999999|2.9429|-1388.957848|3.2116|1.2|5.9208|5.9208
3l_a32|0.0|1|1|3.672194822|7.773594467000001|0|0.0|-0.003342759|-0.0054004|5.733341277|0.0043645509999999|0|-0.039331295|2.259257465|0.0016954029999999|-0.09393062|10.31100268|-0.107818594|3|0.002942329|-0.04980249|-0.524711546|0|0.820540279|-0.136589369|-0.184582641|0.776480242|1|0.012244965|-40.30321333|-51.41835077|61.72183119|0.114441512|-0.028831823|-29.90181954|-1.326263838|-23.43792428|-16.76685351|0.453630671|514.9875423000001|-771.2752615|0.211763281|6.414825717|0.8302637909999999|5429.531532999999|123.148785|-448.5272931|21.27134288|0.011493763|-335.2422712|978.4817724|565.7000781|6.6840809960000005|1.0|1.0|1.0|0.35|-7.5|7.34|6.17|110.94|2.64|2.0|0.0|1.0|3.0|-7.6|3.0|-4.71|1.0|1.0|5.04|9.59e-06|5.51|0.0|3.16e-08|1.2e-05|-0.0529799999999999|3.5319|4.21|629.26|351.04|0.2876|351.04|468.81|0.70282|-1789.242839|-0.14664|3.3955|-1789.298086|5.7721|12.0|7.9208|7.9208
12a_a36|0.0|1|0|3.4715209280000003|7.412764017000001|2|0.0|-0.0632801509999999|-0.007471648|5.351858133|-0.0427777779999999|2|0.078063311|0.0|0.002039107|-0.070252245|10.96083376|-0.065913514|1|0.003199301|-0.1063550619999999|-0.432975237|1|0.907322874|-0.012112722|-0.119322074|0.855821486|0|0.019595485|-46.76212019|-64.36949846|109.9069212|0.179315373|-0.037738352|-39.52572284|-1.886917597|-28.71401279|-23.17301945|0.470444928|503.9367075|-1158.650972|0.244684566|6.600635115|0.888377722|5710.355735|150.24716030000002|-711.4630111|30.67992313|0.019102103|-313.5499672|1533.996157|598.1535763999999|11.72953701|1.0|1.0|0.0|0.14|-6.59|2.72|1.88|69.2|2.02|1.0|0.0|1.0|5.0|-3.79|4.0|-6.72|0.0|0.0|1.86|0.0625|2.68|0.0|2.56e-07|9.78e-05|-0.04946|3.8343|3.16|653.94|338.0|0.4435|323.35|481.98|0.6997|-1232.707754|-0.1519299999999999|6.3637|-1232.764108|8.5603|13.0|7.8861|7.8861
