molecula|NaaNH|n9FaHRing|SaaNH|SRW09|nAHRing|MATS2c|n6HRing|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|MATS1i|n6aHRing|BIC2|MATS8s|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|DPSA5|DPSA3|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Leadlikeness|Brenk|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
12g_a40|0|0|0.0|7.515889085|0|0.037440516|0|0.726175674|-0.354104815|0.075327376|10.31197254|-0.211162861|2|-0.003205145|0.280045216|0.063401514|0|0.769016155|0.020185301|-0.326139923|1|0.8702014570000001|-0.0951493559999999|-0.099521372|0.289122732|-49.94706785|-52.24208444|-0.0435406|-27.42361099|3.501413627|0.0|-1.393299206|-26.21888031|59.29860462|56.61727428|2287.970776|-731.3891821000001|681.6778419|0.147968773|7.692740528|14.39849078|0.871698484|77.67373972|-383.9305539|-369.5858437|858.4065454|335.7078145|7.056520179|1.0|0.0|1.0|0.0|0.0|1.0|3.2|0.0|20.0|2.0|0.0|2.0|-6.46|23.0|3.0|362.23|0.0|1.0|-5.79|3.43e-07|0.000124|0.000586|5.07|0.0|8.57e-05|-0.07424|4.0224|3.1577|-2173.044757|-2173.0224510000003|540.25|896.63|392.64|0.3539|429.31|0.67055|0.6988|-2172.9382|0.2682|-0.13191|1.9175|-0.20615|2.7075|724.0|6.1403
19_a3|1|0|2.917217813|6.605297921|0|-0.206312209|3|1.744747103|-0.129865138|0.156485495|10.96959256|0.036226415|1|0.006731579|-0.015805561|-0.037291767|3|0.758995484|-0.0150769919999999|0.064690027|1|0.853017902|-0.067674689|-0.087730634|0.225451546|-31.50932639|-40.8473715|-0.032585664|-19.01853079|2.523394126|0.0|-1.140498238|-14.67073822|48.55416845|36.92898885|2000.66399|-531.0158295|869.7868956|0.24201815|5.342307798999999|10.21110415|0.911365749|112.6836188|-247.2409002|-240.2326308|700.5653624|314.0966684|7.706796952|1.0|1.0|0.0|1.0|1.0|1.0|1.6|0.06|21.0|0.0|0.0|2.0|-3.24|22.0|4.0|287.32|1.0|1.0|-3.58|0.000578|166.0|0.0764|2.19|0.0|1.7800000000000002e-05|-0.05757|3945.0|3945.0|-929.2818523|-929.2608626|499.93|832.23|314.28|0.3006|362.92|0.67351|0.67351|-929.14689|0.3006|-0.16303|2191.0|-0.2206|2.8758|23.0|7.6383
12az_a36|1|0|3.465535084|7.412764017000001|2|-0.196183836|2|0.0|-0.593399474|-0.024018255|10.95957115|-0.012800556|1|0.002872872|0.129156742|-0.176729938|1|0.812921349|-0.061924322|-0.021825174|0|0.819163613|-0.071762413|-0.10786263|0.411597359|-50.28669997|-75.58351856|-0.033474609|-52.96429617|17.0740303|8.104966044|-1.941527339|-35.23783652|99.82512582|74.65245915|3039.528467|-1360.503334|2455.7577530000003|0.416134994|8.449849817|15.73229538|0.861843195|291.60189260000004|-953.3573311|-117.53490990000002|2330.167624|766.4854363|24.24160725|1.0|0.0|0.0|1.0|1.0|2.0|0.0|0.21|17.0|1.0|0.0|7.0|-4.11|33.0|6.0|441.49|0.0|0.0|-4.15|7.75e-05|0.0342|0.0315|2.62|0.0|7.11e-05|-0.04967|3.8863|3.6095|-1461.990465|-1461.962459|737.12|1252.18|343.5|0.4383|576.54|0.69385|0.70333|-1461.686269|0.0146|-0.14879|6.3778|-0.19846|7.821000000000001|58.0|7.2366
38_a18|0|0|0.0|7.03438793|2|0.059724697|1|0.0|-0.448742607|-0.020056674|10.94702086|-0.003893067|0|0.001602741|-0.0993372269999999|-0.074661643|0|0.719168079|-0.03302891|-0.007310849|0|0.8310704529999999|-0.076974444|-0.082256123|0.423402315|-61.25359673|-65.45657441|-0.0322355079999999|-52.08807522|5.3122971560000005|74.46052717|-2.385427574|-48.74349112|71.15832778|67.92930461|3162.36475|-1898.240658|1855.157022|0.119072105|10.98254153|20.5922319|0.874996952|94.75345803|-1510.554181|-606.2584549|2154.819559|1228.492038|5.701753365|1.0|1.0|0.0|1.0|1.0|3.0|0.0|0.34|18.0|3.0|1.0|10.0|-6.98|38.0|3.0|508.65|0.0|1.0|-6.11|1.05e-07|5.36e-05|0.000399|5.43|0.0|2.38e-08|-0.0483699999999999|3.2241|3.2241|-1611.630281|-1611.60375|861.93|1515.64|384.55|0.5147|734.93|0.69235|0.69235|-1611.133158|0.5147|-0.13229|1.9877|-0.18066|2.7244|91.0|7041.0
13_a1|1|0|3.409865599|7.423568444|1|-0.046530797|1|0.0|-0.597786194|-0.0594321759999999|10.94989555|-0.084271845|1|-0.005924486|0.1769162319999999|-0.07665159|1|0.76714213|-0.051729721|-0.150485437|0|0.6794604670000001|-0.111667908|-0.10668313|0.207843387|-64.94184903|-62.04288975|-0.040302516|-36.08180773|11.41059871|528.3795274|-1.813613202|-37.76773325|77.55889436|84.56244352|2555.623166|-1054.729126|1786.445642|0.291737016|7.493979856|14.33466671|0.912824292|169.6632599|-613.3907313999999|-242.2358135|1489.177255|505.2124255|15.51600461|1.0|1.0|1.0|1.0|1.0|2.0|2.83|0.09|23.0|1.0|0.0|4.0|-4.29|28.0|5.0|371.39|0.0|1.0|-4.34|5.16e-05|0.0192|17.0|2.94|0.0|4.24e-06|-0.04962|4.0783|3.4483|-1238.395767|-1238.367298|613.52|1035.04|359.55|0.5339|472.52|0.65363|0.69782|-1238.174491|0.3535|-0.13921|2.7595|-0.18883|3.9446|0.26|6585.0
18c_a30|0|0|0.0|7.412764017000001|2|0.12157783|2|0.0|-0.625122815|0.0119521719999999|10.31163825|-0.0351777|1|-0.002215642|0.0211588229999999|0.003429114|1|0.8303425640000001|0.034468997|-0.058608635|0|0.717052026|-0.105618255|-0.1115683|0.42531141|-71.31647561|-75.33411705|-0.042101245|-50.86775696|8.826997739|103.215593|-2.2313660090000003|-48.15493021|87.76550537|84.38908035|3002.59061|-1506.682341|3094.729399|0.214007997|7.646050338999999|13.8741593|0.81455244|144.5043388|-1017.355139|-386.2200097|1916.918155|713.7769663|12.43138832|1.0|0.0|0.0|1.0|0.0|2.0|0.0|0.13|17.0|1.0|0.0|6.0|-5.01|32.0|5.0|441.51|0.0|0.0|-4.3|9.68e-06|0.00427|0.0221|2.74|0.0|0.000288|-0.05575|3.4848|3.4848|-1744.500825|-1744.455795|711.56|1209.11|355.78|0.3879|543.46|0.69123|0.69123|-1744.2261030000002|0.3879|-0.14225|6.6462|-198.0|8.64|12.0|7.9208
1_a15|0|0|0.0|0.0|0|-0.22215316|2|0.0|-0.541427319|-0.068297833|10.95880609|-0.000905902|0|0.003816011|0.096086011|-0.1816819589999999|2|0.705825714|0.101406325|-0.001544849|0|0.875723465|-0.068077117|-0.1117462069999999|0.7100707390000001|-44.01415991|-72.24770503|-0.031142386|-46.71058649|10.95802135|63.14412039|-1.899685524|-28.45664402|90.40184737|60.96303497|3000.975833|-1228.210985|2855.495631|0.394072483|6.580146251|11.7078005|0.77926144|254.7811976|-794.0799704|-136.9714493|2026.993248|851.7423982|18.15414234|1.0|1.0|1.0|1.0|1.0|1.0|4.18|0.19|24.0|3.0|0.0|8.0|-6.55|34.0|6.0|457.52|0.0|0.0|-5.97|2.830000000000001e-07|0.00013|0.000495|5.23|0.0|4.36e-08|-0.04142|4.3834|3.2188|-1510.136281|-1510.117336|697.35|1271.06|385.18|0.2464|598.34|0.64662|0.70553|-1509.785098|0.0061|-0.1365|1.2218|-0.17792|2.3261|44.0|7.3565
13c_a5|1|0|2.944180713|6.605297921|1|-0.2071929139999999|3|0.0|-0.284610951|-0.098760742|10.94530327|-0.018055556|1|0.006110714|-0.017427549|-0.092592608|2|0.770478689|0.003545487|-0.033833834|0|0.80019672|-0.077308234|-0.076591149|0.4148662979999999|-50.97293525|-50.50012762|-0.025039414|-33.29709668|10.06137448|51.93687546|-1.302049531|-33.60884086|70.46156718|66.23254483|2793.480751|-858.5021696|1235.709541|0.448671765|8.492261628|15.90846721|0.873289814|295.8302846|-566.0506435|-67.68621352|1557.152554|656.208474|19.96143955|0.0|1.0|1.0|1.0|1.0|1.0|2.58|0.17|23.0|1.0|0.0|5.0|-3.55|31.0|5.0|411.46|0.0|1.0|-3.96|0.0002839999999999|0.1169999999999999|0.0446|2.15|0.0|3.36e-06|-0.05615|4706.0|4.2145|-1351.274441|-1351.2369640000002|676.53|1153.36|294.18|509.0|513.33|0.41594|0.51479|-1351.008469|0.1666|-0.17324|2.3276|-0.22939|2.9732|123.0|6.9101
21_a12|0|0|0.0|6.605297921|1|0.04375233|3|0.0|-0.362168355|-0.01367083|10.31140747|-0.0546514309999999|1|-0.001825446|-0.388196876|-0.116098308|2|0.835359152|-0.061915124|-0.099516604|0|0.84827776|-0.068775342|-0.100098765|0.192026642|-34.60932333|-50.37198585|-0.036878492|-25.34833425|3.097071518|0.0|-1.401382713|-17.416202300000002|59.10840872|40.76379649|2185.835701|-705.2078018999999|1080.052791|0.229181643|5.891343219|11.18947411|0.8993077970000001|115.3294396|-354.8766794|-272.5639702|914.8819508|380.2468615|8.736422872|1.0|1.0|1.0|0.0|1.0|1.0|2.81|0.12|17.0|0.0|0.0|3.0|-3.82|23.0|4.0|319.38|0.0|1.0|-3.76|0.00015|48.0|0.0551|2.53|0.0|5.3200000000000006e-05|-0.0546899999999999|4.6851|3.9971|-1327.479547|-1327.451966|539.67|893.17|310.18|0.3665|397.31|0.59386|0.57644|-1327.347724|0.1668|-0.16784|2327.0|-0.22253|3.2551|22.0|7.6576
18_a10|0|0|0.0|7.78113851|2|-0.182332901|2|2.026949641|-0.1859075939999999|-0.052165302|10.92966688|-0.0280813039999999|1|0.010573165|-0.144233311|-0.091730492|2|0.785539083|0.048377088|-0.0507442929999999|1|0.885552955|-0.0575419659999999|-0.076052353|0.656664457|-36.52271591|-48.27152552|-0.024889861|-30.63863373|7.692822451|123.3621791|-1.368942347|-23.18149476|61.38857307|48.64284759|2788.499133|-868.8874593|2137.914113|0.358384456|7.204851347999999|13.51828833|0.876275815|227.471785|-551.4954071000001|-179.7708584|1354.218219|713.2632062000001|13.11704755|0.0|1.0|1.0|1.0|1.0|0.0|3.41|0.32|21.0|1.0|0.0|5.0|-4.48|31.0|5.0|412.48|1.0|1.0|-4.77|3.34e-05|0.0138|0.00705|3.49|0.0|5.44e-06|-0.0495699999999999|5.7687|3.7977|-1336.433782|-1336.404041|687.19|1181.5|326.47|0.2962|504.61|0.37729|0.6866300000000001|-1336.126835|0.1637|-0.15735|4.7596|-0.20692|5.9029|0.13|6.8861
