molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|AATSC8d|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|FNSA4|WPSA3|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|GRAV|PPSA1|WNSA2|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
16_a4|0.0|0|0|0.0|0.0|1|1|1|1.398650725|-0.219944434|-0.00228637|5.4161004020000005|-0.095499301|0.04501634|0.0|-0.089168424|0.0067511459999999|0.019290123|0.020218035|-0.018051608|-0.0513920109999999|-0.214481956|1|0.490768328|0.774455255|-0.0894138519999999|0.0293772029999999|0.8366279120000001|0|-0.080093659|0.292255386|0.013727656|-36.11951685|-39.44800181|6.761192037000001|13.51923899|-0.033372358|3.330045338|0.832461695|45.11883447|-16.43666742|42.88070889|0.455802506|2101.6948030000003|389.0176968|-591.7200271|1522.164774|5.548106463|4520.2597670000005|82.51653675|-291.4359638|-327.4903335|710.807513|5.67083266|1.0|0.0|0.0|1.0|0.0|3.08|0.11|-6.36|4.49|4.96|30.71|3.44|1.0|0.0|85.02|0.0|-3.92|23.0|4.0|-5.64|309.31|1.0|3.91|-4.43|3.68e-05|0.0114|3.59|0.000134|-0.03965|4.05|-1057.494456|515.68|0.2213|407.99|0.51149|0.54061|-1057.3808390000002|1863.0|-0.2134|-1057.429593|1.9873|6.4647|6.4647
14s_a23|0.0|0|1|0.0|0.0|2|0|0|1.197958333|0.020458621|-0.005854379|5.351858133|-0.022580082|0.045277778|0.740898446|-0.298573309|0.010682694|-0.064006338|0.0909774219999999|-0.071484865|-0.13187015|-0.457212212|2|0.722187957|0.7837821840000001|0.096014944|-0.1050445769999999|0.846632079|1|-0.080500435|0.2387634619999999|0.019970955|-35.30692476|-51.64162341|12.81151517|30.34480575|-0.034255504|8.218681552|0.7748161659999999|62.75905983|-21.9751589|48.11843993|0.470919749|2954.0751370000003|595.0854952000001|-1032.832468|2316.634024|7.548546899|6938.271179|144.457092|-662.5696522999999|-352.5931977|1333.003252|11.11743642|0.0|0.0|1.0|0.0|1.0|3.66|0.05|-7.99|4.0|4.67|105.02|3.51|2.0|1.0|125.29|0.0|-6.13|31.0|4.0|-6.03|445.93|0.0|4.01|-5.55|2.83e-06|0.00126|4.21|4.55e-06|-0.07783|4.1|-2089.521231|668.66|0.3669|528.82|0.60323|0.60323|-2089.2914530000003|4.7032|-0.22933|-2089.352478|6.4428|8.5482|8.5482
8g_a12|0.0|1|1|2.897921027|0.0|0|1|1|1.28383574|0.10205033|-0.0084227909999999|4.59511985|-0.029907264|0.038347953|1.714060666|-0.40429396|0.005898773|-0.040257632|-0.068810076|0.068559367|0.122649613|-0.532504083|1|0.804158158|0.7475224290000001|-0.04981165|-0.070405398|0.80546986|1|-0.1045061519999999|0.274352085|0.008910823|-42.39297373|-57.6443411|4.915102972|84.95000993|-0.042752517|2.7111119089999995|0.90166696|61.99654413|-23.58177591|47.30807670000001|0.463772637|2506.427441|473.055878|-1037.59814|1356.883205|6.882798206|5327.736626|54.23932676|-572.326702|-443.109365|1150.7554189999998|4.352203029|0.0|1.0|1.0|1.0|2.0|2.51|0.1|-8.0|3.31|2.07|78.85|2.89|1.0|0.0|109.93|0.0|-4.38|27.0|5.0|-6.28|353.38|0.0|2.77|-4.34|4.61e-05|0.0163|3.06|3.53e-06|-0.06432|3.68|-1154.321531|590.93|0.3786|418.41|462.0|0.55027|-1154.121362|2.9986|-0.21633|-1154.173831|4.2131|5.43|5.43
3c_a32|0.0|1|1|3.452148526|0.0|0|0|0|0.6094207970000001|0.025890116|-0.006923974|5.733341277|-0.048337951|0.043817204|2.224112182|-0.270034997|-0.00017094|-0.01180891|-0.097512832|-0.0779821129999999|-0.145525719|-0.5427297289999999|0|0.831186295|0.839409251|-0.003205869|-0.019130435|0.901864778|1|-0.0943910459999999|0.216289509|0.015118975|-34.91603827|-48.52416391|7.772301225|59.72163595|-0.0288417079999999|3.995552912|0.693952122|57.94025396|-14.82682786|42.68833949|0.423167668|2152.627425|456.8935699|-533.7658031000001|1393.156794|5.605165488|4598.027604999999|157.331845|-274.3961469|-199.4122311|769.1680542|9.416090047|1.0|1.0|1.0|1.0|1.0|2.95|0.19|-6.89|6.61|4.68|110.94|1.7|1.0|0.0|93.05|0.0|-6.18|22.0|3.0|-5.35|326.44|1.0|4.02|-4.91|1.22e-05|0.00399|4.14|4.18e-05|-0.05487|3.02|-1633.443791|544.22|0.5017|425.74|0.7034600000000001|0.7034600000000001|-1633.297494|3123.0|-0.1970599999999999|-1633.348356|5.0659|8.0458|8.0458
1o_a5|0.0|1|0|2.923171926|0.0|0|0|0|1.427566509|-0.266637757|-0.002633927|4.59511985|0.033105871|0.025987654|0.0|-0.1079910069999999|0.0057302559999999|-0.008511304|-0.05876042|0.038275248|0.06759341|-0.231165601|2|0.670787375|0.78144982|-0.003561205|-0.016408975|0.85693939|0|-0.072886362|0.447318682|0.01325562|-42.63505279|-39.1638643|7.122612351|167.3051756|-0.028770932|3.827177229|0.699913551|50.11479279|-15.45942012|49.75766514|0.470590799|2238.291862|475.1609233|-587.4579645|833.537568|7.522366517000001|4572.818263|161.2447749|-315.657463|-214.8381946|839.3293197999999|10.95092849|1.0|1.0|1.0|1.0|1.0|2.2|0.0|-8.11|4.48|4.07|78.25|1.23|0.0|0.0|95.2|0.0|-4.08|25.0|4.0|-6.3|323.35|1.0|2.95|-4.08|8.340000000000001e-05|27.0|2.78|2.54e-06|-0.07037|2.66|-1043.577386|561.04|0.3966|443.88|0.4988899999999999|0.5492100000000001|-1043.422345|4.7435|-0.23973|-1043.472984|5.4919|7.4559|7.4559
28_a34|0.0|0|0|0.0|0.0|1|1|1|1.454781307|0.000561166|-0.016942875|5.351858133|-0.206909349|0.04515873|0.0|-0.6946578940000001|-0.012039484|-0.0500053959999999|-0.33032879|-0.189821204|-0.311884247|-0.5437894289999999|1|0.8318609690000001|0.798057295|0.092890802|-0.078146961|0.8582665429999999|0|-0.140864841|0.316156689|0.03768308|-66.89539627|-72.11491331|19.29162755|144.3404619|-0.048190604|9.876233397|0.7298701059999999|85.99382787|-24.6708914|86.18702382|0.454339954|2252.098123|279.4884473|-937.4938731|1689.357471|5.613534285|4803.256974|138.2913845|-479.9443839|-235.3612529|1284.466737|13.87891455|0.0|1.0|1.0|1.0|1.0|2.55|0.12|-4.78|1.99|2.07|92.26|0.88|0.0|0.0|85.92|0.0|-3.27|24.0|5.0|-7.04|322.32|1.0|1.84|-3.25|0.000565|182.0|1.72|0.00535|-0.03896|4.11|-1100.797628|544.24|0.2043|417.28|0.69263|0.69263|-1100.6525880000002|6.4596|-0.21698|-1100.704833|8.5886|5.4179|5.4179
1_a3|0.0|0|0|0.0|0.0|0|1|1|0.6195934120000001|0.079857077|-0.006053652|4.727387819|-0.073036903|0.034166667|2.194605012|-0.248199745|-0.006610844|0.032569462|-0.007705076|0.05038525|0.08803837|-0.486774367|2|1.005427002|0.7905285390000001|-0.126299711|0.057919092|0.8457792829999999|1|-0.0925710269999999|0.521474118|0.008036786|-45.44133321|-42.54530997|3.693677623|289.8942564|-0.034105115|1.697600903|0.7920857179999999|49.05980305|-15.67458788|49.13501083|0.4490711529999999|2012.9704|356.76228530000003|-595.6343396000001|1162.737831|4.984064981|4510.611026|95.55665364|-273.7513925|-268.4830832|751.9821735|6.514493077999999|1.0|1.0|0.0|1.0|1.0|0.0|0.18|-5.77|2.28|1.85|77.1|1.52|0.0|0.0|91.52|0.0|-3.07|22.0|4.0|-6.87|306.38|0.0|1.5|-3.3|0.000503|154.0|1.83|0.000518|-53.0|2.08|-1273.316428|496.09|0.1775|316.61|0.30619|0.68912|-1273.1763970000002|2.2332|-0.21886|-1273.22339|3.4319|6.1403|6.1403
18_a3|0.0|1|0|2.897754472|0.0|0|0|0|1.43179288|-0.256375952|-0.003487792|4.59511985|-0.021283637|0.034712644|1.742872103|-0.122072724|0.0057881999999999|-0.025890816|0.150826737|-0.035611069|-0.064953613|-0.2495754869999999|3|0.7226687409999999|0.714658751|0.0355413979999999|-0.051083228|0.784960175|1|-0.0846755|0.217881538|0.013796397|-31.07331853|-37.67445366|6.1383958|160.9514039|-0.031753312|2.73114076|0.682492203|48.19055867|-14.12792012|37.21171433|0.483376636|1938.093995|374.610053|-452.0934439|703.8534116000001|5.293627315|3928.183499|141.2679329|-201.1487809|-162.3915791|662.4155441|10.51610501|0.0|1.0|0.0|1.0|1.0|1.81|0.0|-6.83|3.42|3.08|67.35|0.93|0.0|0.0|80.35|0.0|-2.82|21.0|4.0|-6.7|273.29|1.0|2.21|-3.27|0.000537|147.0|1.79|4.07e-05|-0.05769|1.85|-889.9619321|482.41|0.3326|330.54|0.6671699999999999|0.6671699999999999|-889.850598|2.6366|-0.2218|-889.894728|3.3664|7.5229|7.5229
7_a47|0.0|0|0|0.0|0.0|0|0|0|1.304326965|0.00763426|-0.008206422|0.0|-0.143650735|0.04030303|1.303301032|-0.3939082339999999|-0.0091074509999999|-0.0781924059999999|-0.262805289|-0.021071408|-0.04311702|-0.46105149|2|0.6995252890000001|0.817389583|-0.04402021|-0.124285418|0.8755534909999999|1|-0.095957591|0.427432212|0.008915606|-45.82735481|-54.113260200000006|5.027768049|103.5602725|-0.036250645|2.8353037860000003|0.816979353|61.47335819|-20.44278719|50.85512286|0.405265781|2491.885862|477.8297898|-919.9254234|1968.695833|6.485224033|5958.904826|103.2106353|-518.7725468|-357.5076454|1126.008167|7.36009799|1.0|1.0|0.0|1.0|2.0|3.14|0.09|-9.45|5.63|6.52|58.04|3.69|2.0|0.0|111.28|0.0|-6.47|28.0|4.0|-4.8|393.84|1.0|4.89|-6.06|8.75e-07|0.000345|5.49|1.3900000000000001e-07|-0.05297|5.08|-1647.996662|604.84|0.2144|455.81|0.69314|0.69314|-1647.7863539999998|3406.0|-0.2073699999999999|-1647.841533|4.4255|7.6|7.6
22_a4|0.0|0|0|0.0|0.0|1|1|1|1.399866564|-0.043165663|-0.006436201|5.4161004020000005|-0.115883451|0.044357639|0.0|-0.257448045|0.004765062|-0.023072107|0.00771584|0.021636871|0.034720243|-0.3877007|1|0.774689758|0.7797803109999999|0.086940934|-0.037423832|0.8404413829999999|0|-0.089955967|0.242642229|0.010702353|-45.61565825|-43.23011833|5.1432274630000006|162.9809584|-0.036468635|2.47167963|0.8444670409999999|48.65880447|-17.52572365|50.75888571|0.4359219589999999|1950.173729|413.8681986|-648.451775|1477.437886|5.495481464|4074.564287|74.7444381|-311.62631919999995|-331.080892|767.88287|5.428686137000001|1.0|1.0|0.0|1.0|1.0|2.2|0.11|-5.24|3.19|3.54|50.94|2.09|0.0|0.0|87.12|0.0|-3.77|22.0|3.0|-5.91|289.33|1.0|2.81|-3.98|0.000104|0.0301|3.03|0.0016699999999999|-0.03046|3.38|-934.2706743999998|519.39|0.1675|400.29|628.0|0.65771|-934.12356|3.5548|-198.0|-934.171365|5.4110000000000005|7.3279|7.3279
