molecula|SddssS|n9FaHRing|NaasN|nARing|SaasN|MATS2c|SRW07|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|n6aHRing|GATS1are|BIC2|MATS8s|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|WNSA3|PNSA4|DPSA3|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
6a_a31|0.0|0|0|1|0.0|0.038376178|5.6869753560000005|0.0357275129999999|0.08881108|0.0|-0.779425376|-0.013930701|-0.0225412779999999|-0.026103465|2|2|0.1533239019999999|0.0006473469999999|0|0.848282918|0.784022685|-0.07385392|0.803505125|0|0.57216168|-0.132158278|-0.126430958|0.259133072|0.034212524|20.08876284|157.9971748|251.216265|-0.045153913|11.79563339|-45.56491046|-26.51328079|97.68889243|2713.694431|335.9594356|1671.917893|-15.56795422|0.307253701|7.516549303|14.408653400000002|5908.282843|180.411907|38.27271371|0.031153284|1607.453976|1.0|1.0|1.0|1.0|2.0|2.51|0.05|-6.96|3.69|131.36|1.13|0.0|104.73|0.0|1.0|4.0|28.0|5.0|390.42|1.0|6.09e-06|0.0178|2.8|0.0|1.11e-07|4.3200000000000007e-05|3.5428|4.03|-1613.34153|349.96|0.6404|349.96|447.66|0.70416|-1613.1416|0.6404|-0.19843|-1613.198178|11.2387|1.1|5.9586|5.9586
12u_a30|0.0|0|0|2|0.0|0.028039604|5.351858133|0.043383838|-0.091507428|0.0|-0.367578706|0.002431329|0.028815747|-0.0646674999999999|1|1|-0.15896471|-0.0493878409999999|1|0.8149999040000001|0.83236194|-0.055829439|0.711738503|0|0.84944095|-0.0773921259999999|-0.097867106|0.477056017|0.015562896|10.42404292|78.15130994|100.8445957|-0.03794847|6.982033926000001|-34.72068676|-25.41792137|62.26136323|3001.03926|568.9563615000001|2608.6452440000003|-17.02494806|0.189537132|7.804487592999999|14.01586754|7133.515802|126.9521524|31.36222814|0.014495402|1536.749179|1.0|0.0|1.0|1.0|1.0|0.0|0.14|-7.8|3.92|81.65|3.79|0.0|137.3|0.0|1.0|5.0|31.0|4.0|467.37|1.0|2.64e-07|0.0004269999999999|5.12|0.0|1.58e-08|7.39e-06|3.5003|5.08|-2494.962309|354.21|0.1502|354.21|559.16|0.6847|-2494.736802|0.1502|-0.20146|-2494.7995530000003|7.0553|34.0|7.4647|7.4647
12q_a36|0.0|0|0|2|0.0|-0.0543475329999999|5.351858133|0.042804233|0.068040097|0.0|-0.410984299|0.0005016269999999|-0.0651906459999999|-0.0433009009999999|1|1|0.1161527719999999|-0.103922055|1|0.8941919290000001|0.828371596|-0.017640538|0.8065052890000001|0|0.82911927|-0.07607684|-0.1060430969999999|0.324924033|0.018562763|12.00048565|82.68142965|110.4712541|-0.038175515|7.758093617|-31.79544084|-24.67976947|61.18276554|2786.514757|536.0103834|2380.245597|-15.95501778|0.231307611|7.546533709|14.69971555|6040.52496|149.536123|32.10617123|0.017949083|1605.308562|1.0|0.0|0.0|1.0|2.0|0.0|0.14|-7.18|2.54|69.2|2.51|0.0|128.76|0.0|1.0|5.0|30.0|4.0|415.88|1.0|3.64e-05|0.0106|3.31|0.0|6.65e-08|2.77e-05|5.2375|3.79|-1692.544456|320.77|0.4239|236.72|531.58|0.39919|-1692.3116350000005|0.3419|-0.2126199999999999|-1692.370918|6.4226|6.0|8.2218|8.2218
11_a1|0.0|0|0|1|0.0|0.033732316|5.351858133|0.035620155|0.08043435|0.0|-0.867849442|-0.0127744789999999|-0.05257082|-0.044235537|1|1|0.126722854|-0.07452948|1|0.823460272|0.747358374|-0.069193862|0.7846345840000001|0|0.5955245029999999|-0.131972845|-0.126108875|0.2027328789999999|0.034974992|20.62225192|274.39137789999995|238.4902806|-0.048723884|12.15946748|-45.88191258|-28.7289904|98.43720241|2697.640232|351.1382199|1885.148133|-16.93943154|0.248121855|7.43666407|14.2257294|5798.645137|146.29971719999998|38.20963621|0.02620284|1681.223993|1.0|1.0|1.0|1.0|2.0|2.31|0.05|-7.47|4.23|97.33|1.95|0.0|105.71|0.0|1.0|4.0|29.0|6.0|385.37|1.0|8.48e-06|0.00838|3.35|0.0|3.35e-08|1.29e-05|3.7383|5.26|-1312.462371|388.38|0.5573|331.66|471.76|0.68162|-1312.241032|0.3201|-0.19462|-1312.2963630000002|7.1743|0.17|6.7696|6.7696
8a_a31|0.0|0|0|1|0.0|-0.039027368|5.733341277|0.043817204|-0.1480271209999999|0.0|-0.586331322|-0.013230176|-0.135144546|-0.01861065|2|2|-0.258538098|-0.054025775|0|0.938325481|0.837862749|0.0502030679999999|0.883113019|0|0.594139864|-0.122293189|-0.136459435|0.272259026|0.0375544779999999|18.56711239|131.2406629|200.6591816|-0.0416959379999999|9.179668678|-29.89286568|-20.61467025|79.02944672|2128.209198|293.7455749|1443.955093|-10.19199103|0.333562641|5.83708559|10.63792161|4538.505909|164.9149565|30.93264504|0.030052065|1113.575221|0.0|1.0|0.0|1.0|2.0|2.05|0.2|-5.33|2.54|114.29|0.36|0.0|83.83|0.0|2.0|3.0|22.0|5.0|314.36|1.0|0.000269|243.0|1.56|0.0|4.62e-06|0.00145|3.8097|1.53|-1347.541429|325.45|0.2604|325.45|396.15|0.7027100000000001|-1347.3959220000002|0.2604|-0.18869|-1347.446223|5.3042|0.79|6.1024|6.1024
3b_a32|0.0|1|0|0|0.0|0.046791596|5.733341277|0.042528736|-0.0411430079999999|2.21541916|-0.265971895|-0.001282231|-0.1113575119999999|0.10614163|3|3|-0.078754696|-0.0791178979999999|0|0.833920105|0.800396027|0.094335058|0.7725667079999999|1|0.8407393809999999|-0.073068133|-0.100355499|0.2719741|0.014636992|7.180211702|74.63320519|78.12568166|-0.033451833|3.522270202|-17.58323784|-16.40987746|43.023961|2092.213643|412.4267349|1084.520517|-8.049905042|0.2358716619999999|5.765940603|10.69254007|4448.251276|115.707414|21.47528975|0.0154889019999999|708.6845618|1.0|1.0|1.0|1.0|1.0|2.57|0.13|-6.5|4.43|110.94|1.45|0.0|88.24|0.0|1.0|2.0|21.0|3.0|312.41|1.0|1.86e-06|0.00697|3.71|0.0|3.19e-07|9.97e-05|3.5545|2.45|-1594.121087|348.81|0.2905|348.81|396.83|0.70257|-1594.0008779999998|0.2905|-0.20137|-1594.049677|5.7777|6.0|8.2366|8.2366
16_a31|0.0|0|0|1|0.0|0.152128735|5.733341277|0.042528736|-0.050076586|0.0|-0.726543099|-0.017017891|-0.00795845|0.06214876|2|2|-0.0897217219999999|-0.053194463|0|0.951830892|0.8318419909999999|-0.038841601|0.8944757390000001|0|0.546450126|-0.142079397|-0.150315165|0.29485045|0.0374314139999999|17.63615984|130.369865|213.694252|-0.050105055|8.309441139|-31.54036284|-23.60746376|84.57819254|2071.962924|257.4650715|1212.615438|-11.12287666|0.26919564|5.521618837|9.649327262|4387.049328|126.8340354|32.30339751|0.027684692|1066.012118|0.0|1.0|0.0|1.0|2.0|1.93|0.14|-4.94|2.83|114.29|0.78|0.0|80.57|0.0|2.0|2.0|21.0|4.0|300.34|1.0|4.38e-05|0.0762|2.32|0.0|1.16e-05|0.00347|3.6596|1.7|-1308.242314|338.79|0.2534|338.79|369.73|0.70108|-1308.113026|0.2534|-0.1842|-1308.161433|5.5943|0.09|7.0458|7.0458
3_a27|0.0|0|2|0|3.127072625|0.124551908|4.59511985|0.040512821|-0.172132163|1.177265999|-0.27868256|0.009082086|0.042659548|0.024154412|1|1|-0.296039263|-0.1984716939999999|2|0.640545265|0.810053853|0.136381755|0.610158103|1|0.862115922|-0.06145119|-0.086153958|0.397733752|0.019234305|9.960129259|10.71226495|71.40072181|-0.032307734|5.157668895|-16.47810502|-16.72996312|41.78149261|2294.213272|446.4308003|1043.697725|-8.663302268999999|0.266146248|6.457886343999999|11.64968556|4960.583812|137.8189165|22.79740761|0.018747239|911.8963045|1.0|0.0|1.0|0.0|0.0|3.11|0.05|-5.89|2.94|65.6|2.18|0.0|97.71|0.0|2.0|3.0|25.0|4.0|329.36|1.0|0.0002|0.0339|2.67|0.0|1.29e-06|0.000423|5.5045|4.92|-1081.905135|312.93|0.2305|225.24|425.72|0.34864|-1081.744053|0.2208|-0.21969|-1081.794829|4.1551|4.0|8.3979|8.3979
15a_a50|0.0|1|2|1|4.126145086|-0.113976703|5.82008293|0.035694444|-0.0446629609999999|2.020652006|-0.234757789|0.005366038|-0.15010386|-0.125205943|2|2|-0.072976638|-0.128070491|1|0.797917311|0.821868651|-0.051676609|0.76745052|1|0.837789896|-0.0783960279999999|-0.084501726|0.4349386739999999|0.018014615|10.77967103|275.287923|97.06405493|-0.029316925|6.450390922|-28.07082095|-17.54280159|57.69065967|2503.770258|501.3207109|1754.903963|-10.49734522|0.294589405|8.095541483|14.65582885|5401.219537|176.277812|24.86892274|0.018747341|1218.577214|0.0|1.0|1.0|1.0|1.0|2.63|0.23|-6.09|3.57|68.76|1.87|0.0|110.43|0.0|1.0|5.0|28.0|4.0|371.44|1.0|0.000251|0.0444|2.51|0.0|8.070000000000001e-07|0.0003|4.0408|2.66|-1199.818129|306.83|0.1767|306.83|519.38|0.66132|-1199.572081|0.1767|-0.19948|-1199.629702|9.0948|41.0|7.3872|7.3872
12m_a36|0.0|0|0|2|0.0|0.013543656|5.351858133|0.03912037|0.14264424|0.0|-0.667165917|-0.006653538|-0.025127218|-0.038386106|1|1|0.245908938|-0.052743904|1|0.892815402|0.825587924|-0.075712087|0.849217847|0|0.711961428|-0.10031651|-0.121074678|0.4493096629999999|0.022725561|15.24099981|42.78660249|193.174369|-0.04260035|10.22144534|-45.120107|-28.57011677|82.51872026|2925.315028|477.48014630000006|2637.948424|-19.16067782|0.252881876|7.312794835|13.67704354|6434.374756|169.596372|38.24042793|0.0222467879999999|2064.983108|0.0|0.0|0.0|1.0|3.0|0.0|0.13|-6.14|0.98|112.29|1.28|0.0|131.85|0.0|1.0|6.0|32.0|5.0|424.46|0.0|7.96e-05|0.0676|2.11|0.0|7.19e-07|0.000305|3.8658|3.88|-1401.654499|320.72|0.4718|320.72|505.51|0.69382|-1401.385923|0.4718|-0.20993|-1401.446557|9.1003|0.03|7.5229|7.5229
