molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|BCUTs-1|SaasN|AATSC1c|AATSC1s|n6HRing|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FPSA3|PNSA5|PPSA3|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|TPSA_y|Leadlikeness|Brenk|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
14a_a3|0.0|0|0|0.0|0.0|0.6050202020000001|0.0|-0.009312773|-0.1160619169999999|3|-0.143740653|1.772745969|-0.00603969|-0.039177314|-0.172643335|1|-0.004161699|-0.267665193|-0.582572884|3|0.882394075|0.164994144|-0.287221775|0.822587422|0.8255789570000001|1|0.0140376889999999|-46.53709886|6.904918591|0.209105063|-0.036792719|-22.89086827|3.396421044|83.70773843|0.7608768779999999|55.84414456|-18.09776067|0.481997259|389.0288018|-651.519384|1186.412113|0.930491715|4716.423352000001|117.6209094|23.78539971|0.0189212089999999|358.3503513|9.307045698|0.0|1.0|1.0|1.0|1.0|3.27|2.2|0.06|21.0|105.82|0.0|0.0|1.0|-4.45|23.0|4.0|-6.42|0.0|1.0|0.000103|2.58|0.0|4.08e-05|-0.06736|2.44|3.2363|-1327.485188|528.91|822.33|383.1|383.1|373.85|0.69708|0.69708|-1327.354384|-0.1321|-0.19946|0.02860456|-1327.403067|4.6689|0.03|7.5229
10_a3|0.0|0|0|0.0|0.0|0.605017375|0.0|-0.010609861|-0.1152010919999999|3|0.017396832|1.684975382|-0.008037672|0.018484177|0.043342516|1|-0.005959152|0.033279122|-0.616256033|3|0.8947911009999999|-0.140523767|0.078405316|0.8136572320000001|0.834020779|1|0.014615264|-45.8148076|6.768239856|0.252593682|-0.0359752729999999|-21.21655855|3.134330682|80.37219813|0.7066293240000001|56.68388955|-16.65993003|0.41220272|346.1193167|-549.7776912|1361.86525|0.701266803|4600.496436|135.8581743|23.57661855|0.023470578|311.6695405|10.86908195|0.0|1.0|0.0|1.0|1.0|3.02|1.78|0.0|21.0|105.82|0.0|0.0|1.0|-4.3|22.0|4.0|-6.44|0.0|1.0|0.000145|2.43|0.0|9.35e-05|-0.06238|1.64|3.4217|-1288.150029|498.67|830.63|362.35|230.67|323.26|0.41894|0.68995|-1288.050987|-0.15011|-0.21249|0.04080931|-1288.097561|9.3381|7943.0|5.1
7g_a8|0.0|1|0|3.095238804|0.0|1.39137419|1.336155045|-0.01002363|-0.067360394|0|-0.030968098|0.0|-0.00087806|-0.027838247|-0.027717137|1|0.0002620309999999|-0.065174707|-0.418049442|0|0.627990269|0.098510683|-0.044866536|0.79995525|0.606087461|0|0.031841955|-67.26263865|19.08352484|0.300623857|-0.045912914|-40.31185423|11.43714084|56.75323443|0.806738465|78.41805331|-27.51653399|0.470618047|419.1502102|-1210.7274960000002|2079.55195|0.8889952590000001|6293.364606|115.825531|34.10836993|0.018613449|509.2753308|11.15541466|1.0|0.0|1.0|1.0|1.0|3.29|3.32|0.04|23.0|80.04|2.0|0.0|1.0|-5.78|30.0|5.0|-5.63|0.0|1.0|3.59e-06|4.38|0.0|4.92e-06|-0.06621|6.26|3.7874|-1374.4533210000002|620.67|1053.9|327.36|327.36|507.78|0.62073|0.62073|-1374.291597|-0.15508|-0.22129|0.03974865|-1374.3479960000002|12.9547|21.03|4.6772
12t_a30|0.0|0|0|0.0|0.0|0.60498454|0.0|-0.007755575|-0.097216874|2|-0.0596036729999999|0.0|-0.002544958|-0.0682882559999999|-0.04950715|1|-0.001131023|-0.158448053|-0.464720444|1|0.609043558|-0.003937967|-0.080971844|0.889479916|0.591758164|0|0.018862708|-65.79920855|12.26965165|0.303586418|-0.037159417|-42.80050261|7.981057356|0.0|0.745705883|78.8278828|-24.17113783|0.445760296|452.99711|-1184.385754|2479.787504|0.804273481|6617.834146|165.4110479|32.41376848|0.020029588|616.2856203|13.02867425|1.0|0.0|1.0|1.0|1.0|4.63|0.0|0.14|17.0|81.65|2.0|0.0|1.0|-5.49|31.0|6.0|-6.06|0.0|0.0|6.71e-06|4.07|0.0|3e-05|-0.05542|4.32|3.5457|-1774.208418|677.85|1139.2|349.67|244.58|527.87|0.33647|0.6842600000000001|-1774.0165149999998|-0.15029|-0.20571|0.0337599|-1774.077985|3.2145|9.0|8.0496
8a_a8|0.0|1|0|3.150966553|0.0|1.400027874|1.4114120369999998|-0.014658222|-0.1950388569999999|1|0.027531877|0.0|-0.0075336219999999|0.010118884|-0.0298924089999999|1|-0.005306541|0.044579097|-0.5028388229999999|1|0.76592324|0.089031731|-0.048064085|0.8220300859999999|0.7318727540000001|0|0.034374791|-71.12928513|20.58762475|0.449170525|-0.049054408|-42.60049244|12.33026525|84.91322996|0.76420633|86.57328508|-29.37948733|0.481294455|329.9007832|-1351.456417|1746.6927010000002|0.927876056|6193.891189|141.2206861|38.44444383|0.025786572|529.053307|15.44399996|0.0|0.0|1.0|1.0|2.0|3.37|2.64|0.05|23.0|112.23|1.0|0.0|1.0|-4.4|30.0|5.0|-7.04|0.0|0.0|7.28e-05|2.4|0.0|6.96e-05|-0.06922|6.1|3.1039|-1367.744724|620.68|1061.5|399.45|269.43|476.69|0.4927399999999999|0.7036899999999999|-1367.539526|-0.13015|-0.19937|0.03213899|-1367.595683|6.8427|11.34|4.9454
12c_a31|0.0|1|0|3.387641566|0.0|0.6101358029999999|0.0|-0.013026643|-0.055520387|0|-0.030192572|0.0|-0.003618466|-0.094991098|-0.056866055|2|-0.000813398|-0.048694677|-0.54466023|0|0.8083148840000001|0.066071056|-0.098452311|0.8856644770000001|0.770283733|0|0.030543026|-82.33748068|19.38414321|0.334536497|-0.036326291|-52.25551342|12.30215386|553.8695417|0.6817087|97.28775086|-23.05449459|0.448512808|422.3366652|-1152.7247289999998|1894.297124|0.813278739|5676.394271|202.0036947|33.81868912|0.023556702|583.9691392000001|14.95027019|1.0|1.0|1.0|1.0|2.0|3.69|3.1|0.35|16.0|117.37|2.0|0.0|1.0|-5.23|28.0|5.0|-6.53|0.0|1.0|6.94e-05|3.1|0.0|2.31e-05|-0.0338399999999999|4.6|3.8328|-1618.112841|679.71|1138.89|323.48|323.48|578.69|0.7007399999999999|0.7007399999999999|-1617.888981|-0.15904|-0.19288|0.04023903|-1617.951882|2.2908|0.38|6.4202
3m_a32|0.0|1|1|3.575728458|0.0|0.609420748|0.0|-0.006290106|-0.017268778|0|-0.0370712179999999|2.175099216|-0.000514191|-0.084132138|-0.078038283|3|0.000822186|-0.065422345|-0.49476131|0|0.6943636479999999|-0.0067207069999999|-0.126422018|0.872498916|0.6672533589999999|1|0.013428623|-56.15082133|8.029854976000001|0.201976727|-0.027127559|-33.57626169|4.801577352|0.0|0.674468222|67.1606709|-16.22134838|0.4687361229999999|477.1904954|-729.9606772999999|2363.601309|0.882303773|5724.714257|194.65681730000003|24.05057475|0.018412178|554.9424306|11.00984957|1.0|0.0|1.0|1.0|1.0|3.51|2.93|0.3|19.0|128.01|2.0|0.0|1.0|-5.94|27.0|4.0|-6.17|0.0|1.0|1.39e-05|3.57|0.0|1.65e-05|-0.05731|5.1|3.5749|-1863.46877|641.52|1073.31|346.82|346.82|484.34|0.7026600000000001|0.7026600000000001|-1863.279862|-0.14835|-0.2056599999999999|0.0339106999999999|-1863.337677|8.0755|23.0|7.6383
12av_a36|0.0|1|0|3.4520047430000003|0.0|1.297042752|0.0|-0.009925128|-0.081537769|2|0.06882889|0.0|-0.00233752|-0.021036176|-0.039627578|1|-0.000472698|0.1168328169999999|-0.507136551|1|0.859938421|-0.018133027|-0.067408377|0.8571025990000001|0.817582774|0|0.021666882|-73.55299094|15.09249582|0.247552267|-0.035197712|-51.2347934|10.51297704|124.9387725|0.671916917|91.5101903|-24.51766365|0.491188387|524.1323793|-1397.506828|2354.591519|0.965363947|6460.1184140000005|228.5327731|36.48912989|0.025779468|757.7532208|17.95719936|0.0|0.0|0.0|1.0|3.0|4.96|0.0|0.17|17.0|98.3|1.0|0.0|1.0|-3.54|33.0|5.0|-7.66|0.0|0.0|0.000227|1.85|0.0|5.18e-05|-0.05307|4.5|3.4402|-1440.945099|733.21|1247.28|360.39|256.12|588.31|0.43212|0.70455|-1440.67411|-0.14122|-0.19429|0.04308001|-1440.738332|6.1075|39.0|7.4089
5_a27|0.0|0|0|0.0|0.0|1.4026035369999998|3.2927747860000003|-0.0063562359999999|-0.068518519|2|-0.149034787|1.271687295|0.00991794|-0.125237927|-0.013448351|1|0.010329671|-0.250776983|-0.4982037479999999|2|0.639413469|0.180356685|-0.020087122|0.8149212259999999|0.614205449|1|0.01695771|-44.83538435|8.936508815|0.146821224|-0.030385206|-23.6277072|4.709432444|56.35994804|0.741481472|53.51978325|-16.01263727|0.439066197|449.6149323|-672.5307653|1254.531539|0.7827415529999999|4943.51602|136.2361487|21.59546513|0.016479312|424.8821143|8.684398894|0.0|0.0|1.0|0.0|0.0|3.07|3.11|0.16|21.0|65.6|0.0|0.0|1.0|-3.61|25.0|4.0|-6.49|1.0|1.0|9.78e-05|2.58|0.0|0.0002|-0.04554|4.9|4.0989|-1083.124207|566.68|955.22|302.48|302.48|463.87|0.64548|0.64548|-1082.967639|-0.16952|-0.21506|0.01903872|-1083.019748|3.5632|3.0|8.5229
A8301_a51|0.0|0|0|0.0|0.0|1.197963627|1.700610355|-0.00449765|-0.028789626|2|0.078523314|1.987294898|0.00740124|-0.012770742|-0.1227504419999999|1|0.007083041|0.135886548|-0.4354420879999999|2|0.7595189840000001|-0.013846396|-0.21474885|0.750630149|0.7234449559999999|1|0.008152073|-50.67621589|5.293803823|0.065260105|-0.032775831|-32.90818536|3.437697042|78.46116212|0.854959635|56.90163721|-21.28401067|0.4799553379999999|607.0025787000001|-1064.200534|2461.663545|0.922911768|6401.6494600000005|94.18649643|24.89475504|0.009586697|690.8826121000001|6.225421319|1.0|1.0|1.0|1.0|1.0|3.49|3.5|0.04|27.0|87.72|2.0|1.0|1.0|-6.6|31.0|3.0|-5.31|0.0|1.0|1.17e-06|5.02|0.0|1.74e-07||||||||||||||||||12.0|7.9208
