molecula|n9FaHRing|SRW09|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA5|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA5|DPSA3|TASA|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
13f_a6|0|6.842683282|0|0.0|-0.088329567|-0.006930367|4.727387819|-0.008507023|2|45.0|0.04505613|1.651047524|-0.381170169|-0.003356527|-0.071478789|10.95053349|1|0.079490516|-0.126749697|-0.466314952|0.841211811|0.77199166|-0.028317736|0.834167942|1|0.863222493|-0.092939631|-49.2635105|12.46087045|62.42897239999999|0.136777507|-0.032802223|-41.92004677|8.368715213|-1.672913351|-33.08535238|75.61173794|61.72438096|579.7398537|3253.287533|-14.79531062|0.279288145|15.13042752|0.6717890999999999|6128.208571|187.5697972|-754.5608419|0.0196449239999999|-296.4599736|676.2770877|13.19352214|1.0|1.0|1.0|3.56|27.0|103.17|0.92|1.0|0.0|123.82|0.0|5.0|-5.11|32.0|5.0|0.0|1.0|-4.78|7.74e-06|0.00323|0.0|0.0|2.75e-08|3.36|-1347.301285|256.1|0.49643|10.8469|-0.2059099999999999|0.03437105|7.3768|7.3768
6b_a31|0|7.773594467000001|1|0.0|0.052690797|-0.016070861|5.733341277|-0.178758575|0|0.037803618|0.11647286|0.0|-0.787472195|-0.011483229|-0.032090772|10.31169819|2|0.1978523089999999|-0.002840672|-0.57983695|0.838789705|0.78240875|-0.068433069|0.841537966|0|0.627853074|-0.1284626569999999|-73.70779766|20.12924648|159.79549319999998|0.372146926|-0.045675611|-47.81835367|12.28107483|-2.055402513|-44.96993859|93.1058799|93.83704414|383.0600707|2063.736075|-17.0020813|0.254079586|14.46878435|0.925676135|6099.567787|155.0167518|-765.0936586|0.024142162|-300.0775025|536.6368656000001|14.72939894|1.0|1.0|1.0|3.55|22.0|131.36|1.36|1.0|0.0|109.69|0.0|4.0|-5.63|29.0|5.0|0.0|1.0|-4.66|2.34e-06|0.000947|0.0|0.0|1.89e-05|4.61|-1652.671944|376.29|0.7013199999999999|5.9085|-0.1918|0.03623358|7.2676|7.2676
19e_a38|0|7.412764017000001|2|0.0|-0.082311936|-0.007550899|5.351858133|-0.10490608|2|0.04508642|0.021678225|0.0|-0.4379521229999999|-0.001197042|-0.104569193|10.94917392|1|0.045449529|-0.091460175|-0.436305701|0.723755855|0.839953955|0.04818471|0.89459881|0|0.776562593|-0.10214405|-56.34606212|14.27562164|118.734325|0.223437407|-0.03783113|-46.37503972|9.619015829|-2.042881001|-37.96637911|82.37885703|70.62168376|523.2534216|3426.997928|-17.17594064|0.250809026|12.34352977|0.871249918|6531.762734|168.99691289999998|-927.5007945|0.020114756|-335.8133169|696.3887025|13.55346651|1.0|0.0|1.0|4.96|17.0|81.23|2.75|2.0|0.0|135.78|0.0|6.0|-4.94|32.0|4.0|0.0|1.0|-4.72|1.15e-05|0.0049|0.0|0.0|2.25e-05|4.08|-1409.582478|236.96|0.41961|5.8426|-0.20723|0.03483011|8.0083|8.0083
47s_a18|0|7.03438793|1|0.0|0.026229332|-0.0054038509999999|4.844187086|-0.045792331|0|0.035632184|-0.026883417|0.0|-0.394481152|0.002573931|0.0134295589999999|10.94702059|0|-0.040169986|-0.168728915|-0.46304239|0.724028067|0.712629555|0.0109557919999999|0.745196689|0|0.84543779|-0.08106112|-53.18668656|6.394119331000001|10.92659868|0.15456221|-0.030108416|-46.45326408|4.840414512|-2.107589125|-40.26287221|69.29837549|59.58080589|640.0051571|1529.863965|-17.25406952|0.179529145|18.65422248|0.901192009|6968.705069|135.90542109999998|-1207.784866|0.010481057|-485.1995077|1093.725912|7.934268528|1.0|1.0|1.0|4.41|18.0|76.5|3.33|3.0|1.0|149.34|0.0|10.0|-5.95|36.0|3.0|1.0|0.0|-5.45|1.12e-06|0.000539|0.0|0.0|1.84e-07|8.41|-1534.196027|385.29|0.6926800000000001|2.3134|-0.18109|0.02195039|6.2104|6.2104
4_a47|0|0.0|0|0.0|0.004633887|-0.008204735|0.0|-0.121159855|2|0.038479532|-0.158636969|1.42341819|-0.3692130839999999|-0.007295208|0.0687047279999999|10.93671044|0|-0.247195952|-0.017555555|-0.462831711|0.893350891|0.783871003|-0.095209424|0.84420422|1|0.874200878|-0.092556319|-42.46254967|4.22896799|96.20929041|0.1257991219999999|-0.03525955|-27.39669054|2.300808176|-1.48090111|-23.10213311|57.78603076|46.69151766|475.6168721|1528.797085|-10.43683449|0.193395607|10.818777699999998|0.67265584|5254.939281|105.2186243|-438.3470487|0.013656479|-333.62177030000004|471.7712484|7.429930428|1.0|1.0|1.0|2.75|22.0|58.04|3.1|2.0|0.0|106.52|0.0|3.0|-5.92|26.0|3.0|0.0|1.0|-5.64|1.21e-06|0.0004379999999999|0.0|0.0|5.81e-07|4.44|-1509.453558|214.85|0.45947|4.2607|-0.21076|0.03342033|7.5|7.5
2_a27|0|6.605297921|0|3.250529415|0.09890645|-0.0065894809999999|4.59511985|-0.0609613559999999|2|0.0427777779999999|-0.196529806|1.267636369|-0.276758209|0.009338889|0.11675125|10.93783218|1|-0.337316432|-0.21066171|-0.475677812|0.639024713|0.796022385|0.137868605|0.8585302370000001|1|0.8468699609999999|-0.081513931|-29.42169804|9.972342226|9.194894069|0.153130039|-0.029261411|-20.65736087|5.020172886|-1.141195033|-14.81116546|52.43208086|39.39404027|426.3224749|1270.627585|-7.415462877|0.331537817|9.527176544|0.7934621359999999|4774.521748|166.89932209999998|-289.2030522|0.022639983|-169.6109632|373.9912084|11.39718489|0.0|0.0|1.0|2.9|21.0|65.6|2.42|0.0|0.0|92.58|0.0|2.0|-3.19|24.0|4.0|1.0|1.0|-3.7|0.000644|204.0|0.0|0.0|0.0004599999999999|4.32|-1043.821085|297.87|0.55857|4.7049|-0.21702|0.02268519|7.8861|7.8861
4R4k_a46|0|7.825245291|1|2.145043462|-0.050636784|-0.0049602|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|0.0|-0.252970193|0.006550513|-0.1149361969999999|10.94631314|1|-0.158788415|0.008544799|-0.3860697829999999|0.78837943|0.7477594870000001|-0.003017362|0.787615341|0|0.890625164|-0.085931818|-47.73036108|4.194771739|173.3171354|0.109374836|-0.030434186|-24.33134018|2.232103603|-1.4608409080000002|-25.39807111|49.58292992|51.92513282|473.9155694|1767.850427|-8.617349646000001|0.133318901|10.33328154|0.871222588|4711.736397|70.94107067|-413.632783|0.007248925|-390.2334878|519.5743695|3.857266463|1.0|1.0|1.0|3.8|17.0|50.94|2.84|1.0|0.0|100.96|0.0|2.0|-4.82|25.0|3.0|1.0|1.0|-4.83|1.5e-05|5.0|0.0|0.0|8.28e-05|4.52|-1053.439174|234.09|0.54119|1.8559|-0.19529|0.0257622|7.0132|7.0132
26_a47|1|6.86171134|0|1.06819297|0.11828578|-0.012090143|4.727387819|-0.200192886|2|0.045681818|-0.110530752|0.956774672|-0.544056455|-0.0098410169999999|-0.046771537|10.94972213|1|-0.24731748|-0.035472095|-0.5899218279999999|0.6850994429999999|0.845040087|-0.11288313|0.910081385|1|0.7104381999999999|-0.101679756|-57.01987795|12.13564316|9.608109253|0.2895618|-0.038735145|-34.3326642|7.0517889060000005|-1.626876095|-33.13315474|73.39007585|69.15552111|412.8219782|1341.904566|-13.07911017|0.282360823|13.22794532|0.90465254|5994.406615|164.0744453|-549.3226272|0.024619511|-252.9318822|457.1122177|14.3059247|0.0|1.0|1.0|3.13|21.0|98.72|2.59|1.0|0.0|104.8|0.0|4.0|-4.86|28.0|5.0|0.0|1.0|-4.56|1.3699999999999998e-05|0.00545|0.0|0.0|2.37e-05|4.37|-1696.096597|258.5|0.50921|3.6825|-0.22921|0.02111593|7.9|7.9
17b_a50|1|7.934155233999999|1|4.35392516|-0.145258626|-0.002181823|5.82008293|0.013050204|1|0.032052154|0.035558152|2.206759705|-0.144000296|0.012409091|-0.152660972|10.94500663|2|0.05636897|-0.2252068689999999|-0.237489143|0.7715057479999999|0.7621727979999999|-0.1585336269999999|0.799772151|1|0.931849183|-0.07555585|-33.25475672|8.976922737999999|9.9094658|0.068150817|-0.02681014|-36.59177249|6.247196459|-1.662228695|-23.14256283|59.65808461|42.23167946|648.4900322000001|1948.148592|-12.98417734|0.1966134769999999|16.11918162|0.936245718|6059.076348|136.82673369999998|-805.0189948|0.010169967|-422.2639022|862.3868512|7.077456382|1.0|1.0|1.0|4.17|20.0|51.77|2.71|3.0|0.0|131.39|0.0|8.0|-4.75|32.0|4.0|1.0|0.0|-4.91|1.7899999999999998e-05|0.00763|0.0|0.0|1.22e-05|3.77|-1337.1910779999998|292.09|0.6269899999999999|6.3333|-0.19879|0.02640483|6.9136|6.9136
13_a47|1|6.605297921|0|0.0|-0.174238791|-0.0049262279999999|4.59511985|-0.0777650159999999|2|0.036632997|-0.047120094|1.5940801480000002|-0.20197533|-0.00105415|0.003874205|10.9452934|1|-0.108780879|-0.0101047869999999|-0.316563793|0.6427334020000001|0.794037882|0.030290722|0.8582665429999999|1|0.781675563|-0.088128939|-41.79730418|9.13564442|63.12660940000001|0.2183244369999999|-0.032468557|-23.38063458|4.705524762|-1.23380515|-21.52866736|57.38622954|50.9329486|402.6200617|669.2729199|-8.613918003|0.311738758|13.33103985|0.8939678120000001|4542.479565|160.5682509|-327.3288841|0.023284817|-193.936606|359.12161539999994|11.99338291|1.0|1.0|1.0|2.9|21.0|66.49|2.34|0.0|0.0|91.59|0.0|3.0|-4.24|24.0|4.0|1.0|1.0|-4.27|5.79e-05|0.0185|0.0|0.0|4.04e-06|2.7|-1067.820961|307.63|0.67466|3.5455|-0.22065|0.03639189|7.8|7.8
