molecula|n9FaHRing|n9FaRing|SaaNH|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|SRW07|n6HRing|JGI4|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|RNCS|TPSA_x|WPSA3|FNSA2|WNSA3|GRAVp|TASA|PNSA2|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
14_a47|1|1|2.871076328|6.605297921|0|1.417758105|0.0|-0.126490693|4.59511985|2|0.036632997|1.484493371|-0.2306964|-0.01670074|10.95058279|0.0295267039999999|1|1|-0.006335783|0.05124606|-0.020596219|-0.061837113|-0.33240126|0.5975877820000001|0.777675668|-0.085385518|0.050943962|1|-0.093553938|-0.094132436|0.2662137639999999|0.020106089|-47.18187618|64.60629385|160.57883|5.113919242|-1.223721666|-23.79514424|2254.664317|343.7492333|-617.1571777|-8.892848121|6.909385453|13.15643085|0.904139078|4695.98899|169.0962983|-311.2496842|26.52746264|0.028057496|928.4611922|310.8026328|1.0|0.0|1.0|1.0|2.0|2.78|1.53|21.0|3.97|4.88|66.49|0.0|86.58|0.0|3.0|-3.97|24.0|5.0|323.3|0.0|1.0|1.0|-4.13|0.000108|0.0349|7.46e-05|2.91|0.0|0.0|1.63e-08|5.27e-06|-0.06057|-1127.737484|-1127.700693|849.76|312.53|0.2452|312.53|375.43|0.68345|-1127.610422|0.2452|2.2485|-0.22434|0.03679054|-1127.6593779999998|8.1|8.1
12f_a40|0|0|0.0|7.515889085|0|0.604990261|1.768354671|-0.03356339|5.4161004020000005|0|0.040501792|0.807254372|-0.235838511|0.108909202|10.31197207|-0.172869148|2|2|0.006841832|0.115814835|-0.033224348|-0.054891771|-0.397377446|0.679527138|0.777316288|-0.160218113|-0.271493213|1|-0.067004323|-0.082198664|3.43e-05|0.021549915|-37.02024147|62.72992556|49.72883796|6.57837176|-1.150781297|-20.45387851|2383.68369|502.7764322|-635.8127312999999|-10.03685385|8.404802652999999|16.49362536|0.962404834|5326.217734000001|148.3785764|-351.2898849|24.83590915|0.0201199619999999|869.2568204|384.1423925|0.0|1.0|0.0|0.0|0.0|3.24|3.61|20.0|5.35|5.44|67.66|0.0|98.25|0.0|3.0|-6.58|24.0|3.0|376.26|0.0|0.0|1.0|-5.99|2.66e-07|0.0001|1.02e-06|5.4|0.0|0.0|4.81e-08|1.8100000000000003e-05|-0.07761|-2212.359379|-2212.348599|951.55|436.97|0.4348|286.25|487.85|0.6679999999999999|-2212.222254|0.3858|3.2818|-0.19526|0.01077929|-2212.275094|6.4202|6.4202
14a_a23|1|1|0.0|7.423568444|0|1.197964042|3.39397765|0.050806184|5.351858133|2|0.042992424|0.757767133|-0.289658385|-0.0518554529999999|10.31321831|-0.071842463|2|2|0.011363191|0.083206288|-0.073893976|-0.137733142|-0.446724057|0.72792508|0.7556436440000001|0.114693804|-0.123790952|1|-0.055677662|-0.08032517|0.225448915|0.019504497|-35.20994211|38.57988954|51.42774883|7.800158102999999|-1.606503401|-22.26638099|2816.527785|580.9612768999999|-1015.935121|-13.66949407|7.668841725|14.2658736|0.8602383659999999|6269.28943|138.6457355|-642.4662212000001|27.68542751|0.016707951|1301.215093|601.8533922|0.0|1.0|1.0|1.0|1.0|3.41|2.86|26.0|3.36|4.02|105.02|1.0|120.28|0.0|5.0|-5.47|30.0|4.0|411.48|0.0|0.0|0.0|-4.96|3.38e-06|0.00139|1.1e-05|3.58|0.0|0.0|3.92e-08|1.6100000000000002e-05|-0.07379|-1629.928331|-1629.90669|1134.02|334.02|0.3764|334.02|516.58|0.6289100000000001|-1629.690316|0.3764|5.8775|-0.2238099999999999|0.0216412|-1629.748476|8.5498|8.5498
15_a47|1|1|2.9226792460000004|6.605297921|0|1.304329657|0.0|-0.164258919|4.59511985|2|0.042285714|1.56205245|-0.21194909|0.086682657|10.9497222|0.0506476009999999|1|1|-0.002377481|-0.299654464|-0.007670908|-0.017562097|-0.332654104|0.644280611|0.830688568|-0.131424138|0.081171071|1|-0.084413593|-0.0904066519999999|0.429825305|0.016669157|-45.1562696|61.0548099|111.3994409|4.770072524|-1.265693121|-24.15592798|2327.320914|423.5412927|-677.0708068|-9.531388265|6.984778596|13.37174753|0.914412511|5075.773767000001|154.260803|-362.1927541|25.03780079|0.021370407|951.4364299|383.4213189|1.0|0.0|1.0|1.0|2.0|2.89|2.1|21.0|4.69|5.28|66.49|0.0|96.6|0.0|3.0|-4.89|25.0|4.0|353.78|0.0|0.0|1.0|-4.85|1.29e-05|0.00455|1.41e-05|3.8|0.0|0.0|3.22e-09|1.14e-06|-0.0591799999999999|-1527.4104|-1527.376145|930.51|305.43|0.2828|286.26|419.75|0.67203|-1527.265523|0.0759|2.2271|-0.2268|0.03425526|-1527.316555|7.8|7.8
11c_a5|0|0|2.930680267|6.605297921|0|1.427567332|0.0|-0.2117133739999999|4.59511985|2|0.027388889|0.0|-0.224938556|-0.059682527|10.94877953|-0.023856811|1|1|0.005383056|-0.138950411|-0.011677718|-0.018887528|-0.269653478|0.679183645|0.8020105409999999|0.030085871|-0.044126759|0|-0.078909483|-0.0873419269999999|0.389427402|0.01785211|-47.99592739|31.61751609|118.7750305|6.604499968|-1.484812761|-29.19305715|2497.685314|489.4652669|-903.1229552|-11.94164728|8.88462927|16.09582374|0.811648325|5202.741647999999|178.1902995|-549.3157749|27.76804404|0.021214793|1277.330026|523.8031619|1.0|1.0|1.0|1.0|1.0|2.96|2.14|23.0|4.79|4.17|80.76|0.0|106.79|0.0|6.0|-4.13|28.0|5.0|370.4|0.0|0.0|1.0|-4.1|7.38e-05|0.0273|7.950000000000001e-05|2.78|0.0|0.0|3.4000000000000003e-09|1.26e-06|-0.04315|-1218.492067|-1218.454079|1071.71|294.59|0.5327|275.3|512.32|0.60118|-1218.278135|0.2186|2.5278|-0.21448|0.03798847|-1218.336116|7.6021|7.6021
2_a20 (SB-505124)|0|0|3.485765306|7.434257382|1|1.183764955|0.0|-0.006955944|5.351858133|1|0.05042042|0.0|-0.498602014|-0.177905025|10.95129567|-0.137383329|1|1|0.003789399|0.02072518|-0.150708132|-0.229461916|-0.520284161|0.827730504|0.725030162|0.082053195|-0.19681999|0|-0.083565835|-0.117328885|0.214264156|0.02856542|-45.98170774|122.8758934|126.8667205|8.648749117000001|-1.759933279|-25.30121848|2195.369524|423.3785776|-968.3950117|-11.58380004|5.952040367|11.3574908|0.908167636|4762.83693|92.48561162|-532.854802|25.30541763|0.011470204|1164.049211|477.95809620000006|1.0|1.0|1.0|1.0|1.0|3.4|3.1|17.0|5.16|4.47|60.03|0.0|97.55|0.0|3.0|-5.24|25.0|4.0|335.4|0.0|1.0|1.0|-4.91|5.72e-06|0.0019199999999999|1.22e-05|4.27|0.0|0.0|6.070000000000002e-08|2.03e-05|-0.03717|-1089.371784|-1089.358727|995.68|340.58|0.3267|340.58|505.82|0.69947|-1089.147716|0.3267|2.5584|-0.18645|0.01305739|-1089.201587|6.7721|6.7721
17_a47|1|1|3.011740664|6.605297921|0|1.4168589319999998|0.0|-0.181485377|4.59511985|3|0.031802469|1.699575434|-0.2032813319999999|0.075303828|10.9385382|-0.006331624|1|1|0.004477366|-0.180898239|-0.0184347939999999|-0.031505291|-0.3004189439999999|0.8007970640000001|0.75807704|-0.034891905|-0.010871607|1|-0.07185129|-0.082994667|0.522140199|0.01291694|-43.82821253|68.64478326|90.10552332|4.806157636|-1.493904005|-26.73455447|2672.497352|519.8795281|-911.2591113|-11.11708872|7.055517075|13.10144249|0.8569074879999999|5854.9736840000005|155.087622|-555.8544359|24.43867122|0.0159160889999999|1221.9335609999998|630.8611986000001|1.0|0.0|1.0|1.0|2.0|3.44|2.39|27.0|5.12|5.44|79.38|0.0|119.83|0.0|4.0|-5.4|30.0|4.0|392.46|0.0|0.0|1.0|-5.21|3.98e-06|0.00156|6.11e-06|4.03|0.0|0.0|7.96e-11|3.12e-08|-0.04873|-1254.985125|-1254.943823|1127.7|289.79|0.4308|289.79|477.67|0.6844100000000001|-1254.737546|0.4308|3.4454|-0.22479|0.04130125|-1254.795084|8.3|8.3
47d_a18|0|0|0.0|7.03438793|1|1.251175994|0.0|-0.017398129|4.844187086|0|0.032916667|0.0|-0.480899596|-0.07722825|10.94702255|0.016324953|0|0|0.005144085|0.104380139|-0.272202025|-0.406388629|-0.417659275|0.7640994990000001|0.7430748709999999|-0.002494715|0.027971797|0|-0.06394156|-0.087315963|0.445704576|0.015270278|-52.14267013|64.92967228|132.9229494|10.15469843|-2.182899066|-42.52098397|3304.705347|682.5509007|-1780.097106|-19.1002979|9.940531282|19.16475647|0.927940864|7780.945962999999|246.1558296|-1451.622641|33.54943497|0.018506261|2549.757058|1255.618298|1.0|0.0|1.0|1.0|2.0|4.73|0.0|18.0|2.81|3.21|88.97|2.0|159.67|1.0|12.0|-5.74|39.0|4.0|527.66|0.0|0.0|0.0|-5.28|1.83e-06|0.000968|5.23e-06|4.16|1.0|1.0|1.4800000000000003e-09|7.790000000000001e-07|-0.04561|-1704.061013|-1704.0327519999998|1544.09|398.94|0.5820000000000001|398.94|817.06|0.69905|-1703.545539|0.5820000000000001|3.7605|-0.17405|0.02826074|-1703.622959|8.0969|8.0969
8c_a32|1|1|3.46252244|7.765993078999999|0|0.609420757|0.0|0.080016722|5.733341277|0|0.036711712|2.143746338|-0.459589251|-0.026048985|10.31100269|-0.0682721729999999|3|3|-0.001662219|-0.047650724|-0.0852122769999999|-0.1534110109999999|-0.578242111|0.788133615|0.845443342|-0.024032462|-0.11492754|1|-0.076876481|-0.097480366|0.263222951|0.016240436|-46.47597924|126.6561213|119.85432240000002|5.935643221|-1.267244762|-28.09723623|2571.62241|484.6996147|-766.1178102000001|-10.06868562|7.079719717000001|12.81496717|0.8100952690000001|5773.240734|241.4075262|-463.1595384|27.72624296|0.025527931|1275.407176|557.1050635|1.0|1.0|1.0|1.0|2.0|3.46|2.82|19.0|6.49|4.19|140.04|0.0|110.47|1.0|7.0|-5.82|27.0|4.0|397.52|1.0|0.0|1.0|-4.39|1.5e-06|0.000597|4.11e-05|3.21|0.0|0.0|2.23e-08|8.86e-06|-0.04161|-1880.764533|-1880.733377|1090.0|347.56|0.3272|347.56|516.78|0.70135|-1880.537558|0.3272|8.4922|-0.18873|0.03115673|-1880.597039|7.4318|7.4318
13_a10|0|0|0.0|7.535296702|1|1.343837907|2.091672336|-0.059862024|5.4161004020000005|2|0.038726287|1.794073077|-0.259721373|-0.002128014|10.9296146|-0.001592366|1|1|0.003791547|-0.154121136|-0.017015286|-0.02811323|-0.345108701|0.761923976|0.78472614|0.00746881|-0.002671425|1|-0.094726989|-0.082327045|0.4676169839999999|0.0122005|-47.88975806|174.7319717|91.99711608|3.118282386|-1.234905671|-24.21093442|2261.82488|413.5584641|-624.3134531000001|-7.698174391|5.069505473|9.209972585|0.816739845|4941.066161|144.338975|-315.62515|21.31179541|0.018979132|873.7836118999999|422.96706330000006|1.0|0.0|1.0|1.0|1.0|3.02|2.58|21.0|3.52|3.81|63.83|0.0|97.14|0.0|2.0|-3.76|25.0|4.0|328.37|0.0|1.0|1.0|-4.1|0.000176|0.0576|7.87e-05|2.76|0.0|0.0|2.49e-07|8.170000000000001e-05|-0.05022|-1065.874094|-1065.839441|926.41|322.72|0.3905|212.63|376.77|0.34881|-1065.68351|0.1514|3.6904|-0.20959|0.0346535|-1065.732389|6.7959|6.7959
