molecula|SddssS|NaaNH|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1are|MATS8d|SIC2|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WPSA3|FNSA1|FNSA2|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Veber filter|Heavy atom count|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
12d_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|-0.006335328|5.351858133|-0.033312179|2|0.042804233|0.005613018|10.31162861|-0.075816941|0.005965451|-0.162129948|-0.053644471|-0.09353607|1|0.8414737059999999|-0.130412856|0.8532172109999999|-0.073829724|-0.094239701|0.366319099|0.015567102|-60.88281322|10.05700314|85.1932288|101.4221952|-0.036246039|6.497247279|0.8143892140000001|-1.884794029|0.4572733479999999|544.6198897999999|-1217.656264|2323.480646|-15.12802292|7.557073995|13.92427286|6120.329513000001|119.91237920000002|-786.6571918999999|-406.2173266|1495.177298|8.672532296|1.0|0.0|1.0|0.0|1.0|0.0|0.17|17.0|-7.01|4.35|2.0|0.0|0.0|30.0|412.51|0.0|2.91|0.0009119999999999|0.00291|4.23|0.0|0.0|9.75e-08|4.02e-05|3.4821|-1615.095823|-1615.063947|695.57|1176.22|149.0|356.06|545.94|0.68608|-1614.831682|149.0|-0.1479099999999999|4434.0|-0.1991|-1614.894406|11.0|7.9508|7.9508
21_a47|0.0|0|1|0.0|1|6.86171134|0|0|-0.010650348|4.727387819|-0.13650463|2|0.037801932|-0.006808306|10.95058272|0.057225853|-0.004332497|-0.090969103|-0.1049885469999999|-0.277479519|2|0.612295986|0.0927058819999999|0.8856299320000001|-0.082614966|-0.095249919|0.3188717339999999|0.022739546|-53.76411184|12.83540744|34.75044485|166.049938|-0.033866638|7.244985517000001|0.6448452960000001|-1.5239986980000002|0.463113582|398.4031618|-860.2257893999999|1402.202743|-10.79015808|7.071346534|13.17102891|6103.311635|200.4681737|-485.55711339999993|-163.5167523|1334.003357|16.33715751|0.0|1.0|1.0|1.0|2.0|3.32|0.1|21.0|-7.7|2.94|1.0|0.0|0.0|29.0|394.38|0.0|3.43|0.0142|0.0191|3.0|0.0|0.0|1.98e-08|7.8e-06|3917.0|-1375.061089|-1375.028093|583.37|1014.33|0.2249|316.53|441.93|0.68296|-1374.858663|0.2249|-0.16158|3.6767|-0.2249699999999999|-1374.914223|5.0|8.3|8.3
12w_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|-0.007019432|5.351858133|-0.0316452179999999|2|0.044197531|0.002431329|10.31162873|-0.04950715|0.001805829|-0.173643543|-0.0493878409999999|-0.0857954809999999|1|0.8149999040000001|-0.080971844|0.889479916|-0.076611264|-0.096032733|0.4274948739999999|0.015446225|-65.85056003|10.59162334|82.06520565|101.3366249|-0.037237182|7.262777048999999|0.8077976990000001|-1.824621925|0.451478593|584.3729039|-1251.160641|2783.769563|-17.50883211|8.063690539|14.70077638|6888.291006999999|131.7949495|-857.9327732|-422.1196298|1548.85393|9.923109661|1.0|0.0|1.0|0.0|1.0|0.0|0.14|17.0|-7.8|5.11|2.0|0.0|0.0|31.0|467.37|0.0|3.59|0.000123|0.0004269999999999|5.12|0.0|0.0|1.58e-08|7.39e-06|3.5585|-2494.966575|-2494.932002|716.83|1211.28|0.2639|244.87|577.06|0.31353|-2494.743475|0.1614|-0.15073|2.4229|-0.20755|-2494.807027|15.0|7821.0|7821.0
6_a4|0.0|0|0|0.0|1|7.535296702|1|1|-0.001221193|5.4161004020000005|0.010164572|2|0.035283951|0.011457667|10.92992785|-0.208689928|0.01098094|0.0671397079999999|-0.046166422|-0.073630392|2|0.664591856|-0.340860215|0.810030118|-0.052396457|-0.0670158929999999|0.417868437|0.0077624059999999|-37.33240845|4.324187697|14.1731579|30.33467048|-0.024618083|2.408866521|0.814470803|-1.206286076|0.423084148|526.7333132|-671.9833521|1968.0178670000005|-7.639600225|5.758624844|9.981741408|5256.215815|103.3523757|-374.340411|-350.36323230000005|825.0551765|4.937800786|0.0|1.0|1.0|1.0|0.0|3.45|0.26|21.0|-7.99|5.1|2.0|0.0|0.0|27.0|354.45|0.0|4.23|0.0043799999999999|0.00274|4.28|0.0|0.0|1.04e-08|3.67e-06|4.0354|-1108.585859|-1108.563418|613.83|1057.7|0.1235|254.51|453.87|0.60542|-1108.338577|0.0772|-0.16959|2.8026|-0.2182599999999999|-1108.392115|1.3|5.8861|5.8861
47s_a18|0.0|0|0|0.0|0|7.03438793|1|1|-0.0054038509999999|4.844187086|-0.045792331|0|0.035632184|0.002573931|10.94702059|-0.031515152|0.003686393|-0.040169986|-0.168728915|-0.252119673|0|0.724028067|-0.0540701129999999|0.745196689|-0.070258863|-0.08106112|0.306379663|0.008446541|-61.36410696|6.394119331000001|10.92659868|117.0051929|-0.030108416|4.840414512|0.820470855|-2.107589125|0.4740142|640.0051571|-1595.466781|1529.863965|-17.25406952|9.811856136|18.65422248|6968.705069|135.90542109999998|-1207.784866|-485.1995077|1944.574596|7.934268528|1.0|1.0|0.0|1.0|2.0|0.0|0.3|18.0|-9.42|4.06|3.0|1.0|0.0|36.0|482.62|0.0|3.19|0.000539|0.0017|4.62|0.0|0.0|3.8199999999999997e-10|1.84e-07|3218.0|-1534.196027|-1534.174077|809.4|1435.42|0.5203|385.29|736.36|0.6926800000000001|-1533.737579|0.5203|-0.13195|2.3134|-0.18109|-1533.809351|616.0|6.2104|6.2104
3d_a12|0.0|0|0|0.0|0|0.0|1|1|-0.008186708|0.0|-0.053022041|3|0.038787879|-0.00259095|10.95472859|-0.058191686|-0.000643935|-0.282667477|-0.1394967999999999|-0.237203828|2|0.91670178|-0.108208213|0.82682708|-0.066850425|-0.0958414059999999|0.2443206489999999|0.011128076|-49.24083018|5.717316796|74.39425719|74.63869204|-0.035063929|2.9374091630000003|0.77428353|-1.437621096|0.472404561|439.1353855|-738.6124526000001|1205.356874|-9.255608086|5.786006004|10.96674758|4509.417998|115.96727140000002|-379.4799315|-281.8395348|953.9302134|8.281452338|1.0|1.0|1.0|1.0|1.0|2.71|0.11|18.0|-7.51|3.37|0.0|0.0|0.0|24.0|313.36|0.0|2.67|0.0945|0.0385|2.81|0.0|0.0|3.08e-08|9.64e-06|3.7719|-1006.727999|-1006.704001|548.21|918.3|0.3336|294.4|411.35|0.53114|-1006.556654|0.1583|-0.15387|2.2068|-0.22229|-1006.606666|25.0|7.6021|7.6021
14b_a50|0.0|0|1|0.0|2|7.934155233999999|2|2|-0.003935732|5.82008293|0.0228205129999999|2|0.030219907|0.010215823|10.94501788|-0.041169251|0.011249462|-0.106938404|-0.1786649189999999|-0.280243276|1|0.74726683|-0.076752616|0.831689551|-0.050362464|-0.076674952|0.7031402240000001|0.022423099|-50.27694576|14.70317076|25.31245624|62.89861413|-0.025558317|9.64109526|0.637281054|-1.533499045|0.445384689|592.81677|-1005.538915|2984.248708|-10.98912227|6.3538844910000005|11.45638132|6737.145102|237.8403928|-659.347336|-180.03459850000002|1577.857852|14.30797341|1.0|1.0|1.0|1.0|0.0|3.64|0.35|20.0|-6.86|3.72|2.0|0.0|0.0|33.0|441.52|0.0|3.6|0.0111|0.0074099999999999|3.51|0.0|0.0|1.3900000000000001e-07|6.12e-05|4.0775|-1431.068494|-1431.037684|718.64|1253.87|0.1637|234.67|533.25|0.55594|-1430.72987|0.1373|-0.16874|5.3711|-0.1936|-1430.7933859999998|6.58|5.1818|5.1818
12t_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|-0.007755575|5.351858133|-0.097216874|2|0.044197531|-0.002544958|10.31162892|-0.04950715|-0.001131023|-0.158448053|-0.0546637159999999|-0.145315868|1|0.609043558|-0.080971844|0.889479916|-0.090535776|-0.1011561919999999|0.408290036|0.018862708|-65.79920855|12.26965165|88.42093081|197.4742794|-0.037159417|7.981057356|0.745705883|-1.82081145|0.445760296|452.99711|-1184.385754|2479.787504|-15.72263361|7.957774504|14.358001500000002|6617.834146|165.4110479|-770.409047|-319.6492937|1588.274656|13.02867425|1.0|0.0|1.0|0.0|1.0|0.0|0.14|17.0|-7.16|4.67|2.0|0.0|0.0|31.0|434.46|0.0|3.21|0.00141|0.00291|4.07|0.0|0.0|6.900000000000002e-08|3e-05|3.5457|-1774.2421780000002|-1774.208418|677.85|1139.2|0.2094|244.58|527.87|0.33647|-1774.0165149999998|0.1561|-0.15029|2.6784|-0.20571|-1774.077985|9.0|8.0496|8.0496
4_a38 (LY-2157299)|0.0|0|0|0.0|1|7.535296702|1|1|-0.00638266|5.4161004020000005|-0.080432741|2|0.041252955|0.002865697|10.9277672|-0.020954339|0.003107816|-0.083399128|0.028964355|0.0481706809999999|2|0.702976795|-0.032369326|0.868207983|-0.092570349|-0.089446059|0.459041332|0.01243241|-51.11565158|7.104736984|260.7739337|140.40206619999998|-0.03235283|4.060137052|0.7861170609999999|-1.520583011|0.487041509|431.0669496|-868.9660769|1686.693134|-10.56568487|6.54753874|12.76426621|5566.495502000001|122.2274724|-496.5871888|-327.0140711|1105.390176|7.880803302999999|0.0|1.0|1.0|1.0|1.0|2.6|0.18|21.0|-7.13|3.69|1.0|0.0|0.0|28.0|369.42|0.0|2.81|52.0|0.0375|2.39|0.0|0.0|7.45e-08|2.75e-05|3.78|-1198.683473|-1198.64695|617.61|1048.31|0.2|266.68|449.44|0.4|-1198.442536|0.06|-0.16|5.9043|-0.22|-1198.49738|69.0|7.1586|7.1586
14u_a23|0.0|0|1|0.0|2|7.423568444|0|0|-0.007017844|5.351858133|-0.025360103|2|0.043321995|0.010561248|10.31321759|-0.0569153009999999|0.010508236|0.091604179|-0.110069159|-0.199540201|2|0.756252127|-0.094773814|0.845160857|-0.055259924|-0.086465795|0.445665682|0.0254134689999999|-57.75236052|16.97420126|43.06242147|60.27663131|-0.033908155|11.3374334|0.702868983|-1.729315897|0.47648509|607.6448353|-1155.04721|2430.634114|-15.12707504|7.392527755|14.12094979|6913.009783|198.4601847|-771.4808267999999|-271.0010972|1643.332169|15.75112771|0.0|0.0|1.0|1.0|1.0|3.68|0.09|26.0|-7.51|3.42|2.0|1.0|0.0|32.0|441.51|0.0|3.48|0.0010199999999999|0.0042299999999999|3.55|0.0|0.0|3.11e-08|1.3699999999999998e-05|3.1819|-1744.446261|-1744.422541|712.54|1214.4|0.2253|306.82|549.0|0.4523|-1744.1781010000002|0.0008|-0.1543|5.9743|-0.21613|-1744.2405670000005|6.0|8.2449|8.2449
