molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|FNSA3|PBF|FPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA2|PNSA4|DPSA3|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|IC50|pIC50
11e_a5|0.0|1|0|2.971327032|0.0|0|1|1.338814635|0.0|-0.2114441819999999|-0.003208975|5.209486153|0.038643235|2|0.020943152|-0.07965|0.008268901|-0.16669151|10.9487795|-0.010236262|1|0.008721244|-0.127225457|-0.147721258|-0.234433859|2|0.77509232|-0.02059071|0.8215345|-0.062865536|0.372098505|0.0120552589999999|62.84782002|0.123241209|-0.0282210629999999|-34.67724171|5.290414418|0.0|-1.580379517|-18.69519243|49.63167715|580.8135016|-1046.930776|960.0428704|-12.38472918|0.27836484|0.936345148|25.90670947|0.016933845|735.3048881|11.21791539|0.0|1.0|1.0|1.0|0.24|23.0|-8.95|4.29|66.93|1.83|2.0|125.71|0.0|7.0|-4.65|31.0|5.0|-6.28|0.0|3.63|-4.72|2.23e-05|0.00919|1.9e-05|3.56|0.0|1.13e-09|-0.03808|2.91|-1316.547103|-1316.512503|717.76|1220.1|302.14|0.5347|0.66478|-1316.239803|0.2125|-0.16751|2.3124|-1316.301553|0.04|7.3979
4d_a46|0.0|0|0|0.0|0.173086735|1|1|1.134637067|2.146507937|-0.1397563859999999|-0.001749881|5.587248657999999|-0.017469934|2|0.047736111|-0.131948546|0.0116902869999999|-0.111025108|10.96333164|-0.076521434|1|0.010756749|-0.206000242|-0.1271933999999999|-0.240143042|2|0.6535171|-0.103199079|0.8075680409999999|-0.056384895|0.290035518|0.008652238|8.241078584|0.063942042|-0.024616555|-21.33218735|2.607946825|74.62074724|-1.132361533|-13.51488667|35.70643728|513.9109507000001|-621.6847867|2233.65548|-7.419891252999999|0.186572035|0.7893441379999999|16.6147308|0.0086574759999999|509.0572545|4.753094337|1.0|1.0|1.0|0.0|0.35|17.0|-7.41|5.11|43.6|2.84|2.0|101.75|0.0|2.0|-4.93|25.0|3.0|-5.4|1.0|4.11|-5.11|1.18e-05|0.00416|7.8e-06|4.3|0.0|3.88e-08|-0.0396399999999999|4.18|-1453.840712|-1453.817782|588.18|1009.78|280.09|0.1313|0.69884|-1453.635434|0.1313|-0.18639|3.5318|-1453.688943|517.0|6.2865
4o_a46|0.0|0|0|0.0|0.160026534|1|1|1.13463699|2.138144369|-0.24479566|-0.000627744|5.587248657999999|0.042766097|1|0.043320988|-0.2363624889999999|0.010870588|-0.203025042|10.93828256|-0.06855792|1|0.010144781|-0.376106593|-0.028735607|-0.096073163|1|0.626333846|-0.09492635|0.8176134690000001|-0.0648126359999999|0.372146122|0.00972341|5.821925821000001|0.049267382|-0.021901697|-19.76117845|2.9243708|31.19780621|-1.051281434|-12.01115223|40.87645867|521.3931342|-576.535307|1705.3950960000002|-6.587059484|0.248979351|0.855222204|15.99310518|0.0108913189999999|544.7877262000001|5.972929428|1.0|1.0|1.0|0.0|0.32|17.0|-7.26|4.94|54.5|2.72|1.0|103.66|0.0|2.0|-4.91|26.0|3.0|-5.51|1.0|3.92|-4.87|1.23e-05|0.00422|1.34e-05|4.06|0.0|5.5e-08|-0.04627|3.76|-1070.456878|-1070.428722|581.59|1022.29|286.64|0.1598|0.6843|-1070.223416|0.1598|-0.18282|3.4494|-1070.276387|162.0|6.7905
galu_a46|0.0|0|0|0.0|0.0|1|1|1.343828866|2.082220175|0.048375705|-0.00642454|5.4161004020000005|-0.080432741|2|0.039550827|-0.090581301|0.002865697|-0.094815394|10.92740177|-0.1121767259999999|1|0.003107816|-0.150645957|0.0481706809999999|-0.4671565689999999|2|0.702976795|-0.173285585|0.875868891|-0.0910072869999999|0.5235416979999999|0.01235603|261.2602893|0.236203592|-0.03220981|-27.89483984|3.870487977|68.43088526|-1.513861067|-18.02733582|57.85086047|427.4851161|-847.2847833999999|1755.2047|-10.08962292|0.2167824069999999|0.880553787|23.01702105|0.013967104|542.7276591|7.817173532999999|0.0|1.0|1.0|1.0|0.18|21.0|-7.13|3.51|86.69|1.84|1.0|108.18|0.0|3.0|-3.85|28.0|4.0|-6.86|1.0|2.84|-3.99|0.0001409999999999|52.0|0.000102|2.39|0.0|7.45e-08|||||||||||||||51.0|7.2924
12aq_a36|0.0|1|0|3.427017327|0.0|0|2|1.297043497|0.0|0.0332421529999999|-0.0116333169999999|5.351858133|-0.135770278|2|0.041728395|0.076517478|-0.006653538|-0.1031859869999999|10.95447882|-0.028591187|1|-0.004569485|0.131910912|-0.090926893|-0.5356623070000001|1|0.892815402|-0.047695595|0.89459881|-0.1093001919999999|0.162384515|0.021389734|86.6958382|0.318529388|-0.042953452|-54.49698711|9.548598682|112.415579|-2.319486422|-28.69889692|87.31909781|455.31741460000006|-1549.740434|2906.024504|-19.17486584|0.238023252|0.743623723|37.66374367|0.020701483|689.2886595|13.83147784|0.0|1.0|0.0|3.0|0.13|17.0|-6.14|0.98|112.29|1.28|1.0|131.85|0.0|6.0|-3.52|32.0|5.0|-7.79|0.0|1.15|-3.45|0.000304|129.0|0.000359|1.55|0.0|7.19e-07|-0.06059|3.88|-1401.669694|-1401.637414|703.04|1190.22|367.26|0.4988|0.6933199999999999|-1401.391057|0.0059|-0.13908|6.7649|-1401.452487|55.0|7.2596
3a_a32|0.0|1|1|3.226454082|0.0|0|0|0.6094208210000001|0.0|-0.0505635059999999|-0.007588088|5.6869753560000005|-0.045659995|0|0.03382716|-0.014365682|-0.002794182|0.102212031|10.31100283|0.125185185|3|-0.001223394|-0.028290955|-0.1568626659999999|-0.491457345|0|0.84134255|0.215012723|0.921812162|-0.080607266|0.30031978|0.0224684379999999|87.55216606|0.182929032|-0.032360692|-20.78892268|4.811337463|0.0|-0.970820756|-14.97491147|47.69828617|378.0996237|-449.2473442|812.930125|-6.929640892|0.327690097|0.855441483|22.27382254|0.0236593529999999|278.73805810000005|10.9483666|0.0|1.0|1.0|1.0|0.07|19.0|-6.12|4.12|110.94|1.19|0.0|83.28|0.0|2.0|-5.32|20.0|3.0|-5.77|1.0|3.32|-4.35|4.83e-06|0.00144|4.51e-05|3.31|0.0|7.66e-07|-0.0558|2.17|-1554.796165|-1554.768725|492.91|801.12|341.48|0.2719|0.70229|-1554.7020630000002|0.2719|-0.15058|3.6178|-1554.748543|3.0|8.5686
16i_a32|0.0|1|1|3.352437091|0.0|0|0|0.6094207429999999|0.0|0.175604846|-0.0146198339999999|5.733341277|-0.075706124|0|0.0439583329999999|-0.056414399|-0.003511776|-0.104899053|10.31100265|0.006037736|3|-0.001202032|-0.098841478|-0.211019184|-0.700853898|0|0.801401734|0.009897928|0.8829894|-0.0857355019999999|0.5368697929999999|0.022335011|90.08098301|0.198505292|-0.036726892|-49.02383532|9.540239197|32.3175507|-1.836344582|-24.00328703|70.6307405|523.8261846|-1200.164351|3450.514629|-15.6876273|0.281035887|0.836873682|33.38593207|0.021112022|636.0251562999999|13.79800742|1.0|1.0|1.0|2.0|0.3|19.0|-7.4|4.85|149.27|1.34|3.0|116.75|1.0|8.0|-7.03|29.0|5.0|-5.93|0.0|3.96|-5.09|9.25e-08|3.96e-05|8.18e-06|4.19|0.0|4.01e-08|-0.05044|4.99|-1995.307733|-1995.279632|692.96|1175.51|342.72|0.2857|0.70222|-1995.055356|0.2857|-0.14976|3353.0|-1995.11813|6.0|8.2596
1l_a5|0.0|1|0|2.964063799|0.0|0|0|1.270375394|0.0|-0.244609612|-0.00183668|4.59511985|-0.0052651969999999|2|0.025672515|-0.111303801|0.008244856|-0.019865028|10.94421389|-0.05139414|1|0.007613233|-0.179824092|0.043915678|-0.21108114|2|0.7245669790000001|-0.091849662|0.818803517|-0.068685233|0.357062421|0.0078543119999999|167.86839980000002|0.109710998|-0.026512937|-21.62050954|2.506287665|0.0|-1.219595099|-14.9768065|43.23617395|502.9124512|-688.9330988|903.1631908|-8.460199385|0.230593886|0.896303416|19.46541135|0.013054186|518.5792364|7.374136537999999|1.0|1.0|1.0|1.0|0.14|23.0|-8.83|5.32|54.46|2.57|1.0|105.07|0.0|4.0|-5.04|26.0|3.0|-5.4|1.0|4.06|-4.98|9.06e-06|0.00308|1.04e-05|4.19|0.0|1.4800000000000003e-09|-0.04149|3.89|-1069.261615|-1069.229786|609.85|1033.47|283.95|0.4921|0.45892|-1069.047151|187.0|-0.1779|2.1987|-1069.101032|32.0|7.4949
9d_a40|0.0|0|0|0.0|0.0|1|0|0.604992329|1.839557351|0.007834411|-0.003961493|5.4161004020000005|-0.022152094|0|0.045555556|0.153818743|0.011823978|0.15723868|10.3119722|-0.137738587|2|0.010101686|0.259969752|0.019621984|-0.4887998529999999|0|0.601831605|-0.223631751|0.8221990920000001|-0.060319196|0.002088915|0.010749826|108.1468558|0.058372388|-0.031613312|-19.03015798|2.854868966|50.47044708|-1.074852592|-16.29154841|36.6245851|485.2567189|-553.912646|336.6614768|-8.395657932|0.133579429|0.87714454|18.80327978|0.0087217999999999|346.9019309|4.49467719|1.0|0.0|0.0|0.0|0.06|20.0|-7.0|5.09|58.43|4.07|1.0|91.71|0.0|2.0|-6.13|22.0|2.0|-4.62|1.0|4.63|-5.65|7.37e-07|0.0002399999999999|2.23e-06|5.16|0.0|1.01e-07|-0.06906|4.7|-1677.551678|-1677.540538|542.19|892.69|370.51|0.4888|0.4557199999999999|-1677.429981|0.4025|-0.13875|6.2032|-1677.48058|107.0|6.9706
16d_a32|0.0|1|1|3.311658163|0.0|0|0|0.609420775|0.0|0.170838661|-0.017249763|5.733341277|-0.087123461|0|0.0421759259999999|0.0115077539999999|-0.00839148|-0.134892903|10.31100273|-0.0517549079999999|3|-0.005427254|0.021406827|-0.239509216|-0.68301199|0|0.816581223|-0.0847953219999999|0.916850163|-0.091212351|0.41654798|0.032003415|115.2070109|0.244506926|-0.036437402|-39.15098916|10.90312918|48.61700321|-1.493933474|-21.26791022|71.91900971|440.9688416|-871.9843187999999|3152.666302|-12.41372827|0.384250302|0.79521327|34.53986301|0.0332953229999999|457.7130665|19.43393087|1.0|1.0|1.0|2.0|0.18|19.0|-6.59|3.82|149.27|0.65|1.0|102.33|1.0|6.0|-5.65|26.0|5.0|-6.62|1.0|3.12|-4.18|2.22e-06|0.000856|6.659999999999999e-05|2.86|0.0|2.55e-07|-0.05068|3.78|-1877.360551|-1877.332369|621.59|1023.44|341.83|0.2915|0.70217|-1877.185022|0.2915|-0.15009|3.2048|-1877.241687|8.0|8.1135
12c_a5|0.0|1|0|2.977832018|0.0|0|1|1.236775191|0.0|-0.212798523|-0.002685954|4.59511985|0.020594766|3|0.0252713179999999|-0.086795626|0.0054189009999999|-0.096073591|10.9455378|0.0072946769999999|1|0.00586291|-0.1386392109999999|-0.020144382|-0.223631474|2|0.808899433|0.014673577|0.8446264459999999|-0.070873852|0.450827114|0.016374249|143.44655559999998|0.158907079|-0.022421317|-28.59715492|7.085796743|13.26856229|-1.25559373|-14.74941369|57.39441476|553.2961182|-825.9671665|2045.184304|-9.702606135|0.416414105|0.855075538|25.27376659|0.024214085|735.3048881|15.92875034|0.0|1.0|1.0|2.0|0.24|23.0|-9.31|4.32|75.72|1.57|1.0|121.26|0.0|6.0|-4.09|31.0|5.0|-6.79|0.0|3.31|-4.33|8.159999999999999e-05|0.0336|4.64e-05|2.84|0.0|4.93e-10|-0.04565|2.06|-1316.542713|-1316.5202869999998|694.24|1200.02|309.06|0.1513|0.52074|-1316.244961|105.0|-0.16563|3.0135|-1316.305277|47.0|7.3279
16g_a32|0.0|1|1|3.363965155|0.0|0|0|0.609420729|0.0|0.1739995319999999|-0.013775701|5.733341277|-0.0429252429999999|0|0.03898374|-0.049658216|-0.002456725|-0.029193403|10.31100263|0.004735761|3|-0.00030659|-0.085591073|-0.202656848|-0.696926204|0|0.79965447|0.008494733|0.8821580379999999|-0.078387439|0.542303725|0.023959586|90.88837862|0.1793577589999999|-0.033839807|-57.31234426|13.01585399|43.37912747|-1.79350976|-24.94161377|75.43482709|604.8539801|-1321.90553|3497.469035|-18.38320476|0.313667656|0.65902387|36.34043182|0.02276861|701.9321161|16.78159325|1.0|1.0|1.0|2.0|0.33|19.0|-8.16|5.38|149.27|1.57|3.0|121.56|1.0|10.0|-7.51|30.0|5.0|-5.69|1.0|4.37|-5.32|3.08e-08|1.36e-05|4.83e-06|4.65|0.0|6.890000000000001e-09|-0.05|5.38|-2034.621991|-2034.593036|752.29|1245.25|342.86|0.2879|0.70222|-2034.342619|0.2879|-0.14968|3.7346|-2034.408165|11.0|7.9586
9g_a40|0.0|0|0|0.0|0.0|1|0|0.604992427|1.849105962|-0.058811055|-0.0054957819999999|5.4161004020000005|-0.0220464379999999|0|0.043730159|0.07954859|0.011921308|0.139758613|10.31197177|-0.145879501|2|0.0115573539999999|0.133954053|-0.062672355|-0.383703998|0|0.694156166|-0.242405063|0.821935848|-0.063539055|0.002717414|0.021367335|65.74631496|0.09545843|-0.031197254|-21.93596333|5.930596229|64.08637519|-1.185495647|-16.43578193|44.73159432|476.5434822|-624.5597134|349.4421673|-8.658932892000001|0.259759794|0.909806709|22.20330888|0.018087202|384.6422631|9.528957565|0.0|1.0|1.0|1.0|0.06|22.0|-6.43|2.93|72.28|0.64|0.0|87.53|0.0|3.0|-2.49|23.0|4.0|-7.17|0.0|1.93|-3.09|0.00323|977.0|0.0008179999999999|1.37|0.0|3.720000000000001e-07|-0.0624|3.83|-1332.487689|-1332.476347|559.04|923.42|402.84|0.3563|0.70233|-1332.31775|0.3563|-0.12765|3.4787|-1332.369643|3548.0|5.45
18_a15|0.0|0|0|0.0|0.0|0|0|1.435689019|0.0|-0.020185809|-0.006149666|0.0|-0.090130715|2|0.037948718|-0.094812415|-0.001044324|-0.066226471|10.95986315|0.002685285|0|0.000539978|-0.190640601|-0.145790726|-0.431836192|2|0.660075777|0.004699248|0.765450925|-0.067562078|0.819442071|0.007146033|40.37881101|0.163771093|-0.035181092|-33.93632895|2.672871589|1.833724661|-1.723873519|-21.51621375|45.69032922|511.4247108|-1054.294474|2510.854462|-13.15898469|0.132569119|0.711733271|24.80452821|0.008781964|590.2470602999999|5.370913621000001|1.0|1.0|1.0|1.0|0.08|24.0|-9.98|6.86|47.04|3.6|2.0|113.42|0.0|5.0|-6.16|29.0|4.0|-4.8|1.0|5.06|-5.93|6.86e-07|0.000265|1.18e-06|5.42|0.0|1.0399999999999999e-10|-0.03581|5.65|-1265.810138|-1265.770242|650.53|1110.18|324.29|0.2686|0.6074|-1265.556558|0.0066|-0.1579|4.2476|-1265.614679|129.0|6.8894
26_a20|0.0|0|0|0.0|0.0|1|0|1.4165417530000002|1.877209467|-0.000846851|-0.00578453|4.727387819|-0.104520106|2|0.0396875|0.1516835819999999|0.003085806|-0.054222344|10.93106273|-0.033102079|1|0.003149352|0.249416844|0.057022334|-0.446730587|2|0.7071284179999999|-0.055150498|0.8096894440000001|-0.0862808009999999|0.423153994|0.012753218|299.8332395|0.20662747|-0.0327795789999999|-37.66339899|5.806030949|80.47551422|-1.737317706|-22.11735334|66.82118688|535.3119506|-1172.219727|2534.075607|-14.92323356|0.215111274|0.8952138340000001|28.17896678|0.014879363|712.1606951|10.03954725|1.0|1.0|1.0|1.0|0.08|27.0|-9.18|4.62|86.69|2.47|2.0|125.0|0.0|5.0|-5.14|32.0|4.0|-6.28|1.0|3.66|-5.02|7.27e-06|0.00305|9.51e-06|3.63|0.0|6.64e-10|-0.05097|4.97|-1352.315376|-1352.277633|715.27|1211.34|318.77|0.2081|0.50878|-1352.036122|0.0814|-0.16129|3.8173|-1352.098465|131.0|6.8827
