molecula|SddssS|NaaNH|n9FaHRing|SaaNH|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|WNSA3|DPSA5|PNSA4|PNSA2|MOMI-Z|WNSA4|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
11_a1|0.0|1|0|3.3361517380000003|1|1|1.430935838|0.0|0.033732316|-0.018080197|5.351858133|-0.196819043|0.035620155|0.08043435|-0.867849442|-0.0127744789999999|-0.05257082|10.94957487|1|1|-0.07452948|-0.117419838|-0.563650254|1|0.823460272|-0.075188762|0.8086124090000001|0.5955245029999999|-0.131972845|-0.126108875|0.2027328789999999|-77.81495049|20.62225192|274.39137789999995|238.4902806|-0.048723884|-43.84323456|84.40380304|-45.88191258|89.80732824|-28.7289904|-1264.075578|1885.148133|-16.93943154|0.912918113|5798.645137|38.20963621|0.02620284|1681.223993|1.0|1.0|1.0|1.0|1.0|2.0|3.25|0.05|23.0|4.28|4.23|1.0|0.0|105.71|4.0|6.0|-6.27|0.0|0.0|1.0|3.22|-4.66|2.17e-05|0.00838|3.35|0.0|0.0|3.35e-08|5.26|3.1924|-1312.462371|-1312.4282380000002|614.86|1036.18|0.5573|331.66|471.76|0.68162|0.3201|5.0526|-0.19462|0.03413353|6.7696|6.7696
21_a47|0.0|0|1|0.0|0|0|1.408713027|1.2247108|0.072733799|-0.010650348|4.727387819|-0.13650463|0.037801932|-0.034419528|-0.511216716|-0.006808306|-0.004063946|10.95058272|1|1|-0.1049885469999999|-0.277479519|-0.5406500129999999|2|0.612295986|0.0927058819999999|0.8856299320000001|0.70582155|-0.082614966|-0.095249919|0.3188717339999999|-46.63227351|12.83540744|34.75044485|166.049938|-0.033866638|-30.34731959|47.95893876|-26.32173133|70.10126935|-19.11612865|-860.2257893999999|1402.202743|-10.79015808|0.862591353|6103.311635|29.64451905|0.028943339|1334.003357|0.0|1.0|1.0|1.0|1.0|2.0|3.29|0.1|21.0|2.94|4.93|1.0|0.0|104.49|6.0|6.0|-6.58|0.0|0.0|1.0|3.43|-4.32|4.84e-05|0.0191|3.0|0.0|0.0|1.98e-08|4.43|3917.0|-1375.061089|-1375.028093|583.37|1014.33|0.2249|316.53|441.93|0.68296|0.2249|3.6767|-0.2249699999999999|0.03299607|8.3|8.3
8b_a8|0.0|1|0|3.191799887|1|1|1.395658149|1.42474537|-0.023718767|-0.013834266|5.4161004020000005|-0.182065125|0.040054466|0.019958073|-0.733216119|-0.0055544409999999|-0.0422693659999999|10.94650923|1|1|0.049587543|0.079250224|-0.5058761820000001|1|0.758899977|-0.0527918259999999|0.8354024290000001|0.558354653|-0.130159955|-0.11627069|0.28604765|-79.74587194|19.87542051|172.84152849999998|270.5854753|-0.047457424|-43.64473805|89.09854311|-48.85837649|84.97574547|-29.07602182|-1424.7250689999998|1821.324722|-17.8141788|0.936224813|6471.7604200000005|37.20755791|0.022425382|1823.170337|0.0|0.0|1.0|1.0|0.0|2.0|3.52|0.09|23.0|3.65|3.03|1.0|0.0|114.18|4.0|5.0|-6.87|0.0|0.0|0.0|2.9|-4.43|3.69e-05|0.0153|2.76|0.0|0.0|7.33e-08|6.41|3.2992|-1407.0843|-1407.052256|640.35|1098.17|0.2618|270.59|488.56|0.57234|0.1515|5.8389|-0.19921|0.03204403|5.2941|5.2941
8c_a32|0.0|1|1|3.46252244|0|0|0.609420757|0.0|0.080016722|-0.0093793719999999|5.733341277|-0.04699673|0.036711712|-0.026467635|-0.459589251|-0.003484915|-0.026048985|10.31100269|3|3|-0.0852122769999999|-0.1534110109999999|-0.578242111|0|0.788133615|-0.11492754|0.8966299409999999|0.801747512|-0.076876481|-0.097480366|0.263222951|-46.47597924|9.818219446|126.6561213|119.85432240000002|-0.027548799|-35.6276568|78.19443734|-28.09723623|74.36515033|-16.654735000000002|-766.1178102000001|3038.837633|-10.06868562|0.8100952690000001|5773.240734|27.72624296|0.025527931|1275.407176|1.0|1.0|1.0|1.0|1.0|2.0|3.46|0.26|19.0|6.49|4.19|1.0|0.0|110.47|7.0|4.0|-6.45|1.0|0.0|1.0|3.56|-4.39|4.11e-05|0.0164|3.21|0.0|0.0|2.23e-08|4.28|3.5673|-1880.764533|-1880.733377|646.97|1090.0|0.3272|347.56|516.78|0.70135|0.3272|8.4922|-0.18873|0.03115673|7.4318|7.4318
11_a27|0.0|1|0|2.680511093|1|2|1.1606177359999998|0.0|0.100091619|-0.0067474069999999|5.4161004020000005|-0.003527607|0.042533875|-0.080272515|-0.344117757|0.004538653|-0.0864111069999999|10.93910312|0|0|-0.041662169|-0.067428705|-0.488734846|2|0.734834532|-0.043616687|0.8629676709999999|0.7645505|-0.079921166|-0.094820973|0.349764196|-42.27430065|8.553922917000001|143.3238715|124.5410133|-0.034296948|-26.52978026|72.60399149|-22.36099135|56.8702158|-18.14137056|-852.6444161000001|1646.903525|-9.595877966|0.82770457|5186.240841|22.42732497|0.012694323|1054.084273|1.0|0.0|0.0|1.0|0.0|1.0|3.95|0.35|16.0|2.72|1.67|0.0|0.0|106.33|2.0|4.0|-6.47|0.0|1.0|0.0|2.04|-4.02|9.45e-05|0.0326|2.73|0.0|0.0|8.2e-07|4.54|2.4836|-1122.456105|-1122.433411|571.4|974.29|0.3492|370.92|415.32|0.6125|0.0793|3.1278|-0.16205|0.0226944|8301.0|8301.0
9a_a40|0.0|0|0|0.0|0|0|0.604993021|1.865740741|-0.028285975|-0.003680068|5.4161004020000005|-0.020455825|0.0397333329999999|0.168990628|-0.136162501|0.01310675|0.157704751|10.31197235|2|2|0.009844552|0.016958188|-0.449508498|0|0.624889926|-0.2990540869999999|0.749764251|0.937600185|-0.060029933|-0.072887601|0.002467659|-29.02567082|5.334966331|109.9916614|30.17155594|-0.032156295|-17.0405052|51.49564873|-14.03449109|39.45618424|-15.54821024|-528.6391483|336.39741360000005|-7.51786994|0.976056482|3991.317015|17.90285474|0.008714375|608.6970611|1.0|0.0|1.0|0.0|1.0|0.0|3.26|0.06|20.0|4.58|4.43|1.0|0.0|86.7|2.0|2.0|-4.85|0.0|1.0|1.0|4.08|-5.08|8.33e-06|0.00243|4.54|0.0|0.0|4.02e-07|4.07|3.3192|-1217.955997|-1217.9449|515.96|847.69|0.4746|263.42|411.01|0.47831|0.3483|3.8656|-0.20303|0.01109672|6.6696|6.6696
19f_a38|0.0|1|0|3.3320764830000003|2|2|1.297044434|0.0|-0.036714749|-0.007831113|5.351858133|-0.084341564|0.041808786|-0.008118156|-0.4228801179999999|-0.002526241|0.035480177|10.96083376|1|1|-0.101303149|-0.217394466|-0.4288343429999999|1|0.724208473|-0.094149094|0.8741648479999999|0.750875987|-0.085318318|-0.111307609|0.488059925|-54.50401599|13.4639011|125.7493111|159.14822980000002|-0.037844587|-45.42524686|12.14075726|-34.81887413|84.35196967|-24.1763087|-1208.815435|2846.860803|-15.44458393|0.8313685409999999|6115.273372|32.91812709|0.020733452|1645.906354|1.0|1.0|1.0|1.0|1.0|3.0|4.82|0.14|17.0|3.13|2.55|1.0|0.0|125.69|5.0|4.0|-6.77|0.0|0.0|1.0|2.67|-4.17|6.77e-05|0.0272|2.78|0.0|0.0|1.4e-07|3.41|3.4422|-1332.190216|-1332.160846|653.22|1105.62|0.3205|233.07|495.68|0.38086|0.0019|5.3152|-0.20104|0.02936908|7.1397|7.1397
47i_a18|0.0|0|0|0.0|1|1|1.251177255|0.0|0.053794607|-0.006882626|4.844187086|-0.066917145|0.037484277|-0.037689885|-0.440488042|-0.000919158|0.073977454|10.94702091|0|0|-0.106018078|-0.162274487|-0.499939719|0|0.742536498|-0.068524374|0.7842882870000001|0.8030751740000001|-0.0780255879999999|-0.089609068|0.279553995|-54.34379065|6.787641686000001|72.81110823|137.1555392|-0.035256027|-43.46880696|82.81385171|-37.84973202|68.954317|-24.55535669|-1497.876758|1333.332089|-17.10248143|0.951017454|6353.6617320000005|28.52393145|0.009393984|1739.959818|1.0|1.0|0.0|1.0|1.0|3.0|4.05|0.22|18.0|3.28|2.8|3.0|1.0|134.83|8.0|3.0|-6.36|0.0|0.0|1.0|2.5|-4.78|1.67e-05|0.00735|3.7|0.0|0.0|1.04e-09|7.37|3.2321|-1416.260696|-1416.233978|744.95|1297.7|0.5085|383.61|664.78|0.69175|0.5085|2.7749|-0.18299|0.02671774|7.7212|7.7212
12e_a36|0.0|1|0|3.490984269|2|2|1.29704412|0.0|-0.064019914|-0.007100632|5.351858133|-0.043085717|0.040899471|0.144415507|-0.404736007|0.002951176|-0.0586405829999999|10.95346131|1|1|-0.104118159|-0.1763783589999999|-0.43688276|1|0.90414347|-0.144846626|0.847602953|0.838086387|-0.07049439|-0.100988761|0.4347714629999999|-44.83739063|12.12502373|65.27404529|102.9838531|-0.036203518|-40.85494129999999|5.735288795|-28.51846223|75.50154216|-23.02695694|-1220.428718|2309.239105|-14.64611103|0.875194483|5929.071389|30.25577504|0.017716522|1603.556077|1.0|0.0|0.0|1.0|0.0|2.0|4.85|0.17|17.0|3.24|2.19|1.0|0.0|128.72|5.0|4.0|-6.55|0.0|1.0|0.0|2.14|-4.3|5.05e-05|0.02|3.04|0.0|0.0|1.08e-07|3.48|3.6699|-1272.2668210000002|-1272.23645|673.57|1142.19|0.4537|323.18|507.03|0.6814600000000001|0.0006|6.5974|-0.20151|0.03037051|7.8539|7.8539
11a_a50|0.0|0|1|0.0|1|1|1.397733996|4.088412042|-0.156121881|-0.002914262|5.82008293|-0.014702942|0.038040936|-0.04339705|-0.134056065|0.011959339|-0.108592708|10.94500606|2|2|-0.162848233|-0.277408878|-0.267331063|1|0.701976536|-0.200986578|0.8535780190000001|0.917127112|-0.048213112|-0.071180382|0.2931724189999999|-25.48858279|9.774322692|7.53108119|43.81199235|-0.025421565|-19.89396594|67.28055926|-13.47492066|48.67321197|-13.43949068|-564.4586084|1550.320581|-7.104987834|0.864799282|4858.670497|20.53832944|0.020887781|862.6098364|0.0|0.0|1.0|1.0|1.0|0.0|3.44|0.15|20.0|3.09|3.73|0.0|0.0|99.65|2.0|3.0|-6.24|0.0|1.0|1.0|2.95|-4.16|6.97e-05|0.0228|2.9|0.0|0.0|1.35e-06|3.05|4.0636|-1045.978598|-1045.954278|574.01|963.2|0.1761|305.11|437.9|0.65485|0.1761|5.4342|-0.2005299999999999|0.02431947|7.2291|7.2291
