molecula|SddssS|NaaNH|n9FaHRing|SssssC|NaasN|SRW09|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|AATSC8d|n5aHRing|AATSC7i|MATS1i|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA3|PBF|FPSA3|PNSA3|PNSA5|RPSA|TPSA_x|FNSA4|RPCS|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|WNSA2|DPSA4|FPSA5|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
15_a10|0.0|0|0|0.0|1|7.535296702|1.277647202|2.124460476|-0.166303336|-0.0027892409999999|5.4161004020000005|2|-0.0729795729999999|1.981569297|-0.142251304|-0.055918786|-0.05940848|1|-0.1157120169999999|-0.085979341|0.808676284|-0.079744227|-0.105662909|0.863438637|0.635064845|-0.059234364|0.710970489|0.018614889|-35.30133759|-44.18725043|0.084473199|50.34268476|-0.025240716|108.7226878|-1.186313662|-21.03820054|56.66229609|46.39507481|0.434181679|2549.580207|-706.9960069|2288.954984|0.353587352|6.35937164|0.767351752|-421.3416484|23.27068984|0.020932674|563.875765|1.0|1.0|1.0|0.0|3.29|3.31|0.23|21.0|-8.3|4.91|52.83|2.53|1.0|111.21|1.0|4.0|390.87|1.0|1.0|-4.81|13.0|1.56e-05|0.0061|3.68|5.01e-09|1.96e-06|-0.05243|5.7922|3.12|3.7997|641.98|1086.19|484.05|0.41458|-1603.851644|0.1647|4.5192|-0.20983|0.03039798|6.1563|33.0|7.4815
8b_a31|0.0|1|0|0.0|0|7.765993078999999|0.610137861|0.0|-0.01883655|-0.013629145|5.733341277|0|-0.130371116|0.0|-0.57242407|-0.211457443|-0.069423138|2|-0.222667869|-0.05421947|0.843119174|-0.058494079|-0.1155280009999999|0.8956498159999999|0.8761979520000001|-0.120703408|0.281200674|0.03234629|-63.04219151|-69.24221375|0.392380774|204.9365822|-0.040792077|472.8995873|-1.590890986|-32.92631065|82.21438954|79.93633765|0.479278|2189.617009|-830.906565|1587.743824|0.296530645|6.142377144|0.920410507|-433.9742484|30.28603362|0.02483711|372.3224834|0.0|1.0|1.0|2.0|3.4|2.71|0.25|16.0|-5.73|4.52|114.29|0.61|0.0|88.64|2.0|5.0|328.39|0.0|1.0|-3.4|0.0294|0.000399|131.0|2.02|1.86e-06|0.00061|-0.0325|3.8582|1.77|3.8582|566.18|927.61|439.96|0.70036|-1386.681003|0.2643|3.6945|-0.19265|0.03659821|5.6001|2.2|5.6576
12aa_a36|0.0|1|0|0.0|0|7.412764017000001|1.297043479|0.0|0.033952382|-0.011588438|5.351858133|2|0.03597264|0.0|-0.672129428|0.010538281|-0.013898809|1|0.0620143779999999|-0.052743904|0.833911317|0.156337925|-0.023185884|0.888163057|0.849217847|-0.1066659309999999|0.4679233379999999|0.023617545|-72.94175494|-80.19356964|0.3110547589999999|212.7097172|-0.04126187|109.0001157|-2.228140982|-49.88002793|96.18613736|89.09222754|0.44829258|2928.7759760000004|-1523.677823|2418.848273|0.2686642589999999|8.05947774|0.812554922|-1041.942197|38.58180913|0.023386634|689.2886595|0.0|0.0|0.0|3.0|4.83|0.0|0.13|17.0|-6.14|1.92|112.29|1.28|0.0|131.85|1.0|5.0|424.46|0.0|0.0|-3.45|129.0|0.000359|152.0|1.55|7.19e-07|0.000305|-0.05111|3.8899|3.88|3.8899|701.99|1183.76|520.19|0.6931|-1401.389257|0.4446|3.5904|-0.20829|0.04550032|4.7433|9.0|8.0458
3m_a32|0.0|1|1|0.0|0|7.773594467000001|0.609420748|0.0|0.013867955|-0.006290106|5.733341277|0|-0.0370712179999999|2.175099216|-0.3082152019999999|-0.084132138|-0.078038283|3|-0.065422345|-0.04918838|0.817967125|-0.0067207069999999|-0.126422018|0.872498916|0.6672533589999999|-0.084626325|0.317009723|0.013428623|-50.60363458|-56.15082133|0.201976727|120.7751424|-0.027127559|0.0|-1.220740175|-30.25923462|67.1606709|58.63348955|0.4687361229999999|2588.590536|-729.9606772999999|2363.601309|0.325531778|7.0752395770000005|0.882303773|-436.4914018999999|24.05057475|0.018412178|554.9424306|1.0|0.0|1.0|1.0|3.51|2.93|0.3|19.0|-7.38|7.02|128.01|1.74|0.0|110.36|1.0|4.0|394.51|0.0|1.0|-4.86|0.000449|1.39e-05|0.00547|3.57|4.190000000000001e-08|1.65e-05|-0.05731|3.5749|5.1|3.5749|641.52|1073.31|484.34|0.7026600000000001|-1863.279862|0.2952|5082.0|-0.2056599999999999|0.0339106999999999|8.0755|23.0|7.6383
4d_a46|0.0|0|0|0.173086735|1|7.825245291|1.134637067|2.146507937|-0.1397563859999999|-0.001749881|5.587248657999999|2|-0.131948546|0.0|-0.085744171|-0.111025108|-0.076521434|1|-0.206000242|-0.0814707009999999|0.764741337|-0.213089038|-0.103199079|0.8075680409999999|0.623144956|-0.056384895|0.290035518|0.008652238|-30.95621863|-38.85529917|0.063942042|35.10521457|-0.024616555|74.62074724|-1.132361533|-16.99546444|43.60839351|35.70643728|0.441136013|2181.291783|-621.6847867|2233.65548|0.186572035|5.757075209|0.7893441379999999|-341.3149976|16.6147308|0.0086574759999999|509.0572545|1.0|0.0|1.0|0.0|3.78|3.5|0.35|17.0|-7.41|4.81|43.6|2.84|1.0|101.75|1.0|3.0|352.86|1.0|1.0|-5.11|0.00416|7.8e-06|0.00275|4.3|3.88e-08|1.3699999999999998e-05|-0.0396399999999999|4.4265|4.18|4.4265|588.18|1009.78|503.76|0.69884|-1453.635434|0.1313|3.5318|-0.22603|0.02292966|3.7104|517.0|6.2865
12_a1|0.0|1|0|0.0|0|7.423568444|1.430936075|0.0|-0.0455890429999999|-0.011221829|5.351858133|1|0.076867966|0.0|-0.516204114|-0.0811332759999999|-0.051772288|1|0.127560614|-0.104622651|0.749817035|-0.045776997|-0.093957115|0.817998205|0.7534284040000001|-0.0964711209999999|0.210514881|0.033770552|-55.99493147|-60.78517756|0.234878615|136.3310784|-0.039894864|477.1158679|-1.675584287|-32.50125347|74.99749378|75.59644237|0.46449367|2592.245875|-972.562841|1825.150911|0.275333347|7.679719277999999|0.867391557|-564.5066541|31.95435864|0.024485753|473.040639|1.0|1.0|1.0|1.0|3.29|2.72|0.05|23.0|-8.2|4.87|83.82|1.67|0.0|103.47|1.0|5.0|366.37|0.0|1.0|-4.75|0.00379|1.77e-05|0.00649|3.54|6.28e-09|2.3e-06|-0.07042|3734.0|3.67|3.1744|607.42|1018.84|482.51|0.69114|-1215.922313|0.2821|7.7454|-0.19916|0.0296752|10.1801|2.95|5.5302
12b_a30|0.0|0|0|0.0|0|7.412764017000001|0.604984682|0.0|0.047132642|-0.007353271|5.351858133|2|-0.074391852|0.0|-0.3897233479999999|-0.037209579|-0.072247675|1|-0.165287712|-0.0541804029999999|0.824373792|-0.009146339|-0.1240820219999999|0.880943609|0.64876559|-0.08354129|0.383979687|0.017341789|-53.05077947|-62.96700664|0.235262423|149.39744040000002|-0.038448551|0.0|-1.883979001|-33.68855323|73.02913136|64.06324295|0.4676268939999999|2849.095245|-1196.373126|2347.979099|0.201479318|7.393647884|0.878381889|-759.7264385|30.57626261|0.01584525|618.6004214|1.0|0.0|0.0|1.0|4.63|0.0|0.14|17.0|-6.9|4.25|81.65|3.2|0.0|127.24|1.0|5.0|416.47|0.0|0.0|-5.01|0.00171|9.71e-06|0.00405|3.97|1.26e-07|5.260000000000001e-05|-0.05351|5.0567|4.07|3.5207|673.18|1130.68|516.78|0.3159099999999999|-1674.7778119999998|0.1525|3.7327|-0.20289|0.03351603|4.5545|7.0|8.1543
1j_a5|0.0|1|0|0.0|0|6.605297921|1.427567371|0.0|-0.2031633169999999|-0.003981454|4.59511985|2|-0.115553003|0.0|-0.175183967|-0.07622096|-0.032333695|1|-0.190920568|-0.010807075|0.7862755770000001|-0.084090414|-0.0614852279999999|0.848473695|0.717355058|-0.073803258|0.35883584|0.019690225|-39.64241895|-40.01980349|0.152836128|82.09385267|-0.027258236|1.471030887|-1.117587665|-21.29338752|54.3827755|50.21875634|0.469085779|2242.805131|-600.2970524|847.5275797|0.383510433|7.328149934|0.883543443|-322.4414176|23.74961767|0.026739895|422.96706330000006|1.0|1.0|1.0|1.0|2.76|2.66|0.05|23.0|-8.14|4.5|63.69|1.57|0.0|96.98|1.0|4.0|328.37|1.0|1.0|-4.2|0.0304|6.29e-05|0.0206|3.03|7.190000000000001e-09|2.36e-06|-0.03832|4.4331|2.61|4.1205|572.47|959.39|445.81|0.66182|-1065.671975|0.1644|2.2503|-0.20645|0.03246499|3.0364|24.0|7.6198
8h_a8|0.0|1|0|0.0|1|7.05012252|1.3918396709999998|1.241306689|0.038482973|-0.010324979|4.844187086|0|0.008138299|0.0|-0.485274006|-0.085125857|0.007079485|1|0.021094825|0.09830823|0.6971223040000001|0.111824921|0.010682683|0.751162751|0.56916135|-0.122706004|0.273425421|0.0111998669999999|-72.14530885|-66.4523265|0.397594866|233.7669182|-0.048805507|53.78973456|-2.147442322|-42.41801879|70.94463092|78.73029948|0.451435543|2623.688756|-1262.594204|2019.780061|0.081684095|7.453557203|0.822939833|-742.3454901|31.2477685|0.00764059|485.8626377000001|0.0|0.0|0.0|2.0|3.11|2.73|0.0|23.0|-7.95|4.69|80.88|4.11|0.0|105.27|1.0|4.0|391.37|0.0|0.0|-5.0|0.0023899999999999|1.01e-05|0.00395|3.82|1.13e-08|4.43e-06|-0.06344|4801.0|7.71|3.7327|608.39|1029.51|480.09|0.56196|-1361.455676|272.0|3.4779|-0.21819|0.03330037|4.4356|11.59|4.9359
15b_a10|0.0|0|0|0.0|1|7.535296702|1.3438370730000002|2.145379897|-0.197213588|-0.002413027|5.4161004020000005|2|-0.111812184|2.0455289690000003|-0.149607679|-0.082365722|-0.058911857|1|-0.175869992|-0.174170642|0.791078367|-0.058258414|-0.104250125|0.83320417|0.7199249390000001|-0.046334564|0.697099355|0.015973068|-31.76194123|-50.44100799|0.078081026|53.52386591|-0.024105015|118.6253241|-1.398090862|-21.77253505|62.53159836|42.7113409|0.414077981|2716.468606|-958.3791518|2603.829652|0.329763626|6.6940006620000005|0.706711759|-656.9605906|24.65365821|0.017637846|766.4127559|0.0|1.0|1.0|0.0|3.61|3.89|0.32|21.0|-8.18|4.34|56.07|2.14|0.0|123.73|1.0|5.0|413.51|1.0|0.0|-4.64|0.0185|2.28e-05|0.00943|3.49|6.609999999999999e-09|2.73e-06|-0.04734|5.7620000000000005|2.74|3.7625|721.17|1231.3|587.53|0.46711|-1317.429772|0.1595|4.7752|-0.20313|0.02977516|6.1384|85.0|7.0706
