molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nARing|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|AATSC1i|MATS1c|BIC2|MATS8d|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RPSA|FNSA4|WPSA3|RPCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w MLOGP|Veber filter|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
16f_a32|0.0|1|1|1|0.0|0|0|0.0|-0.014558301|5.733341277|-0.054907428|0|0.039958333|0.008658653|-0.77158995|-0.003511776|-0.081644236|10.31100265|-0.000291262|3|0.0151704889999999|-0.211019184|-0.697693907|0.852938445|-0.000510986|0.899839182|0.761506727|0.8072754790000001|-0.08168632|-0.111152081|0.522247991|-56.53102601|16.90955989|0.192724521|-0.035568666|11.7022626|47.24868477|-1.778433296|92.82839829|73.4405859|0.384656622|2772.212354|-1230.764939|3414.006186|-17.03501995|0.30526292|8.79158776|14.28728752|6235.040893|211.2572338|35.43109972|0.022983292|1771.554986|636.0251562999999|15.90558963|1.0|1.0|1.0|1.0|3.76|0.3|-7.77|1.34|1.0|5.0|-5.99|427.54|1.0|4.05|-4.97|1.12e-07|1.07e-05|0.00457|4.11|0.0|0.0|7.26e-06|-0.04997|4.99|3.6272|-1995.278839|722.06|0.2931|0.70204|0.70204|0.2931|3.6641|-0.2|0.02889673|-1995.117771|4.2764|9.0|8041.0|8041.0
15b_a50|0.0|0|1|1|0.0|2|1|4.112770601|-0.0045393|5.82008293|-0.05484142|1|0.032843915|-0.103807905|-0.22696498|0.004641091|-0.06083723|10.94501702|-0.124047802|2|-0.17223348|-0.2185722769999999|-0.310946931|0.8259784720000001|-0.216393362|0.8833003970000001|0.764606364|0.8209134840000001|-0.082576068|-0.080700307|0.447220762|-47.20879251|11.48191704|0.179086516|-0.028069672|6.564219549|0.0|-1.291204916|60.03646705|58.69070955|0.478989976|2441.264256|-738.1827030000001|1692.3273379999998|-9.174337796|0.3609826579999999|6.89125222|13.22671714|5205.2135960000005|206.3740238|25.11269883|0.024313507|1155.184146|510.3677388|13.90004811|1.0|1.0|1.0|1.0|3.56|0.19|-5.72|1.66|0.0|4.0|-6.98|357.41|0.0|2.37|-3.6|0.000654|0.000249|0.0891|2.11|0.0|0.0|0.000687|-0.0333399999999999|2.08|4.0561|-1160.463663|613.37|0.1796|0.65917|0.65917|0.1796|6.9054|-0.20071|0.03528279|-1160.330621|9.3788|79.0|7.1024|7.1024
8m_a46|0.0|0|0|0|0.2148468989999999|1|1|2.126524943|-0.00517896|5.533389489|-0.085284636|1|0.047345679|-0.134230003|-0.248590088|0.0063680119999999|-0.120972269|10.94650201|-0.064176245|1|-0.206020062|0.015631887|-0.380393836|0.7699708959999999|-0.090247845|0.8142050040000001|0.77612204|0.876210355|-0.0911455|-0.085204935|0.280198209|-48.32436573|3.742817678|0.123789645|-0.032188531|1.984401749|0.0|-1.448483903|48.72163155|52.0671834|0.425802465|2045.330306|-767.9706141|1913.813025|-9.04821721|0.114510313|5.684332261000001|9.899611044|4439.758321|60.71213839999999|19.27296714|0.006689855|867.2835213999999|463.1469765|3.546889545|0.0|0.0|1.0|1.0|3.24|0.3|-6.46|2.62|0.0|3.0|-5.61|319.4|0.0|3.53|-4.56|3.3e-05|2.78e-05|0.0088799999999999|3.72|0.0|0.0|0.000112|-0.01818|4.12|4.2881|-1014.091966|570.72|0.3905|0.43001|0.6997800000000001|0.1441|2.0174|-0.19715|0.03472717|-1013.962913|3.1675|229.0|6.6402|6.6402
27_a47|0.0|0|1|1|0.0|1|1|2.041063341|-0.003631596|4.727387819|0.006768957|3|0.0304347829999999|-0.067535989|-0.207000956|0.001861676|0.0427469459999999|10.95005714|0.013336016|1|-0.137440913|-0.157688306|-0.280944221|0.804224077|0.023325573|0.8517043879999999|0.634406338|0.846469886|-0.0630454209999999|-0.079484997|0.337815064|-40.35526807|10.56549582|0.153530114|-0.028494622|6.762956126000001|3.180329084|-1.510214943|63.02085767|50.9207639|0.475450742|2804.020752|-966.6860481|2181.236691|-11.67498331|0.299267237|7.083168776|13.50334344|6433.288104|191.5604557|26.02898047|0.018969968|1379.535965|682.9868225|12.14264461|1.0|0.0|1.0|1.0|3.37|0.26|-8.82|3.11|0.0|5.0|-6.34|436.91|0.0|3.91|-5.05|1.5399999999999998e-05|8.89e-06|0.0038799999999999|3.7|0.0|0.0|6.55e-07|-0.05814|2.97|3.8125|-1778.078632|673.27|0.4007|0.40976|0.69381|0.1839|4.0365|-0.21594|0.02633483|-1777.891054|5.2214|2512.0|5.6|5.6
8f_a8|0.0|1|0|0|0.0|1|0|1.241306689|-0.01032134|4.844187086|-0.249095464|0|0.043758865|0.0587545909999999|-0.485102985|-0.007796225|-0.08540947|10.94343488|0.007079485|1|0.152294451|0.254819201|-0.5373378529999999|0.6971223040000001|0.010682683|0.751162751|0.56916135|0.5968139689999999|-0.122135295|-0.1064257719999999|0.308621017|-71.22071405|7.91086576|0.403186031|-0.048375351|4.613060521|67.99102163|-2.128515439|67.4402386|79.13157981|0.456995667|2622.044457|-1241.2005|1892.066521|-16.44956443|0.09422952|7.504290616|13.81994609|5948.547713|54.94802877|31.14376424|0.009226445|1370.325626|485.8626377000001|5.380213594|0.0|0.0|0.0|0.0|3.14|0.0|-7.95|4.11|0.0|4.0|-5.98|391.37|0.0|4.04|-5.0|6.11e-06|1.01e-05|0.00395|3.82|0.0|0.0|4.43e-06|-0.0675299999999999|7.71|3.4876|-1361.626748|602.63|0.3188|0.55661|0.69925|0.1659|5.8283|-0.21285|0.03173623|-1361.510739|7.8014|22.76|4.6428|4.6428
12a_a32|0.0|1|1|1|0.0|0|0|0.0|-0.009460484|5.733341277|-0.057200812|0|0.036711712|-0.0134169989999999|-0.463563696|-0.003484915|-0.031249617|10.31100269|-0.074344282|3|-0.024155151|-0.1534110109999999|-0.583507277|0.845443342|-0.125149165|0.8966299409999999|0.7507116140000001|0.788702323|-0.085324121|-0.109151429|0.288267255|-53.20970382|10.31184223|0.211297677|-0.0308471429999999|6.430656017|62.28768050000001|-1.4189685719999998|81.41372467|63.52154605|0.456641145|2572.916338|-884.8951120999999|3030.946307|-11.99645651|0.332293625|7.083688576|13.03685125|5656.0082|207.2244662|28.81034388|0.021399091|1325.275819|557.1050635|13.34486989|1.0|1.0|1.0|1.0|3.45|0.26|-7.65|1.1|1.0|4.0|-6.32|397.52|1.0|3.6|-4.5|9.78e-07|3.17e-05|0.0126|3.39|0.0|0.0|8.86e-06|-0.05222|4.63|3576.0|-1880.734215|667.68|0.2908|0.7025600000000001|0.7025600000000001|0.2908|3.0517|-0.20049|0.03682626|-1880.600043|4.2371|25.0|7.6021|7.6021
12ar_a36|0.0|1|0|0|0.0|0|2|0.0|-0.007046017|5.351858133|0.000258844|2|0.040839506|0.083451772|-0.40866901|0.000939229|-0.1073795209999999|10.95407427|-0.036002609|1|0.145909555|-0.169341326|-0.4194638229999999|0.8371588959999999|-0.064014394|0.89459881|0.8196353679999999|0.8365428659999999|-0.080760277|-0.098732471|0.317338373|-54.80317647|15.19305207|0.163457134|-0.0347392029999999|10.30986449|0.0|-1.875916952|82.17472548|69.99622854|0.4743067589999999|2902.67985|-1272.979877|2404.999137|-15.99689556|0.294408813|8.770514183|16.68371115|6155.432771|199.7830951|33.4098581|0.0223636779999999|1804.132337|708.5476357999999|15.17578458|1.0|0.0|1.0|0.0|4.86|0.17|-7.05|1.59|0.0|5.0|-7.21|420.47|0.0|1.8|-3.91|0.0001199999999999|0.000122|0.0515|2.33|0.0|0.0|3.76e-05|-0.0566|3.23|3.8489|-1364.467971|717.19|0.5586|0.41433|0.67174|0.2372|6.4688|-0.21291|0.04327285|-1364.2977050000002|8.7322|25.0|7.6021|7.6021
1h_a5|0.0|1|0|0|0.0|0|0|0.0|-0.001978474|4.59511985|-0.009075016|2|0.026339869|-0.02598568|-0.085074391|0.008031558|-0.1197834419999999|10.94466758|-0.044117647|1|-0.043247682|0.0578378779999999|-0.20140246|0.780175595|-0.082079343|0.8436458929999999|0.6977404359999999|0.8806402259999999|-0.067599619|-0.069496749|0.39793593|-35.25675213|4.588992214|0.119359774|-0.027798699|2.393400474|0.484419999|-1.111947978|44.51475742|39.84574434|0.489507204|2107.271793|-579.9392753|819.6979313999999|-7.561719827|0.2549450239999999|6.711386288|13.14687756|4334.547353|132.96722079999998|19.45961351|0.01585373|778.3845404|409.0289917|8.268552715|1.0|0.0|1.0|1.0|2.8|0.05|-8.41|2.13|0.0|3.0|-5.77|312.37|0.0|3.43|-4.45|5.5700000000000005e-05|3.5600000000000005e-05|0.0111|3.43|0.0|0.0|1.21e-06|-0.04124|3.17|4.3651|-990.6032645|556.57|0.3333|0.4112699999999999|0.57155|0.1754|2.2396|-0.21921|0.031392033|-990.523098|3.3752|28.0|7.5528|7.5528
12bg_a36|0.0|1|0|0|0.0|0|2|0.0|-0.0076819|5.351858133|-0.044573523|2|0.044197531|0.057879142|-0.414822602|-0.001012333|-0.060117593|10.95885259|-0.0206090089999999|1|0.097928606|-0.1716508239999999|-0.4459167329999999|0.836170906|-0.033696875|0.892249657|0.771220556|0.840610352|-0.075439837|-0.102664465|0.543472602|-51.74990566|13.44952052|0.159389648|-0.036959207|9.22604612|14.85588272|-1.847960372|83.78068847|65.19942617|0.46245521|2925.402039|-1267.656166|2915.548359|-17.39163005|0.252132272|7.549463377|14.04434294|6753.439903|172.9566471|33.900544700000005|0.01946912|1695.0272350000002|661.6709012|13.35534589|1.0|1.0|1.0|0.0|4.75|0.14|-7.76|2.99|0.0|4.0|-6.26|450.32|0.0|2.82|-5.18|8.27e-06|6.55e-06|0.00295|3.93|0.0|0.0|7.83e-06|-0.0542299999999999|4.42|3.8944|-2152.104584|703.94|0.4409|0.69395|0.69395|0.4409|6.6844|-0.21166|0.03334656|-2151.975577|9.3601|15.0|7.8239|7.8239
12v_a30|0.0|0|0|0|0.0|0|2|0.0|-0.006974714|5.351858133|-0.029548782|2|0.04625323|-0.099831334|-0.369659818|0.002431329|0.020607357|10.31162873|-0.04950715|1|-0.173424818|-0.0857954809999999|-0.471153275|0.83236194|-0.080971844|0.889479916|0.711738503|0.8501212029999999|-0.077138874|-0.0971402169999999|0.404950755|-52.18846092|10.70556236|0.1498787969999999|-0.037666615|7.242869835|0.0|-1.845664126|75.73440678|62.89402328|0.478535287|3001.758432|-1248.687792|2483.120571|-17.2408622|0.193930933|8.114588039|15.56114504|6952.110426|131.2043645|31.6144427|0.014801518|1549.107692|685.6665849999999|10.01399667|1.0|1.0|1.0|0.0|4.62|0.14|-7.8|3.79|0.0|4.0|-5.52|467.37|0.0|3.59|-6.04|2.64e-07|9.14e-07|0.0004269999999999|5.12|0.0|0.0|7.39e-06|-0.0563|5.08|3.5507|-2494.92869|715.58|0.1601|0.68405|0.68405|0.1601|2.9171|-0.20681|0.03495552|-2494.802821|4105.0|22.0|7.6596|7.6596
