molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|BCUTs-1|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|n6aHRing|MATS8s|GATS1pe|RASA|FNSA3|FNSA5|PNSA3|PNSA5|PPSA3|TPSA_x|WPSA3|RPCS|FNSA1|DPSA5|GeomPetitjeanIndex|TASA|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
13a_a6|0.0|0|0|3.417162147|0.0|0|7.412764017000001|1.430639975|5.351858133|-0.0265090529999999|0.041767677|0.0|-0.602500119|-0.00460563|10.95129557|1|1|-0.00194781|0.05269025|-0.10896749|1|0.090839165|0.8013954109999999|0.77450544|-0.094081761|-0.113446379|-61.52313164|-74.18628740000001|20.83876732|147.4582473|13.62714959|554.4922449|0.759912392|87.37044493|0.467070451|506.474367|2626.396685|-17.46461983|0.240087608|15.08351934|0.8764206290000001|6019.922535|157.0011174|-339.9303794|1757.246214|13.18415753|1.0|1.0|1.0|1.0|3.53|3.2|-9.01|4.98|4.32|95.85|1.29|2.0|116.79|0.0|-5.51|5.0|-6.1|409.44|0.0|0.0|1.0|3.52|0.0012699999999999|1.02e-05|0.00417|3.8|0.0|-0.05018|5.9934|3651.0|-1350.085889|695.29|1166.79|339.59|0.5352|206.87|571.9|0.4816|-1349.834826|0.2697|-0.19987|0.02818646|-1349.895534|9.2157|46.0|7.3372
17a_a6|0.0|0|0|3.3685510360000004|0.0|0|7.412764017000001|1.424257628|5.351858133|-0.0265090529999999|0.041767677|0.0|-0.686067347|-0.00460563|10.94948984|1|1|-0.00194781|0.068338372|-0.10896749|1|0.08716369|0.8013954109999999|0.753082653|-0.096082495|-0.109388399|-63.02857512|-71.75703418|20.43213226|161.9738174|13.40315088|554.1936506|0.77193498|84.75077935|0.483320982|494.010135|2217.333474|-17.887155899999996|0.22806502|16.13665395|0.935437602|5996.580489|149.60699319999998|-356.769966|1766.18975|12.99374518|1.0|1.0|1.0|1.0|3.52|2.88|-9.01|4.98|4.32|95.85|1.7|2.0|116.79|0.0|-5.81|5.0|-5.89|409.44|0.0|0.0|1.0|3.59|0.000637|6.69e-06|0.00274|4.09|0.0|-0.05753|3.5421|2.9753|-1350.102634|696.96|1167.16|416.71|0.3933|350.03|574.02|0.69627|-1349.830672|0.0101|-0.18178|0.02379552|-1349.892285|5604.0|24.0|7.6198
9i_a24|0.0|0|0|2.9199957480000003|0.0|1|7.153833802|1.4281889280000002|5.209486153|2.01e-05|0.023854167|0.0|-0.190487553|0.004814196|10.96661275|2|2|0.005891639|-0.140841749|-0.1818753839999999|2|0.139004845|0.73094562|0.8260893640000001|-0.064657333|-0.069812876|-30.56504777|-33.00219474|11.87389334|82.21166337|5.613069697999999|1.634015079|0.499238289|51.05832236|0.468272544|390.5119445|761.9885477000001|-5.506205845|0.500761711|11.18382556|0.8806627109999999|4155.922671|236.7218826|0.720157264|793.2611447|18.05612763|1.0|0.0|1.0|1.0|2.76|1.36|-6.05|2.42|2.72|72.28|0.67|0.0|82.17|0.0|-2.6|4.0|-7.01|288.31|0.0|1.0|0.0|1.73|716.0|0.000791|228.0|1.48|0.0|-0.0473899999999999|4.6212|4.1459|-945.286637|501.48|825.7|299.06|0.2373|268.3|363.15|0.58977|-945.174716|0.0029|-0.21943|0.0239838|-945.222448|9.2818|88.0|7.0555
9g_a40|0.0|0|0|0.0|0.0|1|7.515889085|0.604992427|5.4161004020000005|-0.0220464379999999|0.043730159|0.895670535|-0.225327061|0.011921308|10.31197177|2|2|0.0115573539999999|0.133954053|-0.037217966|0|-0.384131901|0.665414608|0.90454157|-0.063539055|-0.079033043|-33.47455057|-41.63731423|11.25704374|50.29077056|5.930596229|64.08637519|0.740240206|51.16627179|0.476386801|476.5434822|349.4421673|-8.658932892000001|0.259759794|15.62271835|0.909806709|4435.743087|136.8503571|-253.1335385|843.7257374|9.528957565|0.0|0.0|1.0|1.0|2.8|1.78|-6.43|2.91|2.93|72.28|0.64|0.0|87.53|0.0|-2.49|4.0|-7.17|302.33|0.0|1.0|0.0|1.93|977.0|0.0008179999999999|247.0|1.37|0.0|-0.0624|3.0778|3.0778|-1332.487689|559.04|923.42|402.84|0.3563|402.84|469.6|0.70233|-1332.31775|0.3563|-0.19005|0.01134289|-1332.369643|5063.0|3548.0|5.45
15b_a10|0.0|0|0|0.0|0.0|1|7.535296702|1.3438370730000002|5.4161004020000005|0.024214591|0.033219955|2.0455289690000003|-0.149607679|0.011484257|10.92966694|1|1|0.011928706|-0.175869992|-0.174170642|2|-0.058258414|0.7199249390000001|0.921918974|-0.046334564|-0.07358373|-31.76194123|-50.44100799|10.94939968|53.52386591|7.505718446|118.6253241|0.670236374|62.53159836|0.414077981|631.9674549|2603.829652|-11.32690674|0.329763626|11.42472965|0.706711759|6105.426726|226.0501037|-233.3911134|1429.912176|12.09059037|0.0|1.0|1.0|1.0|3.61|3.89|-8.18|4.34|4.44|56.07|2.14|1.0|123.73|0.0|-4.35|5.0|-6.34|413.51|0.0|1.0|0.0|3.66|0.0185|2.28e-05|0.00943|3.49|0.0|-0.04734|5.7620000000000005|3.7625|-1317.766641|721.17|1231.3|329.52|0.3575|215.17|587.53|0.46711|-1317.429772|0.1595|-0.20313|0.02977516|-1317.4913390000002|6.1384|85.0|7.0706
12aa_a30|0.0|0|0|0.0|0.0|0|7.412764017000001|0.604983643|5.351858133|-0.028524865|0.043854875|0.0|-0.539735362|0.003529389|10.31162784|1|1|0.005111479|-0.023695642|-0.12254489|1|0.024991407|0.794193541|0.8126513129999999|-0.078042288|-0.101368383|-54.50378741|-70.79444906|21.58471858|130.84205079999998|15.0745057|0.0|0.630759573|91.51563481|0.4659424379999999|567.5458219999999|2455.130164|-16.48066156|0.369240427|16.21199661|0.872457337|6944.511023|257.8730361|-182.6418006|2132.499591|20.72118575|1.0|1.0|1.0|1.0|4.86|0.0|-6.83|3.94|2.63|100.11|2.2|2.0|140.26|0.0|-5.61|6.0|-6.39|458.54|0.0|0.0|0.0|2.52|0.00113|9.94e-06|0.00456|3.81|0.0|-0.04966|5.1925|3.4642|-1804.818818|748.78|1275.73|357.9|0.1667|238.78|605.07|0.30341|-1804.516348|0.1506|-0.19687|0.03443621|-1804.582558|6.4878|8.0|8.1135
12n_a36|-3.404662145|0|0|3.400581499|0.0|0|7.412764017000001|0.299253841|5.351858133|-0.350034917|0.0438779959999999|0.0|-0.619926573|-0.006862238|10.31810354|1|1|-0.001160331|0.048110172|-0.15024383|1|0.162338703|0.750657639|0.720111143|-0.089275906|-0.115872034|-60.42525197|-78.42650015|14.28426215|189.4391835|9.668119648|26.74179417|0.741751453|92.79755725|0.454498749|487.397992|3465.537153|-18.30412788|0.258248547|12.58209967|0.833176363|7657.057548000001|174.79221719999998|-327.25274110000004|2114.630173|14.3710571|0.0|0.0|1.0|0.0|5.03|0.0|-6.87|1.28|2.15|123.75|0.84|1.0|142.02|0.0|-3.85|6.0|-8.03|474.54|0.0|0.0|0.0|1.18|0.0668|0.0001889999999999|0.0897|1.64|0.0|-0.05056|5.3573|3.6382|-1876.201464|714.14|1256.83|340.78|0.3921|231.43|566.87|0.32172|-1875.89723|0.0155|-0.19984|0.03261661|-1875.961945|14.3562|15.0|7.8239
7e_a8|0.0|0|0|3.038052327|0.0|1|7.05012252|1.394799915|4.844187086|-0.052939815|0.043758865|0.0|-0.289324602|0.0024398329999999|10.94332434|1|1|0.002669179|-0.075638618|0.034227147|0|-0.023521398|0.577394732|0.8291560379999999|-0.08608941|-0.0886889709999999|-51.4880895|-53.04282692|12.91806855|102.177831|7.725998682999999|63.5628736|0.776001552|64.23177694|0.4742828629999999|495.8990914|2032.501296|-13.39444718|0.223998448|14.654025199999998|0.902163597|5808.479788000001|133.9683023|-330.14031780000005|1298.726412|11.18895001|1.0|1.0|0.0|0.0|3.2|3.38|-8.29|5.16|4.94|70.81|3.54|2.0|108.43|0.0|-5.75|4.0|-5.43|385.39|0.0|0.0|1.0|4.31|0.000686|3.87e-06|0.00149|4.54|0.0|-0.0697|3.8142|3.2363|-1300.495519|622.23|1060.05|383.1|0.3461|325.06|544.55|0.6998300000000001|-1300.271093|0.1522|-0.2054699999999999|0.02845071|-1300.327213|11.4436|35.1|4.4547
19j_a38|0.0|0|0|3.235947106|0.0|0|7.412764017000001|1.29704352|5.351858133|-0.04575843|0.04391253|0.0|-0.438688445|-0.004442319|10.95429182|1|1|-0.002443797|0.23209815|-0.09493054|1|-0.001131945|0.6885713729999999|0.8071763829999999|-0.0844479869999999|-0.108006563|-57.80349365|-73.92901683|17.15233756|131.9851314|11.74054073|29.18585028|0.714369845|90.05233553|0.408533267|552.5012068|3109.238056|-17.86002424|0.285630155|12.69084117|0.6907121629999999|6704.612831|195.5099392|-293.4664598|1862.79182|16.123318700000002|1.0|1.0|1.0|1.0|4.81|2.34|-6.92|3.17|2.42|105.02|1.76|1.0|130.41|0.0|-4.35|5.0|-7.13|426.45|0.0|0.0|0.0|2.44|19.0|7.55e-05|0.0322|2.5|0.0|-0.06447|6.0361|3.6886|-1424.426858|686.26|1163.3|336.13|354.0|205.41|533.97|0.30419|-1424.183388|0.2625|-0.21629|0.03678378|-1424.24494|14.4895|8.0|8.1146
17a_a50|0.0|1|1|0.0|0.0|2|7.934155233999999|1.349854788|5.82008293|0.009691515|0.034142512|2.189373662|-0.133526134|0.012510153|10.94500663|2|2|0.012893333|-0.178162528|-0.239713023|1|-0.204032723|0.732114362|0.92300665|-0.045404408|-0.078525868|-29.57096251|-51.14229199|8.977762705|50.14419437|5.847033234|84.34722313|0.7899109000000001|58.69900789|0.486855438|601.1353533|1799.721631|-11.89568886|0.2100891|15.76161018|0.948768582|5718.782531|136.82673369999998|-377.6260803|1294.887612|7.556715901|1.0|1.0|1.0|1.0|3.95|3.29|-6.76|3.39|4.14|51.77|2.3|1.0|121.78|0.0|-3.99|4.0|-6.44|398.5|0.0|1.0|0.0|3.27|0.0408|3.61e-05|0.0144|3.23|0.0|-0.03196|4.2478|4.0477|-1258.566007|705.96|1204.79|306.31|0.1817|291.88|616.93|0.6244|-1258.260865|0.1754|-0.1992|0.02594911|-1258.322582|8.2991|85.0|7.0706
