molecula|SddssS|n9FaHRing|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WNSA3|DPSA5|DPSA3|GRAVp|PNSA2|WNSA4|FPSA1|GeomRadius|GeomShapeIndex|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|pIC50|pIC50
11_a3|0.0|0|0.0|0|6.823286122000001|0|0.605020608|0.0|0.119431379|-0.01008647|4.727387819|3|-0.363112913|0.044912659|10.31163053|-0.023103765|1|-0.005959152|-0.194041982|-0.0947326669999999|3|0.8947911009999999|0.724492061|0.132535663|-0.04179402|0.793311683|1|0.777803048|-0.099420732|0.175996916|0.014376713|-45.19136777|-47.02715152|6.800350988|253.1353625|0.222196952|-0.0391657429999999|-22.2443844|-21.37603754|57.08178682|51.99171876|2097.896727|-611.3529698|-8.76293931|0.2475152639999999|5.475372235|0.8799677029999999|24.61956593|0.021256639|-238.8563772|812.4456757999999|311.6695405|10.0546353|0.0|1.0|1.0|1.0|3.19|2.07|21.0|3.41|105.82|0.8|0.0|0.0|0.0|1.0|-4.08|4.0|-6.59|0.0|1.0|2.46|-3.71|0.000197|2.22|0.0|9.35e-05|-69.0|3.2232|2.12|-1288.195105|508.58|384.66|0.4441|384.66|346.18|0.6966600000000001|0.6966600000000001|-1288.058926|-0.13118|3.3694|-1288.10577|7.3979|7.3979
12w_a30|0.0|0|0.0|0|7.412764017000001|2|0.604983445|0.0|0.063514061|-0.007019432|5.351858133|2|-0.372029919|0.028815747|10.31162873|-0.04950715|1|0.001805829|-0.173643543|-0.0857954809999999|1|0.8149999040000001|0.83236194|-0.032835151|-0.080971844|0.889479916|0|0.8522163970000001|-0.096032733|0.4274948739999999|0.015446225|-52.53307388|-65.85056003|10.59162334|82.06520565|0.147783603|-0.037237182|-45.15435649|-36.02242934|75.77366969|63.12469722|2999.810425|-1251.160641|-17.50883211|0.192202301|8.063690539|0.8230829059999999|31.60926388|0.014471302|-422.1196298|1548.85393|685.6665849999999|9.923109661|1.0|1.0|0.0|1.0|4.63|0.0|17.0|3.92|81.65|3.79|2.0|0.0|0.0|1.0|-6.58|4.0|-5.52|0.0|1.0|3.59|-6.04|9.14e-07|5.12|0.0|7.39e-06|-0.05682|5.0632|5.08|-2494.966575|716.83|348.42|0.2639|244.87|577.06|0.31353|0.68423|-2494.743475|-0.15073|2.4229|-2494.807027|7821.0|7821.0
12g_a30|0.0|0|0.0|0|7.412764017000001|2|0.6049842529999999|0.0|0.096186205|-0.010447128|5.351858133|2|-0.574592016|0.007330206|10.31162838|-0.049719762|1|0.0026474159999999|-0.067792064|-0.152855196|1|0.817497287|0.826316772|-0.0430471959999999|-0.0885760969999999|0.886776351|0|0.783662781|-0.10344931|0.487608738|0.027436565|-58.41940906|-70.11305057|18.59520651|133.2169768|0.216337219|-0.040568357|-47.51931027|-39.593913|83.29752441|77.01461557|3058.2873170000003|-1402.261011|-18.63502363|0.225689271|8.694447089|0.8484671109999999|35.50940589|0.019453222|-371.8296813|1810.9797|683.7405759|13.18447384|1.0|1.0|0.0|1.0|4.67|0.0|17.0|2.48|114.67|2.06|2.0|1.0|0.0|1.0|-6.0|6.0|-6.22|0.0|0.0|2.36|-5.01|9.71e-06|3.89|0.0|0.000165|-0.0576|5.0703|3.88|-1743.214798|717.55|348.35|0.2449|244.53|577.31|0.26238|0.68366|-1742.965961|-0.15077|3875.0|-1743.029147|8.0334|8.0334
12j_a36|0.0|0|0.0|0|7.412764017000001|2|0.6293514410000001|0.0|-0.084183025|-0.007086381|5.351858133|2|-0.41101009|0.039869055|10.33556498|-0.051080247|1|0.003710345|0.161289379|-0.133106642|1|0.906423012|0.820041835|-0.1241793309999999|-0.089459459|0.87043328|0|0.852586292|-0.105480639|0.362692602|0.018160631|-46.2113679|-69.66341599|11.99396966|26.39145693|0.147413708|-0.037113558|-46.00836307|-30.5197407|80.59149538|58.20533756|2881.20453|-1323.6049039999998|-16.18812775|0.224187058|7.483427579|0.8425708820000001|31.59421634|0.016546717|-364.314663|1706.0876829999995|725.9470896|10.92807939|1.0|1.0|1.0|2.0|4.86|0.0|17.0|2.61|94.5|2.51|1.0|0.0|0.0|1.0|-4.85|4.0|-6.64|0.0|0.0|2.33|-4.51|3.09e-05|3.19|0.0|3.83e-05|-0.05098|5.2072|3.37|-1670.448063|694.28|327.94|0.4981|238.1|536.01|0.37116|0.69967|-1670.184251|-0.15495|6.4451|-1670.245584|8.0|8.0
47j_a18|0.0|0|0.0|0|7.03438793|1|1.251176464|0.0|0.070097424|-0.007807275|4.844187086|0|-0.569931053|-0.006923502|10.94702285|0.0033281|0|0.002317206|-0.073551529|-0.331885553|0|0.783538352|0.7444236670000001|-0.002262399|0.005740124|0.77844379|0|0.80651845|-0.094744194|0.476575952|0.015967126|-56.816779|-73.69868165|12.42035127|95.57657747|0.19348155|-0.033837212|-57.32800549|-44.19607713|86.31641604|69.23713027|3172.831382|-1842.467041|-20.47428768|0.235574938|9.597380968|0.928170101|34.43235841|0.016220875|-411.3767328|2410.265089|1081.726154|12.6177344|1.0|0.0|1.0|3.0|4.54|0.0|18.0|2.82|97.76|2.63|3.0|2.0|1.0|1.0|-5.83|4.0|-6.46|0.0|0.0|2.39|-5.14|7.32e-06|4.07|1.0|8.159999999999999e-07|-0.04423|3.1054|8.09|-1625.445572|839.37|399.25|0.5439|399.25|776.31|0.6983600000000001|0.6983600000000001|-1624.9784550000002|-0.1285|4.1619|1625.053346|7.4559|7.4559
1_a3|0.0|0|0.0|0|6.823286122000001|1|0.6195934120000001|0.0|0.079857077|-0.006053652|4.727387819|2|-0.248199745|0.038572075|10.33805862|0.032569462|0|-0.005006707|-0.007705076|0.08803837|2|1.005427002|0.7905285390000001|-0.126299711|0.057919092|0.8457792829999999|1|0.7762512779999999|-0.0925710269999999|0.521474118|0.008036786|-45.44133321|-42.54530997|3.693677623|289.8942564|0.2237487219999999|-0.034105115|-19.55367089|-20.88467272|49.05980305|49.13501083|2012.9704|-595.6343396000001|-7.203984013|0.207914282|4.984064981|0.8151164259999999|19.78900457|0.014174378|-268.4830832|751.9821735|373.1494221|6.514493077999999|1.0|0.0|1.0|1.0|3.83|0.0|16.0|1.85|77.1|1.52|0.0|0.0|0.0|2.0|-3.07|4.0|-6.87|0.0|0.0|1.5|-3.3|0.000503|1.83|0.0|0.000518|-53.0|5.8805|2.08|-1273.316428|496.09|320.83|0.1775|210.84|316.61|0.30619|0.68912|-1273.1763970000002|-0.1658599999999999|2.2332|-1273.22339|6.1403|6.1403
34_a20|0.0|0|0.0|1|6.842683282|0|1.416932073|1.877209467|0.0305860929999999|-0.0057643419999999|4.727387819|2|-0.328567476|-0.046356705|10.93244905|-0.054458882|1|0.003149352|0.327535029|0.057022334|2|0.7071284179999999|0.74801464|-0.101401966|-0.090732503|0.80310139|1|0.7966571459999999|-0.085459595|0.408491116|0.0130295999999999|-57.31821177|-57.49912174|8.766605631000001|297.5548445|0.203342854|-0.032248904|-38.68669181|-38.56497154|67.53437417|66.0848174|2825.042137|-1149.982435|-14.59875162|0.223585914|7.940146766|0.8614536140000001|27.94614651|0.01491516|-371.9551262|1481.145765|712.1606951|10.03525243|1.0|1.0|1.0|1.0|3.43|2.92|27.0|4.62|86.69|2.47|2.0|0.0|0.0|1.0|-5.14|4.0|-6.28|0.0|1.0|3.63|-5.02|9.51e-06|3.63|0.0|2.780000000000001e-07|-0.05181|5.4132|4.97|-1352.31921|711.19|320.38|0.4388|229.04|544.93|0.38519|0.68845|-1352.041015|-0.16103|3.8519|-1352.102407|7.2147|7.2147
12al_a36|0.0|0|0.0|0|7.412764017000001|2|1.297043737|0.0|-0.06777947|-0.008463062|5.351858133|2|-0.4908576189999999|-0.074215038|10.96020817|-0.031635802|1|0.003077071|0.172830414|-0.239932418|1|0.8913597320000001|0.8344566859999999|0.125005134|-0.055405405|0.885733922|0|0.801179217|-0.105915949|0.2689491989999999|0.026927826|-51.22331485|-69.69632923|17.71943397|114.2305891|0.198820783|-0.035305316|-45.86257662|-33.70669917|86.77628559|68.94274882|2843.740855|-1254.533926|-15.28752554|0.328915355|8.774664332|0.841133748|34.61874732|0.025956027|-225.1591357|1869.412355|679.7230552999999|17.07995636|1.0|0.0|0.0|2.0|4.81|0.0|17.0|1.89|78.43|1.72|1.0|0.0|0.0|1.0|-3.95|5.0|-6.93|0.0|0.0|1.81|-4.07|8.499999999999999e-05|2.65|1.0|8.340000000000001e-05|-0.04998|3878.0|2.92|-1347.479819|702.95|349.14|0.4466|319.71|554.23|0.6945399999999999|0.70417|-1347.196501|-0.14558|6.4473|-1347.257936|7.3188|7.3188
7s_a46|0.0|0|0.218897825|1|7.727094485|1|1.160371307|2.117265684|-0.0778653109999999|-0.005351046|5.533389489|1|-0.240797051|-0.005405515|10.94651358|-0.020953253|1|0.005577925|-0.327656845|0.018964141|1|0.778692012|0.770312275|-0.036284605|-0.030371026|0.8182543959999999|0|0.858788462|-0.083011849|0.249893305|0.008871171|-48.61321955|-41.72189594|4.458665639|166.3052939|0.141211538|-0.031623562|-20.9694955|-24.43308641|47.36217237|53.07188519|1982.695462|-667.5503351|-7.988379237|0.1801125439999999|5.565371272|0.7662292690000001|19.38565529|0.01122216|-321.55195330000004|814.1975221|409.9543818|5.640276426000001|0.0|0.0|1.0|1.0|3.08|2.33|17.0|3.9|50.94|2.39|0.0|0.0|0.0|1.0|-4.07|3.0|-5.81|0.0|1.0|3.12|-4.24|5.76e-05|3.32|0.0|0.000256|-0.02024|5.2972|3.54|-974.8067569|539.99|288.81|0.4164|234.06|446.63|0.44692|0.69976|-974.615216|-0.17923|2.4286|-974.664103|5.7022|5.7022
9_a3|0.0|0|0.0|0|6.823286122000001|0|0.605017128|0.0|0.187952252|-0.007847313|4.727387819|1|-0.298197887|0.065373003|10.31162238|0.023606557|1|-0.003863265|-0.216450234|0.141996379|1|0.923357627|0.6729843740000001|-0.260349706|0.042154567|0.7327715159999999|0|0.84649775|-0.083555008|0.506753484|0.007377805|-44.74600478|-39.28853824|3.469130065|223.4501605|0.15350225|-0.038196575|-18.47392835|-21.04009269|43.50933802|48.21513485|2017.0704920000005|-628.6166118|-8.445224386|0.1131403219999999|5.004834198999999|0.704792493|20.25176593|0.008976383|-363.8118546|708.8118076000001|349.6957191|4.220799781|1.0|1.0|1.0|1.0|3.1|2.44|21.0|4.62|80.04|2.42|1.0|0.0|0.0|1.0|-5.53|2.0|-5.21|0.0|1.0|3.7|-4.9|1.25e-05|4.14|0.0|1.67e-05|-0.03999|5.8185|3.28|-1256.087705|512.44|331.9|0.2069|213.09|350.27|0.3639699999999999|0.6724600000000001|-1255.9558029999998|-0.15834|2.0863|-1256.002529|4.96|4.96
