molecula|SddssS|NaaNH|SssssC|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|JGI4|MATS7i|SaaaC|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|AATSC1i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|WNSA2|DPSA4|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Brenk|Veber filter|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
9d_a40|0.0|0|0.0|0|0|0.604992329|1.839557351|0.007834411|-0.022152094|0.045555556|0.153818743|0.89023715|0.011823978|0.15723868|10.3119722|-0.137738587|2|0.259969752|0.019621984|0|0.601831605|-0.3969541689999999|-0.223631751|0.8221990920000001|0.55759121|1|0.941627612|-0.060319196|-0.071656839|0.002088915|-36.92750973|5.539796446|108.1468558|30.08152399|-0.031613312|50.47044708|0.8664205709999999|-1.074852592|-16.01918037|41.42218692|-16.29154841|36.6245851|2109.570685|-553.912646|336.6614768|8.023385851|15.06105494|4401.742338|-285.4523697|18.80327978|639.3115126|346.9019309|4.49467719|1.0|0.0|0.0|0.0|3.25|3.63|0.06|20.0|-7.0|5.2|5.09|58.43|0.0|0.0|2.0|2.0|-4.62|325.82|0.0|1.0|1.0|4.63|-5.65|7.37e-07|0.0002399999999999|2.23e-06|0.000727|5.16|0.0|0.0|0.4888|269.1|446.84|0.4557199999999999|0.69986|6.2032|-0.20781|0.01113991|7.9502|6.9706|6.9706
8c_a32|0.0|1|0.0|0|0|0.609420757|0.0|0.080016722|-0.04699673|0.036711712|-0.026467635|2.143746338|-0.003484915|-0.026048985|10.31100269|-0.0682721729999999|3|-0.047650724|-0.1534110109999999|0|0.788133615|-0.024032462|-0.11492754|0.8966299409999999|0.7507116140000001|1|0.801747512|-0.076876481|-0.097480366|0.263222951|-58.93213925|9.818219446|126.6561213|119.85432240000002|-0.027548799|78.19443734|0.600684883|-1.267244762|-28.09723623|74.36515033|-16.654735000000002|56.29419869|2571.62241|-766.1178102000001|3038.837633|7.079719717000001|12.81496717|5773.240734|-463.1595384|27.72624296|1275.407176|557.1050635|15.43301109|1.0|1.0|1.0|2.0|3.46|2.82|0.26|19.0|-7.65|6.49|4.19|140.04|0.0|1.0|7.0|4.0|-6.45|397.52|1.0|0.0|1.0|3.56|-4.39|1.5e-06|0.000597|4.11e-05|0.0164|3.21|0.0|0.0|0.3272|347.56|516.78|0.70135|0.70135|8.4922|-0.18873|0.03115673|10.2656|7.4318|7.4318
13n_a6|0.0|1|0.0|0|0|1.4290206230000002|0.0|0.030890422|-0.135152403|0.04393617|0.058267173|1.628408574|-0.0093684169999999|-0.06507689|10.95053349|-0.033224059|1|0.100294804|-0.118693789|2|0.870730542|-0.064779873|-0.056293641|0.832753533|0.82642394|1|0.70890216|-0.100363599|-0.109392959|0.307384948|-75.07706271|12.18768927|90.97854097|199.7822434|-0.038490115|103.012404|0.748967057|-2.078466222|-47.27287681|88.73738138|-26.41600355|81.06784641|2952.259627|-1426.464192|2535.307313|8.872063579|16.76075427|6386.381394|-978.9911754|35.2699138|1904.575345|724.3873672999999|13.66031867|1.0|1.0|1.0|3.0|3.55|1.9|0.08|27.0|-9.67|4.19|3.76|122.47|0.0|0.0|6.0|5.0|-7.23|435.48|0.0|0.0|1.0|2.62|-4.28|2.27e-05|0.00987|5.24e-05|0.0228|2.43|0.0|0.0|0.9117|257.31|548.09|0.55028|0.64027|7.1946|-0.20994|0.05026727|10.1967|7.1249|7.1249
13p_a6|0.0|1|0.0|0|0|1.424099253|0.0|0.024837222|-0.1144898999999999|0.042959184|0.072850973|1.633493259|-0.008008339|-0.014153926|10.95053423|-0.072853186|1|0.123575608|-0.116250572|2|0.865935935|-0.059663359|-0.125636943|0.837659336|0.8244206940000001|1|0.7265205579999999|-0.099405155|-0.107371897|0.196002517|-76.17631587|12.27472016|80.30786544|194.0233618|-0.03767435|107.5669533|0.76005742|-2.14743793|-50.03427239|89.17529231|-26.72853188|82.79893305|3016.078786|-1523.526317|3833.042283|8.760340755|14.91957306|6590.216479|-1080.8845310000002|35.16646396|2004.488446|794.5462391|12.99897644|1.0|1.0|1.0|3.0|3.64|2.34|0.12|27.0|-10.06|4.58|4.01|122.47|0.0|0.0|7.0|5.0|-7.01|449.51|0.0|0.0|1.0|2.96|-4.55|8.11e-06|0.00365|2.79e-05|0.0125|2.86|0.0|0.0|0.4132|258.45|573.39|0.47508|0.7056600000000001|9.0546|-0.1971099999999999|0.03807447|12163.0|7.0362|7.0362
12r_a30|0.0|0|0.0|2|2|0.604984545|0.0|-0.015167821|-0.093024002|0.043383838|-0.093079817|0.0|-0.002544958|-0.0682882559999999|10.31162892|-0.0646674999999999|1|-0.247439715|-0.145315868|1|0.609043558|-0.007140234|-0.105767484|0.889479916|0.591758164|0|0.72072745|-0.090229387|-0.109990462|0.451652492|-71.0931422|12.36992712|90.4724548|180.5098625|-0.040404659|0.0|0.790065337|-1.979828309|-37.69583567|82.06195604|-26.11584816|70.6903535|2976.944611|-1279.67656|2433.580273|7.467190577999999|13.94386247|6735.090739|-827.1283373|33.05530181|1619.709789|616.2856203|10.96881384|1.0|0.0|0.0|1.0|4.66|0.0|0.14|17.0|-7.16|4.67|3.74|81.65|0.0|0.0|5.0|6.0|-6.06|434.46|0.0|0.0|0.0|3.21|-5.17|3.24e-06|0.00141|6.71e-06|0.00291|4.07|0.0|0.0|0.1908|244.69|516.03|0.32409|0.68476|5.2021|-0.20138|0.03388131|6.5511|7.5317|7.5317
17b_a6|0.0|1|0.0|1|1|1.425925343|0.0|0.1012747369999999|-0.0265090529999999|0.042739018|0.139594234|0.0|-0.00460563|-0.0385646|10.949638|-0.0791229359999999|1|0.231025646|-0.180339002|1|0.850080948|0.002947625|-0.138423611|0.8370824240000001|0.8013954109999999|0|0.753949098|-0.095450984|-0.109195656|0.318652397|-71.65078895|20.48861696|155.8689396|161.4509401|-0.041494349|557.7093661|0.7706671740000001|-2.074717455|-41.0971443|84.71888279|-27.2272998|83.12058064|2816.0632920000003|-1361.36499|2207.972178|8.974770742|16.46390151|5985.963521|-893.2853154999999|35.32951798|1766.4758989999998|627.4287311|13.06809384|1.0|1.0|1.0|2.0|3.53|2.89|0.12|23.0|-9.01|4.98|4.32|95.85|0.0|0.0|5.0|5.0|-5.89|409.44|0.0|0.0|1.0|3.6|-5.17|1.56e-06|0.000637|6.69e-06|0.00274|4.09|0.0|0.0|0.3949|349.8|575.2|0.69615|0.7016100000000001|5.3385|-0.18281|0.02458322|7.3188|6.8153|6.8153
2_a1|0.0|0|0.0|1|1|1.348828131|2.233384354|-0.049975995|-0.014296455|0.0409444439999999|-0.1056298369999999|0.0|0.001576763|-0.0619710709999999|10.9520472|0.101798469|1|-0.237981258|-0.326716897|1|0.571324013|0.079586368|0.1766333219999999|0.8571146190000001|0.5574897879999999|0|0.808210065|-0.0622285999999999|-0.077270452|0.220315042|-35.17029414|5.135384136|6.281701359|87.29479691|-0.026492726|84.54541681|0.6944040029999999|-0.927245426|-12.89184641|43.24570924|-12.05838656|33.45925305|1884.85038|-422.0435297|1378.496713|5.2823820260000005|8.779158091000001|3920.383175|-192.096651|17.36508791|607.7780769999999|299.6692382|8.075415099999999|1.0|1.0|1.0|0.0|2.91|2.69|0.18|17.0|-6.18|4.0|4.12|30.71|0.0|0.0|2.0|3.0|-6.04|279.31|0.0|1.0|1.0|3.21|-3.78|0.000871|243.0|0.000167|0.0466|2.76|0.0|0.0|0.2991|303.31|355.79|0.7007899999999999|0.7007899999999999|3.5853|-0.19826|0.024658671|5.2754|5.2366|5.2366
14e_a25|0.0|0|0.0|0|0|1.4200152069999998|1.5926486519999998|0.039261746|-0.138693649|0.0389622639999999|0.0065927719999999|1.906869097|-0.00131452|0.002856489|10.93106299|0.011176663|1|0.010976703|0.025802692|2|0.717460414|-0.144369439|0.018432983|0.8322445820000001|0.6954126970000001|1|0.7240504329999999|-0.1011107469999999|-0.1004553119999999|0.448918026|-73.51338088|10.99497534|372.1805977|201.94039730000003|-0.038772226|97.78313402|0.806446896|-2.2100168680000003|-54.14823405|84.60373462|-28.3735856|84.98800478|3126.080106|-1617.294379|2620.6698690000003|8.459867391|16.63781964|6952.485076999999|-1183.53898|35.18345194|2005.4567600000005|811.3237836|11.09035375|1.0|1.0|1.0|2.0|3.62|2.72|0.07|27.0|-9.14|3.65|4.02|115.79|0.0|0.0|7.0|5.0|-6.96|462.5|0.0|0.0|0.0|3.02|-4.73|7.29e-06|0.00337|1.86e-05|0.0085799999999999|3.04|0.0|0.0|0.2409|212.19|596.96|0.31019|0.69958|5.3651|-0.2116699999999999|0.04875868|7.2625|7.1249|7.1249
47j_a18|0.0|0|0.0|1|1|1.251176464|0.0|0.070097424|-0.068902246|0.033563218|-0.048528478|0.0|0.00031105|-0.006923502|10.94702285|0.0033281|0|-0.073551529|-0.331885553|0|0.783538352|-0.002262399|0.005740124|0.77844379|0.757001264|0|0.80651845|-0.073041469|-0.094744194|0.476575952|-73.69868165|12.42035127|95.57657747|150.5035248|-0.033837212|99.50526447|0.764425062|-2.368604851|-44.19607713|86.31641604|-26.32095773|69.23713027|3172.831382|-1842.467041|2064.803327|9.597380968|18.50538303|7316.123159000001|-1433.2001369999998|34.43235841|2410.265089|1081.726154|12.6177344|1.0|1.0|1.0|3.0|4.54|0.0|0.28|18.0|-8.79|2.43|2.82|97.76|2.0|1.0|11.0|4.0|-6.46|499.6|0.0|0.0|0.0|2.39|-5.14|1.49e-06|0.000743|7.32e-06|0.00366|4.07|1.0|0.0|0.5439|399.25|776.31|0.6983600000000001|0.6983600000000001|4.1619|-0.17273|0.03246539|5.2118|7.4559|7.4559
8f_a8|0.0|1|0.0|0|0|1.394802091|1.241306689|0.024051247|-0.249095464|0.043758865|0.0587545909999999|0.0|-0.007796225|-0.08540947|10.94343488|0.007079485|1|0.152294451|0.254819201|0|0.578166105|-0.016217844|0.010682683|0.751162751|0.56916135|0|0.5968139689999999|-0.122135295|-0.1064257719999999|0.308621017|-62.06002501|7.91086576|317.0847898|235.1097364|-0.048375351|67.99102163|0.90577048|-2.128515439|-41.53091131|67.4402386|-28.20910228|79.13157981|2622.044457|-1241.2005|1892.066521|7.504290616|13.81994609|5948.547713|-723.7808349999999|31.14376424|1370.325626|485.8626377000001|5.380213594|0.0|0.0|0.0|2.0|3.14|2.85|0.0|23.0|-7.95|4.69|4.72|80.88|0.0|0.0|4.0|4.0|-5.98|391.37|0.0|0.0|0.0|4.04|-5.0|6.11e-06|0.0023899999999999|1.01e-05|0.00395|3.82|0.0|0.0|0.3188|263.65|477.92|0.55661|0.69925|5.8283|-0.21285|0.03173623|7.8014|4.6428|4.6428
