molecula|SddssS|NaaNH|n9FaRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|nFaHRing|RASA|FNSA5|PBF|FPSA3|PNSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|MOMI-Z|FPSA1|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50
28_a47|0.0|0|1|0.0|6.842683282|0|0|1.4201653580000002|1.408016295|-0.053792245|4.727387819|-0.23494583|2|0.038387534|1.121067445|-0.436042548|-0.013020816|-0.00496711|10.95058275|0.0467853809999999|-0.010153352|0.06536499|-0.046265509|-0.126992366|-0.435485503|2|0.635684951|0.832144916|-0.175007067|0.074217097|1|0.605349345|-0.106779291|0.310094808|0.026080156|-67.33744077|365.2310214|234.5873429|-0.038135461|-37.72858603|9.214964819|83.61576722|0.65225927|82.27079846|-22.66839387|82.83994768|0.472690874|359.8303775|1337.037733|0.34774073|7.864990866|0.8964208090000001|206.7032519|-565.9287905|0.0|1.0|1.0|1.0|2.0|3.08|-6.92|2.49|3.84|1.67|0.0|99.2|5.0|-3.67|28.0|-7.22|0.0|2.4|-3.66|0.000214|0.0816|0.000217|1.97|4.59e-05|-0.05471|3.51|-1335.759232|995.5|0.2996|461.73|0.69002|0.69002|0.2996|6.0847|-0.2052|-1335.6279869999998|25.0|7.6
1f_a5|0.0|1|0|2.824395738|6.605297921|0|0|1.218960329|0.0|-0.139907335|4.59511985|-0.31059482|2|0.029105691|0.0|-0.277594656|-0.0012491689999999|-0.174016111|10.94527671|-0.000625|-0.000700145|-0.389011185|0.001493879|0.004923698|-0.401165734|2|0.525406088|0.771487328|-0.060528915|-0.000969932|0|0.888073448|-0.083857856|0.45528118|0.008403353|-50.98614411|201.7057715|62.42799372|-0.035639589|-26.08772825|2.614237829|0.21377016|0.757522389|57.83835135|-19.87828616|55.67318607|0.4670794829999999|495.3305784|979.2285994|0.242477611|7.117418022000001|0.8764524309999999|135.2439659|-443.4913802|1.0|1.0|0.0|1.0|1.0|2.9|-8.88|5.48|6.37|2.73|0.0|95.49|4.0|-4.79|27.0|-5.73|1.0|4.23|-4.97|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|3.95|4.86e-07|-0.05346|3.58|-1288.353339|958.06|0.6959|442.04|0.47267|0.42446|0.0228|3.7852|-0.2357|-1288.263745|0.24|6.6198
12a_a5|0.0|1|0|2.981252568|7.139660336|1|1|1.338814635|0.0|-0.256282289|5.209486153|0.043132749|2|0.023108466|0.0|-0.09350376|0.00873078|-0.114419442|10.94553751|-0.032601907|0.008649556|-0.006024869|-0.057691345|-0.093973419|-0.175245466|2|0.762866363|0.779533861|0.1121034509999999|-0.063558439|0|0.894590896|-0.067680123|0.337539208|0.0081891369999999|-36.01436435|13.74268646|64.77671525|-0.026030816|-25.55893402|3.0925714930000003|0.0|0.746785093|50.40529807|-15.99663329|41.04680832|0.457755771|549.7500455|899.5599904|0.253214907|8.741980056000001|0.844187448|155.6073368|-511.1786804|0.0|1.0|1.0|1.0|1.0|3.06|-8.83|5.12|4.26|2.17|0.0|119.38|5.0|-4.27|29.0|-6.23|0.0|3.58|-4.59|5.37e-05|0.0205|2.56e-05|3.38|5.660000000000001e-07|-0.04076|2.91|-1202.02622|1140.24|0.4794|508.81|0.50831|0.67169|0.0296|2.5642|-0.21228|-1201.8082029999998|19.0|7.7212
18_a10|0.0|0|0|0.0|7.78113851|2|2|1.243178376|2.142254323|-0.182332901|5.733341277|0.0307177839999999|2|0.035770975|2.026949641|-0.1859075939999999|0.009941402|-0.052165302|10.92966688|-0.0280813039999999|0.010573165|-0.144233311|-0.091730492|-0.143149563|-0.220292492|2|0.7155022459999999|0.785539083|0.048377088|-0.0507442929999999|1|0.885552955|-0.076052353|0.656664457|0.019095409|-36.52271591|40.99617452|72.64119073|-0.024889861|-30.63863373|7.692822451|123.3621791|0.641615544|61.38857307|-15.79795381|48.64284759|0.4670293179999999|562.0732377|2137.914113|0.358384456|7.204851347999999|0.876275815|227.471785|-551.4954071000001|0.0|1.0|1.0|1.0|0.0|4.07|-7.88|4.65|4.66|2.14|0.0|119.81|5.0|-4.48|31.0|-6.34|0.0|3.67|-4.77|3.34e-05|0.0138|1.7100000000000002e-05|3.49|5.44e-06|-0.0495699999999999|2.65|-1336.433782|1181.5|0.2962|504.61|0.37729|0.6866300000000001|0.1637|4.7596|-0.20692|-1336.185978|0.13|6.8861
1i_a5|0.0|1|0|2.843224727|6.605297921|0|0|1.219028472|0.0|-0.145964178|4.59511985|-0.31059482|2|0.0253888889999999|0.0|-0.279280326|-0.0012491689999999|-0.174016111|10.94550053|-0.003198529|-0.000700145|0.059972925|0.001493879|0.004923698|-0.403861432|2|0.525406088|0.780175595|-0.058385936|-0.00496377|0|0.8876055620000001|-0.084018635|0.4729402929999999|0.008291428|-50.81756452|201.1526326|62.64191946|-0.03570792|-26.09853285|2.575548983|0.213644964|0.759459597|57.78921354|-19.90145306|55.43870932|0.4697279689999999|494.6981114|942.1618767|0.240540403|7.314842247|0.8858245220000001|134.0627959|-443.6750585|1.0|1.0|0.0|1.0|1.0|2.83|-8.88|5.48|6.37|2.73|0.0|95.49|4.0|-4.79|27.0|-5.73|1.0|4.12|-4.97|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|3.95|4.86e-07|-0.05729|3.58|-1288.356212|957.58|0.7585|443.05|0.4571199999999999|0.50107|0.0207|2.6336|-0.23674|-1288.264271|24.0|7.6198
12at_a36|0.0|1|0|3.4361495580000003|7.412764017000001|2|2|1.297042863|0.0|-0.04229234|5.351858133|-0.073048351|2|0.039952719|0.0|-0.653190113|-0.001148437|-0.076129505|10.95446888|-0.037590959|0.000906224|0.091520225|-0.136151085|-0.227404687|-0.48127276|1|0.817851296|0.8384626709999999|-0.08859337|-0.063825255|0|0.751856692|-0.110637955|0.301423347|0.029516069|-58.66704838|95.16663336|171.8311073|-0.037537878|-53.05210062|14.1532755|80.75773169|0.6744421970000001|95.60375457|-25.99374995|79.10595873|0.49342323|520.6361161|2388.600265|0.325557803|8.837213274|0.974034457|225.4381077|-1007.989912|1.0|0.0|0.0|0.0|2.0|4.9|-6.62|2.7|1.67|1.89|0.0|135.03|7.0|-4.18|33.0|-7.18|0.0|1.76|-4.08|6.579999999999999e-05|0.0289|8.36e-05|2.53|0.000106|-0.05703|4.5|-1460.833958|1238.61|0.4765|589.75|0.42968|0.6802600000000001|0.2076|6.4676|-0.2131|-1460.61293|78.0|7.1079
12f_a40|0.0|0|0|0.0|7.515889085|0|0|0.604990261|1.768354671|-0.03356339|5.4161004020000005|-0.015621373|0|0.040501792|0.807254372|-0.235838511|0.008525796|0.108909202|10.31197207|-0.172869148|0.006841832|0.115814835|-0.033224348|-0.054891771|-0.397377446|0|0.679527138|0.777316288|-0.160218113|-0.271493213|1|0.909993912|-0.082198664|3.43e-05|0.021549915|-37.02024147|62.72992556|49.72883796|-0.032879466|-25.09213464|6.57837176|61.55859085|0.7314440520000001|56.53158029|-18.16607804|48.92668311|0.490421149|502.7764322|628.5604981|0.268555948|8.404802652999999|0.962404834|148.3785764|-351.2898849|1.0|0.0|1.0|0.0|0.0|3.24|-7.32|5.35|5.44|3.99|0.0|98.25|3.0|-6.58|24.0|-4.76|0.0|4.76|-5.99|2.66e-07|0.0001|1.02e-06|5.4|1.8100000000000003e-05|-0.07761|4.77|-2212.359379|951.55|0.4348|487.85|0.6679999999999999|0.7029|0.3858|3.2818|-0.19526|-2212.275094|0.38|6.4202
17a_a50|0.0|0|1|0.0|7.934155233999999|1|1|1.349854788|4.319202937|-0.186084687|5.82008293|0.009691515|1|0.034142512|2.189373662|-0.133526134|0.012510153|-0.0979202769999999|10.94500663|-0.131632653|0.012893333|-0.178162528|-0.239713023|-0.3891730779999999|-0.220088198|1|0.762224122|0.784570118|-0.204032723|-0.215448852|1|0.92300665|-0.078525868|0.4062532579999999|0.013784807|-29.57096251|10.03717565|50.14419437|-0.0280449529999999|-33.3079288|5.847033234|84.34722313|0.7899109000000001|58.69900789|-18.26510428|38.54872522|0.486855438|601.1353533|1799.721631|0.2100891|8.087984548|0.948768582|136.82673369999998|-666.1585759999999|1.0|1.0|1.0|1.0|0.0|3.95|-6.76|3.39|4.14|2.3|0.0|121.78|6.0|-3.99|30.0|-6.44|0.0|3.27|-4.44|0.000102|0.0408|3.61e-05|3.23|6.97e-05|-0.03196|3.08|-1258.566007|1204.79|0.1817|616.93|0.6244|0.66046|0.1754|6.2113|-0.1992|-1258.322582|85.0|7.0706
4e_a46|-3.742323661|0|0|0.0|7.825245291|1|1|0.300205548|2.12386814|0.1369980459999999|5.587248657999999|-0.370202917|2|0.041636905|0.0|-0.4017151029999999|-0.001404912|-0.058626723|10.31928077|-0.05803828|0.002688298|-0.135489528|-0.030065705|-0.049530834|-0.514537262|2|0.738134189|0.77019676|0.075271624|-0.076733489|0|0.753715041|-0.084780904|0.68427144|0.010671173|-63.39469142|105.0139519|186.9007941|-0.030951758|-48.825259|6.145520557|20.27041189|0.7951078540000001|73.87174786|-23.48867857|71.49283399|0.4753010039999999|571.9794684|3129.575458|0.204892146|7.906917146|0.905854609|155.48860530000002|-1122.980957|1.0|0.0|0.0|1.0|2.0|4.5|-8.81|3.05|5.93|2.06|0.0|137.28|5.0|-6.08|35.0|-6.6|1.0|3.5|-5.41|8.29e-07|0.000405|3.92e-06|3.78|7.64e-07|-0.03893|8.03|-1884.613031|1343.97|0.4814|655.69|0.5745600000000001|0.56481|0.3109|1.9941|-0.21005|-1884.324182|154.0|6.8125
14z_a23|0.0|0|1|0.0|7.423568444|0|0|1.197960872|3.305974434|0.08752343|5.351858133|-0.024897956|2|0.04314059|0.729326158|-0.30053593|0.009174505|-0.0438568409999999|10.31321795|-0.0229244|0.007229683|0.0708381429999999|-0.069023218|-0.125978901|-0.46459002|2|0.719722236|0.802520527|0.10796308|-0.035965909|1|0.925301102|-0.079754981|0.228957475|0.018337664|-40.56245532|40.18308023|52.02674091|-0.03393829|-38.68856944|8.895469235|79.960755|0.785604449|66.77741935|-23.63754572|53.33438253|0.474697407|644.4593172|2692.627452|0.214395551|7.834464959|0.903664694|149.3235124|-773.7713888999999|0.0|0.0|1.0|1.0|1.0|3.42|-8.57|4.64|5.32|3.99|1.0|130.3|5.0|-6.77|32.0|-5.8|0.0|4.49|-6.13|1.7e-07|8.18e-05|7.37e-07|4.83|1.29e-06|-0.08503|4.73|-2549.107748|1221.92|0.3201|586.28|0.66217|0.69913|0.2917|5.9301|-0.23698|-2548.957384|5.0|8.2941
