molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|MATS7i|ATSC1c|AATSC8d|n5aRing|AATSC7i|MATS1i|n6aHRing|BIC2|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|WNSA5|FNSA1|WNSA3|DPSA5|GRAVp|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
6e_a31|1|0|0|0.0|7.773594467000001|1|1|0.06650322|-0.016012184|5.733341277|-0.178758575|0.132664341|-0.784597028|-0.0462850729999999|2|0.225356759|-0.002840672|0|0.78240875|0.841537966|0.795570315|0|0.623340994|-0.122985602|-0.130898441|0.177030306|0.032627586|-74.99224589|-79.81721349|-48.66969791|0.7604979040000001|-45.72760428|93.68572477|2776.836977|-1277.075416|2188.417358|-17.30478148|14.40145519|6053.812282|-778.7151665|37.31693873|0.022744048|536.6368656000001|1.0|1.0|1.0|1.0|2.0|22.0|5.19|131.36|1.0|0.0|109.69|0.0|1.0|-5.63|29.0|-6.5|0.0|1.0|3.27|-4.66|2.34e-06|0.000947|2.18e-05|0.00883|3.2|1.89e-05|3.3083|4.31|3.3083|-1652.63264|634.34|374.76|0.5103|374.76|0.70391|0.5103|-0.18844|0.03676794|8.3583|0.37|6.4318
8j_a46|0|0|0|0.214753401|7.727094485|1|1|-0.13040237|-0.0017688329999999|5.533389489|-0.008523199|-0.129276363|-0.081366324|-0.053618988|1|-0.204674804|-0.084266433|2|0.789844634|0.837678812|0.6109926379999999|0|0.934648421|-0.054707287|-0.068971544|0.308052557|0.008672342|-29.38737046|-37.04976799|-19.90219786|0.822112519|-15.7861518|41.80044861|2121.846387|-592.7962878|1888.679875|-7.405468973|9.817783823|4759.107832|-318.43516580000005|16.76894569|0.008843828|453.1959065|1.0|0.0|1.0|1.0|0.0|17.0|4.71|43.6|1.0|1.0|96.94|0.0|1.0|-4.59|24.0|-5.55|1.0|1.0|3.82|-4.83|2.59e-05|0.00878|1.47e-05|0.00497|3.97|1.85e-05|4.9636|3.78|4.4107|-1414.50743|576.48|281.1|0.1728|249.79|0.50703|0.1427|-0.22599|0.02408052|6.4463|1228.0|5.9108
9g_a24|1|0|0|0.0|7.273092596000001|0|0|-0.318471716|-0.00106361|5.283203728999999|0.001126633|-0.162313932|-0.0425444|-0.02471184|2|-0.292600863|-0.0273623029999999|2|0.7931626959999999|0.859302479|0.657503038|0|0.8671367529999999|-0.064835725|-0.065668047|0.383340003|0.01876163|-32.080056199999994|-32.49188065|-16.07665151|0.4819264479999999|-15.87288497|49.25777584|2123.257348|-389.9025677|1196.910121|-5.214049137|10.69818114|4355.725609|-192.9198181|21.8662148|0.033884884|341.3207334|0.0|1.0|0.0|1.0|1.0|22.0|2.91|72.28|0.0|0.0|87.53|0.0|1.0|-2.49|23.0|-7.17|1.0|0.0|1.93|-3.09|0.00323|977.0|0.0008179999999999|247.0|1.37|0.000113|5.2521|0.75|4.2802|-984.5565078|524.03|289.67|0.2444|236.07|0.4227399999999999|0.1023|-0.21391|0.032630457|4.4131|68.0|7.1675
1_a1 (SKF-104365)|0|0|0|0.0|7.535296702|1|1|0.011230812|-0.006055958|5.4161004020000005|-0.01959813|-0.091086986|-0.218014497|0.11172918|1|-0.221214316|-0.123703409|1|0.7926983559999999|0.857919181|0.551667506|0|0.8131557509999999|-0.067997692|-0.081192283|0.2405471019999999|0.0133681239999999|-31.45099608|-37.55389489|-17.369816|0.709744919|-14.547040099999998|46.32985169|1997.193006|-450.6467387|1551.362941|-6.316296726|9.042613965|4225.4765640000005|-208.4377919|19.24066156|0.018973797|297.2783688|1.0|1.0|1.0|1.0|0.0|17.0|3.93|56.01|0.0|0.0|81.72|0.0|1.0|-3.8|21.0|-6.01|1.0|1.0|3.27|-4.02|0.000159|0.0472|9.65e-05|0.0287|2.96|0.000295|3.8901|3.45|3.8901|-1279.060907|491.18|318.72|0.2178|318.72|0.70081|0.2178|-0.19624|0.02377006|6.9338|1.6|5.7959
13b_a5|1|0|0|0.0|7.153833802|1|1|-0.142746146|-0.004573365|5.209486153|0.011339656|-0.006314305|-0.251535058|-0.017963913|1|-0.010368468|-0.055701188|2|0.765309977|0.8184221559999999|0.653356347|0|0.831557236|-0.0694958329999999|-0.074710354|0.468748106|0.0138892369999999|-44.93506461|-48.3067033|-31.23446039|0.654076389|-29.05440446|62.24204745|2661.597781|-869.5206594|1177.571784|-11.0239272|15.48959317|5678.380299|-562.2202871000001|26.06641209|0.021552174|638.8437454|0.0|1.0|1.0|1.0|1.0|23.0|4.64|74.77|1.0|0.0|119.8|0.0|1.0|-4.24|30.0|-6.58|1.0|1.0|3.26|-4.43|5.69e-05|0.0225|3.75e-05|0.0148|3.01|1.72e-06|4.6733|4.66|4.1793|-1276.030896|672.43|296.66|0.5528|265.31|0.32779|0.3064|-0.22451|0.035153|4.7964|0.11|6.9586
12k_a36|1|0|0|0.0|7.412764017000001|2|2|-0.076124222|-0.0071232019999999|5.351858133|-0.063399056|0.096315593|-0.413145744|-0.058284869|1|0.163804836|-0.095253274|1|0.811903388|0.8647233590000001|0.856135378|0|0.8427704640000001|-0.075717305|-0.101946803|0.367754573|0.018067063|-49.87227128|-67.14870046|-44.22843899|0.7806817009999999|-32.84907515|78.24529096|2792.202559|-1342.974009|2294.707886|-16.38090333|13.89698356|6027.033337|-884.5687799000001|31.85663123|0.016847116|698.847203|1.0|0.0|0.0|0.0|2.0|17.0|3.62|69.2|1.0|0.0|133.84|0.0|1.0|-4.58|31.0|-6.34|1.0|0.0|2.37|-4.55|2.6e-05|0.0106|2.82e-05|0.0115|3.45|3.94e-05|5053.0|3.83|3.6631|-1310.312649|697.92|338.46|0.3116|245.37|0.5249199999999999|0.0908|-0.20023|0.03274587|7.3988|14.0|7.8539
14p_a23|0|1|1|0.0|7.423568444|0|0|0.044380583|-0.005975594|5.351858133|0.006191846|0.041987653|-0.310730878|-0.053921569|2|0.080581604|-0.0686282459999999|2|0.799506006|0.8683808959999999|0.669357479|1|0.923455749|-0.063033628|-0.080784473|0.223758613|0.0221104079999999|-42.52653933|-54.50240143|-36.77082544|0.751638299|-28.69113861|67.36602512|3010.721939|-1090.0480289999998|2170.5738260000003|-15.32117727|16.84664803|6696.264498|-735.4165088|30.21311441|0.0190667019999999|646.2584547|0.0|0.0|1.0|1.0|1.0|26.0|3.4|128.81|1.0|1.0|125.0|0.0|1.0|-5.68|32.0|-6.62|0.0|0.0|3.25|-4.9|2.09e-06|0.0009109999999999|1.27e-05|0.00554|3.3|1.4800000000000002e-05|3.5752|3.29|3.5752|-1722.152257|699.61|346.79|0.3802|346.79|0.6816|0.3802|-0.2382|0.02935511|9986.0|3.0|8.5302
SB431542_a8|1|0|0|0.0|7.535296702|1|1|-0.007805495|-0.014434378|5.4161004020000005|-0.1950388569999999|0.096884952|-0.721718925|-0.0453332859999999|1|0.156874293|0.055198015|1|0.762577159|0.8220300859999999|0.7318727540000001|0|0.5653298489999999|-0.128342313|-0.124595991|0.274152231|0.034730361|-76.82006387|-74.57768059|-44.6389196|0.7608280590000001|-45.98111161|89.64885355|2801.428659|-1342.398251|1947.072021|-17.46740332|14.04829994|6203.505123|-803.5005528|38.35632812|0.025179219|529.053307|0.0|0.0|1.0|0.0|2.0|23.0|3.13|112.23|1.0|0.0|109.21|0.0|1.0|-4.4|30.0|-7.04|0.0|0.0|2.58|-4.14|3.99e-05|16.0|7.28e-05|0.0292|2.4|6.96e-05||||||||||||||79.08|4.1019
21_a4|0|0|0|0.0|7.535296702|1|1|-0.164057585|-0.003068098|5.4161004020000005|-0.014982235|0.019346682|-0.131928225|-0.104638158|1|0.030586117|-0.063064908|1|0.777866961|0.833191212|0.674434042|0|0.932146735|-0.0571545999999999|-0.076470465|0.239652988|0.020173071|-28.99048719|-38.7880598|-19.67444009|0.7231676229999999|-14.70482428|47.69702403|2045.488184|-581.8208971|1584.866567|-7.377915035|9.956436217|4277.396118|-295.1166014|20.11362507|0.017563978|387.240586|1.0|1.0|1.0|1.0|0.0|17.0|3.7|39.94|0.0|0.0|91.59|0.0|2.0|-3.88|23.0|-5.76|1.0|1.0|3.23|-4.19|0.000133|0.0403|6.51e-05|0.0197|3.36|0.000352|5.1623|3.31|4.0245|-973.5481197|549.71|308.08|0.2016|240.17|0.5260600000000001|0.1457|-0.19588|0.020181098|2.9409|121.0|6.9172
8a_a32|1|1|1|0.0|7.773594467000001|0|0|-0.0755556459999999|-0.010151321|5.733341277|-0.056633919|-0.0281981579999999|-0.497414715|-0.128684642|3|-0.050766252|-0.0852122769999999|0|0.845443342|0.8966299409999999|0.7507116140000001|1|0.814553726|-0.083474428|-0.109412858|0.221908108|0.018321589|-52.34893512|-68.61558335|-43.03057598|0.7490845290000001|-32.82934751|79.73671389|2574.085885|-1029.23375|3312.822051|-14.03170956|14.26997798|5659.295213|-645.4586397|29.86932167|0.017733503|557.1050635|1.0|1.0|1.0|1.0|2.0|19.0|6.49|140.04|2.0|0.0|110.69|1.0|1.0|-6.82|27.0|-5.76|0.0|1.0|4.07|-4.99|1.5199999999999998e-07|6.03e-05|1.02e-05|0.00406|4.17|8.86e-06|3562.0|4.98|3562.0|-1880.732222|667.29|348.07|0.4315|348.07|0.70316|0.4315|-0.2061599999999999|0.03498398|7.6703|45.0|7.3468
