molecula|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|SaasN|SRW07|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|MATS1c|n6aHRing|GATS1are|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|FPSA5|DPSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|pIC50|pIC50
14a_a5|0|2.948727373|0.0|6.605297921|1|0.0|4.59511985|3|0.027375887|0.0|-0.316624785|0.002956745|-0.086229994|0.024793388|1|0.003668464|-0.36152442|2|0.7333482170000001|0.71006207|0|0.7909255559999999|-0.080875277|-0.078681402|0.4398855029999999|0.0173669719999999|-54.69145586|-53.20786056|134.62273080000003|0.209074444|141.38542919999998|-0.0271808479999999|7.942029745|55.04914434|-1.494946644|-36.98479273|-18.38089729|66.43577392|0.470085022|2836.468636|534.8590069|1315.573182|0.370216665|8.424031251|15.89694877|0.024411136|1605.23357|723.0631751|0.0|1.0|2.0|3.24|23.0|-8.84|92.79|1.0|0.0|123.0|0.0|1.0|6.0|-4.15|425.48|1.0|3.05|6.02e-05|0.0256|0.0|1.45e-09|6.16e-07|4.1501|4.1501|-1390.592722|-1390.546425|692.8|1195.01|298.75|0.5853|508.64|0.65789|0.65789|-1390.29207|2.7115|0.04629687|6.9508|6.9508
14b_a3|0|0.0|0.0|6.823286122000001|0|0.0|4.727387819|3|0.039799383|1.7086790859999998|-0.356087317|-0.00603969|-0.008040839|-0.102362298|1|-0.004161699|-0.575695827|3|0.882394075|0.8255789570000001|1|0.786476513|-0.090994113|-0.100993354|0.379746504|0.012828558|-44.49789848|-49.38772279|252.49572540000003|0.2135234869999999|104.4171556|-0.036469822|3.067822725|82.79166784|-1.312913604|-21.76034149|-17.83445545|50.77131401|0.487615651|2160.565755|384.6023764|1289.104749|0.233084567|4.989782639|9.738358819|0.017348996|837.1723509999999|358.3503513|0.0|1.0|1.0|3.18|21.0|-6.89|105.82|0.0|0.0|93.25|0.0|1.0|2.0|-4.45|319.38|1.0|2.82|0.000103|0.0327|0.0|1.28e-07|4.08e-05|3.0724|3.0724|-1327.514377|-1327.4859310000002|524.27|879.19|403.54|0.2276|368.39|0.70123|0.70123|-1327.349444|2.8743|0.02844675|6.4202|6.4202
19e_a38|0|3.376977671|0.0|7.412764017000001|2|0.0|5.351858133|2|0.04508642|0.0|-0.4379521229999999|-0.001197042|-0.104569193|-0.038386106|1|0.000347207|-0.436305701|1|0.723755855|0.700181525|0|0.776562593|-0.083623427|-0.10214405|0.552393659|0.02118651|-56.34606212|-68.82539051|118.734325|0.223437407|150.553721|-0.03783113|9.619015829|16.39385667|-2.042881001|-37.96637911|-25.49088538|70.62168376|0.4655978389999999|2920.436229|523.2534216|3426.997928|0.250809026|6.596408983|12.34352977|0.020114756|1837.325672|696.3887025|1.0|1.0|3.0|4.96|17.0|-7.28|81.23|2.0|0.0|135.78|0.0|1.0|6.0|-4.94|427.48|1.0|3.3|1.89e-05|0.00807|0.0|5.27e-08|2.25e-05|5.2322|3.8587|-1409.582478|-1409.547647|685.34|1183.12|321.31|0.3948|532.67|0.41961|0.58509|-1409.315831|5.8426|0.03483011|8.0083|8.0083
1e_a5|0|2.953259375|0.0|6.605297921|0|0.0|4.59511985|2|0.027873016|0.0|-0.084933308|0.008031558|-0.1197834419999999|-0.040441176|1|0.007357977|-0.201027861|2|0.71274658|0.6977404359999999|0|0.8805795|-0.06795194|-0.069725333|0.373935381|0.008587563|-35.30075748|-36.22202792|159.537038|0.1194205|62.03846573|-0.0278901329999999|2.317577542|0.0|-1.115605324|-18.33860051|-14.48881117|39.76196174|0.482579989|2107.092939|457.4574833|827.4861275000001|0.2526063739999999|6.41473183|12.39753333|0.0157106539999999|775.4313476|409.0289917|1.0|1.0|1.0|2.83|23.0|-8.41|54.46|0.0|0.0|95.45|0.0|1.0|3.0|-4.25|312.37|1.0|3.44|3.5600000000000005e-05|0.0111|0.0|3.87e-09|1.21e-06|4746.0|4.4292|-990.6320386|-990.6006645|560.58|935.47|279.92|0.5156|427.87|0.56258|0.51802|-990.471803|1916.0|0.0313740589999999|6719.0|6719.0
12s_a30|0|0.0|0.0|7.412764017000001|2|0.0|5.351858133|2|0.04625323|0.0|-0.403952011|-0.002544958|-0.035768573|-0.04950715|1|-0.001131023|-0.446807335|1|0.609043558|0.591758164|0|0.706713791|-0.090733404|-0.103647048|0.404041243|0.019324097|-58.75255278|-67.11451776|89.91581294|0.2932862089999999|189.9114627|-0.040189672|8.102485674|0.0|-1.969293912|-38.04400919|-26.02399668|71.26547471|0.467381416|2977.11642|457.6180044|2368.4646620000003|0.209518167|8.066744794|15.14544373|0.017398791|1613.162737|616.2856203|1.0|1.0|1.0|4.63|17.0|-7.16|81.65|2.0|0.0|127.19|0.0|1.0|5.0|-5.49|434.46|0.0|3.21|6.71e-06|0.00291|0.0|6.900000000000002e-08|3e-05|5.0438|3.5348|-1774.236634|-1774.202623|677.35|1140.1|350.75|0.2148|526.07|0.43338|0.68458|-1774.01033|3.0335|0.03401064|8129.0|8129.0
6b_a31|0|3.404988662|0.0|7.773594467000001|1|0.0|5.733341277|0|0.037803618|0.0|-0.787472195|-0.011483229|-0.032090772|-0.053655833|2|-0.008439437|-0.57983695|0|0.838789705|0.795570315|0|0.627853074|-0.12081047|-0.1284626569999999|0.146652651|0.032992761|-73.70779766|-78.37648097|159.79549319999998|0.372146926|227.0509355|-0.045675611|12.28107483|101.4993391|-2.055402513|-44.96993859|-27.86719323|93.83704414|0.4807018779999999|2776.92804|383.0600707|2063.736075|0.254079586|7.513612533|14.46878435|0.024142162|1681.1762649999998|536.6368656000001|1.0|1.0|2.0|3.55|22.0|-7.33|131.36|1.0|0.0|109.69|0.0|1.0|4.0|-5.63|404.44|1.0|3.3|2.18e-05|0.00883|0.0|4.67e-08|1.89e-05|3.2949|3.2949|-1652.671944|-1652.635711|637.06|1077.19|376.29|0.4967|492.36|0.7013199999999999|0.7013199999999999|-1652.44739|5.9085|0.03623358|7.2676|7.2676
9_a15|0|0.0|0.0|0.0|0|0.0|0.0|1|0.04022792|0.0|-0.506073953|1.7800000000000002e-05|0.05688176|0.005692073|0|0.003160815|-0.344978312|1|0.85357243|0.8105478740000001|0|0.846156316|-0.073701648|-0.11668349|0.416635119|0.032464905|-41.10356167|-65.07462414|105.5304352|0.153843684|85.79894134|-0.028575549|10.09761131|54.69975317|-1.400201879|-22.92354152|-15.93664265|59.20930631|0.4517825079999999|2392.3164920000004|471.903131|1689.926339|0.48742253|5.485176331|10.00547485|0.03598612|1523.4682269999998|532.0914339999999|1.0|0.0|1.0|3.16|18.0|-7.57|61.84|2.0|0.0|104.74|0.0|1.0|7.0|-5.25|366.41|1.0|3.69|1.53e-05|0.00562|0.0|2.69e-08|9.86e-06|4.3447|3.7487|-1223.705126|-1223.687392|588.55|1042.17|330.74|0.2693|507.33|0.6512399999999999|0.70552|-1223.463757|1.4625|0.01773342|6.9706|6.9706
14e_a23|1|0.0|-4.45581912|7.423568444|0|3.052208981|5.351858133|2|0.044241453|0.650989437|-0.4787294729999999|0.001027627|0.021081733|-0.009871698|2|0.001951778|-0.5232404310000001|2|0.560094237|0.5415996160000001|1|0.925392058|-0.073376247|-0.089453046|0.267882223|0.018022127|-51.07141556|-62.2612068|48.244071000000005|0.074607942|51.92870134|-0.03935934|8.73073591|0.5612316039999999|-1.96796702|-35.54678231|-27.39493099|63.61519626|0.49543439|3255.313968|644.0923882999999|2428.874279|0.203474128|8.020794334|15.89643482|0.017954325|1719.6510460000002|658.8108151|0.0|1.0|1.0|3.54|26.0|-8.23|105.02|2.0|1.0|125.29|0.0|1.0|6.0|-6.38|479.48|0.0|4.5|1.61e-06|0.000773|0.0|5.94e-09|2.85e-06|3.7033|3.7033|-1966.96594|-1966.943431|706.39|1209.58|334.8|0.3178|571.39|0.63922|0.63922|-1966.720803|3.7696|0.02250947|8.5214|8.5214
12at_a36|0|3.4361495580000003|0.0|7.412764017000001|2|0.0|5.351858133|2|0.039952719|0.0|-0.653190113|-0.001148437|-0.076129505|-0.037590959|1|0.000906224|-0.48127276|1|0.817851296|0.7767870459999999|0|0.751856692|-0.084721769|-0.110637955|0.301423347|0.029516069|-58.66704838|-76.61315774|95.16663336|0.248143308|171.8311073|-0.037537878|14.1532755|80.75773169|-2.102121151|-40.6250081|-25.99374995|79.10595873|0.49342323|3041.832389|520.6361161|2388.600265|0.325557803|8.837213274|17.44496351|0.027424543|2158.30208|735.3783268|1.0|1.0|2.0|4.9|17.0|-6.62|95.5|1.0|0.0|135.03|0.0|1.0|7.0|-4.18|439.47|0.0|1.76|8.36e-05|0.0367|0.0|2.42e-07|0.000106|4.7133|3.8408|-1460.833958|-1460.797444|733.29|1238.61|322.81|0.4765|589.75|0.42968|0.6802600000000001|-1460.549244|6.4676|0.03651452|7.1079|7.1079
47t_a18|0|0.0|0.0|7.03438793|1|0.0|4.844187086|0|0.03672956|0.0|-0.756664598|-0.006573438|-0.011641394|-0.04785474|0|-0.004985656|-0.600890268|0|0.704602886|0.688453085|0|0.67203319|-0.119202068|-0.103295568|0.240001773|0.014067024|-79.78154029|-69.13537385|280.622476|0.32796681|219.5070758|-0.040580402|6.301435212|78.43695402|-2.272502492|-53.39751484|-27.16032544|89.19655162|0.49779009|2872.533415|449.789539|1326.524873|0.195468477|8.780037801|17.48280476|0.016238994|1890.514146|747.6927426|0.0|1.0|3.0|3.86|18.0|-7.51|110.56|2.0|1.0|129.21|0.0|1.0|7.0|-5.58|441.48|0.0|2.15|1.7100000000000002e-05|0.0075299999999999|0.0|3.09e-08|1.36e-05|3.1164|3.1164|-1470.873743|-1470.836067|703.76|1218.95|397.84|0.5502|601.36|0.6895100000000001|0.6895100000000001|-1470.528808|7.7656|0.03767603|6.1068|6.1068
