molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|GATS1are|BIC2|MATS8s|MATS8d|SIC2|RASA|FNSA5|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|FNSA4|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2D6 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
18a_a25|0.0|0|0|0.0|0.0|1|6.842683282|0|0|-0.0029953159999999|4.727387819|-0.019008377|0.038167849|0.062229409|2.050257213|-0.170732995|0.007643634|-0.018419483|-0.019985937|1|1|0.007325341|0.106305991|-0.06333068|0.761417363|0.7385460309999999|-0.039007784|-0.035531959|0.792935475|0.931628386|-0.078181889|0.0095281269999999|-37.07961488|-51.83514755|6.317215793|75.74077952|-0.03097773|-34.36707071|0.0|0.817072039|-1.641819678|-24.58404782|-20.53845469|43.39683067|2857.88027|617.676232|-1088.538099|2331.966135|-13.61714122|14.59524518|0.973559258|6523.923911999999|121.2825364|-721.7084848|25.136651|0.011486699|1332.242503|7.615762647|1.0|1.0|3.5|3.43|0.08|27.0|-9.78|5.89|5.72|1.0|133.85|6.0|-6.33|3.0|-5.58|435.54|0.0|1.0|4.53|-5.77|4.65e-07|0.000202|4.76|0.0|1.67e-10|7.28e-08|-0.05591|5.4965|4.51|-1675.2501519999998|1229.09|225.57|0.2834|0.5274399999999999|-1674.982248|0.0027|3.1313|-1675.04368|4.3839|94.0|7.0269|7.0269
21_a4|0.0|0|0|0.0|0.0|1|7.535296702|1|1|-0.003068098|5.4161004020000005|-0.014982235|0.042924837|0.019346682|0.0|-0.131928225|0.012362563|-0.2897937889999999|-0.104638158|1|1|0.012094249|0.030586117|-0.099702401|0.6952936|0.777866961|0.090847781|-0.174578783|0.833191212|0.932146735|-0.076470465|0.020173071|-28.99048719|-38.7880598|10.23237244|63.37635587|-0.028676424|-19.67444009|66.03320922|0.7231676229999999|-1.147056976|-14.70482428|-14.54552243|39.22285963|2045.488184|472.812128|-581.8208971|1584.866567|-7.377915035|9.956436217|0.670120767|4277.396118|140.4174905|-295.1166014|20.11362507|0.017563978|804.5450027|8.908964226|1.0|1.0|3.37|2.92|0.16|17.0|-5.94|3.7|3.85|0.0|91.59|3.0|-3.88|3.0|-5.76|303.36|0.0|1.0|3.23|-4.19|0.000133|0.0403|3.36|0.0|1.16e-06|0.000352|-0.02956|5.1623|3.31|-973.5481197|916.76|240.17|0.5260600000000001|0.66476|-973.400097|0.1457|2.0282|-973.449892|2.9409|121.0|6.9172|6.9172
12b_a32|0.0|1|1|3.477905329|0.0|0|7.765993078999999|0|0|-0.009432679|5.733341277|-0.055500132|0.0388738739999999|-0.044307211|2.153718992|-0.462201267|-0.003484915|-0.031446256|-0.053480599|3|3|-0.001662219|-0.079768013|-0.1534110109999999|0.788133615|0.838021287|-0.0533240309999999|-0.090027803|0.8887585240000001|0.782593|-0.097525366|0.016282332|-50.88975159|-60.93328667|10.17310723|90.57560878|-0.027561517|-38.07076621|65.29222164|0.60420609|-1.267829764|-31.79562339|-17.22027667|61.06285882|2573.006963|488.9595947|-792.1327267000001|3148.185476|-10.75912958|12.42841652|0.756331814|5653.268811|247.2897528|-494.9199607|28.50066715|0.025166975|1311.0306890000002|15.72418067|1.0|1.0|3.47|2.9|0.26|19.0|-7.65|6.49|4.19|0.0|110.47|7.0|-5.9|4.0|-6.4|397.52|1.0|1.0|3.59|-4.43|1.27e-06|0.000505|3.28|0.0|2.23e-08|8.86e-06|-0.05173|3.5703|4.12|-1880.732075|1109.93|347.27|0.70258|0.70258|-1880.537231|0.2865|3208.0|-1880.599158|4.1080000000000005|26.0|7585.0|7585.0
2_a27|0.0|0|0|0.0|0.0|2|6.605297921|0|0|-0.0065894809999999|4.59511985|-0.0609613559999999|0.0427777779999999|-0.196529806|1.267636369|-0.276758209|0.009338889|0.11675125|0.017751479|1|1|0.00988756|-0.337316432|-0.361571905|0.639024713|0.796022385|0.137868605|0.027777778|0.8585302370000001|0.8468699609999999|-0.081513931|0.019809599|-29.42169804|-41.03489597|9.972342226|9.194894069|-0.029261411|-20.65736087|53.58106492|0.6684621829999999|-1.141195033|-14.81116546|-14.73047548|39.39404027|2210.487938|426.3224749|-574.4885436000001|1270.627585|-7.415462877|9.527176544|0.7934621359999999|4774.521748|166.89932209999998|-289.2030522|22.03636323|0.022639983|859.4181658|11.39718489|0.0|1.0|2.9|3.06|0.11|21.0|-5.84|2.43|2.49|0.0|92.58|2.0|-3.19|4.0|-6.69|317.34|0.0|1.0|2.52|-3.7|0.000644|204.0|2.18|0.0|1.45e-06|0.0004599999999999|-0.04933|4.1624|4.32|-1043.7984|906.48|297.87|0.55857|0.55857|-1043.665151|0.3217|4.7049|-1043.715364|6.8854|13.0|7.8861|7.8861
14a_a5|0.0|1|0|2.948727373|0.0|0|6.605297921|1|1|-0.0053665219999999|4.59511985|-0.005002101|0.027375887|-0.132625457|0.0|-0.316624785|0.002956745|-0.086229994|0.024793388|1|1|0.003668464|-0.213526163|-0.016337128|0.7333482170000001|0.79661948|0.144729708|0.047169811|0.847379958|0.7909255559999999|-0.078681402|0.0173669719999999|-54.69145586|-53.20786056|11.74431806|134.62273080000003|-0.0271808479999999|-35.98151967|55.04914434|0.629783335|-1.494946644|-36.98479273|-18.38089729|66.43577392|2836.468636|534.8590069|-1010.949351|1315.573182|-12.42997952|15.89694877|0.88709518|6177.303329|250.3569601|-683.6488737000001|29.18606491|0.024411136|1605.23357|16.50789498|1.0|1.0|3.24|2.41|0.2|23.0|-8.84|4.56|4.38|0.0|123.0|6.0|-4.15|5.0|-7.08|425.48|0.0|1.0|3.05|-4.22|7.15e-05|0.0304|2.55|0.0|1.45e-09|6.16e-07|-0.0507699999999999|4.1501|4.3|-1390.546425|1195.01|298.75|0.65789|0.65789|-1390.29207|0.5853|2.7115|-1390.352729|2.8163|112.0|6.9508|6.9508
16_a4|0.0|0|0|0.0|0.0|1|7.535296702|1|1|-0.00228637|5.4161004020000005|-0.095499301|0.04501634|0.007101649|0.0|-0.089168424|0.0067511459999999|-0.148022089|0.019290123|1|1|0.006466406|0.020218035|-0.0513920109999999|0.490768328|0.774455255|-0.0894138519999999|0.0293772029999999|0.8366279120000001|0.7898461090000001|-0.080093659|0.013727656|-36.11951685|-39.44800181|6.761192037000001|13.51923899|-0.033372358|-19.42906425|74.430775|0.832461695|-1.201404885|-17.789707500000002|-16.43666742|42.88070889|2101.6948030000003|389.0176968|-591.7200271|1522.164774|-8.095443438|10.19502391|0.837568182|4520.2597670000005|82.51653675|-291.4359638|19.74465314|0.0115138339999999|710.807513|5.67083266|0.0|0.0|3.26|3.08|0.11|17.0|-6.36|4.49|4.96|0.0|85.02|2.0|-3.92|4.0|-5.64|309.31|0.0|1.0|3.91|-4.43|0.0001199999999999|0.0371|3.59|0.0|4.33e-07|0.000134|-0.03965|4511.0|4.05|-1057.478071|856.55|274.85|0.51149|0.54061|-1057.3808390000002|0.1006|1863.0|-1057.429593|1.9873|343.0|6.4647|6.4647
1i_a5|0.0|1|0|2.843224727|-4.358943904|0|6.605297921|0|0|-0.006494891|4.59511985|-0.31059482|0.0253888889999999|0.018196138|0.0|-0.279280326|-0.0012491689999999|-0.174016111|-0.003198529|1|1|-0.000700145|0.059972925|0.004923698|0.525406088|0.780175595|-0.058385936|-0.00496377|0.8436458929999999|0.8876055620000001|-0.084018635|0.008291428|-50.81756452|-46.82694838|4.621144795|201.1526326|-0.03570792|-26.09853285|0.213644964|0.759459597|-1.428316788|-28.32266298|-19.90145306|55.43870932|2482.831286|494.6981114|-796.0581225|942.1618767|-11.09187646|13.79450888|0.8858245220000001|5432.586961|134.0627959|-443.6750585|26.20475553|0.0196689|1048.190221|10.96226516|1.0|1.0|2.83|2.04|0.05|23.0|-8.88|5.48|6.37|0.0|95.49|4.0|-4.79|6.0|-5.73|366.34|1.0|1.0|4.12|-4.97|1.6100000000000002e-05|0.00589|3.95|0.0|1.3300000000000002e-09|4.86e-07|-0.05729|4.7243|3.58|-1288.322373|957.58|262.44|0.4571199999999999|0.50107|-1288.210207|0.0207|2.6336|-1288.264271|2.8939|24.0|7.6198|7.6198
21_a12|0.0|0|0|0.0|0.0|0|6.605297921|1|1|-0.008833375|4.59511985|-0.058516436|0.037992832|-0.213225401|0.0|-0.362168355|-0.003879878|-0.01367083|-0.0546514309999999|1|1|-0.001825446|-0.388196876|-0.211367878|0.923855679|0.835359152|-0.061915124|-0.099516604|0.89838263|0.84827776|-0.100098765|0.012230115|-34.60932333|-50.37198585|6.154473157000001|75.46830038|-0.036878492|-25.34833425|0.0|0.770818357|-1.401382713|-17.416202300000002|-18.55810005|40.76379649|2185.835701|426.8727514|-705.2078018999999|1080.052791|-9.338859985|11.18947411|0.8993077970000001|4652.242111|115.3294396|-354.8766794|24.07584081|0.017360942|914.8819508|8.736422872|1.0|1.0|4.05|2.81|0.12|17.0|-6.78|4.01|2.25|0.0|98.16|3.0|-3.82|4.0|-6.45|319.38|0.0|1.0|2.68|-3.76|0.00015|48.0|2.53|0.0|1.67e-07|5.3200000000000006e-05|-0.0546899999999999|4.6851|2.56|-1327.451966|893.17|264.64|0.59386|0.57644|-1327.347724|0.1668|2327.0|-1327.397348|3.2551|22.0|7.6576|7.6576
19_a15|-3.694652026|0|0|0.0|0.0|0|0.0|0|0|-0.009832375|0.0|-0.558905888|0.040555556|0.037722611|0.0|-0.4621216379999999|-0.012350591|-0.04003124|-0.032407407|0|0|-0.00534669|0.060683674|-0.045543362|0.7981860159999999|0.722297906|0.042424078|-0.048611111|0.770451673|0.691069123|-0.112106433|0.00527267|-54.70558911|-64.78818183|3.04716388|61.63983265|-0.042351319|-37.44217335|15.76831619|0.922135562|-1.905809364|-31.61527447|-24.47553536|57.75275299|2625.952212|399.3803987|-1101.399091|1857.369806|-14.14482104|10.26331993|0.681885245|5417.777463|44.99916039|-636.516947|26.54223128|0.005747326|1194.400408|3.321475588|1.0|1.0|2.99|2.17|0.11|18.0|-7.14|2.36|4.96|0.0|101.22|5.0|-5.12|5.0|-6.22|369.44|0.0|1.0|2.88|-4.39|7.56e-06|0.00279|3.29|0.0|7.28e-08|2.69e-05|-0.0372399999999999|4.1742|7.53|-1523.361214|1030.77|297.03|0.68945|0.68945|-1523.196562|0.4895|6.7515|-1523.254714|9326.0|72.0|7.1427|7.1427
4j_a46|0.0|0|0|0.0|0.19521727|1|7.825245291|1|1|-0.002284836|5.587248657999999|-0.012405467|0.048126615|-0.0529855709999999|0.0|-0.130235627|0.011968098|-0.1051618459999999|-0.176133068|1|1|0.011684396|-0.078783783|-0.087688953|0.72796254|0.7298040140000001|-0.061823242|-0.258222236|0.763724435|0.949893337|-0.074417476|0.01492164|-34.99059698|-43.95227197|8.812983129|70.56141095|-0.024805825|-25.95898597|71.98911503|0.776932317|-1.339514565|-20.66606288|-14.65075732|43.80358011|2260.870095|561.0237355|-791.1408955|2563.282153|-8.652995323999999|10.49957018|0.673502127|5077.124695|131.7477027|-467.2617475|18.85718615|0.0106831269999999|1018.288052|6.30964324|1.0|1.0|4.0|3.9|0.39|17.0|-7.69|5.18|5.33|0.0|110.24|4.0|-5.38|3.0|-5.09|361.48|0.0|1.0|4.5|-5.31|4.16e-06|0.0015|4.81|0.0|2.03e-08|7.33e-06|-0.01684|5.3949|4.93|-1132.018764|1112.13|229.82|0.37853|0.69413|-1131.761156|0.1418|2.9043|-1131.817578|3.8105|805.0|6.0942|6.0942
