molecula|NaaNH|n9FaHRing|SaaNH|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|GRAVp|TASA|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
14z_a23|0|1|0.0|2|7.423568444|0|1.197960872|3.305974434|0.08752343|-0.005892861|-0.024897956|2|0.04314059|0.038811869|-0.30053593|0.009174505|-0.0438568409999999|10.31321795|2|2|-0.46459002|2|0.719722236|0.10796308|0.8668730109999999|0.64069202|1|0.925301102|-0.0582387179999999|-0.079754981|0.018337664|-40.56245532|-55.54823244|40.18308023|-0.03393829|8.895469235|79.960755|-1.595099623|-28.25118461|3094.698027|644.4593172|0.214395551|14.91419434|0.903664694|7285.13008|149.3235124|30.08835522|0.01612263|-397.8390333|1414.152695|665.6233736|11.22918692|0.0|0.0|1.0|3.42|3.67|0.05|26.0|5.32|105.02|3.99|1.0|130.3|1.0|5.0|32.0|4.0|-5.8|480.37|0.0|0.0|4.49|1.7e-07|8.18e-05|7.37e-07|0.0|2.6899999999999996e-09|-0.08503|-2549.107748|1221.92|338.46|0.3201|307.5|586.28|-2548.895003|0.2917|-0.15195|-0.23698|0.01238131|-2548.957384|7.9877|5.0|8.2941|8.2941
12l_a30|0|0|0.0|0|7.412764017000001|2|0.60498366|0.0|0.157020295|-0.015371073|-0.274237737|2|0.044036281|-0.102468864|-0.876151158|-0.00695299|0.154540315|10.31162828|1|1|-0.640870513|1|0.613786308|-0.045411075|0.883029843|0.593245722|0|0.834279405|-0.0905026719999999|-0.109810463|0.0154211289999999|-63.31694493|-76.82494797|103.5499036|-0.045581702|7.548024079|1.697908189|-2.415830189|-44.29742723|3306.001879|583.6736326|0.178184921|17.23248653|0.861252543|7576.362669|124.6606826|38.8038646|0.016896687|-450.2927313999999|2056.604824|696.6414817000001|11.82116027|1.0|1.0|0.0|4.72|0.0|0.17|17.0|4.78|90.88|2.82|0.0|133.96|1.0|7.0|34.0|8.0|-5.66|482.48|0.0|0.0|3.42|1.99e-07|9.63e-05|1.2e-06|0.0|6.61e-08|-0.0545299999999999|-1988.033039|1223.54|351.78|0.2294|245.74|574.72|-1987.782294|0.1574|-0.14944|-0.20397|0.03406276|-1987.848331|2.9851|61.0|7.2154|7.2154
4i_a46|0|0|0.0|1|7.825245291|1|1.1346370959999998|2.184105962|-0.167244168|-0.002360192|-0.018872727|1|0.049498645|-0.088884176|-0.127450387|0.012211602|-0.160741899|10.94638684|1|1|-0.22302552|1|0.7204791309999999|-0.0656636|0.786754478|0.7172344890000001|0|0.940780437|-0.058565229|-0.075208437|0.015663081|-33.08099617|-42.48203383|67.51603424|-0.025069479|4.997521397|70.55661087|-1.278543436|-18.68604171|2200.19132|531.4066842|0.2361682219999999|10.47951666|0.685288314|4893.587424|133.40134070000002|18.53900079|0.011626803|-298.0546045|945.4890404|579.2365607|6.567484272000001|1.0|1.0|1.0|3.88|3.5|0.36|17.0|5.07|39.94|3.06|0.0|105.43|1.0|3.0|26.0|3.0|-5.31|347.45|1.0|1.0|4.16|1.16e-05|0.00403|9.13e-06|0.0|5.04e-08|-0.01646|-1092.730494|1058.5|280.31|0.2805|229.66|546.24|-1092.473422|0.1421|-0.18438|-0.20084|0.02614355|-1092.528145|3.8696|612.0|6.2132|6.2132
12i_a36|1|0|3.27619957|0|7.412764017000001|2|1.2401347459999998|0.0|0.043792895|-0.016027043|-0.29543904|2|0.0438779959999999|0.048138468|-0.929568494|-0.011700732|0.128325344|10.96020192|1|1|-0.608318386|1|0.647732719|0.141564781|0.87043328|0.624142499|0|0.830964232|-0.0850745409999999|-0.117424873|0.01973953|-54.81607619|-75.66036485|108.3973956|-0.045665229|8.195085212|0.52902639|-2.46592234|-35.3196406|3231.030388|535.4151566|0.230870141|13.98728916|0.8526986440000001|7707.634338|148.7565508|38.2555363|0.022430221|-346.8168661|2065.79896|672.4630346|14.45246358|1.0|1.0|0.0|4.8|0.0|0.17|17.0|4.04|78.43|2.04|0.0|130.43|1.0|7.0|34.0|8.0|-6.4|465.43|0.0|0.0|2.65|6.26e-06|0.00291|8.6e-06|0.0|7.24e-08|-0.05065|-1645.2030949999998|1172.5|330.66|0.5402|237.08|504.47|-1644.954647|0.1516|-0.1541|-0.20475|0.03165678|-1645.017702|6.6124|12.0|7.9208|7.9208
16j_a32|1|1|3.359912013|0|7.765993078999999|0|0.609420735|0.0|0.175152442|-0.0139074189999999|-0.086195934|0|0.046788618|-0.0667943999999999|-0.778815477|-0.002456725|-0.135618491|10.31100263|3|3|-0.704356423|0|0.79965447|0.168000908|0.839271289|0.762429418|1|0.8259884120000001|-0.07651119|-0.106897203|0.023266265|-54.71915795|-76.45058155|34.66998636|-0.034287782|11.90023573|45.81893652|-1.817252458|-39.13396528|2830.682695|590.7291534|0.3002094919999999|13.20372234|0.7944808170000001|6507.757122|214.7033741|35.04175088|0.021655546|-285.7717513|1857.212797|701.9321161|15.48758085|1.0|1.0|1.0|3.86|3.38|0.33|19.0|5.24|149.27|1.57|0.0|121.3|1.0|8.0|30.0|5.0|-5.73|441.57|0.0|0.0|4.25|3.56e-08|1.57e-05|3.89e-06|0.0|1.7e-08|-0.05016|-2034.621888|1225.27|341.65|0.2907|341.65|631.34|-2034.344833|0.2907|-0.15012|-0.2002799999999999|0.0283671|-2034.408854|4.0992|9.0|8.0315|8.0315
14ab_a23|0|1|0.0|2|7.423568444|0|1.197962873|3.4171257980000003|0.065530542|-0.0050415|-0.028841865|2|0.04314059|0.021287386|-0.287365522|0.013012022|0.010803172|10.313217300000002|2|2|-0.449699921|2|0.725358161|-0.085303124|0.8072028240000001|0.693959193|1|0.92422233|-0.051974369|-0.076243539|0.017974612|-35.59605095|-52.21744789|40.23721489|-0.031648261|8.431109267|82.79560776|-1.677357849|-24.37891748|2941.47118|632.9786397|0.202162933|14.76864227|0.885272615|6654.62616|138.4567483|27.16741043|0.013710439|-407.9635285|1439.872753|733.3886349999999|9.389964491|0.0|1.0|1.0|3.63|3.82|0.12|26.0|4.63|105.02|3.45|1.0|130.22|1.0|5.0|32.0|4.0|-5.92|439.54|0.0|0.0|4.12|5.9e-07|0.000259|2.81e-06|0.0|6.9799999999999995e-09|-0.07146|-1708.563399|1238.27|338.88|0.3893|338.88|595.23|-1708.277193|0.3893|-0.14778|-0.21924|0.02013145|-1708.3414239999995|8.4721|4.0|8.4012|8.4012
7f_a8|1|0|2.961566988|1|7.05012252|0|1.394802504|1.2793830309999998|-0.139912829|-0.005338193|-0.073219554|0|0.044814815|0.034392285|-0.234880498|0.00112124|-0.087673259|10.94343485|1|1|-0.381574707|0|0.515235986|-0.048917705|0.7677336090000001|0.507325475|0|0.770229267|-0.091890536|-0.08790841|0.0138113419999999|-52.28313554|-50.01741803|53.09327646|-0.040738044|4.471132824|55.49953831|-1.670259798|-29.74763659|2534.956113|438.23883319999993|0.119077775|14.04331892|0.822794279|5662.145174|67.75191165|26.31197491|0.010262531|-433.4681077|1078.790971|446.5544107|5.839092213|1.0|0.0|0.0|3.14|3.23|0.0|23.0|5.49|61.58|4.27|0.0|101.89|1.0|3.0|28.0|4.0|-5.27|373.35|0.0|1.0|4.63|2.09e-06|0.00078|3.16e-06|1.0|3.5e-09|-0.07492|-1285.196168|991.61|356.17|0.3536|324.68|495.55|-1285.017838|0.1502|-0.14506|-0.21998|0.02809022|-1285.071664|11.6137|35.65|4.4479|4.4479
15_a31|1|0|3.155574452|0|7.765993078999999|1|0.610137926|0.0|0.1893807519999999|-0.018913735|-0.134784483|0|0.038809524|-0.0302581979999999|-0.775463115|-0.011797858|-0.070065105|10.31169996|2|2|-0.6215974160000001|0|0.8314086070000001|-0.0869591359999999|0.8582665429999999|0.782925607|0|0.567108776|-0.116196194|-0.131697567|0.038524836|-61.76522754|-70.00513464|141.1489667|-0.041588706|10.88541717|514.6215199|-1.58037081|-32.83191294|2351.566145|301.452236|0.358466423|11.51842782|0.873235738|5087.628096|190.5463457|34.45943505|0.03396368|-150.46712390000002|1309.458532|363.593507|18.05372755|0.0|1.0|1.0|3.31|1.64|0.19|16.0|3.0|117.37|0.41|0.0|90.47|2.0|4.0|24.0|5.0|-6.84|342.37|0.0|1.0|2.27|5.27e-05|18.0|0.000272|0.0|2.19e-06|-0.04192|-1460.900291|925.93|271.36|348.0|271.36|452.98|-1460.736142|348.0|-0.15202|-0.19394|0.03843988|-1460.790873|7.5831|1.1|5.9586|5.9586
12r_a30|0|0|0.0|0|7.412764017000001|2|0.604984545|0.0|-0.015167821|-0.007553813|-0.093024002|2|0.043383838|-0.093079817|-0.400352091|-0.002544958|-0.0682882559999999|10.31162892|1|1|-0.44083509|1|0.609043558|-0.007140234|0.889479916|0.591758164|0|0.72072745|-0.090229387|-0.109990462|0.019137908|-58.32042638|-71.0931422|90.4724548|-0.040404659|7.995393191000001|0.0|-1.979828309|-37.69583567|2976.944611|465.8474777|0.209934663|13.94386247|0.867350555|6735.090739|135.6928105|33.05530181|0.016970201|-374.9717191|1619.709789|616.2856203|10.96881384|1.0|1.0|0.0|4.66|0.0|0.14|17.0|3.74|81.65|3.58|0.0|127.19|1.0|5.0|31.0|6.0|-6.06|434.46|0.0|0.0|3.21|3.24e-06|0.00141|6.71e-06|0.0|6.900000000000002e-08|-0.05244|-1774.236548|1141.54|353.12|0.1908|244.69|516.03|-1774.009422|0.1522|-0.14894|-0.20138|0.03388131|-1774.070699|6.5511|29.0|7.5317|7.5317
12f_a40|0|0|0.0|1|7.515889085|0|0.604990261|1.768354671|-0.03356339|-0.006206277|-0.015621373|0|0.040501792|0.070099257|-0.235838511|0.008525796|0.108909202|10.31197207|2|2|-0.397377446|0|0.679527138|-0.160218113|0.841769186|0.605644757|1|0.909993912|-0.067004323|-0.082198664|0.021549915|-37.02024147|-45.41519509|62.72992556|-0.032879466|6.57837176|61.55859085|-1.150781297|-20.45387851|2383.68369|502.7764322|0.268555948|16.49362536|0.962404834|5326.217734000001|148.3785764|24.83590915|0.0201199619999999|-255.7481174|869.2568204|384.1423925|11.1163852|1.0|0.0|0.0|3.24|3.61|0.06|20.0|5.44|67.66|3.99|0.0|98.25|1.0|3.0|24.0|3.0|-4.76|376.26|0.0|1.0|4.76|2.66e-07|0.0001|1.02e-06|0.0|4.81e-08|-0.07761|-2212.359379|951.55|436.97|0.4348|286.25|487.85|-2212.222254|0.3858|-0.11765|-0.19526|0.01077929|-2212.275094|4.8562|0.38|6.4202|6.4202
15b_a50|0|1|0.0|2|7.934155233999999|1|1.353059441|4.112770601|-0.144363623|-0.0045393|-0.05484142|1|0.032843915|-0.103807905|-0.22696498|0.004641091|-0.06083723|10.94501702|2|2|-0.310946931|1|0.79846758|0.000882622|0.8833003970000001|0.764606364|1|0.8209134840000001|-0.082576068|-0.080700307|0.020083792|-47.20879251|-46.13641893|274.85729960000003|-0.028069672|6.564219549|0.0|-1.291204916|-26.98929785|2441.264256|469.3167805|0.3609826579999999|13.22671714|0.919348867|5205.2135960000005|206.3740238|25.11269883|0.024313507|-158.95261259999998|1155.184146|510.3677388|13.90004811|1.0|1.0|1.0|3.56|2.11|0.19|20.0|3.26|68.76|1.66|0.0|105.46|2.0|5.0|27.0|4.0|-6.98|357.41|1.0|1.0|2.37|0.000654|0.2339999999999999|0.000249|0.0|1.92e-06|-0.0333399999999999|-1160.4989460000002|1035.3|305.67|0.1796|305.67|475.99|-1160.275856|0.1796|-0.16737|-0.20071|0.03528279|-1160.330621|9.3788|79.0|7.1024|7.1024
8f_a8|1|0|2.939511291|1|7.05012252|0|1.394802091|1.241306689|0.024051247|-0.01032134|-0.249095464|0|0.043758865|0.0587545909999999|-0.485102985|-0.007796225|-0.08540947|10.94343488|1|1|-0.5373378529999999|0|0.578166105|-0.016217844|0.751162751|0.56916135|0|0.5968139689999999|-0.122135295|-0.1064257719999999|0.013566221|-71.22071405|-62.06002501|317.0847898|-0.048375351|4.613060521|67.99102163|-2.128515439|-41.53091131|2622.044457|348.0199311|0.09422952|13.81994609|0.8416059290000001|5948.547713|54.94802877|31.14376424|0.009226445|-473.23361|1370.325626|485.8626377000001|5.380213594|0.0|0.0|0.0|3.14|2.85|0.0|23.0|4.72|80.88|4.11|0.0|105.27|1.0|4.0|29.0|4.0|-5.98|391.37|0.0|0.0|4.04|6.11e-06|0.0023899999999999|1.01e-05|0.0|1.13e-08|-0.0675299999999999|-1361.658484|1022.89|355.5|0.3188|263.65|477.92|-1361.455053|0.1659|-0.14532|-0.21285|0.03173623|-1361.510739|7.8014|22.76|4.6428|4.6428
