molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|GATS1pe|RASA|FNSA3|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RPSA|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
12y_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.604984019|2|-0.089502772|-0.353814891|0.00604028|0.061944378|10.31162818|-0.058184644|1|0.006346396|-0.153680104|-0.0922059569999999|-0.4579359229999999|1|0.842068099|0.768409873|-0.05346283|0.803183654|0.8489185109999999|-0.070903795|-0.091248521|0.374181804|-47.598277|-61.25585229|10.05775555|0.151081489|-41.1215369|6.751850651|0.0|0.820108145|-31.95309886|69.55490151|57.65603256|0.445723724|2847.362782|569.8856940000001|-1286.372898|-15.70095045|0.179891855|8.067590558|14.55517927|0.804154433|120.7628216|-863.552275|0.012362508|-429.782246|1568.540572|754.3941655|1.0|0.0|1.0|0.0|0.21|-7.38|4.87|2.0|0.0|137.21|0.0|1.0|5.0|-6.04|31.0|4.0|426.54|0.0|0.0|-5.46|9.14e-07|0.00039|3.48e-06|0.00148|4.6|0.0|0.0|5.1973|3.4718|-1654.41361|-1654.382468|1227.82|357.11|0.2173|238.56|0.30617|0.6864399999999999|-1654.125015|0.1489|-0.19815|-1654.190369|5.1209|7.6576|7.6576
47j_a18|0.0|0|0|0.0|0|7.03438793|1|1|1.251176464|0|-0.048528478|-0.569931053|0.00031105|-0.006923502|10.94702285|0.0033281|0|0.002317206|-0.073551529|-0.331885553|-0.48833504|0|0.783538352|0.7444236670000001|-0.002262399|0.757001264|0.80651845|-0.073041469|-0.094744194|0.476575952|-56.816779|-73.69868165|12.42035127|0.19348155|-57.32800549|9.661420661|99.50526447|0.764425062|-44.19607713|86.31641604|69.23713027|0.481373558|3172.831382|627.366638|-1842.467041|-20.47428768|0.235574938|9.597380968|18.50538303|0.928170101|183.246715|-1433.2001369999998|0.016220875|-411.3767328|2410.265089|1081.726154|1.0|1.0|1.0|0.0|0.28|-8.79|2.43|3.0|2.0|149.96|1.0|1.0|11.0|-5.83|37.0|4.0|499.6|0.0|0.0|-5.14|1.49e-06|0.000743|7.32e-06|0.00366|4.07|1.0|0.0|3.1054|3.1054|-1625.445572|-1625.413107|1459.55|399.25|0.5439|399.25|0.6983600000000001|0.6983600000000001|-1624.9784550000002|0.5439|-0.17273|1625.053346|5.2118|7.4559|7.4559
13l_a6|0.0|0|0|3.433158672|0|7.412764017000001|1|1|1.4242139390000002|1|0.090187973|-0.858070925|-0.009326562|-0.037558466|10.95129637|-0.086595185|1|-0.006280295|0.144180269|-0.073210645|-0.564860904|1|0.8694295409999999|0.7908110340000001|-0.058931734|0.827754203|0.643098986|-0.118071236|-0.126521431|0.210844002|-82.24617981|-88.13242567|20.90615311|0.3569010139999999|-61.3913735|14.56282911|118.3485042|0.793671137|-57.29112645|100.8610837|103.1523329|0.4257335779999999|2967.923804|447.9705372|-1762.648513|-21.92549054|0.206328863|8.810095892|15.34147837|0.7413520309999999|143.7247666|-1227.82747|0.018273048|-409.1314702|2220.880201|741.5222707|1.0|1.0|1.0|2.22|0.16|-8.89|4.55|1.0|0.0|124.98|0.0|1.0|7.0|-5.49|33.0|5.0|441.48|0.0|1.0|-4.77|3.26e-06|0.00144|1.7100000000000002e-05|0.0075599999999999|3.39|0.0|0.0|3.6675|3.5499|-1465.865882|-1465.834958|1249.13|349.26|0.3115|338.07|0.7002|0.70515|-1465.560303|0.0165|-0.19447|-1465.624566|8.9893|6.4145|6.4145
8f_a8|0.0|0|0|2.939511291|1|7.05012252|0|0|1.394802091|0|0.0587545909999999|-0.485102985|-0.007796225|-0.08540947|10.94343488|0.007079485|1|-0.007036544|0.152294451|0.254819201|-0.5373378529999999|0|0.578166105|0.6971223040000001|-0.016217844|0.56916135|0.5968139689999999|-0.122135295|-0.1064257719999999|0.308621017|-71.22071405|-62.06002501|7.91086576|0.403186031|-36.18904175|4.613060521|67.99102163|0.90577048|-41.53091131|67.4402386|79.13157981|0.456995667|2622.044457|348.0199311|-1241.2005|-16.44956443|0.09422952|7.504290616|13.81994609|0.8416059290000001|54.94802877|-723.7808349999999|0.009226445|-473.23361|1370.325626|485.8626377000001|0.0|0.0|0.0|2.85|0.0|-7.95|4.69|2.0|0.0|105.27|0.0|1.0|4.0|-5.21|29.0|4.0|391.37|0.0|0.0|-5.0|6.11e-06|0.0023899999999999|1.01e-05|0.00395|3.82|0.0|0.0|4.7027|3.4876|-1361.658484|-1361.626748|1022.89|355.5|0.3188|263.65|0.55661|0.69925|-1361.455053|0.1659|-0.21285|-1361.510739|7.8014|4.6428|4.6428
6_a4|0.0|0|0|0.0|1|7.535296702|1|1|1.271761557|2|0.042096749|-0.064723237|0.011457667|0.0032928379999999|10.92992785|-0.208689928|1|0.01098094|0.0671397079999999|-0.073630392|-0.1738111839999999|2|0.664591856|0.76089528|-0.169533683|0.664247086|0.945545838|-0.052396457|-0.0670158929999999|0.417868437|-29.18838891|-37.33240845|4.324187697|0.054454162|-20.7966895|2.408866521|45.93422613|0.814470803|-16.25991695|42.27020924|33.5125766|0.423084148|2342.371538|526.7333132|-671.9833521|-7.639600225|0.1855291969999999|5.758624844|9.981741408|0.733355042|103.3523757|-374.340411|0.008863911|-350.36323230000005|825.0551765|578.2065561000001|0.0|1.0|1.0|3.45|0.26|-7.99|5.1|2.0|0.0|109.7|0.0|1.0|3.0|-4.91|27.0|3.0|354.45|1.0|1.0|-5.11|1.24e-05|0.0043799999999999|7.74e-06|0.00274|4.28|0.0|0.0|4.8714|4.0354|-1108.585859|-1108.563418|1057.7|307.24|0.1235|254.51|0.60542|0.5877|-1108.338577|0.0772|-0.2182599999999999|-1108.392115|3.2192|5.8861|5.8861
12c_a30|0.0|0|0|0.0|0|7.412764017000001|2|2|0.604984133|2|-0.0983590219999999|-0.3657134279999999|0.00372838|0.019094532|10.31162888|-0.072247675|1|0.003603419|-0.172653074|-0.090173435|-0.468696709|1|0.8264832879999999|0.824373792|-0.031986012|0.7463962120000001|0.8439327120000001|-0.076777688|-0.096482247|0.39541773|-50.12643041|-62.99109515|10.36785909|0.156067288|-41.12547305|6.768942632999999|0.0|0.8061287690000001|-32.72642202|72.5855533|60.4942895|0.452966315|2860.640481|550.9847369|-1196.830808|-15.946612|0.193871231|7.652098812999999|13.9883503|0.828040991|126.574178|-781.3839879|0.014695647|-399.7292126|1484.664552|652.8825454|1.0|0.0|1.0|0.0|0.14|-7.22|4.47|2.0|0.0|132.29|0.0|1.0|5.0|-5.93|30.0|4.0|432.93|0.0|1.0|-5.44|1.19e-06|0.0005139999999999|3.61e-06|0.00156|4.49|0.0|0.0|5.0582|3.5286|-2035.373591|-2035.339256|1168.62|351.37|0.2155|245.12|0.32037|0.68457|-2035.141497|0.1568|-0.2038599999999999|-2035.202565|4.7893|7.9914|7.9914
14b_a23|0.0|1|1|0.0|2|7.423568444|0|0|1.197963628|2|0.0519489729999999|-0.318684138|0.007671236|-0.0644978|10.31321824|-0.047410593|2|0.0075222369999999|0.121308009|-0.17267308|-0.4557487779999999|2|0.616699629|0.793551289|-0.00399443|0.5935522360000001|0.8462596590000001|-0.063267638|-0.082441268|0.228282196|-41.01458464|-53.44429544|13.26014776|0.153740341|-34.64639496|8.596171261|84.36242964|0.774359705|-26.58857202|64.97993029|54.274732400000005|0.450973737|2943.803333|548.6057241000001|-1068.885909|-14.74314679|0.225640295|7.833620016|14.26820636|0.821406493|146.2760938|-692.9278992000001|0.01779446|-355.71896410000005|1380.34805|599.5697147999999|0.0|0.0|1.0|3.44|0.05|-7.67|3.78|2.0|1.0|120.24|0.0|1.0|5.0|-5.58|31.0|5.0|429.47|0.0|0.0|-5.11|2.66e-06|0.00114|7.73e-06|0.00332|3.68|0.0|0.0|3706.0|3706.0|-1729.161608|-1729.139722|1142.37|334.55|0.3603|334.55|0.58097|0.58097|-1728.9300010000002|0.3603|-0.2286699999999999|-1728.9893510000002|9.7544|8.3536|8.3536
2_a33|0.0|1|1|3.396444161|0|7.765993078999999|0|0|0.609420748|0|-0.049900189|-0.476784502|-0.002514803|0.070526947|10.31100266|-0.05997501|3|-0.000810928|-0.0881938509999999|-0.148024156|-0.593915758|0|0.787714775|0.833090592|-0.0212158239999999|0.753434785|0.8195154109999999|-0.0804186|-0.104047115|0.411881091|-49.13901703|-63.57699532|11.27469555|0.1804845889999999|-38.84811555|6.889294995|44.34034244|0.702597735|-30.02592687|75.44970552|60.41371259|0.4699986339999999|2632.195388|500.7570617|-953.6549298|-11.89228027|0.297402265|6.152818143999999|11.60906093|0.8867875909999999|181.7248125|-582.7217333|0.019430318|-247.5908207|1357.327077|618.9134881|1.0|0.0|1.0|3.51|0.3|-7.67|6.7|2.0|0.0|115.28|1.0|1.0|7.0|-6.35|28.0|4.0|411.54|0.0|1.0|-4.78|4.44e-07|0.000183|1.6800000000000002e-05|0.0069|3.72|0.0|0.0|3.6281|3.6281|-1920.079174|-1920.049452|1128.98|341.74|0.2911|341.74|0.70205|0.70205|-1919.830424|0.2911|-0.19979|-1919.890628|5539.0|8.2596|8.2596
9s_a24|0.0|0|0|2.9568988810000003|0|6.605297921|1|1|1.4275963180000002|4|-0.050919714|-0.190782186|0.006748865|-0.060407836|10.96129902|0.013901071|1|0.007695726|-0.0897306019999999|-0.359715589|-0.248704391|3|0.799076569|0.773544454|0.030228027|0.748077475|0.8833498320000001|-0.049825449|-0.063587778|0.483170382|-30.93968263|-39.48555839|10.42725806|0.116650168|-24.51900941|6.474925237000001|0.695462853|0.445160769|-19.21235005|61.19761205|41.36694069|0.47085169|2747.809842|548.5261887|-592.2833757999999|-7.505819207999999|0.554839231|9.124394347|17.24354813|0.889829339|344.5337711|-367.7851412|0.03496522|68.10609672|1330.4932|604.8829955|0.0|1.0|1.0|2.78|0.04|-8.11|3.15|1.0|0.0|115.67|0.0|1.0|4.0|-3.36|30.0|4.0|393.44|0.0|0.0|-4.06|0.000434|171.0|8.71e-05|0.0343|2.11|0.0|0.0|3.0726|2.6707|-1271.031372|-1270.994965|1121.42|464.24|0.5112|403.51|0.69475|0.6907300000000001|-1270.738032|0.0839|-0.14462|-1270.796154|7.0312|7.4949|7.4949
5a_a50|0.0|1|1|0.0|2|7.927685046000001|1|1|1.3972442980000002|1|0.017227585|-0.06986407|0.012640587|-0.256097122|10.93256969|-0.130929632|2|0.01228899|0.028229556|-0.168135655|-0.161169418|1|0.699970832|0.788709546|-0.132977171|0.6759066159999999|0.969892876|-0.038932964|-0.065209836|0.2814514|-20.77548565|-34.7974024|5.435098605|0.030107124|-18.56865899|2.900288114|60.04351409|0.66527517|-11.08625592|44.17662122|26.21058426|0.4528093929999999|2246.106104|517.556163|-521.9610361|-6.477439183|0.33472483|5.892775027000001|10.76914508|0.8275167520000001|178.61652859999998|-278.5298849|0.017576522|-176.38892919999998|784.5791628|462.1867149|1.0|0.0|1.0|3.28|0.14|-6.24|3.66|0.0|0.0|101.86|0.0|1.0|2.0|-3.89|25.0|2.0|326.39|1.0|1.0|-4.5|0.000129|42.0|3.14e-05|0.0102|3.46|0.0|0.0|5.6146|4.0159|-1029.930364|-1029.905844|976.41|308.73|0.2735|220.82|0.39948|0.6725399999999999|-1029.734933|0.1156|-0.19146|-1029.786489|5649.0|5.3872|5.3872
