molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|MATS2c|SRW07|ATSC1c|AATSC1are|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|DPSA3|GeomPetitjeanIndex|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|FPSA5|P-gp substrate|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50|pIC50
12bi_a36|1|0|0|3.466222049|0.0|0|7.412764017000001|2|-0.088734077|5.351858133|-0.559678363|0.000482522|10.95958518|1|0.002872872|0.056936052|-0.289604649|1|0.884226781|0.812921349|0.0997949019999999|0.071329141|0.8350231859999999|0.7850011179999999|-0.082914301|-0.107613368|0.034602166|-57.89562053|24.16125901|129.685076|0.214998882|150.12481100000002|-52.46851415|16.87080604|0.0|-1.614200516|-40.42611289999999|82.05687954|0.461975362|-1127.129336|2660.0547690000003|-13.56944331|0.500339677|8.454426643|15.71382803|0.85865094|6572.410403|-787.0277122|0.037590587|1.0|4.97|0.21|17.0|2.83|1.9|1.0|0.0|1.0|7.0|-4.11|33.0|6.0|-7.13|0.0|0.0|1.75|-4.15|0.0342|7.13e-05|0.0315|2.62|0.0|1.6100000000000005e-07|7.11e-05|-0.0510199999999999|3.8855|3.6851|-1461.997992|-1461.966152|742.94|1256.37|336.45|0.4214|0.68181|0.69207|-1461.69263|0.0252|7.0514|-0.2018|0.0318395999999999|-1461.75632|7.8539|7.8539
12al_a36|1|0|0|3.469383582|0.0|0|7.412764017000001|2|-0.06777947|5.351858133|-0.4908576189999999|0.00127667|10.96020817|1|0.003077071|0.172830414|-0.239932418|1|0.8913597320000001|0.8344566859999999|0.125005134|-0.055405405|0.84179881|0.801179217|-0.077842923|-0.105915949|0.026927826|-51.22331485|17.71943397|114.2305891|0.198820783|130.8308989|-45.86257662|11.65999569|0.0|-1.906487074|-33.70669917|68.94274882|0.456856406|-1254.533926|2244.88081|-15.28752554|0.328915355|8.774664332|16.15533063|0.841133748|6049.668466|-825.5263792000001|0.025956027|1.0|4.81|0.17|17.0|2.77|1.89|1.0|0.0|1.0|6.0|-3.95|31.0|5.0|-6.93|0.0|0.0|1.81|-4.07|0.0464|8.499999999999999e-05|35.0|2.65|0.0|2.03e-07|8.340000000000001e-05|-0.04998|3878.0|3.5511|-1347.479819|-1347.445127|702.95|1181.84|349.14|0.4466|0.6945399999999999|0.70417|-1347.196501|0.0095|6.4473|-0.1955599999999999|0.03469224|-1347.257936|7.3188|7.3188
4q_a46|0|0|0|0.0|0.09591943|1|7.832410927000001|1|-0.2520920439999999|5.587248657999999|-0.066250447|0.012173202|10.96363644|1|0.012222698|-0.019471024|-0.187559576|2|0.716317772|0.807871283|-0.15266708|-0.121752717|0.703627625|0.913550004|-0.052170875|-0.070035423|0.014510206|-29.12008262|8.099124333999999|38.31894407|0.086449996|48.25357162|-21.81959712|4.520667361|72.14599138|-1.050531344|-16.25388148|37.21920695|0.487775649|-586.3723734|1491.412605|-6.545879136|0.38044274|6.038093227999999|11.78798551|0.952269544|4992.497361|-327.2939568|0.018430997|1.0|3.95|0.38|17.0|4.09|4.09|0.0|0.0|1.0|4.0|-3.41|26.0|4.0|-6.54|0.0|1.0|3.15|-3.89|135.0|0.000129|0.0449|2.65|0.0|1.14e-07|3.97e-05|-0.03042|4.5296|4.5296|-1108.751283|-1108.729426|606.7333|1043.05|273.72|0.1432|0.69002|0.69002|-1108.511662|0.1432|2.7026|-0.2207199999999999|0.02185677|-1108.566571|6129.0|6129.0
9h_a40|0|0|0|0.0|0.0|1|7.515889085|0|0.014753178|5.4161004020000005|-0.343593366|0.003782277|10.31197223|2|0.003099029|0.270048551|0.08305063|0|0.778613709|0.740778143|-0.160855189|-0.299768519|0.7528137909999999|0.864310149|-0.09201708|-0.095803029|0.012390387|-46.04148264|6.199629554|132.6583116|0.135689851|67.89350333|-23.98506758|3.102034287|0.0|-1.437045429|-23.03722449|52.2411122|0.482124665|-719.0371868|418.2915223|-10.27931468|0.136115065|6.922257828999999|13.366649|0.930966649|4322.734135|-359.7760137|0.011321157|0.0|3.3|0.11|20.0|4.59|4.44|1.0|0.0|1.0|3.0|-5.65|23.0|3.0|-5.06|0.0|1.0|4.06|-5.12|0.000716|7.6e-06|0.00244|4.51|0.0|3.09e-07|9.93e-05|-0.05991|4.2372|3.3675|-1293.174246|-1293.151333|526.38|868.84|368.18|0.3851|0.64952|0.69809|-1293.033723|0.2721|2.1413|-0.20038|0.02291279|-1293.083512|5.4001|5.4001
21b_a23|0|1|1|0.0|0.0|2|7.525639975|0|0.094654108|5.4161004020000005|-0.326506055|0.01055698|10.31321725|2|0.009872313|0.107996329|-0.130528352|2|0.7038407329999999|0.7717839409999999|0.131951284|-0.078097375|0.668547062|0.930728719|-0.0596425779999999|-0.083105261|0.014481931|-41.81114831|10.15224639|41.6766724|0.0692712809999999|48.56114386|-40.84133198|7.117014296|86.65837165|-1.745210489|-29.31080756|51.9633947|0.458461834|-1223.442332|2531.041828|-16.81701905|0.187665282|8.773746105|16.20152864|0.846591917|6919.229053|-857.6679716|0.013439264|1.0|3.59|0.08|26.0|3.92|4.2|2.0|0.0|1.0|5.0|-6.1|33.0|5.0|-6.42|0.0|0.0|3.57|-5.22|0.000361|6.06e-06|0.00273|3.7|0.0|1.43e-08|6.45e-06|-0.08401|4.0023|3.6237|-1761.498874|-1761.4722969999998|735.65|1247.38|342.15|0.2607|0.57848|0.70139|-1761.230923|0.2333|9.5312|-0.23434|0.02657688|-1761.294175|7.0691|7.0691
4m_a46|0|0|0|0.0|0.16407746|1|7.825245291|1|-0.245599013|5.587248657999999|-0.0329557579999999|0.011122528|10.94319657|1|0.010359417|-0.487230027|-0.029022201|1|0.615482006|0.747676221|-0.099662698|0.011235955|0.626578283|0.948973877|-0.067320375|-0.0672468|0.010905551|-35.4774406|5.74716122|6.161736337000001|0.051026123|26.89046601|-18.67596877|3.028720082|35.77391986|-1.008702005|-18.69640205|41.22460182|0.463006576|-531.5800101|1639.260563|-6.225322922999999|0.266763619|5.329061873000001|9.923886653|0.8622201970000001|4750.325312|-280.1395315|0.012232753|1.0|3.59|0.29|17.0|4.25|4.63|1.0|0.0|1.0|2.0|-4.52|25.0|3.0|-5.68|0.0|1.0|3.59|-4.57|0.00981|2.68e-05|0.0088|3.69|0.0|1.31e-07|4.31e-05|-0.04808|6.0419|4.3476|-1031.138426|-1031.109224|558.63|975.72|285.18|0.2465|0.38389|0.68505|-1030.929791|0.1557|3.9226|-0.23116|0.02920209|-1030.980844|5.8901|5.8901
17c_a50|0|1|1|0.0|0.0|2|7.934155233999999|2|-0.212075666|5.82008293|-0.1766179239999999|0.01130519|10.94500663|2|0.012222674|0.034485992|-0.373205592|1|0.762883243|0.774994313|-0.139943634|-0.212611846|0.728169863|0.89719894|-0.051905615|-0.073693343|0.021675174|-35.70979598|14.91199042|133.46240020000002|0.10280106|70.72462009999998|-34.87982686|10.25908547|94.15397246|-1.32648017|-24.567468100000003|50.6217864|0.49503436|-912.5859825|2014.72331|-10.29240792|0.430249571|8.310163601000001|16.45688922|0.98033276|6438.380804|-627.8368834|0.0232952879999999|1.0|4.12|0.35|20.0|3.59|3.53|1.0|0.0|1.0|6.0|-3.8|33.0|5.0|-6.96|0.0|1.0|3.1|-4.43|0.0698|3.75e-05|0.0165|2.86|0.0|1.6100000000000005e-07|7.08e-05|-0.03121|4.2397|4.0432|-1411.187392|-1411.157813|746.5|1289.05|306.65|0.1814|0.63122|0.66213|-1410.838844|0.1801|6.3989|-0.19818|0.02957871|-1410.902767|7.1612|7.1612
1a_a5|0|0|0|0.0|0.0|0|6.605297921|1|-0.271170445|4.59511985|-0.078562954|0.005921049|10.9502215|0|0.00549829|-0.123867037|0.114184614|2|0.8309401009999999|0.7427901179999999|0.11504495|-0.008431181|0.808272639|0.833638233|-0.071887159|-0.075618812|0.008036994|-36.19957997|4.047117885|83.60943679|0.166361767|83.77332129999999|-19.17495143|2.037971304|0.0|-1.134282187|-18.22870183|40.24669785|0.455258786|-571.1804334|902.6910106|-7.015226132|0.274345323|6.199179484|11.38004491|0.835734058|4005.068642|-287.62427139999994|0.016493595|1.0|3.54|0.16|18.0|3.08|1.42|0.0|0.0|1.0|3.0|-2.6|23.0|4.0|-6.58|0.0|1.0|1.75|-3.44|755.0|0.000365|109.0|2.17|0.0|7.13e-08|2.13e-05|-0.1040099999999999|4.6707|2.8332|-951.1394906|-951.110826|531.02|882.1|437.61|0.2109|0.44868|0.54123|-951.178584|0.0126|4.4956|-0.2262699999999999|0.028664612|-951.226623|6.9706|6.9706
12ag_a36|1|0|0|3.408828027|0.0|0|7.412764017000001|2|-0.042092217|5.351858133|-0.436614203|-0.002526241|10.96052849|1|-0.000673716|0.135431487|-0.217394466|1|0.724208473|0.835013502|0.124298337|-0.0861053359999999|0.698414933|0.7468300940000001|-0.082492792|-0.1081585809999999|0.020136392|-52.02834065|12.70005599|85.84609192|0.253169906|159.6746787|-43.02381535|8.009946323|0.0|-1.946854457|-32.81436052|64.72839664|0.481286668|-1227.884327|2305.164626|-15.48857353|0.2411026289999999|7.849377942|15.13240062|0.927847116|5906.879919|-774.4286762999999|0.019328689|1.0|4.72|0.14|17.0|3.13|2.44|1.0|0.0|1.0|5.0|-3.89|30.0|5.0|-6.76|0.0|1.0|2.15|-4.16|0.0515|6.96e-05|0.0278|2.78|0.0|1.4e-07|5.58e-05|-0.05486|3.8893|3.7117|-1332.185403|-1332.151245|658.68|1112.68|334.04|0.4286|0.69204|0.7024699999999999|-1331.9454449999998|0.0191|5.4459|-0.20713|0.03415856|-1332.003616|7.7696|7.7696
2_a1|0|0|0|0.0|0.0|1|7.535296702|1|-0.049975995|5.4161004020000005|-0.175623923|0.001576763|10.9520472|1|0.003205156|-0.237981258|-0.326716897|1|0.571324013|0.795932678|0.079586368|0.1766333219999999|0.5574897879999999|0.808210065|-0.0622285999999999|-0.077270452|0.011282631|-28.32386891|5.135384136|6.281701359|0.191789935|87.29479691|-16.00805425|2.337413146|84.54541681|-0.927245426|-12.89184641|33.45925305|0.39830426|-422.0435297|1378.496713|-5.488475744|0.305595997|5.2823820260000005|8.779158091000001|0.6619695520000001|3920.383175|-192.096651|0.017741989|1.0|2.91|0.18|17.0|4.0|4.12|0.0|0.0|1.0|2.0|-3.06|21.0|3.0|-6.04|0.0|1.0|3.21|-3.78|243.0|0.000167|0.0466|2.76|0.0|6.64e-07|0.000185|-0.02966|4.0877|4.0877|-920.2093796|-920.184721|489.42|807.98|303.31|0.2991|0.7007899999999999|0.7007899999999999|-920.078239|0.2991|3.5853|-0.19826|0.024658671|-920.123726|5.2366|5.2366
