molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|AATSC1s|JGI4|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|nFaHRing|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|DPSA4|FPSA5|DPSA1|Mor01p|CYP2D6 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50
11_a27|0.0|0|2.680511093|0.0|0|7.535296702|2|1.1606177359999998|-0.003527607|0.042533875|-0.344117757|0.004538653|-0.0864111069999999|10.93910312|0|0|0.005111147|-0.1299181459999999|-0.488734846|0.734834532|0.814843016|-0.0357410779999999|-0.043616687|1|-0.079921166|-0.094820973|0.349764196|0.016171515|-42.27430065|-50.15555389|8.553922917000001|143.3238715|124.5410133|-0.034296948|-26.52978026|4.524597532|-1.611956546|-22.36099135|56.8702158|-18.14137056|50.82822357|0.4528656239999999|-852.6444161000001|0.1911041289999999|9.562117063|0.82770457|5186.240841|22.42732497|0.012694323|-326.780942|504.209846|0.0|1.0|1.0|0.35|16.0|-6.09|61.88|3.06|0.0|1.0|-3.68|26.0|0.0|1.0|0.0|2.04|9.45e-05|0.0|0.0|8.2e-07|0.000283|-0.05985|3.3426|4.54|-1122.456105|571.4|370.92|0.6125|0.59222|-1122.190727|0.0793|-0.1022|3.1278|0.0226944|-1122.242519|4.2894|5.0|8301.0
14l_a23|0.0|1|0.0|0.0|2|7.423568444|0|1.1979636809999998|-0.026530366|0.046283951|-0.288615723|0.01269616|-0.060692376|10.313217800000002|2|2|0.01180744|0.07815878|-0.448622017|0.725800261|0.778602826|0.156652778|-0.1010279259999999|1|-0.053549434|-0.078204688|0.215920645|0.018669073|-35.3275485|-51.59307331|12.31633167|40.34135162|51.94117061|-0.0328459689999999|-34.03690099|8.125310915|-1.642298442|-23.306234600000003|61.54673359|-21.66909079|47.64388017|0.492922575|-1083.45454|0.210373806|15.78926563|0.972085426|6444.7098240000005|27.44221375|0.01508774|-382.1434717|666.0036144999999|0.0|1.0|1.0|0.09|26.0|-7.78|105.02|3.24|2.0|1.0|-5.85|31.0|0.0|0.0|0.0|3.78|5.61e-06|0.0|0.0|1.65e-08|7.03e-06|-0.07191|3.6274|3.79|-1669.2363289999998|694.65|341.8|0.67242|0.67242|-1668.983787|0.4239|-0.14639|6.0563|0.01168219|-1669.04569|8.2422|7.0|8.1798
9c_a31|0.0|0|3.410619646|0.0|0|7.765993078999999|1|0.610135804|-0.055520387|0.03482906|-0.6933757159999999|-0.003618466|-0.1047269419999999|10.311698300000002|2|2|-0.000813398|-0.062065125|-0.546598398|0.8083148840000001|0.842823186|-0.000533581|-0.108617754|0|-0.103325018|-0.128097622|0.287455956|0.030296721|-65.84728287|-81.63444414|19.30758668|153.5739377|207.3144829|-0.035867334|-52.02424796|12.30439782|-1.7933667130000002|-41.96335759|97.22026028|-22.85764436|85.15486955|0.4558841429999999|-1142.882218|0.329283294|15.04941978|0.837843885|5658.985169|34.07943198|0.024456662|-217.5897278|583.9691392000001|1.0|1.0|2.0|0.35|16.0|-7.24|117.37|1.08|2.0|1.0|-5.23|28.0|0.0|0.0|1.0|3.32|6.94e-05|0.0|0.0|5.79e-08|2.31e-05|-0.03249|3849.0|4.94|-1618.157698|691.3|322.12|0.7007399999999999|0.7007399999999999|-1617.892493|0.2554|-0.15975|1.3617|0.04177078|-1617.9568470000002|2.2323|0.42|6.3768
12g_a36|0.0|0|3.5202147110000004|0.0|0|7.412764017000001|2|1.2678464|-0.039008054|0.03912037|-0.409214521|0.0042553209999999|0.078155467|10.95259306|1|1|0.005035022|0.130052038|-0.44093902|0.901715152|0.8026482070000001|-0.19532883|-0.088251318|0|-0.069292341|-0.097067302|0.374686587|0.017738779|-47.63457647|-66.72829531|12.19441007|24.29006276|100.2028184|-0.034549379|-45.87193951|8.382969151000001|-2.038413337|-32.74608471|77.14470618|-23.75074918|59.82898654|0.473274545|-1401.294202|0.2202546819999999|13.83075477|0.898522257|6223.658545|30.45962398|0.015152386|-384.6182564|799.5563855|0.0|1.0|2.0|0.24|17.0|-7.38|69.2|2.66|2.0|1.0|-4.95|32.0|0.0|1.0|1.0|2.66|1.39e-05|0.0|0.0|4.2e-08|1.7800000000000002e-05|-0.0505199999999999|5.2092|4.21|-1350.887005|724.32|238.01|0.38165|0.70097|-1350.571683|45.0|-0.15236|5.912000000000001|0.0255597|-1350.633209|7.8537|14.0|7.8539
20_a47|0.0|1|0.0|0.0|1|6.86171134|0|1.408721455|-0.161476442|0.039520202|-0.505699304|-0.009220816|-0.052370531|10.95058273|1|1|-0.006342241|0.087325054|-0.5332051720000001|0.61847122|0.7962508290000001|-0.069674604|0.113432542|1|-0.083811055|-0.092005493|0.213977589|0.023587109|-45.68149289|-50.14789824|12.85623208|43.63174229999999|169.6050003|-0.032859105|-27.33327788|7.00733184|-1.38008239|-24.89884887|69.09296541|-17.90996366|58.53772498|0.4642647929999999|-752.2184736|0.404765791|13.10815891|0.86659377|5896.060936|30.08893541|0.034758191|-103.815441|428.5826478|1.0|1.0|2.0|0.05|21.0|-7.31|84.73|2.75|1.0|1.0|-4.06|28.0|0.0|0.0|1.0|3.09|8.32e-05|0.0|0.0|4.89e-08|1.86e-05|-0.06357|3.9808|4.08|-1335.742176|557.84|311.45|0.68219|0.68219|-1335.566785|0.2807|-0.16377|3.1747|0.03389691|-1335.620783|4.3277|3.0|8.6
11b_a31|0.0|0|3.248213341|0.0|0|7.765993078999999|1|0.610137403|-0.172248605|0.043380952|-0.838727032|-0.014385937|-0.1488994619999999|10.31169957|2|2|-0.010716217|-0.129901143|-0.564706551|0.833717183|0.834596039|0.067031897|-0.074254978|0|-0.143839236|-0.148709304|0.26165445|0.037758271|-80.0942166|-82.80602396|21.02499452|286.7721447|253.1028809|-0.044612791|-46.10900197|11.70737909|-1.784511651|-44.59898223|100.3071755|-24.84180719|101.1192111|0.473305522|-993.6722875|0.330276165|12.96936635|0.8986339170000001|5202.545866|37.09261324|0.0314298879999999|-189.0151528|397.3137532|0.0|1.0|2.0|0.24|16.0|-5.45|125.57|0.79|1.0|2.0|-4.74|25.0|0.0|0.0|1.0|2.69|0.000178|0.0|0.0|3.59e-06|0.00128|-0.03574|3.8437|4.07|-1520.085181|589.56|322.57|0.70073|0.70073|-1519.909742|0.2634|-0.15936|3.2104|0.04215313|-1519.967224|4.7518|0.53|6.2757
12m_a36|0.0|0|3.40403699|0.0|0|7.412764017000001|2|1.297043522|-0.133854569|0.03912037|-0.667165917|-0.006653538|-0.025127218|10.95440733|1|1|-0.004569485|0.245908938|-0.52644768|0.892815402|0.825587924|-0.075712087|-0.064035403|0|-0.10031651|-0.121074678|0.4493096629999999|0.022725561|-67.27772044|-81.19927925|15.24099981|42.78660249|193.174369|-0.04260035|-54.45666327|10.22144534|-2.300418875|-45.120107|96.11918789|-28.57011677|82.51872026|0.465323422|-1542.786306|0.252881876|13.67704354|0.8702895190000001|6434.374756|38.24042793|0.0222467879999999|-331.4617713|689.2886595|0.0|1.0|3.0|0.13|17.0|-6.14|112.29|1.28|1.0|1.0|-4.1|32.0|0.0|0.0|0.0|1.26|0.000159|0.0|0.0|7.19e-07|0.000305|-0.05114|3.8658|3.88|-1401.654499|692.4|320.72|0.69382|0.69382|-1401.385923|0.4718|-0.15879|6.5789|0.03861003|-1401.446557|9.1003|0.03|7.5229
23_a10|0.0|0|0.0|0.0|1|7.535296702|1|1.34383709|0.012558932|0.036666667|-0.17741132|0.010305237|-0.000458688|10.92966139|1|1|0.010662507|-0.0502296329999999|-0.233801237|0.7338945809999999|0.754150918|-0.149057824|-0.043248272|1|-0.049653973|-0.072395864|0.535680357|0.009615852|-35.17017083|-51.27837225|6.81095873|72.17779806|60.05816353|-0.02685653|-36.32074126|4.824237957|-1.6651048819999998|-24.91121732|60.76548004|-19.02262196|41.98112956|0.485561757|-1179.402562|0.238800348|17.02048484|0.943867925|7034.375112000001|24.9903188|0.013394095|-370.018179|930.6293092|1.0|1.0|0.0|0.21|27.0|-9.84|56.07|2.99|2.0|1.0|-5.38|35.0|0.0|0.0|1.0|4.5|2e-06|0.0|0.0|1.44e-10|6.66e-08|-53.0|3.8034|3.9|-1470.1960279999998|768.3|325.98|0.67647|0.67647|-1469.838069|0.2089|-0.15858|3.8115|0.02986448|-1469.902562|4.8954|0.75|6.1249
12n_a36|-3.404662145|0|3.400581499|0.0|0|7.412764017000001|2|0.299253841|-0.350034917|0.0438779959999999|-0.619926573|-0.006862238|-0.035989956|10.31810354|1|1|-0.001160331|0.048110172|-0.5181211520000001|0.8183043390000001|0.81793955|0.162338703|-0.000421339|0|-0.089275906|-0.115872034|0.239018516|0.0211044289999999|-60.42525197|-78.42650015|14.28426215|67.52548352|189.4391835|-0.039955874|-53.08197085|9.668119648|-2.317440678|-40.89805687|92.79755725|-27.04362074|74.70951411|0.454498749|-1568.530003|0.258248547|12.58209967|0.833176363|7657.057548000001|36.45914091|0.021232665|-327.25274110000004|805.2286932|0.0|1.0|3.0|0.17|17.0|-6.87|123.75|0.84|1.0|1.0|-3.85|34.0|0.0|0.0|0.0|1.18|0.0001889999999999|0.0|0.0|1.36e-07|6.45e-05|-0.05056|5.3573|6.24|-1876.201464|714.14|231.43|0.32172|0.7046600000000001|-1875.89723|0.0155|-0.14928|10.8395|0.03261661|-1875.961945|14.3562|15.0|7.8239
14b_a3|0.0|0|0.0|0.0|0|6.823286122000001|0|0.605016869|-0.1160619169999999|0.039799383|-0.356087317|-0.00603969|-0.008040839|10.31162234|1|1|-0.004161699|-0.288944272|-0.575695827|0.882394075|0.7809478329999999|-0.133815639|-0.170297225|1|-0.090994113|-0.100993354|0.379746504|0.012828558|-44.49789848|-49.38772279|6.273415527999999|252.49572540000003|104.4171556|-0.036469822|-24.15156108|3.067822725|-1.312913604|-21.76034149|57.87172082|-17.83445545|50.77131401|0.487615651|-642.0403962|0.233084567|9.738358819|0.951659927|4803.535505|23.25478753|0.017348996|-261.0537205|358.3503513|1.0|1.0|1.0|0.06|21.0|-6.89|105.82|1.04|0.0|1.0|-4.45|23.0|0.0|0.0|1.0|2.82|0.000103|0.0|0.0|1.28e-07|4.08e-05|-0.06676|3.0724|2.22|-1327.514377|524.27|403.54|0.70123|0.70123|-1327.349444|0.2276|-0.12942|2.8743|0.02844675|-1327.398177|3.8724|0.38|6.4202
