molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|JGI4|SaaaC|ATSC1c|AATSC1are|AATSC8d|n5aRing|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|GRAVp|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
9a_a40|0|0|0|0.0|7.515889085|0|0|0.604993021|1.865740741|-0.003680068|5.4161004020000005|0.0397333329999999|0.921628874|-0.136162501|0.01310675|-0.1720337089999999|2|0.016958188|-0.449508498|0|0.624889926|0.690568477|0.61091688|1|0.937600185|-0.060029933|-0.072887601|0.002467659|-29.02567082|5.334966331|109.9916614|0.062399815|30.17155594|-17.0405052|2.579562688|51.49564873|-1.093314022|-14.03449109|-15.54821024|1971.148912|-528.6391483|0.131523409|13.33684703|0.976056482|3991.317015|608.6970611|323.79254|4.213574358|1.0|1.0|0.0|1.0|0.0|3.28|0.06|20.0|-6.4|4.43|58.43|0.0|0.0|1.0|2.0|-5.49|2.0|0.0|1.0|-5.08|3.24e-06|0.000944|8.33e-06|4.54|0.0|4.02e-07|0.000117|-0.06495|4.7066|4.07|-1217.955997|-1217.9449|515.96|847.69|373.53|0.4746|263.42|411.01|0.47831|0.69958|-1217.825264|-0.13808|3.8656|-0.20303|5.09|214.0|6.6696
1k_a5|1|0|0|0.0|6.605297921|0|0|1.427567903|0.0|-0.0030192829999999|4.59511985|0.026339869|0.0|-0.120771321|0.003886035|-0.011848312|1|0.045204303|-0.254495542|2|0.567806811|0.7824502320000001|0.558485747|0|0.7836926809999999|-0.078995018|-0.074297856|0.425724957|-40.40908188|5.571869083999999|165.11680719999998|0.216307319|110.6497654|-19.44172742|2.850231839|0.498979532|-1.114467843|-20.67084672|-15.40795854|2171.394196|-570.0944662|0.275045542|12.9461019|0.929220303|4479.484358|786.3865923|357.34245360000006|9.83146028|1.0|0.0|1.0|1.0|1.0|2.02|0.0|23.0|-8.3|4.76|54.46|0.0|0.0|1.0|3.0|-3.97|4.0|0.0|1.0|-4.3|0.000106|0.0336|4.970000000000001e-05|3.16|0.0|4.99e-09|1.58e-06|-0.04516|4.7221|3.1|-1050.548505|-1050.51717|533.8|890.76|281.38|0.6242|262.56|398.63|0.53086|0.5282|-1050.418953|-0.1798799999999999|1.5911|-0.22504|2.3036|48.0|7.3188
7g_a8|1|0|0|0.0|7.535296702|1|1|1.39137419|1.336155045|-0.01002363|5.4161004020000005|0.0448526079999999|0.0|-0.481134236|-0.00087806|-0.027717137|1|0.046246982|-0.418049442|0|0.627990269|0.7363841520000001|0.606087461|0|0.699376143|-0.107714754|-0.1122315669999999|0.306360885|-64.55562181|19.08352484|144.290464|0.300623857|180.1699331|-40.31185423|11.43714084|56.75323443|-2.020168201|-38.68948451|-27.51653399|2802.2242920000003|-1210.7274960000002|0.193261535|14.3346384|0.8889952590000001|6293.364606|1500.768277|509.2753308|11.15541466|1.0|1.0|1.0|0.0|1.0|3.32|0.04|23.0|-7.91|4.66|80.04|0.0|0.0|1.0|3.0|-5.78|5.0|0.0|1.0|-5.44|1.67e-06|0.000667|3.59e-06|4.38|0.0|1.23e-08|4.92e-06|-0.06621|3.7874|6.26|-1374.493069|-1374.4533210000002|620.67|1053.9|327.36|0.5165|327.36|507.78|0.62073|0.62073|-1374.291597|-0.15508|10.1546|-0.22129|12.9547|21.03|4.6772
14b_a23|0|1|1|0.0|7.423568444|0|0|1.197963628|3.2475997860000003|-0.006248709|5.351858133|0.043538647|0.716540473|-0.318684138|0.007671236|-0.047410593|2|-0.17267308|-0.4557487779999999|2|0.616699629|0.793551289|0.5935522360000001|1|0.8462596590000001|-0.063267638|-0.082441268|0.228282196|-41.01458464|13.26014776|40.76245006|0.153740341|99.66542762|-34.64639496|8.596171261|84.36242964|-1.64882535|-26.58857202|-22.74225338|2943.803333|-1068.885909|0.225640295|14.26820636|0.821406493|6622.129837|1380.34805|599.5697147999999|11.53563485|0.0|1.0|1.0|1.0|1.0|3.44|0.05|26.0|-7.67|4.58|105.02|1.0|0.0|1.0|5.0|-5.58|5.0|0.0|0.0|-5.11|2.66e-06|0.00114|7.73e-06|3.68|0.0|2.14e-08|9.18e-06|-0.07803|3706.0|3.72|-1729.161608|-1729.139722|673.05|1142.37|334.55|0.3603|334.55|525.66|0.58097|0.58097|-1728.9300010000002|-0.15064|6.8752|-0.2286699999999999|9.7544|4.0|8.3536
15a_a22|0|0|0|0.0|6.842683282|0|0|1.4229176680000002|1.646649187|-0.0050042229999999|4.727387819|0.038167849|1.614660505|-0.280236463|0.005288335|-0.015194063|1|-0.165471815|-0.360663314|2|0.6819423609999999|0.7392451729999999|0.655865336|1|0.86664032|-0.061755825|-0.081705465|0.410151945|-41.92018177|14.43653926|96.58317516|0.13335968|90.52525878|-37.6479704|9.799599501|65.53409434|-1.634109304|-28.45564196|-21.33157831|2884.815511|-1109.242072|0.297264929|14.6895113|0.800725296|6322.278103000001|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|1.0|1.0|2.86|0.08|27.0|-9.21|4.31|85.59|0.0|0.0|1.0|6.0|-4.65|5.0|0.0|1.0|-4.68|2.25e-05|0.00945|2.1e-05|3.18|0.0|6.1e-10|2.56e-07|-0.0600399999999999|5.0577|4.98|-1368.35331|-1368.321775|696.57|1189.31|339.72|312.0|245.14|541.27|0.41078|0.69076|-1368.0755869999998|-0.15281|5.2588|-0.21285|6.8666|143.0|6.8447
17_a12|0|0|0|0.0|6.823286122000001|1|1|0.610029543|0.0|-0.00864055|4.727387819|0.035816993|0.0|-0.38018419|-0.002523977|-0.070249784|1|-0.202276514|-0.559137213|2|0.918713011|0.8198617429999999|0.859088647|0|0.858119365|-0.069570363|-0.096209886|0.318309599|-36.25249721|5.849860887999999|69.36398419|0.141880635|73.93273708|-26.12444199|3.048310481|0.0|-1.443148294|-18.89085387|-18.34174978|2246.161353|-752.0117408|0.213298781|10.61752641|0.8728564259999999|4866.339908|955.9051425|431.5987143|7.842053909|1.0|1.0|0.0|1.0|1.0|2.97|0.17|17.0|-7.16|2.56|78.41|0.0|0.0|1.0|3.0|-4.51|4.0|0.0|1.0|-4.24|3.1e-05|0.0103|5.7100000000000006e-05|3.19|0.0|6.97e-08|2.32e-05|-0.06322|4.4014|2.87|-1366.804178|-1366.776169|560.09|933.62|328.67|0.2213|281.69|419.49|0.39539|0.62783|-1366.638303|-0.15459|2128.0|-0.21781|2.9806|16.0|7.7959
1i_a5|1|0|0|-4.358943904|6.605297921|0|0|1.219028472|0.0|-0.006494891|4.59511985|0.0253888889999999|0.0|-0.279280326|-0.0012491689999999|-0.003198529|1|0.004923698|-0.403861432|2|0.525406088|0.780175595|0.513260607|0|0.8876055620000001|-0.091178745|-0.084018635|0.4729402929999999|-50.81756452|4.621144795|201.1526326|0.112394438|62.64191946|-26.09853285|2.575548983|0.213644964|-1.428316788|-28.32266298|-19.90145306|2482.831286|-796.0581225|0.240540403|13.79450888|0.8858245220000001|5432.586961|1048.190221|403.396385|10.96226516|1.0|0.0|1.0|1.0|1.0|2.04|0.05|23.0|-8.88|6.37|54.46|0.0|0.0|1.0|4.0|-4.79|6.0|1.0|1.0|-4.97|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|3.95|0.0|1.3300000000000002e-09|4.86e-07|-0.05729|4.7243|3.58|-1288.356212|-1288.322373|569.42|957.58|283.08|0.7585|262.44|443.05|0.4571199999999999|0.50107|-1288.210207|-0.17945|2.6336|-0.23674|2.8939|24.0|7.6198
6a_a31|1|0|0|0.0|7.703007682000001|1|1|0.610184884|0.0|-0.01694403|5.6869753560000005|0.0357275129999999|0.0|-0.779425376|-0.013930701|-0.026103465|2|0.001117583|-0.568500407|0|0.848282918|0.784022685|0.803505125|0|0.57216168|-0.132158278|-0.126430958|0.259133072|-77.60012959|20.08876284|157.9971748|0.42783832|251.216265|-43.59027182|11.79563339|98.49408082|-1.896464366|-45.56491046|-26.51328079|2713.694431|-1113.557793|0.307253701|14.408653400000002|0.916923952|5908.282843|1607.453976|479.200937|18.29245122|1.0|1.0|1.0|1.0|2.0|2.51|0.05|22.0|-6.96|3.69|131.36|0.0|0.0|1.0|4.0|-5.22|5.0|0.0|1.0|-4.34|6.09e-06|0.00238|4.55e-05|2.8|0.0|1.11e-07|4.3200000000000007e-05|-0.05563|3.5428|4.03|-1613.34153|-1613.295461|607.79|1028.95|349.96|0.6404|349.96|447.66|0.70416|0.70416|-1613.1416|-0.1428|7.7514|-0.19843|11.2387|1.1|5.9586
8f_a8|1|0|0|0.0|7.05012252|0|0|1.394802091|1.241306689|-0.01032134|4.844187086|0.043758865|0.0|-0.485102985|-0.007796225|0.007079485|1|0.254819201|-0.5373378529999999|0|0.578166105|0.6971223040000001|0.56916135|0|0.5968139689999999|-0.122135295|-0.1064257719999999|0.308621017|-71.22071405|7.91086576|317.0847898|0.403186031|235.1097364|-36.18904175|4.613060521|67.99102163|-2.128515439|-41.53091131|-28.20910228|2622.044457|-1241.2005|0.09422952|13.81994609|0.8416059290000001|5948.547713|1370.325626|485.8626377000001|5.380213594|0.0|0.0|0.0|0.0|2.0|2.85|0.0|23.0|-7.95|4.72|80.88|0.0|0.0|1.0|4.0|-5.21|4.0|0.0|0.0|-5.0|6.11e-06|0.0023899999999999|1.01e-05|3.82|0.0|1.13e-08|4.43e-06|-0.0675299999999999|4.7027|7.71|-1361.658484|-1361.626748|602.63|1022.89|355.5|0.3188|263.65|477.92|0.55661|0.69925|-1361.455053|-0.14532|5.8283|-0.21285|7.8014|22.76|4.6428
19c_a38|1|0|0|0.0|7.412764017000001|2|2|1.297043851|0.0|-0.008177185|5.351858133|0.04508642|0.0|-0.449745181|-0.004442319|-0.0431896509999999|1|-0.20848518|-0.434836855|1|0.7163622890000001|0.846765471|0.6885713729999999|0|0.7591916240000001|-0.0918007669999999|-0.108301657|0.396635872|-57.79749770000001|15.30924906|139.1570837|0.240808376|151.612258|-42.92996714|9.638658988|4.848162625|-1.949429829|-36.38913762|-24.06579196|2967.98627|-1227.35539|0.281292809|13.36189552|0.914989047|6618.350708|1707.726604|640.025745|14.55670345|1.0|1.0|1.0|1.0|3.0|3.0|0.13|17.0|-6.92|2.42|105.02|0.0|0.0|1.0|5.0|-4.35|5.0|0.0|0.0|-4.12|4.46e-05|19.0|7.55e-05|2.5|0.0|1.2099999999999998e-07|5.14e-05|-0.05691|5.8832|3.23|-1424.42734|-1424.3899310000002|652.09|1138.6|323.53|0.2961|210.74|517.28|0.2597|0.6279899999999999|-1424.1880119999998|-0.15612|2495.0|-0.21303|3.2846|9.0|8.0348
