molecula|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|JGI4|MATS7i|SaaaC|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|RASA|FNSA3|FNSA5|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA2|WNSA3|DPSA5|DPSA3|TASA|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
1l_a5|0|0|2.964063799|0|6.605297921|0|0|1.270375394|0.0|-0.244609612|-0.0052651969999999|0.025672515|-0.111303801|0.0|1|0.007613233|-0.179824092|0.0271820189999999|-0.21108114|0.7245669790000001|0.7656671279999999|-0.174469948|-0.091849662|0.890289002|-0.068685233|-0.067755283|-38.79937717|4.43679678|167.86839980000002|0.109710998|-0.026512937|-21.62050954|0.0|-1.219595099|-21.91725365|45.64819758|43.23617395|502.9124512|7.401206343999999|14.03493287|0.896303416|4665.793689|130.25942849999998|19.46541135|0.013054186|895.4089219|518.5792364|7.374136537999999|1.0|1.0|1.0|2.98|2.67|0.14|23.0|-8.83|54.46|0.0|0.0|1.0|4.0|26.0|-5.4|340.42|1.0|4.06|-4.98|9.06e-06|0.00356|0.0|1.4800000000000003e-09|5.02e-07|-0.04149|4.6403|3.89|4.3664|-1069.261615|-1069.229786|609.85|1033.47|283.95|0.4921|486.81|0.45892|0.57392|-0.1779|2.1987|-0.21939|0.03182983|32.0|7.4949|7.4949
3f_a32|1|1|3.553167045|0|7.773594467000001|0|0|0.6094207770000001|0.0|0.0067550119999999|-0.0434359079999999|0.042380952|-0.062954205|2.227330929|3|0.002565215|-0.112493266|-0.074808287|-0.5487283829999999|0.833981748|0.820782305|-0.110248899|-0.1743238839999999|0.874026684|-0.073433055|-0.097374443|-41.40131823|6.707989266|47.97543149|0.125973316|-0.030139709|-30.95210106|0.0|-1.265867765|-23.34192893|61.47296003|48.1093075|492.7734095|6.153728636|10.89495051|0.770463268|4993.667711|118.8493262|21.53155987|0.011659458|904.3255145|475.3634141|6.573564628|1.0|1.0|1.0|3.9|3.31|0.28|19.0|-7.31|110.94|0.0|0.0|1.0|4.0|24.0|-5.03|354.49|1.0|4.63|-5.4|1.28e-07|0.0014|0.0|4.89e-08|1.73e-05|-0.05315|3.5569|3.92|3.5569|-1712.0610190000002|-1712.034952|604.9|1006.92|348.58|293.0|488.74|0.70255|0.70255|-0.1474599999999999|3.4678|-0.2006099999999999|0.02606687|9.0|8.0458|8.0458
11_a4|0|0|0.0|1|7.535296702|1|1|0.626711769|2.159635561|-0.20567828|0.032861655|0.03617284|-0.017835936|2.216390726|1|0.010782511|-0.030003079|-0.0278843589999999|-0.145254541|0.6575743310000001|0.820318166|-0.163623353|-0.007574475|0.930113409|-0.054262142|-0.06530408|-31.35942689|5.395547437|12.88007087|0.069886591|-0.023620625|-21.81135655|59.55648883|-1.110169356|-18.12338426|44.63993001|36.75497433|537.5354202000001|6.850305797000001|13.18281017|0.924411925|5425.1341090000005|140.96082869999998|18.0546182|0.011937709|848.5670554999999|575.2252237|6.89909579|1.0|1.0|1.0|3.31|3.49|0.23|21.0|-8.05|68.9|0.0|0.0|1.0|4.0|27.0|-5.74|372.49|1.0|4.16|-4.97|7.27e-06|0.00395|0.0|8.89e-09|3.31e-06|-0.05582|4907.0|3.2|3.78|-1467.463842|-1467.440475|630.04|1071.03|328.0|151.0|479.99|0.4444|0.65942|-0.15885|4187.0|-0.2146699999999999|0.02336674|0.11|6.9586|6.9586
17_a47|1|1|3.011740664|0|6.605297921|0|0|1.4168589319999998|0.0|-0.181485377|-0.019259259|0.031802469|-0.105849578|1.699575434|1|0.004477366|-0.180898239|-0.0184347939999999|-0.3004189439999999|0.8007970640000001|0.75807704|-0.034891905|-0.010871607|0.852282407|-0.07185129|-0.082994667|-43.82821253|7.87914003|68.64478326|0.147717593|-0.02987808|-30.88080199|0.0|-1.493904005|-26.73455447|60.33408274|51.70735256|519.8795281|7.055517075|13.10144249|0.8569074879999999|5854.9736840000005|155.087622|24.43867122|0.0159160889999999|1221.9335609999998|630.8611986000001|9.708576558|1.0|1.0|1.0|3.44|2.39|0.08|27.0|-10.1|79.38|0.0|0.0|0.0|4.0|30.0|-5.83|392.46|1.0|3.85|-5.21|3.98e-06|0.0024|0.0|7.96e-11|3.12e-08|-0.04873|4.2784|3.07|4.2784|-1254.985125|-1254.943823|656.78|1127.7|289.79|0.4308|477.67|0.6844100000000001|0.6844100000000001|-0.17606|3.4454|-0.22479|0.04130125|5.0|8.3|8.3
8c_a32|1|1|3.46252244|0|7.765993078999999|0|0|0.609420757|0.0|0.080016722|-0.04699673|0.036711712|-0.026467635|2.143746338|3|-0.001662219|-0.047650724|-0.0852122769999999|-0.578242111|0.788133615|0.845443342|-0.024032462|-0.11492754|0.801747512|-0.076876481|-0.097480366|-46.47597924|9.818219446|126.6561213|0.198252488|-0.027548799|-35.6276568|78.19443734|-1.267244762|-28.09723623|74.36515033|56.29419869|484.6996147|7.079719717000001|12.81496717|0.8100952690000001|5773.240734|241.4075262|27.72624296|0.025527931|1275.407176|557.1050635|15.43301109|1.0|1.0|1.0|3.46|2.82|0.26|19.0|-7.65|140.04|0.0|1.0|1.0|7.0|27.0|-6.45|397.52|1.0|3.56|-4.39|1.5e-06|0.0164|0.0|2.23e-08|8.86e-06|-0.04161|3.5673|4.28|3.5673|-1880.764533|-1880.733377|646.97|1090.0|347.56|0.3272|516.78|0.70135|0.70135|-0.14712|8.4922|-0.18873|0.03115673|37.0|7.4318|7.4318
8f_a8|0|0|2.939511291|1|7.05012252|0|0|1.394802091|1.241306689|0.024051247|-0.249095464|0.043758865|0.0587545909999999|0.0|1|-0.007036544|0.152294451|0.09830823|-0.5373378529999999|0.578166105|0.6971223040000001|-0.016217844|0.010682683|0.5968139689999999|-0.122135295|-0.1064257719999999|-71.22071405|7.91086576|317.0847898|0.403186031|-0.048375351|-36.18904175|67.99102163|-2.128515439|-41.53091131|67.4402386|79.13157981|348.0199311|7.504290616|13.81994609|0.8416059290000001|5948.547713|54.94802877|31.14376424|0.009226445|1370.325626|485.8626377000001|5.380213594|0.0|0.0|0.0|3.14|2.85|0.0|23.0|-7.95|80.88|0.0|0.0|1.0|4.0|29.0|-5.98|391.37|0.0|4.04|-5.0|6.11e-06|0.00395|0.0|1.13e-08|4.43e-06|-0.0675299999999999|4.7027|7.71|3.4876|-1361.658484|-1361.626748|602.63|1022.89|355.5|0.3188|477.92|0.55661|0.69925|-0.14532|5.8283|-0.21285|0.03173623|22.76|4.6428|4.6428
21_a12|0|0|0.0|0|6.605297921|1|1|0.609915045|0.0|0.04375233|-0.058516436|0.037992832|-0.213225401|0.0|1|-0.001825446|-0.388196876|-0.116098308|-0.522951134|0.923855679|0.835359152|-0.061915124|-0.099516604|0.84827776|-0.068775342|-0.100098765|-34.60932333|6.154473157000001|75.46830038|0.15172224|-0.036878492|-25.34833425|0.0|-1.401382713|-17.416202300000002|59.10840872|40.76379649|426.8727514|5.891343219|11.18947411|0.8993077970000001|4652.242111|115.3294396|24.07584081|0.017360942|914.8819508|380.2468615|8.736422872|1.0|0.0|1.0|4.05|2.81|0.12|17.0|-6.78|78.41|0.0|0.0|1.0|3.0|23.0|-6.45|319.38|1.0|2.68|-3.76|0.00015|0.0551|0.0|1.67e-07|5.3200000000000006e-05|-0.0546899999999999|4.6851|2.56|3.9971|-1327.479547|-1327.451966|539.67|893.17|310.18|0.3665|397.31|0.59386|0.57644|-0.16784|2327.0|-0.22253|0.02758166|22.0|7.6576|7.6576
12f_a40|0|0|0.0|1|7.515889085|0|0|0.604990261|1.768354671|-0.03356339|-0.015621373|0.040501792|0.070099257|0.807254372|2|0.006841832|0.115814835|-0.033224348|-0.397377446|0.679527138|0.777316288|-0.160218113|-0.271493213|0.909993912|-0.067004323|-0.082198664|-37.02024147|11.90644165|62.72992556|0.090006088|-0.032879466|-25.09213464|61.55859085|-1.150781297|-20.45387851|56.53158029|48.92668311|502.7764322|8.404802652999999|16.49362536|0.962404834|5326.217734000001|148.3785764|24.83590915|0.0201199619999999|869.2568204|384.1423925|11.1163852|0.0|0.0|0.0|3.24|3.61|0.06|20.0|-7.32|67.66|0.0|0.0|1.0|3.0|24.0|-4.76|376.26|1.0|4.76|-5.99|2.66e-07|0.0003819999999999|0.0|4.81e-08|1.8100000000000003e-05|-0.07761|4.3313|4.77|2.8374|-2212.359379|-2212.348599|572.63|951.55|436.97|0.4348|487.85|0.6679999999999999|0.7029|-0.11765|3.2818|-0.19526|0.01077929|0.38|6.4202|6.4202
4h_a46|0|0|0.0|1|7.825245291|1|1|0.3002050539999999|2.134072222|0.128214845|-0.346835467|0.040890805|-0.057256598|0.0|1|0.003087227|-0.0932537609999999|-0.030014575|-0.516344924|0.739180305|0.7543177040000001|0.075704004|-0.134568896|0.767244275|-0.083155747|-0.083997524|-65.24476749|7.900037181|105.2773797|0.232755725|-0.0305445539999999|-51.70985599|19.09455432|-2.015940586|-51.19164773|74.99848132|73.14480467|601.9869510999999|8.138240742999999|15.85230406|0.947878486|7808.347937|152.6017078|29.75215152|0.011589523|1963642.0|1021.999374|9.093247153|0.0|1.0|1.0|4.63|2.99|0.3|23.0|-9.2|124.17|0.0|0.0|1.0|6.0|36.0|-6.38|502.63|0.0|3.82|-5.69|2.97e-07|0.00104|0.0|6.38e-10|3.210000000000001e-07|-0.0389199999999999|4.2444|8.5|4.18|-1923.926093|-1923.878801|792.61|1397.46|296.62|0.5451|682.14|0.55428|0.54445|-0.1711599999999999|1.7601|-0.21008|0.04729184|229.0|6.6402|6.6402
17g_a50|1|1|0.0|2|7.934155233999999|2|2|1.320916184|4.377239517|-0.185924266|0.052557574|0.029160757|-0.05611228|2.236579664|2|0.01245647|-0.090386911|-0.200725906|-0.213708251|0.754575205|0.738521694|-0.10642733|-0.2126789369999999|0.920663175|-0.048170917|-0.0706879109999999|-32.14758511|9.710172008|10.60268439|0.079336825|-0.025918901|-31.48270383|85.51402581|-1.555134042|-21.45417373|56.28102287|41.85775712|614.4183967|8.130878433|15.28352231|0.879688945|6102.424958|166.8756987|23.06474408|0.013645282|1383.884645|829.3813984|9.106383854|1.0|1.0|1.0|4.04|3.66|0.35|20.0|-6.96|51.77|0.0|0.0|1.0|6.0|32.0|-6.28|424.54|0.0|3.63|-4.86|3.4899999999999995e-05|0.0059|0.0|1.1e-07|4.6500000000000005e-05|-0.0323|4.0458|3.22|4.0458|-1335.976491|-1335.946919|725.92|1259.05|306.45|0.1795|559.45|0.6623600000000001|0.6623600000000001|-0.16699|7.0584|-0.19929|0.02957267|246.0|6.6091|6.6091
