molecula|SddssS|NaaNH|SaaNH|SssssC|SRW09|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8d|GATS1pe|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|PNSA2|GeomRadius|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Leadlikeness|Brenk|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Molecular Mass|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
4_a18 (SD-208)|0.0|0|0.0|0.0|0.0|1.304335262|0.0|0.055002235|0.0|-0.113324634|3|0.040864198|-0.020226647|0.0|-0.498304229|-0.018723101|10.95382003|0|-0.015153358|-0.15379315|-0.3630339729999999|-0.564165402|1|0.773173718|-0.098971722|0.721664823|-0.077885485|-0.099573708|0.115284206|0.0211761979999999|-51.27494074|10.90456851|103.6318511|-0.034985357|-26.40375252|5.615248385|0.602029021|-1.2944582059999998|-20.652731600000003|69.63488061|-18.01551972|51.01127638|-666.5742296|6.239898178|0.831728055|204.9329964|-343.2487827|29.9246699|0.035654206|1107.212786|1.0|1.0|1.0|2.77|0.0|22.0|-8.15|3.54|1.0|0.0|0.0|3.0|-4.29|352.75|0.0|3.11|5.12e-05|4.14e-05|0.0146|3.02|0.0|7.06e-09|2.49e-06|5.1755|3.2777|-1542.296276|895.83|0.2761|239.56|396.17|0.69028|-1542.15786|0.2316|-0.13588|3.4629|-0.2358|5.2085|0.08|7.0969|7.0969
8e_a12|0.0|0|0.0|0.0|6.803505258|1.283834633|1.873617728|0.050021617|4.727387819|-0.049397555|2|0.037430556|0.0661362779999999|2.197856963|-0.330207456|0.005196034|10.94458094|1|0.005744805|-0.079913108|-0.136145064|-0.448676455|1|0.83954453|-0.051240735|0.797199175|-0.05202522|-0.087795345|0.001151979|0.0155147339999999|-50.273571200000006|8.884082475|51.38557748|-0.031094185|-28.78776717|5.0872236|0.7112578709999999|-1.492520871|-17.05887601|61.4656313|-17.80522313|38.67488258|-854.6507103|6.446557205|0.830990262|165.34017769999997|-489.392042|25.03342862|0.019545275|1201.604574|1.0|1.0|1.0|4.11|0.14|21.0|-7.93|3.34|2.0|0.0|0.0|3.0|-4.37|366.42|0.0|3.12|4.25e-05|2.03e-05|0.00744|3.53|0.0|1.19e-08|4.34e-06|5.247999999999999|3.3044|-1177.619013|1048.44|0.2341|236.25|481.04|0.6954899999999999|-1177.380602|0.2252|-0.13599|1.0295|-0.19338|1.9327|588.0|6.2306|6.2306
12n_a30|0.0|0|0.0|0.0|7.412764017000001|0.604984682|0.0|0.0304762079999999|5.351858133|-0.064217094|2|0.040899471|-0.1144447669999999|0.0|-0.387485343|0.001139238|10.31162898|1|0.002064369|-0.0541804029999999|-0.120380857|-0.464204099|1|0.669561738|-0.149451598|0.64876559|-0.083120674|-0.10528124|0.390449649|0.017064818|-66.48079820000001|10.77573511|85.87072848|-0.038674741|-41.97990569|6.804436105|0.799403208|-1.895062322|-33.14358793|76.16725916|-24.42151771|63.2630417|-1196.654368|7.385790169|0.887350282|126.6686716|-755.6383024|30.54968688|0.0153398069999999|1496.934657|0.0|0.0|1.0|4.66|0.14|17.0|-6.9|4.25|2.0|0.0|0.0|5.0|-5.39|416.47|0.0|2.92|4.12e-06|9.71e-06|0.00405|3.97|0.0|1.26e-07|5.260000000000001e-05|5.1999|3.4859|-1675.011418|1131.65|0.1826|238.43|506.94|0.6854|-1674.777231|0.1489|-148.0|5.3143|-0.19876|6.32|0.01|7983.0|7983.0
3c_a49|0.0|0|0.0|0.0|7.535296702|1.343850149|2.108416128|0.034009672|5.4161004020000005|-0.016347266|2|0.036335697|-0.04696024|1.879769411|-0.248722888|0.006218639|10.92976555|1|0.006470561|-0.0612829229999999|-0.101919761|-0.384874446|2|0.666785606|0.0211518929999999|0.64702083|-0.071786669|-0.074135885|0.501887054|0.0148240689999999|-42.3959176|8.477406111|89.34479838|-0.0252377479999999|-24.24485565|4.8479546860000005|0.637222556|-1.186174159|-23.47658531|54.85343388|-14.4326528|49.52988301|-678.3346816000001|6.567311051|0.919925763|207.4607002|-387.9176903|22.64931248|0.021783913|1064.517686|1.0|1.0|1.0|3.18|0.18|21.0|-7.54|3.63|1.0|0.0|0.0|4.0|-3.45|369.42|0.0|2.86|0.0003509999999999|0.000137|0.0505|2.29|0.0|2.89e-08|1.07e-05|5.1584|3842.0|-1198.668772|1046.53|0.4321|240.36|456.22|0.6692100000000001|-1198.430306|0.0729|-0.15853|3.6122|-0.21913|3.7789|87.0|7.0605|7.0605
11c_a31|0.0|1|3.336985072|0.0|7.765993078999999|0.6101368770000001|0.0|0.069254998|5.733341277|-0.141329185|0|0.037731481|-0.031640011|0.0|-0.847114804|-0.011679927|10.31169916|2|-0.008375297|-0.0992097109999999|-0.16065803|-0.572548808|0|0.825336018|-0.139933586|0.787929678|-0.138002689|-0.14043574|0.3608415239999999|0.034256743|-82.24513417|20.06220362|264.7428792|-0.042457317|-48.16624372|11.74927853|0.676089232|-1.825664624|-47.33176279|99.31985763|-24.864808|100.8824395|-1069.186744|7.259183801|0.922968238|189.6959033|-626.1611682999999|36.77740577|0.029155542|1581.428448|0.0|1.0|2.0|3.51|0.28|16.0|-5.84|5.04|1.0|0.0|0.0|6.0|-5.11|371.41|0.0|3.04|7.68e-06|0.000105|39.0|2.82|0.0|1.45e-06|0.000537|3.8551|3.8551|-1559.3980869999998|1022.77|0.2627|321.61|512.9|0.7005899999999999|-1559.194237|0.2627|-0.15994|5289.0|-0.19526|7.5091|0.13|6.8861|6.8861
18a_a22|0.0|0|0.0|0.0|6.842683282|1.194229718|1.854982521|-0.197348157|4.727387819|-0.018344659|2|0.038167849|0.033735832|1.6891461019999998|-0.19538364|0.007066388|10.31286146|1|0.007079018|-0.0835538409999999|-0.147724859|-0.296897301|2|0.760537197|-0.027029438|0.722009212|-0.050645213|-0.076119803|0.573315195|0.01713283|-51.6464295|11.62443251|29.59800426|-0.029276847|-35.04152115|7.887046626|0.710467198|-1.5223960559999998|-23.31437056|64.80092090000001|-19.86401135|45.98663929|-1032.92859|7.037677899|0.950859191|196.4447473|-700.830423|27.95908297|0.0193879289999999|1453.872315|1.0|1.0|1.0|3.49|0.08|27.0|-9.4|5.32|2.0|1.0|0.0|6.0|-5.59|436.53|0.0|3.9|2.59e-06|6.98e-06|0.00305|3.78|0.0|3.95e-10|1.73e-07|5.0214|3.4832|-1691.3151059999998|1211.84|0.3174|246.91|531.16|0.68577|-1691.036502|0.0354|-0.1408|3851.0|-0.21148|5.3946|13.0|7.8861|7.8861
6_a27|0.0|1|2.6137160880000003|0.0|6.823286122000001|1.404458667|1.7996617540000002|0.1718757239999999|4.727387819|-0.072298665|2|0.042942943|-0.237047381|1.221528093|-0.330715016|0.00526746|10.93737136|1|0.0058042269999999|-0.1044763|-0.179319226|-0.541168953|2|0.678057835|0.1272522519999999|0.650575651|-0.0786267609999999|-0.090025109|0.344065059|0.020552125|-44.56839492|10.17466399|125.8234721|-0.034625042|-22.06430895|5.03713293|0.774820398|-1.35037664|-19.27068071|52.66373343|-17.14169035|49.10012093|-668.5259238|5.010042219|0.896201262|111.4788253|-330.96463430000006|22.12343713|0.01635203|862.8140479|0.0|0.0|1.0|3.0|0.11|21.0|-6.67|3.48|0.0|0.0|0.0|2.0|-3.62|317.34|0.0|2.71|0.000242|0.000153|0.0485|2.37|0.0|2.16e-07|6.86e-05|5.5447|4.1391|-1043.831559|896.68|0.1915|223.61|401.49|0.61083|-1043.678244|163.0|-0.17007|2.7521|-218.0|4.0597|1.0|9.0|9.0
16b_a23|0.0|0|0.0|0.0|7.423568444|1.197960988|3.418247774|0.031073244|5.351858133|-0.013240238|3|0.037664609|0.054655144|0.754232958|-0.3237716519999999|0.0116350769999999|10.31321583|2|0.011266252|-0.123524943|-0.224300431|-0.401493392|2|0.75524548|-0.09063701|0.711576167|-0.050637391|-0.07920267|0.2256448969999999|0.018614978|-58.69232154|13.79443768|7.971529518|-0.031407956|-43.49333918|10.22222569|0.738977|-1.821661419|-27.80700713|72.31582904|-23.2745413|51.31875369|-1349.923395|9.472884487|0.949345397|193.4284005|-1000.346801|31.49562341|0.018384316|1826.746158|0.0|0.0|1.0|4.19|0.07|26.0|-7.33|3.02|2.0|1.0|0.0|6.0|-6.19|489.57|0.0|2.9|6.41e-07|2.16e-06|0.00106|4.21|0.0|4.6200000000000003e-08|2.26e-05|1.6041|1.6041|-1877.655481|1340.35|0.3456|772.92|607.92|0.95419|-1877.270284|0.3456|-0.13741|9.2317|-0.21093|14.8849|96.0|7.0191|7.0191
18_a20|0.0|1|3.463603867|0.0|6.842683282|1.400923654|0.0|0.1160337319999999|4.727387819|-0.12050413|2|0.0396875|0.163548857|1.983673343|-0.5039851160000001|-0.005614194|10.93301779|1|-0.004071701|0.001996439|0.003282792|-0.597167441|2|0.809917509|-0.090732503|0.778639593|-0.0927760219999999|-0.095227339|0.356461863|0.0108136339999999|-63.36348363|7.195302872999999|318.5587088|-0.035934845|-42.1615378|4.787695004|0.8109110409999999|-1.904546783|-41.07622672|72.31812218|-23.91074854|68.92770059|-1267.269673|8.011174137000001|0.936740671|125.81822920000002|-843.230756|29.4862782|0.013457694|1562.772745|1.0|1.0|2.0|3.48|0.08|27.0|-10.0|5.54|2.0|0.0|0.0|5.0|-5.59|419.48|0.0|3.78|2.54e-06|6.91e-06|0.0029|3.85|0.0|9.93e-11|4.17e-08|5.9778|3.5355|-1352.364724|1204.88|0.2991|207.41|531.11|0.6953699999999999|-1352.073755|0.2011|-0.14685|5.3978|-0.20289|8.0505|34.0|7.4685|7.4685
38_a18|0.0|0|0.0|0.0|7.03438793|1.251175383|0.0|0.059724697|4.844187086|-0.009006798|1|0.035478927|-0.066676644|0.0|-0.448742607|0.000520558|10.94702086|0|0.001602741|-0.074661643|-0.11123356|-0.498932552|0|0.745084567|-0.007310849|0.7400818459999999|-0.076974444|-0.082256123|0.423402315|0.00838904|-65.45657441|6.675707878|100.7046282|-0.0322355079999999|-52.08807522|5.3122971560000005|0.880927895|-2.385427574|-48.74349112|71.15832778|-25.65190078|67.92930461|-1898.240658|10.98254153|0.874996952|94.75345803|-1510.554181|29.11918324|0.007165119|2154.819559|1.0|1.0|3.0|4.53|0.34|18.0|-10.33|4.94|3.0|1.0|0.0|10.0|-6.98|508.65|0.0|3.64|1.05e-07|7.85e-07|0.000399|5.43|0.0|4.68e-11|2.38e-08|3.2241|3.2241|-1611.630281|1515.64|0.5147|384.55|734.93|0.69235|-1611.133158|0.5147|-0.13229|1.9877|-0.18066|2.7244|91.0|7041.0|7041.0
28_a20|0.0|0|0.0|0.0|6.842683282|1.417203216|1.837209467|-0.013841559|4.727387819|-0.114439513|3|0.0396875|0.091462964|1.650185059|-0.363557127|0.002234763|10.94963925|1|0.002695258|-0.016955137|-0.028782305|-0.447096101|3|0.715067047|-0.06654421|0.690655217|-0.086299346|-0.091179288|0.3962228229999999|0.014682607|-60.85602167|9.799649234|318.7453661|-0.035068957|-40.6172876|6.540604536|0.773641727|-1.823585765|-38.44343857|71.98460956|-23.40616218|67.39863895|-1217.120433|7.587188177000001|0.8826648009999999|151.0788711|-812.3457521|30.25452396|0.016673728|1573.2352460000002|1.0|1.0|1.0|3.45|0.08|27.0|-8.8|3.93|1.0|0.0|0.0|5.0|-4.42|420.47|0.0|3.04|3.77e-05|3.72e-05|0.0156|2.68|0.0|1.57e-09|6.590000000000001e-07|4.7905|3.5798|-1368.363151|1198.32|0.2354|258.81|531.85|0.4701899999999999|-1368.085242|0.0153|-0.15572|3.5284|-0.21814|4.7428|255.0|6.5935|6.5935
6d_a40|0.0|0|0.0|0.0|8.421342866|0.604893491|1.695192271|0.12627602|6.401917197|-0.091548968|0|0.039160494|-0.104206961|0.683786612|-0.722057579|-0.005066797|10.30179973|2|-0.00448098|-0.025143559|-0.0603134|-0.624951805|0|0.6224555620000001|-0.289988439|0.604211552|-0.115007564|-0.119563634|0.372705643|0.017359149|-76.51205671|11.10859664|192.5638526|-0.050049893|-48.96216855|7.108696385|0.86005241|-2.15214542|-47.09642482|85.47607798|-32.02830281|84.70509846|-1377.2170210000002|6.908972922999999|0.7486635420000001|89.55631|-881.3190339|37.23994308|0.01400787|1601.317552|0.0|1.0|1.0|3.98|0.21|14.0|-4.31|4.8|2.0|2.0|1.0|5.0|-7.21|460.52|1.0|3.43|6.18e-08|7.1e-06|0.00327|3.87|1.0|4.9e-05|0.0226|2.9559|2.9559|-2470.82949|1111.69|0.3518|419.45|511.88|0.6624800000000001|-2470.62267|0.3518|-0.11938|7.8884|-214.0|10.9021|1.0|8.9208|8.9208
9d_a40|0.0|0|0.0|0.0|7.515889085|0.604992329|1.839557351|0.007834411|5.4161004020000005|-0.022152094|0|0.045555556|0.153818743|0.89023715|-0.146575228|0.011823978|10.3119722|2|0.010101686|0.0116099239999999|0.019621984|-0.4887998529999999|0|0.601831605|-0.223631751|0.55759121|-0.060319196|-0.071656839|0.002088915|0.010749826|-36.92750973|5.539796446|108.1468558|-0.031613312|-19.03015798|2.854868966|0.8664205709999999|-1.074852592|-16.01918037|41.42218692|-16.29154841|36.6245851|-553.912646|8.023385851|0.87714454|68.83858806|-285.4523697|18.80327978|0.0087217999999999|639.3115126|0.0|0.0|0.0|3.25|0.06|20.0|-7.0|5.2|1.0|0.0|0.0|2.0|-6.13|325.82|0.0|4.63|7.37e-07|2.23e-06|0.000727|5.16|0.0|1.01e-07|3.3e-05|4.6073|3.3464|-1677.551678|892.69|0.4888|269.1|446.84|0.69986|-1677.429981|0.4025|-0.13875|6.2032|-0.20781|7.9502|107.0|6.9706|6.9706
17_a47|0.0|1|3.011740664|0.0|6.605297921|1.4168589319999998|0.0|-0.181485377|4.59511985|-0.019259259|3|0.031802469|-0.105849578|1.699575434|-0.2032813319999999|0.0042378929999999|10.9385382|1|0.004477366|-0.0184347939999999|-0.031505291|-0.3004189439999999|3|0.8007970640000001|-0.010871607|0.7666613659999999|-0.07185129|-0.082994667|0.522140199|0.01291694|-50.62550618|7.87914003|68.64478326|-0.02987808|-30.88080199|4.806157636|0.7457517659999999|-1.493904005|-26.73455447|60.33408274|-18.22518223|51.70735256|-911.2591113|7.055517075|0.8569074879999999|155.087622|-555.8544359|24.43867122|0.0159160889999999|1221.9335609999998|1.0|1.0|2.0|3.44|0.08|27.0|-10.1|5.12|2.0|0.0|0.0|4.0|-5.4|392.46|0.0|3.85|3.98e-06|6.11e-06|0.0024|4.03|0.0|7.96e-11|3.12e-08|4.2784|4.2784|-1254.985125|1127.7|0.4308|289.79|477.67|0.6844100000000001|-1254.737546|0.4308|-0.17606|3.4454|-0.22479|5.6949|5.0|8.3|8.3
12ap_a36|0.0|1|3.4417292610000003|0.0|7.412764017000001|1.2970441659999998|0.0|-0.06398791|5.351858133|-0.010732275|2|0.042739018|0.066185994|0.0|-0.424579308|-0.000143196|10.95430638|1|0.001194592|-0.098598933|-0.175397741|-0.436880644|1|0.8707354620000001|-0.074596774|0.8212311840000001|-0.082622504|-0.106173763|0.27547717|0.0217479329999999|-69.6632787|14.26936622|82.56761031|-0.037473093|-45.7078307|9.36249036|0.737851886|-1.91112774|-35.56900768|83.16347311|-24.58703954|68.48007054|-1253.939017|8.766216204|0.86772056|172.00197649999998|-822.7409526|33.32245946|0.020575639|1699.445432|0.0|0.0|2.0|4.78|0.13|17.0|-6.66|2.75|1.0|0.0|0.0|5.0|-3.99|406.44|0.0|1.66|0.000101|0.000113|0.0458|2.4|0.0|2.21e-07|8.97e-05|4.9124|3.8801|-1325.199863|1160.79|0.8819|252.39|553.28|0.6929|-1324.95298|0.3982|-0.15704|7.0249|-0.21788|9.6512|32.0|7.4949|7.4949
4q_a46|0.0|0|0.0|0.09591943|7.832410927000001|1.131262631|2.151582577|-0.2520920439999999|5.587248657999999|0.004704245|2|0.0462962959999999|-0.012611536|0.0|-0.066250447|0.012173202|10.96363644|1|0.012222698|-0.1214838219999999|-0.187559576|-0.125840557|2|0.716317772|-0.121752717|0.703627625|-0.052170875|-0.070035423|0.258420996|0.014510206|-39.09149156|8.099124333999999|38.31894407|-0.021010627|-21.81959712|4.520667361|0.61955726|-1.050531344|-16.25388148|49.37907349|-11.72744747|37.21920695|-586.3723734|6.038093227999999|0.952269544|212.350744|-327.2939568|18.92875482|0.018430997|946.4377411|1.0|1.0|0.0|3.95|0.38|17.0|-6.94|4.09|0.0|0.0|0.0|4.0|-3.41|348.44|0.0|3.15|0.000389|0.000129|0.0449|2.65|0.0|1.14e-07|3.97e-05|4.5296|4.5296|-1108.751283|1043.05|0.1432|273.72|510.13|0.69002|-1108.511662|0.1432|-0.1903|2.7026|-0.2207199999999999|3.2968|743.0|6129.0|6129.0
9n_a24|0.0|1|2.961528903|0.0|6.605297921|1.388847168|0.0|-0.2452954769999999|4.59511985|0.001099755|2|0.024179894|-0.141205159|0.0|-0.182811885|0.008307337|10.94875265|1|0.008809179|-0.12451554|-0.200646773|-0.225226606|2|0.786587307|-0.058520736|0.755793189|-0.052106597|-0.0777274979999999|0.331008994|0.017608478|-52.53031811|11.90027964|48.691073|-0.026905672|-35.50139138|8.042526681|0.652126509|-1.399094961|-23.79925701|67.36550766|-18.18357165|47.11530904|-945.545726|8.232847909|0.764164944|235.1021924|-639.0250449|27.88350328|0.021951174|1449.942171|1.0|1.0|1.0|3.17|0.17|23.0|-8.64|4.41|1.0|0.0|0.0|7.0|-4.14|385.46|0.0|3.13|7.2e-05|5.14e-05|0.0198|3.07|0.0|2.31e-09|8.909999999999999e-07|4.9139|4.1028|-1239.1274939999998|1155.03|0.2522|252.31|587.05|0.63085|-1238.856882|0.0334|-0.1658099999999999|2.8552|-0.20399|4.8123|19.0|7.7212|7.7212
12f_a30|0.0|0|0.0|-4.734662095|7.412764017000001|0.60498366|0.0|0.156569208|5.351858133|-0.274237737|2|0.041555556|0.1468972409999999|0.0|-0.874676289|-0.00695299|10.31162828|1|-0.004395528|-0.077457998|-0.226973911|-0.6394697460000001|1|0.613786308|-0.071123509|0.593245722|-0.090450992|-0.108935062|0.56363596|0.01570263|-76.85198573|11.07796031|101.2862703|-0.0452183279999999|-54.21787616|7.815328055|0.815175332|-2.396571368|-45.01820228|89.21786458|-31.90082427|74.88972286|-1690.743686|8.366190175|0.8958126809999999|130.3909181|-1192.793275|39.1336968|0.01752821|2074.08593|0.0|0.0|1.0|4.73|0.17|17.0|-7.18|4.43|2.0|0.0|0.0|7.0|-6.7|482.48|0.0|3.42|1.99e-07|1.2e-06|0.000579|5.05|0.0|6.61e-08|3.19e-05|5.0587|3.5298|-1988.032639|1225.63|0.2166|245.09|574.31|0.68471|-1987.782125|0.1596|-0.14958|3.6633|-0.20422|4.6865|19.0|7.7144|7.7144
4e_a46|-3.742323661|0|0.0|0.092094405|7.825245291|0.300205548|2.12386814|0.1369980459999999|5.587248657999999|-0.370202917|2|0.041636905|-0.08224348|0.0|-0.4017151029999999|-0.001404912|10.31928077|1|0.002688298|-0.030065705|-0.049530834|-0.514537262|2|0.738134189|-0.076733489|0.69063113|-0.0835371459999999|-0.084780904|0.68427144|0.010671173|-64.33855433|8.098142567|105.0139519|-0.030951758|-48.825259|6.145520557|0.7951078540000001|-1.949960781|-48.10898007|73.87174786|-23.48867857|71.49283399|-1479.78675|7.906917146|0.905854609|155.48860530000002|-1122.980957|29.54149986|0.0125621839999999|1861.114491|0.0|1.0|2.0|4.5|0.27|23.0|-8.81|3.05|2.0|0.0|0.0|5.0|-6.08|488.6|1.0|3.5|8.29e-07|3.92e-06|0.00191|3.78|0.0|1.56e-09|7.64e-07|4.2446|4.1773|-1884.613031|1343.97|0.4814|292.1|655.69|0.56481|-1884.255802|0.3109|-0.17112|1.9941|-0.21005|3.2466|154.0|6.8125|6.8125
18b_a25|0.0|0|0.0|0.0|6.842683282|1.194228955|1.824998189|-0.147813831|4.727387819|0.0131826839999999|2|0.038137255|-0.018632104|2.003993644|-0.189048258|0.006181503|10.31286058|1|0.00598031|-0.034703635|-0.061048368|-0.303383008|2|0.721100414|0.001715854|0.6915652390000001|-0.063132226|-0.078644297|0.348987182|0.01278627|-55.18621997|8.972372556|80.36582704|-0.0305838929999999|-38.7252349|6.296086869|0.7847794690000001|-1.6515302369999998|-31.08693686|64.81723515|-21.46130777|53.27347337|-1158.910619|8.654596906|0.974811521|151.02439719999998|-813.229933|27.34692815|0.013724883|1476.7341199999998|1.0|1.0|1.0|3.58|0.07|27.0|-9.84|5.93|2.0|1.0|0.0|6.0|-6.54|460.55|0.0|4.35|2.87e-07|1.95e-06|0.000899|4.48|0.0|1.4500000000000002e-10|6.690000000000001e-08|5.5437|3.6826|-1767.52411|1284.89|0.2658|223.65|612.24|0.54166|-1767.2232149999998|0.0468|-0.15079|2.8141|-0.22145|2752.0|51.0|7.2924|7.2924
28_a47|0.0|0|0.0|0.0|6.842683282|1.4201653580000002|1.408016295|-0.053792245|4.727387819|-0.23494583|2|0.038387534|0.023813594|1.121067445|-0.436042548|-0.013020816|10.95058275|1|-0.010153352|-0.046265509|-0.126992366|-0.435485503|2|0.635684951|0.074217097|0.614975047|-0.1132830309999999|-0.106779291|0.310094808|0.026080156|-63.47150284|15.50250691|365.2310214|-0.038135461|-37.72858603|9.214964819|0.65225927|-1.601689367|-40.02656804|82.27079846|-22.66839387|82.83994768|-952.0725426|7.864990866|0.8964208090000001|206.7032519|-565.9287905|34.75365534|0.031626405|1459.653524|1.0|1.0|2.0|3.08|0.05|21.0|-6.92|2.49|1.0|0.0|0.0|5.0|-3.67|380.35|0.0|2.4|0.000214|0.000217|0.0824|1.97|0.0|1.2099999999999998e-07|4.59e-05|3675.0|3675.0|-1335.759232|995.5|0.2996|337.37|461.73|0.69002|-1335.571655|0.2996|-0.15049|6.0847|-0.2052|8.17|25.0|7.6|7.6
15a_a50|0.0|0|0.0|0.0|7.934155233999999|1.3530592819999998|4.126145086|-0.113976703|5.82008293|-0.06317118|1|0.035694444|-0.0446629609999999|2.020652006|-0.234757789|0.005366038|10.94500663|2|0.005828749|-0.128070491|-0.209259615|-0.325638639|1|0.797917311|-0.207610131|0.76745052|-0.0783960279999999|-0.084501726|0.4349386739999999|0.018014615|-50.56454577|10.77967103|275.287923|-0.029316925|-30.25705388|6.450390922|0.705410595|-1.436529349|-28.07082095|61.78266878|-17.54280159|57.69065967|-859.5972780999999|8.095541483|0.8103580690000001|176.277812|-514.369916|24.86892274|0.018747341|1218.577214|1.0|1.0|1.0|3.7|0.23|20.0|-6.09|3.23|1.0|0.0|0.0|5.0|-3.6|371.44|0.0|2.76|0.000251|0.0001189999999999|0.0444|2.51|0.0|8.070000000000001e-07|0.0003|4.0408|4.0408|-1199.818129|1091.64|0.1767|306.83|519.38|0.66132|-1199.572081|0.1767|-0.16693|6.6307|-0.19948|9.0948|41.0|7.3872|7.3872
23_a10|0.0|0|0.0|0.0|7.535296702|1.34383709|2.140123457|-0.12979844|5.4161004020000005|0.012558932|2|0.036666667|-0.031558374|1.981673861|-0.17741132|0.010305237|10.92966139|1|0.010662507|-0.130679|-0.207994181|-0.233801237|2|0.7338945809999999|-0.043248272|0.706648116|-0.049653973|-0.072395864|0.535680357|0.009615852|-51.27837225|6.81095873|72.17779806|-0.02685653|-36.32074126|4.824237957|0.7611996520000001|-1.6651048819999998|-24.91121732|60.76548004|-19.02262196|41.98112956|-1179.402562|8.755988318|0.943867925|169.14354509999998|-835.377049|24.9903188|0.013394095|1549.399766|1.0|1.0|0.0|3.8|0.21|27.0|-9.84|5.11|2.0|0.0|0.0|6.0|-5.38|461.56|0.0|4.5|4.19e-06|2e-06|0.000923|4.48|0.0|1.44e-10|6.66e-08|3.8034|3.8034|-1470.1960279999998|1336.11|0.2089|325.98|606.18|0.67647|-1469.838069|0.2089|-0.15858|3.8115|-0.21158|4.8954|0.75|6.1249|6.1249
