molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|RASA|FNSA5|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
11a_a31|0.0|1|0|0|0.0|0|1|0.610138462|-0.045290366|-0.02376325|5.733341277|-0.259732443|0|-0.022093578|-0.1217573119999999|-0.019865299|2|-0.017433557|-0.149933348|-0.1068420919999999|-0.563537536|0|0.861302755|0.8433024170000001|0.022073976|0.910334509|0.486754956|-0.161027639|0.271818874|-76.64827023|-81.26889906|20.91187076|258.8577775|0.513245044|-0.056833284|-41.01552988|10.55399384|71.03772901|0.735254945|-1.932331673|-38.68354874|-28.68314085|97.560141|0.451795285|10.5643234|4940.657452|133.6139513|-492.1863586|39.01114987|0.031626337|-237.4612264|1326.379096|302.14325319999995|0.0|0.0|1.0|2.0|3.26|16.0|-4.65|3.93|2.94|0.57|0.0|83.12|0.0|3.0|23.0|-6.51|329.33|0.0|0.0|1.0|2.42|-3.79|0.00506|0.000161|0.0531|2.53|2.22e-05|-0.05074|3.8042|3.97|3.8042|-1441.452616|-1441.411622|529.63|860.74|325.92|0.2797|325.92|-1441.327731|0.2797|-0.15515|-0.20589|0.04099365|0.19|6.7212|6.7212
11d_a5|0.0|1|0|0|0.0|0|0|1.388848584|-0.245058546|-0.003373937|4.59511985|0.001099755|2|0.008307337|-0.138265707|0.01948342|1|0.008809179|-0.202307745|-0.12451554|-0.22897714|2|0.786587307|0.783891527|-0.018747485|0.831190148|0.87090286|-0.0847408619999999|0.359644732|-40.04753555|-53.84338206|8.151092424|61.45330587|0.12909714|-0.029333375|-34.21147402|5.179111638|0.0|0.712305422|-1.525335513|-25.44574968|-18.63809379|48.19862797|0.49396568|17.62784804|5283.02167|182.7978704|-615.8065323|26.16587381|0.018119737|-269.7929124|1360.625438|631.9206508|1.0|1.0|1.0|1.0|3.13|23.0|-8.64|4.41|4.14|1.42|1.0|114.29|0.0|7.0|29.0|-6.47|385.46|0.0|1.0|1.0|3.28|-4.29|0.0278|5.14e-05|0.0198|3.07|2.31e-09|-0.03767|4.4175|2.59|4107.0|-1239.127458|-1239.093739|682.09|1154.67|301.89|507.0|280.66|-1238.855022|0.2068|-0.16762|-0.20529|0.03371838|15.0|7.8239|7.8239
13d_a6|0.0|1|0|0|0.0|0|1|1.424214188|-0.045686501|-0.010665225|5.351858133|-0.0122495089999999|1|-0.003346018|-0.042531782|-0.10528143|1|-0.000899678|0.126028544|-0.106686991|-0.49314765|1|0.845481322|0.786837131|-0.027209556|0.841971795|0.78862121|-0.110731261|0.19992155|-63.04181168|-75.40072983|20.96853949|156.67194009999997|0.21137879|-0.039696112|-51.34295409|14.27820079|564.780402|0.769432845|-2.103893962|-42.92734103|-27.03045032|84.01035117|0.4128711229999999|15.47559904|6185.117192000001|157.0011174|-975.5161277|35.13035671|0.018542644|-366.9322097|1861.908905|692.8471883999999|1.0|1.0|1.0|2.0|3.64|23.0|-9.4|5.38|4.57|1.5|2.0|121.6|0.0|6.0|32.0|-5.88|423.47|0.0|0.0|1.0|3.74|-5.27|0.000471|5.42e-06|0.00229|4.23|3.96e-10|-0.05252|4.85|4.5|3.6298|-1389.403308|-1389.374844|723.61|1219.11|341.57|0.7905|255.64|-1389.125098|0.2513|-0.14894|-0.20146|0.02846332|0.36|6.4437|6.4437
47d_a18|0.0|0|0|0|0.0|0|1|1.251175994|-0.017398129|-0.006087337|4.844187086|-0.041876322|0|0.003376831|-0.07722825|0.016324953|0|0.005144085|0.104380139|-0.272202025|-0.417659275|0|0.7640994990000001|0.7430748709999999|-0.002494715|0.773981237|0.836999127|-0.087315963|0.445704576|-52.14267013|-71.20388424|12.45251265|64.92967228|0.163000873|-0.028722356|-58.06490563|10.15469843|58.93717545|0.69814381|-2.182899066|-42.52098397|-23.42233034|64.59518279|0.481311892|19.16475647|7780.945962999999|246.1558296|-1451.622641|33.54943497|0.018506261|-323.1621908|2549.757058|1255.618298|1.0|1.0|1.0|2.0|4.73|18.0|-8.83|2.81|3.21|2.6|3.0|159.67|1.0|12.0|39.0|-6.57|527.66|0.0|0.0|0.0|2.56|-5.28|0.000968|5.23e-06|0.00276|4.16|1.4800000000000003e-09|-0.04561|3.1079|8.08|3.1079|-1704.061013|-1704.0327519999998|875.6|1544.09|398.94|0.5820000000000001|398.94|-1703.545539|0.5820000000000001|-0.12844|-0.17405|0.02826074|8.0|8.0969|8.0969
12c_a36|0.0|1|0|0|0.0|0|2|1.29696741|-0.087096843|-0.007667703|5.351858133|-0.04162109|2|0.0005016269999999|-0.0621599059999999|-0.056994595|1|0.0010871589999999|0.146546059|-0.103922055|-0.4423430339999999|1|0.8941919290000001|0.819222745|-0.033217921|0.8741648479999999|0.840733512|-0.105624703|0.462597812|-47.12722334|-67.84435546|12.5779546|60.79111287|0.159266488|-0.038024893|-43.57746274|8.079011794|6.546878962999999|0.75500974|-1.901244658|-30.27053327|-24.42396797|59.70517794|0.473610011|12.86584957|6256.172329|157.3609748|-784.3943293|32.34920911|0.019278991|-327.5932797|1617.460455|629.5017194000001|1.0|1.0|0.0|2.0|4.74|17.0|-7.18|3.35|2.54|2.51|1.0|128.76|0.0|5.0|30.0|-6.49|415.88|0.0|1.0|1.0|2.34|-4.59|0.0151|2.55e-05|0.0106|3.31|6.65e-08|-0.04992|3.8436|3.79|3.8436|-1692.540795|-1692.511019|672.74|1137.55|322.58|0.3927|322.58|-1692.312906|0.3927|-0.15835|-0.2082699999999999|0.02977602|9.0|8.0458|8.0458
19d_a38|0.0|1|0|0|0.0|0|2|1.297043205|0.013465335|-0.0120676969999999|5.351858133|-0.17467835|2|-0.011156837|-0.0555594909999999|-0.024688524|1|-0.00835812|0.041924146|-0.060668296|-0.529632789|1|0.7581164340000001|0.853092207|0.111104525|0.908591797|0.63167949|-0.1248815919999999|0.3509455999999999|-74.84120843|-80.2776536|15.53007152|158.6487879|0.36832051|-0.04393982|-51.60489663|9.98319831|115.6739235|0.7494816990000001|-2.372750256|-48.11018574|-28.24584108|90.37127996|0.478151237|13.52121974|6934.7619620000005|161.0407189|-980.493036|37.68716585|0.022660131|-320.7487188|2035.106956|686.8472757999999|0.0|1.0|0.0|4.0|4.91|17.0|-6.41|2.34|1.65|1.65|1.0|133.79|0.0|6.0|33.0|-7.84|444.46|0.0|0.0|0.0|1.94|-3.62|0.0594|0.0002399999999999|107.0|1.65|3.94e-07|-0.05091|5.3771|4.13|3.6586|-1500.898316|-1500.850957|679.08|1171.77|338.89|0.3167|230.58|-1500.621723|0.0699|-0.15054|-0.20145|0.04735828|11.0|7.9586|7.9586
20_a31|0.0|1|1|1|0.0|0|0|0.609420757|0.0469387759999999|-0.009722467|5.733341277|-0.057200812|0|-0.003484915|-0.020082435|-0.078213611|3|-0.001662219|-0.023477148|-0.0852122769999999|-0.594513619|0|0.788133615|0.8602874540000001|0.028036914|0.912372776|0.7954270659999999|-0.110195543|0.246878555|-53.79798102|-69.0542431|12.1160662|64.42171513|0.2045729339999999|-0.033537774|-43.27297051|7.592555532|75.10345696|0.710707042|-1.542737604|-33.71260536|-21.01650877|65.91404723|0.464597945|15.48343758|5678.167489|181.2859728|-605.8215871|29.5712685|0.019624081|-264.0799235|1360.278351|557.1050635|1.0|1.0|1.0|2.0|3.46|19.0|-7.65|6.49|4.38|1.1|1.0|110.47|1.0|7.0|27.0|-6.39|397.52|1.0|0.0|1.0|3.6|-4.44|0.000493|3.66e-05|0.0146|3.29|2.23e-08|-0.06065|3.5381|4.78|3.5381|-1880.768349|-1880.734655|666.67|1113.19|350.43|0.2011|350.43|-1880.538664|0.2011|-0.1483|-0.20895|0.0336943|8.0|8.0862|8.0862
18c_a30|0.0|0|0|0|0.0|0|2|0.604986846|0.12157783|-0.0109670669999999|5.351858133|-0.118776867|2|-0.003436924|0.0119521719999999|-0.0351777|1|-0.002215642|0.0211588229999999|0.003429114|-0.562807327|1|0.841060094|0.8303425640000001|0.034468997|0.885516463|0.717052026|-0.1115683|0.42531141|-71.31647561|-75.33411705|13.07260474|384.391404|0.282947974|-0.042101245|-50.86775696|8.826997739|103.215593|0.7859920029999999|-2.2313660090000003|-48.15493021|-28.4279687|84.38908035|0.448899917|13.8741593|6685.737642|144.5043388|-1017.355139|36.16826708|0.018410634|-386.2200097|1916.918155|713.7769663|1.0|1.0|0.0|2.0|4.85|17.0|-6.19|3.04|1.72|2.06|1.0|135.37|0.0|6.0|32.0|-7.05|441.51|0.0|0.0|0.0|1.91|-4.3|0.00427|5e-05|0.0221|2.74|6.520000000000001e-07|-0.05575|3.4848|4.54|3.4848|-1744.500825|-1744.455795|711.56|1209.11|355.78|0.3879|355.78|-1744.2261030000002|0.3879|-0.14225|-198.0|0.04503016|12.0|7.9208|7.9208
12a_a5|0.0|1|0|0|0.0|0|1|1.338814635|-0.256282289|-0.00166971|5.209486153|0.043132749|2|0.00873078|-0.114419442|-0.032601907|1|0.008649556|-0.006024869|-0.057691345|-0.175245466|2|0.762866363|0.779533861|0.1121034509999999|0.829536345|0.894590896|-0.067680123|0.337539208|-36.01436435|-41.59124655|5.032443973|13.74268646|0.105409104|-0.026030816|-25.55893402|3.0925714930000003|0.0|0.746785093|-1.353602454|-22.13179066|-15.99663329|41.04680832|0.457755771|16.12184989|5294.775577|155.6073368|-511.1786804|21.42066499|0.014342828|-303.31208710000004|1113.8745800000002|650.3600841|0.0|1.0|1.0|1.0|3.06|23.0|-8.83|5.12|4.26|2.17|1.0|119.38|0.0|5.0|29.0|-6.23|381.47|0.0|1.0|0.0|3.58|-4.59|0.0205|2.56e-05|0.00977|3.38|1.4800000000000003e-09|-0.04076|4.6865|2.91|4.1610000000000005|-1202.02622|-1201.990542|667.31|1140.24|297.97|0.4794|264.55|-1201.750315|0.0296|-0.17152|-0.21228|0.03567816|19.0|7.7212|7.7212
3_a20 (SB-525334)|0.0|1|0|0|-0.08980269|0|0|1.183765089|-0.048050965|-0.005492814|4.727387819|-0.053897691|2|0.001924142|-0.175513234|-0.119584218|1|0.0033523629999999|0.002992397|-0.169090412|-0.500412918|2|0.818922083|0.7186587|0.087932573|0.76423988|0.8756647679999999|-0.0917096759999999|0.246005838|-34.52869143|-51.80299691|6.965173618|43.70154849|0.1243352319999999|-0.029269046|-29.26136697|3.934338039|0.0|0.784910502|-1.375645142|-19.50382741|-16.53287135|41.49386505|0.457398769|10.9543133|4905.195832|121.495147|-438.9205046|21.06338405|0.0117802769999999|-321.8682802|989.9790502999998|520.6749407|1.0|1.0|1.0|1.0|3.37|21.0|-8.39|5.2|4.69|1.69|1.0|104.59|0.0|3.0|26.0|-5.74|343.42|0.0|1.0|1.0|3.63|-4.73|0.00489|1.88e-05|0.00647|3.74|4.07e-09|-0.0671399999999999|4.9821|3.9|3.1728|-1086.585811|-1086.56485|605.71|1030.31|390.77|367.0|248.86|-1086.329436|0.1171|-0.13417|-0.20131|0.02096048|162.0|6.7905|6.7905
