molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
12o_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|0.604984133|0.036331447|-0.0068750669999999|5.351858133|-0.028326022|2|-0.089996613|0.0|-0.364378536|0.019094532|10.31162888|-0.087019298|1|-0.157974241|-0.051371057|-0.090173435|-0.465857798|1|0.8264832879999999|0.844344883|-0.076908942|0.402022325|0.015460222|-49.48891079|-62.74209511|9.948252054|75.15128057|100.1600333|-0.037808155|0.0|0.8131344979999999|-1.852599578|71.87393121|-24.32856749|0.46964626|2860.371518|543.3140456|2476.50603|-15.65480256|0.186865502|7.400912529|13.95467208|0.885533983|6542.77337|120.2431068|-767.0853252|29.91948755|-402.9878652|652.8825454|1.0|1.0|0.0|0.0|0.14|17.0|-7.22|81.65|3.31|132.29|0.0|1.0|5.0|-5.93|30.0|-5.75|432.93|0.0|0.0|3.11|-5.44|1.19e-06|0.0005139999999999|3.61e-06|0.00156|4.49|0.0|6.03e-08|2.61e-05|-0.05085|5.1935|3.4817|-2035.338699|356.1|238.73|528.25|0.6854399999999999|-2035.139147|149.0|5559.0|0.03392126|-2035.199757|16.0|7.8097|7.8097
17_a3|0.0|0|0.0|0.0|0|6.823286122000001|0|0.605019885|0.188373421|-0.009450704|4.727387819|-0.118246266|2|-0.015463451|1.709081227|-0.349676046|-0.041723219|10.31163036|-0.0510707059999999|1|-0.027542873|0.020589494|0.036673175|-0.633373061|2|0.881253042|0.803075623|-0.098658557|0.225087454|0.010321361|-50.20132919|-48.88298017|5.251911643|234.4907116|100.2028184|-0.039557272|76.17242478|0.840062179|-1.344947254|55.39769571|-20.12828595|0.4383349039999999|2196.728425|408.6362608|1667.279771|-10.24205849|0.159937821|6.2477303310000005|11.12358659|0.780420408|4839.543958|81.38261354|-348.2299886|23.96047156|-346.0738521|353.7528308|1.0|1.0|1.0|2.65|0.0|21.0|-7.48|92.93|2.37|95.5|0.0|1.0|2.0|-5.53|23.0|-5.61|338.81|0.0|0.0|3.71|-4.93|2.96e-06|1.0|1.18e-05|0.00399|3.88|0.0|3.28e-08|1.11e-05|-0.0720399999999999|3.2102|3.2102|-1731.72355|386.22|386.22|393.58|0.69481|-1731.6147670000005|0.4062|3.8077|0.02878063|-1731.663157|23.0|7.6383|7.6383
2_a27|0.0|0|0.0|0.0|2|6.605297921|0|1.402655014|0.09890645|-0.0065894809999999|4.59511985|-0.0609613559999999|2|-0.196529806|1.267636369|-0.276758209|0.11675125|10.93783218|0.017751479|1|-0.337316432|-0.21066171|-0.361571905|-0.475677812|2|0.639024713|0.8468699609999999|-0.058444848|0.408120957|0.019809599|-29.42169804|-41.03489597|9.972342226|9.194894069|77.08713259|-0.029261411|53.58106492|0.6684621829999999|-1.141195033|52.43208086|-14.73047548|0.4424192289999999|2210.487938|426.3224749|1270.627585|-7.415462877|0.331537817|5.312170441|9.527176544|0.7934621359999999|4774.521748|166.89932209999998|-289.2030522|22.03636323|-169.6109632|373.9912084|0.0|0.0|1.0|3.06|0.11|21.0|-5.84|65.6|2.42|92.58|0.0|2.0|2.0|-3.19|24.0|-6.69|317.34|0.0|1.0|2.52|-3.7|0.000644|204.0|0.0002009999999999|0.0638|2.18|0.0|1.45e-06|0.0004599999999999|-0.04933|4.1624|4.1624|-1043.7984|297.87|297.87|420.7|0.55857|-1043.665151|0.3217|4.7049|0.02268519|-1043.715364|13.0|7.8861|7.8861
15c_a10|0.0|0|0.0|0.0|1|7.535296702|2|1.343850105|-0.236118846|-0.002218445|5.4161004020000005|0.040869377|3|-0.06400528|2.063253638|-0.153072705|-0.1036030219999999|10.92970798|0.0123939039999999|1|-0.101214571|-0.226679901|-0.35845963|-0.1742732839999999|2|0.7655272009999999|0.904458517|-0.046967376|0.418835517|0.014703076|-32.5870313|-50.32840842|10.2013281|65.41494073|66.28884934|-0.019267867|136.2098503|0.528228415|-1.233143495|66.5866765|-13.36848349|0.449308156|3012.018586|627.5338454|1817.047455|-9.275357237|0.471771585|8.639636218|15.6886947|0.8158976029999999|6673.826433|327.3258326|-593.6228632|25.30814911|-39.17102961|924.9341455|0.0|1.0|1.0|4.09|0.37|21.0|-7.79|59.31|1.74|141.96|0.0|1.0|6.0|-3.85|34.0|-6.99|454.57|0.0|1.0|3.1|-4.57|0.0001419999999999|0.0646|2.68e-05|0.0122|2.94|0.0|1.6100000000000002e-08|7.3e-06|-0.04724|5.5913|3.6709|-1450.500669|337.75|221.75|595.63|0.70511|-1450.139335|0.0|2.4256|-0.25919486|-1450.201574|0.1|7.0|7.0
3f_a32|0.0|1|3.553167045|0.0|0|7.773594467000001|0|0.6094207770000001|0.0067550119999999|-0.00611496|5.733341277|-0.0434359079999999|0|-0.062954205|2.227330929|-0.275173181|-0.113189563|10.31100273|-0.110286539|3|-0.112493266|-0.074808287|-0.133675401|-0.5487283829999999|0|0.833981748|0.874026684|-0.073433055|0.3217719189999999|0.011897886|-41.40131823|-54.8993954|6.707989266|47.97543149|71.02334697|-0.030139709|0.0|0.78919828|-1.265867765|61.47296003|-16.99267001|0.435176082|2273.466801|492.7734095|2130.756016|-9.580412233|0.21080172|6.153728636|10.89495051|0.770463268|4993.667711|118.8493262|-402.3773138|21.53155987|-326.0981041|475.3634141|1.0|1.0|1.0|3.31|0.28|19.0|-7.31|110.94|2.18|102.66|0.0|1.0|4.0|-6.89|24.0|-5.03|354.49|0.0|0.0|4.63|-5.4|1.28e-07|4.53e-05|3.96e-06|0.0014|4.83|0.0|4.89e-08|1.73e-05|-0.05315|3.5569|3.5569|-1712.034952|348.58|348.58|488.74|0.70255|-1711.863611|293.0|3.4678|0.02606687|-1711.9193289999998|9.0|8.0458|8.0458
9g_a40|0.0|0|0.0|0.0|1|7.515889085|0|0.604992427|-0.058811055|-0.0054957819999999|5.4161004020000005|-0.0220464379999999|0|0.07954859|0.895670535|-0.225327061|0.139758613|10.31197177|-0.145879501|2|0.133954053|-0.037217966|-0.062672355|-0.383703998|0|0.694156166|0.90454157|-0.063539055|0.002717414|0.021367335|-33.47455057|-41.63731423|11.25704374|65.74631496|50.29077056|-0.031197254|64.08637519|0.740240206|-1.185495647|51.16627179|-16.43578193|0.476386801|2169.234651|476.5434822|349.4421673|-8.658932892000001|0.259759794|8.180261533|15.62271835|0.909806709|4435.743087|136.8503571|-329.0394499|22.20330888|-253.1335385|384.6422631|0.0|1.0|1.0|1.78|0.06|22.0|-6.43|72.28|0.64|87.53|0.0|1.0|3.0|-2.49|23.0|-7.17|302.33|0.0|1.0|1.93|-3.09|0.00323|977.0|0.0008179999999999|247.0|1.37|0.0|3.720000000000001e-07|0.000113|-0.0624|3.0778|3.0778|-1332.476347|402.84|402.84|469.6|0.70233|-1332.31775|0.3563|3.4787|0.01134289|-1332.369643|3548.0|5.45|5.45
8d_a8|0.0|0|3.190160226|0.0|1|7.05012252|0|1.395657339|-0.12349902|-0.0111144189999999|4.844187086|-0.155313194|1|0.071729931|0.0|-0.633521883|-0.077977198|10.94649761|-0.117111249|1|0.111668404|0.016471091|0.025642021|-0.4385133129999999|1|0.76211539|0.6932924890000001|-0.1072746469999999|0.377028311|0.028038295|-69.95878302|-67.26951954|18.28507531|57.93693239|200.0182229|-0.03820405|92.49576602|0.675359878|-2.063018716|86.29065071|-24.91463687|0.483207744|2863.968296|452.1282556|2093.380666|-16.2479927|0.324640122|7.507839835|14.52777156|0.935013517|6596.888351|211.7129122|-877.3916055999999|36.89090464|-228.7206541|682.0472537|0.0|1.0|1.0|2.92|0.12|23.0|-7.62|112.23|1.92|121.1|0.0|1.0|6.0|-4.91|32.0|-6.87|430.46|0.0|0.0|3.0|-4.47|1.24e-05|0.00533|3.4200000000000005e-05|0.0147|2.89|0.0|2.38e-08|1.03e-05|-0.0600299999999999|4.6765|3.2963|-1447.559429|376.13|265.12|572.21|0.70165|-1447.2928029999998|0.1879|6.0111|0.03604461|-1447.354662|18.61|4.7303|4.7303
8a_a32|0.0|1|3.217128449|0.0|0|7.773594467000001|0|0.609420757|-0.0755556459999999|-0.010151321|5.733341277|-0.056633919|0|-0.0281981579999999|2.059960334|-0.497414715|-0.020716518|10.31100269|-0.128684642|3|-0.050766252|-0.0852122769999999|-0.1534110109999999|-0.591393096|0|0.788133615|0.814553726|-0.083474428|0.221908108|0.018321589|-52.34893512|-68.61558335|11.48993376|73.64907732|116.298071|-0.035678106|66.81560596|0.7490845290000001|-1.641192863|79.73671389|-22.37464674|0.480024324|2574.085885|510.8273411|3312.822051|-14.03170956|0.250915471|7.420041446|14.26997798|0.923166883|5659.295213|157.3554684|-645.4586397|29.86932167|-312.4144752|557.1050635|1.0|1.0|1.0|3.67|0.26|19.0|-7.65|140.04|1.37|110.69|1.0|1.0|7.0|-6.82|27.0|-5.76|397.52|1.0|0.0|4.07|-4.99|1.5199999999999998e-07|6.03e-05|1.02e-05|0.00406|4.17|0.0|2.23e-08|8.86e-06|-0.06166|3562.0|3562.0|-1880.732222|348.07|348.07|566.07|0.70316|-1880.536478|0.4315|4.8933|0.03498398|-1880.595748|45.0|7.3468|7.3468
3_a4|0.0|0|0.0|0.0|1|7.535296702|1|1.343866299|-0.241609351|-0.001141383|5.4161004020000005|0.03287721|2|-0.07806942|2.180369373|-0.0502208409999999|-0.010537082|10.92992985|0.050638298|1|-0.129930078|-0.048796855|-0.08121207|-0.133874898|2|0.637819558|0.919804716|-0.052578183|0.462670692|0.010568144|-25.5405205|-31.92506825|5.133610255|12.23442244|38.95587796|-0.024645574|40.30885999|0.7196876640000001|-0.985822953|39.38579676|-11.97190059|0.430553837|2159.04913|446.8068266|1602.411021|-5.815502811|0.280312336|4.832514477|8.486341272999999|0.7560922609999999|4677.30755|136.1652785|-232.6201124|16.63485592|-213.4321476|409.0289917|1.0|1.0|1.0|2.86|0.15|21.0|-7.19|43.6|2.44|95.12|0.0|1.0|2.0|-3.7|24.0|-5.99|312.37|0.0|1.0|3.31|-4.26|0.000198|0.0617|5.520000000000001e-05|0.0173|3.12|0.0|6.49e-08|2.03e-05|-0.04964|4.9088|4.0639|-990.6149055|305.09|252.57|350.36|0.58615|-990.467184|0.0871|2681.0|0.024645265|-990.514888|104.0|6983.0|6983.0
12h_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|0.604984682|0.046965756|-0.00737961|5.351858133|-0.06631353|2|-0.074988669|0.0|-0.391119352|0.001698966|10.31162898|-0.072247675|1|-0.166613751|-0.0541804029999999|-0.120380857|-0.4708582289999999|1|0.669561738|0.763568404|-0.083127678|0.353607682|0.017389133|-52.88851758|-63.03519645|11.06352871|89.66095835|150.42542849999998|-0.038417127|0.0|0.7979748729999999|-1.882439244|73.14241438|-24.44221903|0.468446216|2848.98238|485.8069155|2268.811589|-15.55093031|0.202025127|8.066818026|15.1759206|0.881277172|6252.192213|128.5349203|-761.9955851|30.63031164|-379.1625034|618.6004214|1.0|1.0|0.0|0.0|0.14|17.0|-6.9|81.65|3.2|127.24|0.0|1.0|5.0|-5.39|30.0|-6.02|416.47|0.0|0.0|2.92|-5.01|4.12e-06|0.00171|9.71e-06|0.00405|3.97|0.0|1.26e-07|5.260000000000001e-05|-0.05347|5.0289|3.5101|-1674.977665|353.22|246.54|518.06|0.68543|-1674.777786|155.0|2.9684|0.03372393|-1674.838376|9.0|8065.0|8065.0
