molecula|NaaNH|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|WPSA3|FNSA1|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
11e_a5|1|7.139660336|1|1.338814635|-0.2114441819999999|0.038643235|0.020943152|-0.07965|0.0|-0.192538515|0.008268901|-0.16669151|10.9487795|-0.010236262|1|1|0.008721244|-0.0924814769999999|-0.147721258|-0.234433859|2|0.77509232|-0.048843135|0.8215345|0.747366251|-0.062865536|-0.0790189759999999|0.372098505|-41.64560703|7.986070113999999|62.84782002|5.290414418|0.72163516|-1.580379517|63.5644542|49.63167715|0.483563144|2721.416353|-1046.930776|960.0428704|-12.38472918|0.27836484|0.936345148|5675.693973|-693.5448342|25.90670947|0.016933845|-293.6467698|1450.77573|735.3048881|1.0|1.0|1.0|1.0|1.0|3.22|-8.95|5.03|4.29|66.93|1.83|0.0|7.0|-4.65|31.0|-6.28|411.5|0.0|1.0|3.63|-4.72|2.23e-05|0.00919|1.9e-05|3.56|0.0|4.4179|4.1036|-1316.547103|1220.1|0.5347|571.06|0.6505|0.2125|-0.20559|0.03460011|-1316.301553|2.8694|0.04|7.3979|7.3979
4j_a46|0|7.825245291|1|1.134637093|-0.175292207|-0.012405467|0.048126615|-0.0529855709999999|0.0|-0.130235627|0.011968098|-0.1051618459999999|10.94638774|-0.176133068|1|1|0.011684396|-0.0589746909999999|-0.087688953|-0.226712003|1|0.72796254|-0.061823242|0.763724435|0.728293097|-0.05924408|-0.074417476|0.295221643|-34.99059698|8.812983129|70.56141095|5.205103062|0.776932317|-1.339514565|50.26191521|43.80358011|0.402450715|2260.870095|-791.1408955|2563.282153|-8.652995323999999|0.223067683|0.673502127|5077.124695|-467.2617475|18.85718615|0.0106831269999999|-327.122208|1018.288052|642.1335502000001|1.0|1.0|1.0|1.0|0.0|4.0|-7.69|5.18|5.33|39.94|3.28|0.0|4.0|-5.38|27.0|-5.09|361.48|0.0|1.0|4.5|-5.31|4.16e-06|0.0015|4.86e-06|4.81|0.0|5.3949|4.4093|-1132.043677|1112.13|0.2783|572.31|0.69413|0.1418|-0.20071|0.02491327|-1131.817578|3.8105|805.0|6.0942|6.0942
3g_a32|1|7.78113851|0|0.60942078|0.015803466|-0.072619634|0.05052381|-0.058985916|2.2144733530000003|-0.2816222539999999|0.001276735|-0.1154223269999999|10.31100273|-0.125170068|3|3|0.002565215|-0.074808287|-0.133675401|-0.563371932|0|0.833981748|-0.1015732219999999|0.802214256|0.786074011|-0.070213101|-0.098311343|0.273439311|-38.9071564|6.647498326|42.56199385|3.683575459|0.8007401590000001|-1.278047464|60.55421302|45.55465473|0.447358137|2271.746759|-708.2039051|1886.244271|-9.343731735|0.199259841|0.809490137|5058.622432|-392.4367329|21.05801434|0.01096673|-333.29803589999995|884.4366022|475.3634141|0.0|1.0|1.0|1.0|1.0|3.43|-7.29|7.02|5.42|110.94|2.18|0.0|3.0|-7.09|24.0|-4.9|354.49|0.0|0.0|4.61|-5.59|8.12e-08|2.88e-05|2.58e-06|5.02|0.0|3.5456|3.5456|-1712.060085|998.86|0.2859|495.4|0.70275|0.2859|-0.20065|0.02384763|-1711.919273|5.5816|14.0|7.8539|7.8539
12bb_a36|1|7.412764017000001|2|1.29704416|-0.07834963|-0.117921811|0.04625323|0.096309833|0.0|-0.444923056|-0.006877664|-0.018516159|10.96022185|-0.027636036|1|1|-0.004358975|-0.098027247|-0.250781298|-0.421445726|1|0.653741315|0.0534307559999999|0.892249657|0.632625562|-0.090660196|-0.114330726|0.314702945|-58.19935506|14.16769093|88.91215764|9.094955748|0.719294078|-1.943622342|88.14984373|72.36704599|0.4808928389999999|2902.055617|-1247.709262|2458.790147|-16.01935076|0.280705922|0.926384521|6285.088971|-800.967538|34.69260487|0.022984922|-281.5518699|1734.6302440000002|593.6088758|0.0|0.0|1.0|0.0|2.0|4.72|-7.12|3.55|3.0|69.2|2.78|0.0|5.0|-3.99|31.0|-6.8|417.41|0.0|1.0|2.44|-4.32|0.000102|0.0424|4.81e-05|2.88|0.0|5.2382|3.8001|-1431.4091|1120.72|0.4172|515.92|688.0|0.0736|-0.21175|0.03421884|-1431.238418|8657.0|0.01|8.0|8.0
4r_a46|0|7.832410927000001|1|1.13129629|-0.173617329|-0.074041799|0.044728682|-0.15196733|0.0|-0.141309389|0.006236535|-0.1129698999999999|10.96363493|-0.048758575|1|1|0.0061041|-0.055572881|-0.086905208|-0.246070691|2|0.7794598220000001|-0.077483502|0.8549242340000001|0.76719475|-0.079297367|-0.081339886|0.261414008|-42.06465252|6.071841742999999|176.18445569999997|3.220912917|0.7146312779999999|-1.220098292|51.22472631|48.13649426|0.456487948|2137.47734|-647.2221302999999|1451.6122289999998|-7.304896049|0.285368722|0.839885604|4775.760774|-343.3301143|19.26963463|0.015225417|-227.7097083|905.6728276|496.0386301|1.0|0.0|1.0|1.0|1.0|3.82|-6.25|3.56|3.43|63.83|1.52|0.0|3.0|-3.09|25.0|-6.83|334.41|0.0|1.0|2.7|-3.55|0.00081|271.0|0.000279|2.12|0.0|4.5209|4.5209|-1069.447946|986.04|0.1404|467.85|0.69085|0.1404|-0.2207199999999999|0.02826942|-1069.284137|3.5979|1413.0|5.8499|5.8499
SB431542_a8|1|7.535296702|1|1.401734117|-0.007805495|-0.1950388569999999|0.041909722|0.096884952|0.0|-0.721718925|-0.0075336219999999|-0.029382296|10.94951956|-0.0453332859999999|1|1|-0.005306541|0.055198015|0.089375589|-0.494976661|1|0.76592324|0.229470029|0.8220300859999999|0.7318727540000001|-0.128342313|-0.124595991|0.274152231|-76.82006387|20.78806656|170.1252996|12.44282236|0.7608280590000001|-2.242727845|89.64885355|97.60813043|0.476091179|2801.428659|-1342.398251|1947.072021|-17.46740332|0.239171941|0.908729075|6203.505123|-803.5005528|38.35632812|0.025179219|-312.2404091|1764.391093|529.053307|0.0|1.0|1.0|0.0|2.0|3.35|-6.76|3.13|2.72|112.23|1.9|0.0|4.0|-4.4|30.0|-7.04|400.39|0.0|0.0|2.58|-4.14|3.99e-05|16.0|7.28e-05|2.4|0.0|||||||||||||79.08|4.1019|4.1019
12d_a30|0|7.412764017000001|2|0.604984421|0.041181359|-0.033312179|0.042804233|-0.092984185|0.0|-0.354778373|0.005613018|0.036688757|10.31162861|-0.075816941|1|1|0.005965451|-0.053644471|-0.09353607|-0.4562256979999999|1|0.8414737059999999|-0.0430927579999999|0.8532172109999999|0.7991060659999999|-0.073829724|-0.094239701|0.366319099|-47.69710881|10.05700314|85.1932288|6.497247279|0.8143892140000001|-1.884794029|69.55534551|57.75411196|0.4572733479999999|2784.836855|-1217.656264|2323.480646|-15.12802292|0.185610786|0.84254817|6120.329513000001|-786.6571918999999|28.75340957|0.013424098|-406.2173266|1495.177298|686.039456|0.0|1.0|1.0|0.0|1.0|4.75|-7.01|4.35|2.93|81.65|3.04|0.0|5.0|-5.66|30.0|-5.81|412.51|0.0|0.0|2.91|-5.15|2.21e-06|0.0009119999999999|7.05e-06|4.23|0.0|3.4821|3.4821|-1615.095823|1176.22|149.0|545.94|0.68608|149.0|-0.1991|0.03187624|-1614.894406|4.8843|11.0|7.9508|7.9508
LY580276_a4|0|7.535296702|1|1.344599701|-0.156842923|-0.020236527|0.044357639|0.0295482979999999|0.0|-0.063298854|0.010217376|-0.172607392|10.94681614|0.011772853|1|1|0.009622161|-0.019747846|-0.042912895|-0.191806286|1|0.5162208110000001|0.035666446|0.847526918|0.518109998|-0.057317455|-0.071023484|0.243350596|-27.6229776|4.207217677|11.22286434|2.027582675|0.8478469959999999|-1.065352257|38.23432817|31.83019528|0.437093506|1948.220005|-513.4247728|1511.5340210000002|-6.511436537000001|0.152153004|0.7764939829999999|4098.640927|-247.4345884|15.93586849|0.008312438|-335.2755182|605.5630025|345.4102548|1.0|0.0|1.0|1.0|0.0|3.01|-6.56|4.49|4.43|30.71|3.13|0.0|2.0|-3.67|22.0|-5.71|293.34|0.0|1.0|3.69|-4.21|0.000213|0.0624|6.18e-05|3.35|0.0|5.2983|4.4918|-959.4958788|865.23|0.1905|402.99|0.68002|0.1842|-0.2099599999999999|0.023546627|-959.404416|3.2891|175.0|6757.0|6757.0
14f_a23|0|7.423568444|0|1.197963246|-0.002304087|-0.027380305|0.04255787|0.056215377|0.745818086|-0.373510774|0.010561248|-0.0555907109999999|10.3132176|-0.041351617|2|2|0.010508236|-0.110069159|-0.199540201|-0.399688849|2|0.756252127|0.070514687|0.854683662|0.71381683|-0.059927056|-0.084419703|0.2096108239999999|-40.51498423|18.34483401|96.47955427|12.40242234|0.665778294|-1.603974359|74.08536976|58.85981824|0.478733036|3014.916135|-1084.401604|2322.5224120000003|-14.37516058|0.334221706|0.918402793|6768.918745|-733.1331894|31.93672236|0.025162423|-224.1560124|1628.77284|683.7405759|0.0|1.0|1.0|1.0|1.0|3.57|-7.51|3.42|4.03|114.25|2.72|0.0|6.0|-5.63|32.0|-6.47|441.51|0.0|0.0|3.46|-5.02|2.32e-06|0.0010199999999999|9.57e-06|3.55|0.0|5.8184|3.5753|-1744.452086|1210.19|0.2462|572.35|0.6733399999999999|0.1699|-0.21743|0.02255331|-1744.2443850000002|9.1089|2.0|8.6459|8.6459
16_a20|1|6.842683282|0|1.401259527|-0.014660441|0.00695144|0.0388043479999999|0.126359252|2.013871268|-0.254072625|8.23e-05|-0.061975089|10.93301779|-0.062750442|1|1|0.001157852|-0.070208458|-0.117308016|-0.458484451|2|0.7582110409999999|-0.085041518|0.809440795|0.724665638|-0.066137353|-0.077793092|0.382481746|-43.51359744|7.634605066000001|69.28224942|5.023018225|0.780108103|-1.47806874|60.02453683|51.14820251|0.464473378|2722.728332|-972.4623811|2161.751186|-12.79619894|0.219891897|0.8673208|5896.394536|-639.8099471|24.9314775|0.013439632|-368.5817657|1246.573875|664.4562602999999|1.0|1.0|1.0|1.0|1.0|3.5|-10.52|6.38|5.46|78.25|2.2|0.0|4.0|-6.06|31.0|-5.42|401.46|0.0|0.0|4.37|-5.66|8.68e-07|0.000349|2.17e-06|4.69|0.0|5.9837|3.5704|-1275.900951|1174.61|0.3431|554.41|0.69524|0.1958|-0.20722|0.03385502|-1275.6960869999998|6.5609|26.0|7585.0|7585.0
