molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nARing|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC7i|AATSC1i|BIC2|MATS8s|nFaHRing|RASA|FNSA3|PBF|FPSA3|PNSA3|PPSA3|TPSA_x|WPSA3|WNSA3|GeomPetitjeanIndex|GRAVp|PNSA2|FPSA1|GeomRadius|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|PPSA5|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|E solv. Water  (Hartree)|Gibbs Free Energy|pIC50
6_a47|0.0|0|0|0|0.0|0.0|0.0|0|0.0|-0.008723045|0.0|2|-0.14404966|-0.392537045|-0.010708889|0.051455447|10.93671042|0.0402365489999999|0|-0.302730533|-0.04324355|0.786041178|-0.149904224|1|0.8419184120000001|-0.080118846|0.446564415|0.009820713|-43.43026699|5.323543706000001|85.6917678|2.885749555|-23.54237714|0.4059072379999999|2431.668154|-838.6054381|0.205609194|6.480620646|-454.5854048000001|25.13472712|-319.1626428|1055.658539|469.7495559|8.348196185|1.0|1.0|2.91|0.05|-9.06|5.24|58.04|2.0|0.0|106.47|3.0|4.0|379.81|0.0|1.0|-5.79|9.53e-07|0.000362|1.63e-06|0.000619|0.0|0.0|3.310000000000001e-07|-0.05354|5.5188|4.69|3.7196|576.56|990.85|333.32|422.9|0.30468|0.03288085|-1608.554019|7.9
8e_a8|0.0|1|0|0|3.01599663|0.0|7.05012252|0|1.311619189|-0.010579355|4.844187086|0|-0.000766016|-0.539547088|-0.005310149|-0.102167262|10.94332438|-0.051339286|1|-0.0015448089999999|0.183313231|0.7233950809999999|0.02023118|0|0.661490276|-0.115572516|0.280304418|0.0211004739999999|-70.49962428|12.87136047|206.4920729|7.851573274|-43.00500847|0.483244415|2692.975753|-1286.50794|0.196692764|7.50719734|-784.77418|33.36487904|-370.0368722|1601.514194|561.882658|11.25022336|0.0|0.0|2.98|0.04|-7.78|4.33|90.11|2.0|0.0|111.81|5.0|4.0|403.41|0.0|0.0|-4.9|5.34e-06|0.00215|1.25e-05|0.00504|0.0|0.0|6.63e-06|-0.06253|4.6303|7.22|3.2737|639.38|1090.07|378.73|526.86|0.50055|0.03298991|-1376.766245|4.7014
12bi_a36|0.0|1|0|0|3.466222049|0.0|7.412764017000001|2|0.0|-0.00902707|5.351858133|2|0.03474497|-0.559678363|0.000482522|-0.067142264|10.95958518|0.041834838|1|0.056936052|-0.289604649|0.812921349|0.0997949019999999|0|0.7850011179999999|-0.082914301|0.382000949|0.034602166|-57.89562053|24.16125901|150.12481100000002|16.87080604|-40.42611289999999|0.461975362|3044.149713|-1127.129336|0.500339677|8.454426643|-787.0277122|38.89295091|0.474365004|2255.791153|766.4854363|26.24794923|1.0|1.0|0.0|0.21|-6.79|2.83|87.66|1.0|0.0|136.74|7.0|6.0|441.49|0.0|0.0|-4.15|7.75e-05|0.0342|7.13e-05|0.0315|0.0|0.0|7.11e-05|-0.0510199999999999|3.8855|2.68|3.6851|742.94|1256.37|336.45|603.92|0.68181|0.0318395999999999|-1461.75632|7.8539
1b_a5|0.0|1|0|0|2.881451247|0.0|6.605297921|0|0.0|-0.00279809|4.59511985|2|-0.095857885|-0.111923619|0.003886035|0.001241264|10.94890233|-0.028797464|1|-0.220946861|0.045204303|0.759794937|0.122747292|0|0.808828623|-0.07823203|0.341795323|0.010803163|-39.38248661|5.438378717999999|96.23685048|2.737713392|-19.82538668|0.474445758|2171.716467|-583.1091414|0.267518749|6.11909445|-293.5407385|21.51550842|-234.0649914|796.0738116|357.34245360000006|9.680212283|1.0|1.0|1.81|0.0|-8.3|4.88|54.46|0.0|0.0|90.44|3.0|4.0|316.33|1.0|1.0|-4.3|0.000106|0.0336|4.970000000000001e-05|0.0157|0.0|0.0|1.58e-06|-0.04135|4789.0|3.1|4.6481|536.59|892.61|266.74|388.58|0.5153800000000001|0.03246637|-1050.462425|7.2291
7d_a10|0.0|0|0|0|0.0|0.0|7.535296702|1|2.087763133|-0.00179944|5.4161004020000005|2|-0.042667459|-0.0845736919999999|0.00870171|-0.071185424|10.929819300000002|-0.0325418129999999|1|-0.09209689|-0.089622042|0.809056885|0.0658971929999999|1|0.841052067|-0.059327943|0.421731106|0.010495008|-31.47566249|5.567989142999999|84.32774259|2.9540236560000004|-16.69900016|0.484115691|2348.343588|-564.2395741|0.270414577|6.100927672|-299.34991010000005|17.98535187|-243.607074|773.3701306|460.1866123|7.468948447000001|1.0|1.0|3.21|0.19|-7.83|4.92|43.6|1.0|0.0|100.04|2.0|4.0|344.38|1.0|1.0|-4.72|5.98e-05|0.0206|1.9e-05|0.00654|0.0|0.0|5.04e-06|-0.05634|5.8433|3.49|3.8856|574.87|970.29|319.09|417.68|0.32059|0.02250617|-1129.0552810000002|6.0325
1o_a5|0.0|1|0|0|2.923171926|0.0|6.605297921|0|0.0|-0.002633927|4.59511985|2|-0.033273504|-0.1079910069999999|0.0057302559999999|-0.102739602|10.94518594|-0.008511304|1|-0.05876042|0.06759341|0.78144982|-0.003561205|0|0.88430372|-0.079346457|0.447318682|0.01325562|-42.63505279|7.122612351|62.16682117|3.827177229|-22.90899675|0.470590799|2238.291862|-587.4579645|0.300086449|7.522366517000001|-315.657463|22.08761368|-214.8381946|839.3293197999999|393.5487205|10.95092849|1.0|1.0|2.2|0.0|-8.11|4.48|78.25|0.0|0.0|95.2|3.0|4.0|323.35|0.0|1.0|-4.08|8.329999999999999e-05|0.0269|8.340000000000001e-05|27.0|0.0|0.0|2.54e-06|-0.07037|4.5011|2.66|4.1692|561.04|938.37|297.38|443.88|0.4988899999999999|0.04126499|-1043.472984|7.4559
27_a47|0.0|0|1|1|0.0|0.0|6.842683282|1|2.041063341|-0.003631596|4.727387819|3|-0.067535989|-0.207000956|0.001861676|0.0427469459999999|10.95005714|0.013336016|1|-0.137440913|-0.157688306|0.804224077|0.0436226579999999|1|0.846469886|-0.0630454209999999|0.337815064|0.016506051|-40.35526807|10.56549582|98.27436776|6.762956126000001|-25.8313393|0.475450742|2804.020752|-966.6860481|0.299267237|7.083168776|-618.7741154|26.02898047|-256.9774086|1379.535965|682.9868225|12.14264461|1.0|1.0|3.52|0.26|-8.82|4.18|67.66|2.0|0.0|125.17|5.0|5.0|436.91|0.0|1.0|-5.05|1.5399999999999998e-05|0.00674|8.89e-06|0.0038799999999999|0.0|0.0|6.55e-07|-0.05814|4.9358|2.97|3.8125|673.27|1165.54|325.21|517.82|0.40976|0.02633483|-1777.891054|5.6
18a_a22|0.0|0|0|0|0.0|0.0|6.842683282|0|1.854982521|-0.003488994|4.727387819|2|0.033735832|-0.19538364|0.007066388|-0.021976395|10.31286146|-0.015194063|1|0.059645624|-0.147724859|0.7329701259999999|-0.042139855|1|0.926535704|-0.050645213|0.573315195|0.01713283|-34.36220678|11.62443251|49.84469832|7.887046626|-23.31437056|0.487405342|2898.068989|-1032.92859|0.289532802|7.037677899|-700.830423|27.95908297|-285.5992506|1453.872315|730.9420477000001|13.15449139|1.0|1.0|3.17|0.08|-9.4|5.32|100.61|2.0|1.0|131.64|6.0|4.0|436.53|0.0|1.0|-5.16|2.59e-06|0.00113|6.98e-06|0.00305|0.0|0.0|1.73e-07|-0.0706799999999999|5.0214|3.69|3.4832|695.35|1211.84|355.95|531.16|0.35107|0.01932946|-1691.097989|7.8861
8a_a50|0.0|1|1|1|3.139870661|0.0|7.860570786|1|2.03117465|-0.00439531|5.777652323|1|-0.0224366579999999|-0.188998337|0.007671336|-0.150515325|10.94501357|-0.058014797|2|-0.038971589|-0.11385159|0.804535572|-0.188882361|1|0.860876738|-0.069208148|0.278028663|0.018809422|-34.88425666|9.480859015|70.12485884|4.778811898|-17.58335405|0.46183401|2206.356773|-622.2739931|0.248584287|5.754657432|-313.6562159|21.23424244|-253.4513797|828.1354551|388.171611|8.577560914|1.0|1.0|2.01|0.11|-6.32|3.63|59.39|0.0|0.0|94.75|2.0|3.0|313.36|1.0|1.0|-4.13|0.000138|0.0433|7.48e-05|0.0234|0.0|0.0|0.000151|-0.0280699999999999|5.622000000000001|2.69|4.1738|548.47|912.7|297.06|396.63|0.3462199999999999|0.03479985|-1006.557694|7.3279
15_a47|0.0|1|1|1|2.9226792460000004|0.0|6.605297921|0|0.0|-0.00516949|4.59511985|2|-0.130885389|-0.21194909|-0.0026314909999999|0.086682657|10.9497222|0.0506476009999999|1|-0.299654464|-0.017562097|0.830688568|-0.131424138|1|0.791753677|-0.084413593|0.429825305|0.016669157|-45.1562696|8.917011222000001|111.3994409|4.770072524|-24.15592798|0.477646539|2327.320914|-677.0708068|0.288369895|6.984778596|-362.1927541|25.03780079|-226.4191275|951.4364299|383.4213189|11.43190096|1.0|1.0|2.1|0.06|-8.49|4.69|66.49|2.0|0.0|96.6|3.0|4.0|353.78|0.0|1.0|-4.85|1.29e-05|0.00455|1.41e-05|0.00499|0.0|0.0|1.14e-06|-0.0591799999999999|4.3312|3.33|4.0594|552.16|930.51|305.43|419.75|0.67203|0.03425526|-1527.316555|7.8
12s_a30|0.0|0|0|0|0.0|0.0|7.412764017000001|2|0.0|-0.007621736|5.351858133|2|-0.0601024909999999|-0.403952011|-0.002544958|-0.035768573|10.31162892|-0.04950715|1|-0.1597740919999999|-0.145315868|0.83236194|0.006789196|0|0.706713791|-0.090733404|0.404041243|0.019324097|-58.75255278|12.51292194|189.9114627|8.102485674|-38.04400919|0.467381416|2977.11642|-1275.175837|0.209518167|8.066744794|-825.7139305|32.92168852|-376.1910929|1613.162737|616.2856203|11.26623|1.0|0.0|0.0|0.14|-7.16|4.67|81.65|2.0|0.0|127.19|5.0|6.0|434.46|0.0|0.0|-5.17|3.24e-06|0.00141|6.71e-06|0.00291|0.0|0.0|3e-05|-0.0551|5.0438|4.32|3.5348|677.35|1140.1|350.75|526.07|0.43338|0.03401064|-1774.072418|8129.0
14c_a23|0.0|0|1|1|0.0|0.0|7.423568444|0|3.349976042|-0.005822256|5.351858133|2|0.04174584|-0.296935034|0.010682694|-0.047853455|10.31321813|-0.047410593|2|0.077009731|-0.13187015|0.793551289|0.1114214519999999|1|0.922935039|-0.0567889659999999|0.2273163289999999|0.018842596|-37.73933093|12.52192141|51.21382308|8.321492112|-25.07982076|0.459622824|2955.304496|-1063.401832|0.2165924689999999|7.832948614|-706.6878684999999|28.88097191|-376.6791777|1357.40568|633.3278634|10.88903141|0.0|1.0|3.6|0.05|-7.99|4.0|105.02|2.0|1.0|125.29|5.0|4.0|445.93|0.0|0.0|-5.55|7.49e-07|0.000334|2.83e-06|0.00126|0.0|0.0|4.55e-06|-0.0795299999999999|3.7031|4.1|3.7031|693.64|1177.63|334.81|549.86|0.56781|0.02236136|-2089.354057|8.6253
7_a4|0.0|0|0|0|0.0|0.0|7.535296702|1|2.060422336|-0.001729561|5.4161004020000005|2|-0.07290303|-0.076100699|0.008409909|-0.125778587|10.92992954|0.04206117|1|-0.162314698|-0.094000778|0.8046449179999999|0.022270259|1|0.825830607|-0.0650223009999999|0.470973822|0.01470626|-32.72992462|7.402610584|87.67070691|3.726212114|-16.47508541|0.437317462|2286.169166|-538.2610657|0.282008333|5.512905888|-270.9415659|18.74189807|-219.4585767|749.6759227000001|407.1471338|8.456594282000001|1.0|1.0|2.7|0.15|-7.46|4.42|43.6|0.0|0.0|95.07|2.0|4.0|330.36|1.0|1.0|-4.41|0.000156|0.0514|3.92e-05|13.0|0.0|0.0|1.15e-05|-0.05217|4.0379|2.91|4.0379|538.92|915.46|307.05|365.73|0.59702|0.02317758|-1089.753885|6821.0
15_a4|0.0|0|0|0|0.0|0.0|7.535296702|1|1.956386054|-0.001986535|5.4161004020000005|1|0.0432718859999999|-0.077474847|0.009823083|-0.1979518539999999|10.94611612|0.022446689|1|0.097046535|-0.038707204|0.772721853|0.095534883|0|0.867716376|-0.062151785|0.2517542889999999|0.010893057|-29.80513879|5.223809291|63.43714456|2.505098786|-14.29317436|0.437696617|1973.978183|-530.4242358|0.156108698|5.459799482|-254.3670787|17.45960235|-329.8289177|628.5456843999999|324.5687005|4.672449937|1.0|0.0|3.01|0.11|-6.09|4.09|30.71|0.0|0.0|85.06|2.0|3.0|291.32|1.0|1.0|-4.28|0.000152|0.0443|5.19e-05|0.0151|0.0|0.0|0.000235|-0.03539|4.5048|3.8|4.2148|512.65|848.47|294.16|396.58|0.4778699999999999|0.018092091|-958.195344|6757.0
22_a20|0.0|0|0|0|0.0|0.0|6.842683282|0|1.915285809|-0.00147607|4.727387819|2|0.09301076|-0.079707783|0.009265667|-0.066832578|10.93106272|-0.038668966|1|0.155407313|-0.060582944|0.7478675859999999|-0.044184455|1|0.946515026|-0.059893667|0.425968568|0.0122876139999999|-39.00017609|8.001165067999999|34.8271111|5.21001405|-25.39523478|0.477376285|2738.108259|-882.9300756000001|0.22936173|7.408914181|-574.9260339|22.91425458|-352.4559681|1145.712729|664.4562602999999|8.759421782|1.0|1.0|3.41|0.08|-9.69|5.33|67.39|2.0|0.0|121.62|4.0|4.0|401.46|0.0|1.0|-5.53|2.48e-06|0.000997|2.98e-06|0.0012|0.0|0.0|8.199999999999999e-08|-0.0568|5.5591|4.07|3.9732|694.15|1181.95|312.05|563.43|0.38233|0.03226475|-1275.657902|6.6364
