molecula|NaaNH|SaaNH|SRW09|nAHRing|nARing|MATS2c|AATSC1c|JGI4|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|AATSC1pe|MATS1i|AATSC1i|MATS1c|MATS8d|SIC2|GATS1pe|RASA|FNSA3|FNSA5|PNSA5|RNCS|RPSA|TPSA_x|WNSA5|RPCS|FNSA2|DPSA5|PNSA4|DPSA3|GRAVp|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|PPSA1|WNSA2|FPSA5|Mor01p|PPSA5|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
4c_a46|0|0.0|7.825245291|1|1|-0.068543882|-0.005085922|0.0440307329999999|0.0|-0.300069396|0.010177371|10.94298307|-0.068256579|0.010040825|-0.056422062|-0.083788154|-0.421467037|-0.0976963169999999|0.761921603|0.65145414|0.890777395|-0.063644365|-0.087503927|-55.2981278|35.22734468|0.109222605|69.02325225|-34.9456654|53.13410852|-1.662574604|60.67664538|-18.76186479|49.01980408|2455.604167|562.9269925|2487.942529|-11.85656505|7.172412106|13.06174141|100.6356847|-663.9676426|0.008510983|696.2528933|5.378517586|0.0|1.0|0.0|3.8|0.38|-7.62|5.11|57.01|3.4|2.0|0.0|115.03|0.0|5.0|-5.55|29.0|4.0|1.0|0.0|4.44|2.8e-06|0.00109|5.3e-06|0.0|0.0|9.32e-06|-0.04381|6.38|-1245.392965|683.75|1176.07|617.56|0.42391|0.6986600000000001|-1245.114575|0.2083|-0.17085|4.1039|0.02299741|-1245.176359|2008.0|5.6972|5.6972
3j_a32|1|3.564417045|8.234564993|0|1|0.0053427669999999|-0.006580847|0.037373737|2.248764828|-0.269814716|-0.000202965|10.31100276|-0.052622352|0.001173363|-0.052818794|-0.097980957|-0.528541012|-0.084553991|0.8884057059999999|0.7557114|0.865101945|-0.070289671|-0.095013178|-50.46105839|47.55031019|0.134898055|71.64373163|-26.79963418|0.0|-1.140158136|58.58770587|-16.36574867|44.64569478|2282.569698|459.4516326|1778.1826620000002|-8.691773249|5.900829539|10.69497519|133.42496409999998|-321.5956102|0.015301673|398.2788055|8.126647477|1.0|1.0|1.0|3.0|0.24|-6.69|6.68|110.94|1.94|1.0|0.0|95.74|0.0|3.0|-5.92|23.0|3.0|0.0|1.0|4.09|1.21e-06|0.0004089999999999|1.58e-05|0.0|0.0|6.86e-05|-0.05361|3.02|-1671.479105|564.55|934.19|405.19|0.7028|0.7028|-1671.351322|0.3005|-0.14498|3.6238|0.02833407|-1671.402462|8.0|8.0969|8.0969
12_a47|1|2.903215905|6.605297921|0|0|-0.155854903|-0.005522244|0.036632997|1.555521837|-0.209845277|-0.0047488359999999|10.95005729|0.0295267039999999|-0.004332024|-0.006318684|-0.015039637|-0.326846977|0.050943962|0.90246604|0.618808977|0.7840710409999999|-0.084846808|-0.091853238|-47.83891561|63.89392714|0.2159289589999999|112.4599133|-24.91541818|0.0|-1.1940921|61.09751253|-17.76874008|53.5720844|2266.78114|408.3591283|702.3796319|-9.25429818|7.042279354|13.52358352|166.28511369999998|-323.9004363|0.025457205|335.1175012|13.25859692|1.0|1.0|2.0|1.67|0.0|-8.11|4.19|66.49|2.6|0.0|0.0|91.63|0.0|3.0|-4.51|24.0|4.0|1.0|1.0|3.37|3.11e-05|0.0106|2.77e-05|0.0|0.0|2.61e-06|-0.0623|3.01|-1488.064043|537.79|886.46|400.09|0.66387|0.68557|-1487.974738|0.2241|-0.1633|2.1019|0.03721125|-1488.024564|6.0|8.2|8.2
11b_a50|0|0.0|7.927685046000001|1|1|-0.154649459|-0.002908227|0.038040936|2.114272566|-0.13377846|0.011959339|10.94500697|-0.133073229|0.012037198|-0.162848233|-0.277408878|-0.266743077|-0.20645662|0.862408925|0.667956827|0.931316325|-0.0445367309999999|-0.069841183|-36.43643854|7.949039772000001|0.068683675|35.832562100000004|-19.0090431|86.04123302|-1.047617742|47.72173991|-13.01301376|33.38515735|2286.724895|485.8716402|1650.235214|-6.788943965|5.697537591000001|9.979494111|186.7429782|-285.1356465|0.021631609|439.9973344|11.28530137|0.0|1.0|0.0|2.84|0.15|-5.87|3.09|48.53|2.25|0.0|0.0|99.65|0.0|2.0|-3.58|25.0|3.0|1.0|1.0|2.96|0.000263|0.0862|6.97e-05|0.0|0.0|0.000441|-0.02817|3.05|-1045.961211|560.06|955.4|431.63|0.53885|0.64477|-1045.798634|0.0711|-0.16684|2.7805|0.02113855|-1045.849774|1.7|5.7696|5.7696
12at_a36|1|3.4361495580000003|7.412764017000001|2|2|-0.04229234|-0.010886502|0.039952719|0.0|-0.653190113|-0.001148437|10.95446888|-0.037590959|0.000906224|-0.136151085|-0.227404687|-0.48127276|-0.063825255|0.890810337|0.7767870459999999|0.751856692|-0.084721769|-0.110637955|-76.61315774|95.16663336|0.248143308|171.8311073|-53.05210062|80.75773169|-2.102121151|95.60375457|-25.99374995|79.10595873|3041.832389|520.6361161|2388.600265|-17.99981985|8.837213274|17.44496351|225.4381077|-1007.989912|0.027424543|735.3783268|18.99059683|0.0|0.0|2.0|0.0|0.17|-6.62|2.7|95.5|1.89|1.0|0.0|135.03|0.0|7.0|-4.18|33.0|6.0|0.0|0.0|1.76|6.579999999999999e-05|0.0289|8.36e-05|0.0|0.0|0.000106|-0.05703|4.5|-1460.797444|733.29|1238.61|589.75|0.42968|0.6802600000000001|-1460.549244|0.2076|-0.15607|6.4676|0.03651452|-1460.61293|78.0|7.1079|7.1079
12b_a50|0|0.0|7.927685046000001|1|1|-0.19841119|-0.002929899|0.034845679|2.112397566|-0.125985651|0.01164808|10.94501743|-0.115659308|0.011790103|-0.168032508|-0.291865836|-0.246831987|-0.189976035|0.8718949979999999|0.660148928|0.925916085|-0.045602469|-0.066155918|-33.25880166|8.07905572|0.074083915|37.24447201|-16.72031641|86.49656508|-0.926182858|47.12729492|-11.93905701|33.72918462|2224.116359|465.4891075000001|1446.231761|-6.002164865|5.7232816060000005|10.05480253|214.5713436|-234.0844297|0.027586169|388.171611|13.86849326|1.0|1.0|0.0|2.45|0.11|-5.49|2.59|48.53|2.02|0.0|0.0|94.69|0.0|2.0|-3.16|24.0|3.0|1.0|1.0|2.59|0.000685|215.0|0.000144|0.0|0.0|0.00101|-0.02974|2.47|-1006.641541|539.15|909.8|401.64|0.6016199999999999|0.6581|-1006.501585|0.0777|-0.16451|4.0567|0.02307802|-1006.550688|4.74|5.3242|5.3242
11c_a5|1|2.930680267|6.605297921|0|0|-0.2117133739999999|-0.004590583|0.027388889|0.0|-0.224938556|0.005090155|10.94877953|-0.023856811|0.005383056|-0.011677718|-0.018887528|-0.269653478|-0.044126759|0.86113162|0.658307423|0.80472351|-0.078909483|-0.0873419269999999|-53.12487972|31.61751609|0.19527649|118.7750305|-32.31269264|4.089828494|-1.484812761|66.02857181|-19.63310772|58.854300300000006|2497.685314|489.4652669|926.234805|-11.94164728|8.88462927|16.09582374|178.1902995|-549.3157749|0.021214793|523.8031619|12.90369209|1.0|1.0|1.0|2.14|0.09|-8.47|4.79|80.76|1.13|1.0|0.0|106.79|0.0|6.0|-4.13|28.0|5.0|0.0|1.0|3.0|7.38e-05|0.0273|7.950000000000001e-05|0.0|0.0|1.26e-06|-0.04315|4.53|-1218.454079|636.14|1071.71|512.32|0.60118|0.6267699999999999|-1218.278135|0.2186|-0.1713299999999999|2.5278|0.03798847|-1218.336116|25.0|7.6021|7.6021
4_a38 (LY-2157299)|0|0.0|7.535296702|1|1|0.050460026|-0.00638266|0.041252955|1.721297609|-0.325515636|0.002865697|10.9277672|-0.020954339|0.003107816|0.028964355|0.0481706809999999|-0.463575124|-0.032369326|0.868207983|0.6848692759999999|0.754313773|-0.092570349|-0.089446059|-51.11565158|260.7739337|0.2456862269999999|140.40206619999998|-29.21101111|71.22674185|-1.520583011|58.99645489|-18.48863993|60.00582329|2501.945802|431.0669496|1686.693134|-10.56568487|6.54753874|12.76426621|122.2274724|-496.5871888|0.01379043|542.7276591|7.880803302999999|1.0|1.0|1.0|2.6|0.18|-7.13|3.69|86.69|1.84|1.0|0.0|108.18|0.0|3.0|-3.85|28.0|4.0|0.0|1.0|2.81|0.0001409999999999|52.0|0.000102|0.0|0.0|2.75e-05|-0.06|3.95|-1198.64695|617.61|1048.31|449.44|0.4|0.68|-1198.442536|0.06|-0.16|5.9043|0.03652312|-1198.49738|69.0|7.1586|7.1586
6a_a40|0|0.0|8.421342866|1|2|0.117890918|-0.014623575|0.035707071|0.775942224|-0.68730803|-0.001347823|10.30179985|-0.230955427|-0.001171195|-0.021759541|-0.040435852|-0.620787469|-0.340539542|0.861720535|0.657059571|0.733750993|-0.109047987|-0.117413572|-73.33687786|185.06174|0.266249007|166.2999483|-45.80643937|36.84483305|-2.113444291|81.37714586|-30.69915817|78.35465194|2936.1501780000003|458.303126|2536.88262|-19.17478857|6.945713476|11.8691482|82.54016015|-824.5159087000001|0.012872604|557.4018948|8.040268001|0.0|1.0|1.0|3.01|0.21|-4.05|4.38|173.43|1.62|2.0|2.0|120.14|1.0|5.0|-7.11|29.0|5.0|0.0|1.0|3.17|7.85e-08|3.47e-05|1.03e-05|1.0|0.0|0.0396|-0.0926|7.73|-2371.560378|649.48|1103.4|497.78|0.6782699999999999|0.6782699999999999|-2371.3827|0.4015|-0.11995|6.9379|0.01952089|-2371.443161|0.04|7.3979|7.3979
4S4l_a46|0|0.0|7.825245291|1|1|-0.058870177|-0.004736212|0.049498645|0.0|-0.255755434|0.0066560469999999|10.94631401|-0.161358058|0.006162668|0.0071939419999999|0.010799648|-0.3888343979999999|-0.229089688|0.762625193|0.7936534740000001|0.894782107|-0.090807851|-0.084663086|-46.10883478|178.19783940000002|0.105217893|57.30330315|-25.11158939|0.0|-1.523935543|49.6055056|-16.27370639|53.34424204|2166.052483|487.3122681|1744.8220399999998|-8.862913904|5.668394116|10.68377935|66.47624804|-452.0086091|0.006420439|579.2365607|3.496670823|1.0|1.0|1.0|3.19|0.36|-7.0|4.64|50.94|3.06|1.0|0.0|105.77|0.0|3.0|-5.28|26.0|3.0|1.0|1.0|4.08|5.25e-06|0.00182|7.78e-06|0.0|0.0|3.47e-05|-0.02015|4.99|-1092.727031|583.76|1040.96|500.66|0.57885|0.6763600000000001|-1092.489558|0.0614|-0.17632|2.5083|0.02696794|-1092.543641|261.0|6.5834|6.5834
