molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GRAVp|PNSA2|WNSA4|FPSA1|GeomDiameter|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
10_a32|1|1|1|3.294952523|0|7.765993078999999|0|0|0.6094207629999999|0.153272514|-0.016404762|5.733341277|-0.087497559|0|0.03995614|-0.020186906|-0.771023817|-0.0064007569999999|10.31100271|3|-0.03673326|-0.1260956869999999|-0.690879647|0|0.809370315|-0.079818594|0.915639476|0.764217655|1|0.7622839570000001|-0.088310158|-0.1223816869999999|-54.55170955|-75.59866726|15.91131724|57.97512956|0.237716043|146.8439966|52.24660367|0.6946347429999999|-1.7133436169999998|91.10767604|-24.0541214|2649.882742|-1058.381342|-14.85891856|0.305365257|12.86809583|-653.7924168|34.62844557|0.025106509|1523.651605|15.50900878|1.0|0.0|1.0|1.0|1.0|2.0|3.56|3.12|0.22|19.0|-6.99|149.27|0.88|1.0|107.14|7.0|-6.04|-6.44|399.49|3.42|9.17e-07|0.0155|3.23|0.0|1.0300000000000001e-07|4.13e-05|3.6441|4.12|3.6441|-1916.631761|654.7|1086.09|340.24|0.70228|0.70228|0.2983|-0.15088|0.03701539|-1916.519894|7.0|8.1427
3d_a49|0|0|0|0.0|1|7.535296702|1|1|0.406515615|-0.0960135969999999|-0.003398408|5.4161004020000005|-0.3456333889999999|2|0.036335697|-0.087308534|-0.173318804|-0.00918253|10.35020259|1|-0.149675594|-0.075636705|-0.202380888|2|0.914407252|0.029549308|0.863438637|0.846953747|1|0.733071652|-0.099295364|-0.094384452|-57.52001036|-54.67520803|5.561916586000001|137.78978830000003|0.266928348|154.6267696|0.0|0.756622045|-1.698920144|65.59130031|-20.93944137|2809.9605100000003|-984.1537446|-12.12984007|0.243377955|12.87442833|-570.1024832|27.67490257|0.018844179|1300.720421|10.91609228|1.0|0.0|0.0|1.0|1.0|3.0|3.29|0.0|0.15|21.0|-6.15|121.39|1.07|1.0|111.41|4.0|-5.19|-6.58|392.45|1.85|6.42e-06|0.0142|2.98|0.0|7.1e-07|0.000278|5.1844|4.02|3.8907|-1594.552258|615.3|1044.19|239.15|0.3523699999999999|0.67215|0.0931|-0.16147|0.04373784|-1594.435881|2.34|5.6308
12b_a5|0|0|0|0.0|0|6.605297921|2|2|1.189701783|-0.297319874|-0.001991527|4.59511985|0.023224044|3|0.0252713179999999|-0.021265946|-0.1214831359999999|0.0068803119999999|10.94620104|0|-0.033279992|-0.070406884|-0.1708042239999999|2|0.8417504029999999|-0.033036296|0.819417554|0.8121510009999999|0|0.827613693|-0.066227158|-0.068586754|-41.76622313|-43.25430513|10.44150403|138.67264319999998|0.172386307|108.7155967|0.0|0.530379611|-1.165974822|59.53145615|-12.90040679|2602.046823|-735.3231872|-8.135654442|0.4696203889999999|16.16438947|-463.7323032|24.32296891|0.025810077|1386.409228|16.27715102|0.0|1.0|0.0|1.0|1.0|1.0|4.05|0.0|0.33|18.0|-7.67|50.28|1.54|1.0|123.46|5.0|-2.3|-7.57|397.47|1.44|0.00503|143.0|1.63|0.0|2.14e-08|8.5e-06|4.6156|2.24|1.4454|-1276.8943800000002|669.05|1149.51|268.62|0.42949|0.70615|0.0001|-0.06212|0.03447919|-1276.9984029999998|42.0|7.3768
12aa_a30|0|0|0|0.0|0|7.412764017000001|2|2|0.604983643|-0.101407312|-0.008848121|5.351858133|-0.028524865|2|0.043854875|-0.014017531|-0.539735362|0.003529389|10.31162784|1|-0.023695642|-0.12254489|-0.394520145|1|0.8397577820000001|-0.012535889|0.855880335|0.794193541|0|0.8126513129999999|-0.078042288|-0.101368383|-54.50378741|-70.79444906|21.58471858|55.0567406|0.1873486869999999|130.84205079999998|0.0|0.630759573|-1.925999268|91.51563481|-23.59814969|3115.249471|-1345.094532|-16.48066156|0.369240427|16.21199661|-939.3977091|37.41227352|0.029670025|2132.499591|20.72118575|1.0|0.0|1.0|1.0|1.0|1.0|4.86|0.0|0.21|17.0|-6.83|100.11|2.2|2.0|140.26|7.0|-5.61|-6.39|458.54|2.52|2.47e-06|0.00456|3.81|0.0|1.47e-07|6.720000000000001e-05|5.1925|3.34|3.4642|-1804.784381|748.78|1275.73|238.78|0.30341|0.68642|0.1506|-0.1472099999999999|0.03443621|-1804.582558|8.0|8.1135
13f_a6|1|0|0|3.440154557|0|6.842683282|0|0|1.429020649|-0.088329567|-0.006930367|4.727387819|-0.008507023|2|45.0|0.04505613|-0.381170169|-0.003356527|10.95053349|1|0.079490516|-0.126749697|-0.466314952|2|0.841211811|-0.088948538|0.834167942|0.790249345|1|0.863222493|-0.073352505|-0.092939631|-49.2635105|-62.41821579999999|12.46087045|62.42897239999999|0.136777507|91.85971442|0.0|0.720711855|-1.672913351|75.61173794|-22.02995852|2869.925064|-1123.527884|-14.79531062|0.279288145|15.13042752|-754.5608419|30.56694343|0.0196449239999999|1558.914115|13.19352214|1.0|1.0|1.0|1.0|1.0|2.0|3.56|2.21|0.08|27.0|-10.18|103.17|0.92|1.0|123.82|5.0|-5.11|-6.52|417.47|3.19|7.74e-06|0.00688|3.27|0.0|6.59e-11|2.75e-08|4.8413|3.36|3139.0|-1347.266914|711.29|1202.78|256.1|0.49643|0.70541|0.0048|-0.12805|0.03437105|-1347.0794119999998|42.0|7.3768
5b_a49|0|0|0|0.0|1|7.853604813|2|2|1.343848745|0.1108916119999999|-0.007610481|5.777652323|0.006327273|2|0.034466231|-0.072128552|-0.418576471|0.005836378|10.9297646|1|-0.12209302|-0.13632743|-0.515894968|2|0.6981815290000001|0.099724518|0.839963111|0.666573331|1|0.7969332440000001|-0.0698098759999999|-0.076494119|-41.03213895|-44.96093486|11.94347454|170.0796998|0.203066756|119.3565117|69.07083505|0.608694741|-1.300400018|59.85065205|-15.28671785|2764.188493|-764.3358925|-8.985071494|0.3913052589999999|11.94760614|-449.2535747|25.1139312|0.025332565|1255.69656|14.88971719|0.0|1.0|1.0|1.0|1.0|1.0|3.34|2.9|0.22|21.0|-7.24|75.94|2.07|1.0|122.26|3.0|-3.3|-7.24|396.44|2.58|0.000496|0.0468|2.08|0.0|5.79e-08|2.3e-05|5.1653|3.92|3.9209|-1292.100239|633.92|1093.32|240.03|0.39241|0.65269|0.0747|-0.1624799999999999|0.03937634|-1291.929428|28.0|7.5528
8e_a46|0|0|0|0.0|1|7.727094485|1|1|1.160371308|-0.205882192|-0.001015139|5.533389489|0.000950213|2|0.043238095|-0.126773923|-0.046696417|0.012911107|10.96411233|1|-0.203086023|-0.08488645|-0.132524216|2|0.669602597|-0.024620704|0.837678812|0.668786636|0|0.921352352|-0.053352779|-0.065982313|-27.16690715|-33.59778824|4.876083942|7.389496216|0.078647648|40.04689925|53.05984592|0.7492419109999999|-0.989734694|39.62167507|-11.72015869|1982.950764|-503.9668235|-5.967832774|0.2507580889999999|9.911785304|-256.61680930000006|15.64268965|0.011830243|672.6356549999999|6.023886838999999|0.0|1.0|0.0|1.0|1.0|0.0|3.21|2.93|0.32|17.0|-6.67|43.6|2.13|0.0|91.93|2.0|-3.59|-6.02|304.39|3.21|0.0002569999999999|0.0279|3.01|0.0|2.16e-07|6.57e-05|4.5092|3.0|4.5092|-954.9056294|552.99|933.3|274.96|0.6967|0.6967|0.2162|-0.18835|0.024010215|-954.793305|406.0|6.3915
8_a47|0|0|0|0.0|0|7.252053952000001|0|1|1.24688044|0.003732288|-0.007835945|5.476463552|-0.099564745|2|0.0363475179999999|-0.087101663|-0.391797226|-0.008756|10.93671024|0|-0.177626636|-0.00158075|-0.4497577479999999|2|0.686795267|-0.223459904|0.842571655|0.659210804|1|0.8497568740000001|-0.075955381|-0.091482011|-44.09728708|-53.11155658|5.043798869|90.32612351|0.150243126|87.2263982|0.0|0.819702033|-1.646676195|60.62152862|-20.78278301|2621.772106|-956.0080185|-12.06582525|0.180297967|11.08581716|-555.0279614|25.35407034|0.012935553|1166.287236|7.509972037000001|1.0|1.0|0.0|1.0|1.0|2.0|3.02|3.21|0.13|22.0|-9.25|58.04|3.9|2.0|113.97|4.0|-6.59|-4.79|405.85|5.03|2.56e-07|0.000263|5.61|0.0|5.62e-10|2.28e-07|3.6696|4.91|3.6696|-1686.0356350000002|621.06|1071.62|337.87|0.6877800000000001|0.6877800000000001|0.2249|-0.15357|0.03283575|-1685.908004|0.05|7.3
13c_a6|1|0|0|3.441255118|0|7.412764017000001|1|1|1.424213869|-0.046663393|-0.010619065|5.351858133|-0.0122495089999999|1|0.040821256|0.049627353|-0.605286688|-0.003346018|10.95129637|1|0.081059709|-0.106686991|-0.490486317|1|0.845481322|-0.167542194|0.8353837409999999|0.7995080809999999|0|0.786809832|-0.093635525|-0.111231609|-63.73961873|-75.71763296|20.79409503|157.60887419999997|0.213190168|145.12291069999998|567.1031411|0.772032541|-2.11340057|88.21184769|-27.1440571|2880.850692|-1438.635026|-18.47751526|0.2279674589999999|15.07660437|-979.308309|35.15921372|0.018354398|1863.438327|12.49421473|1.0|1.0|1.0|1.0|1.0|2.0|3.61|2.53|0.16|23.0|-9.4|95.85|1.5|2.0|121.6|6.0|-5.95|-5.88|423.47|3.64|1.11e-06|0.00229|4.23|0.0|3.96e-10|1.68e-07|5.992000000000001|4.5|3.6519|-1389.371325|719.8|1217.77|206.92|0.48478|0.7008800000000001|0.28|-0.14975|0.0276450999999999|-1389.184603|73.0|7.1367
8_a20 (IN-1130)|1|0|0|3.443195704|0|6.842683282|0|0|1.400923668|0.063195236|-0.009430196|4.727387819|-0.124997065|2|0.0396875|0.1728459339999999|-0.528090969|-0.006620594|10.94899447|1|0.293415753|-0.049177437|-0.573278819|2|0.811128636|-0.0957193819999999|0.817914963|0.7741509329999999|1|0.7274271309999999|-0.09623672|-0.097790028|-63.72828772|-64.75689362|10.46873389|336.574332|0.272572869|180.4986934|89.35267123|0.7481063720000001|-1.858010535|77.31081766|-23.66117267|2849.395895|-1230.3809789999998|-15.66851008|0.251893628|15.46983888|-814.7625241000001|31.628086|0.018957805|1644.660472|12.55392404|1.0|1.0|1.0|1.0|1.0|2.0|3.49|2.43|0.08|27.0|-9.63|110.44|1.33|1.0|122.86|5.0|-4.85|-6.83|420.47|3.14|1.42e-05|0.0119|2.87|0.0|2.34e-10|9.86e-08|4.9797|4.53|3.2329|-1368.372708|696.06|1192.01|248.98|0.4377|0.7007399999999999|0.1361|-0.13622|0.04004011|-1368.180121|36.0|7.4437
