molecula|SddssS|NaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|SaasN|MATS2c|SRW07|JGI4|MATS7i|SaaaC|ATSC1c|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|FNSA3|FPSA3|PNSA5|RNCS|RPSA|TPSA_x|WNSA5|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|PNSA2|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
18_a10|0.0|0|0.0|1|7.78113851|2|2|2.142254323|-0.182332901|5.733341277|0.035770975|-0.092424959|2.026949641|-0.1859075939999999|-0.0280813039999999|0.010573165|-0.144233311|-0.091730492|-0.143149563|-0.220292492|0.7155022459999999|0.785539083|0.048377088|-0.0507442929999999|0.6886547670000001|1|-0.0575419659999999|0.019095409|-48.27152552|40.99617452|0.114447045|72.64119073|-30.63863373|123.3621791|0.641615544|-23.18149476|61.38857307|-15.79795381|48.64284759|2788.499133|-868.8874593|-551.4954071000001|24.62214943|0.020666062|-179.7708584|1354.218219|0.0|1.0|1.0|0.0|-7.88|4.66|62.06|1.0|0.0|119.81|0.0|1.0|5.0|31.0|5.0|412.48|1.0|1.0|-4.77|3.34e-05|1.7100000000000002e-05|0.0|0.0|1.32e-08|-0.0495699999999999|5.7687|3.7977|1181.5|326.47|0.2962|0.37729|0.6866300000000001|-1336.126835|-0.20692|0.02974086|5.9029|6.8861
30_a47|0.0|0|0.0|1|6.842683282|0|0|1.435022468|-0.069449687|4.727387819|0.038387534|0.013114301|1.192095911|-0.415191425|0.0467853809999999|-0.008325552|0.029343834|-0.035472095|-0.079370393|-0.4370608039999999|0.6850994429999999|0.8485444809999999|-0.1340278869999999|0.074217097|0.651797437|1|-0.108232368|0.022747897|-64.38108459|350.5257774|0.32103267|192.6285289|-38.63044093|76.90733636|0.679447569|-38.96726396|81.25550675|-22.9932445|78.59180109|2626.927627|-965.7162688|-579.456614|33.84108731|0.028122734|-215.3470619|1421.325667|1.0|1.0|1.0|2.0|-7.24|3.93|98.72|1.0|0.0|104.25|0.0|1.0|5.0|28.0|5.0|396.81|0.0|1.0|-4.1|6.05e-05|7.94e-05|0.0|0.0|5.74e-08|-0.0564299999999999|3.7159|3.7159|1032.35|333.66|0.3566|0.6944899999999999|0.6944899999999999|-1695.931037|-0.20813|0.0420327|3.6487|7.9
8d_a8|0.0|1|0.0|1|7.05012252|0|0|1.41693287|-0.12349902|4.844187086|0.042323232|0.071729931|0.0|-0.633521883|-0.117111249|-0.001038264|0.111668404|0.016471091|0.025642021|-0.4385133129999999|0.76211539|0.757805416|0.0780635059999999|-0.179357354|0.734212688|0|-0.1072746469999999|0.028038295|-67.26951954|57.93693239|0.306707511|200.0182229|-43.86958028|92.49576602|0.675359878|-45.62337399|86.29065071|-24.91463687|88.24385833|2863.968296|-1345.390391|-877.3916055999999|36.89090464|0.029166961|-228.7206541|1992.108851|0.0|0.0|1.0|2.0|-7.62|3.32|112.23|1.0|0.0|121.1|0.0|1.0|6.0|32.0|5.0|430.46|0.0|0.0|-4.47|1.24e-05|3.4200000000000005e-05|0.0|0.0|2.38e-08|-0.0600299999999999|4.6765|3.2963|1185.65|376.13|0.3|0.62361|0.70165|-1447.2928029999998|-0.19757|0.03604461|7.5674|4.7303
12ao_a36|0.0|1|0.0|0|7.412764017000001|2|2|0.0|-0.058597382|5.351858133|0.042739018|0.0895536619999999|0.0|-0.410729809|-0.033032344|0.003724542|0.1523047569999999|-0.095253274|-0.1619981409999999|-0.435820128|0.90500247|0.82626942|0.040831815|-0.05785124|0.856135378|0|-0.077866573|0.017784426|-67.45579866|85.17634667|0.167417241|110.7707502|-44.63177966|0.0|0.7820981779999999|-34.08795068|78.51108393|-24.98362913|63.28698809|2794.663089|-1349.115973|-892.6355932|31.9443643|0.016708791|-373.2975961|1724.9956719999998|1.0|0.0|0.0|2.0|-7.01|2.42|69.2|1.0|0.0|133.84|0.0|1.0|6.0|31.0|4.0|407.47|1.0|0.0|-4.55|2.6e-05|2.82e-05|0.0|0.0|9.66e-08|-0.05455|4.6597|3.4743|1190.17|356.86|0.6249|0.4962|0.7045|-1310.077853|-0.19662|0.03244719|7.447999999999999|7.5229
14q_a23|0.0|0|0.0|2|7.423568444|0|0|3.292130907|0.141057047|5.351858133|0.044138322|0.064903564|0.720966302|-0.5608967029999999|-0.056324491|0.002496501|0.121109106|-0.017918675|-0.033435987|-0.573130981|0.77007911|0.808928963|0.067394607|-0.089657283|0.7333675390000001|1|-0.08960718|0.02158178|-66.16349731|350.836102|0.226805402|155.7136729|-45.42467289|97.13675614|0.777340899|-42.23665548|79.42966327|-27.24379301|76.3369885|3097.399651|-1389.433443|-953.9181308|35.04742005|0.01932289|-380.8178266000001|1787.418422|0.0|0.0|0.0|2.0|-6.96|3.12|148.11|1.0|1.0|128.38|1.0|1.0|6.0|33.0|5.0|454.51|0.0|0.0|-4.39|6.11e-06|4.03e-05|0.0|0.0|1.11e-07|-0.08159|3.6431|3.6431|1222.17|340.33|0.4943|0.5949|0.5949|-1798.3704079999998|-0.23013|0.03458552|12.0503|7.8069
16a_a32|0.0|1|0.0|0|7.765993078999999|0|0|0.0|0.205693867|5.733341277|0.03995614|-0.053745649|2.095743605|-0.6911813920000001|-0.058518519|-0.005552127|-0.0999399409999999|-0.107321286|-0.199563743|-0.707456102|0.859696525|0.8567078770000001|0.039965071|-0.098258706|0.81143469|1|-0.090389538|0.020664867|-74.35152328|92.00611646|0.2434571689999999|151.5123947|-46.27170107|66.13699638|0.6968200370000001|-35.00816569|88.96104768|-23.13158502|69.11326055|2615.514164|-1040.921326|-647.803815|33.19592405|0.023475264|-244.9767673|1493.816582|1.0|0.0|1.0|3.0|-7.3|3.79|152.07|1.0|0.0|108.86|1.0|1.0|7.0|27.0|4.0|398.51|0.0|1.0|-4.04|3.2e-06|9.14e-05|0.0|0.0|5.04e-08|-0.0567299999999999|3.6314|3.6314|1096.48|341.42|0.2859|0.70245|0.70245|-1896.589348|-0.20718|0.04088655|1.8274|7.9586
12av_a36|0.0|1|0.0|0|7.412764017000001|2|2|0.0|0.049150854|5.351858133|0.04250591|0.06882889|0.0|-0.605432791|-0.039627578|-0.000472698|0.1168328169999999|-0.126068378|-0.213993335|-0.507136551|0.859938421|0.8076780109999999|-0.018133027|-0.067408377|0.817582774|0|-0.082283524|0.021666882|-73.55299094|99.2415672|0.247552267|172.4374372|-51.2347934|124.9387725|0.671916917|-39.92474833|91.5101903|-24.51766365|72.40871507|3011.024457|-1397.506828|-973.4610746|36.48912989|0.025779468|-239.5042702|2079.880404|0.0|0.0|0.0|3.0|-6.93|1.65|98.3|1.0|0.0|138.06|0.0|1.0|7.0|33.0|5.0|438.48|0.0|0.0|-3.64|0.000292|0.000227|0.0|0.0|1.1800000000000001e-07|-0.05307|4.8408|3.4402|1247.28|360.39|0.6698|0.43212|0.70455|-1440.67411|-0.19429|0.04308001|6.1075|7.4089
8_a4|0.0|0|0.0|1|7.535296702|1|1|2.126514848|-0.208165266|5.4161004020000005|0.038726287|-0.072752231|1.987684188|-0.056197036|0.05775266|0.009595591|-0.1193184819999999|-0.048133994|-0.078942941|-0.150276481|0.619844116|0.813333185|-0.07377839|0.097165358|0.576540652|1|-0.05397993|0.0103751219999999|-33.90618946|11.02158946|0.074867554|38.69916707|-17.52616744|37.17889653|0.7261541020000001|-14.42275611|41.57817329|-12.71482105|33.26523662|2297.5526170000003|-508.5928419|-262.8925116|17.50981094|0.0148422489999999|-233.7988862|700.3924376|1.0|1.0|1.0|0.0|-7.78|4.76|43.6|1.0|0.0|100.13|0.0|1.0|2.0|25.0|3.0|346.81|1.0|1.0|-4.84|4.49e-05|1.46e-05|0.0|0.0|1.65e-08|-0.05864|5.3544|3.9863|949.09|311.03|0.1687|0.30471|0.57675|-1450.071352|-0.22685|0.0252645|5.7488|7.2676
14e_a25|0.0|0|0.0|1|6.842683282|0|0|1.5926486519999998|0.039261746|4.727387819|0.0389622639999999|0.0065927719999999|1.906869097|-0.524066339|0.011176663|-0.0005394919999999|0.010976703|0.015497482|0.025802692|-0.50909623|0.717460414|0.776960216|-0.144369439|0.018432983|0.6954126970000001|1|-0.1011107469999999|0.015024526|-73.51338088|372.1805977|0.275949567|201.94039730000003|-53.79722636|97.78313402|0.806446896|-54.14823405|84.60373462|-28.3735856|84.98800478|3126.080106|-1617.294379|-1183.53898|35.18345194|0.015154859|-448.516796|2005.4567600000005|1.0|1.0|1.0|2.0|-9.14|4.02|115.79|1.0|0.0|134.35|0.0|1.0|7.0|35.0|5.0|462.5|0.0|0.0|-4.73|7.29e-06|1.86e-05|0.0|0.0|7.31e-10|-0.0538|5.8431|3.9613|1300.08|312.99|0.2409|0.31019|0.69958|-1520.701142|-0.2116699999999999|0.04875868|7.2625|7.1249
10_a4|0.0|0|0.0|1|7.535296702|1|1|2.146166934|-0.180140166|5.4161004020000005|0.038699764|0.00941601|2.149387791|-0.159792527|-0.090413559|0.011142889|0.014917047|-0.083887216|-0.132895939|-0.241683916|0.6990620390000001|0.810105167|-0.120059574|-0.150288496|0.6799081490000001|1|-0.051015897|0.014582852|-45.97324097|39.48408698|0.078346981|45.34497624|-26.60798798|64.26218096|0.744529685|-17.08910641|54.09964719|-15.63090193|37.96666686|2480.063587|-781.5450965|-452.3357957|20.99433004|0.014040792|-283.0534799|1049.716502|1.0|1.0|1.0|0.0|-8.07|4.81|52.83|2.0|0.0|111.38|0.0|1.0|4.0|28.0|4.0|370.45|1.0|1.0|-4.85|2.21e-05|1.4e-05|0.0|0.0|8.51e-09|-0.04689|4.9674|3.6465|1083.65|340.01|0.1792|0.4662|0.7038399999999999|-1183.54701|-0.2025|0.02232068|2.2386|7.0555
