molecula|n9FaHRing|n9FaRing|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|SaaaC|AATSC1are|BCUTi-1|AATSC1pe|AATSC7i|n6aHRing|MATS8s|MATS8d|FNSA3|FNSA5|FPSA3|PNSA5|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
14_a4|0|0|7.535296702|1|1|1.947126795|-0.2248919089999999|-0.04986736|1|0.0409444439999999|0.0|0.009588001|10.94612798|0.008943549|-0.031578333|1|0.158051825|0.204594017|-0.065776751|-0.071074269|0.013047382|-32.31961528|12.12963775|67.73740575|-0.03015272|2.697931638|85.72299913|0.768457211|-0.995039765|-13.60128622|-13.71135194|35.84371234|0.40126838|386.9927769|-452.4746139|1378.961008|0.231542789|5.304461808|0.015779688|-244.1511936|588.8091192|280.2639278|7.175500282000001|0.0|0.0|0.0|3.14|2.39|0.06|17.0|3.59|4.09|30.71|2.82|80.09|2.0|-3.4|21.0|0.0|1.0|3.2|-3.97|0.11|0.000106|0.0295|0.0|1.95e-06|0.000539|3.22|4.2312|475.32|794.51|293.02|274.1|353.16|0.53298|0.55975|0.1067|-0.17381|2.3797|-0.2102|3.3312|1.32|5.8794|5.8794
3n_a32|1|1|7.773594467000001|1|1|0.0|-0.0376583329999999|-0.01504795|1|0.035643275|2.22272854|0.000609539|10.3110027|0.002379137|-0.100681119|0|-0.018016496|-0.121627423|-0.074507943|-0.092745182|0.01889769|-53.32184118|121.6040686|91.96452611|-0.027401986|6.246493173999999|0.0|0.648933114|-1.205687365|-24.62805609|-15.75418035|53.70155314|0.456693072|482.963897|-693.1839353999999|2426.73803|0.351066886|6.369579712999999|0.0210408339999999|-171.25176130000003|1068.190111|522.1674161999999|12.0969734|0.0|1.0|1.0|3.51|3.29|0.32|19.0|6.71|5.01|120.17|1.58|106.44|1.0|-5.96|26.0|0.0|1.0|4.07|-4.91|0.000424|1.23e-05|0.0047|0.0|1.1e-07|4.19e-05|2.57|3.5459|614.67|1036.75|349.65|349.65|464.67|0.7028399999999999|0.7028399999999999|0.2839|-0.1472099999999999|3.5849|-0.20256|6.2667|21.0|7.6778|7.6778
10_a47|0|0|0.0|0|0|0.0|-0.003570214|-0.166367455|2|0.042276423|1.329777427|-0.008120645|10.93671036|-0.0065562469999999|-0.349569106|2|-0.138304661|0.011239977|-0.076311525|-0.0936757959999999|0.00951788|-50.08559665|103.41137940000002|84.97451737|-0.035388634|2.720890925|0.0|0.801882632|-1.592488524|-21.81529334|-18.9212254|45.89037038|0.411647394|449.6950454|-851.455143|1567.859561|0.198117368|6.277122171|0.014051737|-322.8149102|1061.820157|498.0016816|7.51303623|1.0|1.0|2.0|3.02|2.97|0.09|22.0|5.12|5.92|58.04|3.21|106.43|1.0|-5.75|27.0|1.0|1.0|4.41|-5.5|0.000638|3.18e-06|0.00114|0.0|1.4199999999999999e-09|5.110000000000001e-07|4.37|3.7236|579.86|997.16|332.97|214.9|426.55|0.53909|0.69212|0.2175|-0.15445|1.9281|-0.20309|2.8795|13.0|7.9|7.9
10_a4|0|0|7.535296702|1|1|2.146166934|-0.180140166|0.005483539|2|0.038699764|2.149387791|0.01107733|10.92992762|0.011142889|0.014917047|2|-0.120059574|-0.150288496|-0.051015897|-0.079432495|0.014582852|-45.97324097|39.48408698|45.34497624|-0.027007048|4.884907049|64.26218096|0.744529685|-1.350352423|-17.08910641|-15.63090193|37.96666686|0.4858700179999999|533.4262268|-781.5450965|2064.276654|0.255470315|5.759414166|0.014040792|-283.0534799|1049.716502|594.7358385|8.126406226|1.0|1.0|0.0|3.46|3.38|0.26|21.0|4.93|4.81|52.83|2.53|111.38|1.0|-4.66|28.0|0.0|1.0|3.9|-4.85|0.00818|1.4e-05|0.00519|0.0|8.51e-09|3.15e-06|3.34|3.6465|619.99|1083.65|340.01|249.6|470.02|0.4662|0.7038399999999999|0.0176|-0.15561|1.4517|-0.2025|2.2386|88.0|7.0555|7.0555
12be_a36|0|0|7.412764017000001|2|2|0.0|-0.148313814|-0.0419484829999999|2|0.043854875|0.0|0.000482522|10.95957887|0.002872872|0.19405344|1|0.132962547|0.00734728|-0.0780531429999999|-0.108962668|0.033763464|-75.59805505|63.31681179|140.1361326|-0.031937334|16.25222352|0.0|0.5660743979999999|-1.852365352|-37.57129686|-22.15805062|77.57811183|0.4564615729999999|553.6616295|-1285.166936|2552.721046|0.433925602|8.773114043|0.034632557|-91.68453892|2270.314539|766.4854363|24.02799032|0.0|1.0|2.0|4.96|0.0|0.21|17.0|2.83|1.9|87.66|1.42|136.74|1.0|-4.11|33.0|0.0|0.0|1.75|-4.15|0.0342|7.13e-05|0.0315|1.0|1.6100000000000005e-07|7.11e-05|2.68|3.3487|739.48|1256.67|370.25|237.59|594.44|0.40844|0.70465|0.0018|-0.13781|7.7861|-0.18969|10.3044|44.0|7.3565|7.3565
3q_a32|1|1|7.765993078999999|0|0|0.0|-0.017280695|-0.04718311|0|0.03898374|2.120544848|0.000773658|10.31100266|0.002487149|0.0492355779999999|0|0.010109949|-0.1585635|-0.067604132|-0.097961799|0.018527744|-60.46462749|41.73511731|92.62226328|-0.027989085|7.058489861|53.27315741|0.6349739010000001|-1.371465184|-25.7550561|-17.27560785|53.16288420000001|0.46136998|524.6043311000001|-846.5047848999999|3335.898591|0.365026099|6.428518903|0.022526037|-166.61896299999998|1333.133193|618.9134881|13.90366881|0.0|1.0|1.0|3.57|3.34|0.3|19.0|6.43|4.72|131.25|1.33|115.37|1.0|-5.91|28.0|0.0|1.0|3.86|-4.62|0.000508|2.4100000000000003e-05|0.00992|0.0|4.88e-08|2.01e-05|5.15|3.6236|666.16|1136.46|342.16|342.16|549.78|0.70216|0.70216|0.2897|-0.15001|4.1362|-0.19969|5.2657|28.0|7.5528|7.5528
47u_a18|0|0|7.03438793|1|1|0.0|0.039883149|-0.0872206669999999|0|0.035393939|0.0|-0.000829573|10.94702032|0.00082284|0.0121925089999999|0|-0.0112778039999999|-0.053126304|-0.090364489|-0.092271172|0.02068926|-64.32800179|86.37253771|180.5187465|-0.0344062|10.0557163|77.59162925|0.721837463|-2.029965788|-43.92035521|-23.98671253|77.42251040000001|0.483819806|516.6437614|-1415.216039|1415.590236|0.278162537|9.18142206|0.021142007|-309.31352410000005|1960.574384|818.9389171|14.73941472|0.0|0.0|2.0|3.98|0.0|0.19|18.0|3.15|3.02|99.56|2.95|133.53|1.0|-5.69|34.0|0.0|0.0|2.6|-4.98|0.000932|1.04e-05|0.00472|0.0|6.34e-09|2.89e-06|9.34|3.1186|738.53|1282.66|397.57|397.57|646.45|0.69143|0.69143|0.5849|-0.12717|4.4624|-0.19109|5.8058|1.97|5.7055|5.7055
2_a4|0|0|6.605297921|1|1|0.0|-0.072708147|-0.103346554|1|0.037777778|0.0|-0.001386521|10.95268469|-0.0016168089999999|0.127695325|1|0.11821091|0.1355918559999999|-0.117395215|-0.105102755|0.006330673|-44.27948986|166.102249|108.4760726|-0.0379537729999999|1.123639184|0.0|0.843107708|-1.366335816|-20.83662681|-15.98981578|52.12536246|0.3961813179999999|312.82106489999995|-575.6333682|910.3327882|0.156892292|4.710383035|0.011054731|-289.1005902|682.7518749|284.26458360000004|4.657326379|1.0|0.0|2.0|3.33|0.0|0.27|12.0|2.12|0.83|45.15|1.63|79.59|2.0|-2.18|19.0|0.0|0.0|1.24|-2.77|1.67|0.00171|434.0|0.0|1.4800000000000002e-05|0.00374|2.46|3.2230000000000003|458.73|764.77|384.69|210.28|333.36|0.4682|0.6885600000000001|0.0008|-0.14614|1.7717|-0.16226|3.0946|31.0|7.5086|7.5086
14i_a23|1|1|7.423568444|0|0|3.2692375460000003|0.142566578|-0.130330047|2|0.0432555559999999|0.7151570629999999|0.002243702|10.31321758|0.002496501|0.075401108|2|0.158023239|-0.04255066|-0.0889593869999999|-0.096562208|0.0214262489999999|-66.02703063|324.811841|151.83084580000002|-0.039760909|10.01786784|93.48624142|0.7780956840000001|-2.027806362|-41.59306642|-27.18760085|75.47917433|0.478050606|531.9462982|-1386.567643|2447.1741030000003|0.221904316|8.107659819|0.019276934|-380.3109456|1782.001457|693.3423458|13.18112713|0.0|0.0|2.0|3.56|2.64|0.04|26.0|2.57|3.12|148.11|2.28|128.38|1.0|-5.21|33.0|1.0|0.0|2.61|-4.39|0.00278|4.03e-05|0.0183|0.0|1.11e-07|5.03e-05|4.64|3.6931|715.68|1224.02|335.72|335.72|580.74|0.55606|0.55606|0.3639|-0.1509599999999999|5.9563|-0.23121|8.3755|3.0|8.4622|8.4622
12af_a36|0|0|7.412764017000001|2|2|0.0|0.04293386|-0.081537769|2|0.039953704|0.0|-0.00233752|10.96037047|-0.000472698|0.154914099|1|-0.062279009|0.002492952|-0.082549457|-0.1054605669999999|0.021921402|-73.23838519|89.56100543|169.9519197|-0.035153522|10.57220682|127.6527374|0.6702409189999999|-2.003750775|-39.81177462|-24.41279506|72.55107063|0.448767097|524.5103537|-1391.529319|3082.869129|0.329759081|8.59579222|0.0259433429999999|-236.4517911|2076.162883|757.7532208|18.01667275|0.0|0.0|3.0|4.98|0.0|0.17|17.0|2.38|1.65|98.3|1.49|138.06|1.0|-3.54|33.0|0.0|0.0|1.47|-3.64|128.0|0.000227|0.0997|0.0|1.1800000000000001e-07|5.18e-05|4.5|3.2299|737.4|1246.55|383.86|236.83|589.48|0.50179|0.70508|0.0035|-0.13364|6.9003|-0.19246|9.4631|15.0|7.8239|7.8239
